#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	fhuD//flgH//
CdaR	galT//yebG//purH//yeiL//hycC//nrdF//hemH//nagE//wzb//gspI//
CecR	agaA//acrR//hemH//fepA//nikC//
ChbR	cynT//galM//gspC//spy//flhD//nagC//
ComR	ydfD//
CpxR	sodA//rhaD//gltL//manY//ascF//symE//glnL//cusS//emrA//malG//nuoI//creD//nemR//yciX//gor//trpL//nanT//hybD//glcE//dhaM//hemH//csiD//pagP//ompF//recB//hcaB//yqaE//mazG//fucP//lsrA//sufE//mgtL//araE//yjhB//gatB//htpG//lacA//mpl//gspG//hcaE//uvrC//grxA//zraP//flgD//pagP//phoA//purK//pspD//fbaA//gadW//rnpB//metQ//exbD//uvrA//rseB//flgD//yeaR//flgB//moaE//potI//hyfB//mpaA//puuC//tisB//creD//purK//pdeL//gpmM//rbsD//ygbK//
Cra	nuoC//citX//ymiA//rbsR//gadX//focB//sdhC//ydiU//moaD//trxC//nirC//thrS//rprA//bioC//gloA//potI//norV//wzyE//rutG//nikA//mhpD//phnK//gatZ//recD//ogt//agaS//aroF//flhD//prpC//ydcT//glnQ//caiT//ygeA//csrB//wzb//agaR//pstB//fhlA//frdD//mpaA//hypD//ykiA//fdnI//yhiM//yfbR//cysM//lacY//nuoE//cspE//moaC//galK//lhgO//appC//htpG//rcnR//allE//flgI//hha//paaF//hydN//galR//lysO//gltF//wecC//accC//ygiB//rarA//fliH//ugpA//hybC//pnp//tisB//gltL//citF//rpmA//betA//ygiZ//lgoR//infB//
CreB	gor//yjjZ//gadY//rpoD//iraP//
CsgD	hybB//uvrB//lpxC//sgbE//glnG//metH//dcuB//poxB//murQ//cysD//lldR//fldB//motB//yciE//hemH//nohA//creC//dnaA//srlB//uxaC//gltF//ftsZ//hyi//ygiZ//pdhR//rseC//efeU_1//prs//
CsiR	fruK//dpiA//mglA//ygiA//hycF//
CspA	malT//phoE//
CueR	yhdZ//ynbA//fecR//dinJ//nimR//hycH//phnH//
CusR	wzxE//ynbB//melB//nadA//yeiB//paaK//iscU//wecE//polA//uspA//fdnI//gabD//
CynR	slt//yfdE//modC//recX//
CysB	ogt//sbcC//uxaC//hybE//ybdZ//deoD//paaZ//glpA//purC//fucK//argG//dps//gatY//torC//mtlD//kbaY//lacY//iscU//glgP//napH//flgL//hycB//nlpA//lsrR//ymiA//yhjX//gspE//narG//ahpF//gcvP//metE//murF//
CytR	ecpA//epd//yhdX//rutD//idnK//yeaG//bglJ//artP//hyfA//dcuB//ydbK//dinD//zraP//
Dan	purK//artM//deoD//hdeD//
DcuR	bioA//citG//lsrC//ssuE//murQ//recX//atoE//speB//gspC//
DeoR	potG//ldtD//uvrA//rutR//asr//cydA//
DhaR	gcvH//idnK//cysJ//recC//
DicA	rffC//metE//murG//fepG//yegR//rhaD//fabD//ydiV//
DinJ-YafQ	ybdN//ugpA//tdcG//
DnaA	sgbU//rfe//psiE//cytR//wecC//gcvB//nuoJ//thiQ//metR//emrB//marA//fadL//
DpiA	glcB//cyoA//malZ//wzzE//ydeO//cheA//acrD//atoE//fnr//cysA//dapB//
DsdC	hisP//csgC//carB//
EbgR	nirC//hypF//
EnvR	purA//truB//
EnvY	nanM//sodA//
EvgA	glnP//fliA//flu//frdA//rnlB//creC//sgbU//mntS//csgF//paaZ//hisJ//rclA//alaC//yrbL//ynbC//poxB//ftsL//aroF//yfdE//
ExuR	lolA//ilvY//hydN//nuoL//yidQ//nimT//argI//psd//hmp//
FabR	rbsK//zraP//
FadR	fecR//tauC//ybiT//hyaA//yiaL//phnJ//hokE//fecR//gspI//tyrP//nimT//hyfA//caiF//uxaA//cysI//acnB//pspE//araA//hyfF//trpB//hdeA//ldtB//chbB//
FeaR	mcbA//rutE//
FhlA	alaC//ccmH//metF//entA//ydeM//ribA//ttdR//dsdA//entC//yafO//cysH//ynbC//melR//aroH//feaB//argP//yeaH//thiP//fdhF//fhuE//mgrB//gltI//cyoB//ulaF//gspG//mhpC//ogt//yhbS//murR//waaZ//
FlhDC	dinF//uhpT//nagC//phnO//phnI//garP//ycgZ//paaX//cydD//gdhA//fliD//psd//lsrC//nrdA//glpX//moeA//lrhA//metQ//cpxA//hslJ//murD//wecC//flgF//fadL//ccmF//rnlA//argR//nemA//purB//xylG//fau//gspF//nirB//araG//potF//puuR//metJ//hha//oppA//leuO//omrB//ydfE//fdnG//ydhT//hybA//ynbD//atoE//iscA//citE//malS//mazE//cueO//aroH//accA//psiE//glnD//rutD//flgM//nrdG//exuT//bioB//nuoH//rhaS//nupC//sbcD//stpA//moaB//kdpF//yeaR//yqjI//aroL//dpiB//astE//paaA//ycjG//cirA//cysA//malM//efeU_1//acnB//dsdA//alaC//
FliZ	carA//crl//rclC//casD//pheM//fdhF//mipA//glnD//ybhF//fliQ//lacA//hyfA//ydbK//norW//bglG//ymgC//grxA//ybdZ//dinI//ptrA//flu//
FucR	ynfE//araH//creD//sufS//torR//murP//mtlA//
Fur	leuD//rbfA//pspB//ygiZ//luxS//kbaZ//mioC//ybiT//argT//ahpC//ttdR//ryhB//ycgZ//lysP//tauC//fiu//ynbD//rpsU//pspF//cspD//hisP//puuD//ymgA//ppiD//fucA//bioC//ugpE//csgG//rpoD//phoU//glcA//mdtE//manY//hycG//phnN//ptrA//glnB//zraS//ddpD//nrdI//flhD//nanA//dnaA//pepD//metK//bamE//glcG//nrdF//uspD//acrA//zinT//flgN//ppdC//xapB//pdeH//asnB//yhjX//metB//cvpA//yneM//gadX//yhjA//rpmA//pstC//aldA//yecT//mtlA//moaE//mtr//zraP//tdcA//argI//phoR//yeaR//gfcA//cysM//katG//dctA//treB//purN//fruA//yidL//ecpA//fucO//flhA//eda//yafO//dinG//leuO//tdcG//gspM//yeiB//caiT//efeU_1//poxB//rpsU//flgE//potH//cysI//fucA//acrA//ompF//paaC//potH//aroH//dgcZ//csrC//purR//fliA//evgS//ybjC//intQ//ppsA//artI//yfdX//murP//rhaD//glmU//citG//dnaG//kdpA//lsrC//mglA//agaI//allA//purM//hycI//recA//moaB//accB//
GadE	ygiA//yefM//gatA//glpA//cra//metK//glgP//ygeA//pgaB//yqjI//copA//metK//adiC//cynR//phnJ//omrA//yhjC//nrfA//bioB//ddpX//gcvP//idnK//oxyS//argE//osmC//dnaG//lsrK//bioD//fixA//
GadE-RcsB	mhpA//bglJ//fruB//fucU//cysI//phr//agaB//gspH//rstB//
GadW	purH//agaI//mlc//ybiT//aceK//fliT//lsrF//yjbG//rffM//fruB//ydeM//ulaA//mltF//seqA//fepC//
GadX	narX//malZ//emrB//sgrR//flhE//higA//argO//purD//pck//xylG//uvrB//ynfK//melR//ydcV//ppiA//fadL//feoC//rstA//mhpE//rplU//yccA//mtr//gcvP//mqsR//ydeO//puuB//pheT//aslB//cusF//
GalR	fhuC//uxuB//glpD//metK//amn//metH//evgS//rutG//flgJ//acnA//
GalS	asnB//yafN//garD//intQ//cynX//rpoH//flgK//dcuS//carA//fhlA//
GatR	tktB//astA//polB//paaX//rarA//acrZ//
GcvA	acrR//dinF//argR//xapA//ddpD//
GlcC	ddpC//mhpA//idnK//moaD//guaB//manX//rimK//
GlpR	uvrB//hyaE//flgI//rutD//fucI//pgaC//narI//speB//dinG//
GlrR	cynS//rimK//pspF//lsrD//caiF//
GntR	lacA//rhaA//htpG//asr//nuoL//nagC//phnM//trxC//ybiT//uvrA//ydfE//rcsA//
GutM	ldtD//paaE//yfdX//glnP//fau//nrfD//ynfK//
GutR	hslJ//mntP//lrhA//paaF//rbsB//ygdB//flgI//
HU	ynbA//yiaO//casB//tauC//phnG//ynfF//kdpF//entS//phoE//
HcaR	fabB//cysM//nemA//dinB//thiP//feaR//
HdfR	mglA//dsdA//rbsD//gcvP//bolA//
HigA	nuoC//csgF//
HigB-HigA	emrK//yfdV//
HipAB	yaiW//bioD//pagP//narJ//fucO//
HipB	xapA//dgcC//fecB//acrB//gatB//yafO//
HyfR	dhaM//appA//frdB//cspI//paaC//hns//yebE//torD//yeiB//marR//dsbG//ybaT//
HypT	yeaE//cysW//cysC//flu//argO//hdeA//agaI//sufA//chbG//yhiD//mtlA//nohA//ppdC//
IclR	phoR//rutA//cysD//uidA//
IdnR	malQ//malM//nupC//tfaQ//gltB//flgE//mtr//
IlvY	sufA//ssuD//
IscR	rffC//aslB//glpX//mdtF//rarA//uidB//rcsA//mdtD//tyrB//adiC//uvrD//dpiA//uvrC//pspE//slt//hypA//ygiZ//sdhA//sgbU//appB//emrA//uvrC//murG//ihfA//fucU//dsbC//guaB//gpmA//dhaM//hypE//yqjI//tdcA//
KdgR	mgrB//nanM//
KdpE	lysO//fliA//ftnA//ybbW//
LacI	lysP//rpsO//fbaB//
LeuO	hdeA//napD//cusA//modB//ynbD//agaS//ydfX//cyoD//pdeL//htpG//nuoB//moaA//ccmE//mazG//ascB//dinI//mngB//srlR//cyoB//symE//
LexA	pspB//yhjC//yegH//tyrR//dkgA//yeaE//fimE//flgF//feoA//modC//puuR//paaH//argG//pstC//dicC//ulaA//gadB//pagP//waaZ//phnH//galK//borD//glyA//ygiZ//dsbG//lpxC//betI//rffH//rprA//kdpC//epd//ynbA//lsrA//htpG//xylR//ybhR//udp//pdeL//ydfN//garP//purN//casA//yiaL//rstB//malG//rcsA//allD//paaZ//tauA//torC//flhE//lysO//ycjF//rutC//phnE_1//murC//murE//soxS//gutM//
LldR	fhlA//manY//tehA//
LrhA	gspO//ompF//lsrD//caiF//
LsrR	ymgC//lysP//glnQ//yqjA//ybjC//bluF//fumC//ygiB//hybB//
LysR	cysN//sgrS//
MalI	ydhT//yhbE//moaE//
MalT	motB//mazG//napH//nikD//wza//gatD//tnaC//pyrC//nrfB//napB//
MarA	dctA//cysU//dmsB//torA//lldR//uvrD//nfuA//mhpD//lsrA//sbcD//recB//csrC//dgcN//puuR//malE//rtcA//ribA//hdeB//fnr//htpG//tdcA//gspE//srlD//lolA//ulaA//glpB//ccmG//tauD//gdhA//rutD//appC//dmsD//phoA//uxuR//hcaB//sgrR//add//ptsI//
MarR	paaJ//yiaL//nirD//
MatA	dhaK//fliC//ccmC//glpF//potF//torA//ydcV//alsB//
MazE	srlE//murG//fiu//
MazE-MazF	xylR//ruvA//torR//
McbR	exbD//fliO//ulaA//uhpT//
MelR	nuoB//gatZ//rhaB//
MetJ	pspA//yeiB//xylR//lysC//nemA//pspD//paaH//uidA//cysN//nirC//pgaB//rffT//argH//adiC//modA//
MetR	yoaG//nanC//pepA//gatY//agaB//
MhpR	soxS//ychF//sra//feoC//dsbC//hycD//
Mlc	gltI//moaB//pnp//fhuB//yhhY//mlrA//gabD//znuA//csgB//murQ//
MlrA	ybhR//rplT//ccmA//galK//sdhD//yegR//fecB//dps//csgB//nrfC//
MngR	ykgO//oppD//nrfD//
MntR	manZ//dcuA//hycF//moaB//sdhD//
ModE	dinF//ydhX//narH//narK//tdcE//phr//dsbA//feoB//ykgM//moaE//cyoD//argR//flgD//ftsA//dicC//glgB//slt//polA//sfsB//metR//rutC//paaK//obgE//pstC//flhC//fabD//yhjX//casB//napH//umuC//dmsB//sucD//cadA//focB//fhuD//adiC//fimE//tnaC//fruA//sgbE//ynjI//malZ//yneM//cyoC//ymjD//ymiA//
MprA	norV//bioC//phnI//yccT//alsB//yhjC//
MqsA	hycA//nfsB//mlc//metL//glmY//gspF//glpB//uspA//
MraZ	dicB//emrA//paaA//puuC//yeaR//alsA//ulaC//ccmF//pgi//rseB//potH//fldA//modB//cydA//adiA//glnQ//gutM//
MtlR	ftsQ//tbpA//manY//
MurR	rtcB//dinB//ddlB//
Nac	gdhA//hybG//gor//sbcD//psiF//oxyR//murQ//waaH//hyfB//recN//yjiY//ydcT//umpH//accB//crp//gadB//melB//gcvB//nadA//fdnH//dcuD//
NadR	rpiR//alkB//napH//sufS//
NagC	torD//fliE//rcnA//ampC//flgC//rbsD//hybE//yhjA//modB//tcyJ//ygaC//yaiW//ygbA//purL//ydhT//fliJ//hycI//yafP//glyA//puuP//micF//pyrD//wecE//nagB//purB//aldA//cysH//cysU//argH//ygbK//pyrC//cytR//uidA//yjhB//flgJ//ynfH//dhaL//
NanR	pykF//hyfC//gspG//nagC//ybfE//copA//nfo//mazF//paaG//flhE//ydbD//
NarL	fruA//ttdT//lamB//dhaM//mntP//hyaA//ftnA//recC//add//uvrC//leuB//ychF//acrA//tktB//yjbF//asnB//kbaY//bacA//argI//mtlA//purE//gadE//nadB//sgbU//citC//malE//puuP//yjjZ//metH//yfaE//dapD//tdcB//uidC//araG//allE//cysW//gutQ//nanC//flgJ//dctA//iscA//aspA//casC//uxuR//flgD//hypA//sgrR//paaC//mlc//torR//bioB//safA//melR//astE//phnF//relE//relA//slt//fimB//mglC//dpiB//ruvA//lsrK//cytR//ydcU//dmsD//yncE//lyxK//mzrA//chiP//prs//katE//cspD//lrhA//moaE//purK//fixC//yciE//glpA//dinJ//cadC//yeiB//ygaC//malS//yiaJ//cas1//ccmF//araC//ahpF//glnQ//grxD//purF//gadF//guaB//fecE//appX//phoP//phnO//ynbD//fixX//metB//ydeP//phnH//thiP//ftnA//nhaR//uxuR//allC//srlE//malZ//malZ//yneM//katG//idnR//creA//flhA//rdoA//accD//pspC//flgE//astE//metJ//grxA//
NarP	flhC//rpiB//ydfE//ymjC//rob//rarA//pgaB//tdcF//cyoD//iscR//tynA//gutQ//rpmI//casA//ymjD//fliD//asnA//arsB//malK//puuC//ulaE//yefM//cyoE//hypD//ubiA//yidQ//hokD//cecR//atoB//cdaR//alsC//ygeA//murE//safA//yqjA//tktB//ssuC//ddpA//yefM//hypC//narJ//bluF//glpA//hcaE//ftsK//tdcG//gspD//gspC//oppA//gcvH//
NemR	fadB//nrdE//allB//
NhaR	glgC//pgaD//gspI//malP//cysD//zraP//gor//
NikR	ttdB//nagB//srlB//feoA//ybjG//yiaL//
NimR	betI//mtlD//
NorR	argC//yeiL//hypF//
NrdR	yoaC//phnI//purL//sbcC//insD//yciX//araF//oxyR//norV//
NsrR	uvrY//malQ//recB//deoB//zraR//cyoD//lhgO//lysA//malQ//purK//ydeO//ybhS//chbC//rfe//hybD//yhbS//yncE//cyaR//rcsA//ydcV//hmp//astE//hcaE//ecpR//wzyE//gatC//pck//gntP//flhC//fliD//sroD//nikC//ymjC//fhuE//tisB//yhdZ//codB//gspK//ahpC//mioC//cyoE//dnaN//mltF//flgG//motA//fucO//ubiA//artJ//norW//modC//tyrP//hipA//murR//gpmM//agaC//hypB//bamE//fecE//symE//mqsA//osmY//iscR//flgI//phnN//idnR//uspA//fruB//ydfE//carB//murE//recN//dinG//tpiA//pyrD//rsmH//prpE//argO//tcyJ//rffM//araB//rhaT//idnD//fepG//
NtrC	yafN//rutF//pgm//hyfF//yoeB//gntT//metF//cyoA//ddpA//phnG//leuL//ygbK//aspC//gcvB//slt//bhsA//bglF//umuC//uxuA//gudP//dctA//ebgC//appY//gdhA//wecB//casA//ftsL//cheA//rpsU//exuT//phnI//mntP//tnaA//betI//sbcD//yoaG//ubiX//hyaD//umpH//fadI//csgB//fepG//cdaR//allB//malM//oppC//phnM//citF//oppB//
OmpR	astE//ynfH//glxK//dgkA//appC//phnE_1//alsB//ftsK//nagA//yfdX//bamE//obgE//glnB//prpC//yjbG//gntP//napB//ydhX//ssuB//hdeB//araA//
OxyR	napF//exuT//garR//lsrA//glk//ssuA//narH//phnC//malE//atoE//cspI//glpD//nuoE//nhaR//moaC//ygaC//pqiA//dkgB//yfiB//argG//nuoB//yrbL//mcbA//ydbD//araH//patA//dnaA//lsrF//hipB//dps//dcuA//rutA//ccmA//seqA//
PaaX	ulaB//dhaL//ycgZ//dnaG//ddpB//yjeV//glcB//fucK//caiC//pdeH//uhpT//casB//fadH//acrB//
PdeL	nac//
PdhR	exuR//ymjD//gatD//ychF//ygbA//glpB//ccmD//prpD//nagE//yiaL//citC//alaC//slt//idnO//ascB//citG//pgk//cyoB//betT//hisQ//waaH//murG//lsrG//tcyJ//purE//yiiS//ariR//hycD//asnC//dkgB//hypD//cpxQ//ccmB//cusR//ldtB//yoaC//flgD//ydeO//napH//yegH//nemA//
PepA	galT//purH//mglC//
PgrR	ymgA//yjeV//nhaA//uidC//napH//nrdA//glmY//recC//
PhoB	fadH//tyrA//purF//argD//ogt//wrbA//exbD//yjbH//fabH//prpC//csgF//phnN//yeaR//ymgA//cytR//mntP//trpE//sucA//potH//sucD//malI//uspD//mtlA//rtcB//wzb//mglB//codA//trpR//lrp//rffM//frdC//pnuC//pspD//erpA//artQ//fadB//csiD//gabP//alkA//appA//htpG//ydhU//sbmC//dnaA//hyfF//adiC//gltB//ssuA//cpxQ//creA//trpL//alsA//yhiD//garK//casA//yhdY//fepB//focA//glgB//waaY//
PhoP	betI//flhC//fruK//ybhR//guaA//mioC//rcnA//dacC//fabG//bglJ//cysI//cspI//glnL//gutQ//gltD//umpH//rutE//cyoB//phoE//ttdR//patD//leuD//nagB//ykgM//puuB//tynA//ydiV//ftsI//dcuS//nupG//ykgM//cdd//norV//betB//gor//csgB//nfo//uidA//glpK//tnaC//sroC//phnF//malF//napF//yiaL//murF//mntH//nrdD//nanS//hmp//fixC//flgD//garK//betT//yhbT//fecI//
PrpR	glnH//setA//ydhY//lpd//ydhT//
PspF	gatB//gadX//aroP//fadL//dkgB//dicB//fliT//
PurR	galT//mazE//pepD//agaW//mglB//puuE//yafN//fliM//frdD//hyfE//lrp//uof//pyrC//infC//dcuA//tadA//wecE//eda//ftsK//gpmM//modB//tyrR//csgF//fucO//dacC//xapA//rplT//pepA//nuoJ//yiaO//ybjG//
PutA	lolA//ybhL//
PuuR	yjiY//gatA//rpmI//omrB//ptsG//ybhR//accC//
QseB	citF//dsdC//chbC//oxc//
RbsR	sgbE//fecR//ariR//leuC//ybjN//alkA//erpA//leuL//dgkA//
RcdA	ccmB//ahpC//ftsK//hycF//ymgA//tyrP//hypE//motB//fadH//
RclR	epd//degP//allD//
RcnR	iraM//fadA//ydeP//
RcsAB	ydfE//mqsR//caiD//mdtB//yciE//yeaR//ydeO//ygiB//fecC//mhpE//nrfF//narK//ccmD//nrdI//mprA//lsrB//
RcsB	astE//yfiB//tam//agaS//setA//ompT//ydiU//idnK//ycgR//rbsD//ldtD//ssrS//gltD//ugpC//mepH//uxaC//bamE//glgA//fliK//yhjA//torC//ugpB//mraY//gadA//nuoG//
RcsB-BglJ	acnB//cysG//ulaA//oppF//rffT//yecR//wecC//tadA//glmS//hns//uxuA//rpiR//lldR//znuC//gcvB//rhaR//
RelB	oppC//lysR//argO//
RelB-RelE	purD//puuE//lysA//
RhaR	hybB//wzxE//
RhaS	nac//rpsU//paaA//bluF//frdB//puuE//
Rob	bioB//ccmD//mhpB//artJ//argG//csgB//ybbW//cueO//mngR//ssuE//rffG//ftsK//chbF//fadE//mngR//bglB//agaD//relB//guaA//araF//ygiZ//gatA//gutQ//dmsD//nrdD//nuoI//
RstA	glgC//ttdT//sbmA//fecC//btuB//nrfE//ugpB//yjjQ//alaC//trpD//
RtcR	ttdA//nagC//
RutR	ydhU//gadA//argA//yhdW//nrfF//exbB//pykF//insD//xylF//ptrA//bolA//xylF//nemA//pspB//torD//yafQ//hipB//
SdiA	ykgO//phnF//puuC//ydcV//rarA//
SgrR	alaC//murD//artI//crp//hcaD//fadD//hyaE//lsrA//nirC//
SlyA	xylH//
SoxR	rffG//dacC//atoA//
SoxS	iscU//hha//fixX//pgaB//zraS//dinQ//paaE//ybjG//fecA//trpC//fliN//ppdA//hisJ//cynR//bglJ//yfbR//agaC//gloA//lsrF//atoA//metC//ftnB//hcr//ftsK//yqhD//lysP//rbsA//dps//moaD//cysA//pdhR//baeS//rpoS//fadR//tdcB//yjbH//phnD//chbG//mzrA//rcnA//
StpA	hypF//grxD//phnG//rclC//dicC//dgkA//agaD//
SutR	soxR//cusB//hyfC//mpl//melR//
TdcA	lsrB//araH//nikC//hisP//phnM//nuoN//puuR//
TdcR	aidB//gpmA//purR//nrfD//pepD//ilvC//tauC//
TorR	ppiD//aidB//betB//wzc//carA//artQ//napC//argP//nemR//rclA//aroP//iraP//
TreR	arsB//pgk//
TrpR	gadA//ycjX//rpoD//recF//uxaC//tadA//purK//puuR//ybdZ//fucA//guaA//hokD//
TyrR	ppc//soxR//trpR//lsrF//sufC//nagB//pck//mraY//rnpB//ydcS//cynS//tdcF//
UhpA	araE//
UidR	mtlD//gspI//glmY//frc//
UlaR	paaY//fimE//tauC//yoaG//alsE//rprA//ssuB//
UvrY	mgtA//fabI//fadM//rpoD//obgE//
UxuR	murQ//phnF//araD//ydjM//ryhB//glcC//melB//amn//ybfN//
XapR	lpxC//sulA//
XylR	alsE//nirB//agaB//exbB//mlrA//uxuA//dcuD//
YdeO	sfsB//mipA//nupG//tsgA//napD//hycB//stpA//zraP//yoaC//hcaC//hcaD//recC//ybdZ//aceK//tadA//agaI//oxyS//pdeL//yciF//ydfE//mqsA//
YedW	frc//gatD//hlyE//agaV//manZ//nikR//creC//pheS//tehB//agaA//hyfI//aceF//
YefM	yecR//yjbE//
YefM-YoeB	aceE//bioB//
YehT	pdhR//
YeiL	aroF//
YiaJ	ynfK//sufA//hns//fimB//ycjY//fes//araE//fur//aroL//idnT//
YjjQ	dcuB//adiC//sucB//pyrC//patD//tynA//ppdA//phnE_1//yegR//fes//
YpdB	gadX//
YqhC	artM//fliS//
YqjI	glk//nrdF//
ZntR	yhhY//
ZraR	astB//yccA//entA//
Zur	chbG//inaA//citD//acrD//purE//pspD//
