#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	tonB//psd//
CsgD	mdtC//yjjZ//yiaJ//murI//malQ//umuC//udp//zntA//cspE//paaI//qseC//fnr//mglB//creC//paaA//ydjM//nanE//creC//rseB//gpmM//allB//nagA//rob//rybA//tbpA//uvrA//ppdA//nfsA//
CsiR	cydC//cusC//bioD//ynfH//murF//
CspA	tdcA//flgH//
CueR	phnM//metL//yaiW//citG//yqhG//leuL//narK//
CusR	yjjQ//umuD//marR//ccmD//ychF//dhaR//rcnA//deoA//dpiA//sgbU//rbfA//cusB//
CynR	katE//nimR//casE//gpmA//
CysB	uxuR//ybfE//glcD//flgI//potG//btuB//hdeB//frdB//hcaC//frc//dinQ//dgcZ//purM//cyoD//fhlA//katG//rffH//waaZ//fabB//nfsB//atoD//ptsI//melA//ydiV//glgB//garP//alsC//rcnA//glpC//entD//gltB//rstA//
CytR	cysD//gabP//bacA//flgM//yafO//uidR//crl//sufA//lsrR//yiiS//metY//ada//sufA//
Dan	dpiA//yhbS//hyaC//spy//
DcuR	mraY//appB//yhjX//fucK//accA//ygiZ//dsdX//gapA//dinD//
DeoR	ugpE//flgM//fecD//hycE//decR//lsrR//
DhaR	uxaC//pgaD//trpL//hycF//
DicA	nanC//cydD//cecR//entF//yebE//adiA//ynfH//cyoC//
DinJ-YafQ	yiaN//yfdE//nikC//
DnaA	napB//citD//isrC//ymjC//ascB//glpB//yjiY//napA//accC//pdeH//rybA//torR//
DpiA	dctA//fliH//lsrR//bdcA//isrC//nrfG//ydbK//mngA//mzrA//gadC//ynfH//
DsdC	rstA//csgE//nuoN//
EbgR	argO//gntT//
EnvR	umuC//slp//
EnvY	rybB//gatA//
EvgA	emrA//ulaG//gabT//nanT//glpF//mglC//yjbH//astE//fimE//hlyE//rstA//nuoL//nrdG//ybiT//ddlB//mscM//nfo//glnB//yibQ//
ExuR	deoD//phoH//feoC//fliJ//glmU//ybhR//yhbT//flgA//rstA//
FabR	ymjD//grcA//
FadR	ybjN//yciW//hyfC//flgM//galT//cydB//exbB//sdhC//pstA//btuB//uvrC//glgC//flgD//cysA//phnI//znuA//glcF//flhA//rhaB//malQ//oppB//allB//nhaR//
FeaR	gntU//uidC//
FhlA	bdcA//glgB//gcvA//arsR//sucD//agaW//mgrB//galE//pyrD//narJ//rffG//metK//rsmH//ynfH//phnD//appC//yqhD//flgL//cytR//fliR//mpaA//rstA//fepG//phoR//cysD//srlE//fliQ//betT//yidL//mdtD//
FlhDC	fbaB//ybhL//dacC//mgrR//nmpC//slp//hycI//cysP//sutR//bdm//entH//rcnR//flgK//lolA//pspB//pstS//moaA//cysN//argE//yjhB//rcnA//kbp//sgrR//paaB//uhpT//phoQ//rhaS//glpT//ydcT//epd//eno//ybfN//ahpC//yecR//betA//aroL//ubiX//srlB//patA//fliT//nanA//hyfB//rimK//uspD//gltJ//aroM//sroC//idnT//caiC//ttdT//ruvA//infC//slt//ddpA//nikC//trpL//araA//srlD//yiaO//gabT//ung//nrdE//dgcN//evgS//lldP//glmY//trpR//fucU//kbaY//fliM//soxR//fadI//cusA//rutR//ccmD//murD//hdeA//glcD//entD//mazE//gdhA//ssuD//
FliZ	xylR//pepD//yjjQ//murR//nrdF//lon//ydfH//lsrF//folA//csgC//pncB//zwf//ydbK//purE//cheA//fadI//flgL//yiaK//hycH//deoD//malX//
FucR	ompF//lsrA//galK//pstS//rhaS//fldB//ugpE//
Fur	nfsA//rbsA//agaR//mhpB//gspK//gpmM//dctR//hyaC//glmU//molR_1//yiaL//ydeN//ydhU//gyrA//relA//sbmC//fdnI//chbC//rybA//aceA//tyrB//yegH//wzyE//phnF//feoB//metR//phnC//ccmA//ybhF//casE//lsrF//pepA//paaA//ydbK//yjiY//relE//mngB//gor//pheT//fliE//mazF//ydhT//ompT//nuoE//rhaD//tdcF//cynS//dmsB//cyoB//oxyR//gadF//ddpF//hemL//metJ//ydbD//ymgC//katG//gadB//puuA//agaS//cpxQ//alsC//gcvP//mhpD//mhpD//cynT//rprA//leuO//ygeA//purM//hokE//nrdA//gutM//pgaC//nuoH//kdpB//yciW//puuD//puuR//fucP//sroD//ruvA//creD//ftnA//gspM//lsrA//rclA//melA//flhD//yeaE//dapB//fabA//pyrC//fadA//fabZ//flhE//leuC//yqjA//polB//hypE//astE//sufC//ddpA//ascB//yiaN//purC//katE//allA//yccJ//cho//kdpB//pepD//cydB//gnd//rutD//emrA//garK//tsx//ugpC//rbsR//gnd//iclR//metY//fadM//hyi//gntK//rnlB//rstA//exbD//ynfH//
GadE	ykgM//nuoH//sufE//treB//ibaG//pspB//hyaE//yhiD//flgM//gntK//casD//leuA//ompC//fucA//gadW//mgtL//yncE//rbsB//astD//ecpR//ybdZ//ompW//putP//sodA//umuC//ydfW//ydjM//sgbU//lyxK//
GadE-RcsB	mntS//ybhG//trpL//murD//manZ//tolC//pgk//ihfA//hflD//
GadW	gntT//feoC//ssuE//betA//yhdY//ppdC//yjhC//nanM//rutC//ydcT//sodA//yagK//zraR//crl//marR//
GadX	cysN//kdpC//lrhA//grcA//fldB//accD//mgrR//atoB//ybdN//nrfA//pitB//malZ//ulaG//bdcA//cpxA//mngB//nmpC//edd//bacA//fnr//fixC//allD//dinG//ptrA//lsrG//tcyJ//csgA//sbcC//mdtC//
GalR	murR//phr//ulaB//nuoN//ulaD//yhhY//mazE//appC//focA//glpT//
GalS	asr//hipB//malS//ymgC//yhcH//dps//fhuA//mhpB//osmB//uvrB//
GatR	modA//mhpE//alsA//metK//appY//sodB//
GcvA	symE//tnaC//mipA//betT//sbmC//
GlcC	lrp//ppdC//tonB//mqsR//mgtA//xylA//ychF//
GlpR	putP//mepH//fliQ//cpxA//soxR//putP//ugpA//chbR//tdcE//
GlrR	chbB//yrbL//bioC//aroL//fliH//
GntR	tnaC//alaS//ribA//cysD//kdpA//gadF//agaS//ftsW//galS//mazF//pheS//rffM//
GutM	pyrC//hisQ//phoR//hyfJ//cdaR//ppdB//fliC//
GutR	nuoN//fadJ//yhdW//gspK//entA//ygiA//fucK//
HU	sucA//fliE//rbsA//dhaR//bhsA//kbaY//csgG//lysA//sgbE//
HcaR	nuoB//hypE//ydhV//mltF//ybfE//nuoM//
HdfR	ycjG//lpxC//napD//lyxK//safA//
HigA	glnQ//dgcZ//
HigB-HigA	nuoJ//ydfN//
HipAB	rutA//hybO//ihfA//cyoD//yccA//
HipB	mdtA//rutB//ilvC//ddpA//yhbT//rstA//
HyfR	lexA//sufE//hybE//gspJ//puuC//patA//napF//astA//moaD//hycD//soxS//dcuD//
HypT	oxc//nuoJ//hdeB//rfe//ulaA//rpoE//rprA//rpmI//rtcB//ccmH//kbaZ//slp//dhaM//
IclR	yecR//dpiA//yhdX//yciG//
IdnR	metB//ydhV//fruK//yedX//chbR//glcB//rclA//
IlvY	fadH//fadA//
IscR	ybiT//bamE//flgC//csgD//pgaC//gabT//ascB//yhiM//fhuE//ulaC//chbG//rutD//fldB//yjbH//ulaE//nanC//nanC//nanT//paaJ//tnaA//gspJ//fucO//grcA//galK//entH//rcsA//nuoC//intQ//citD//mazF//yefM//slp//
KdgR	ahpF//sufB//
KdpE	chiP//tynA//oxc//mltF//
LacI	gadY//lrp//amn//
LeuO	citG//mdtF//nuoC//mgtA//rbsA//emrB//metY//ddpX//yhdX//ymjD//fadE//uxuA//ydhW//bioF//sufE//ybhF//tdcF//allC//nrdD//citG//
LexA	speA//gudD//bluF//nrdD//yccJ//yeaH//creC//napG//pdhR//rffC//hycH//mazF//fepC//trpL//fadL//fruA//tisB//ubiA//ybaT//cecR//garP//gatB//ompN//dcuD//sgbU//fadJ//adiC//nemA//gspG//cdaR//tcyP//mhpD//acrR//hypA//torD//yhiM//dsbC//fepD//appY//murD//ydbK//glxR//nuoL//fecE//ymiA//flgF//ulaE//cydC//hybF//ebgA//cspI//ddpC//alsA//yiaN//arsC//phnJ//crr//pspF//lysR//
LldR	malF//rclA//prpR//
LrhA	yccA//creB//entC//tbpA//
LsrR	cysI//znuB//hybF//metY//phnO//recB//pgk//mglA//ydeN//
LysR	baeR//bioA//
MalI	fepE//sgbU//yebG//
MalT	gatB//yciW//tktB//glcE//putA//leuO//nfuA//cynS//hycA//yoaC//
MarA	glnB//dtpA//flgG//flgE//alkA//gspG//pyrC//thrS//ygiB//purK//tauC//yjbE//cyoE//rarA//flgJ//uxuA//xapA//hisJ//oppA//pck//lysO//glmY//tpiA//dsbG//glcD//fabZ//iscS//narJ//fucI//argA//yoeB//yjhC//mraY//fdnI//paaY//iclR//ulaA//nfsA//
MarR	lsrR//pgaA//psd//
MatA	hisM//cecR//ada//pgaC//fliM//nuoH//rhaB//ydeO//
MazE	rnlB//wecB//mglA//
MazE-MazF	argR//katG//dtpA//
McbR	argT//paaX//cynS//ung//
MelR	ynbA//bamE//dmsA//
MetJ	hyaF//csgC//nuoE//murR//pitB//gor//accA//aidB//tdcF//csgG//nac//sroD//creC//murD//sufC//
MetR	gspJ//hipB//bioC//crp//hycC//
MhpR	ugpC//astD//pspF//nlpA//fhuB//gltL//
Mlc	mqsR//tnaB//ugpQ//ddpB//sulA//csgD//sfsB//fiu//cysK//rutD//
MlrA	flhC//mtlR//ibaG//alsB//efeU_1//fliO//idnR//lysC//flhD//yqaE//
MngR	ibaG//yebG//cysM//
MntR	poxB//aspA//ybaT//intQ//hyfB//
ModE	puuD//uspD//galP//ccmH//appA//rcnA//hisJ//micF//yecR//hybO//atoD//rpoH//lpd//mngA//ynbA//dsrA//sbmA//sgrR//ompN//srlB//cysG//icd//malM//bluF//garD//wecE//ygbK//phoU//fabA//agaR//dmsB//marR//cysK//lsrF//napA//purM//lysP//puuR//ycdZ//ompC//potG//garP//napC//fdnG//gloA//hybO//
MprA	mzrA//murQ//iscS//rsmH//fhuC//folE//
MqsA	acrZ//pgi//phnG//fadM//manY//nemR//cas2//aroM//
MraZ	fliD//ydfX//waaZ//pgaC//ssuE//metJ//yibQ//allB//ahpF//frc//accC//ybdZ//metY//fimB//yciX//rffH//ccmD//
MtlR	fecR//yaiA//creC//
MurR	cynR//cysA//hdeD//
Nac	osmC//cydB//omrB//ydfX//rhaD//yhiD//phoR//recN//manY//fliP//hcaF//bacA//gatD//ydbD//mdtB//appY//gadX//nimR//nrdG//glyA//dmsC//
NadR	aldA//agaW//ycgZ//paaH//
NagC	tam//glnQ//gltJ//metK//hycD//guaB//wcaA//alsC//ymjC//rfe//ompC//bluF//flhC//aceF//galS//ihfA//cytR//cysE//fecR//phoA//ccmD//argC//marB//argE//dinF//araA//gcvP//bglG//eno//rybA//dsrA//ssb//ompW//ydhW//yqhG//ugpA//rffC//
NanR	adhE//tyrR//cydA//manZ//uvrC//copA//puuA//ycjY//pdeR//manX//pgaA//
NarL	mscM//insK//gadX//patD//nadA//mraZ//hokE//sroA//dsdX//ydhX//ulaD//setA//nanM//cysN//gltK//paaG//icd//ptsH//tonB//mgrR//atoA//paaX//ddpF//flhC//nrdG//paaE//tsx//caiD//ydbD//xylB//ilvC//sfsB//yidL//lsrC//fecD//ppdB//glgA//grxD//obgE//allS//trpR//metC//hflD//trpC//lacA//pspD//caiD//rsmH//entF//gspJ//fes//icd//pgm//hybD//argH//fruB//citX//iraP//marB//gatZ//nagA//pepD//ynbB//modA//ftsK//gspO//potI//agaR//rclC//paaG//sodA//dmsD//ugpB//acrA//fliK//ymgC//yafN//recX//lysO//gudD//ybfN//lacY//wzxE//leuD//cecR//ccmD//lsrG//phnD//dacC//dkgB//ydcT//higA//sulA//frdD//argD//ebgA//cysJ//isrC//psd//hemH//ilvY//ibaG//napG//rbsB//phnP//metB//fixA//marB//nemR//narK//wzc//dinJ//dmsC//phnP//amtB//nrfB//tam//dhaK//ahpF//ldtB//mazF//fepA//fucR//
NarP	araD//dgcN//grcA//cyoA//recN//glnG//rpoD//efeU_1//moaA//idnD//lsrC//skp//yibQ//citX//ugpC//mdtA//mhpC//argB//prpD//cpxA//ebgA//waaY//slp//yhiM//gadB//rpiR//pgk//rdoA//argH//malT//gltJ//rffH//gabT//malX//aroF//flgN//yjjQ//dctR//mngA//casA//carA//focA//yfdX//mqsA//malP//ynfG//uxaA//creA//hyfF//cydD//
NemR	glpK//wzzE//erpA//
NhaR	malP//ptrA//acrA//gcvA//yeiL//cspE//rpoD//
NikR	argE//exuR//fucR//sufC//aldA//rbsD//
NimR	ssuE//nrfE//
NorR	ydfE//fliH//potH//
NrdR	sufA//ddpD//alaC//nirC//gudD//agaW//allS//mngB//hypA//
NsrR	ribA//bioB//appX//hdeB//fucA//seqA//gltJ//kdpA//insK//ynfE//murI//fhuE//rutG//aceA//moaE//alsC//ftnB//nuoI//rseC//glgA//ulaB//ldtB//lldP//frdD//srlD//rhaS//bioD//purD//fimE//cueO//dhaL//fabH//rnlB//ldtD//gnd//accC//mhpA//fliL//glnQ//add//soxR//caiT//metJ//gltD//ftsQ//fepG//entA//moaB//hycF//glnK//glpA//eno//yccJ//allE//murR//mhpD//copA//aidB//fliQ//fhuC//citX//pykF//uvrY//ycgR//nikC//hisM//dsbG//uvrA//napG//nimT//xylA//gltK//phoA//nirC//atoB//argF//metI//gatA//gatB//yiaJ//cyoB//sutR//envC//
NtrC	hisP//grxD//yhbT//dhaK//casD//rhaB//rutD//eno//cpxQ//yfdV//moaA//sdhB//hcaR//fhuD//qseC//mntP//tauB//ruvA//sufB//serA//dsrA//prs//cueO//dmsA//bdm//gntP//rpoD//malX//fepA//gatC//tam//agaR//ynbA//phnE_2//rpiB//infB//dnaA//pgaD//yhbT//araF//pepD//grxA//bioA//gltB//fliT//flgM//citD//murR//pspE//
OmpR	hipB//ydfD//recC//astA//ymgC//alsB//cytR//ddpA//chbG//astD//fhuF//icd//uvrY//arsB//aslB//fadH//insD//glmY//hybB//osmB//hlyE//
OxyR	pepD//malE//yjeV//agaC//cyaR//napG//xylF//glpF//gyrA//nrdF//metY//mdtB//nagC//fabA//ydeI//hyaB//fumB//dapB//malQ//waaY//puuA//flhE//icd//focB//creC//mntS//pepA//purD//pdeH//xylR//ribA//rplT//tauC//mhpD//
PaaX	ydfE//fhuD//purN//oxyS//yhdY//hflD//mazG//mcbA//cusC//nikD//amn//nikB//ssuD//fhuC//
PdeL	glpA//
PdhR	allC//rcnB//ecpR//nikB//gspG//rpmA//nrfB//pnuC//caiD//uvrA//cysD//hisJ//flgJ//bioF//higB//casE//fliT//rclA//prpE//infB//nrfE//cra//rpmA//fadA//gltI//ybaT//gltF//hyfH//tehB//lsrA//slyB//ampC//fliI//ompC//csiD//tsgA//cysP//umpH//sgbU//guaA//cpxR//
PepA	nrdE//flgA//pyrD//
PgrR	rybB//yjjZ//csgD//flgM//citD//ynbD//hyaC//mtr//
PhoB	sroA//csiD//rcnR//malK//hokD//asnC//sulA//hybB//ydcT//ebgA//rffH//chbG//kbaZ//gltB//obgE//tauC//hyaA//phoB//yjhC//ybdN//edd//ecpA//phnC//yciX//fumC//ribA//ynfH//fliO//ynbC//ybhG//guaA//glgC//guaB//accD//idnT//ynjI//deoD//cynS//mazG//nuoG//uof//ydeP//zraP//sufA//nusA//thiQ//yfdV//cvpA//mdtA//gatC//tsx//gabT//dcuA//ompF//mngR//kbaY//hyaA//fabD//atoD//ogt//
PhoP	fadE//paaK//ydcV//nimR//aroL//ddpF//borD//cysB//ptsI//yeiB//oxc//astC//ruvA//hypE//uidR//tisB//gdhA//rpsU//relB//gspC//nuoK//yfiB//gnd//nrfD//yccA//glnQ//galP//ftsQ//fliO//pspE//tolC//cspI//hcp//creC//hyfB//ftsZ//ddpD//ychF//recN//safA//wcaA//fliM//nimR//slyB//dkgA//ybbW//chiP//guaB//glpK//udp//argI//rpoD//gltK//astD//pncB//pgpC//
PrpR	cyoC//hyfI//narX//xapB//gabD//
PspF	fruB//rtcA//lysO//rcnR//manZ//fliS//argA//
PurR	ptsH//ompF//manX//glcE//yegR//gabP//nadA//srlR//chbF//lsrR//gdhA//chbC//cynX//exbD//paaG//kdpB//yoaC//atoB//ycjG//yhdZ//ulaD//cysD//narJ//malK//rcnB//hisM//add//accD//mepH//flgI//wrbA//
PutA	tnaC//recD//
PuuR	lpxD//tnaB//rseC//dmsC//hyfR//ecpR//mdh//
QseB	ompT//murC//glpF//phoQ//
RbsR	baeR//yjbH//casC//edd//dhaR//ydfD//potG//motA//uof//
RcdA	phr//yegR//sucD//cysP//ada//glcC//pstA//katG//mqsA//
RclR	lolA//potG//glcA//
RcnR	fabG//ybjN//mngB//
RcsAB	gabP//fixX//pepD//yoaC//mhpD//glyA//rstA//asr//yqhD//rpsO//treC//guaB//cysK//atoD//fecD//mgrR//
RcsB	pgm//ecpA//fliC//yhbT//fldA//yqaE//ccmD//purE//pstC//moaD//fecE//hyfB//deoD//hcp//rpmA//pspD//dpiA//wzb//mtlA//cynX//recX//rseC//yfiB//argP//pdeH//
RcsB-BglJ	fau//ybhG//uspA//sgbU//sdhC//dmsD//ttdR//astB//nupC//malM//gdhA//sucC//cbl//ynbC//zinT//bdm//
RelB	ybbY//dinJ//tyrB//
RelB-RelE	dgkA//cirA//hyfC//
RhaR	metJ//gspO//
RhaS	pspF//ulaD//allD//nfuA//phnF//ygiA//
Rob	hyaF//yjiY//cydD//hyfF//bioC//agaA//wrbA//entA//gatZ//rcnR//torC//acrA//acrZ//marB//sdhC//srlR//lsrB//agaD//feaR//ftsI//ygiA//entE//ybbY//agaI//mtr//galK//
RstA	hyaC//metQ//alkA//fimB//entS//napG//hypF//lysO//ycdZ//mtlA//
RtcR	rcsA//nikR//
RutR	oxc//rbsC//yegR//mdtD//dicC//frc//glgX//yeiB//rpoH//hybA//nuoF//fliG//higB//fliH//lsrG//cusA//mhpC//
SdiA	yhdX//phnC//ftsW//glcE//yfiB//
SgrR	mqsR//thrS//yedX//gcvP//ssb//bhsA//hisM//mngB//yeaE//
SlyA	yqhG//
SoxR	chbA//arsR//ykiA//
SoxS	nirD//relA//argA//fdhF//atoB//hns//mgrB//xylG//rybA//ydfE//gcvT//phnN//mscM//recB//nuoH//hypA//ruvB//lysC//mqsR//malK//fecD//gntP//sgrR//glmU//alaC//fliJ//fliT//trpD//flgH//alsE//flgL//ydeM//ygiZ//yncE//rpsO//ldtD//yccT//yiaL//paaB//nikD//
StpA	creB//dinF//mglA//paaG//skp//thiP//ycjY//
SutR	purN//cydA//rbsD//fepB//hypC//
TdcA	ptsI//nrfF//rhaS//yciW//csgE//araA//artQ//
TdcR	cdd//fumC//hmp//kbaY//agaS//nikD//malT//
TorR	rplU//glpQ//malS//ptsI//glpA//pstS//rutE//ldtB//bioF//yneM//nemR//mhpC//
TreR	ccmA//rtcA//
TrpR	tsr//ybiT//gabP//dcuA//metN//ahpF//flhC//fimE//kbaZ//ecnB//micF//tsr//
TyrR	casC//hokD//murI//fhuD//flhC//tbpA//isrC//narI//rsmH//cpxP//pspC//mazF//
UhpA	rcnB//
UidR	appB//pgi//ccmF//hycD//
UlaR	uof//phoU//allC//ydiV//hycC//micF//dkgB//
UvrY	argH//psiF//yafQ//hyfB//malY//
UxuR	yafN//mpaA//appA//narH//lsrF//phoH//entC//mglC//lsrC//
XapR	caiE//ppiD//
XylR	grxD//torR//cyoE//acnB//ccmA//xapB//hisP//
YdeO	gnd//ftnA//mazE//dapD//rbsD//znuA//betI//motB//fliK//ppdB//ccmD//rybA//ftnB//eno//fhuB//exuR//hybG//tdcC//fixA//tktB//psiE//
YedW	lacA//melB//yqhD//qseB//cas1//citX//bdm//dmsD//alaC//gltI//caiB//artJ//
YefM	artM//nagC//
YefM-YoeB	aslB//hydN//
YehT	ygiC//
YeiL	citF//
YiaJ	ccmG//tauD//glnH//dcuS//ebgA//fecC//fecD//fixB//insK//gltB//
YjjQ	pspD//cyoA//mpaA//gudP//fimB//leuA//oppB//nemR//napG//waaZ//
YpdB	ftsA//
YqhC	uxaA//degP//
YqjI	mtlA//obgE//
ZntR	dgcZ//
ZraR	mglC//nikD//dgkA//
Zur	yiiS//fadH//epd//lpxD//cspI//mgrB//
