#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	ymjD//emrA//
FlhDC	yegH//nrdI//psd//recD//trpR//potI//nrdF//yjbG//fliM//ugpQ//caiF//lhgO//argE//ccmA//envC//gspJ//moaD//murE//lacA//fliC//creB//rimP//yeaE//cysP//mazG//flgM//ynbB//yafQ//wzxE//eno//wzzE//alsC//dsbA//ybiT//yqjA//hisP//ybjN//sroC//rstB//rbsR//betI//leuC//argG//paaX//gadB//lyxK//serA//ddpC//rutG//gatZ//dgkA//ymjD//ftsW//dgcZ//bolA//gudX//gntX//gadW//prpD//hybE//artQ//csrC//casA//lpxD//asnA//uxuA//appC//gspM//ssrS//accA//znuC//flgF//ddpB//csgA//cydA//hyaD//ybjN//atoB//betB//rbsA//iclR//yagK//
FliZ	ydhX//nrdG//pepD//fhuE//grcA//bioA//uvrB//pqiB//ygiA//aspC//nrdD//insD//astC//ybbW//csgE//phnG//xylH//ubiX//pgpC//murI//sucA//
FucR	infC//yjhC//emrA//bamE//murD//glpF//acnB//
Fur	phnM//ahpC//ydhU//ugpE//sulA//bioB//rob//nimR//malP//manZ//yfdV//wcaA//lpxD//sdhC//betI//hokD//nupG//fes//hypC//ccmF//ydcU//mnmG//malS//polA//nrdE//ndh//ugpC//ygiA//napA//agaB//paaE//gatA//bdcA//entD//asnC//fepD//araJ//fimB//artQ//talA//rutE//paaI//hyaA//yhdX//dcuA//deoD//nuoI//omrA//purE//hyfF//nikR//ompN//ptsG//znuB//lpxA//guaB//melB//galR//ynbC//malF//ccmF//caiC//uspD//nuoI//mngB//baeS//ycdZ//tauC//yedX//yeaR//rtcB//ribA//ppdB//marA//rpsO//hycF//yecR//seqA//mdtA//uspD//yrbL//yafN//modA//znuB//flgE//yjbE//psiF//iraP//idnO//ihfA//fliP//rstB//yccJ//mgrB//sdhA//aroF//alsE//ariR//cynX//ogt//cytR//treC//dcuR//lon//nrfG//alsC//dtpA//yhjC//aroM//marR//dicB//nanA//rybA//rffM//aceA//gatA//recA//hyfA//lexA//borD//aspA//mglA//lldP//yhbS//rbsC//codA//hokE//phoQ//hypC//yoaC//
GadE	idnD//uvrC//gntU//ldtC//ymiA//nanM//nuoF//hyaD//fhuD//grcA//tauB//feoA//lsrF//nrfC//dkgA//uxuB//ddpD//hybA//hyfA//fimE//citX//dmsD//ymjC//marR//fabH//gadF//fecB//yiaJ//nupG//
GadE-RcsB	malQ//umpH//thrS//glpQ//phnE_2//appC//glxK//sodB//paaG//
GadW	purA//murC//cdd//flhA//ccmG//cydB//rybA//degP//fliE//atoB//bamE//ecnB//accC//gspM//rplU//
GadX	rnpB//higA//mprA//waaY//nfsB//paaH//ydhY//glyA//mraZ//yccT//fepG//wzb//nadB//ppdB//paaC//fliE//glgX//aspC//thiQ//kdpB//ldtC//acrD//chbB//ttdR//ftsL//paaJ//ydjM//dsdC//hipB//
GalR	gpmM//csgC//ydhX//rhaT//yfiR//hmp//bglJ//betA//cusF//ppdB//
GalS	cysH//aceB//norV//mglB//uxaC//poxB//murE//csgE//znuA//arsB//
GatR	pqiB//malG//sdhB//hyfG//skp//rpiR//
GcvA	aroH//ugpB//dgkA//hycG//potH//
GlcC	gadE//hybD//ssrS//torD//flhA//ugpE//osmC//
GlpR	mtr//purK//phoA//ccmH//astD//murC//pqiA//psiF//hemL//
GlrR	ydcV//htpG//metR//nanK//yjbG//
GntR	codB//pfkA//gltL//feaR//iclR//argI//napH//nrfF//xapB//napF//ymgA//casD//
GutM	srlD//bioF//argP//fhuC//murG//gatB//fucA//
GutR	insK//deoD//yhcH//arsR//potI//yhhY//yiaJ//
HU	symE//sutR//fabI//ydcU//ulaE//casB//ada//mdtF//ccmD//
HcaR	yafQ//moaC//phnJ//hypD//ydhT//gor//
HdfR	pdeR//metK//ydiV//uspA//lldD//
HigA	uspE//puuR//
HigB-HigA	fucU//acrZ//
HipAB	seqA//araA//stpA//appA//nuoJ//
HipB	nikC//mglC//sucA//fliD//hokD//araJ//
HyfR	yjeV//garP//gapA//ycjG//yegH//nohA//yoeB//exuT//agaD//entD//srlE//fliP//
HypT	znuB//rbsC//mdtF//flgH//emrK//potG//umpH//metY//artJ//fliO//aroM//paaH//hycI//
IclR	cysN//yiaM//aidB//cra//
IdnR	csrB//lpxC//baeR//relA//ybfE//ihfA//ydeP//
IlvY	chiP//lldP//
IscR	alsB//cydD//ynbC//fixA//ugpA//alsB//hyfH//tyrP//phnG//sroA//fruB//tnaA//hypE//mdtE//ygaC//rtcB//malX//mhpA//yhdY//fliM//nanE//paaD//ulaB//iscS//hyfE//tktB//fadD//ddpC//dinQ//phnC//marR//fecR//
KdgR	aspA//pnp//
KdpE	alkB//nuoB//nuoM//metJ//
LacI	srlA//yjbF//fecC//
LeuO	purF//fiu//rob//yeaE//yfdX//metN//nrfA//rseB//prpR//prpR//rfe//hybD//ptsH//citF//ychF//decR//modC//flgA//feoC//gcvB//
LexA	ynbD//ydiV//udp//acrR//ulaC//gcvP//fliN//ycdZ//tdcG//gspC//fucK//obgE//gltJ//nrdD//metE//glcD//cysU//yjbF//crr//purR//ulaC//fruA//csgG//tauB//fliM//yeaH//mazF//puuD//rpoD//rob//garP//nuoM//ftsL//glxK//gatD//hyi//grxA//dcuD//nuoC//ytfE//yfaE//glmU//hypA//rbsC//dinQ//rutF//malP//fhuB//nagE//dnaN//guaB//purB//ynbA//glcF//allB//melA//hycE//ppdB//glcB//
LldR	ugpQ//ccmB//oxyS//
LrhA	flu//slp//nagE//tolC//
LsrR	kdpB//cyaR//yafQ//xylA//fadL//guaA//nuoI//gyrA//gudP//
LysR	ydfH//epd//
MalI	pstA//fhuD//tyrP//
MalT	nikE//wza//betB//casD//yiaK//alsC//pspD//cysE//moaB//ampC//
MarA	cpxQ//flgI//fruK//citC//ygiA//caiA//hyfC//infC//agaV//tehB//cspI//flgG//pspD//mdtA//nfo//fhuE//purC//treR//ycgR//hypF//fabZ//gor//grxA//dsdX//ynfF//csiD//ndh//metA//norV//fliA//lpxC//torA//norV//iraP//creD//alsA//fepA//csgA//
MarR	trpL//nirD//yagK//
MatA	glpF//aspA//acrZ//mntP//uspE//prpC//sulA//gspO//
MazE	ygbA//hyaA//rseB//
MazE-MazF	gadF//emrA//glmY//
McbR	fepB//mtr//nikE//gabP//
MelR	ddpC//flgF//lpxA//
MetJ	arsC//paaH//zraP//inaA//flgG//lldP//gadF//glnD//gabP//argO//gudD//ulaA//bglF//betB//fepD//
MetR	alaC//uspA//csgG//mipA//prs//
MhpR	ccmG//cvpA//yafQ//galR//nrfB//aspC//
Mlc	glxK//ybfE//uvrY//ddpC//argB//rpmI//chbG//bioB//idnT//agaA//
MlrA	yqjH//hdeD//gntP//rcnA//malT//cyoC//carA//csgD//degP//creA//
MngR	rpmA//lsrC//omrB//
MntR	pheS//rplT//nemA//gutM//hyi//
ModE	xylA//hypF//tyrP//higA//leuC//mglA//flgJ//erpA//rutG//ssuE//yciF//aldA//ddpX//glpA//gcvT//argT//fecA//lyxK//uvrD//nikA//pyrD//feaR//glgC//cysK//grxD//soxR//ftsK//rnpB//paaZ//sodA//phnO//dpiA//csgB//cydA//uidC//oxyR//ydfN//malP//yhhY//speA//nagE//glcC//hcaD//citC//bolA//tolC//
MprA	fhuB//flhA//insD//rnlA//nemR//mhpD//
MqsA	pitB//potG//yqjI//crl//cysW//paaI//cysW//micF//
MraZ	deoD//tauC//yhdZ//dgcZ//entE//puuR//flgC//omrA//relA//cadA//nfuA//ppiA//rclC//feoB//ybhS//add//pstS//
MtlR	mngR//tdcC//cho//
MurR	pstB//lacA//gabD//
Nac	ulaF//ydfE//bamE//flgJ//nrfF//araF//cysD//chbA//puuD//gltB//dsdA//fau//patA//modC//malQ//glpQ//ldtC//wzyE//phnJ//dnaN//hcaR//
NadR	dcuR//ptsI//polB//hyfI//
NagC	guaB//rutB//hycI//flgB//rclB//araF//sufB//cusA//yrbL//yaiA//acrZ//agaB//gspG//rffH//cusR//purB//fecA//mdtF//puuC//rhaA//dinD//bioB//torC//sufC//fliL//motB//citC//tcyJ//lysC//dicB//cusB//glgX//araE//ftsZ//alsA//mngA//amn//
NanR	tyrR//xylB//trpB//lldP//ppdC//hdeD//phnE_1//fur//fhuB//gabD//hybB//
NarL	yiaO//napH//hybE//dgkA//feoC//efeU_1//slt//nagE//osmB//rhaR//sucC//gcvB//dinJ//atoD//nrdA//lacZ//pgi//gpmA//caiC//feoB//isrC//yidL//wzzE//ftsL//araG//nikC//ebgC//recX//gatA//argE//frdD//ftsK//glpF//uof//fliG//gyrA//glgA//yncE//moaC//uidR//manY//lpxD//fucI//tcyP//nuoK//ccmC//rtcB//alsB//flgD//yjbF//tnaA//glpB//ycjG//osmC//garK//mioC//gcvH//asnC//yciX//mnmG//moaD//ddpB//aspC//gadW//pspG//wrbA//csgC//napG//fecI//hyaF//hybE//sdhC//yagK//dicB//nlpA//hyfB//paaE//slyB//pgk//accC//ybhF//csgE//glyA//gcvB//phnJ//xapA//galK//purK//yhdZ//agaD//ybbY//glpQ//cpxA//araB//uidA//ppdA//xylG//fnr//ppiD//ogt//higB//ykgM//fdhF//entB//tpiA//fruB//creD//wecC//fdhF//nirD//yhjX//amn//mntS//yiaO//appA//iscR//cheA//znuB//entA//dinB//lpd//yeiB//glpX//
NarP	sdhB//xylB//oppF//acnB//glpK//prpR//yhjX//cadA//moaC//ybhF//putP//rffT//ymjD//gcvB//malS//mqsA//fliQ//ompF//hns//cyoA//ddpF//amn//hyfG//yibQ//murI//hyaB//aslB//fabA//dapD//fhuB//purA//tsx//accC//dcuS//mntP//sroC//treC//hisP//dacC//sufD//rffC//ptsG//xylR//entB//hokD//pepD//argG//tauB//nirB//gspM//
NemR	purH//metQ//hisM//
NhaR	uxuR//cas2//nemR//mlrA//fabD//fadB//gcvH//
NikR	purN//putP//artP//pncB//rsmH//alaC//
NimR	fumC//bdm//
NorR	dpiB//gadF//gadW//
NrdR	cysP//rpoH//cysC//nanS//flgK//uspA//astC//lysA//nrdE//
NsrR	moaE//nemR//dgcN//fixB//cpxR//acrD//ydfD//flgM//tehA//torD//ssuC//feoC//ssuC//lysO//fumC//mpl//zwf//baeR//gadE//sufA//moaE//purK//citC//ybfN//csgE//ygdB//lacA//umuC//bolA//xapB//nanS//dacC//truB//paaG//sgrT//dapD//lpd//citX//cpxP//fpr//modC//entD//entE//yidQ//ulaF//dinQ//fixC//fpr//tehA//napA//fhuC//yeaD//wzzE//pdeL//ompT//asnA//yegH//uspE//rstB//ydfX//malM//paaY//puuC//ryhB//dgkA//evgA//rcsA//lldR//hyaD//glnK//lacY//dgcZ//ynfK//gadB//malZ//asnC//dhaL//hyaC//argI//gor//zraS//dsdA//emrK//
NtrC	glxK//uvrC//talA//exuT//rhaT//yiaJ//wecC//lysC//nuoF//dcuD//gcvP//folE//galR//puuC//nhaA//ymjC//erpA//ygeH//betT//glxR//rpmA//kdpF//sdhA//phnM//rpoH//yqjH//uxaA//mdh//ssrS//phoA//purD//alsB//lpxA//pykF//bglG//appA//yfaE//nirB//lsrA//cspE//deoA//paaK//tauB//metR//dpiA//gltJ//phnL//murI//tsgA//
OmpR	hemH//serA//lysA//gabP//hycI//ftsK//mhpT//molR_1//hyfE//hns//torA//carB//murR//flhB//metE//potG//rbsB//dcuD//yjiY//mngA//alaC//
OxyR	galT//cynR//baeR//pyrC//mdtE//codB//sufA//ygiA//ynbD//ulaB//flgB//fnr//yeaE//sgrS//uspD//skp//rhaD//ydfH//prpB//lldD//bioB//creD//araF//deoA//xylH//rybA//gadY//gltD//ogt//gatY//treR//acrD//uxaA//tauB//
PaaX	dhaR//ddpD//mdtA//fnr//csgD//putA//cvpA//gntX//moaC//yiaM//speB//sulA//ruvB//recN//
PdeL	malP//
PdhR	yciW//patA//ydcT//alaS//sroA//fhuC//leuD//inaA//ulaB//mntP//manZ//icd//ygeH//flgA//fhuB//fadB//dnaG//mhpC//norW//fecR//relB//mhpA//deoA//cysH//garK//insD//hyfF//ssb//rplU//gadF//yccJ//sra//flgG//uidC//agaD//xylF//yiaO//betB//caiC//mprA//fepA//
PepA	nmpC//xylR//ccmF//
PgrR	murI//atoE//ynfH//yedX//rpiB//gspM//mazG//fliL//
PhoB	uspE//psiF//purA//recX//ybhL//aroP//zraP//yqjA//hybG//ptsI//yjbE//xylH//carA//rsmH//yciE//dcuB//modA//wrbA//znuC//fliT//ygaC//rutR//rarA//ruvB//araC//glgB//paaF//prpR//yjbE//agaA//ygaC//leuO//accB//rcnR//yaiW//osmC//dicB//wzb//cspI//hyfD//murG//waaZ//ftsZ//cysM//artP//murQ//ydbK//dctA//degP//dnaA//ydcS//treC//dgcZ//glcF//hycA//artP//sulA//potI//flgI//mglB//
PhoP	metA//fepD//araE//nirD//phnE_2//cyoA//fruB//yjiY//csgA//nuoC//uspD//flgG//hycC//ynjI//glgP//norW//crp//rbsC//znuA//thiQ//narJ//fruA//casE//gcl//alaS//yhjX//yciG//mgtL//dcuD//cyoA//rffG//rutE//hyfG//puuB//hycI//gltK//focB//fecC//lgoR//yaiA//casA//aceK//gadB//oxyR//nimT//csgG//napD//pfkA//yiaO//fliD//zraS//ilvY//hycI//flgG//nfsA//hcaD//
PrpR	cysC//tdcB//yhdW//nfsA//nikE//
PspF	chiP//agaI//malS//fadM//fhuF//sbcC//molR_1//
PurR	mltF//cyaR//ptsI//fecA//xapA//ftsW//ycjX//purE//dgcC//yecR//srlD//napF//waaH//sdhD//nlpA//relB//puuR//pspD//acrD//ldtC//hydN//hyfC//kbp//leuB//sdhA//ymgA//mazE//malE//fepE//sucA//nagA//
PutA	chiP//fecR//
PuuR	ttdA//glgB//recF//hyfE//paaD//eda//sucC//
QseB	rutE//dsdC//rutR//yebG//
RbsR	waaH//puuE//leuD//mdh//rcnR//ppdC//glk//nac//efeU_1//
RcdA	ompC//thrS//hycG//lldD//paaZ//ccmB//rstA//yegH//ddpA//
RclR	ybbW//cytR//ulaA//
RcnR	wzyE//nfo//pagP//
RcsAB	rhaB//ygeA//paaJ//fabI//ydeI//fdnI//grxA//flgG//rpoD//sbcC//glgB//nrdI//rnpB//ybfN//cyaR//yedX//
RcsB	cyoD//ydjM//ribA//copA//gabP//setA//cadC//accA//idnD//htpG//hyaA//gadA//gltI//lldD//cspD//csgE//nanS//uxuB//lysA//ruvA//dcuD//citD//hisM//hyaE//cadC//
RcsB-BglJ	argP//narL//nuoC//ddpA//gltJ//argF//phnI//ruvA//mzrA//mhpB//fabG//flgC//asnC//leuC//gspO//lysR//
RelB	bolA//ybaS//pgaA//
RelB-RelE	rbsA//lysR//ybhG//
RhaR	ulaF//xapA//
RhaS	gspD//tsgA//malK//ykgM//rhaA//aroP//
Rob	cynR//fucI//crr//fliA//uspA//gntX//fucR//pgaD//yfdE//nrfB//xylA//fliO//tauD//tnaC//deoC//cheW//ftsW//hypC//glnH//nfsA//galP//ompT//mtlR//hcaR//alsC//mdtE//
RstA	gspM//dicB//garP//uhpT//puuE//fepA//potI//ascB//phoQ//napC//
RtcR	atoE//ycjG//
RutR	ppc//nuoN//flgL//dinI//agaS//fadR//allS//relA//phoQ//galR//dmsC//hypF//flhB//tdcA//aspC//fpr//ybhL//
SdiA	ubiA//napD//gadB//hyaE//yfaE//
SgrR	fes//ppdB//cysJ//ssuD//malG//napF//trpA//creA//astD//
SlyA	wzyE//
SoxR	argC//amn//gcvH//
SoxS	sgrS//cyaR//fadR//malX//pstB//yeaR//aceB//marB//tcyJ//uxuR//motA//trxC//artM//betT//tsx//tdcE//xylF//gadA//paaF//yeaR//purH//cynR//sbcC//fadB//yagK//phnN//citE//aroG//cusS//leuL//hybD//citE//csgC//ttdT//tdcB//melB//fixB//yqjI//glpQ//ddpA//
StpA	cusA//hypC//gcvA//fpr//tktB//agaD//hns//
SutR	yiaK//exbD//pheM//pdeL//nagC//
TdcA	edd//wcaA//mltF//glnQ//fadH//hslJ//fliG//
TdcR	flhA//fruB//acrR//mglA//ybjC//micF//chbC//
TorR	fliN//ugpE//nrdE//arsR//uhpT//hybG//yhjC//aroP//oppC//lsrA//alsB//glpT//
TreR	tynA//entD//
TrpR	cspE//flgF//gnd//bamE//dkgB//argH//ydhT//rutB//alkB//csrB//dhaK//wecC//
TyrR	yhjA//treB//cusF//tehA//yciG//sdhD//caiD//phnG//ybjG//hlyE//hycH//appA//
UhpA	dinJ//
UidR	fau//hokE//dpiB//nanS//
UlaR	uxuR//ynfF//ugpB//asnC//lyxK//mnmG//yeaG//
UvrY	idnD//fbaB//gabD//ymjD//nikD//
UxuR	hyfE//rcnB//chbF//gadA//bglJ//ihfA//sbcD//hypA//sgbU//
XapR	bdcA//ygbA//
XylR	nuoJ//ftnB//emrY//glgX//oxc//rfe//hycB//
YdeO	lpxC//frc//uxaA//hyfC//puuB//aceF//mcbA//ppiD//mzrA//lgoR//pheS//luxS//gabP//malE//ybjG//lsrB//cysN//nanK//murI//uvrA//yebE//
YedW	sbcD//caiA//pstB//ccmG//sucA//trpC//mipA//fhlA//garK//gcvB//frc//ssuA//
YefM	hns//fliQ//
YefM-YoeB	ung//ihfA//
YehT	sbmA//
YeiL	moaB//
YiaJ	yafO//malZ//sodB//casD//melR//dnaN//metI//chbG//tdcC//dpiB//
YjjQ	fliJ//ftsA//ompC//yagK//ycjG//mhpF//flgC//eda//lolA//trpL//
YpdB	nfo//
YqhC	murF//argH//
YqjI	rstB//xylG//
ZntR	ptrA//
ZraR	entA//glnG//ppiA//
Zur	srlB//ampC//atoB//treC//thiQ//fliD//
