#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	yhjC//argF//
Fur	caiA//nikR//higB//mltF//wzxE//gspM//betA//nupC//moaA//tsx//lpxA//fruB//qseC//malT//kdpC//yfiB//malT//hcaE//osmY//hcaC//decR//rybB//oppA//gntX//fimE//xapB//dinJ//fliD//idnO//hisQ//uidB//emrA//ygiA//murP//pitB//phoR//ydeP//sbcC//flu//cysD//uxaB//moaD//gnd//pagP//acrB//grxA//fbaB//agaS//rpsO//accD//ppdA//focB//lon//fldB//fabD//yqjH//gcvP//aroP//evgS//mhpB//dsrA//chbA//ccmF//xylF//kdpA//fabD//treB//chbF//uvrA//gabT//yqhD//exuT//phnI//ygbA//pspG//lacA//bamE//sdhA//xapA//ybjN//ssrS//astB//hyfH//ybiT//sdhB//ydhW//pgpC//pgpC//argP//idnO//flgM//yjbH//nimT//alsA//fliA//hyfD//narL//stpA//cbl//gspH//fdnI//cspI//arsC//ydbK//purH//amn//citC//gabP//ecpA//asnC//rutR//paaG//gudD//accA//hemL//lysO//atoB//treB//wcaA//ftnA//purA//hns//uvrB//leuD//csgD//yjeV//wrbA//nanS//pepA//appX//
GadE	ccmH//molR_1//gadF//betA//mdtA//gltJ//putP//fepE//ydcV//yjbG//uspA//ogt//gcl//fliR//recB//gadC//yafO//fadB//srlR//acrD//ulaA//yefM//yiaL//yhdW//iscA//glmU//puuE//aroL//yaiA//
GadE-RcsB	fabB//trpR//bamE//fruK//ssuE//murF//pflB//ynfG//flgC//
GadW	ppsA//paaB//fhuE//rbsD//hybE//argT//paaK//ttdR//xylA//pdeH//nrdH//yciW//pgpC//bioC//fadB//
GadX	gspD//amn//pheS//tam//ruvA//sgrR//ydcS//psd//leuL//atoA//galE//lrhA//argC//yccT//pagP//xapA//creB//yjhB//srlR//nirC//asnB//nikC//potH//gadX//murC//rbsC//fnr//galK//dinG//
GalR	symE//tdcB//glnK//gntT//mraZ//prpD//cysG//rarA//cheA//rhaA//
GalS	narJ//umpH//manZ//frdA//malF//ddlB//melA//chbC//fliD//cynS//
GatR	flgH//puuC//yhdY//tam//ybhG//accA//
GcvA	idnO//tpiA//mraY//purK//oppF//
GlcC	mzrA//emrA//mraZ//yaiA//fecI//rbsD//chbB//
GlpR	potI//deoB//glnD//insD//fliE//lacY//nrfB//dsdX//moaA//
GlrR	yccT//rhaT//rffG//mglB//yfbR//
GntR	dhaK//moeA//argP//ytfE//tdcF//yhdX//galP//bolA//fimB//uidA//ydiV//gcl//
GutM	moeB//prpE//yafN//qseC//dcuD//acnA//rhaT//
GutR	fumC//yhjA//hyfG//pstA//sgbH//fliI//yiaL//
HU	lacY//ppiA//pepA//ydfW//gnd//glnK//mdtB//entD//ybjN//
HcaR	caiB//lysR//putA//sbcD//ppiD//fliG//
HdfR	ybdZ//yjbH//phoQ//exbD//deoA//
HigA	gspI//aroM//
HigB-HigA	alkA//baeR//
HipAB	ampC//tdcF//yqjI//grxD//folA//
HipB	norV//nfo//chbA//yoaG//argP//ydcT//
HyfR	mhpD//ybdZ//chbC//gltL//ybfE//hyfD//sroA//malM//fliA//hokE//uxuB//tfaQ//
HypT	murC//fbaA//rimK//acnB//malZ//fadA//ybjN//astC//rseC//ydeM//bioB//yqhG//ydeN//
IclR	udp//rcnB//ddlB//gspO//
IdnR	yidQ//yhbE//srlD//gapA//norV//symE//allS//
IlvY	oppC//mdtD//
IscR	astE//oppB//nfo//tfaQ//hyi//cynT//hyi//rpoD//puuA//citX//lsrF//creB//purK//gudX//allE//omrA//polA//pspC//ptsG//galP//ampC//srlE//baeS//nirC//allE//patA//yjhB//tnaC//nuoE//dinQ//xylA//recA//
KdgR	yiaJ//trpE//
KdpE	yhiM//aidB//mdtB//frc//
LacI	uspD//ccmD//fur//
LeuO	thiQ//uhpT//fliH//sulA//rutR//rbsC//rpmI//acrR//rnpB//gabT//dtpA//ibaG//cysC//xylA//cysP//gutQ//add//gudD//puuB//rpoD//
LexA	gadA//sufC//ecpR//trpA//baeS//yiaN//cdd//araA//uxuR//ariR//tfaQ//galS//paaA//fliQ//hycE//motB//flhB//alsC//fliG//safA//zwf//artQ//allS//soxS//mhpA//ppdA//ttdB//mazE//ycjY//iclR//hokE//ybjG//gnd//napA//mntP//nanC//fucO//yegR//astC//argF//hycE//nikA//cpxA//bioA//dgkA//metY//uvrA//ybhF//truB//cysM//casE//baeR//umuD//hipA//acrR//adiC//yefM//hflD//aroH//
LldR	ydjM//lyxK//fucO//
LrhA	mhpE//ppc//asnA//feoA//
LsrR	mlc//appA//ompW//gabD//higA//glyA//lamB//gdhA//flgN//
LysR	ybdN//mhpT//
MalI	carA//tdcD//dhaK//
MalT	yhhY//dhaR//glxK//iscA//glnH//ccmE//astD//agaS//nimR//entA//
MarA	glxR//phnH//yjhB//flgH//lysP//glpB//aroM//ppdB//moaA//sdhC//gdhA//malM//acnB//dgcZ//lacA//nuoL//ydcU//nanC//sroC//mraY//yhjC//norR//phnL//fadM//recA//hybD//astE//sra//gadA//nuoI//dcuA//mngR//glmS//ddpX//nagE//fepB//ydcU//argO//
MarR	gatC//mlrA//phoB//
MatA	ymgA//fepA//rpoE//cysK//ppc//mtr//manY//fliH//
MazE	dicC//lsrD//exuT//
MazE-MazF	dinD//wrbA//recB//
McbR	yhdW//mgtA//alkB//trpC//
MelR	nemA//flhB//tyrR//
MetJ	dcuD//glpQ//flhD//spy//malS//araG//mraZ//chiP//gabD//yjbE//fixB//argD//ybaT//ugpE//wecB//
MetR	glpB//cyoA//allD//dps//nuoA//
MhpR	wza//rutA//nuoE//ubiC//glpC//murI//
Mlc	tdcD//csiD//rstB//cysH//ynfF//uvrA//glpT//fadI//ubiX//creC//
MlrA	frdB//gabD//sufE//recB//ppc//ptsG//folA//garR//ulaE//phnF//
MngR	uxaA//grxA//fdnH//
MntR	rnpB//citD//tam//glmU//mngR//
ModE	emrK//srlR//gabD//fecA//glnQ//ugpB//ppdB//ynbB//rdoA//chbR//mtlR//speA//ccmF//cydC//nanK//hybB//dcuR//rcnA//flgI//psd//yiiS//rbsR//nuoH//metI//seqA//fbaB//gspL//frdA//cra//gadW//yrbL//evgS//sucC//gyrA//nlpA//glk//ydfW//infB//hlyE//gntT//mhpE//cueO//yjhB//gabT//rtcA//dcuS//
MprA	ddlB//zwf//rseC//accC//gntX//fepC//
MqsA	tauC//nrdB//ygeA//hdeB//rutB//ecpA//tnaC//nuoA//
MraZ	cusF//malF//sbmC//tam//nikB//zwf//ynbC//tdcA//ugpQ//cas1//cysJ//dapD//yegH//dgcN//mhpT//fecC//metE//
MtlR	cyoA//torA//xylB//
MurR	nuoC//tauC//ydhT//
Nac	recB//allS//nrdF//cusS//artQ//gadF//moaD//moeA//rpoD//prpB//lyxK//dinG//rbsA//glxR//purF//mglC//ubiC//fhuA//dapD//fliF//iscR//
NadR	hycB//codA//gspG//gspF//
NagC	rybA//gapA//hycB//fecA//ydhY//ilvY//tauC//gspE//sdhA//accC//cysH//erpA//tisB//grxD//fliI//slp//murR//rclA//yfaE//phoP//uxaA//hcp//mgtA//yjeV//hflD//ydjM//kdpF//paaJ//puuA//sucD//aroM//yciE//gltD//fadE//aroF//dicB//nikB//
NanR	gpmA//nac//leuC//ydbD//gadC//lon//araC//adiC//frdD//higA//nadB//
NarL	gatD//argB//nikE//higA//lpd//mazE//fucI//uidR//glcF//hybA//agaS//rpiB//bdcA//glxK//caiE//murI//fliI//recD//sufE//gspL//fepG//fruK//mtlD//trpE//nanA//ssuE//recC//ydhX//nac//umpH//rbsK//asnA//artJ//cspE//pgaD//csiD//asnA//tpiA//serA//yjeV//hypE//galP//hokD//ygeH//hcaF//gfcA//fadH//feaR//leuA//nhaA//yhdY//ybaS//sroA//hipB//yjbH//astB//nuoA//xylB//fliZ//mglB//appB//ybhS//dcuD//gutQ//sufS//dhaL//rclA//znuC//ygeA//glpQ//mhpA//fabA//ampC//acnB//lldP//gltI//yegH//idnD//tdcG//qseB//efeU_2//ugpE//cusC//exbB//ompF//fabH//mglC//hflD//tonB//cheW//dhaM//gudD//lolA//glgP//hypF//murR//moaB//sgrS//putA//malM//glnQ//exuT//exbB//pspG//bglJ//entE//phoH//deoA//bioF//ssuA//yeaR//accC//rffH//gudP//pspE//ddpD//rhaA//paaF//napH//ppsA//fliP//argO//purE//
NarP	mdtA//lyxK//fucP//hypD//chbA//fdnH//ugpE//fliF//allD//alsC//pheS//fucU//chbG//oppC//mdtD//yafN//ydhX//betB//recB//gyrA//gadA//hcaD//agaW//fadR//paaI//rfe//glpF//nrfA//gatY//glmY//melB//carA//fliR//puuB//entH//btuB//rplT//pagP//sufA//icd//fabD//rbsK//yhbS//ssuB//entE//artQ//sodB//fliZ//purM//mhpC//
NemR	ascB//nuoI//sbmC//
NhaR	ubiA//araD//tonB//csgE//cyaR//osmC//tyrR//
NikR	hcaE//ccmH//caiF//fadL//yoaC//hyfA//
NimR	gltL//fliD//
NorR	epd//ssb//fadM//
NrdR	rffG//lexA//nagE//purL//narI//pspB//rseC//phoA//psiF//
NsrR	yhbT//flgB//ymjD//flgI//ppsA//allS//cusR//yqjA//artJ//stpA//higB//mnmG//ydhW//purD//katG//entH//ydeI//nanS//gltD//prs//ampC//htpG//malI//yccT//agaR//agaD//ihfA//ftsW//rclB//sroC//hypA//mntP//fadM//ydiV//hns//argH//yeiL//ugpE//trpA//ddlB//sucA//uidC//leuB//fliN//malG//hdeD//arsR//ruvA//hcaC//yccA//argC//hypC//dgcZ//flu//hipB//cysW//chbB//hyfH//hipB//yjhC//nuoI//glnD//rbsR//nuoM//acnA//yeaR//ompT//hypB//ycgR//purD//lrhA//yeaE//argF//tauC//murE//ssuA//dicB//narX//cpxR//ycjG//marA//umuD//accC//
NtrC	cecR//metF//hyfJ//nirC//ynfK//lysA//mepH//symE//ybhF//ygeH//polA//yhdW//nuoK//ecpR//sucC//bglB//nrdE//melA//ibaG//cyaR//ogt//yqhG//fabA//cspE//cynR//entA//soxS//hypD//entH//mntH//potG//ddpD//dhaM//luxS//aceK//cynS//flgL//ydjM//phnM//dhaK//fepG//gatZ//cynX//caiD//codB//gnd//pfkA//malZ//paaE//
OmpR	ptsI//ynbD//galS//fadR//hypB//trpE//trpE//gatA//psd//aroH//galK//metB//purF//dkgB//mdtE//ybdN//ccmA//yccT//moaD//cysE//glnD//
OxyR	dhaM//hyfG//cysD//gabT//purB//lpxD//prpB//glpT//cspE//ung//yafO//rbsC//flhA//pstS//sra//mtr//pqiA//tdcF//epd//katG//accC//mgrR//ybjN//cspI//yafQ//srlB//hyaC//metI//feoC//napH//glnQ//gspK//rcnB//fabZ//
PaaX	fixB//iscR//fliM//feaB//evgA//argD//deoA//yafO//phoR//napA//ebgC//dapB//guaB//cysU//
PdeL	rseC//
PdhR	cecR//ybhR//puuA//ddpB//fdhF//fliE//lsrR//ppiA//trpR//malG//gspI//fdnG//cbl//waaZ//ubiX//hcaR//ydhY//putA//ampC//nadB//lacZ//citE//chbA//arsC//nuoH//metI//tdcF//mtr//entD//nfo//tfaQ//rbsD//infC//sdhB//recX//cirA//betA//iscS//phnJ//araG//dnaN//
PepA	chbC//fldB//yeiB//
PgrR	rutB//fabG//dhaK//prpB//yidL//ftsL//yciX//ydcS//
PhoB	aceA//glpT//moaC//rbsC//pgi//exuR//uvrA//nrdI//hcaB//mpaA//phnO//marR//hyaB//pstA//galT//fliR//glcE//ygaC//yciF//oppC//gutM//mlrA//gdhA//mhpD//patA//torA//mqsA//narX//cysP//phnN//malG//chbF//gadC//mepH//idnO//tyrA//purM//yjhC//ftsI//bluF//rnlA//folA//pspE//yqjH//glnG//dmsB//frdD//leuB//hycE//ndh//pncB//uvrB//malP//ykiA//ccmD//fucU//ybdN//rseC//lacY//ydhU//
PhoP	astC//prpD//entB//ygiZ//glmY//hypB//ybhS//rplU//dsrA//nuoC//fhlA//uidR//ebgA//narK//bglG//atoD//ybiT//fruK//sufC//dapB//dinF//dsrA//btuB//ygaC//argG//yiaL//iscS//glnD//glcF//uxuR//iclR//nrfG//yiaN//torD//gapA//fliR//fiu//entE//nadB//gapA//hcr//tdcB//csgC//rplU//glnH//hdeA//csgD//gapA//tyrR//epd//skp//dsbG//slp//sgrR//ycjF//slyB//
PrpR	galK//phnO//yafP//nrfG//yhcH//
PspF	ptsI//exbB//hyfB//fldA//dapB//hmp//mdtF//
PurR	paaX//ccmA//wzzE//ydjM//murP//arsB//bamE//ynfF//treB//copA//nirC//ydiV//chiP//puuA//ahpC//gspD//ecpR//yneM//tfaQ//pspD//glgX//gatD//fiu//sdhD//sufB//carA//astA//fliQ//purH//oppD//metI//
PutA	iscA//dsbC//
PuuR	dpiA//flgL//allC//yhdY//fhuE//araD//fbaB//
QseB	paaG//ydiU//ygbK//gspO//
RbsR	ttdT//ulaD//cra//bioF//waaZ//yhjA//ugpA//cysA//lexA//
RcdA	lsrA//ugpA//hcaR//sulA//zraS//xylF//nimR//galT//garK//
RclR	fau//artI//gpmM//
RcnR	hycA//pncB//trpD//
RcsAB	ygiC//yeaE//yaiA//fbaA//mngB//rpsO//flgG//copA//ssrS//pdeL//mioC//acrA//exuT//fliZ//citE//tfaQ//
RcsB	paaG//sucB//glmS//dacC//trpB//hycB//lsrD//hemL//dsdX//ydhX//fabA//fadB//mgrB//ybiT//rhaD//fliK//yidQ//gltL//fhuD//uxaC//dinI//mdtF//cysU//ompW//rhaB//
RcsB-BglJ	rcnR//uof//wecC//chbR//hycG//accC//trpB//phnJ//rimK//ygiZ//nuoC//glpK//pncB//purL//grcA//nikC//
RelB	cheW//ynbC//waaH//
RelB-RelE	modA//speB//potF//
RhaR	truB//fldA//
RhaS	ftsK//kdpF//moeB//fumB//mntP//caiB//
Rob	ygbK//envC//mtlR//purN//cueO//gspD//pdhR//gudX//spy//bioB//psiF//moaD//ybhR//metA//yciE//yafP//slyB//gatA//fes//alaS//dhaR//puuB//cydD//fadM//fliD//ybjC//
RstA	tauD//ompN//dacC//csiD//ppdC//lolA//evgA//rutG//fhuB//casC//
RtcR	glcD//gatD//
RutR	ruvA//flgJ//ycgZ//fecR//phoR//feoC//ybhL//mngB//fimB//mngB//nuoA//trpL//sra//arsR//yjeV//hydN//bglG//
SdiA	ydbK//rfe//ymjD//ybjG//glyA//
SgrR	yccA//uidA//yoeB//cydA//dnaN//deoB//artJ//asr//purC//
SlyA	nemR//
SoxR	norW//lsrG//fliG//
SoxS	mpaA//bdcA//frdC//nuoH//tauD//glgB//iraP//fdnG//cspD//ptsG//sodA//glcE//melA//murI//uhpT//ydjM//yafQ//norW//gcvT//slp//hdeA//exuT//higA//cydB//aspC//ahpC//rhaT//hcaC//yrbL//ymgA//amn//nikR//mgrB//dgcC//ygiB//aroP//betT//cusS//malF//hyaB//
StpA	hyi//yaiA//phoB//yhcH//zraS//fecA//agaA//
SutR	hybC//yjhB//astA//entF//yjjZ//
TdcA	lpxD//mtlD//nfsA//mhpT//hycA//rhaD//tam//
TdcR	pspE//hypF//lacA//ompT//yedX//fliH//cdaR//
TorR	fepG//cysA//pstA//paaA//paaI//treC//mgtA//fhuA//dapB//glcA//infC//melA//
TreR	yeaE//uspE//
TrpR	ydcV//yccJ//tynA//agaS//yiaM//emrY//glmU//asr//sodA//dinB//fucA//pyrD//
TyrR	osmC//cvpA//fhuC//yoaG//cysW//nrdI//lacY//exbD//nrfG//puuR//yjjZ//hha//
UhpA	fepB//
UidR	araJ//phr//cdd//flgA//
UlaR	cpxQ//hycH//appA//tehB//leuO//nuoK//tsx//
UvrY	yhdY//polB//lysP//lsrR//cysP//
UxuR	thiP//cydA//nirB//recN//metY//ynfF//tnaC//prpD//tyrA//
XapR	nrdF//puuC//
XylR	uspE//allE//tadA//symE//edd//flgL//dcuA//
YdeO	ybhR//prpD//ftsW//fruA//dicB//cyaR//ccmH//ugpQ//ccmA//hcp//emrK//csgB//yqjH//dgcN//tolC//metY//ydfN//sroD//murR//hisP//recF//
YedW	rffM//nirC//ribA//ftsL//citC//thiP//ppiA//metK//glcC//fliD//metH//malF//
YefM	osmY//hypB//
YefM-YoeB	rpoE//ddlB//
YehT	astC//
YeiL	yeiB//
YiaJ	manY//argE//yciG//pspG//dinD//aroM//yaiW//yfiB//gntK//mdtB//
YjjQ	araE//glpQ//gatA//pgk//dhaL//yhjC//rhaS//ugpA//glcC//exuR//
YpdB	dhaM//
YqhC	ebgA//argR//
YqjI	qseB//metA//
ZntR	sgrT//
ZraR	citC//exuR//malP//
Zur	hyi//yaiW//astE//entD//ecnB//nrdA//
