#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	yhdW//gltB//
IscR	oxyS//ybfE//xapB//degP//katG//phnM//caiF//nuoL//flgE//ccmH//nikB//yccT//ccmB//narX//malS//purH//polB//yccJ//yeaR//xylH//znuA//kbaZ//rpoE//dhaR//ssrS//flgJ//pgaD//acrR//kdpF//borD//astC//focB//
KdgR	phnO//yegZ//
KdpE	atoB//napD//rpsO//argF//
LacI	sodA//sfsB//artJ//
LeuO	paaE//nuoB//betB//ycjG//rimK//psiE//baeS//malI//rseA//yciX//phoA//xapB//hyaF//acrD//xylR//spy//fliD//fruK//umuD//pnp//
LexA	ssuE//yciX//argR//gltJ//ung//fliR//gcvP//emrA//fliM//garK//napF//glpC//erpA//lsrF//uidA//glpA//cysH//flhB//fecE//agaR//hycF//grxA//micF//ddpX//waaY//pspF//spy//cpxA//fhuA//dinJ//tcyJ//pdeL//ygbK//cas1//cueO//fepA//oppD//glmY//trpB//hycB//agaC//yhiM//hcp//ybhS//psiE//paaB//hyaD//rutD//nanT//rplU//gltJ//pdeR//phoR//hdeA//fucP//nuoF//frdA//rhaD//tpiA//
LldR	tdcA//aceA//prpB//
LrhA	nrfD//torD//acrA//ddpF//
LsrR	araA//moaE//murI//nimR//mdtF//tfaQ//galS//yoaC//citF//
LysR	nanM//pitB//
MalI	fliP//yagK//phnJ//
MalT	sulA//ynjI//uof//gltI//glcE//ymjC//mhpA//nadB//galR//moaB//
MarA	oppD//melA//allS//nadB//ppdC//fbaB//paaI//mtlR//add//xylR//nimT//fliS//tdcC//arsR//rpoH//ybaS//sgbH//fhuF//rffT//caiD//gudD//gspE//mdtA//ftnA//garD//phnN//sucC//fau//moaE//mltF//rutD//safA//ydbD//phnH//paaK//fliO//ybjG//oppB//
MarR	ydeP//malS//wecC//
MatA	idnK//gadY//pstS//phnE_2//dmsC//ung//napH//rpoH//
MazE	trpB//flgF//frdD//
MazE-MazF	yiaN//nrdA//mlc//
McbR	ygeA//omrB//nrfF//hycF//
MelR	fldB//agaB//paaY//
MetJ	puuE//ydbD//idnK//ubiC//agaW//ddpF//tdcD//ybhG//gspM//cbl//spy//iscR//cecR//rpmA//relA//
MetR	lysO//ydjM//ydiU//fliH//mglC//
MhpR	amn//sdhB//citD//gpmM//citG//ygbA//
Mlc	gltF//potH//pepA//fhuF//hycC//tdcD//xylF//pgpC//katE//nusA//
MlrA	recC//metQ//allC//narH//citF//putA//wza//nagA//sufC//ftsZ//
MngR	sfsB//ttdT//yccJ//
MntR	citC//yiaK//ccmA//betB//nhaA//
ModE	dinQ//srlB//feoC//nuoE//cspD//ybhG//ydfE//cusC//yafN//rffC//ynjI//wecC//aroM//aroP//fadJ//manZ//fumB//ynjI//ascB//nanC//ydcU//mntP//ptsH//gntP//kdpA//ccmC//fhuF//sucB//ccmB//tauA//glxR//hcaD//fecB//mazG//safA//fdnG//ascB//ssuD//ttdB//wcaA//kbp//frdD//lysO//cpxQ//malZ//epd//
MprA	pdhR//emrK//phoH//argG//ftsQ//yqhD//
MqsA	recB//phnL//trpA//tsr//fbaB//nadB//ygiC//speA//
MraZ	agaA//hyaC//ybjN//putP//efeU_1//agaV//yccJ//fadH//dcuR//metE//ebgA//manZ//tynA//entS//rclA//yhdW//osmB//
MtlR	dpiA//phnK//acrB//
MurR	phoB//xylH//casB//
Nac	cyoA//speB//cyoE//hycF//hycB//erpA//rhaR//wcaB//cyoC//glcC//gudP//cynX//casD//trpD//yeaD//sodA//feaR//glpB//fabG//ampC//ftsQ//
NadR	xapA//mglB//pflB//ybbW//
NagC	nhaR//gntT//zraS//ssuD//uxuR//spy//fliI//malF//xylR//gadF//hyaC//ccmG//glk//yhjX//mraY//ydhV//srlA//sdhB//metY//pagP//mzrA//alkB//treR//glxR//ymiA//glpT//hyaB//rcnR//fliD//fdnH//fliQ//fliP//ecpA//fabG//ddpX//chbR//fucA//
NanR	ccmB//acrB//ygiZ//hyfH//gnd//alsC//phoH//lgoR//rffC//ydfW//cyaR//
NarL	manZ//glcE//waaY//pspA//dinG//gspC//sra//pfkA//malP//rpiB//cdaR//gltK//srlD//gadX//hyaD//fliA//araD//uof//dicB//nanK//torD//araH//adiC//mscM//fadR//narX//acrD//chiP//aroH//guaA//galT//ugpA//lsrC//asnC//hemH//norV//fucP//hybF//gntU//focB//focA//pncB//yjbE//ydbD//torA//yciE//aroH//eno//yiiS//yagK//ulaD//iscA//grcA//dgkA//phoQ//hcp//hypC//araF//cdd//ydjM//narI//puuA//narK//moeB//caiD//hcaF//mazF//dicB//fur//lpd//frc//ybbY//ppdA//cadB//nrdI//ybjC//hisM//pyrD//flgM//bioC//moaE//sroC//nikA//fabH//potF//symE//aceK//nrfB//fliC//nikE//tdcF//yhjC//bdm//yhdZ//fumC//glcG//psiE//puuE//glmY//flgD//ygiZ//csrB//dpiB//moeB//gadC//sdhC//yegR//lacA//baeR//cheA//malG//argD//trxC//yhhY//fecC//adhE//citX//citC//ddpX//fucA//pspA//flgN//cheA//
NarP	malM//nrfD//psiE//yqjA//yhjC//aspC//seqA//malI//mntH//fepG//trpC//hyaA//kbp//cra//hybA//umuC//rffG//fhuC//nirD//waaY//flgK//mglB//frdC//moaE//rutC//yhiM//fucI//flgM//ecpA//ruvA//ydhY//iscS//ybhF//hcaD//prpR//emrB//accB//ptrA//nanS//hycG//purE//glxR//yhbE//znuA//purN//yegR//murP//umuD//nuoK//yjbG//
NemR	patD//mdtF//trpD//
NhaR	fiu//ptsG//glcE//aceE//yoeB//xylB//chbF//
NikR	tehB//entF//mhpD//ybjN//iscR//glxR//
NimR	yhbS//znuB//
NorR	hisM//gdhA//ccmC//
NrdR	csrC//agaD//ccmD//uidA//ydeM//osmC//uxaB//ygeA//sgbU//
NsrR	pnp//hyfC//fadA//ulaD//ydeN//aroH//araB//bioA//eda//yhjA//glnH//yoaG//feoC//arsB//katE//hokE//appX//malQ//modC//mtr//galK//yqhG//mgrR//cynT//dsdX//nikR//mpaA//glnH//seqA//emrK//uxuR//treR//yiaL//nfsB//allA//sdhA//ogt//dgcC//rhaA//alaS//paaF//trpB//accA//mtr//fhuB//cadC//cusS//paaZ//bdcA//glgC//nrdF//hdeA//yiiS//wecB//argB//rtcA//wecE//narL//fepA//lexA//astB//chiP//sodB//appC//tdcC//narJ//flgL//paaG//entB//gutQ//gltB//cynS//malT//gadB//dgcZ//rbsK//lrhA//lsrD//nuoB//garR//cysN//carA//tadA//
NtrC	yqjI//rutF//mnmG//glnG//narI//rpiB//pstB//mgtL//ubiA//caiC//nrdG//ybaT//oppD//fecE//rhaA//ptrA//ndh//hyfD//ompW//polA//mioC//ycjX//tdcF//nrdG//phnN//creD//tdcF//omrB//hycE//guaB//fucR//ahpC//kdpB//tauC//flgD//feoB//gudD//fliM//napF//gfcA//mscM//galE//csiD//ssuC//yncE//sroA//hyaA//bolA//sufE//
OmpR	hybB//fumB//fecB//dinF//yeiL//bglG//caiE//entF//napF//hybD//sgbE//arsC//melR//gabP//uxuA//mtr//fhuD//fecB//dcuS//amtB//dinQ//
OxyR	artM//xylH//mhpE//phoR//amn//wrbA//recN//feoC//ybbY//yaiW//tsr//narI//accB//lysA//uof//yeaH//nfo//frc//lhgO//nupG//araD//paaZ//ydeI//pstA//agaI//melA//wzyE//xylB//rpoH//fepA//icd//serA//modA//agaI//
PaaX	ugpB//galR//cysG//mhpF//gltF//moaC//betT//deoB//gcl//ppiA//glgP//isrC//cysB//ynjI//
PdeL	ilvC//
PdhR	zntA//gatC//modC//ugpC//citF//ycjX//yjjQ//mtr//galM//napH//ygbA//phnG//tdcE//nrdA//yafP//dctR//cpxA//cysN//rplT//gcvT//ahpF//metJ//relE//lsrK//mngB//uidB//nrdI//cynT//paaH//dkgB//gadB//rhaR//purN//fadA//sdhD//wza//yjhC//nuoB//yhiD//fucA//gdhA//
PepA	wrbA//glpT//nanM//
PgrR	gcl//betA//argA//caiT//hypF//feaB//ptrA//rcnR//
PhoB	murP//cydC//alsE//dnaG//grxD//agaV//mhpC//moaC//artI//csgG//melR//glyA//mlrA//rclB//ccmE//betT//tyrA//carB//nagA//trpD//gcvT//yhbS//bhsA//idnT//pgk//ariR//nadA//artJ//guaB//mqsR//yjhC//ygiA//paaK//srlE//fbaB//kdpF//flgD//skp//yjbE//trxC//uidA//lyxK//manZ//ycdZ//araF//alaS//galT//ddpB//mqsA//phoU//tktB//emrK//bioF//ndh//paaF//entF//gspI//murI//atoD//kbaZ//
PhoP	rplU//ftsA//yebE//aslB//yjbH//ccmH//tsr//uidA//cyoC//argC//ebgC//gfcA//ykiA//rob//chbR//gatB//rpmI//agaV//ydcV//phoH//ribA//paaZ//moaD//evgA//gnd//ycgZ//uvrY//gspC//ycdZ//hflD//adiC//ybiT//hydN//hypF//dcuB//uspE//rhaD//ycjG//thiP//ldtC//lexA//rarA//rybB//recF//yaiA//ybjN//lacY//alkA//tcyJ//soxR//lsrG//nuoB//putA//hycI//murE//hycE//
PrpR	fliS//allD//treB//yhdX//wecE//
PspF	potI//yiaM//narH//pdhR//puuD//appA//pnuC//
PurR	glnL//uvrB//ompN//srlB//metH//ftsA//hyfA//malE//potF//uvrB//sbcC//sbcD//relB//citD//mglC//alkB//uspD//wzc//dacC//sufE//zntA//nuoH//bolA//acrR//lamB//yecT//rcnA//metL//sulA//lysR//xylF//
PutA	prpD//ydcV//
PuuR	fucK//ynbA//cysU//ccmE//ykgO//yegR//stpA//
QseB	trpR//nuoE//glcF//nuoF//
RbsR	rpiB//yidL//malT//chiP//acrD//lpxD//ppsA//dkgB//baeS//
RcdA	ybbY//dpiB//flhC//ibaG//gcvB//purL//setA//nikB//dtpA//
RclR	exbB//pstA//ybiT//
RcnR	umpH//hdeA//metE//
RcsAB	potG//fecR//murC//fucA//wecC//gcvA//metN//glpQ//hemH//sfsB//potF//ebgA//fucK//glnA//tadA//astA//
RcsB	caiA//ybiT//murG//cysI//glnK//hybE//ssrS//idnD//cynT//safA//gabD//casD//gcl//chiP//phnL//rtcA//nupG//zinT//pgm//melB//nrdH//dnaN//prpE//ddlB//bdcA//
RcsB-BglJ	marR//yeaE//yccT//mdh//rhaR//purB//napB//oppD//phnF//malP//pspG//galM//ompC//csiD//emrK//argI//
RelB	mioC//accD//dinG//
RelB-RelE	glpX//fldA//ompN//
RhaR	glnK//marR//
RhaS	sufS//gltD//gspJ//fdnG//hcaB//fliN//
Rob	ydhV//galS//gntP//fhuA//ycjF//nuoI//ftsI//oxc//sucB//glpC//recB//alsB//bioD//lldP//cysW//caiA//sutR//csgC//fepA//chbG//mhpE//ftsK//argB//tyrR//nhaA//rbsC//
RstA	infB//gntK//psiE//ybdN//fepA//metQ//sufD//uvrC//rpsU//sucA//
RtcR	rclA//insD//
RutR	exbD//tyrA//ycgR//zraS//ybhF//acrA//gcvT//ydeI//insK//gspI//narX//gspH//citX//safA//ynjI//ung//rpmA//
SdiA	metH//phnK//caiT//torR//yidQ//
SgrR	rbsA//modC//mltF//gltI//motB//serA//codA//moaA//ecpR//
SlyA	ydiU//
SoxR	omrB//slyB//fhuF//
SoxS	sgbU//trpL//ybdN//dinQ//citD//rtcA//fadD//alsE//mglC//uidA//nrdB//oxc//nuoC//polA//ycgZ//flhB//gspM//mglC//aceB//sgbU//fumC//sbmC//nikE//sufD//ydfH//xapA//dinB//cvpA//asnC//ybbY//rpoD//cpxP//trpC//codA//entS//trpB//hycB//dmsC//flgD//accA//
StpA	purD//bioD//acrZ//ptrA//hyfG//rbsB//gltJ//
SutR	ilvY//mngB//hcaC//yhbE//melR//
TdcA	gspI//putA//moaA//rfe//gadW//prpE//ytfE//
TdcR	hyfB//insD//ygbA//dsbC//narH//narK//ytfE//
TorR	pgaB//cyaR//glnG//creC//aroL//torR//metI//fhuA//bluF//psd//rseA//purB//
TreR	dcuS//uvrA//
TrpR	acnB//torD//srlB//mgtL//flhE//ptsG//nrfB//zraP//hyfJ//phnD//argT//araG//
TyrR	fliM//nanM//malI//malY//malG//gudX//creA//betB//umpH//araD//nfsB//bdm//
UhpA	cyoD//
UidR	kdpA//artM//mdtB//fliK//
UlaR	tauC//cirA//ftsW//ssuB//ugpB//yegH//ydeI//
UvrY	caiT//dinG//dicB//cadA//fadE//
UxuR	sfsB//pykF//tomB//purF//nagC//ynbA//appA//flgG//rpoD//
XapR	gapA//ygdB//
XylR	mazF//paaY//ybbY//glmS//phnC//nuoC//pepD//
YdeO	artP//recB//aceF//hycG//dsbA//dmsB//mprA//trpE//efeU_2//mdtD//idnK//gatB//nirC//cysI//allE//glgC//ybjC//rhaA//tdcB//rimK//phoQ//
YedW	mpaA//waaY//alsE//thiQ//moeA//mgtA//hisQ//cas1//fecD//glpF//nikB//mglB//
YefM	recX//qseC//
YefM-YoeB	hyaA//glnA//
YehT	tdcA//
YeiL	ydhW//
YiaJ	higA//metA//ydcT//ldtD//pspC//marR//crr//feaB//fepD//mtr//
YjjQ	cysC//yciE//recB//phoP//aslB//nikB//sra//rpiB//ycgZ//ydjM//
YpdB	fepC//
YqhC	purB//mhpD//
YqjI	hemL//cadB//
ZntR	narG//
ZraR	ykgO//gltK//rffC//
Zur	nrfC//nadA//dpiB//malI//gspI//yafO//
