#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	fliI//nirC//
CecR	bolA//araG//rbsK//fucK//codB//
ChbR	folE//tehB//ariR//ybjG//emrA//ydeI//
ComR	cirA//
CpxR	nuoK//deoC//murE//acnA//hemH//glpF//mgrR//hyfF//sroA//ybhR//bglG//uxaB//gspG//hcr//zraP//adiA//murR//caiE//astE//alsE//lyxK//ruvA//ymgC//pspD//rimK//bioF//thiQ//dmsC//evgA//narI//tsgA//purN//uxaC//argD//soxR//purR//betB//norW//crl//moaB//cynS//gntK//eda//sdhA//xylG//lpxA//sdhA//ompF//frdA//paaG//argT//slt//flgD//fliS//garK//glnH//rhaB//lldP//paaF//ftsW//ynfG//malS//caiC//uvrA//csgC//mcbA//hyi//gcvT//yecR//malQ//
Cra	malK//exuT//marB//murE//flhE//alsE//uidR//ppiD//thrS//hyaE//rpoS//pnp//bioD//kdpA//mqsR//srlD//paaC//uspA//phnC//casD//atoB//ymjC//dgcZ//hyfF//puuB//ygiZ//moaE//nirB//ybaS//recA//fdnH//nadA//gspL//uidR//tam//ugpA//cusS//hisQ//pqiB//lysO//hyaF//uvrY//glcB//flhC//dnaG//dinJ//norV//fadR//patA//truB//malG//yhhY//argB//oxyS//ybbW//yecT//rutF//gadY//bioD//kdpF//cyoC//hypE//sbmC//paaD//yebE//dsbC//chbC//leuC//idnO//ihfA//fpr//ung//gyrA//seqA//fliC//aroF//nirB//emrY//ynfE//
CreB	ulaD//glpT//xylG//gltJ//srlD//
CsgD	lolA//flgN//ymgA//recF//ynbB//appX//ssuA//purN//purN//rpsO//ibaG//entH//rffH//zwf//baeS//cysU//rffG//mtr//yiaM//gadF//gltF//xylF//ccmE//rbsA//wzb//treC//nrfD//flgN//
CsiR	glnG//rffH//gatA//ymjC//yebE//
CspA	ydeI//appY//
CueR	garR//hipB//ftsA//fepE//glnL//mazF//sbcD//
CusR	kbaZ//ydhV//ogt//rffC//znuC//wzyE//wzzE//yqhG//asnB//ydfN//mzrA//flgM//
CynR	ymiA//ptrA//artJ//exbD//
CysB	mpaA//ybhL//nupC//mtlR//hycE//hyfC//mscM//katG//csrB//micF//hybC//ddpD//puuB//csiD//lpxD//ppsA//katE//recF//glpC//nrfA//yfbR//ybjN//glnH//dctR//dinQ//yidQ//ccmD//thrS//glcC//rprA//truB//cdd//
CytR	fliS//nanE//cyoA//entH//mngA//malM//yccJ//ftsI//ilvY//yiaM//cadA//astA//hybD//
Dan	tauC//pck//araA//grxA//
DcuR	malK//malX//higA//glk//yciE//fepC//hycH//yecT//dinB//
DeoR	zraS//cspI//soxS//cynR//ugpB//ynbC//
DhaR	appX//ttdB//glk//cra//
DicA	tdcD//cysN//fecB//htpG//ydfN//metF//bolA//citX//
DinJ-YafQ	psiE//paaF//bhsA//
DnaA	gudD//trpB//rutC//yoaC//wzxE//pyrD//purM//mcbA//pheM//rybA//tynA//paaG//
DpiA	cysJ//puuR//oxc//pgi//dinJ//pheT//ykgO//nusA//rpsU//sgrR//hycI//
DsdC	allD//pheT//ydhX//
EbgR	gutQ//guaB//
EnvR	qseB//slp//
EnvY	hyfB//murG//
EvgA	speB//frdB//hybF//rclA//purE//ssuE//rffT//iscS//yfiB//glxR//nrfB//tauC//nupG//metC//carA//alsE//yqhG//dsdA//yhjC//
ExuR	ytfE//nrfB//ompW//wzb//oxyR//torD//erpA//frc//paaH//
FabR	purF//udp//
FadR	yaiW//fliN//rutC//prs//bioD//waaZ//ihfA//aroM//gadE//oppD//ybhS//nfo//srlR//nuoL//glnA//pgm//yiaO//sdhB//araF//phnI//yccT//pspF//feoB//
FeaR	pgpC//fumC//
FhlA	hipB//metQ//accA//gltF//nuoL//glpD//yiaJ//poxB//fecE//napF//ampC//gudP//wzzE//rimK//hyfR//rstB//aceK//gatZ//yebG//glcC//fabG//creB//cspE//pck//znuC//nuoA//yjeV//alaC//aroP//eno//
FlhDC	creC//hybB//oppA//narK//mgrR//dnaN//ydhY//fixA//idnR//efeU_2//cusR//fdnH//fliI//glcG//yiaO//hipA//moaE//flgD//yibQ//gntU//cas2//fruA//yeaG//lyxK//rseB//sbmA//glgX//ilvC//murR//tbpA//ugpA//hybG//gspG//ytfE//argR//gcl//yfdV//galS//citD//gatB//setA//treC//uof//gadX//sulA//rutF//yrbL//sbmA//pstC//nohA//wcaA//purK//pgaC//trpL//glmS//aidB//ybaS//fadM//patA//ulaF//uvrD//gadW//metR//rutB//recA//lysO//fabH//cysK//wecE//nhaA//ddlB//iclR//kbaY//ydcU//bdm//appY//dcuS//tyrA//rffG//astA//slyB//argC//
FliZ	erpA//cspI//prs//phnE_2//pdeH//hyfJ//ybjG//yncE//narH//ndh//galK//cspE//paaI//yjeV//baeS//ybbY//exbB//mngB//fhuF//nuoH//gyrA//
FucR	yhjX//agaR//ydiV//gcvA//glpX//fliK//gadW//
Fur	uvrA//yqjI//pdeH//galM//nrdH//potG//metR//melR//artP//gudP//cdd//soxS//spy//fau//nadA//ugpQ//cysH//gltB//osmC//fhuB//lpxD//purB//ptrA//iscR//dapD//ariR//nac//rseA//yjbH//rpoE//nemR//hyaA//fecD//gntK//nfsA//gabD//ompN//rclB//ubiC//yhdX//mraY//pqiA//ariR//ydfN//ebgA//lpxD//dinQ//tyrR//appA//asnB//yjbH//rclC//uidR//rhaR//sdhB//bioC//manZ//trpA//safA//rffG//marB//phoU//tisB//murR//polA//flgN//flgI//ptsH//ppdA//fliF//bolA//hycC//hycB//exuR//eda//leuB//dhaR//glcC//phnF//purK//nac//araD//galP//yhdW//feoC//fur//fucO//ccmC//ppiD//fecE//acrZ//glcD//ydfW//ung//tdcC//frdD//purC//aspC//dsdA//relA//glpA//paaX//ahpF//ebgC//waaZ//gadB//ppc//csrC//ydcS//potF//deoB//gatA//wzb//cadB//ompC//lsrA//hyfC//aslB//hdeB//dcuA//emrA//fadJ//torA//paaJ//nuoK//tisB//cpxA//nagB//rpiR//fadD//
GadE	fimE//seqA//yciW//fimB//evgS//araC//omrB//cbl//pck//ybaS//malQ//pstC//yqhD//glcB//phnM//fucP//ecnB//ddpC//purK//ptsH//accC//decR//prpR//ompF//alaC//srlE//ccmA//nuoK//iscS//
GadE-RcsB	fucI//gatZ//gspJ//gudP//hemH//lacA//pspG//mltF//dicC//
GadW	fepB//accC//fucI//osmY//znuC//citE//fliI//ssuC//yoaG//hybE//hyfC//ulaA//accB//rseB//yfiR//
GadX	rprA//trpD//nuoJ//rsmH//fliL//paaI//uxuA//leuB//hcaE//rnlB//tynA//gspE//speA//nrdF//entA//hisP//entC//iraP//lhgO//glnP//alsC//araG//fecI//fecD//tdcG//ydhT//alaS//lysR//ada//
GalR	garR//araC//hipB//codA//oxc//yiiS//hyfC//uvrY//malF//narJ//
GalS	lsrC//artI//glmY//hyfG//fixC//yneM//flgC//glmY//yqjH//flgL//
GatR	fhuC//sufB//feoA//yeiL//ompT//add//
GcvA	oppD//treC//phnJ//mazE//ttdR//
GlcC	tnaB//ftsW//rseB//pstA//wzzE//gpmA//ada//
GlpR	yafN//lrp//hcaF//motA//spy//mtr//deoB//agaC//entH//
GlrR	pnp//gudD//wzxE//wecB//aroL//
GntR	uvrC//ruvB//wzb//nupC//narX//recN//yefM//fadD//glcA//pspC//dsbG//fhuF//
GutM	cadB//ydhY//casE//folA//yciF//gspJ//artQ//
GutR	flgC//citE//yafO//csgE//cra//ulaF//paaK//
HU	pheT//cspI//ykiA//ynfK//mhpE//galM//nfsB//yhdZ//udp//
HcaR	thiP//uvrA//glcA//paaG//hydN//srlR//
HdfR	mlrA//paaF//ompT//fur//yiaM//
HigA	arsB//cheA//
HigB-HigA	psiF//metQ//
HipAB	ccmB//hypC//betT//erpA//tsx//
HipB	ftsK//wzxE//nuoB//moaB//chbR//ariR//
HyfR	cpxR//sra//betT//yegZ//lacZ//fdnH//yaiA//entE//kdpA//oppF//lsrA//csgA//
HypT	ybbY//phnP//bdcA//rimP//wzb//dcuB//mgrR//mngR//mraY//paaJ//lpxD//acnB//fliR//
IclR	agaR//fhuC//ccmH//ddpC//
IdnR	metY//wcaA//fur//yciX//sucA//cusB//nikA//
IlvY	fdnH//fliC//
IscR	gspI//alsC//ftsK//rybA//zraR//idnT//adiC//fecB//ebgC//wzxE//emrK//dpiB//nrdH//hcaR//allC//add//sroC//ugpB//rcnR//yccJ//ccmH//ydfH//cyoE//modB//stpA//relA//gntT//codB//thiP//agaA//acnA//phoR//
KdgR	rhaD//mqsA//
KdpE	fucR//yiaN//marA//hyaE//
LacI	yciX//mscM//hlyE//
LeuO	skp//ygiA//fucR//gspC//motB//wcaA//gltB//ttdA//ydfN//paaY//citF//caiD//rpoE//mqsR//bhsA//hyi//ssuB//lamB//fpr//baeR//
LexA	allC//omrA//phnM//hyfF//tktB//feaR//recC//fepG//srlA//pgpC//paaE//pepD//yqjI//puuD//mtlD//ttdT//gabD//btuB//betB//ykiA//malP//fecD//araB//moaD//fucO//gspJ//copA//hypA//tauB//galT//borD//ascF//eda//purE//relB//ulaB//emrY//relB//agaD//allE//alkA//sufS//cusC//ymgC//artQ//tdcB//yfaE//yidL//nrfE//fbaA//nohA//exuT//yafP//yiaM//hyaE//glpT//yecR//tauA//wzc//
LldR	uidB//rbsR//fdnI//
LrhA	gdhA//symE//lldD//wza//
LsrR	lsrG//ydbK//lhgO//tsr//waaY//hypC//nuoH//paaI//edd//
LysR	araH//atoE//
MalI	allE//srlR//ddpX//
MalT	paaI//phoB//cadC//mhpF//hcaB//artP//chbR//phnG//gyrA//codB//
MarA	uxaB//prpE//ryhB//pspD//fabI//pstC//phnE_2//ptsH//cysG//ydeO//fepD//ttdR//yafP//leuA//yhcH//pnp//murP//pheT//ibaG//ydhX//hyfC//ndh//flgD//mazE//molR_1//ptrA//mhpT//metE//pspB//umpH//mglB//flhE//manZ//phnK//trpC//glmY//fabG//hybE//
MarR	lpd//stpA//allE//
MatA	xapA//rhaA//bacA//ynbC//malE//exuR//hyaC//ydfW//
MazE	gntT//tsgA//rbsB//
MazE-MazF	rcnR//exbB//ymgA//
McbR	fnr//pncB//oppD//motA//
MelR	mzrA//ynbA//cas2//
MetJ	lsrK//nrfD//ymjC//nuoN//ychF//ptsI//gspF//pgm//nusA//entH//edd//grcA//fhuF//ybhL//gntX//
MetR	treR//hyfH//yedX//rprA//safA//
MhpR	cheW//treC//cyoE//metY//ttdT//garL//
Mlc	yegR//entH//fliE//ubiC//hdeB//aldA//citX//lpxC//wzc//glgC//
MlrA	recC//edd//paaZ//ynbD//rpmA//uxuR//molR_1//narK//gcvT//codA//
MngR	fucU//ydcS//ttdT//
MntR	phr//ccmH//glnP//phnN//nrdG//
ModE	dapB//nohA//agaC//lpxC//puuC//dmsB//caiD//melB//recC//deoB//nanE//agaV//glpX//bioD//gntP//ubiC//flhC//yedX//ldtD//ymjD//lysC//iscR//glcC//argO//ydiU//casC//ydfE//artI//tsr//higB//fliT//casE//mcbA//btuB//cysK//malT//accC//pdeR//ydiU//ybhG//hycA//ydbK//sutR//asnB//ptsI//xylG//
MprA	fhuB//cyoD//phoP//cspD//sra//ymjC//
MqsA	fruK//yciW//rutB//dhaM//ygiZ//glcE//idnT//ccmE//
MraZ	hybE//nrdG//flhE//lrp//ybdN//ompN//sroD//gutQ//fldA//yfaE//hha//dapD//flhC//yccA//ompW//nuoC//dapD//
MtlR	rbsB//accD//casC//
MurR	oxyR//nfsA//phnN//
Nac	nrdH//gspJ//dkgA//tsgA//csgG//speB//gspC//metN//ydeO//sdhC//hycD//glnL//ssuC//leuD//adiA//gspG//yebG//phnM//leuD//add//nikR//
NadR	hyfF//atoB//gadC//rffC//
NagC	flgB//pstC//ydcS//cydC//puuR//fepA//kbaZ//gabT//ftsI//fixB//allS//flgK//csrC//fliZ//hisP//araH//crp//tehA//argP//gspL//nrdF//fecI//gnd//lsrR//csgC//ariR//ppdC//lexA//rffH//aceF//fucA//speB//lrhA//flgG//napH//csgE//glcA//
NanR	nhaR//rhaD//ymiA//zwf//pgi//gudD//melB//ubiX//paaZ//yciF//treC//
NarL	gdhA//ftsK//tdcF//nemA//dpiA//deoD//pspE//argF//bolA//sroC//feaR//cynR//putP//ybfN//trpA//ibaG//recX//dcuA//glnH//ccmB//argO//paaE//lolA//malE//dtpA//casB//astD//lgoR//frdB//cueO//casB//rprA//narH//ynbC//modC//citF//pgi//fliG//manY//ryhB//puuR//lacA//ptsH//modC//cusR//fecB//pgaA//lldP//galK//citE//glmS//araF//ccmG//nirC//nlpA//deoB//appB//galK//yhdZ//sroA//fecI//nadB//nrdB//wzyE//mgrB//poxB//mdtA//nrfE//znuB//idnD//rhaB//ssuA//cho//asnC//hybF//metF//araE//kdpA//cecR//rbsR//mglC//exuT//chbA//csgB//norV//emrB//putP//rutE//nohA//glpX//tsgA//fadE//sgbU//rseB//rutF//caiB//atoA//wzxE//ynbD//sdhB//rbsD//ldtD//torC//flgG//sroA//cydC//hyaF//ygbA//pspE//higB//cyoC//entA//fliN//artQ//aidB//cecR//cbl//paaE//purH//tnaC//uvrB//argD//rbsB//
NarP	glnP//flhE//ygbA//fabH//phoP//fimE//phnE_2//exuT//recX//araG//tynA//entS//yhjX//appY//hydN//ogt//araE//nrfA//araG//csgA//nlpA//mhpD//yccA//glpB//ftsA//feoB//nuoK//fliC//pepD//narX//bluF//trpR//wzb//lamB//malE//mngR//melR//thiP//ydiU//lon//paaA//grcA//napC//narH//marR//phnC//treC//prpD//acrD//mtlA//
NemR	sulA//rbsA//nrdD//
NhaR	pstC//nfsA//sfsB//poxB//artQ//ydhW//nrfA//
NikR	dapB//mhpC//kbp//araC//sgrR//galM//
NimR	fiu//ybfE//
NorR	pgaD//nfo//mtlR//
NrdR	lrp//fepG//iscA//lysA//astE//gltI//flgM//trxC//accD//
NsrR	iscA//gatC//gspH//dnaN//hybE//serA//ilvC//hybD//flgJ//caiD//metB//yiaM//malP//ydfE//rffT//paaD//fliC//fliM//ftsK//ydfX//betA//mpl//hybC//betA//cbl//nuoI//entA//chbF//nanT//casA//betB//aroM//alaC//rybA//yrbL//yciF//glgC//grxA//hyfD//ddpC//gatY//ptsH//malG//leuD//fepC//mdtC//sdhC//rybA//fabG//fucO//ybdN//polA//sgrT//yeaR//sroC//yeaH//cysI//modC//csgD//nanM//tsgA//ilvC//flu//fadD//yneM//yeaD//nimT//argE//xylR//folA//gspD//metY//hlyE//fliI//ulaB//lysC//argB//gadA//ynfE//mhpA//ptsI//cysM//rpoH//
NtrC	aroH//yfaE//flgK//yhdZ//pdeH//lon//hisQ//dsdX//infC//cheW//phnC//trpE//katE//fadI//infB//cysC//hcaD//focA//rffC//moaC//gspG//crl//pnp//ulaC//ubiC//sutR//ydfE//ulaG//flhE//gntK//mdtF//rstB//ybhL//yaiW//tomB//citF//atoA//gspO//ttdR//lldP//yagK//yfdX//hcp//glmS//moeA//pqiB//dkgB//fumC//malS//
OmpR	yjeV//malZ//puuC//glxR//tbpA//alkB//hdeA//rutD//fhuE//ydiV//yfiB//ccmE//ydcS//entC//qseB//aceB//tdcD//leuA//nrfF//phnE_1//paaK//
OxyR	dcuB//sucC//trpR//mgtL//trpA//uvrY//purD//srlR//add//allD//fliN//marB//sdhA//gltK//yiaM//agaI//moaC//dgcC//patD//oxyR//aroH//entD//narH//uidC//agaW//yhdZ//aslB//hns//rpsO//galK//glmY//hyaD//araE//allS//
PaaX	metK//glxR//ynbC//lacY//ugpQ//yjhB//hyfB//ynbB//atoA//rarA//grcA//waaH//uidA//yecT//
PdeL	mdtE//
PdhR	fhuD//rpmA//mntP//ahpF//gpmA//ulaG//argF//potG//tam//malG//fabH//wza//hyfR//speA//mscM//rcsA//hokD//fucO//frc//ydfX//yjjQ//tyrR//mipA//sucC//envC//rffM//dicB//fecC//allS//trxC//feoB//ddpD//pqiB//argB//gatY//nrdB//xapB//yjbF//nuoF//citG//trxC//
PepA	waaY//higA//phnE_1//
PgrR	fucA//tbpA//deoC//add//sucA//mglB//cydC//qseC//
PhoB	ygeA//glnD//yiaM//oxyR//rhaT//tdcE//uvrB//ybhR//glcF//tomB//ycgR//glnB//sbmA//fliH//cynX//cadA//fliF//obgE//gapA//glpQ//eda//nrdH//tyrR//rcnA//nuoC//mglA//yegH//yhdX//nagE//argO//gudD//dinI//ydfX//lhgO//aidB//entF//rcnB//purB//udp//prs//ybjN//phnO//hybA//araF//gntX//fabD//hyfF//gpmM//evgS//yoaG//nanK//fadR//flgK//csgA//yegZ//pyrC//yncE//fadD//sdhC//ymgA//
PhoP	tyrR//asnC//ycjG//ubiA//dkgB//arsB//norW//trpE//dinG//dhaK//ilvY//phnN//psd//dcuR//tynA//degP//carB//epd//ubiX//cysD//wrbA//ppc//gcvP//ydhT//fldA//alsB//ydhU//cysM//mdtA//patD//fadH//nfsA//qseB//yaiA//cynT//nupC//mlc//glpT//fucU//puuR//hyfJ//ecpA//fldA//osmB//ugpQ//tehA//argI//nrdH//hybC//ftsK//tcyP//ascF//fecC//agaS//dapD//yqhD//
PrpR	stpA//ttdA//rutG//hypE//potH//
PspF	rclA//aroH//paaJ//fadL//nadB//nanM//glmY//
PurR	hybG//iscS//lacY//galK//yidL//mgrR//pdeL//sucC//infB//deoD//tam//mtlD//hyfC//codA//yqjI//nuoM//ftsI//pstA//ynfE//mipA//allB//yjeV//yqjA//ydhW//bolA//casA//srlD//malF//sufA//ynbC//rutD//
PutA	katG//rplU//
PuuR	gadW//adiA//fucP//ftsL//phoQ//galS//leuD//
QseB	nuoE//fepD//srlB//csgG//
RbsR	evgA//leuO//iscR//galE//rstA//fiu//ppdC//trpL//citC//
RcdA	focB//gcvA//decR//iscU//feoC//ilvY//ugpA//glpB//ccmA//
RclR	alsE//norR//ttdA//
RcnR	uidA//lgoR//uidR//
RcsAB	hyfG//malP//hyfD//tsr//cyoA//kdpB//fdnI//iraP//slyB//gadF//mcbA//phnJ//pepD//ung//gyrA//hyfF//
RcsB	ibaG//phnE_1//ppdC//fliF//metF//ribA//leuD//fruK//phoE//mraY//purL//tonB//cydA//treB//ubiA//sbmA//marB//fepB//potH//dkgA//pyrD//fliK//psiE//bglJ//yiaM//
RcsB-BglJ	sufE//gadX//acrB//ygbK//bglB//yoaC//adhE//pspG//phnN//rarA//pdhR//dhaR//hisP//fliD//sroD//nikA//
RelB	murC//yiaN//bluF//
RelB-RelE	csgB//paaD//fliE//
RhaR	chbG//rimP//
RhaS	ahpC//speA//ynbB//omrB//symE//nuoM//
Rob	fliR//rffG//cyoD//feaB//kbp//potF//phnO//yhdZ//csrB//ulaF//fadR//yjhB//ydcU//glnB//patD//ybbW//allS//gutQ//csgB//uxuB//artM//eno//gspG//ycjF//nrdA//sgbU//
RstA	fur//oxc//ung//argF//napF//ybfN//mngA//gadF//purM//pgi//
RtcR	moaA//sufA//
RutR	moaA//cspE//uvrY//fes//rffG//pgaC//yhjA//sufS//ppdB//xylR//argE//nupG//csgD//dinI//murP//lysO//rarA//
SdiA	rseA//glxK//seqA//cusS//nrdE//
SgrR	yidL//pgm//yjeV//dpiB//csgE//ybjN//yaiW//slt//yagK//
SlyA	malI//
SoxR	recX//tehA//omrA//
SoxS	recX//gnd//flgI//narJ//agaI//rbsR//ycjY//glnQ//hcaC//argB//dkgA//phnE_2//dsdC//cydA//glpX//hcaD//entB//nuoN//rstB//ynfK//entB//ynfF//rybA//ddpC//bglJ//phnJ//narX//marB//phnG//ydfN//rutC//malZ//lgoR//garP//uvrY//napH//ydfE//mltF//napF//tnaB//
StpA	ldtB//dkgA//ascB//kbaZ//rseB//nfo//ttdR//
SutR	chbR//pspA//gcvT//waaY//fimB//
TdcA	flhC//flgM//hybA//pnp//rutE//envC//csgC//
TdcR	pagP//aldA//fadB//melA//cusB//flgM//hcp//
TorR	arsC//ydcV//ldtD//umuC//idnO//hycD//pdeR//deoB//acrZ//lon//caiC//rhaR//
TreR	rcnA//ulaA//
TrpR	yrbL//araC//bamE//malP//fliZ//nhaR//lsrA//bioB//talA//ycgZ//rpmI//garP//
TyrR	rbsK//cysW//gadW//argO//ompT//yhiM//alkA//araG//ygeH//gspK//xylA//ugpQ//
UhpA	nupC//
UidR	creD//lysA//inaA//sgrR//
UlaR	malF//omrA//yegZ//rarA//acnB//hyaB//fes//
UvrY	crp//acrZ//tdcF//fliF//hmp//
UxuR	nikR//dhaM//ulaG//glcD//hyfE//pdeL//malP//gspC//nrdG//
XapR	uvrA//rybA//
XylR	yecT//nuoJ//gntX//torC//kdpA//narI//dicC//
YdeO	lysA//aspC//psiE//rseB//hyfJ//wecC//gcvT//dmsA//lacA//glnK//mdtC//hycA//fes//torC//rimK//pnp//tehB//fucK//paaE//rutE//gnd//
YedW	entE//marR//yjjQ//ydfH//hisJ//yqhD//ydhW//mioC//phnD//lysP//cdd//waaZ//
YefM	bioF//asnB//
YefM-YoeB	glpX//aldA//
YehT	yecT//
YeiL	insD//
YiaJ	rffM//malZ//yciW//rhaR//ycjG//rybB//aslB//nirD//recB//oppB//
YjjQ	yiaJ//moaE//sbcC//cvpA//fhuC//omrB//galT//treB//yeaG//tfaQ//
YpdB	icd//
YqhC	ptsG//cpxA//
YqjI	ilvY//aldA//
ZntR	tcyP//
ZraR	fliG//fecI//cho//
Zur	fliA//cyaR//ddpX//sufC//oxc//yjjZ//
