#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	sdhB//gspL//
CysB	mqsR//metN//spy//omrA//sufD//motB//phoR//purB//rutC//ccmC//yefM//phoP//ydhT//gadW//katG//mglC//fliR//ftnA//garK//omrA//metC//mazE//aroF//srlE//relA//rutA//qseC//araJ//mngB//ydbK//ygiA//yjbH//
CytR	caiT//fadE//hokD//gloA//nirD//yiiS//gudD//trpA//fadM//infC//hyi//phnE_1//hyfA//
Dan	ydhW//mdtE//mhpE//rpiR//
DcuR	entB//moaE//dinJ//iscS//nuoF//tisB//yneM//skp//pspF//
DeoR	ftsQ//deoD//nirB//hycI//sdhA//bioF//
DhaR	phnF//moaB//motB//glcG//
DicA	yiiS//flgK//ugpE//gapA//dhaL//codB//tdcD//trpC//
DinJ-YafQ	artJ//katG//arsC//
DnaA	cdaR//tadA//kdpC//tauC//uof//araH//decR//cusB//yjbE//patD//cynX//nemR//
DpiA	nimR//lsrB//metA//cpxA//zraP//mhpF//glgC//mglB//artM//gudX//malG//
DsdC	nimT//tdcA//nanC//
EbgR	phnE_1//norR//
EnvR	torA//adiA//
EnvY	bglF//nrfB//
EvgA	rutA//trxC//cadB//udp//hyfR//lamB//xylR//glpF//ydeM//cyoD//csgG//sufC//purC//hyfB//cyoD//mscM//mtlA//rffH//glcG//
ExuR	ycgR//infC//pstB//znuA//agaB//ecnB//folA//cdaR//ndh//
FabR	ybhL//tsr//
FadR	purD//uxuB//yeiB//chbG//yibQ//tyrR//ygbK//rplU//gatY//putA//bglJ//garR//oppD//glnL//fucO//glgP//yqjA//uvrA//lpd//rnlA//gntT//argH//appA//
FeaR	ecpR//moaD//
FhlA	edd//yqhG//mdtF//nrdA//nrfE//nanA//murE//sucC//inaA//ydfE//adiA//fliO//mscM//gspE//gatB//dmsC//yfdE//sra//cysP//mltF//phnG//nuoB//fucA//alsB//ccmA//dinJ//bglJ//mraZ//phoB//idnR//
FlhDC	rclC//sbcD//ugpA//uspD//gabD//lldR//ompC//ppiA//hycD//srlD//adiC//malK//pgaC//hybC//dsdA//ilvC//feaR//znuB//trpA//fliF//ydfH//xylA//metH//cusA//mhpT//garL//ddpC//pstC//phnE_2//slp//yeiL//gspH//flgJ//rclB//mgtL//zinT//glpA//treB//exbD//intQ//hyfA//nrdG//creD//ptsH//mdtD//ydiV//gatD//umuC//paaJ//uvrY//gspI//nuoN//feaB//artP//paaX//dhaM//sroD//dmsD//glcE//hyaC//focA//rffH//metN//argB//ppc//gspO//mhpT//leuB//argP//fumB//ydeI//exbB//uof//pdeR//ppsA//lexA//dsdX//hybE//mngA//gabT//yecT//dinI//
FliZ	rsmH//ynfK//zraS//sgrR//ydhW//rhaB//wzyE//pqiB//yefM//astE//napG//hcaF//speA//tdcB//dtpA//gspF//yibQ//astA//iraM//dapD//paaJ//
FucR	ppiD//gdhA//cadB//trxC//hybO//glnB//gspI//
Fur	fliJ//yhdX//casC//sodA//yjeV//dsdA//fliK//alaC//lsrD//paaD//ybjN//fabA//murG//pdeL//gloA//fdnG//fes//ygiA//zwf//argI//lldP//gspL//rybB//fadA//paaZ//recX//uxuA//glgX//nrdF//recX//fhuC//ugpQ//araB//cheW//mdtB//gcvB//poxB//polA//fpr//higB//trpR//accB//manY//hha//dmsC//malZ//ydhU//gadY//caiC//rpsU//gabT//agaV//alsE//pitB//torR//yjjZ//fhlA//pnp//nohA//dctR//hycA//fimE//ftsW//fhuA//feaR//ddpB//yagK//appX//gntK//rhaD//glmY//eda//murF//cpxP//motA//ydeM//moaA//phnN//pgi//manY//narI//nuoL//fecA//katG//wcaA//ydeN//ydeO//ppsA//ubiA//fucI//flgG//yebG//cysC//gapA//fnr//dsrA//rutA//leuL//aceA//sdhB//hslJ//bglF//dgcC//psiE//glnD//hdeA//glpC//phnD//araB//erpA//mnmG//pgaB//yfbR//ada//ubiC//melB//dkgB//gnd//rseC//sufA//nrdE//mazE//gcvH//ymiA//gnd//glxK//ydbK//fadB//nikR//emrY//
GadE	yhiD//rffG//rhaA//fdhF//napF//cysC//lpxD//aslB//yibQ//entH//cspI//nrdA//manZ//ugpC//cas2//argD//ybbW//rnlA//idnT//fixC//aceA//hycC//citD//bluF//ydfW//yiiS//soxR//hisJ//idnT//
GadE-RcsB	bioA//yjjZ//marR//safA//glpT//iscR//ftsI//paaG//argP//
GadW	mraY//hyaA//flgI//malX//ydcS//sroA//gudX//mlrA//moaD//paaY//yhiM//hslJ//pspG//hyaB//galM//
GadX	pstA//chbG//astB//emrB//putP//fhuC//glgB//ftsZ//trpR//waaZ//paaE//yfiB//mngA//uxuB//acrD//glmY//rpoS//entB//ycdZ//gspM//yjiY//gatY//phnE_1//malI//tauD//ygbA//marB//moaA//glpT//
GalR	lysR//iscA//fliI//yhbT//pitB//ynbC//ybbY//melB//yoaC//insD//
GalS	argC//ydfX//csgB//csrB//ccmH//csgG//feoA//fabA//caiC//lsrD//
GatR	tisB//rutE//fhuE//malE//hybG//prpR//
GcvA	ada//sfsB//rnlB//glpB//yeaH//
GlcC	galM//ahpF//katE//metC//yjbF//ybhF//rnlB//
GlpR	fhuB//betI//dpiB//glmU//sgbE//symE//phnM//argC//yidQ//
GlrR	fecC//uidB//ddpD//rclC//flgC//
GntR	cyoB//focB//glpQ//fixA//prpC//ycdZ//argT//rpsO//rstA//galP//ebgA//ccmC//
GutM	xylH//flgL//gloA//degP//prpE//ppdA//rffH//
GutR	feoC//insD//flgI//oppF//napA//yciX//cyaR//
HU	gatA//hycA//ubiC//phoB//fliH//lacA//mgrB//gspD//frc//
HcaR	hipB//acnB//rdoA//malE//udp//citE//
HdfR	lexA//murE//edd//fdhF//hdeB//
HigA	nemA//nfuA//
HigB-HigA	fucA//cysW//
HipAB	mngB//csgE//yiiS//rstB//creC//
HipB	iraP//phnD//sdhB//argE//csrB//ydhU//
HyfR	fur//ahpC//pspC//ugpQ//fepD//sucD//csiD//fabD//sodB//glpA//iscA//phnE_1//
HypT	rpsU//argO//nupC//nikR//garD//dctA//oppF//gspO//cdaR//yhbT//yoaC//lhgO//adhE//
IclR	mscM//higB//udp//truB//
IdnR	aroF//tauC//manZ//fabB//gutQ//fes//grxD//
IlvY	nhaR//prs//
IscR	cysA//ibaG//mdtD//nuoJ//narL//rcsA//kbp//fliZ//yeaR//bhsA//molR_1//hmp//recB//mzrA//sodB//tcyP//argC//trpC//tfaQ//pyrD//tcyP//ydiU//yjiY//pgpC//manY//marB//yebG//srlA//aroF//dinJ//ulaD//ariR//
KdgR	cheW//murF//
KdpE	qseB//codA//fau//agaV//
LacI	tktB//cdd//trpL//
LeuO	yedX//nuoB//phnE_1//gspI//pheS//ydfW//uof//rdoA//phoA//lsrB//chbB//emrB//lexA//glnK//lsrC//zraR//galT//pflB//glgB//udp//
LexA	cheW//gudP//cho//idnR//ymiA//rcnA//nadA//mhpF//sgrT//glcC//cysH//umpH//uvrB//hdeA//ddlB//oppC//ilvY//argR//phoB//aspA//rcsA//aslB//sbcC//glpX//phnH//glcA//allC//degP//narL//ynfF//ssrS//fepA//gadB//feaB//uspE//prs//talA//idnR//gspO//bdcA//fecD//fes//ydcV//lysC//uxaB//glgC//pgi//recA//gatD//asnC//argT//pagP//casD//yfdV//artP//glnB//xylG//fepB//ybhL//
LldR	rhaR//aspC//pgaA//
LrhA	fumB//amn//gltI//phr//
LsrR	fbaA//nrfF//casB//recD//fliF//entF//fiu//iraP//feaR//
LysR	phnP//agaS//
MalI	gutM//nrdB//bolA//
MalT	cyoA//bhsA//hyfJ//alsA//symE//add//mioC//paaJ//gadE//hns//
MarA	srlD//melB//kdpA//metJ//yhiD//glcB//metH//tdcD//hypC//polB//nrdE//cra//gloA//hdeD//fepD//glnA//xylA//yhdW//rstA//hisQ//uidA//hyfJ//nanC//adhE//narK//ugpC//rffC//recF//nanT//caiE//acrD//fucO//htpG//frc//alaS//nuoA//ppdB//nrfE//
MarR	zinT//mqsA//cysU//
MatA	poxB//cysU//norV//rcnA//katG//melB//acrB//csgE//
MazE	ygiZ//cyoC//higA//
MazE-MazF	gatA//fepD//alaC//
McbR	frdB//agaI//alsE//yhdZ//
MelR	mqsA//napA//entS//
MetJ	lsrD//ddpB//paaG//purK//ftsQ//gltB//potF//modB//fecB//flgG//entS//fliT//lexA//fabD//ldtD//
MetR	carA//yafP//gltF//yjjQ//fdnH//
MhpR	leuL//lsrB//mhpD//hflD//glpT//dicC//
Mlc	sroC//ymjD//puuD//cpxR//entB//bacA//recB//moeA//adiA//wcaB//
MlrA	pepD//cysN//mdtB//fruK//gatA//ldtD//oppF//nikE//pspB//acrA//
MngR	pspC//nupG//casC//
MntR	trpR//mngR//bioC//thiP//yegH//
ModE	alsA//relE//phnD//idnK//allB//ynfG//fixC//leuA//puuA//thrS//ppiD//mtr//mglB//narI//yibQ//hycG//oxc//hyfE//betI//iscU//rutR//rprA//arsB//flgN//pgk//galE//aceF//argT//ftsI//fnr//fucI//ppiD//sbcC//sgrS//ppdA//metF//flgL//glcA//cynT//paaK//xylA//rcsA//glpQ//malM//flgH//nrdH//
MprA	intQ//alsC//sufB//nuoJ//hyaE//hcaB//
MqsA	appY//cysJ//omrB//cirA//ulaB//uxaB//lsrR//folA//
MraZ	dkgB//cspI//polB//ugpC//nirB//lrhA//efeU_2//uvrY//glnL//fixC//gltB//nuoJ//waaH//yebG//yhjA//yafP//norR//
MtlR	bglJ//cueO//gadW//
MurR	dinD//hypB//nuoB//
Nac	pspF//gutQ//fabZ//hyi//gdhA//flu//aceK//rbsC//fucP//rnlB//trpE//malK//gabT//galS//astD//glpA//yeaG//potH//betT//ydfD//gltL//
NadR	gcl//narJ//malE//codA//
NagC	feoA//rutA//fadM//alsA//ydeI//fliT//garR//purB//potH//ygbK//ychF//ygeA//napA//hdeA//ycdZ//fucK//gltB//glcG//yhbT//treB//metC//yqjI//fimB//fucP//glk//ycjG//astA//feoB//cueO//pncB//ftsW//yhcH//sbmC//dsdC//metY//idnR//acnB//
NanR	hypA//bioC//yedX//nuoB//narJ//mprA//yaiA//fpr//iscU//gatZ//artI//
NarL	puuD//sbmA//isrC//cynR//ynbC//argD//glpF//ftnA//nuoC//lamB//malG//yjhB//yciF//phoQ//yeaE//flgE//glpC//nfsB//pheS//ompN//nikC//hyfB//inaA//pstA//lrhA//lysO//yaiA//potH//bluF//cadC//garP//xylA//uvrB//yafP//nadB//zntA//pheS//aroH//yqaE//cdaR//ybdN//yneM//ftsL//ydhX//rbsD//ppsA//sulA//wzyE//gpmM//chbA//gloA//dmsD//purR//gspJ//yjbF//garD//yjjQ//hycE//exbB//agaW//nuoN//bglF//ybaS//ydiU//entC//hns//feoA//rhaA//frdA//yoaC//dinB//mhpB//wzc//csgB//hyaC//prs//exbB//cecR//ydcT//nirB//gatA//ubiX//cysN//lyxK//ybhG//bglB//nrfG//thiP//dnaA//glnA//tsr//nanE//oppA//rpsO//ptrA//luxS//dcuS//treC//pyrD//sbmC//ogt//chbF//betA//pqiB//fadR//rhaB//cydB//yjeV//flhC//yqhD//mepH//phnE_1//phnJ//galP//yeaE//mlc//tyrA//asnB//cysJ//sbcC//argP//nagC//lysP//
NarP	pepD//pck//cyoB//lysC//gadC//torR//rstB//caiD//cadB//stpA//ydcU//cydA//mgrB//yhiM//lyxK//trxC//fabA//malG//allA//dmsA//hycI//ynbB//hycF//hyfR//ftsA//evgA//glnL//hemH//nrfE//uxuA//yjeV//aroP//ftsQ//cynS//leuC//napH//entB//umuC//bdcA//sgbH//ompF//dicB//metB//nuoE//ynbC//ibaG//artI//zinT//moaE//tsr//
NemR	ccmD//fdnG//sulA//
NhaR	hemH//molR_1//ynbD//cysG//glcB//gntK//ssuE//
NikR	purK//paaB//glcC//oxyS//yhhY//glnB//
NimR	artQ//gntT//
NorR	nuoM//udp//yegZ//
NrdR	dsdA//gcvB//dmsA//insK//fucR//rtcB//dnaG//paaF//yagK//
NsrR	tisB//dicC//flgD//entE//bioB//malT//amn//nadA//tolC//fixB//ompF//yiaN//phnF//ubiX//nuoH//potI//aroL//argH//yeaR//cra//ampC//ybdN//bdcA//csrB//fliH//rhaS//phnD//allB//fliP//purF//folA//polA//fadE//rsmH//putP//galM//ybdN//gatZ//aidB//lsrB//ydfH//ygbA//wzc//iscA//uidB//ycjG//paaY//nimT//mngB//sufS//marR//pspC//lacZ//soxS//aroG//cas2//cysH//manX//bglJ//frdC//fadM//waaZ//prpC//mntS//dcuS//chbF//yegR//yqaE//ndh//purD//ynfH//pyrD//chbG//napD//ybaS//metA//moeA//flgB//wzzE//flgJ//gntK//allE//oppF//
NtrC	tadA//fecB//pykF//betT//hokE//hybE//hyfD//ppdA//dhaR//uhpT//fliZ//envC//creB//purL//hyaE//feaB//yafO//metK//ydfN//cdaR//yhjA//yfdE//entB//fimE//cpxR//tcyJ//citF//ydfX//argO//hemH//ykgM//feoB//zraS//nlpA//nfsB//idnK//ftsL//alsA//ybjC//fliO//uvrB//ydbK//garD//pagP//lyxK//htpG//fecC//puuE//hcaD//
OmpR	ybhS//prpE//acrD//rseC//ybjN//nanS//yagK//cirA//chbC//mntS//sfsB//safA//rclA//ssuB//torC//ygdB//zwf//moaD//araH//rnlA//rcnR//
OxyR	fecD//dhaK//alsE//acnB//lyxK//yccA//hyaF//flgH//pstB//hokD//hyaB//insK//mpl//dicB//tauA//fabG//nikB//atoE//gfcA//atoD//phoP//cusB//dps//dmsD//ydbK//wza//yagK//purB//hycB//fldA//appC//hyi//nanK//soxR//
PaaX	metK//rimP//nanC//uspA//omrB//zntA//uxaB//tdcC//hycI//gutM//ccmA//dinD//ybjG//ada//
PdeL	chbA//
PdhR	rffC//fecE//kbaZ//rpmI//ompT//cysM//nfuA//torA//ftsW//argG//murC//lldR//cusS//hycB//fepC//tdcG//rclB//metQ//wrbA//cueO//dinG//metN//fabI//cpxQ//kbaY//zraR//glpX//citC//paaZ//lolA//bioA//pnp//ugpB//nuoF//gcl//ccmC//yciG//agaW//emrY//cbl//uxuR//
PepA	csgA//phnI//glpD//
PgrR	bamE//cpxP//caiT//symE//ogt//mtlA//yjbF//fliZ//
PhoB	hypF//kdpA//ydhW//ubiC//yqhG//ssrS//cspE//mglB//nuoJ//mltF//fliH//astC//sgrT//tauA//metH//trpD//murC//tisB//ydfN//sgbU//purF//yhbT//ybbY//cpxR//napD//bglB//frdC//dgcZ//deoA//gudD//paaK//deoB//ycjY//dsdC//ynbA//rpoE//argC//nuoA//umuC//rnlB//iscA//acrR//hlyE//qseC//pdeL//feoA//pykF//araA//cyaR//hipB//gabT//yeiL//ygeA//tnaA//chbB//wzxE//rbsB//artI//trpL//polA//
PhoP	nuoF//fucI//oxc//uidC//ybbY//yjeV//grcA//nuoC//yfiB//hyfG//rutR//nanS//astE//tnaB//entE//flgL//phnC//gatA//ftsA//ydfX//iraM//cadB//cpxA//cheW//nrdB//dhaR//ychF//hyfB//sbmA//glcD//argO//hslJ//tehB//dps//fadR//murR//mscM//nohA//dinD//hyaF//adiA//yegR//fiu//araH//purH//araA//hcaC//soxS//flhE//pagP//citE//exuR//katG//rffC//rffT//hslJ//
PrpR	rstA//gadC//dhaL//ndh//melA//
PspF	bglG//wecB//bioD//argG//polB//yjbH//efeU_2//
PurR	ycgR//fhuA//ydcT//efeU_1//cyoE//pykF//nimR//cho//flgK//iraM//ygbA//yhhY//rtcB//uxuB//nrdE//nuoC//tyrA//rffG//ymgC//nuoK//malE//argA//fadJ//rarA//hypC//nikA//glmU//wzc//fecC//paaE//rpoE//
PutA	fruA//nfsA//
PuuR	nrfC//paaC//paaJ//infC//fucI//crp//fadM//
QseB	gcvT//nuoN//napA//fau//
RbsR	rhaS//mzrA//yebE//purC//cydC//yegH//puuA//oppF//gltL//
RcdA	zraS//rutD//dctA//mhpC//lysC//ydcU//glnH//sgrS//mglB//
RclR	stpA//epd//efeU_1//
RcnR	mazF//lsrC//malE//
RcsAB	aroL//xylB//ssuE//nrdA//rbsD//yebG//adiA//carB//yjhB//yccT//rhaD//mqsR//cueO//kdpA//rtcB//ydeP//
RcsB	cusF//fabG//fucA//idnT//nfo//dapD//uidA//appA//gspH//ykgO//argT//creC//ynjI//dicB//nrfA//aceA//aroL//hisP//glcG//yeiL//fabI//tdcE//tauC//dcuB//hybC//
RcsB-BglJ	metA//lpxC//argG//rpoH//uidB//nanM//pgaD//dpiB//bglF//cynX//speB//dsbA//fadM//gatD//creB//ecnB//
RelB	yqhD//betI//mnmG//
RelB-RelE	rhaA//srlR//ygiA//
RhaR	nanC//guaB//
RhaS	phnI//phoP//baeS//cadA//garR//fadM//
Rob	malI//aceE//leuD//yiaN//cynS//hypB//argG//ydcT//sodB//fixA//ihfA//pspF//gadF//gadY//nrfE//gspH//fepA//flgN//caiE//ynfE//cpxP//rplU//yccT//ybhL//marR//fau//
RstA	melB//malF//cysN//prpB//metH//nikD//lacY//ynbC//rutE//rcsA//
RtcR	fixB//torR//
RutR	argG//nfsA//cpxR//wzc//hybA//symE//dpiB//malM//purD//sgbE//yjjQ//rseC//ybjG//zraR//nanT//nikA//dnaA//
SdiA	glcE//ydfW//dinB//ugpC//hisM//
SgrR	fdnI//alsC//cspD//acnA//mglC//gcvA//yidQ//mgtL//gatY//
SlyA	yjhB//
SoxR	waaZ//guaB//kdpB//
SoxS	yqjA//dhaL//gspC//exuT//gudP//bglG//pgk//focB//csgD//ybjG//ppiD//csgA//psiF//nagB//cho//ccmF//ddpB//moaA//fimB//atoB//purA//rutG//ppdA//nanA//iscA//astA//garR//flhB//carB//ycdZ//cdd//recN//fucU//wecB//metI//yjbF//yiaM//lysP//patD//gadB//
StpA	rutD//phoP//cheA//narX//trpC//ulaA//fadM//
SutR	exbD//zwf//dctR//adhE//gspG//
TdcA	recF//tyrR//ryhB//treB//mntH//zinT//yqhG//
TdcR	narK//trpB//insD//gadX//tynA//ssb//hdeB//
TorR	sdhD//bioA//nagA//fliR//torD//cynT//fliF//rffT//leuC//caiA//recF//cysK//
TreR	hyfF//cirA//
TrpR	gltJ//gloA//fabD//narX//pqiA//relA//nikR//mdtD//glxK//ttdT//umuD//galK//
TyrR	carB//agaW//nrfF//gadB//gatZ//yoeB//cbl//rybB//hflD//cydC//dnaA//ygdB//
UhpA	fimE//
UidR	bglJ//hybA//folA//ymgA//
UlaR	murR//waaY//yhiM//rtcB//nrfB//ynbD//gspH//
UvrY	asnB//paaE//xapB//mhpC//intQ//
UxuR	udp//ydiU//nirB//cho//rtcA//fucO//osmB//mngB//fliG//
XapR	torA//sbcC//
XylR	hypA//qseB//rcnA//gntX//lrp//fhuF//cho//
YdeO	nikB//nrdH//ompW//ppdC//phnE_2//ptsG//cysE//mnmG//garK//cecR//galR//rutD//fadB//hybD//cdd//bglG//rutF//flgK//glpT//ydhT//rbsD//
YedW	ompC//rclB//ugpB//bhsA//mdtE//murI//allB//dmsB//ompF//mnmG//araH//ydhY//
YefM	ugpC//srlD//
YefM-YoeB	fixB//malG//
YehT	ilvY//
YeiL	flgL//
YiaJ	manZ//sdhC//artJ//yoeB//znuC//mhpE//intQ//phnP//rarA//fliL//
YjjQ	citX//fruA//rfe//ybaS//aroH//gutQ//yiiS//xylF//phoP//mlrA//
YpdB	baeR//
YqhC	moaE//agaC//
YqjI	manY//ibaG//
ZntR	ompC//
ZraR	oppD//fdnH//mazE//
Zur	qseB//paaA//ychF//appY//deoC//bglG//
