#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	aspA//yhhY//
HypT	sucD//nadB//ydhU//ppdA//ccmF//iscU//yciX//ecpA//borD//asnC//nrfA//focA//hyaE//
IclR	mdtA//metR//ryhB//rstB//
IdnR	ychF//tdcA//rcnA//higB//mpaA//gspO//cspD//
IlvY	hyfE//sufE//
IscR	bluF//nanC//aslB//ykiA//ymiA//mtlD//lacZ//garP//pncB//caiF//murC//ydcS//caiB//glpK//artI//lyxK//fliE//dgcC//nuoI//sodB//hemH//tfaQ//metI//hyfB//dapB//nuoA//metJ//fliT//bioA//galM//dcuR//yafP//
KdgR	cas1//hyaE//
KdpE	ynbC//oxyS//hyfG//rutF//
LacI	ftsZ//mgtA//pck//
LeuO	nikA//rpiB//mraY//dhaM//chbC//pstA//ycjG//emrK//pnp//kdpC//glpD//gudD//pheM//bioB//mpaA//hcaE//nikC//ydcV//idnK//yeaR//
LexA	fepG//yebE//agaD//aidB//ccmE//fau//rhaS//treB//rpoE//lpxD//narK//cusB//ugpB//gpmM//cho//flgB//entB//hdeD//fepE//gudX//trpD//caiC//glpT//argR//ygiZ//ydeI//sdhB//sgrS//rclC//glxR//umpH//wzyE//hycH//yhdX//flgK//pgk//ycjY//cysG//yjeV//ebgA//yhdY//xylB//iscS//mpaA//cheW//yhbS//fadI//nlpA//ebgC//oppB//pck//yrbL//narJ//bdcA//trpC//yecR//feoB//nhaA//gadE//
LldR	dsdX//nrfA//argF//
LrhA	purM//paaJ//dhaL//cadA//
LsrR	lsrK//ygbA//appY//ynfK//cysJ//ulaD//flhD//psiF//malY//
LysR	ldtB//lysA//
MalI	gspC//rimP//fabB//
MalT	evgS//ulaA//aceE//hcaF//citC//zntA//cho//ynbD//galR//citC//
MarA	purD//torA//sufC//asnB//oxyR//galR//rpsU//udp//glnL//yccJ//tnaB//hybD//accC//glpF//rsmH//metQ//fliA//ulaF//iscU//arsB//sroC//yaiA//metH//uxuB//patD//cyoD//glgX//fabA//caiC//hyfC//thiQ//cysJ//hyfR//ssuE//iscA//phr//yciF//ddpC//
MarR	glyA//hybD//ycdZ//
MatA	gspE//asr//glnQ//tauA//ppdC//lldD//mprA//deoA//
MazE	napF//ybhG//glnG//
MazE-MazF	atoD//rutA//dhaM//
McbR	mntP//focA//lsrD//dmsB//
MelR	osmB//pgaD//manY//
MetJ	fadB//hcp//cspD//ygeH//mgtA//cysH//prpC//acrR//bamE//ttdT//sgbU//mhpD//fimB//lldP//nagA//
MetR	chbR//nrdA//ssuB//yhbE//yafO//
MhpR	dsbC//ccmG//hyfE//rclB//yhjC//feoC//
Mlc	hyaB//ilvC//flu//tnaC//pepA//paaG//psd//tehA//glpT//ccmB//
MlrA	fabG//yaiW//chbR//araB//insD//tsr//purH//symE//moaD//ulaD//
MngR	hyfJ//fabA//hisQ//
MntR	glgA//mhpD//cas2//nrdE//phoQ//
ModE	nikC//tolC//rnpB//napF//ogt//mzrA//ryhB//ydfX//citC//pspA//adhE//znuA//fadH//dkgA//yecT//gadE//glpC//tdcG//rnlA//ymjC//phnK//rhaR//rffT//hybF//galE//fabG//fumB//cdaR//yhiD//fixB//phnC//arsC//yjhC//caiA//hybO//nuoB//dhaR//fliO//qseC//nrfF//yjhC//rybB//hisQ//ccmC//tyrR//ugpQ//
MprA	phoQ//gatY//adiA//yfbR//dinG//phoB//
MqsA	pdeL//flgE//ydbK//uvrD//ulaE//ascB//ptsI//bioA//
MraZ	ynbC//dmsB//mgrR//fumB//lacA//nanA//rybB//rseB//nirC//paaA//grxD//frdC//focA//agaV//nimT//wzb//tolC//
MtlR	cusC//napA//trpE//
MurR	cheA//tyrA//ymiA//
Nac	ubiX//recC//ccmA//hemH//citF//gltD//skp//fabI//xylH//hycF//agaC//argH//trxC//gspM//sufS//caiA//napB//csrB//yaiA//trpA//lsrF//
NadR	pitB//entB//asnC//ssuE//
NagC	infB//pdeH//wzc//rybB//sufA//wcaB//hns//ybhR//ppdC//yaiA//sulA//gabD//bamE//astD//lacA//acrA//yebG//hybD//bhsA//znuA//ydbK//phnK//nanK//gabD//hyfC//ychF//hyaD//fbaA//polA//hflD//nrfD//rfe//yfdV//yjhC//hyi//gspF//rprA//
NanR	lacA//phnI//aroF//chbF//adhE//purA//gltF//caiE//garP//wzzE//thiP//
NarL	lgoR//ftsZ//manY//yegZ//udp//lysO//emrY//cynT//hcp//fliE//ycgZ//hyfB//mqsA//norV//lpxA//arsC//pstA//metA//ccmG//potH//gadF//yciE//phnF//flhC//ilvC//ddpB//nirB//atoA//uspD//metK//rhaR//csgG//yjjQ//nupG//zraS//recN//nikE//flgL//ldtC//rpoS//purN//rtcA//wzb//nanA//phnE_2//accA//ahpF//mgtL//aspA//gabT//cbl//dhaR//ygeH//yciE//ugpE//dhaL//rsmH//argP//fdhF//mscM//fadJ//emrY//fldA//ydfH//aspA//feoB//lexA//sgrR//puuP//agaB//hflD//nmpC//ymiA//gabT//nuoN//rclC//amn//osmY//cra//pgm//prs//torD//feoC//yoaG//mglC//nrfC//ftnB//hyfG//fliG//phnH//cbl//ygdB//fliP//xylB//uvrA//wrbA//dapD//malF//citG//dcuS//ftnA//pncB//nrfD//uof//fldB//melR//potG//mraZ//argG//ubiA//higB//puuD//yrbL//hcr//infB//ftnB//asr//appA//yaiA//yaiW//alkA//ybaT//ugpE//
NarP	napA//aroL//chbC//phnK//fliG//sbcD//hydN//cirA//cheW//nrdB//idnD//ppiD//pspB//yecT//rclA//ydhY//nuoE//rnlB//grxD//srlB//exuT//yeaR//oppB//guaB//ihfA//creA//sfsB//emrA//hybA//hyaA//atoB//hycH//katG//xylR//yhbT//lon//ubiA//ompC//nuoK//csgC//rimK//napF//ydjM//rutF//malK//iscU//alsE//feoC//creA//ulaE//
NemR	pspB//paaH//mdtE//
NhaR	cdd//leuC//mdtA//ybhL//wecC//cyoC//cra//
NikR	grcA//ydhT//ppc//fadA//edd//ydeP//
NimR	pgk//tsgA//
NorR	yjeV//uof//mntS//
NrdR	ybhF//qseB//glgB//gutM//flgE//uxuR//sgrS//appY//dinB//
NsrR	gspL//metL//cysG//rcnB//ptrA//skp//cyoC//araJ//pdeR//yoaG//folE//gadC//pck//uidA//sufC//fadB//fecB//erpA//glnD//ugpC//rclC//ompT//cecR//dmsC//agaA//gspC//fadR//yafQ//ompN//garR//rutR//treR//rhaR//rcsA//lsrF//ftnB//ihfA//entA//ulaD//crr//yjhC//rstB//uidB//ftsA//dnaN//wrbA//tpiA//metA//codA//ddpC//leuO//icd//hycD//nanM//norR//cydA//cspI//betI//hyfD//phnI//tdcD//nanM//ydfW//fruA//iclR//puuA//malZ//bdm//tnaC//gatC//fecC//gcvB//norV//purL//ada//srlR//hdeD//yeaG//wzxE//araC//garK//gntT//rclA//
NtrC	hisP//glnK//csgC//mglB//motB//gspI//hypE//torA//nhaR//ssb//nikA//carA//yhbS//phoQ//mprA//idnD//rutF//osmC//glcC//prs//ruvA//yeiL//gudX//yafO//hipA//artI//dcuA//gspM//lgoR//mdh//hycF//modB//ttdR//sdhC//ygdB//omrA//fadE//mhpT//rseB//cpxP//fadD//flgG//prs//acrZ//yjhB//dnaG//alkA//argH//yiaJ//
OmpR	bglJ//nusA//flgM//flgD//dinQ//ymiA//fabH//yafN//ybfE//dgcZ//yhiM//fhuD//fabA//pspC//entF//ptsH//ogt//agaC//fucU//recD//cysE//
OxyR	cysJ//yfaE//glpB//ykgO//kdpF//umuC//nanT//metF//sdhD//phnH//lgoR//hycB//betT//cysG//oxc//tnaB//ccmG//yciF//araH//moeB//glnK//ycjX//ybhF//chbA//gadE//edd//acnB//yegH//ybjC//lysA//rutC//flgG//rtcB//fecC//
PaaX	fadM//pspA//bioB//fruA//fabZ//hycD//tpiA//moaE//ybbW//ydhY//rpmI//flgC//hcaE//agaR//
PdeL	ccmE//
PdhR	mntP//recA//talA//araF//rclA//purC//dpiA//tynA//mhpT//emrA//tauC//hypF//galM//ppdC//ompT//entH//fadL//ydhY//kdpC//cysG//ruvA//xylB//cysI//narK//bglF//cydC//murE//purF//ygbA//kbp//chbC//luxS//fecE//ptrA//uvrB//rybB//marR//lacA//dmsC//eda//lhgO//
PepA	ndh//tynA//mzrA//
PgrR	ddpA//hisJ//sfsB//carB//tadA//nadA//decR//malY//
PhoB	ebgA//hcaR//nrfE//yoeB//glcG//glpK//speA//tsr//yqjA//ebgC//prpC//hyfB//hyfF//xylA//dinD//ykgO//yoaG//bglB//yjiY//cpxA//rarA//rpmI//hcaB//fadA//dinF//napG//intQ//poxB//flgE//malM//rbsB//ycdZ//seqA//relE//hybB//torC//glcA//trpR//setA//nac//ydeM//higB//idnO//mngA//hha//thiP//ycdZ//carA//adhE//rpoD//rfe//fecA//sodA//fnr//sbmC//fepC//cyoC//glpX//sbcC//recF//
PhoP	rbsC//ariR//yhbS//nuoM//artM//nimR//treR//cydB//sdhA//hyi//mnmG//nikE//cdaR//ccmH//phoP//ttdB//lsrC//ftsW//hyfE//fabD//pepD//patD//atoA//ycgZ//phnM//tonB//cdaR//fepB//puuR//grxA//phnK//xylR//entH//nuoB//rutD//ompC//fucI//oppC//cysK//nfo//talA//rob//puuA//moaA//yagK//recB//agaR//lldP//yidQ//dmsB//citF//fepB//yeaR//hybE//fucU//phoA//
PrpR	accB//moaB//phnI//araB//ddpC//
PspF	dinF//fliO//tomB//galK//dctA//nuoI//ugpQ//
PurR	glcA//rbsB//metI//ascF//ydeM//hyaE//ynfK//accA//trpA//pdeL//bioD//pstC//bdcA//sufE//mqsA//pflB//cynX//phoE//flhA//lacA//ynfE//hyfD//yegR//dmsA//ydfW//adhE//yfiR//ygeH//yqaE//pqiA//ytfE//
PutA	hybA//ompC//
PuuR	rpoS//gspK//yqjH//glcB//alsB//tdcF//lacZ//
QseB	hyaF//malZ//gltD//casC//
RbsR	dapD//tnaC//ulaE//agaV//hcaC//bamE//fadB//ycjX//nikB//
RcdA	hdeD//tauB//nfsA//glpK//speB//flgG//acrZ//fliS//cheA//
RclR	nrfD//fhuB//hdeD//
RcnR	phoU//hokE//uvrA//
RcsAB	fliJ//glgP//hycI//nupC//argF//creD//erpA//gadF//trpB//cyoE//rplU//cho//potF//nuoJ//sbmC//napA//
RcsB	hisJ//hcaB//hcaB//hyaC//caiE//fdnI//tsgA//accA//gltI//rimP//btuB//fucR//lldR//fabB//dgcZ//yhbE//mhpB//hisQ//pepA//rbsA//yhbS//nadB//uspA//uidC//zwf//
RcsB-BglJ	emrK//fliN//tnaA//ygiB//fabD//purK//fabH//nirD//yefM//paaG//gnd//phnI//add//sdhC//flhA//sgbU//
RelB	xylG//frdA//lacZ//
RelB-RelE	hyfD//higA//wcaA//
RhaR	soxR//nuoB//
RhaS	cusC//ygiA//oppA//rhaD//folA//cusB//
Rob	pnuC//wecB//gatY//erpA//fecC//lacZ//amn//yaiA//yeiL//dicB//ssuA//hisQ//sufA//rplT//rclA//gcvB//caiE//tyrP//appC//glgA//argC//phoB//yqhG//rutG//malK//iclR//
RstA	gcvH//deoD//patD//exuR//crp//pncB//gltB//mgtA//argR//csgD//
RtcR	ydeN//nanC//
RutR	fumB//erpA//fliE//flgN//acrA//uxuB//putA//fadJ//pspC//dnaA//narX//xylG//rbsA//fixA//cas2//mnmG//efeU_2//
SdiA	araH//idnD//ychF//pstC//modB//
SgrR	cas1//ybjN//yhjC//recX//malQ//nrdH//napB//rpoD//flgN//
SlyA	glcB//
SoxR	trpC//tdcB//araG//
SoxS	fabH//cynT//fhuD//wrbA//ybjC//rpmA//allD//narK//lamB//ynbD//argA//ydfH//hyfB//murR//nrdI//gntP//malK//ybjC//nagA//gor//lexA//gor//nrdI//ulaE//csiD//rffC//prs//dtpA//garK//yjbG//sulA//infB//dmsB//dcuA//hycE//gltK//lsrR//pdeR//argF//nmpC//
StpA	qseC//glmS//malY//yciE//argO//yegR//metQ//
SutR	flgE//rhaD//malK//cydB//ulaE//
TdcA	puuR//glgX//ubiA//lysR//glpD//metE//yjbH//
TdcR	obgE//ulaA//uidA//sbmC//tauC//omrA//mipA//
TorR	rpoH//yciG//sgbU//glnP//accC//nupG//pspC//ydhX//sufS//dctA//ryhB//rcnA//
TreR	glpQ//fur//
TrpR	aceB//yhjX//gcvP//cusC//efeU_1//fabZ//murQ//pdhR//glpQ//wrbA//purN//paaC//
TyrR	yciW//gspH//phoA//ccmB//trpE//flgL//ddpF//cas2//ulaD//ydcT//pyrC//putA//
UhpA	hybA//
UidR	pitB//pnuC//hycH//dpiB//
UlaR	cra//glnK//puuA//ybfE//flgH//ycjG//astE//
UvrY	dctA//gabT//fliI//gor//entB//
UxuR	nrdH//modA//napA//arsR//rtcB//atoD//spy//nrfA//prpC//
XapR	chbG//frdC//
XylR	hokE//glcG//fhuE//dcuD//gntP//ppdA//mngR//
YdeO	flgE//gcvH//rhaA//hyfF//hybB//hyfA//fnr//ygbK//fimB//leuL//oppC//phnL//narK//frc//bioB//yiaO//cheW//atoB//yaiW//cueO//modC//
YedW	fhuE//cynT//galR//fruB//ycjG//hyfR//accB//pspD//deoB//lysR//bglF//phnF//
YefM	mepH//rpoH//
YefM-YoeB	mtlA//cysK//
YehT	hycA//
YeiL	cbl//
YiaJ	oxyS//hyfJ//uvrA//mhpA//fliM//rpoE//mhpA//hyaC//fnr//yaiA//
YjjQ	csgF//artJ//rutG//stpA//ccmG//rarA//sodA//hisP//flgH//paaH//
YpdB	speB//
YqhC	ydbD//yiaK//
YqjI	amn//dicB//
ZntR	csgB//
ZraR	rffT//lsrC//yidL//
Zur	srlB//yeiL//ydfX//ygaC//nimT//murD//
