#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	hemH//ydbD//
CaiF	chbA//rpsO//ccmE//ompC//sdhA//hemL//gudP//ubiC//nuoK//nrdD//
Cbl	fadE//chbB//ydfH//lhgO//yhbS//uspE//moeA//mscM//crp//
CdaR	yhdW//recF//pncB//fliI//mlrA//putA//mlrA//spy//emrK//baeS//
CecR	mnmG//dcuB//rnlA//rutD//fabI//
ChbR	trpB//fepA//hyfF//yoaC//idnO//uidB//
ComR	phoE//
CpxR	sdhB//dapB//dsdA//ybdZ//yidQ//yegZ//purE//fabB//yidQ//uof//mhpD//luxS//appX//glpT//ccmF//ecpR//moeA//paaX//sbmC//ycgZ//glpD//aceE//fhlA//gapA//hycI//galR//fecD//adiA//rbfA//ftsZ//poxB//moaA//tdcF//dicB//hybF//rpsU//arsR//hycE//polB//zinT//paaC//mscM//moaA//motA//arsB//uxaA//creC//leuD//cysI//gudX//ydiV//csgF//araC//gspL//dgcZ//mhpB//phnD//nagC//uvrA//nirB//betA//dctA//deoD//bglJ//fdnH//mgtL//ycdZ//fadM//slp//zraP//
Cra	hybC//ycgR//oppD//fliS//folE//ftnA//uspA//ldtC//metJ//idnR//fumC//ompC//edd//yeaG//gntU//uspE//xapA//glmS//napB//gloA//ynfE//rprA//yeiL//recF//gabD//yqhG//glmS//cusR//nrfG//cysH//araF//yafP//cspI//lsrB//tehB//pspG//hypE//ybhL//guaA//uspE//ptrA//atoB//pykF//fadD//araG//codB//fldA//ccmH//manZ//putP//prpE//tolC//glk//pck//yiaL//argF//ynbC//osmC//nadB//wzzE//galP//bhsA//kdpA//yciE//nanK//ydeP//glnB//seqA//fhuF//argB//ompT//ihfA//gcvT//cpxP//fur//rarA//phnD//ygbA//galM//
CreB	symE//sdhA//qseB//bioA//rhaD//
CsgD	evgS//uidR//fliF//yedX//tyrB//rpoE//fldB//nhaR//mazE//cas1//ugpQ//feaB//aroF//ygiZ//uxaA//yaiW//napF//entF//emrY//yeaR//carB//hdeB//sufA//aroH//sbmC//purF//norR//dkgB//
CsiR	wecB//malS//slp//oxyS//ydfH//
CspA	xapB//fliR//
CueR	emrA//slp//fixX//cadC//lldR//dctA//nikB//
CusR	copA//rcnB//bluF//cueO//nuoE//mdtB//ulaF//putA//gltF//prpC//ycdZ//cysC//
CynR	pheM//pgm//tcyJ//nirD//
CysB	rffG//ytfE//hcr//sdhC//napH//ccmF//gadX//ykgM//fixC//nikE//gudP//borD//metH//udp//yqjH//dctR//yfaE//napF//rclA//hyfC//ydcS//ddpA//hisM//dcuS//ytfE//yafO//uspD//decR//wzb//hokD//recN//pgaD//
CytR	zraS//flgC//ybhL//evgS//lysO//pck//rclC//gadB//dnaN//yhdW//uspD//rhaR//gltB//
Dan	eno//yhcH//yiaL//lsrA//
DcuR	fbaA//ddpB//bolA//rcnR//rybA//dmsA//mqsR//ribA//dnaN//
DeoR	rtcA//ydhW//ompF//argO//fadM//trpD//
DhaR	napA//fepG//cpxQ//aroL//
DicA	appY//nuoM//yoeB//ruvB//paaJ//mhpC//mscM//fdnH//
DinJ-YafQ	ppiD//ttdB//rstA//
DnaA	sgbE//yafN//cdd//tktB//marA//degP//ribA//nuoE//rplT//glgA//hyfG//mdtB//
DpiA	nohA//caiC//nemA//cysG//nfuA//nanM//hybO//malF//phnD//xylB//decR//
DsdC	lamB//fumB//puuC//
EbgR	ydeP//entD//
EnvR	cadA//fecD//
EnvY	rhaB//fadJ//
EvgA	ppsA//amtB//rprA//nanA//ccmB//appB//metF//relB//csgA//mioC//mgtA//dcuA//entA//frdD//garD//csgD//iscS//hybA//fliE//
ExuR	cysP//metH//fliM//ybjC//recN//nfuA//yfiR//dgcC//sbmC//
FabR	fhuB//betT//
FadR	nanK//nirD//rpsO//moeB//nrdG//mipA//nirC//pspA//mpl//tcyP//hybE//chbR//bhsA//rpoD//xapB//phoR//rpiB//uxaC//zraS//pheT//yfdE//hemH//pyrD//
FeaR	tauB//glxR//
FhlA	accD//putP//yafQ//epd//yqhG//galS//mdtB//nfsB//cydC//purL//rimK//inaA//cusR//katG//yjiY//artQ//gadB//gltI//trpD//sodB//frdD//ddlB//fadL//pyrC//dmsB//cysI//yedX//yhbT//pncB//purM//
FlhDC	rybA//ymiA//ynfK//aslB//galE//pck//hcaF//sufS//lsrK//casD//gltF//fepB//rstB//fepG//ptrA//ymgC//cusF//nikE//rplT//mazG//hcp//cysI//arsB//malT//tehB//efeU_2//mglC//cecR//mazE//trpR//mdtF//dkgA//alkA//hdeB//fabG//lacY//dgcZ//dps//cheA//exuR//modA//ecnB//csgB//dapB//glnK//caiC//casD//emrB//agaB//mdh//hflD//gabP//ppiD//tdcD//cecR//yafO//waaZ//ecpA//csgE//nohA//ybbW//lsrR//nrdG//yfaE//dgcC//folE//yefM//metH//hcaR//atoA//gabT//srlA//nfuA//phnD//uvrC//nirB//luxS//sufB//pspB//hyfJ//leuB//uxuA//
FliZ	potI//paaE//ilvC//artI//hemH//asr//ppsA//recD//caiF//fhuD//cheW//acrD//rbsR//argF//artP//manX//ydhW//tomB//icd//cvpA//glcD//
FucR	guaA//ppdC//nikC//betT//aroG//ydeN//ulaE//
Fur	gspC//appB//fldB//hcaD//entA//cyoA//entD//sodA//hyi//hcaC//fabZ//rhaB//znuB//rhaD//leuD//ccmD//rstB//nadA//mngA//potH//gudX//gutM//ebgA//dinQ//dpiB//cyaR//gltF//adiC//hcaB//osmY//gapA//gltB//ygiB//hybF//crr//dsrA//rpoH//caiC//ydfN//fecR//grxD//atoD//bolA//cspI//astB//pyrC//cyaR//dsdC//emrB//pepA//ulaE//lsrF//mglB//ydfW//yccT//fliR//tdcA//fucK//ybfE//mdtE//fucO//nimT//rutA//ariR//znuC//fecI//paaB//ydbK//cysK//flgH//ptrA//ppiA//citE//gspO//nirD//fecD//aceA//prpR//aroH//gadC//tpiA//seqA//ydhW//melA//caiC//nuoB//phnC//torA//pgaB//rseB//ompW//flgI//frc//gadW//znuA//ulaB//ynfH//gpmA//rutR//flhB//nadB//fdnI//phnN//ldtC//yciE//gspL//garP//tdcD//feoC//ugpA//artP//mraY//lpxC//flgF//hyaA//astD//gor//oppC//gltK//mntP//fucO//mqsA//ptsH//wecC//manY//cspD//mntH//sbcD//entC//hycB//
GadE	ybdN//agaB//paaD//insK//gltI//ftsI//chiP//add//betI//sroA//moaA//oppC//bglB//cysK//yciG//gspI//fepD//glpF//dmsC//soxS//mgrB//narK//rseB//ybaS//mazE//rnlB//dsrA//cspI//polB//
GadE-RcsB	flgB//fixX//atoE//leuD//napH//cyoB//gspM//aceF//tynA//
GadW	dctA//sdhB//nrdI//ydhT//hybA//xapB//dsdA//pyrC//glcC//alsE//ycjY//slyB//mdtD//fumB//csrC//
GadX	rseC//modA//relA//tdcG//sdhC//glpK//deoA//flgG//flgD//fiu//atoB//ptsI//puuR//flhD//metH//nanM//rbsD//nemA//alaS//bdm//sucA//cpxA//patA//cyoC//ssuB//hycF//ydfX//hisQ//rob//
GalR	rffC//agaR//nuoN//torA//cspD//sbmA//acrZ//rbsR//flhC//fadJ//
GalS	ebgC//insD//ampC//ydeO//kbp//modC//cheW//nanS//aroL//tyrR//
GatR	pqiA//hdeA//dicB//ddpD//mgtA//fau//
GcvA	sutR//ulaE//kdpA//rimK//asr//
GlcC	ydcT//casB//fadD//yedX//yqaE//glpK//wza//
GlpR	pstS//adiA//leuO//gor//puuP//nuoI//nohA//hybD//phnE_1//
GlrR	trpD//nrdI//csgC//mngA//alsE//
GntR	rnlA//ydhX//gabT//asnA//cheA//gabT//phnF//fhuC//cadB//focA//gatD//iscR//
GutM	mqsR//ydcU//recB//argA//hcr//araC//allA//
GutR	ynfH//gpmA//ttdT//ydeI//glyA//fliT//uvrC//
HU	fixX//tdcC//dsrA//soxR//sucD//dicC//glpC//yebE//ydhV//
HcaR	phnI//sra//pepD//gltK//aroP//cspI//
HdfR	csrC//tyrB//feoA//csrC//fucO//
HigA	feaR//ybhF//
HigB-HigA	xylH//tcyP//
HipAB	trpA//mhpF//nemA//cynS//uvrA//
HipB	cysK//paaG//tsr//cydA//uidA//yfbR//
HyfR	moaB//sbcD//mhpC//phnF//fhuA//fpr//nemA//frdB//tnaB//araC//fimE//ybdN//
HypT	yccJ//citX//eda//fixB//srlB//adiC//sutR//rhaS//fliH//fdnI//hyfH//ccmC//srlE//
IclR	ybiT//rffM//sufC//cysP//
IdnR	amtB//talA//oppF//argF//fliI//oxyR//chbF//
IlvY	rcnB//appC//
IscR	ccmD//rbsB//metY//aslB//paaH//fliP//pitB//fliG//ynfH//lpxC//accA//mntP//malG//bhsA//casD//yjjZ//ygiA//caiE//sdhD//lldP//yebE//moeB//ygiA//fepB//recD//yfbR//ftsL//allB//phnM//creC//phoB//yjbG//
KdgR	mgrB//araE//
KdpE	araD//uxaB//thrS//nanK//
LacI	alaS//ydcT//sfsB//
LeuO	mdtA//araD//cdd//yegH//pitB//glmY//mraY//yoeB//cysI//gpmM//aroP//fabI//atoB//fliN//ruvB//borD//chiP//argH//artJ//gspF//
LexA	flhA//murF//yfiB//ftsW//cysC//exuT//nadB//ugpQ//ihfA//yhdW//ydjM//flgH//entB//glk//deoB//hcaB//yhdY//sbcD//cadC//gcvH//araD//ybhG//modC//napG//oppC//ybfN//fixA//xylH//exbD//truB//astA//feaR//fhuF//ecpA//pdeL//leuB//yjbG//cysD//ampC//nanK//pstB//appX//araF//tehA//ybbY//mngR//phnJ//ruvB//dmsC//fliZ//yciG//agaI//sbcD//gspH//degP//purR//mdtA//nuoL//cadB//
LldR	leuC//sroA//ynjI//
LrhA	yeiL//hcaR//tauA//sgbU//
LsrR	hha//phnJ//flgH//baeS//fliJ//accD//fepB//phnO//insK//
LysR	recC//nirD//
MalI	fadB//prpC//carA//
MalT	hcp//fixA//paaG//hipA//dsdC//rbsR//atoB//ariR//lexA//bioC//
MarA	galM//ebgC//glpD//rfe//glnD//frdA//glmU//deoD//prpC//mdh//allE//rclA//garK//dkgB//feaR//tauD//pgk//ung//fepA//sgbU//phnE_2//rtcB//sra//fliS//leuO//glk//ptsI//iraM//hflD//gspO//purE//rcnA//murD//paaI//inaA//ydfE//glxK//lsrK//
MarR	ddpA//phnO//tnaC//
MatA	purE//oppA//hipB//rutA//hemH//metR//acnA//rpoH//
MazE	allC//flgC//mepH//
MazE-MazF	rpoE//ttdA//flgK//
McbR	glcD//rutB//yhjC//hyaF//
MelR	dinD//hlyE//feaR//
MetJ	ttdT//ydbD//gatA//ygiC//nanA//focB//fliK//flhD//marB//cyoD//kbaZ//ppdC//flhC//csrC//psiE//
MetR	potH//yafP//motB//ssrS//flgE//
MhpR	pck//feoB//lolA//ribA//ssuE//glcE//
Mlc	fliF//rplT//pgaB//ycjY//kdpC//ulaA//hokE//rutD//fdnG//norV//
MlrA	relB//hypE//appB//frdC//hemL//lyxK//napC//ecnB//aceE//nemR//
MngR	ttdT//lldD//citF//
MntR	leuA//gadW//wzzE//xylA//napH//
ModE	intQ//ddpF//fldB//gatB//guaA//rffG//ygbA//gltL//csgG//polB//efeU_1//glnQ//mntH//ddpA//ompT//puuA//rffG//symE//chbA//ulaD//gspC//rbfA//tcyJ//zraR//copA//frdD//nemR//allD//rbsR//insD//nuoB//sulA//cusA//flhB//uxaB//galM//tsx//mqsR//galT//frc//copA//garP//hcaB//gntK//nikD//ftsI//
MprA	ynfE//qseB//hcaR//appA//argA//ydhX//
MqsA	relA//yhdX//cusS//cpxA//artQ//carA//ygiZ//phoU//
MraZ	ynfE//mtr//lexA//psiF//tdcB//gcvP//pagP//polB//bdm//pgaC//ttdR//yqhD//cynT//dnaA//pdeR//fabD//treC//
MtlR	yjjQ//betT//mipA//
MurR	fecI//gspI//glpX//
Nac	glpF//fecD//ygiC//lsrR//astD//poxB//fhuC//flgM//ssuE//cspE//nrdG//phnN//gatA//cydC//dsbA//fliE//nrdD//pspA//malF//malF//purA//
NadR	phnG//crr//rtcB//icd//
NagC	ugpQ//paaK//astD//patA//aidB//yqaE//nuoB//uof//amtB//nuoF//cysM//rnlB//obgE//wecC//fliS//narK//ccmA//yqjI//agaB//pqiA//dcuR//alsA//glgB//napA//yrbL//yqjH//mtlA//hybC//nmpC//citC//ppiA//polA//hyaA//relB//ybdN//yjhC//fpr//
NanR	tdcD//ssuC//zraR//hycC//narH//tnaC//soxR//aceB//phnI//nuoG//sufC//
NarL	slyB//appY//sufB//nuoI//paaX//fepA//kbaY//yhiD//gpmA//cecR//cynX//nanA//hyfI//ybaS//yfdV//purA//bglJ//torC//ccmB//dgcC//acrR//mdtF//hycE//gdhA//wzyE//mhpC//rcsA//cyoA//malY//argF//rpmA//mntS//atoE//dicC//entH//uvrC//fumC//rpsU//malS//fepA//hycF//nanM//fecE//fliA//degP//nrfE//bhsA//lpxC//dmsB//sroA//uvrB//obgE//carA//betA//allD//yeaG//isrC//fadI//ung//phnL//fruK//tpiA//hybC//yqjH//appB//fliG//argD//hcaF//mhpF//mqsA//fliH//asnA//ompT//flgK//recC//yhjC//argD//gpmM//qseB//phnN//manX//putA//ccmA//sucC//iclR//glxK//fepA//chbR//pspC//higB//sodA//rob//infC//phnL//rutR//lsrA//fixC//higB//citE//trpB//norV//ilvY//ftnB//thiP//mgtA//gspM//carB//nfsB//oppF//yaiW//uidA//mhpC//fepE//yjbH//mgrB//arsB//feaB//tauB//cysK//alkB//mpaA//ftnA//sucB//
NarP	mtr//alaC//phoH//kdpA//frdB//mntH//nanT//iscA//csgD//add//gatY//feoB//rplT//argE//aceF//yoaC//ydhU//copA//ariR//mtr//alsB//dkgA//torA//rpsO//argG//pheM//luxS//entD//frdA//dapD//lpd//uvrY//uidC//pheS//ecnB//arsC//gltD//glmU//fecE//iraM//oxc//gpmA//mntH//araE//ftnB//phr//ulaA//narK//polB//caiA//
NemR	acrB//xylB//waaY//
NhaR	tadA//manY//ilvY//pgaA//nrfB//ubiX//mqsR//
NikR	tdcA//hcr//ybaS//hypC//sgbE//iscA//
NimR	hemL//ptsG//
NorR	ldtB//hyfJ//arsC//
NrdR	ybbY//lsrK//dgcC//ssuE//fliZ//tisB//phoH//ppiD//aroG//
NsrR	ydeN//allC//hcaF//fadA//cas1//ariR//nuoN//glgP//xapB//entH//metL//casA//tpiA//trpC//glpQ//katG//ftnA//yhcH//yfiR//appB//ppdB//zraP//ycdZ//asnA//gatZ//motB//pstA//frdD//ykiA//ccmE//moaA//dsdA//fucO//yibQ//glpD//cysD//ampC//tonB//pheS//cysN//entA//ftsA//artM//ugpQ//lacZ//hycH//udp//lsrC//rffT//uvrY//gspL//norV//galK//higB//fepB//tsx//cdaR//yciG//glk//ecpR//acrA//chbA//ebgC//rnlA//gltB//mpaA//nimT//tdcC//hemH//yegH//flhA//dinD//cpxP//rpsU//oppA//fucO//citG//phnP//ruvA//rpmI//argO//rhaR//metC//
NtrC	sufC//fabA//rbsA//hcaB//umuD//rhaD//mqsA//lsrR//gltD//yafP//slyB//idnT//ybbW//ubiC//yhiM//yiiS//acrA//ompC//yhdW//polA//pheS//guaA//astD//dsdX//bdm//phnH//tbpA//hipA//nanT//rsmH//ibaG//paaY//glnA//xylB//nadB//phnN//gadB//asr//napG//wza//fadM//dcuS//nuoA//nirB//kbp//fliG//ynbB//napG//pqiB//
OmpR	malG//atoA//recN//gutQ//puuE//yqjI//yeaR//caiF//sdhA//lldR//yhjA//flgC//zntA//yeaD//lldP//gabP//metJ//fabH//dinB//mraZ//tdcF//
OxyR	dgkA//yccT//ccmC//nhaA//fliD//ydfX//hokE//astC//guaB//nikD//ugpE//iclR//rtcB//uvrY//ugpQ//wcaB//uidC//ybaS//dctA//leuL//casC//bioD//epd//nuoI//thiP//osmB//yoaC//gnd//gntT//bioC//ygiZ//galT//narJ//ruvB//
PaaX	napB//ydeP//uspD//metA//sdhB//crp//ybhR//hyfE//pykF//artM//mlc//waaH//treC//rffC//
PdeL	hyfI//
PdhR	dsbA//degP//cynX//ynbC//metA//sgbE//yoeB//murI//caiA//dhaM//argP//ldtD//sdhC//ybjC//caiD//thiP//alsA//artJ//yaiW//dcuD//alsB//alsE//fhuB//ldtC//napB//mtr//entF//fabB//ybhG//katE//csgB//dinI//narH//recX//ynbC//betB//frdB//glnQ//adiC//gatC//metK//
PepA	nuoF//envC//garR//
PgrR	grxD//cysG//pgaD//ptsH//adiC//mdtD//mhpC//wcaB//
PhoB	argD//glpT//ugpC//fixX//bioD//ompT//wcaB//hyaF//nagC//hyaD//sra//fabB//sodB//cysP//lldD//fliP//gspL//caiE//aceK//gntP//rtcB//cadA//tehB//bhsA//infB//pyrD//ybdZ//flgC//sucD//ogt//rpoH//cadA//glpB//ycjF//argF//ybaT//baeS//puuB//pagP//glnB//rplU//cas2//cdd//mtlR//csiD//ygbA//gutQ//pspA//manZ//oppA//moaD//puuA//prs//araD//ebgA//manZ//tauD//ydhT//pdhR//mlc//
PhoP	udp//cyoA//dsbA//nrdE//kdpB//cueO//crp//nrfB//hycA//araA//artQ//araD//tdcA//glnH//rcsA//hypC//hybG//putA//argO//ihfA//glcA//cheW//gudX//caiD//ttdT//tonB//gabP//lpxC//lsrB//trpC//gspI//iraM//slyB//flgA//yjhC//paaE//rhaB//cysJ//add//moaC//cusF//dinI//hcaR//aroH//cpxR//ydcT//cynT//cas2//ttdR//csgC//fecE//gspG//nikA//rbsR//rutC//mdtE//
PrpR	yciE//ftsQ//ybfN//purN//fadJ//
PspF	oppB//emrA//deoC//gatY//dhaM//rplU//nanM//
PurR	dinG//ydfD//ddpD//patD//wecC//paaY//hyaD//ttdR//bioC//yiaO//tauB//nuoI//pepA//recA//evgA//glpD//nanM//baeR//rseC//gcvB//hycH//yhbS//lrp//casE//sodA//phnH//hyfE//fabA//rhaT//sodA//mgrB//
PutA	sbmA//cysE//
PuuR	paaE//fliS//arsC//lrp//nrdA//hmp//astE//
QseB	yebG//fliH//ccmH//gpmA//
RbsR	araA//tdcA//pnuC//hyfB//dctA//nrdG//argC//rhaD//cusR//
RcdA	rpiB//htpG//cspE//yeaH//galK//wzxE//flgH//tpiA//citC//
RclR	yjiY//artJ//ppdA//
RcnR	rhaD//relA//betA//
RcsAB	gpmM//nagC//hycA//norR//aldA//uspE//fhuF//gatY//bioC//mglB//gntT//cusS//malY//yhdX//nuoC//nanK//
RcsB	sdhB//hmp//lsrK//pck//dmsB//yebE//yhdX//tauB//purE//srlE//oxc//tnaB//entS//ahpF//ftsA//csgC//exuT//qseB//gatB//argB//ftsK//cysB//alkB//glmY//add//
RcsB-BglJ	fucU//hyfJ//serA//soxR//trpC//srlE//deoC//dcuA//bdcA//araC//mdh//gadC//nupG//mhpF//fbaA//flgG//
RelB	codB//mntS//phnE_2//
RelB-RelE	uxuB//uidA//inaA//
RhaR	nanS//dacC//
RhaS	fimB//marA//cyoC//lolA//amtB//leuA//
Rob	ykgM//cysD//ebgC//cho//cysM//dsdX//uof//rhaD//citX//uxuB//mzrA//cusB//glnD//icd//phoP//hemL//potH//chbG//aroP//fbaB//trpD//csgG//argD//murG//efeU_2//sra//
RstA	intQ//dinD//mipA//yfdX//metL//ccmE//ulaB//citE//phnM//codA//
RtcR	mngB//yqjA//
RutR	codA//hcr//ubiC//nikB//lexA//nikR//ybbW//yjhC//purH//hydN//treB//ydeM//paaX//umpH//cysN//malY//gadA//
SdiA	fadA//nfsB//ygbA//hns//napH//
SgrR	tdcG//accB//argA//tisB//crp//rbsB//flgL//agaB//ydfN//
SlyA	marB//
SoxR	lsrR//asr//gadA//
SoxS	lysC//focA//mntS//lexA//hybB//cbl//nemR//puuR//caiF//recX//ygbA//fabH//pstS//astC//fucI//ariR//yccJ//dhaR//ddpC//cysI//hcr//dhaL//murD//ihfA//iscU//potG//ldtC//csgE//hemL//purA//lldD//cyoA//frdC//psiE//sroD//hemH//betB//aroF//ssrS//nuoK//
StpA	treC//aroP//rffG//sbmA//metA//sdhA//lpxC//
SutR	yafQ//fixX//fimB//srlE//ddpA//
TdcA	glgB//phnI//casE//appC//tcyP//lhgO//ygiC//
TdcR	malM//hdeA//casC//ccmG//tisB//yfiR//puuR//
TorR	yjiY//rpoE//dpiB//glnG//glcE//dinQ//bglG//yjbG//sdhD//argB//yjhC//ibaG//
TreR	emrB//hns//
TrpR	lamB//alsA//ynfG//hemL//trpD//tauC//leuL//lysO//allA//recB//hcaE//phnM//
TyrR	mdtE//flhB//puuE//glgC//leuB//metC//ynbC//gnd//norW//csgF//marB//glnA//
UhpA	yeaH//
UidR	dgcC//gspL//nrfF//gspE//
UlaR	hycF//grcA//puuD//agaS//bhsA//fabB//prs//
UvrY	pspD//kbaZ//glgB//mdtA//nfo//
UxuR	ahpC//cadB//entE//hyfB//treR//galM//soxS//ydfW//phnM//
XapR	bglB//adiC//
XylR	sufC//hybO//nuoM//dmsC//argT//cdaR//aroP//
YdeO	araH//alsE//cysN//agaW//dgcZ//narJ//nadB//casC//thrS//bioC//yoaG//kdpA//mnmG//alkB//ykgM//phnH//tdcE//ugpE//aslB//rutA//astD//
YedW	dapD//fepD//narL//nadB//fes//ddpF//cynX//fucR//galS//moaD//nuoJ//crl//
YefM	casC//cspE//
YefM-YoeB	ydcS//entD//
YehT	fliP//
YeiL	ydhT//
YiaJ	cysP//mhpB//psiF//fadJ//trxC//yhjX//ptsI//fau//ftsI//hcaB//
YjjQ	acrR//entF//ccmB//hyfG//rbsK//rybB//srlE//tnaA//dinJ//cvpA//
YpdB	hybF//
YqhC	agaR//phoR//
YqjI	fliP//ynbA//
ZntR	hcaR//
ZraR	fdnH//oxc//ynbD//
Zur	wzb//serA//ddpF//yjhB//grcA//yhbT//
