#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	hdeA//agaW//
CpxR	asr//dapD//csiD//rutC//galK//rtcB//alsE//lolA//hybC//gspC//dinG//htpG//phnF//gudP//mtr//nanT//ycgR//galM//ymiA//acrZ//hipB//phr//cspI//pstA//cusC//nimR//araJ//ftsI//hycB//fliD//acrB//malS//fimE//ybfE//kbaY//ppiD//tdcD//gnd//cyoC//caiD//ihfA//atoD//yjjZ//carA//wcaA//pstB//asnC//lsrG//entD//ydeO//glpQ//yjjZ//focB//asr//fliR//glpC//torD//fau//fadB//flgC//qseB//nikR//malE//fepA//yhdZ//tktB//fruB//yeaD//cysD//dmsC//
Cra	phnI//gdhA//ybbY//phnD//hycI//citD//rprA//ymjD//aceK//motA//waaH//cirA//ychF//rcnA//ccmG//cysA//nikB//feoA//csgB//fliJ//asr//dacC//adiA//dgcZ//deoC//nuoM//nuoJ//nrdE//flgH//rutF//ppdA//murG//efeU_2//speB//gcvA//flgJ//phnG//dhaM//fliZ//frdB//ttdR//trpL//phnD//glpQ//iclR//alaS//ycdZ//hypA//gspJ//araB//cdd//hybD//lsrD//uxuA//hisJ//leuC//frdA//frdC//tauB//truB//flu//adiA//mhpD//tdcE//cecR//lsrR//metF//fliM//fucR//purK//dicC//entA//bioC//nfsA//nfsA//dgcN//flhC//rpsO//fadM//
CreB	napC//ftnB//fhuD//wcaA//lon//
CsgD	nuoA//hcp//trpB//allE//lolA//nadB//ddpX//cspE//uxaB//ppiD//gspI//gabP//fliC//astE//phoE//mdtC//pgm//hcaB//fepG//rbsA//alsA//nrfB//ynbC//gfcA//astB//pdeR//hybB//rybA//
CsiR	gspO//ccmA//lamB//fdnH//nrfB//
CspA	hslJ//gatZ//
CueR	gadA//xylG//ymjD//fepA//nanM//trxC//grxA//
CusR	rsmH//ycgZ//oxc//fliJ//fadI//yhdX//pdeH//ompT//ydcU//yjeV//puuB//ynfH//
CynR	waaZ//galP//yhbS//pspC//
CysB	ruvA//malM//paaY//ilvY//codA//ydeP//betB//nhaA//fadL//leuA//pdhR//yciW//soxS//iscA//pspA//fadB//dkgB//ykiA//ycjY//rbsD//fliR//osmC//uxaA//bacA//ogt//yhbS//narX//yebE//fldA//yidQ//ddpX//tehA//
CytR	ihfA//gntT//pgaD//dacC//chiP//mhpA//mqsA//malE//kdpB//malG//torR//bioB//ydhV//
Dan	gspC//rutA//fecB//nanK//
DcuR	ubiX//tauD//argI//rseA//yhhY//ampC//tsgA//gabT//lysO//
DeoR	torR//aroL//ada//narG//tehB//hemH//
DhaR	cyoA//iscU//fdnH//fixC//
DicA	recA//hydN//cyoB//crp//lldR//gatC//dsbC//napC//
DinJ-YafQ	caiE//uvrA//glcC//
DnaA	pyrD//pagP//cynT//recN//agaB//add//hybE//napD//fucK//ompW//yafP//flgH//
DpiA	polB//molR_1//ynbC//fabI//purD//grxA//ugpC//mzrA//pspA//aspC//phnG//
DsdC	bioD//chiP//cysA//
EbgR	caiF//gatY//
EnvR	rpiB//oppC//
EnvY	glnQ//argR//
EvgA	fepE//allS//nanS//hyfF//lhgO//slp//cheW//arsR//metC//pdeH//rbsC//gntX//ampC//yhdW//fucI//rplU//zinT//erpA//oppD//
ExuR	ugpB//hybA//tomB//insD//araA//glpB//glcA//rimP//dkgA//
FabR	ychF//gltB//
FadR	fliP//sufA//fucR//csiD//baeR//cyoE//borD//arsR//rpoH//ahpC//dsbA//fucK//hycE//hcaD//nrdH//recC//dinB//aroH//oppC//yfbR//focA//melB//ompF//
FeaR	cyoC//ccmC//
FhlA	purD//uspD//alsB//cdd//gatY//fes//tauA//ygbK//argB//rhaD//lsrA//phoH//nrfC//glmS//ynfF//asnA//gudP//zinT//rseA//fabH//yfaE//hcr//nuoL//ompT//agaW//bglB//ebgC//fldA//napA//gntU//
FlhDC	pstA//pdeR//yrbL//nfuA//manZ//yidL//nanA//mgtA//recC//rhaA//potI//gutQ//osmY//aroL//aroH//lsrD//ycjX//dcuB//araD//napG//tyrA//pspF//dapB//rffM//sufA//dgcZ//ykiA//rbsA//glmS//wzb//potF//xapB//murF//narX//glnB//sucB//yhiD//soxR//rhaB//ygeA//yjhC//aspC//nrdB//aldA//crr//dmsA//soxR//pstA//nmpC//alsB//tdcG//erpA//pyrC//yciE//mhpA//astA//wcaA//hflD//gadB//gnd//xylG//allA//fdnG//dcuR//ydfD//garL//fumC//yciF//baeR//torC//ydhW//metY//gatA//hypE//ydfW//tehA//metR//rseA//pgaA//agaR//tolC//lsrA//
FliZ	nfo//kbp//rutF//cysD//mglC//torC//acrA//dapB//ugpE//uvrA//nuoM//yciW//iscR//phoH//kbaZ//pgaA//yjeV//argO//cysM//phoA//tsgA//
FucR	safA//yiaK//artJ//psiE//ugpQ//csrB//thiP//
Fur	hisP//cecR//torC//polA//fhuA//mzrA//baeS//hycE//oppA//fucO//napB//rutR//ttdR//metL//dcuB//iscS//grxD//borD//moaA//norV//ycgZ//gpmM//atoD//yhjX//moaB//fruK//prpE//rpiB//phnD//copA//ydeI//napC//exbD//cydA//cueO//ybfE//pgaD//ldtD//xapB//gadW//cadC//nuoF//rutE//metH//iclR//caiA//fadE//ulaE//appC//flhC//fhuD//ynfH//yciF//lacY//gspG//potH//crr//flgM//ldtD//gltL//garL//yccT//yefM//hybE//gatD//ydfE//caiB//phnH//sutR//nuoA//nanK//umuD//metC//bioA//mtr//cpxQ//torD//appC//insD//mhpB//cusC//ahpC//puuD//astE//kbaY//yfbR//aceK//hyfD//mqsA//mdtB//modC//fiu//zraR//nagC//yhjC//cspD//emrY//deoA//phoR//uidA//rimP//obgE//hyfC//gltL//galR//rbsK//mhpD//tpiA//obgE//rpiR//xylB//hybG//rpiB//ynjI//nhaR//cho//tdcE//pgpC//caiF//gdhA//glgC//waaH//gspF//lsrD//feoA//agaR//flgM//yhdY//yiiS//araH//
GadE	hcr//glpX//napH//ttdA//astD//add//moaB//atoB//ttdR//tisB//entE//ykgM//trpD//mdtC//glpA//ttdB//adiA//phnP//kdpA//dsrA//casE//chbB//sodA//lysR//focA//entC//infB//argR//rbsA//
GadE-RcsB	fucK//sdhC//argT//paaB//alaC//paaA//nirD//fdnG//hcaR//
GadW	sdhB//chiP//accB//gspE//trpB//ybfN//murF//napC//tauB//recC//cpxA//ynfE//oppC//dhaL//chbB//
GadX	grxD//aroG//frdA//galM//rybA//ybhS//ygiC//pitB//yiaO//cyaR//katE//oxc//napA//hokD//pnp//tam//ydeP//glcB//gspH//allB//feaR//nuoN//tynA//yagK//iscU//lysA//napH//ssuC//citD//
GalR	grxD//rseB//pstS//tktB//asnB//nrfG//idnD//modB//rhaR//zraR//
GalS	mtlD//ibaG//aceK//nanM//ttdR//fabG//cueO//fliR//pfkA//nagA//
GatR	ulaG//nrdH//murE//nrfB//deoA//hisM//
GcvA	yoaG//nagB//yoaC//csiD//betI//
GlcC	glgA//fdnH//nlpA//gabP//fliR//flgF//cydB//
GlpR	btuB//rhaT//purR//hemH//rpoD//ttdT//purN//purA//yagK//
GlrR	glpB//recD//hcaE//nuoC//purM//
GntR	yqaE//wzyE//hns//aroL//ecpR//sufE//aldA//gspK//xylG//rcnR//mlrA//alaS//
GutM	paaY//tolC//ydhY//cheW//entC//pheT//setA//
GutR	purB//cpxQ//rpsO//pflB//phnF//chbF//bioA//
HU	fepC//yjhB//mioC//cirA//qseB//yciE//tdcE//phr//yjjQ//
HcaR	rffH//dicC//dsdC//lamB//rpsO//uvrD//
HdfR	ccmG//cynX//phoE//agaV//lysO//
HigA	yjhB//ybhR//
HigB-HigA	ftsA//ttdB//
HipAB	artJ//fliZ//casD//ldtB//allA//
HipB	cysM//ykgO//amtB//gspO//fepC//rimP//
HyfR	gadY//kbaY//sucD//metK//ugpC//yhbE//betI//rutF//tyrA//ycdZ//ubiA//intQ//
HypT	kdpA//ymiA//cadB//cysC//uxaB//cysK//cysE//yhbE//rbfA//xapA//osmC//malE//ybhG//
IclR	lysC//yiiS//rhaA//oppF//
IdnR	melA//dcuA//fliQ//nuoH//hydN//wecB//setA//
IlvY	asnA//cas2//
IscR	fepC//fliN//ulaD//uvrY//chbF//copA//mhpA//yhiD//lon//malM//uxuA//insK//dgcZ//lysR//ydfX//sucC//gspL//ygiZ//ymgC//gadW//nanE//yhdX//yhjX//oxyS//glnL//fucU//tolC//fliI//efeU_2//dsdA//garR//caiC//
KdgR	pgaB//dinJ//
KdpE	relE//sufA//argI//hycE//
LacI	hycB//ada//gudX//
LeuO	glk//envC//setA//nupG//paaI//ymiA//ssb//cheA//feoB//adhE//fliT//tktB//add//ycjX//higB//argO//borD//cra//frdA//lsrG//
LexA	prpR//fecD//nanS//cho//waaH//rtcA//iscA//mngB//dcuR//gfcA//galR//ebgC//ndh//cysA//cadA//galR//asnA//rpoS//dkgA//metQ//caiA//astC//gabT//glmS//nikE//hlyE//ybfE//mraZ//wcaA//ttdB//nfsA//fliJ//ybfE//asr//astB//eno//lsrG//cpxR//glcC//yhbT//tauC//phnO//sutR//pyrC//casC//fabB//pykF//sfsB//gspI//hyaD//paaX//fliL//trpC//exuR//entD//prpB//tisB//yedX//cyoE//
LldR	creB//fixX//accC//
LrhA	ssrS//fepA//xylF//setA//
LsrR	csrC//ddpA//feoC//ydeO//metI//nadB//btuB//gpmA//hycF//
LysR	ybaT//hybC//
MalI	paaG//mhpA//alaS//
MalT	hybG//hipB//tnaB//ybbW//yidL//caiD//agaD//narJ//dps//rstA//
MarA	gspK//ybiT//nrdG//ybjC//oppA//yoaG//cysP//dsbG//gnd//xylG//gyrA//glgP//cysG//trpC//galK//yncE//dps//glpF//araG//guaA//fadR//yncE//uxaC//dhaM//bglG//polB//ydeP//fliN//rffT//fucA//mglC//qseB//gadF//caiA//ampC//ribA//wecE//cyoB//
MarR	hybO//casA//zntA//
MatA	dhaR//dnaN//fliT//mlrA//hyi//tfaQ//prpR//bioC//
MazE	hns//mipA//casA//
MazE-MazF	fliQ//rhaS//waaY//
McbR	pgi//galS//osmY//mglA//
MelR	skp//codA//ybfN//
MetJ	yhdX//yfdX//lldD//soxR//osmY//fliA//fadR//hypF//narK//yciF//agaI//ulaC//yqhD//purN//pspC//
MetR	yiaN//ccmB//sdhA//glpT//glnQ//
MhpR	ybfE//gntU//lsrB//ppdB//araA//nlpA//
Mlc	yafN//ynfF//arsR//citF//nuoF//idnT//uxaA//sbcD//pepA//soxR//
MlrA	ybhR//nrdA//ftsA//hycE//hycH//puuC//napA//cusF//mhpC//pgaB//
MngR	napH//recX//garR//
MntR	ddpX//phnE_1//tyrP//lsrC//ydfD//
ModE	yciG//ydfN//phnC//fecI//lrp//yecR//glnK//rpoH//nrfF//hybA//hcaD//yeiL//sbmC//melA//nanT//ulaA//melR//mltF//fucA//nadB//gspJ//ompN//yhbS//fepD//gltB//fiu//polB//gatY//hybA//tauA//ftsQ//phoU//srlE//tdcB//srlA//yqjH//flgD//fruK//mazF//argT//yqhG//prpR//srlA//ybbW//gntX//wzyE//
MprA	hypE//tdcC//tdcA//hisM//nrfG//ahpF//
MqsA	hypA//casA//mioC//hyfJ//recN//rutD//dhaL//rhaT//
MraZ	nikB//hcaF//csgD//trpL//phnM//gadY//hemH//gpmA//gcvH//alsA//rarA//fadH//hyfH//malG//lpxD//yiaL//glpQ//
MtlR	hycH//cusB//ihfA//
MurR	dsbC//malY//obgE//
Nac	ulaB//sutR//metN//tnaC//gltL//pqiA//sgrR//efeU_1//fadR//phoE//appC//cysK//gltD//ydfH//moaB//yoaC//srlA//ynbD//mtr//ptrA//yjhC//
NadR	hha//nirC//nrfE//ygaC//
NagC	pgaD//fliN//entD//nemR//ebgC//artI//fecR//ppdC//sgbH//nrfB//puuR//fadI//flgC//gcvH//yeiB//crp//sucB//gspD//metB//tisB//glnA//ynbB//nuoM//obgE//mngB//bolA//phnL//norV//decR//amtB//rpsO//guaB//srlD//oppC//cadB//hyfD//argD//
NanR	lldR//pnp//nuoG//tehA//srlA//recA//nupC//hslJ//dpiB//fhuB//phnO//
NarL	gspG//gadC//slp//nrfA//rbsR//rclA//aceK//phnH//yeaD//yhdY//skp//hslJ//srlB//pdeL//gatB//yncE//pepA//citE//insD//prs//tdcB//lysO//fecB//aslB//flgE//wzyE//yneM//pheM//ycjG//yhiD//mcbA//wzzE//ndh//yeaH//gadY//ycjG//alsC//malY//aspC//yiaK//dcuB//cusB//ygeH//iscR//deoB//glnD//nfsB//yeaH//narG//yedX//prs//fucR//pgm//yiaL//fau//yiaL//moeA//flhC//yhbT//lsrG//glpF//cheA//lpxC//tdcF//tauD//csgG//pgm//tdcC//aspC//cyoA//nfuA//rutR//csgF//dmsC//iscR//yefM//tdcB//ruvA//nrdD//yhjX//garP//grxD//truB//glpX//allE//murR//gnd//mdtA//glcB//ttdA//dinI//moaE//crp//araG//murQ//dgkA//alaC//sroA//cecR//argE//pnp//prpC//entH//gcvT//pgpC//higB//rybB//nuoM//rbsA//nrfA//wcaA//hemL//citX//hybB//soxR//fur//torA//yafO//rutA//hyaF//nhaR//hyfB//dgkA//
NarP	znuC//asr//malS//gfcA//oxyS//norV//aroM//nikA//fliC//mglC//zraR//dps//hcaB//tdcA//hyfA//nrfF//ygaC//yeaR//lolA//nikB//sroA//fadD//purM//araD//fhuE//nrdF//rimP//purB//entE//narX//pstA//alaC//glnH//mtr//pnp//glk//nuoJ//caiF//hydN//cyoA//pspA//zraS//marB//purL//yecR//paaZ//hcaC//napC//yqjI//molR_1//
NemR	dkgA//trpL//arsR//
NhaR	fdnG//ydfX//hycB//ssuC//tsx//hcaD//gspC//
NikR	nuoB//glpC//galM//hns//mgrB//dhaM//
NimR	entS//sodB//
NorR	lysC//pdeH//pyrD//
NrdR	galR//motA//ybdN//hyfA//gatC//napA//ydcU//ndh//dsbG//
NsrR	fliC//amn//yebG//deoB//yebE//narK//tdcE//tam//yhhY//glnL//hipB//hyfR//galR//ygeH//hcaC//yfaE//nagC//frc//argO//pspF//rpoD//ygiB//xapA//mhpA//gspI//feoB//phoR//gntP//dcuS//prpC//cheW//arsC//napF//gcl//bglB//gnd//mpl//psiF//omrA//tyrP//gltL//purK//relE//rbsD//fepG//gspL//ycgR//insD//ygiZ//narJ//argR//eda//nuoN//focB//yciE//pyrD//ebgC//lolA//allD//dpiA//paaZ//narX//narL//gcl//ddpC//recC//glcF//rob//lacY//yaiA//lacZ//nirB//ldtD//nupG//fabD//dtpA//yiaK//gadY//nfsB//nanS//tsgA//relA//pgaA//
NtrC	yjhB//ytfE//adiA//murE//eno//pgi//fiu//purH//nanE//dcuD//alsB//ssuB//dnaN//flgN//sufC//xapA//artQ//sutR//mngA//yccT//puuR//ygbA//malF//hipB//yeaR//creA//fabH//codB//feaB//relA//cysU//prpE//polA//nuoM//yiaO//sbcD//alaC//fhuA//alkB//ilvC//rpiR//ugpC//mdtF//gcvB//paaX//dmsC//purC//malY//mhpE//
OmpR	argG//hisJ//ompF//metH//hybO//micF//ydcU//araG//leuD//ppiA//rsmH//nemR//prpC//phnG//pgk//phoU//nadB//astE//hyfC//mhpC//epd//
OxyR	cirA//ynbC//ycjY//yegR//pepA//ada//ulaC//malF//appY//ldtB//fadA//treR//cysH//metH//relA//pheT//trpR//ynjI//leuB//rhaT//metN//ygeA//metN//alaS//pdhR//tam//phnD//hybC//uidC//hyaF//omrB//pepD//fliG//rnlB//
PaaX	kbp//htpG//prpB//casA//melB//yfiB//paaE//ugpE//exuT//nagE//molR_1//nupG//phoQ//prpB//
PdeL	dhaM//
PdhR	arsR//hisQ//norW//cyoA//malE//uxuR//yefM//recA//gudP//emrK//astA//murP//rybB//caiA//alsB//hha//modB//dhaR//lsrC//gutQ//exbB//fabZ//yqjH//yeaE//sgrS//yegZ//pgm//yegZ//norW//talA//ynfE//rhaS//fucR//ycjX//sodB//araF//eda//hyfC//dmsD//cysN//caiA//
PepA	lgoR//purN//ydeN//
PgrR	dtpA//ryhB//uxaC//yiaJ//napF//argP//ompN//gyrA//
PhoB	mdtD//fliA//agaS//crp//glcE//metL//uxaB//hyfA//glnQ//cspI//nrdI//ydiV//gatC//dsbC//insK//phnD//ompC//moeB//nanM//nuoE//srlA//aceK//rhaT//crp//fucI//mlc//dkgA//fucA//ulaG//purN//tynA//fumB//metC//argP//sbmA//sucB//katE//caiC//yhjA//nlpA//csrB//hisP//metJ//rimP//araB//dgcZ//fliQ//fliG//hokD//edd//fabB//hcp//tdcG//lolA//fliS//phnL//malM//ycgR//paaI//copA//
PhoP	murQ//murQ//bioC//casE//zntA//puuB//cydA//appY//gdhA//ilvY//rhaS//flgN//dhaK//glxR//yqhD//ydjM//bacA//dpiA//cyoC//hcaB//gspI//sodA//glpK//rutF//ybhG//lpd//acrD//mntS//ygeA//epd//chbB//aldA//higB//rstA//gadF//kdpB//gltL//potG//iscA//cysU//gspC//rimK//uxaA//garD//lyxK//flhB//caiE//ymjC//fucA//mdtE//ptsH//appX//glpQ//glpF//cysJ//mscM//
PrpR	caiT//cspI//mqsR//pdeR//cysB//
PspF	grxD//cspI//cynT//cadC//argF//nadA//nikA//
PurR	nrfD//fliO//yeaH//purF//glcD//bacA//nuoK//argO//fdhF//pspC//tnaB//aroL//yaiW//nrdA//yegH//ybdN//atoB//galT//glxK//cysP//nfsB//sdhD//rffT//allA//phoH//rffM//puuB//glpQ//ung//pspE//gspF//
PutA	ynfH//rutG//
PuuR	ptsI//infB//nohA//yhdY//ydhY//yrbL//nrfF//
QseB	pqiB//sbcC//flgM//gadC//
RbsR	rbsD//gspM//nrdG//rbsA//nac//mscM//cbl//torD//nrfC//
RcdA	gutM//cpxP//argR//glgA//flgC//ulaD//hcaE//borD//phoE//
RclR	xylB//hybB//ecpR//
RcnR	pheT//glcE//ydiU//
RcsAB	leuO//yhbS//ybaS//hycB//fabI//ada//paaC//fepD//agaA//wrbA//caiE//ldtC//purK//sdhC//appC//murI//
RcsB	glpA//rhaD//treR//rutA//dinD//nanT//caiT//nemA//ccmG//ubiA//insK//garR//fecC//rclB//fdhF//ynfG//guaA//ygeH//glpQ//yhdZ//tdcD//umuD//cysM//glgX//kdpA//
RcsB-BglJ	yjeV//sdhD//symE//mlc//accB//yibQ//fhuE//leuO//symE//cysG//malP//uxuR//gadC//nuoE//mnmG//lsrD//
RelB	accD//argO//purH//
RelB-RelE	glcA//add//tyrP//
RhaR	oppC//potF//
RhaS	mdtB//nac//araH//ssuA//safA//cynR//
Rob	dicB//ydbK//phoR//yciE//nrdE//yoeB//lon//xapA//ccmA//hisP//galP//fliP//hyaD//oxyS//nmpC//gltL//xapB//phnJ//pdhR//hipB//lolA//pstB//creC//prpR//argA//cytR//
RstA	qseB//yiaK//prpE//yneM//melR//yeiB//malS//gltF//icd//asnA//
RtcR	metR//nemR//
RutR	rpmI//lpd//gadF//ybhR//yncE//mioC//iraP//cecR//marR//appC//bluF//fadE//yciG//cytR//argT//tauA//metJ//
SdiA	rybB//manY//ribA//ybbY//bluF//
SgrR	csiD//crp//yfiB//ddpB//uvrB//lacA//cspE//mtlR//ppdC//
SlyA	ppsA//
SoxR	iraP//prpC//narG//
SoxS	flgA//aroF//sufS//aroF//rclB//mdtE//gspM//csgA//frdB//glpT//purM//bioD//caiT//gabP//wzyE//kdpF//mglC//yqhG//pgm//hcaD//frdC//mipA//ftsW//arsR//marB//hcaE//rdoA//lysR//ulaC//purD//pyrC//pstB//exbD//cpxQ//recB//emrK//trpD//phoQ//moaD//citE//
StpA	tauC//sutR//emrB//gadA//yibQ//agaI//umuD//
SutR	trpA//cueO//fucO//rarA//alaS//
TdcA	ddpD//phoR//gudX//yfdX//cysD//galP//metC//
TdcR	hybF//srlA//uspD//csgA//rnpB//lrp//agaI//
TorR	gatC//flgN//sdhB//creA//yhiM//rutC//frc//ybbW//motB//fdnI//pstA//cadA//
TreR	fepG//spy//
TrpR	rutC//hisJ//efeU_1//pdeL//yiaJ//nikR//ybfE//oppA//yaiW//accB//gcvB//yeiB//
TyrR	fabG//napH//accA//acnB//yhjX//zwf//erpA//fruK//appB//leuL//lyxK//yaiW//
UhpA	motA//
UidR	ftsQ//rfe//hisM//yfdV//
UlaR	uspD//folA//ydhV//allC//polA//tdcB//potH//
UvrY	deoD//gadW//phnP//prs//gabT//
UxuR	thiQ//gutM//cysA//gspM//dsbG//nrfF//rclB//rimP//gnd//
XapR	glpX//sucC//
XylR	yjhB//rutC//ahpC//cysP//casE//speA//yccT//
YdeO	alsA//torA//narG//yagK//rstA//gntX//citE//nuoK//leuD//uidR//paaE//rarA//dcuD//zntA//idnD//dps//ydcT//chbA//rpoH//ygaC//yqhD//
YedW	rcnB//glgC//alsB//dsbA//patA//hisM//serA//bioC//envC//tauB//ihfA//hycC//
YefM	mscM//pgm//
YefM-YoeB	poxB//mcbA//
YehT	ymjD//
YeiL	gutQ//
YiaJ	alsA//hybE//feoC//ybjG//tnaA//recB//potH//yjjQ//cdaR//phoQ//
YjjQ	mntH//nfsA//yeaH//hisP//hypD//gudP//oppD//znuA//flhC//fecB//
YpdB	pspE//
YqhC	sucC//polA//
YqjI	ydeO//wzc//
ZntR	tauA//
ZraR	aroG//dsbG//mpaA//
Zur	araH//nikB//rutR//araH//ldtB//dpiB//
