#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	csrC//rpiB//
CysB	murI//allS//lrhA//pgi//safA//inaA//ybbW//znuC//puuP//gspL//sdhA//sufS//lacY//bolA//sgbE//idnT//yqhD//frdA//hybO//glcG//fecB//ftsZ//dsbC//nanC//borD//yhhY//rpoH//ychF//deoA//rffC//uxuA//argT//
CytR	tcyJ//alsA//narX//wzxE//lrp//acnB//aroP//gntK//csgD//trpC//yqjI//chbB//fliI//
Dan	glpT//ddpF//ssuD//glpQ//
DcuR	betB//hcaB//carA//hycE//lsrF//yfiR//nanM//ppiA//casC//
DeoR	fdnI//acnA//citG//gspF//glxR//purN//
DhaR	creA//agaI//cysI//ftsA//
DicA	ttdB//napC//metL//sbcC//gabD//yeaG//fucP//mglC//
DinJ-YafQ	modA//hyaA//rdoA//
DnaA	phnG//dsdX//glgA//umuC//hcaD//mntS//insK//ycgZ//paaE//galE//srlA//yhhY//
DpiA	artQ//copA//moeA//phoE//fur//wecB//hemL//yhjC//rarA//mazE//uvrA//
DsdC	fdnG//ariR//rffT//
EbgR	fadI//lolA//
EnvR	flgI//adiC//
EnvY	feoA//deoA//
EvgA	aceB//cecR//gatZ//ymiA//ybiT//acrA//phnL//citD//mnmG//emrK//lrhA//hyaD//pheS//fabI//torA//metQ//lsrK//alaC//aspC//
ExuR	patA//dkgB//pflB//fecA//pstA//insK//fimE//dacC//mprA//
FabR	rutG//mglC//
FadR	yidL//mdtB//bioD//ssb//guaA//aspC//fecB//fabB//arsC//nagC//zraR//ompT//micF//mhpD//yhdW//murD//mtlA//puuE//tnaB//ccmA//gadX//lpd//ydhV//
FeaR	dnaN//cecR//
FhlA	ydiV//xylB//ppiA//paaC//ygbA//mhpF//argT//murE//potI//gcvB//fbaB//uxuR//gspE//ftsK//cysG//dicC//nusA//puuR//degP//fldA//mqsR//gor//tadA//oppC//rcsA//ftsI//phr//nupG//nuoE//phnH//
FlhDC	yhbT//ecnB//gspJ//bhsA//ydbD//ygiA//ttdB//aceB//glnD//ulaF//glpQ//umuD//pspC//ynfF//paaB//flgM//atoA//tisB//tnaB//fldA//moaA//srlE//dctR//exuR//fldB//hisQ//ppc//modB//fucU//ogt//marR//ybjG//purF//fadB//fdnH//symE//prpB//dmsC//mazF//nohA//yhcH//yegH//aroG//dhaL//mntP//tauB//wecC//cbl//hypA//deoC//ynjI//paaI//yhcH//dapB//nfo//gspH//iscS//gadW//guaA//leuC//allD//rclB//glnK//astE//leuO//dpiB//nrdB//ompT//motB//csgB//cpxP//nemR//gadX//fliD//purC//nrdG//betT//galK//inaA//mnmG//purA//sbmC//
FliZ	murD//htpG//malM//murQ//rhaD//yoaG//artP//artP//lsrK//dmsC//hyfD//speA//yiaJ//ppiA//ydiU//rffH//fadI//kbp//lacZ//glyA//ydfW//
FucR	nanS//hokE//norV//tnaB//cas2//ssb//aceB//
Fur	ugpB//pyrD//alsE//nuoN//garK//nrfG//moaA//mdtD//yfdE//tonB//fliS//nuoN//btuB//nrfC//caiC//fdnH//gatY//pqiB//cysC//modB//htpG//nuoI//betI//ldtB//ydeO//atoE//gadY//ydcT//ycjF//tdcA//bhsA//uvrY//tdcB//hcp//alsC//degP//psiE//metK//flgI//cspD//yjbG//tbpA//ynbD//lrp//rffM//gabT//slyB//mlrA//fixA//ttdB//agaV//ssb//dinQ//paaG//glcC//hdeB//yccA//aceB//gfcA//napC//gspE//bdcA//hyfC//zraR//hycB//hypE//dctR//dsdX//phnG//metY//ybaS//cusB//pheT//rybB//aslB//ulaA//narG//mdtE//acnB//gspI//yhdX//sufS//pheT//mdh//fhlA//aceE//napG//mtlD//yrbL//csrB//metR//ybhG//yegR//flgN//tdcF//paaY//xylF//glgP//rffH//uxuA//ccmA//mhpA//gor//ecpR//omrB//trxC//sdhD//ybdZ//ddpD//fliP//cydC//wza//ftsI//argH//aspC//nanC//nuoM//pyrD//ogt//cadC//tehB//cvpA//xylH//ymjC//tyrB//bglF//entS//manZ//fliA//csiD//
GadE	hybC//ydhV//ompW//torR//norR//asnB//lsrR//fabI//iraM//nuoC//ydjM//astD//puuC//rpoS//gspG//pgk//gudP//xapA//leuA//kbaZ//leuL//osmB//cyoC//ycjG//rutA//bglF//fucU//purC//fadL//
GadE-RcsB	tynA//flhE//puuC//pepD//glcB//rbfA//malE//oxyS//ugpA//
GadW	phoB//fliZ//ppiD//yoeB//yafQ//chbR//galR//artQ//bglG//trpA//lldP//yafO//gntX//ssuA//mhpD//
GadX	tam//rplT//umuD//lexA//araJ//baeR//slp//cadA//yjbH//dtpA//cspI//lacY//creA//dsrA//fruA//cyaR//argC//rffC//ppdA//mtr//dsbC//pspA//cspD//rhaD//ttdB//rbsK//betI//hycA//mntS//
GalR	lpxC//aroG//yhdW//ydiU//ccmH//narJ//chbG//ccmG//mdtD//rpiR//
GalS	cbl//glxK//fliH//gspM//ftsK//oxyR//lpxD//nagC//tfaQ//recC//
GatR	dicC//cysM//iscS//yegH//argT//mdtD//
GcvA	rseA//cysG//poxB//ygeH//fecC//
GlcC	gabT//ulaA//phnH//norV//arsC//hslJ//ttdR//
GlpR	skp//yfiB//galK//yegZ//nrfB//fadI//aroM//ugpB//tauA//
GlrR	lsrG//ppiD//citX//gntU//fecR//
GntR	alsC//fecI//narH//yjhC//rplU//feoA//setA//rcnR//ykgM//rbfA//fliA//potF//
GutM	leuD//mepH//yjjQ//manX//hyaF//hyfJ//fumC//
GutR	napD//mraZ//hypE//ddpC//hyfJ//rstA//dcuS//
HU	sgrS//higB//hybE//murE//glnG//narX//yeaE//cbl//fixX//
HcaR	yjbE//exuT//spy//decR//fadJ//mepH//
HdfR	ygbA//norV//rffH//fimE//setA//
HigA	nanE//gcvP//
HigB-HigA	envC//aslB//
HipAB	gatZ//trpR//aspC//ptrA//araF//
HipB	sufD//lpxD//phnO//alsC//wzzE//sufD//
HyfR	lysP//ulaC//creD//lrp//pdeH//tktB//murF//mgtL//rimP//nikB//ttdR//rtcB//
HypT	ompC//dnaN//tonB//uspE//glnD//wcaA//bioF//uof//fliS//glmU//dcuA//rffG//sufA//
IclR	yjjZ//mhpA//glxK//yjbG//
IdnR	glnK//xapB//glcF//luxS//yccT//phoA//prpD//
IlvY	hcaR//rclB//
IscR	adiC//ccmE//crl//moaE//cspI//thrS//mngA//appB//sucA//gpmM//fabI//tolC//cysC//glnH//uxaB//dinD//rarA//argF//ftnB//ulaG//metH//pspA//skp//sgrR//casB//rpoE//lysP//malY//cas1//fbaA//nuoM//gltF//
KdgR	prpC//yebE//
KdpE	ulaE//leuA//spy//cysI//
LacI	fabG//oppC//yfaE//
LeuO	yjjQ//pgi//rclB//phoP//ppiA//zraS//sufE//rpiB//tyrB//yfdV//hcaD//flgC//yciE//emrY//yiaM//mipA//fadL//napD//rhaT//ecpR//
LexA	paaF//rcnB//cusF//relE//yiaN//galR//yjbF//pstA//fabG//amtB//hybD//rimP//paaH//frdC//chbB//hokE//icd//hydN//ssuE//erpA//rstB//wecC//glnD//lpd//fadR//mglA//umuC//rseC//prpB//yfdV//hcr//ydcV//cynX//hybE//murI//gltI//ttdR//feaB//rbsD//lysR//ddpC//envC//ytfE//dicC//gudP//gspG//polA//yhcH//ahpF//torA//paaB//yoaG//frdC//uspD//kdpF//flgC//ybfN//pqiB//umuC//
LldR	hycI//evgS//nuoI//
LrhA	tktB//araJ//hydN//argC//
LsrR	idnR//cysN//hypB//fepB//motB//fepC//recF//hha//rpoD//
LysR	phnJ//recX//
MalI	yeaR//fixB//hycA//
MalT	ulaA//fnr//pfkA//manX//pstB//aceE//flgN//hcaR//pdeL//dicB//
MarA	galP//yhhY//cysU//bamE//yafP//araE//pgm//gatD//norW//gadF//garD//mhpD//feoA//araC//fliP//yiaN//dsrA//lyxK//ybjG//adiA//norW//atoA//dcuD//hybC//sgrR//argB//lpxC//ribA//nagB//hyfJ//mtlD//cvpA//yecT//mglB//glcD//rutA//argB//citF//
MarR	gpmM//melR//soxR//
MatA	chbR//ebgA//uxaB//moaA//gltD//yeaH//yeaD//pspG//
MazE	ycgR//glgX//modC//
MazE-MazF	mlc//ydfN//ydeO//
McbR	ynbC//yhcH//ydbD//tehB//
MelR	bdcA//hyfA//yhdX//
MetJ	gloA//mcbA//cysN//rhaS//ddpC//pfkA//asr//yedX//argO//grxA//yciG//tomB//ddlB//mzrA//fliM//
MetR	moeA//yeaD//infC//ydeM//puuB//
MhpR	alsB//uxaB//cdd//ompT//fepA//uvrY//
Mlc	mntP//glcA//ppdB//fliH//malY//oppF//paaI//ptsH//fdnH//relB//
MlrA	yjhC//gadW//pheS//rseC//ydiV//metC//purN//mdtC//pyrD//yeiB//
MngR	allE//cusF//mngA//
MntR	cpxP//phnK//caiB//fadR//fadD//
ModE	aldA//tomB//kdpC//fliS//mhpC//rtcA//agaW//cadC//yjbG//waaZ//yqjH//mhpA//yhhY//rpsO//napF//rybA//araD//srlD//metR//tehA//hdeD//aceA//rtcB//ompW//cusS//dinD//wecE//mngA//cusS//hcaB//gntK//rhaS//skp//pgm//tdcA//ddpB//dsbG//murC//chbF//fliI//nfo//yebE//zntA//aceE//ccmG//yiaL//
MprA	atoE//pepD//mqsA//ynbB//emrK//malG//
MqsA	flgF//hyaD//pepA//idnK//ynfK//yibQ//infB//mdtF//
MraZ	pagP//ruvA//hipA//dinD//ybhL//tsgA//recB//pspE//argP//fliN//hybB//kbaZ//inaA//casD//nrdH//fliH//pyrC//
MtlR	ecnB//paaH//codB//
MurR	dcuD//gspC//bioD//
Nac	cyaR//chbB//psiF//hdeB//prs//gatC//purF//ftsW//sucD//fliN//gadE//narX//argR//chbF//napD//crl//focB//accC//ruvB//cspD//nuoC//
NadR	phnI//lpd//rbsA//gspK//
NagC	nuoC//cydA//hyfD//garK//ssrS//mntS//yegH//fliD//lacZ//malS//fucA//qseB//rstB//ssuB//malY//insK//lsrK//murR//srlA//ulaA//arsC//rutA//slp//yccJ//uxuB//rffG//hemL//idnK//yecR//yrbL//metC//ecnB//allA//prpE//pstC//fabI//mdtF//
NanR	hcaC//agaW//ompN//prpE//sufS//csgG//idnT//phnD//tdcB//lldR//dkgB//
NarL	mioC//casA//yqhD//csgF//nrfA//yhjX//fecR//moaA//cdd//alkB//gcl//dapD//nrdE//argG//paaD//yhiD//rffH//ugpC//nusA//deoC//ybhR//tonB//garL//hybD//hokE//glnD//allA//phnH//fau//luxS//lldD//fucU//cynS//pheM//metI//citE//rpmA//metN//isrC//lacZ//fur//galS//bacA//argR//ybiT//malY//ptsG//fucU//gatA//metL//fabB//alkB//rutA//mraZ//rseC//torA//kbp//sufD//uxaA//cyoC//glpK//slyB//glmU//idnT//ftsZ//dacC//rnpB//psiF//gcl//sufA//creB//ssb//galP//argG//purH//codA//add//ybhS//glpA//purB//aceF//ftsW//flgA//uxaC//efeU_2//ecpA//bluF//lsrC//tsr//gspJ//ybhF//ybdZ//aidB//metJ//ssuB//rcnR//yidL//mcbA//ssuA//waaH//sufA//psd//purM//gatZ//nirD//gadX//flgG//gcvB//slp//purD//ahpF//malX//mraY//prpB//iscU//hycB//purF//modC//nikB//mngB//nagA//aceB//molR_1//
NarP	marR//glyA//yeaH//ssb//potH//napB//bacA//ugpQ//flgN//yhbT//truB//rpmI//hokD//talA//nanM//araC//srlD//fabH//accD//aroG//cspD//galP//flgM//gudP//rob//uxuA//tdcD//gspM//tonB//aroP//flgD//creC//mngB//znuC//glnA//ygiZ//yccA//glgB//ynfG//pheS//cspD//ydhW//glnD//idnK//hemL//mtlD//uspE//moaC//nimT//hisM//
NemR	mngB//gspD//accC//
NhaR	alkB//ybdZ//argA//ygeH//pdeH//gatZ//nfsB//
NikR	bdcA//yhbT//yhbE//gspH//dacC//alsA//
NimR	trpC//hypF//
NorR	fliO//yagK//cyoD//
NrdR	puuP//waaZ//accB//evgS//lyxK//malY//accC//astB//ynbD//
NsrR	glpF//nuoC//ydeM//mcbA//fixB//yhjA//ascB//gadX//yhiD//adiA//yccT//tdcE//nanC//gadA//entE//rffC//carB//umpH//xylR//ccmC//katG//mazE//dsdX//frdC//nimT//rpiB//bglF//pspA//nanM//ddpA//paaJ//aspA//cynR//flu//nrdH//marB//iscU//fdnH//yfiR//fdnI//cadB//phnL//nuoF//araD//nikR//chbC//rhaT//deoD//fiu//gloA//mnmG//hyfI//flgB//fadJ//yeiL//cusB//ascF//yoaC//leuD//fepB//hybF//entF//alaC//nrdD//fnr//ppdA//puuP//recC//uxaC//hydN//uxaA//flhC//bluF//argI//csrB//cusS//murF//yhdX//ubiC//mioC//cyoC//galR//araA//
NtrC	mtlA//mltF//appB//ulaB//flhD//yrbL//epd//fepE//purB//omrA//borD//galP//yafN//deoB//hisM//treC//csgD//tnaA//gntU//cysD//envC//ycjF//dhaL//manX//hyfI//pspA//pagP//fadD//pstB//ccmC//gcl//garL//prpE//paaB//paaJ//araD//fabH//cysA//hyfH//ppc//cadB//yiaK//rimK//lsrF//sdhD//phnI//betA//ssuB//ppdC//
OmpR	nrdF//accC//uxaB//mdtC//yciW//ccmD//entS//hyfC//fixC//cydB//efeU_2//znuC//nanE//trpR//purA//purK//fixC//yjhC//phnM//glpX//pstA//
OxyR	adiA//hcaC//garK//mdtE//tyrP//chbR//pgaC//rclB//agaW//prpB//betI//artP//garL//ssuC//ycjG//rseA//galT//cytR//agaS//nrdA//aroG//glgC//manX//nuoB//dctR//yjeV//yjbE//rseA//phoQ//malI//yibQ//hyi//chiP//hyfG//
PaaX	betB//cpxP//rbsK//betI//pflB//uspE//rffH//flhC//flgL//dps//insD//fepC//mhpT//potF//
PdeL	ybaS//
PdhR	yjbG//prpC//recB//gor//nfuA//fucI//flgE//hypA//ydhU//ybdZ//guaB//nrfE//slyB//cynR//ydjM//fadA//seqA//paaX//pnuC//yjbF//rpsO//atoE//glnQ//bioA//yhbS//uof//gcvB//flgG//yhiD//entE//allD//hisJ//prpC//mngR//amn//nanS//marA//ybhL//deoA//dinJ//gatB//
PepA	hypB//tehA//csgA//
PgrR	metC//sufD//glnH//entF//prpR//narG//adhE//nanS//
PhoB	ydhY//yafP//metI//sgbE//lhgO//entE//ygeH//betI//napG//arsB//gapA//glnA//yjhB//rstB//agaA//exuR//ddlB//paaD//higB//argI//bdm//ycjF//nuoN//cpxR//focB//torA//ppdA//aroH//fliL//rcnA//ybfE//fadH//bglG//yhiD//leuC//nrfG//araA//nupG//pspA//fbaA//fliZ//yhhY//pheM//hybD//narX//bamE//trpD//galP//skp//gltI//nemA//argC//asnB//alkB//dgcZ//sdhC//mcbA//aceK//rpiR//marR//
PhoP	mdtE//fdhF//allB//ptsI//ddpD//nanC//fucO//umpH//chbC//metA//yegZ//sufC//metN//moaE//hyaC//phnN//fecC//cdaR//yhcH//ihfA//lacZ//fucU//rutC//napF//waaZ//grxD//grxD//srlD//ybfE//malZ//asr//yidQ//trpL//emrA//hmp//ydfH//argF//ppsA//xapB//ygiB//gudD//agaV//tnaC//hycC//rpsU//yhbS//nac//napD//hyaA//gabD//cadB//mpaA//yafN//fes//hydN//argF//
PrpR	guaB//oppC//paaF//yiiS//symE//
PspF	flgA//setA//idnO//fabB//malS//accB//gatB//
PurR	deoD//rbsA//lpd//wzb//hyfJ//hypE//ccmB//caiT//chbG//pspF//bdcA//ydcS//yqjI//flgG//fepE//pitB//prpE//agaW//csgA//hcaC//fucP//uvrA//fliD//puuE//feaB//higA//leuL//uhpT//yfdE//betI//phoP//
PutA	puuP//potF//
PuuR	hcaF//fabZ//ybfE//uhpT//hycD//sgrS//hha//
QseB	dhaL//tehB//amtB//lsrC//
RbsR	katG//narK//fhuC//yciX//purM//nupG//ybfE//araA//metN//
RcdA	dhaM//yidQ//glpF//tsr//rcsA//uspA//wecB//rfe//dmsC//
RclR	sra//bdcA//leuC//
RcnR	rutF//fadI//leuB//
RcsAB	fliN//fucP//yjbG//cecR//aceE//lexA//hyfJ//phnN//ftsW//yfdE//lpd//yafQ//astB//yeaR//hyfD//ydbK//
RcsB	sucB//acrB//nrfC//dpiB//fadB//ydeN//agaA//malQ//nikA//atoD//ftsI//yqjI//gltF//casA//sbcD//paaY//dmsD//slp//nemA//glcA//ybhF//gyrA//tyrR//srlA//acrR//
RcsB-BglJ	gspD//guaB//tfaQ//nuoF//emrA//agaI//nrfG//malX//yefM//rbsD//pflB//tfaQ//amn//flgF//fucA//glxR//
RelB	yfaE//yhcH//ygiC//
RelB-RelE	yccJ//fecR//agaW//
RhaR	dsdC//ftnB//
RhaS	asnC//intQ//yiiS//rclA//ybhR//yegZ//
Rob	galR//nimR//dps//phnJ//mhpC//aroF//hybA//argE//agaI//murF//glcE//hyfE//yjbH//nagC//tyrP//gspH//nrfA//ompT//yeaR//uvrD//hybO//sufB//gudD//cyoD//mhpC//casC//
RstA	aidB//omrA//gspL//glgP//tfaQ//xylH//rclC//lldR//mazF//tdcD//
RtcR	sucA//yeaR//
RutR	rffH//yciX//trpA//phnH//dinQ//exuT//umuD//hdeA//fucO//csgA//ftsQ//sdhA//ppc//ykiA//gcvA//ymjD//cspD//
SdiA	ompF//torR//slt//lsrF//cusS//
SgrR	yecR//ugpC//tam//fliA//astD//phnH//hyfA//dinF//lrhA//
SlyA	flgC//
SoxR	oxyS//aroG//uvrB//
SoxS	cynT//aidB//sufC//flgF//sroD//alsC//fliP//hcaR//glcB//dinI//ubiC//sufC//yaiA//araH//ynbC//slp//metF//yfiR//recX//recF//ydhT//glnD//ynbD//nac//moaC//uxaA//yhdY//hyfI//polB//pagP//ycjY//marA//gspH//paaK//rdoA//ascF//hokD//wcaB//hypC//lpxD//
StpA	dhaR//hyaF//melA//fbaA//tonB//gltD//gltI//
SutR	malY//znuA//acrZ//katG//glnB//
TdcA	allC//hycI//ariR//poxB//lsrF//ydcT//fldB//
TdcR	paaX//cusB//sgbU//chbR//ompT//fecI//oppB//
TorR	ompT//ddpA//cueO//malZ//hyfR//mngB//cusR//flgJ//putA//fimB//nfuA//narI//
TreR	hyfB//oppC//
TrpR	cysE//dicC//tehA//safA//ttdA//paaH//idnK//cysB//rutR//crp//oxyR//fliE//
TyrR	purC//omrB//intQ//mraZ//nrdF//glpQ//polA//nikD//oxc//nrfG//tyrA//caiA//
UhpA	yaiW//
UidR	ptrA//atoA//mnmG//yidL//
UlaR	nrfD//mntS//gudD//uidC//flhD//pdhR//nemR//
UvrY	gspO//galS//citX//ariR//ybdZ//
UxuR	cyaR//micF//pspA//hyfA//csgA//hcaE//phoB//ymgC//ariR//
XapR	rpoE//rutC//
XylR	rcnA//carB//idnK//recF//uxaB//lsrF//tdcC//
YdeO	hyaC//lhgO//tpiA//hokD//hycF//rhaA//yciW//fucR//ldtB//dinD//ddpF//ybdN//yccJ//ygdB//yciG//ydhY//poxB//motA//ccmC//ybhF//yeaH//
YedW	mhpT//artP//gfcA//csgA//hybC//dapB//iraM//nrdG//nikR//moeA//citF//fhuA//
YefM	putP//skp//
YefM-YoeB	lolA//sdhA//
YehT	znuC//
YeiL	paaY//
YiaJ	manX//oppF//yoaG//cyoA//treR//acrB//focB//flhD//cytR//yidQ//
YjjQ	gor//flhB//treB//phr//ydeI//ybhF//poxB//astB//hyfB//kbp//
YpdB	mlrA//
YqhC	iscS//cynX//
YqjI	pdeL//fixB//
ZntR	yqhD//
ZraR	tpiA//acrR//hycC//
Zur	gltJ//exuT//moaC//wzyE//lsrB//paaK//
