#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	fadR//ssb//
FhlA	pheM//yhdW//glnQ//srlD//bamE//treC//hisP//nadA//psiE//ydhX//yciW//frdB//ybbW//idnT//narI//yiaO//yqhD//rob//cbl//ynfE//paaH//ogt//yqhG//ccmH//pspB//ygiZ//dsdC//ygiA//dpiA//rybA//
FlhDC	recC//ddpD//obgE//talA//glpF//argR//yegZ//fabH//eda//cyoE//lysR//metK//fabD//qseC//ydfN//crl//recD//flhE//gltB//thrS//ygbK//trxC//ybhG//paaY//pnuC//malS//fliJ//omrB//dsdX//paaD//agaD//dcuA//yiiS//cirA//artP//sodA//lsrK//mscM//pfkA//gspL//hcaB//hyaC//luxS//paaZ//chbC//metR//ykgO//rffG//ulaF//lsrC//baeR//srlE//uidA//zraR//fliP//nusA//inaA//mraY//phr//zraR//nuoC//rpmI//rutA//ycjF//ttdR//glpQ//kdpC//flgC//iraM//sbcC//gpmA//pspF//nimT//nikE//ddpA//hycG//ydcV//phnD//sufB//kdpC//bioD//ompC//
FliZ	appB//nrfD//rbsB//nrfD//agaC//dinJ//aldA//acrR//recX//dgcZ//paaD//nohA//araA//bglB//mdtE//skp//efeU_2//csgE//gspC//cysP//sbmA//
FucR	gnd//prpB//efeU_1//ycdZ//kbp//tynA//melA//
Fur	nikA//hydN//glcB//cirA//fucK//phnE_2//dkgB//yhjA//rseB//lpd//lacA//cysK//mngA//phnG//xylR//fruB//znuC//glnL//fruK//mntP//rsmH//galK//grcA//ybhR//ascF//ydbD//fur//entS//uxaC//cheW//ycgZ//glpQ//wcaB//hyfE//hyaE//nuoK//flhD//zraR//hisQ//fliN//puuD//mdtF//aceF//aceE//trpC//uidC//allC//rdoA//recA//mcbA//sucC//fucP//ascF//symE//puuD//lsrD//yccJ//copA//fliQ//carA//oxyR//yncE//fecI//dapB//cysU//cspI//metB//puuC//nac//murP//ybbY//appY//fucO//fiu//marR//cysN//mtlD//sdhA//rcsA//ftsQ//ykiA//rnlA//alkA//nikD//nikC//glgB//pspC//trpB//chbR//ybhS//leuC//dps//stpA//rybA//yhdY//gntP//araH//ydhU//ynbC//dpiA//pck//dgkA//dpiA//rhaR//trpC//mtlR//nlpA//purA//ynbA//arsR//oppB//tyrA//ydhV//mdh//paaX//fhuF//uhpT//malM//paaI//galE//ecnB//gabT//glpK//paaY//cysN//pgaA//rhaD//mgrR//malG//yhiD//
GadE	argO//rhaR//fadJ//gatY//pflB//mepH//inaA//flgD//yibQ//rclA//bioB//znuB//sgbU//csrC//cysP//allB//exbB//fldA//cpxR//zinT//deoB//dctR//gudP//hyaE//yiaO//gntP//recD//citG//fadL//
GadE-RcsB	gspC//pgaD//treB//eda//atoA//waaH//ydcU//fliD//hmp//
GadW	uhpT//nuoH//yeiL//nfuA//gutM//hha//lysP//cydA//nrfF//ygiA//nikR//tyrA//narH//gntX//garD//
GadX	caiD//bamE//ydeP//pspF//prpC//polA//nuoG//adiC//gutQ//rybA//fldA//astA//gcvP//flgJ//hdeA//nlpA//tyrB//aslB//tadA//glpD//glmY//sra//hycC//fadJ//trxC//malF//aceA//gltB//glnK//
GalR	dsdC//nuoC//ascF//galM//ydhY//hdeD//phoU//nuoJ//ihfA//nagB//
GalS	ruvA//entB//oppF//murG//hypA//purD//tnaB//fliP//tdcB//hyfE//
GatR	rutC//gadE//artM//cysP//ptsH//yjbH//
GcvA	glnH//pnp//idnR//ssuB//uxaA//
GlcC	baeR//mqsR//thrS//adhE//tdcB//cadA//gatB//
GlpR	waaY//hycA//dsbA//amtB//araE//hybD//ruvB//nhaA//ygeA//
GlrR	cysU//cysU//mgrB//ddpX//torC//
GntR	metI//pgaD//omrB//yciF//recC//fixA//galR//katE//srlR//ybaS//malT//galK//
GutM	fabH//ppiD//argG//argG//tolC//yhcH//ftsA//
GutR	uhpT//infC//fliI//fabH//carA//fucK//wzb//
HU	yciW//dsrA//mioC//iclR//hybA//ompF//astE//ydhW//fbaA//
HcaR	rffC//phnD//garP//hyaD//hybD//chbR//
HdfR	chbB//cysA//ykgM//ttdT//gatC//
HigA	aroP//sodA//
HigB-HigA	phoU//yhbS//
HipAB	cysJ//nfsB//hokD//phnC//hokE//
HipB	wzzE//hyfH//glpK//paaD//feoB//yqjI//
HyfR	gspL//codB//fecI//tauC//sgbU//envC//phr//lysR//uvrA//yhdX//hybF//yjbF//
HypT	glgX//glcB//ygiZ//nupG//rutE//sbmC//norR//trxC//ubiC//mpaA//csgD//tauC//ccmA//
IclR	yciF//paaK//prpE//wecE//
IdnR	guaB//gntT//xylA//pheS//yhdY//yhjA//dinI//
IlvY	lolA//yecT//
IscR	gabT//malQ//folE//flhC//frdB//yedX//rclC//lldP//frdD//yafN//flgL//fhuF//sufS//cysB//hcaC//ftsK//gspE//purM//rcsA//fepE//artJ//zwf//mhpF//cyoB//oxyS//ulaE//pheT//efeU_1//moeA//soxS//puuP//mtlD//
KdgR	fimE//nfsB//
KdpE	ubiC//ydfE//hokE//argG//
LacI	cydA//fadA//tyrR//
LeuO	paaI//yiaJ//yeaH//fepG//napC//yneM//fumC//pdeR//rob//bhsA//entB//decR//norV//uidC//agaS//nanA//trpR//ubiX//rpmI//tehB//
LexA	nagC//fabD//infB//folE//kdpA//alsB//fepA//fixA//mgtA//hycC//araA//mipA//efeU_2//ftsI//purM//ptrA//fepD//chbG//higB//recC//rpoD//fliN//hcaF//allE//emrK//exuR//dctA//deoD//ecnB//gntK//hyaD//fabD//hcr//metY//ampC//glnD//mhpD//fhuA//tdcA//citC//mntP//dinD//dgcN//fliA//ruvB//fliF//mgrB//yccT//mdtA//paaG//wecB//rsmH//casD//srlE//creC//psd//htpG//yhbT//mazE//
LldR	cysP//glcA//glgA//
LrhA	caiF//cysH//aceB//fliO//
LsrR	sgrR//uvrA//glgP//tauC//ribA//uhpT//ydfW//psiE//ydbK//
LysR	nagE//dcuA//
MalI	gltB//murF//rimK//
MalT	cynT//yoaG//chbA//alsE//acrB//gspC//frdC//nuoI//phnC//fabB//
MarA	ydjM//cdaR//yidL//ybaT//alsA//dnaA//sdhC//mntH//creC//aroL//ibaG//caiA//iscU//rarA//paaG//ascF//nanT//moaD//epd//srlR//chbG//napG//uxaB//gabD//cysK//casB//setA//yjjQ//nrdG//ydcU//csgB//soxS//recX//ydhT//ydhW//hyfJ//hybB//guaB//
MarR	glcA//rnpB//hybO//
MatA	flgA//trpC//yegZ//tisB//hypF//pspB//puuE//rpmI//
MazE	nhaR//argP//paaG//
MazE-MazF	envC//wcaA//icd//
McbR	fnr//glcD//inaA//dacC//
MelR	yegH//galR//uidB//
MetJ	metE//ybbY//iraM//metC//lsrK//ygiA//casC//rdoA//araB//copA//astB//gltI//phoA//ymjD//feoC//
MetR	frdC//kdpB//mgrB//fumB//nikR//
MhpR	fau//argA//ybhR//phnH//gcl//aroL//
Mlc	crr//citD//rplU//sodB//tyrR//rpiR//yfdE//ulaB//inaA//nagE//
MlrA	idnD//dhaM//fepD//envC//mazF//ompT//nusA//hyfJ//focA//nanE//
MngR	bluF//ynbB//araB//
MntR	dctR//mntP//fecE//ebgA//yjbH//
ModE	ccmF//fliR//mdtA//glcE//psd//yiaL//uvrD//ykiA//yiaL//ppdA//gatZ//ampC//mnmG//yeaD//glgC//cspI//mprA//edd//hypA//edd//yhbT//sutR//xylA//leuL//lsrB//fdnI//nrdB//flu//narK//folE//yjhC//sroA//glmU//pgaB//tcyJ//hdeA//dsbG//hybF//ymgA//qseB//uhpT//wzzE//dgcZ//aceE//nuoM//yeaD//
MprA	gltI//flhC//rffH//fucO//lsrB//tdcB//
MqsA	nfo//torD//srlA//rutE//nhaR//nagB//metQ//phoP//
MraZ	yjjZ//nrdI//creC//artP//soxS//tauD//cysW//oxyS//hyfF//glcD//zntA//rhaA//hycA//yfaE//nadA//sgrT//spy//
MtlR	prpR//aspC//fdnH//
MurR	paaC//ubiC//yciX//
Nac	malY//tynA//ygaC//speA//fabA//flgK//napD//trpE//alaS//leuB//ugpA//fruA//uspE//higA//chbC//modA//dnaA//murC//uspD//frdA//gatY//
NadR	udp//phnD//caiC//ygdB//
NagC	glcD//aspA//glpA//dctR//hybC//artI//paaG//dsdX//leuL//fucA//rffM//arsB//alsA//yeaE//psiE//rffC//glcD//dhaR//araF//argE//qseB//waaY//paaK//sutR//glnK//sufD//xylH//fabH//yefM//rffC//dmsD//phnG//fecR//nanE//prpD//wecE//nohA//
NanR	gspE//folE//yoaG//glk//carA//exbD//cydB//zraS//gltL//truB//gyrA//
NarL	sgbU//cysW//paaJ//znuC//katE//hypD//yaiW//rob//nemA//ydbK//thiQ//bdcA//dtpA//fabH//ebgA//dps//feaR//speA//xapB//aldA//moaB//ydfD//zraP//mhpB//fadL//pspD//chbG//higA//trpD//gudX//yneM//ydcU//tsr//allD//aceB//fabI//recD//paaC//rffT//paaY//cysJ//agaI//nirB//mazE//mtlA//fruK//xylB//ulaA//slp//fixC//metE//tnaC//napH//cyoD//agaI//galS//rffM//potH//iraP//argE//lpd//rseC//trpR//araB//uvrC//nuoA//ulaC//fliJ//csgC//pheM//rpsO//obgE//znuC//glyA//nirD//yhbE//mhpF//entB//frc//fliI//metY//nuoC//ptrA//hyfA//uspA//psiE//rimK//sucD//uvrD//norV//hyaB//flgG//rarA//hybC//phr//rutB//yeiB//nanA//bglG//caiT//yegZ//nemA//trpR//slp//mlc//znuC//gfcA//nuoA//recX//tpiA//intQ//gltJ//argI//bdm//phnC//speB//glcB//pitB//lsrK//uxuA//galP//dcuB//hycD//
NarP	dinB//psiE//rutD//acrB//ygeH//cirA//folA//ydbD//yeaG//yfdV//yedX//sdhD//xapB//gnd//crr//hypF//mdtD//hypC//rhaR//paaZ//yhdZ//cusC//mpaA//pgaC//rbfA//garL//lsrK//murI//fepB//napC//metQ//yfbR//folA//bioC//fliR//sroD//rutC//gadB//yqjA//agaC//mtlR//gspM//potI//psiE//recA//ydcT//ppdA//fucP//cynS//aroH//
NemR	mscM//mngA//nagB//
NhaR	hdeB//paaC//acrB//nrdB//hycB//purA//paaJ//
NikR	pyrD//gpmM//sufA//yiaN//fhuD//gntK//
NimR	trpE//kdpF//
NorR	ssb//fhuF//lpd//
NrdR	glyA//gspI//dsbA//chbB//lrp//paaB//casE//malZ//hcp//
NsrR	alsB//metK//dinB//alaC//allD//paaH//efeU_2//puuA//borD//hcp//fliZ//prpR//cspI//mqsA//gatZ//mhpB//pdeR//metF//cysU//cyoE//recF//cspD//gadX//phnE_2//murF//sgrT//rhaD//hyfF//phnJ//dsdX//argG//accD//aspA//pspE//sdhD//flu//cusR//dps//rfe//gpmM//wcaB//pspG//hycA//cytR//gor//agaR//galR//sodA//fldB//ampC//fepB//asnC//fecD//rpmI//pgk//dsdC//yhbT//phoA//argT//higA//tauD//glgP//araH//fliA//csgC//flgK//higB//citD//fecB//glpD//sdhA//cytR//flgH//ydbK//flhD//hybE//ssb//dhaK//fadI//decR//leuO//ppiA//glcB//
NtrC	cusS//rob//phnP//flhB//ybjN//dicB//ybiT//rimK//hyaF//sroD//puuE//ygiB//gntP//malE//acrD//pstS//hybO//potH//yiaJ//ssrS//yqaE//rbsC//bglF//carB//fadD//tcyJ//allA//putA//prpB//ppdC//yiaN//mprA//yccJ//sbcD//hcaD//phr//nagA//csgA//ydbD//murC//grxA//ybaT//talA//ybdN//grxD//ybbW//sfsB//nuoN//higB//
OmpR	murR//rhaB//dhaR//cusF//ydeP//aidB//purA//gcvB//kdpB//alsB//accD//creC//gabT//yccT//iscR//glnB//allA//agaS//rpiB//nuoK//lgoR//
OxyR	gltI//potF//fimE//evgA//nanE//glgA//pgpC//gatY//yecR//ydiV//norR//yfdX//dctA//yhbT//isrC//fliQ//ebgC//glpA//rclC//cysE//gcvA//fepD//hydN//murC//nanS//mhpT//chbB//hycG//puuE//rutR//ynfE//stpA//entE//murC//
PaaX	hcaE//rclB//folA//aroF//nrdG//rcnA//gudX//marR//ycgZ//rstA//fepD//nmpC//ahpF//fumC//
PdeL	rnpB//
PdhR	uidB//trpR//hycC//gadX//rhaB//ydhY//isrC//creA//entC//yqhG//fadJ//uvrY//yjhC//mnmG//ppsA//yeaD//rffC//tdcG//zraP//yjeV//efeU_2//murR//gcvT//flgD//ccmE//znuB//glcE//mepH//nuoJ//folE//chiP//gadB//nrdI//napH//fnr//ptrA//ugpB//tnaA//pgpC//bioC//ppdC//
PepA	infC//acrD//flgF//
PgrR	prpB//mglB//tdcG//fhuF//sbcD//sbcC//cytR//focB//
PhoB	oppF//rbsD//rseC//glgA//argA//yeaH//cysA//rutD//uspE//uspD//phoA//tyrA//mpaA//asnA//gltI//caiC//astA//purF//malY//decR//yefM//paaK//aroG//gntX//fadM//dcuR//ymjD//zraP//rffH//uof//gabT//lrhA//katG//aroH//glgA//iscU//gcvB//eno//yedX//rseA//gcvT//polA//trpR//ccmF//fruA//phnE_2//leuC//cysN//pstS//ddpA//hycC//gdhA//ilvY//malG//patD//emrK//ygeH//ycgZ//fepA//relB//
PhoP	mdh//paaH//lhgO//hyfC//astC//yeaR//ada//phoA//mgrB//gabP//treB//torD//paaK//ftsI//dnaN//ung//mlrA//sodB//yjeV//rutA//ycjG//mdtA//bhsA//kdpC//metJ//yiiS//fliS//mraY//malS//ybbW//gcl//acrB//hisJ//entD//ydjM//araE//tpiA//fliA//cdd//cadB//hcaB//flgN//hslJ//yegZ//dcuS//creA//entF//ynfG//hybB//mraZ//dctR//paaF//sfsB//gatY//betA//deoB//
PrpR	oppB//yebG//yciX//ynbB//fliS//
PspF	lsrB//bdm//lsrG//cynX//dinB//purF//phnL//
PurR	psiE//rutF//ribA//hyaB//csiD//umpH//araB//ssuE//leuB//psiF//hycF//cyoD//nrfG//flgH//ptrA//wzyE//malK//treB//cadA//pspF//nirC//rutC//fliC//hcaE//oppB//metR//argG//accD//argB//lhgO//rpsO//
PutA	hisM//aspA//
PuuR	yeaD//ftnB//hycB//mhpD//metY//pagP//setA//
QseB	tam//rffM//nuoK//dacC//
RbsR	rffC//araE//ilvC//phoQ//galP//mhpC//gapA//sufC//pspA//
RcdA	bluF//yhdX//dacC//ydeM//allE//napF//betB//cysU//fucA//
RclR	mzrA//rhaR//gntK//
RcnR	gadC//ccmC//cysG//
RcsAB	waaZ//nrdI//ada//hcr//ygaC//ilvY//gspG//garK//pheM//dmsC//nlpA//ybhL//cdaR//prpR//ybjG//narH//
RcsB	skp//phnG//araE//fruA//mipA//fruK//ldtC//fhlA//flgC//ppiA//paaK//dctR//ykgM//leuC//malQ//wzc//yhjC//artI//allE//fabB//gabD//yedX//pitB//truB//gcvB//
RcsB-BglJ	ddpA//fliJ//modB//glxR//cyaR//hns//mglA//folA//csgC//murE//ugpC//lacA//iscA//kdpF//dapD//ydhV//
RelB	ptsI//ompF//alsE//
RelB-RelE	lsrB//prpE//kdpF//
RhaR	malM//galR//
RhaS	pepA//norW//yiaM//rpsO//higA//yiaO//
Rob	ydhV//paaZ//galK//ebgA//prpE//hycB//dinG//bioC//flgD//nemR//leuL//rob//napG//yjbF//yfdE//glcC//sufA//ugpQ//cysW//rstB//ompT//yhjC//fiu//lsrR//nuoC//ybhR//
RstA	glxK//alaS//fecD//tynA//ddlB//flgJ//tam//fliJ//dctA//trpL//
RtcR	moaC//metA//
RutR	dnaN//wzzE//lsrG//flgD//alsA//hipA//ssuB//cusC//pgaB//caiB//rstA//tpiA//ftnA//mprA//hdeB//ndh//narK//
SdiA	hdeD//fepA//rbsK//flhA//pnp//
SgrR	hybG//hypB//cas1//puuC//rffG//nrfC//idnO//lpxC//potH//
SlyA	yafN//
SoxR	yfiR//pyrC//malF//
SoxS	fabG//caiC//ydhW//garP//fur//iclR//nrfC//chbG//ppdA//trpD//fhuD//yeaR//cysN//ydcT//dinF//nfuA//mhpD//ynbC//atoE//fliF//yeaE//zinT//moaD//kbaY//btuB//nadB//agaR//osmC//allE//citE//thrS//yfaE//lamB//flgF//murC//nupC//glmU//glnA//iscA//napC//
StpA	evgS//nuoF//hns//zinT//folE//malQ//insD//
SutR	sgrR//yhjC//glnD//rpoS//hybF//
TdcA	metK//idnK//moaA//malE//nanK//nfsA//prpE//
TdcR	sucA//ynbA//mhpD//yegZ//iscR//pspD//pstB//
TorR	ftsA//pgaD//purE//yidL//bacA//kdpA//rffH//glpC//fliP//rclB//gyrA//mgtA//
TreR	pykF//fecC//
TrpR	csgD//ykgO//aspC//gspC//fldA//cysN//caiA//sdhC//acrD//cspE//arsR//copA//
TyrR	mgrB//fecB//purR//paaK//speA//cysN//wecB//malX//nrfE//aceE//mtlD//yfaE//
UhpA	sufE//
UidR	seqA//asnC//fucP//rutF//
UlaR	gntT//yjbF//casE//ddpC//flgJ//yciF//moeB//
UvrY	wecB//xylA//ssb//uxaA//ygiZ//
UxuR	cusR//rclA//rprA//mqsA//flgC//appC//sbmC//malG//fliI//
XapR	yccJ//garK//
XylR	hyi//hybG//paaE//citD//ttdR//ilvY//tehA//
YdeO	gltF//fepE//psiF//yfdE//flhD//caiE//metN//xylH//nac//pyrC//rfe//ycgZ//agaR//seqA//uidA//sdhA//rarA//tomB//purB//hycH//fabZ//
YedW	rpiR//yfdX//mngA//cho//fixB//lysC//ssuC//dinF//ubiA//fixX//ydeO//dpiA//
YefM	sucA//fepD//
YefM-YoeB	ydfX//crl//
YehT	glcE//
YeiL	dinJ//
YiaJ	uidC//mntH//chbB//gntT//frdD//yegZ//murP//ydhU//oxc//tsr//
YjjQ	ynfK//soxR//gltI//cas1//dcuS//zraS//hns//infB//caiC//norV//
YpdB	yqjI//
YqhC	oppD//artJ//
YqjI	inaA//lamB//
ZntR	argD//
ZraR	yhbS//flgE//mdtF//
Zur	cydA//gntK//hyaC//ddpA//symE//ppdA//
