#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	malF//adiC//
FlhDC	nanS//sgrS//flgE//alsC//ddpD//yiaL//phoQ//pgaB//oxyR//metB//fliM//fliZ//nuoH//tdcE//acrR//gspD//fepE//dgkA//frdB//ydcS//galR//ydhT//tdcE//cas2//csrB//icd//polB//znuB//trpC//acrR//yfiB//dctR//rutC//hns//gabT//yaiW//purL//decR//nagC//rcnR//ygiA//sroA//umuC//ptrA//argI//psiF//yidQ//fadH//nagB//hyaF//ydeO//allS//norR//yiaO//paaK//ydcU//ptsG//metE//hypA//fliT//emrA//intQ//cynT//dhaL//glnK//yoaC//gntX//cas1//creB//ptrA//phnJ//sdhA//narG//sutR//yhhY//pstC//recA//mngR//fnr//fpr//bdcA//infC//
FliZ	focA//cusB//fliT//znuA//bdm//ecpA//fliR//yfiB//infC//sroC//yhdW//hyfF//dmsC//recD//thiP//atoE//rffM//purF//patD//yhdY//rprA//
FucR	tehB//fucO//cynX//ulaD//prpE//yjhC//fucR//
Fur	efeU_1//yoeB//malM//hypB//cpxR//paaD//prpE//fixX//phnM//phoR//ccmC//moaE//sucA//xylA//entB//cusF//sbmA//acnA//btuB//trpR//fiu//rseA//glpA//lhgO//ccmA//yoaC//casE//iraP//mtr//hdeA//alaC//fruK//glnP//katG//aceE//sucC//artQ//mraZ//moaB//kdpF//glgA//sucA//fepA//araC//rutF//mlrA//bamE//sdhA//sucD//gspL//csgG//dcuA//dgcN//yhbT//hyfR//fldB//baeS//mdtF//rutG//lpxD//fabA//argD//fucP//pstC//yqjA//hlyE//rclB//agaS//aceB//purM//ygbA//napB//emrK//malS//rpsU//gor//tam//emrY//yciX//mhpC//mprA//fdnG//lsrF//sbmC//ugpQ//rhaS//edd//norW//aroH//mdtE//mntH//uxaB//safA//tehA//sbmC//epd//pgk//ppiD//araD//setA//hcp//ybhS//copA//srlB//rpmA//ogt//sbmC//artM//mglC//csgB//allD//ydiV//fur//ldtB//tnaC//yafP//mdtE//yiaL//melR//ymgA//glpD//ecnB//caiB//kdpF//potH//nrdD//malF//fliD//pgm//rpsU//
GadE	recX//gadE//ydhW//cysH//htpG//fucU//ybiT//uidB//lrhA//purK//recD//mntH//cydC//hokE//fadL//aceE//potG//dhaK//fepE//thiQ//csgA//ycgZ//ribA//nikE//thrS//rclB//sgbU//wcaB//fecC//
GadE-RcsB	motA//flgL//glk//nhaA//ybjN//murD//rstA//fldA//dps//
GadW	deoB//paaF//marA//cytR//nadA//dsbA//uvrC//astB//cheA//rplU//emrK//tauC//lrp//btuB//araD//
GadX	fldB//aroF//prpC//intQ//hyaD//ydfD//fimB//phoU//yoaG//cpxA//pheT//yibQ//sodA//feaR//ldtB//nikR//hypA//hflD//uvrB//glgA//ryhB//gatZ//rbsA//appX//phnC//ybjC//ampC//nadA//nikR//
GalR	sucB//fucP//bacA//ddpA//cyoB//nikB//psd//gspJ//infB//lpd//
GalS	focB//skp//astD//flgL//trpD//insK//rpiR//potG//tsx//gadC//
GatR	nrdF//ydiV//metE//ynbD//tdcF//malG//
GcvA	narH//phnE_1//znuC//waaY//lolA//
GlcC	ecpR//umpH//oxyR//dctA//truB//pspA//cecR//
GlpR	fhlA//cysB//phnI//fhuB//yecR//entS//entD//rseA//osmY//
GlrR	metK//tdcG//nuoK//torD//ydcS//
GntR	flgN//phoP//hybE//purR//ccmE//casD//pspB//deoA//allS//nikR//yjjZ//hycD//
GutM	lhgO//nanM//paaF//phnK//yafO//ygbK//rdoA//
GutR	pgaA//ugpC//yfiB//omrB//agaB//infB//rcsA//
HU	rcnB//ycjG//dcuR//recF//hycE//chbG//leuB//flgC//ecpR//
HcaR	ubiX//ebgA//gcvH//mntS//cusC//torC//
HdfR	argG//ydcU//glgX//paaF//xylH//
HigA	kbaY//dkgA//
HigB-HigA	hyfJ//tyrR//
HipAB	glpC//caiD//napF//lsrB//seqA//
HipB	gadY//cusB//hokE//sgrR//arsR//pheS//
HyfR	mgrR//micF//uvrC//fliO//flgE//ruvB//yhcH//wecE//rutF//pnp//cyoC//rbsR//
HypT	dpiA//ynfG//ccmE//paaD//glmY//ydeN//lysC//ebgA//mqsR//carB//cvpA//lsrD//dpiA//
IclR	rhaS//uspD//oppC//nimR//
IdnR	ahpF//treR//mdtE//dsbA//spy//gadF//murF//
IlvY	dgcN//mraZ//
IscR	eda//fadE//ascB//yecT//serA//tonB//yeaG//yibQ//glgA//crr//gntK//agaS//mhpE//uidC//nuoJ//nuoM//gapA//yfbR//napH//argC//gadY//guaA//sucB//garR//mntP//gspF//csgG//gspI//yfdE//yegZ//nfo//fadH//
KdgR	cra//tdcE//
KdpE	nuoG//fliQ//argP//ygiB//
LacI	mhpD//yfdX//fadD//
LeuO	purA//gadE//xapA//gspO//ubiA//glnD//ymjC//ttdB//efeU_2//spy//gspG//mipA//yoaC//gatA//alkB//ftsZ//ybiT//trpE//purD//treR//
LexA	ydcT//nrdE//ompT//cyaR//moaD//alaS//nikE//dcuR//nrdI//nlpA//aspC//cho//gatA//tcyP//gnd//agaB//sufE//astD//xapA//symE//speB//cho//fpr//mglA//oppF//mglB//deoA//cyoB//ppdC//tpiA//fadH//fabD//argE//glpB//nikR//aspC//uidA//hdeB//tdcC//argH//ykgO//nusA//malZ//truB//uxuB//gspJ//alsC//mdtC//higA//nikA//sufB//lpxD//pheT//oppF//ugpA//cysK//ugpA//dinD//yfiR//
LldR	fliQ//gntP//prpB//
LrhA	mglA//cysD//mgrB//pnuC//
LsrR	aroL//ymgC//yhhY//fepC//cdd//hemH//cdd//ccmF//ymgC//
LysR	symE//pstC//
MalI	srlR//hslJ//rob//
MalT	ppiA//cysI//caiC//dhaR//hcaB//tnaC//gadB//fimE//glcA//flhC//
MarA	bolA//yhdZ//mraZ//mzrA//deoB//gpmA//nrfG//putP//narG//yhdW//rffG//pepA//hyfF//cusS//accB//mazE//pgi//yhbT//fliZ//caiA//gutM//ynbB//nfsB//rcnB//uxaA//galS//yciF//mhpA//pepD//exuR//feoC//bglG//narJ//purC//ryhB//melR//entE//setA//
MarR	ddpB//mglA//mhpF//
MatA	tsr//cyaR//lamB//ynfK//dnaA//hybA//alsA//argO//
MazE	citE//galK//argH//
MazE-MazF	pheS//yccA//mglA//
McbR	agaR//ybfN//ftnA//oxc//
MelR	phnD//zraS//pdeR//
MetJ	tcyP//rcnB//flgF//gcvT//ptsG//pspE//csgD//yafO//hyfC//nhaA//sufD//fimE//entD//phnD//rplU//
MetR	glk//lacY//putP//asr//nuoL//
MhpR	dgcZ//nikA//ugpB//agaV//infB//ebgC//
Mlc	osmB//fecI//galS//zraR//hcaC//mtlA//araB//sdhC//fruK//tcyJ//
MlrA	phnJ//yecR//ugpB//fimE//flgE//entH//flgB//fadI//yhjX//lacY//
MngR	pstS//nrdE//yiaM//
MntR	paaE//rpiB//glpB//tolC//dicC//
ModE	nikC//pyrD//dapD//gadA//pdeL//yhbT//yjiY//ynfF//tfaQ//hypF//gspF//napG//hyaB//sodB//hipA//iraP//artI//fliP//ruvB//entF//citE//uof//paaB//zraS//serA//waaZ//astC//cysW//cysK//motB//nikD//glgP//galM//mgtA//ccmB//yidQ//yfdV//dctA//tdcF//metK//ftnB//nanC//micF//alsC//ybhS//nuoE//
MprA	nikE//gadX//yeiB//uxaA//tauD//mlrA//
MqsA	ppdB//ydfD//fliT//pykF//gltK//xapB//narJ//yfiR//
MraZ	gadX//rtcA//paaF//csiD//metQ//rob//puuA//tfaQ//gatY//cysM//ubiX//manZ//ccmF//araD//zwf//ttdB//nrfB//
MtlR	glnP//srlA//lsrA//
MurR	puuR//yhdY//nrfA//
Nac	ihfA//cytR//bioB//yqhG//mntP//fhuB//ychF//acnB//fixB//ssuA//yfaE//sucD//glcA//hypD//purE//ppiD//malZ//ydfW//treC//lolA//tauB//
NadR	acrR//ecpA//hdeD//cusS//
NagC	dicC//phnP//osmY//uvrA//rplU//yqjA//paaI//pspD//bdcA//garR//idnD//waaY//yciX//yjbF//lldR//garP//kbaY//creA//creB//kdpC//moaE//ptrA//nuoJ//ulaE//phnO//ygaC//osmY//ftsL//dgkA//hdeA//decR//cvpA//add//slyB//tonB//yoeB//yhiD//
NanR	ppdC//hypE//umpH//araD//gspE//arsC//astE//dtpA//fhuF//ytfE//tisB//
NarL	norR//recB//fliI//lysA//yjbE//lsrK//mnmG//ftsI//pitB//pncB//gabD//gspD//yebE//rimP//fdnG//lldP//lsrF//betA//trpE//ydcT//tyrB//sucD//pgm//sufE//omrA//malK//umpH//srlD//hlyE//cynX//ssuE//glnQ//fliJ//pgaC//hdeA//pgi//hyaE//hisQ//relA//nanT//pagP//csgG//yqjA//feoB//baeS//fepE//ydfW//yegZ//hyfJ//aroP//ygiZ//nupC//tcyJ//narX//galE//ydcT//ydfD//appA//ulaA//flhA//puuE//tdcD//fabZ//casE//inaA//fixB//pyrD//caiE//pdeR//emrB//gltB//glgX//mazE//cysM//agaD//sufS//nikR//yeiL//tauD//putA//gadF//phoB//gpmA//ttdT//soxS//fliA//iscR//dinI//mglB//nrfG//hipB//wecB//oppC//pflB//yegR//phoB//fliT//wrbA//insK//betI//hycG//cueO//dkgB//glcD//ccmD//malM//nmpC//ydcV//omrB//lpd//tyrR//tfaQ//mdtF//nfuA//gntX//fabI//hypB//argI//fliI//oppB//csrC//fixX//yjbE//
NarP	yccJ//lsrG//lacA//phnG//entB//rbsA//tauA//agaB//amtB//manX//marR//prpR//caiF//paaB//yjjZ//fabI//trpB//gltJ//acnA//garR//tonB//fadL//insD//yhjX//araF//yjbE//treC//hcaC//higB//malG//kbaZ//glcA//yiaM//fucK//moeB//uvrY//hypE//nrdF//recD//purB//appX//ygiB//gspM//flgN//betB//fliC//fliR//fbaB//ugpB//narI//
NemR	recD//mntH//allB//
NhaR	purD//ytfE//yagK//slt//zraR//asr//nuoH//
NikR	emrB//metL//tktB//chbR//nikA//uxuB//
NimR	glpD//waaH//
NorR	yccA//nanS//gltL//
NrdR	ddpX//wzzE//accC//ykiA//csgA//ydfN//malX//glgX//argC//
NsrR	gapA//sdhC//nrdG//nrfB//lgoR//efeU_1//tdcG//flhB//trpC//uvrY//ccmA//sufD//yeaE//tdcG//phnK//tyrB//nirB//stpA//yhbE//recF//nuoB//caiB//rbfA//hemH//bioB//fliH//gfcA//hcp//cyaR//sulA//yhcH//fepE//yaiW//mnmG//gadX//csrB//truB//spy//hybA//asnC//dinJ//recB//yebG//ubiC//ompN//ulaC//fdnG//rob//lamB//pyrC//bglJ//yneM//astB//pspC//lsrB//rarA//tdcB//murQ//cpxQ//gadW//qseB//fucI//glyA//pdeH//hybD//hokE//rdoA//yoeB//fecB//aroF//fliF//rnlB//rbsK//ygdB//molR_1//yiaJ//xylG//moaB//dinG//sbcD//fdnG//ppdB//feoC//
NtrC	fliL//phnD//galR//wzc//asr//ydeO//nupG//wecB//cysC//tadA//nuoJ//malM//lsrD//nrdF//ybhR//mpaA//ycdZ//uspD//fliC//ygiC//lyxK//fau//purR//narG//rybB//flgE//fdnH//rarA//yfaE//gltI//yneM//dinJ//phnC//glpC//fliM//leuL//mprA//entB//ynbB//fliQ//ybiT//mazG//phoQ//fhuC//baeR//prpC//ydeP//evgS//chiP//
OmpR	metJ//galP//ybhL//aceA//ppiA//yebE//ydjM//napB//cheW//argG//dsbC//paaF//nrfE//bioB//mazF//yjbE//gcvA//acnA//napD//hyfA//metY//
OxyR	chbC//sfsB//lgoR//flhC//tsgA//gabT//cadB//dinJ//rpmI//asnA//rpsO//chbC//dctA//rhaT//ynbB//ygiC//argA//nuoK//ftsK//ssrS//ydbK//gltK//cyoB//mraY//pgaD//entH//ygaC//lpd//glcG//rutF//thiP//ybfE//uidR//nuoB//
PaaX	bioC//cysM//alsA//yqjI//entS//glcG//pstC//mntP//hcaB//mgrB//gltK//yfdX//thrS//speB//
PdeL	rpmI//
PdhR	fur//nuoB//murP//tnaA//gadB//glpD//malT//fabI//yqjI//metI//nanK//yebG//tcyP//nrfD//kbaZ//hycH//idnR//fumC//nrfC//metH//uxaC//nhaA//moaB//pspD//cusF//tsx//fliF//ydiV//pflB//gntP//hmp//mraZ//yjbH//mngB//fur//hcaF//argF//tauD//purA//malS//glgP//
PepA	gadX//lexA//ssuA//
PgrR	malQ//torC//gatB//yaiW//focA//mqsR//fecC//accA//
PhoB	atoE//srlE//glnG//yccJ//fliK//acrR//bdcA//yoaG//hmp//uspD//cynS//ynfK//tnaC//alkA//lsrG//carA//norW//ydeI//dkgB//tauD//hycH//ybaT//araH//aspA//csgE//gntP//ydhT//hypE//ttdR//bglJ//frdD//gadW//recX//murG//fiu//ptsH//sra//ydfE//mdtB//ynfF//cirA//gadW//cusA//malE//aroF//appX//yhiM//tauA//moaB//alsC//trxC//modC//cecR//fliF//sdhC//acrA//mraY//copA//rbfA//waaH//
PhoP	rstA//ldtC//dpiA//narK//lpd//molR_1//fabB//gspL//cspD//nac//hyfB//nuoI//lpd//fucU//yfaE//yhjC//grxD//narX//fucI//metI//fecD//yqjH//csgF//mipA//srlA//gspJ//araB//gntK//mngB//yecT//yjbH//ycjY//dsbC//flhD//pgaD//dinJ//aidB//glpD//lacZ//dgcZ//artP//leuD//adiA//ykiA//betT//isrC//glpQ//ybaS//dpiB//chbR//lyxK//soxR//nrdH//hcaE//emrB//astD//
PrpR	cysM//allB//cbl//ulaA//modA//
PspF	yibQ//yciX//chbG//flgH//glnB//ptsI//rclA//
PurR	yidQ//cysK//grxA//hyfR//yaiW//alaC//ssuA//ydbD//ybaS//hybC//prs//argG//csgC//tauC//ydhU//araJ//ymjC//tehB//lpxD//fliM//gatZ//phoR//yccT//omrA//flgI//agaA//paaH//nrdD//malM//trpE//rnpB//
PutA	fliC//tadA//
PuuR	yccA//wcaB//nagE//nrdH//glnG//nikE//nrdH//
QseB	malT//aidB//bglG//gcvB//
RbsR	sbcD//mdtA//purH//waaH//gltD//gntT//betI//puuP//argB//
RcdA	pncB//cynS//folA//micF//nagA//flgK//hisJ//asnA//dmsB//
RclR	pgpC//ulaB//yecR//
RcnR	omrA//gltF//focA//
RcsAB	yeiB//dinD//cyaR//araB//citF//speA//potI//araE//ftnA//aroL//purN//malM//ddpA//metE//pgaA//yqjA//
RcsB	rplT//carB//aidB//glpK//codA//katE//iscS//fucI//ydhW//leuO//argP//mntS//cysH//ttdR//dps//ppiA//fnr//norW//srlE//hipB//prpE//argF//borD//xylR//ybhS//
RcsB-BglJ	rbsK//luxS//csgE//lolA//dinD//entD//metQ//tam//yqjH//cyoD//ynbA//dnaN//paaB//gudP//chiP//yiaL//
RelB	slp//ldtB//mhpF//
RelB-RelE	fhuA//znuB//cpxR//
RhaR	hisQ//nagB//
RhaS	ptsG//mdtD//epd//aroL//nikR//fau//
Rob	pqiA//infC//caiT//hypE//dhaR//flgB//baeS//glnK//gpmA//ung//pstA//fnr//entC//hybE//add//ftsL//cyoC//dcuD//rhaT//focA//rcnA//oppB//lexA//acnB//fucK//ybhL//
RstA	pepA//tisB//puuP//atoA//nrdE//waaY//garP//phnC//sroA//fucK//
RtcR	astD//glxR//
RutR	cyoD//ydfX//yciG//rdoA//fliT//nrfC//cysI//ubiX//cysP//gltI//feaR//hypB//allC//mpl//uvrY//agaV//yeaH//
SdiA	pdeR//ccmF//glpK//hyaC//cysJ//
SgrR	ynfH//melR//paaJ//citE//ttdT//pgaA//rsmH//tauB//acnB//
SlyA	sgbH//
SoxR	tpiA//nrdE//rseC//
SoxS	nikA//mhpE//emrA//fliM//aroH//phoU//agaV//uvrB//yqhG//nrdG//rclC//pspB//ompW//gspO//fldA//rutR//agaW//ynfE//baeR//qseC//lexA//lysO//hns//glpK//iscR//pqiA//thiQ//phnG//rhaA//leuB//ompC//gatD//pyrC//truB//ydeO//gspH//gspG//lsrF//pheS//fruB//
StpA	dgkA//nrdB//copA//pyrC//glnG//mazE//glmU//
SutR	ygiA//garD//mdtB//rpoH//ybfN//
TdcA	cheW//ygdB//focA//cysD//araB//relE//rnlB//
TdcR	yhdX//gspJ//fucI//murQ//yiaK//codA//rbsB//
TorR	hcp//cysC//creB//tauD//yjhC//uxaC//narL//pqiA//entS//sulA//gudP//narX//
TreR	ynbA//murR//
TrpR	talA//nadB//caiF//rbsD//phoE//potI//ubiX//murQ//codB//glpX//rutB//fucA//
TyrR	aroM//rffM//metI//chbA//mazE//ykgO//creC//ydeM//uvrY//purE//aroG//paaC//
UhpA	wzzE//
UidR	lldP//sroD//dhaL//rpoE//
UlaR	hcaD//glpQ//uxuB//leuB//pdhR//ryhB//metH//
UvrY	nuoN//nuoE//garR//argG//nmpC//
UxuR	phnG//yafN//hha//aceK//cydC//aroP//insK//tdcA//nrfG//
XapR	agaR//ddpC//
XylR	gor//evgS//nanT//araD//narX//mdtE//cytR//
YdeO	mazF//ydhT//lacZ//caiA//ybiT//ftnA//nadA//rob//mglC//iscA//gspG//zraR//uof//caiT//xapA//yefM//srlD//sutR//purA//argT//ynfG//
YedW	zraP//ascF//exbB//purF//slp//nrdA//ybhG//dkgA//norV//rstA//hycG//fepG//
YefM	mhpA//glmY//
YefM-YoeB	pspF//rutG//
YehT	yneM//
YeiL	pdeL//
YiaJ	garR//mpaA//exuT//fumB//ftsL//ygbK//ybdN//glcD//yciX//htpG//
YjjQ	gntT//ytfE//ftsQ//rseA//hipA//gntK//casB//rutF//bhsA//yegR//
YpdB	lyxK//
YqhC	tonB//adiA//
YqjI	oxyS//gltF//
ZntR	phnF//
ZraR	metR//uvrC//torC//
Zur	malS//degP//emrY//paaA//deoA//gadF//
