#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	uvrY//alaS//
ExuR	tehA//epd//sbmA//tdcB//nanA//ibaG//bhsA//rfe//ssuD//
FabR	argC//glyA//
FadR	mqsA//wzyE//gcvA//hcaR//fliH//ybhG//ubiA//rseA//flhE//hisM//potH//frc//yjeV//acrZ//sgrR//rprA//gspC//glpF//ldtC//fecD//yhbS//dctA//ccmA//
FeaR	entE//fliZ//
FhlA	tpiA//fliR//nuoK//phoH//ccmB//ynjI//mnmG//rcsA//gcvP//yeaR//tsr//gntP//casA//ygiZ//eda//recC//dsbG//deoB//ycjG//citD//nuoH//narK//agaD//lsrA//hypD//yibQ//yrbL//dsdX//kdpF//fldB//
FlhDC	alkA//hycB//ebgC//nuoL//qseC//symE//ynfF//yqaE//codA//paaG//ibaG//hyfR//yibQ//phnP//wecC//hyfD//ycjY//intQ//paaD//rpoH//paaI//ptrA//dnaG//ydhV//folA//potI//waaY//gltF//phnG//manY//nagA//paaD//leuB//creD//puuC//hyaE//asnB//metJ//moaA//ftnA//pgaA//nrfD//ydhY//cecR//deoC//trpB//nirB//srlA//mqsR//aceA//uspE//iscU//fliF//frdD//ttdR//allC//crr//accD//citX//dinD//prpD//add//carA//chbA//fucP//decR//ydcU//rffM//fixX//ddpD//ascB//tauB//ccmB//gltJ//focB//paaA//yfiB//garP//ddpD//cusR//ydeM//modC//
FliZ	nrfB//hycG//phoU//rbsD//oppB//torC//fliO//pheT//gspH//nanK//hyaA//pgaA//iscR//mgtA//flgG//xylR//lpxD//folA//cspI//sroD//ruvA//
FucR	alaC//gudP//fldA//rpoD//ppiD//thrS//atoD//
Fur	metC//uidB//purK//dpiA//srlD//hcaD//ihfA//soxR//yafP//fdhF//agaB//arsR//yidQ//yhjA//yeaE//mngA//mtr//mdtE//tdcC//ykgO//entE//ascF//lsrA//mscM//alsA//galP//norW//hha//gspK//lacY//hybA//dhaR//mlc//erpA//yfdV//ompN//pheT//mgtL//rarA//uxuR//guaA//hyaF//seqA//yafQ//paaC//sgrR//trpR//mhpE//wecE//yedX//agaI//hyfE//hybC//yfiB//yjeV//pstA//hycC//hyfF//astE//glmY//fliA//entD//ybaT//fliD//flhE//mqsR//mngB//cecR//fliZ//nuoI//ppc//lgoR//umuC//rutF//ymjD//murC//hyfJ//tdcB//yafP//purE//ptsG//fucI//tyrB//ymiA//ddpC//hisJ//ruvA//aroL//trpA//sgrR//ydfN//fixA//umuD//rbsK//hcaF//fliL//ppsA//dsdC//hmp//glmY//flgN//glcE//rhaT//murF//ttdB//aroM//dcuA//hycE//kbaZ//fadL//ymiA//rstA//argA//manX//rpiB//gnd//yjbE//gutQ//yqjH//guaB//fecC//cvpA//ynbA//hokD//dinJ//pspB//cyoA//entB//yhcH//dinI//
GadE	ssuE//lsrK//aspA//idnD//sufA//aroL//phoU//srlA//omrB//narG//cusF//phnN//ftnB//mgtL//ybhL//creD//oxc//purE//pagP//grcA//metK//fucU//malI//fadA//envC//gudD//poxB//nfsA//gpmA//
GadE-RcsB	ompF//nirB//argP//yciX//flhB//hyi//tyrA//cas2//narL//
GadW	rpsU//pheT//hypA//hokD//psiE//lpd//allA//cusA//mqsR//ybiT//fiu//fucO//ubiA//yciE//ulaA//
GadX	fdnI//dpiA//glcA//skp//fumC//ykiA//yhiM//hybD//frc//insD//uvrD//ydeI//hemH//degP//fhuA//hyfA//agaR//ruvB//thiQ//ydcS//ycgZ//obgE//slp//fliL//ynfF//galR//pyrC//fucR//hybB//
GalR	wcaA//icd//rpmI//ybdN//yeiL//cysU//glpF//glcB//phnP//gadE//
GalS	relA//psiE//ydfE//uvrA//nemR//agaI//nuoJ//phoE//uxuR//ampC//
GatR	gcvT//ugpB//agaA//flgJ//ahpF//garD//
GcvA	yhdX//cbl//hcaR//fabG//hybA//
GlcC	oppB//potF//uof//pspF//aroL//dcuD//fruA//
GlpR	ydfX//narG//glmS//oxc//dsbC//fixX//yeaD//ddpD//mtr//
GlrR	nfsA//lsrR//araB//exuR//srlD//
GntR	rdoA//xylB//mazF//gdhA//fepD//uidC//mqsR//pdeH//fhlA//lpxA//gspG//tolC//
GutM	tauA//dsdX//frdC//relE//citG//gadC//dcuA//
GutR	flgI//malX//manZ//napA//fecA//emrB//dapD//
HU	nanT//gadW//nrdI//torR//treB//uvrD//sufA//rutG//yiaN//
HcaR	xylA//ddpD//ugpB//oppA//zinT//hcr//
HdfR	fliA//hemH//mlrA//osmC//yneM//
HigA	wzzE//exbD//
HigB-HigA	tyrB//glxR//
HipAB	ydcT//napC//flhC//pgm//galP//
HipB	cpxA//ybjC//hemL//potH//nanE//cecR//
HyfR	lysO//ugpE//trpC//higA//emrA//flgJ//pheS//modC//dinD//hycH//puuA//hyfG//
HypT	agaR//araB//fabD//xylA//patD//mtr//nikE//ygiC//lhgO//carB//araB//thiP//nfuA//
IclR	malT//glcA//guaB//galM//
IdnR	phoR//ygdB//hybO//cysH//bglJ//fixX//atoA//
IlvY	cho//ydfX//
IscR	ydcT//murR//wzc//gor//ppsA//uspA//acrB//yagK//argC//ymjD//frdB//uvrB//cysA//malS//higB//rnlB//trpR//dinB//gatB//glgX//ymjD//ygeH//mhpE//slp//rhaT//carB//ybhS//cspI//ddpD//dcuR//dctA//ykgM//
KdgR	metJ//mtlA//
KdpE	yafQ//oppD//cadC//sdhA//
LacI	mraY//phnL//flgB//
LeuO	sufA//gntT//gspO//asnB//yiaN//truB//kbp//uidR//acrR//yiaM//chbA//gdhA//mpaA//aceK//qseB//eno//zwf//sodA//ftsA//ppdB//
LexA	edd//dsdC//exuT//glnL//phnI//gntT//cecR//ddpD//iscS//gloA//agaS//ruvB//cysN//cysJ//uvrC//sufS//rplU//hypF//qseC//yiiS//flhC//gspK//yecT//glk//ppdB//xylB//isrC//fadB//rpiR//flgF//tam//sfsB//fimB//fliJ//nanA//wzzE//sufS//rpiR//sbmA//thrS//ada//accA//ccmA//sufA//leuC//dacC//pstB//rffG//uvrD//bioD//gpmA//gntT//flgD//nanM//caiT//phnH//recB//efeU_2//ugpB//
LldR	yjjQ//recN//dacC//
LrhA	hypE//pspC//hyfC//purE//
LsrR	dgkA//yiiS//nanE//ydcT//deoA//murR//lolA//glcB//uxuB//
LysR	ugpA//ybjC//
MalI	tbpA//nagC//rutE//
MalT	evgS//fepE//gntK//ybjG//rybB//guaB//fucP//dgcZ//caiC//bdm//
MarA	rbsB//gcvA//rffG//dmsC//mazG//feoB//yciE//recA//gadF//zraP//hyfC//gadF//rpoD//gadA//cynS//malG//astC//glxK//cra//hyfG//agaV//cynS//fhuC//rbsC//astD//paaI//adiC//argO//rtcB//mscM//malG//gpmA//dacC//xylR//nuoF//phnJ//murQ//ebgC//
MarR	tisB//uvrC//lldD//
MatA	recD//mgtA//paaH//fumB//cyoB//pgm//yqaE//glk//
MazE	cysP//nagE//yecR//
MazE-MazF	yjjQ//hyfC//dmsA//
McbR	ppdC//rtcA//nhaR//torA//
MelR	cusC//ftnA//argT//
MetJ	uxaB//sgrT//spy//uspA//lrhA//ecpR//relA//nikA//hyfH//ymgA//sroD//gadW//agaV//hflD//rbsD//
MetR	ccmG//gatC//metH//nrdI//uidC//
MhpR	argA//lpxC//lysA//ynfH//cysU//nuoE//
Mlc	lldR//purH//aslB//yhcH//hlyE//ynjI//bacA//ynbC//gltF//fhuB//
MlrA	lacA//agaI//entH//fdnG//ftsQ//hypC//cynS//flgA//guaA//mcbA//
MngR	purK//tauD//ftsK//
MntR	acrR//nlpA//fes//xylG//hypB//
ModE	glgP//mgrB//metY//ddpD//nikB//rutE//rclA//fucO//malX//malS//lldD//hisJ//sodA//chiP//ykgM//yebG//hycE//yeaH//hokE//pgaD//gltL//dmsA//aroG//ynfE//rtcA//cysE//hyaA//fhuA//dsrA//gadY//gutQ//higB//mdtE//feoB//sutR//emrA//sufE//hybO//ybhR//ykgM//gltI//glxR//ftsQ//ugpQ//tauA//fabH//
MprA	ppiD//gntK//ppc//slp//dcuB//yjbE//
MqsA	gatD//gspM//osmY//ycgR//fdnH//csgA//carB//agaV//
MraZ	setA//ssuE//pgi//garR//cynT//emrA//aspC//ynbB//tynA//rcnA//ccmF//allA//efeU_2//dinB//nrdD//ynbB//metQ//
MtlR	ybaS//nuoF//zinT//
MurR	ccmG//gcvA//nagA//
Nac	malE//arsC//pspC//truB//yiaJ//ydhV//puuR//hycA//acrB//rprA//ppiA//exbB//aroL//bglF//tolC//yeaE//efeU_2//chbC//malM//hyfR//malK//
NadR	agaR//rybB//sdhC//sroA//
NagC	sufA//gadY//psiE//bluF//obgE//yciX//rbsC//galE//phoE//tehA//uspD//garD//mhpF//fadJ//araH//rhaS//udp//rbsB//mprA//paaA//ybhL//prpC//yidQ//fliN//deoB//moaC//tonB//hyfB//gltB//gspK//fliK//aroG//tcyP//cynX//ecpR//garK//lolA//
NanR	malE//nrdI//yeaH//pstB//tolC//ybdN//ybhF//fabB//osmY//glgX//aldA//
NarL	grxA//bhsA//ebgA//dmsC//mgrB//pstC//araD//copA//yfbR//mdtA//fldB//glpB//trpR//yqjH//purA//cydC//hisM//narK//tnaA//paaE//entD//nrdA//cpxQ//pepA//gadX//yqaE//ftsK//mqsA//rimP//tauB//nac//folE//murQ//katE//yjiY//rbsA//hns//ttdT//pspF//pdeH//puuC//rpoH//ydcS//mraY//flgB//sgrR//rhaD//hypF//garD//aspA//ttdT//mglB//patA//sucC//guaA//allE//tnaC//acrZ//recX//cspE//ydeN//yeiL//ulaD//prs//mgrR//gspF//patD//pgpC//lacA//hyfG//trpA//cueO//pflB//fpr//accA//gloA//yjhB//tcyP//ybbW//gudX//yiiS//pspE//ulaA//sufC//metN//yccJ//ccmA//cyoC//gltD//hypF//cysD//nrdA//treR//hybF//xylB//tolC//melA//nupG//rcnB//glnA//xylR//acrD//hcaF//allD//ompC//hypF//flhD//rob//sodA//yfbR//cheA//nrfA//ybiT//glnQ//glpF//ydjM//narH//phnN//fliG//entB//relA//ibaG//yccT//
NarP	zraR//araE//hcr//rhaD//nrdG//cas1//ulaB//acnB//gspK//phoQ//paaZ//ydhX//mioC//rstB//lpxD//lexA//trxC//uidB//flu//mgtL//fliJ//mdtB//yiiS//ptsI//folE//flgK//hmp//malE//uvrB//wzyE//evgA//ydhV//rbsR//yhjC//pyrD//mhpF//phoB//yrbL//pstC//nemA//gdhA//entS//fucU//wzxE//idnK//ydcU//paaD//ybjC//tauC//glpB//
NemR	nrdH//hslJ//citE//
NhaR	nhaA//astD//yqjA//tehA//fliO//alkA//ssuC//
NikR	acnB//glpB//dinI//nadB//idnK//wzc//
NimR	pspD//entC//
NorR	lrhA//fucR//nikR//
NrdR	tolC//paaG//phoA//rclC//ymgA//soxS//sufC//murQ//cyoC//
NsrR	nirC//prpB//paaG//ssuC//omrB//nanT//gadA//dinD//rffM//cysB//nikC//gltJ//hcaB//ybhL//uvrB//uidA//accC//malX//gspL//sufS//rffC//lysP//hemL//tynA//ftsW//wzb//sgrT//ydeI//ydcU//malE//wcaB//napF//ddpD//gudP//oppF//phnE_1//narX//nanM//malQ//rhaD//ydcS//mprA//yciG//sufS//ddpD//oppD//fepD//nikD//bglF//lrhA//hybC//putA//puuE//rybA//prpB//gltI//murP//tdcG//lsrR//galT//potF//aceF//asnB//fecI//fliQ//caiT//tsx//ompF//acnB//asnA//lrhA//hyfB//prpE//cysD//alsA//pepA//entS//omrB//yccA//murP//nrfB//aroP//casD//
NtrC	ppiD//ldtC//hycE//bdcA//ccmB//gabT//argA//hisJ//paaG//yjhC//casA//ddpD//moaC//hcr//sdhD//argT//yebE//ycjX//epd//narX//bioF//nanS//glk//ccmG//mdtD//cynS//gltI//prs//gudX//grxA//ppsA//idnT//pyrC//gspJ//hyi//btuB//pgpC//atoE//aroP//appC//gor//osmC//ung//dkgB//polA//mngR//yafQ//dsdX//osmC//
OmpR	murP//fldA//norV//fabI//flhE//yegH//purC//ddpF//hycC//phoB//ttdA//omrB//obgE//nrdE//seqA//cadC//moaA//yegR//ynfF//yqaE//pyrC//
OxyR	agaV//ilvC//yjhC//dmsA//fabA//flgH//ybdZ//wcaB//chbA//glgP//nrdA//cysI//yhbE//borD//iclR//gntU//arsC//wza//talA//fixB//nrfG//dsrA//chbF//arsC//paaJ//ycdZ//gnd//yccA//ccmB//bluF//hybG//ibaG//purN//rimP//
PaaX	dpiA//asr//ttdT//garD//hyfE//metR//csgE//stpA//modC//purC//dacC//aceF//moaE//hisP//
PdeL	rclC//
PdhR	glpC//hycI//cysB//srlE//putA//fecI//mlc//dsdX//cyoE//ebgA//yafN//ycjG//mraZ//argI//bdm//puuC//fepE//glmS//cheA//yhiD//ycjF//manX//gspC//ymjC//narX//murR//ycjF//sucC//yoaC//zinT//flgB//argP//ynfF//atoD//glnP//cvpA//caiC//ssuE//pstA//yjhC//uidC//
PepA	fhuF//rpmI//rhaS//
PgrR	rtcA//uvrD//yfbR//glk//tnaC//frdA//ygeA//ldtC//
PhoB	galP//sutR//nrfG//recX//fhuD//tdcA//ddpF//gspC//hyaA//nikD//gabP//arsR//wcaB//flhE//tnaC//dhaM//cadC//creD//hycG//cbl//flgC//pstA//argT//pitB//cpxQ//ilvY//ssrS//znuC//nrdE//rseC//yjhC//yoaG//symE//dps//fadB//mazG//grcA//nuoF//melB//prpE//yccJ//hycF//alsA//ecnB//yjbE//ynjI//acnA//hypA//uxaB//cas1//yfiR//rutD//dcuR//metA//treR//hcr//ecpA//ydjM//mhpC//ynbD//
PhoP	cynT//entD//hycE//purF//paaB//hyfC//flgJ//sgbE//rcsA//csiD//idnO//yeaH//artQ//mdtE//dmsA//pdeH//tyrP//feoC//umuD//araE//cydB//tdcC//cho//ttdA//rclB//potI//nfuA//garD//xylA//yfaE//rutD//glgB//envC//argF//recF//codA//wcaA//malQ//lyxK//nagC//dinJ//paaG//glpD//higB//sbcC//folE//treR//mdtC//ynbB//alsA//citE//ybbW//ubiA//nuoK//sbcD//recX//
PrpR	csgC//mntH//yebE//murF//iraM//
PspF	ygbK//gltD//fiu//entE//nlpA//rutE//btuB//
PurR	sulA//bioB//ydeN//galP//uspA//accA//treC//dmsC//rfe//metA//gspO//alsB//garL//ynfG//nuoF//feoB//rutR//pykF//yhbT//flgA//cvpA//hypE//yjjZ//alsC//tyrR//entA//hipB//pspE//cydB//tam//hyfD//
PutA	kdpA//glcE//
PuuR	bacA//slp//fhuC//tisB//flu//yiaM//dacC//
QseB	casE//paaJ//amn//mioC//
RbsR	sucD//fruK//lpxA//accA//yiaL//gadC//marR//cheW//glnA//
RcdA	cyoC//puuB//yebE//rclC//ydcS//exuR//asr//hyaE//araH//
RclR	hcr//codA//htpG//
RcnR	pheT//nuoA//tcyJ//
RcsAB	yqjI//pck//ldtC//ddpD//fpr//garP//gnd//acrZ//kdpC//ssb//uspE//fucR//dinF//cra//rplU//ddpA//
RcsB	ybhL//pyrD//yncE//ybfE//soxS//ydiU//pykF//dmsC//gcvP//metC//efeU_2//phnK//ttdR//ldtC//ndh//nimT//ytfE//rybB//rbsK//soxS//chbF//gadW//rprA//rhaS//cecR//
RcsB-BglJ	zntA//yhiM//murF//soxR//yccJ//argP//ilvC//mlrA//gor//yedX//mdtD//entH//lpd//hycG//tdcA//rhaT//
RelB	serA//fbaB//cynR//
RelB-RelE	chbA//fliZ//yfiR//
RhaR	artI//mtlD//
RhaS	caiE//fabH//citF//nagE//poxB//fliL//
Rob	flgI//ybaT//yjjZ//rhaT//degP//lsrA//frdD//ftnB//ldtD//glmU//yhcH//xylR//zraP//mipA//nirB//rpiR//cynX//gatC//phoR//nuoJ//mgrR//rimP//glcB//psiE//hemL//dmsC//
RstA	lamB//ykgO//oppD//purB//cynX//pagP//hycI//malI//ddpX//csgD//
RtcR	phoH//csgF//
RutR	malX//kdpB//znuB//sufC//fepG//qseB//ydcT//glgB//csgC//napF//yciE//emrB//bglF//mazE//yqjI//ung//mazF//
SdiA	phnC//glcE//sbmA//cyoC//oppF//
SgrR	yfdX//talA//nuoB//ulaB//lamB//wcaA//asnB//dapD//hyfB//
SlyA	prpE//
SoxR	uspD//ihfA//ycdZ//
SoxS	ssuD//glgC//mngR//argR//creC//ptsH//nrdG//psiF//purH//ompF//argF//fabI//appX//fixB//bamE//ccmB//rbsD//rclB//paaD//nirB//yqjH//gutQ//ppc//yeaR//yeaE//fldA//yiaN//fau//agaC//rseC//feoA//ydiV//glgA//ycdZ//rplT//sgrR//fixX//yjhB//idnK//ycgR//
StpA	fepB//dnaN//nmpC//gltK//ydcV//xylA//ssuD//
SutR	asnC//umuD//aceE//araG//pgpC//
TdcA	slt//fliZ//mraZ//deoD//mglB//araH//mpl//
TdcR	ugpE//aceB//gatD//ddpF//garD//yecR//hyfH//
TorR	osmB//ndh//hisJ//galT//malI//yaiW//ybiT//srlA//appB//ydfX//rcnR//rhaT//
TreR	betI//fecC//
TrpR	ygiA//gntU//sroA//sucC//nirC//napA//yafO//betT//uvrA//yafQ//deoC//cas1//
TyrR	norV//recF//gabD//ydhX//hisM//hcp//kbp//aroG//mpl//yciW//gspO//wzyE//
UhpA	nrdH//
UidR	argR//csgA//nanC//sufB//
UlaR	tdcF//yjhC//eda//narG//dctA//purM//ykgM//
UvrY	glxK//envC//hybE//nusA//pheT//
UxuR	ruvB//sdhA//gadF//dmsB//fabG//sbcD//phoQ//potF//paaF//
XapR	wecC//xylR//
XylR	lysA//moaB//chbF//tyrB//degP//mazE//ydbD//
YdeO	cho//sucC//gcvT//ygbA//metH//yhjX//yedX//dpiA//adiA//yegZ//skp//tbpA//fpr//yciG//kbp//thiQ//osmY//lsrC//gntU//argB//yhbS//
YedW	rffC//cusB//leuL//ogt//fdnG//yqjH//ssuA//betB//nuoB//wecE//murR//fliN//
YefM	setA//lsrG//
YefM-YoeB	pflB//hybC//
YehT	aceA//
YeiL	ybfE//
YiaJ	yhbT//paaZ//argB//glpC//cysH//malS//cynR//csrC//spy//malP//
YjjQ	relA//ldtC//nhaA//fruB//glgA//cyaR//hyfF//dcuB//malT//ygiB//
YpdB	iscU//
YqhC	yqhD//envC//
YqjI	cysB//rseA//
ZntR	gatA//
ZraR	fucO//csgC//glcC//
Zur	fldB//exuR//pheS//uspA//yjeV//yjeV//
