#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	nirB//uvrC//
CpxR	ilvC//tam//cbl//aldA//glcA//fimB//flhD//ydeM//zwf//fliE//mgrB//garP//fruK//nanK//yjhC//sbmA//tyrA//dcuR//cspD//hcaF//ygaC//gltL//rpoE//uidC//lsrF//speB//hipA//yafN//ymjD//ykgO//yfdV//isrC//metC//pflB//dpiA//ugpA//tauB//wcaA//hokE//ccmC//mglC//uvrY//wcaA//xylA//mraZ//fliN//spy//setA//pepA//trpB//tehB//galE//ydfN//wzzE//ppiA//puuR//katE//infB//yhiD//rnlB//ptrA//cusR//ptsH//ydcU//pspB//metL//hyfF//pheT//ssrS//degP//
Cra	hyaB//hns//purN//fliN//alaS//aidB//rbsD//aroL//cysG//moaB//argI//rimK//ssuB//metI//nanK//rseB//yegZ//fliE//yidQ//yiiS//uspD//cra//cdaR//ttdA//glnP//galM//zinT//yqhD//glcB//mngB//lgoR//yiaM//baeS//dsrA//araB//erpA//pnp//hmp//prpD//mhpF//ydhY//fliT//xylB//cyoD//ariR//ptsH//dpiB//dctA//allE//xylH//leuA//hycG//ribA//ydeM//gntK//deoC//narG//nfuA//prpC//rbsA//fliF//ibaG//ssuC//nrfE//nrdA//garD//cysE//ttdA//ybfN//pspG//sdhD//cysI//dmsA//ddpB//mhpE//yfdV//ydfW//cysN//nemA//
CreB	tynA//pnuC//moaC//gspG//argF//
CsgD	manZ//bolA//ytfE//yqaE//yedX//agaC//lldD//bdm//rnpB//glcG//uxaB//fabA//agaS//rffH//insD//lpd//insD//yiaN//paaB//artQ//moaC//sufA//uspE//hyfH//rbsD//fliJ//micF//argD//
CsiR	rpiR//metN//baeS//norW//cysI//
CspA	fabI//aroM//
CueR	metN//malQ//dctA//tsgA//fhuD//yjhB//rimP//
CusR	ydeP//yeaD//baeR//fdnG//carA//fhuC//omrB//speA//hisJ//wzc//skp//glyA//
CynR	ulaA//nrfE//agaV//sufA//
CysB	fepG//katE//rutB//manX//glxK//gspJ//znuA//dmsD//treB//ybaT//lysC//metH//nagC//paaC//flhD//bglG//fdnH//dctA//mngR//glgA//dinD//rybA//alsE//treR//fruB//gpmM//treB//polB//hyfI//aroH//yjiY//uidA//
CytR	ybdZ//araH//mzrA//yciW//tadA//hycA//casD//yjbF//glxR//efeU_1//sgrS//cytR//glcD//
Dan	evgS//accD//lpxC//fldB//
DcuR	nfo//dhaR//soxS//isrC//ruvB//nanT//phnM//ssb//alsC//
DeoR	potG//fucK//bioC//trpE//tsr//asnA//
DhaR	nrfF//yrbL//hyfE//ccmH//
DicA	ldtB//glcB//artP//gatY//truB//xylG//yafP//hybG//
DinJ-YafQ	rstA//uxaA//nanK//
DnaA	ygiA//waaZ//rcnA//narX//fepG//fliR//citX//csgD//ykgO//melB//gatB//glcD//
DpiA	artQ//pqiA//chbG//ydfE//fumB//rnlB//ulaC//ybdZ//alsA//glmY//fucO//
DsdC	fixA//uxuA//gltD//
EbgR	uxuB//pncB//
EnvR	yfdV//infB//
EnvY	narX//umuC//
EvgA	betT//narI//gatB//patD//mhpT//pqiA//rutE//dicB//rpoD//rclA//ybbY//aceF//aroF//garK//nrfC//zinT//hybF//nrdB//betA//
ExuR	appX//tdcC//garD//ompC//galK//mpaA//tktB//ykgM//rcnB//
FabR	mdtD//torA//
FadR	rplU//yoaC//nuoN//aroL//hyfI//gcvA//rcnA//purM//glnP//ssuE//csgC//dsbA//wrbA//tdcB//sbcC//nohA//dgcN//hypF//dcuA//murP//gltK//yqhD//yeaE//
FeaR	artJ//rpoE//
FhlA	flgL//fixX//nuoA//eda//fabZ//glnP//recD//ldtB//ygbA//ppdB//hypE//narH//ascB//omrB//hycH//flgA//cadC//cpxP//ydhY//psiE//fucR//hycF//ydhY//hmp//rutD//entD//flgC//phoH//trpA//glnP//
FlhDC	fliE//pheT//nrdE//rcnR//bioC//pitB//nikA//fliS//ygbK//yidQ//flhE//hybC//sodB//lamB//nuoJ//uidB//potI//modB//gabT//fliG//mraZ//mglB//ulaG//recX//dcuA//hipB//dmsD//entA//gadC//sutR//cadA//ydiU//hipA//uidR//tnaB//allA//artJ//prpE//caiC//dinJ//glcG//ddpA//pqiB//znuC//lysO//glpC//murQ//leuL//fadL//gcvT//cysC//mioC//zinT//nrdB//rutC//prpC//sodB//nanC//fumC//exuT//artI//csgF//gapA//caiB//nikC//argO//mipA//yhhY//ftsZ//bacA//guaA//gadX//fepC//fliS//rybA//cheW//lolA//mntS//allC//acrB//yafO//ugpC//
FliZ	hcaC//rstB//flgA//caiB//mgtL//nrfB//edd//ydcS//glnP//isrC//mglA//mpaA//ftsQ//csgF//tdcC//glpT//marR//putP//oxyS//bioC//lsrG//
FucR	rplT//rclB//waaY//fimB//ynfF//yhdX//gltJ//
Fur	nagB//recD//glpD//hyfJ//glyA//hyfC//ydhX//nanT//ydfH//argP//cheW//mraZ//ompW//narH//yeaG//yjbG//cbl//dctR//gabT//tcyJ//dinD//gltJ//alsA//fliQ//hycB//bamE//lpxC//nanM//garR//flgD//rpiR//hisJ//glnH//csrB//prpE//moaA//soxR//nuoF//pspE//hyfC//cynR//rhaS//tdcB//ynjI//iscU//ycjY//cynX//hmp//yidQ//hypC//tyrB//arsC//gadX//waaZ//mzrA//alsA//nfo//cysG//ccmC//ttdR//fixB//aroM//ddpA//efeU_2//fau//wcaA//argA//paaY//gspF//hdeD//phoB//trpL//borD//dinJ//phnP//fpr//idnD//betB//alsE//motB//metE//pitB//nanE//dsdC//tadA//csgA//glcG//malK//manY//bamE//truB//glmS//dcuB//rbsD//fliI//skp//trpL//ydcT//iraM//molR_1//ihfA//fecR//nagC//nrdD//nagA//fliN//uxaA//crr//ydfE//leuC//norR//gabP//seqA//gpmA//pstC//lacZ//fur//argI//entB//malS//intQ//yeaD//rclA//amtB//glcD//fhuB//srlB//rcnA//napH//yecR//
GadE	dsdA//lpd//creC//nuoH//nuoJ//rpoH//betT//gutQ//purE//acrR//mdtF//cysM//yebG//fucA//malZ//fliC//fadB//phnC//marB//pdhR//motB//melB//ecpR//omrA//citE//glmS//pnuC//narJ//hycC//
GadE-RcsB	metI//gutQ//wzxE//fumB//modC//argB//lldR//rutR//mioC//
GadW	ftsL//cysK//yjbE//malF//mraZ//fadB//fliF//ydcV//artP//evgS//yqjI//sdhA//nuoM//puuR//yciF//
GadX	rffH//aidB//infC//tcyJ//hcaE//rcnB//spy//lrhA//idnO//ydfD//emrA//wecE//deoA//aroG//nfuA//nemR//fecC//casB//cysH//pagP//flhA//fau//phnE_2//entA//fhuC//gatA//trpL//torC//idnT//
GalR	gspK//qseC//potH//bdm//tpiA//nanT//arsB//frdA//cpxQ//recN//
GalS	waaY//flgN//srlB//ccmA//treR//gfcA//hemL//glcG//polB//ttdA//
GatR	tam//pspB//ldtC//feoB//srlD//ddpD//
GcvA	nikB//alkB//mtr//ymgA//ftsZ//
GlcC	gapA//nfuA//psiE//uidC//deoC//rhaS//purL//
GlpR	appC//ydfH//treB//dgcC//arsC//yjeV//yibQ//phnM//glnA//
GlrR	yjhC//xylR//uof//gabT//entF//
GntR	lsrC//ybhL//fucP//lsrD//fixB//alsB//paaH//mntH//ybdZ//yidQ//cecR//lpxC//
GutM	htpG//ymjC//puuR//hyfG//glnP//pck//cadA//
GutR	yebG//ykgM//ydcS//ymjD//yeiB//sbmC//tdcF//
HU	fdhF//gspG//waaY//iscS//yegR//nmpC//sucC//cusR//lsrD//
HcaR	uspA//cecR//tam//yfbR//exuT//mscM//
HdfR	dnaA//yiaL//fepD//mtlD//rpoE//
HigA	narI//soxS//
HigB-HigA	artQ//fimE//
HipAB	galR//cysG//allC//gadE//purM//
HipB	gapA//malM//polB//hyfA//ydbD//rclB//
HyfR	tauB//nrdE//omrA//recF//pgi//hemH//amtB//pyrC//yefM//sufB//baeS//trpE//
HypT	rpmI//cecR//artP//mdtC//uxuA//dtpA//marA//fau//ppsA//bluF//ycjY//kbaY//iraP//
IclR	frdA//fliI//fixX//fliF//
IdnR	cusF//mngB//nrfB//glpX//lsrD//cydC//yjbG//
IlvY	wzxE//chbC//
IscR	acrZ//ynfG//folA//cspI//thiP//ptsG//glmU//deoB//yccA//ccmH//ompC//fliF//chbA//agaA//pdeR//fhuD//ybfE//stpA//pspE//lysR//glgX//mngB//pqiB//safA//melR//glcB//ebgA//btuB//acrZ//glpD//rpiR//caiT//
KdgR	tonB//tcyJ//
KdpE	waaH//ompC//mdtE//zraP//
LacI	hycA//phnK//fixA//
LeuO	gspK//gspC//nrfB//zraS//rutF//flgF//ddlB//flgF//yfiR//tyrR//hyfB//alkB//csrB//nagB//mgrB//ynjI//sodA//yeaG//glnL//ynbC//
LexA	citG//thiP//fabH//nrdF//fau//ydhY//gudX//hipA//gpmM//mscM//cysU//ynbB//csgE//prpE//ddpX//nikR//bhsA//isrC//pstB//ynbC//znuA//dgcZ//artM//ibaG//polA//mazE//glgA//yecT//napF//hisM//csgG//nikA//aslB//ycdZ//galR//rtcB//malF//phr//sodA//tisB//ccmA//ulaG//entD//hyi//polA//yhjC//ddpA//alsB//fucK//flhE//yhhY//fiu//creC//treR//fadI//cirA//frdC//glpT//uidC//
LldR	crp//rpsU//bglG//
LrhA	leuO//higA//lpxA//sbmA//
LsrR	iraP//ulaC//caiC//chbB//ribA//ssb//ydfH//caiF//pepA//
LysR	phnN//mntH//
MalI	srlD//rbsB//ycjY//
MalT	metY//pfkA//puuP//modA//acrB//arsC//zraP//evgS//xapA//ryhB//
MarA	narG//phnI//fabB//uxaC//mngA//frdD//uxaC//yoeB//fldB//gntT//yhiM//waaZ//gspD//appC//lsrB//ynjI//ydhX//nusA//hypF//yfiB//decR//agaI//yiiS//fecB//potI//astD//oppA//ftsZ//gutM//pspF//metQ//fadE//rclB//bacA//moaB//dpiA//hyfA//lpd//
MarR	ygiC//evgA//rpsU//
MatA	gpmA//trpC//tauC//pgaD//hycA//gabD//exuT//yibQ//
MazE	metR//rtcB//dnaN//
MazE-MazF	cpxP//narL//nfo//
McbR	fliI//bdm//galR//cpxR//
MelR	moaB//ccmB//dsdC//
MetJ	motB//agaA//yeaE//murG//adiC//sucA//prpC//asr//prpB//wecE//paaA//agaB//tolC//osmB//zraS//
MetR	ychF//obgE//ybhR//dhaL//yccA//
MhpR	yoaG//ebgA//fadJ//hyfH//hisJ//csrB//
Mlc	nirB//acnB//dctA//pstB//ung//leuL//ccmF//aroG//rbsD//fabI//
MlrA	aceE//cysU//bdcA//ssb//infC//yciX//gspE//yqhG//cdd//artM//
MngR	sdhC//ykgO//gntP//
MntR	dsdA//pepA//pspA//ompC//alsE//
ModE	cysK//ascF//dhaL//tdcC//gudP//ykiA//glmS//degP//ftsI//oppD//cysD//fadA//fepG//yafQ//paaD//prpC//fucU//ebgA//lysC//fepC//yegH//bdm//nanE//rybB//prpC//ccmD//cysN//gadW//gatC//dctR//pgaD//yccA//nirB//rbsA//artI//murP//phoU//ygiC//carA//recB//wza//mhpT//caiB//gntT//yefM//ynfG//
MprA	glcD//purE//ykgO//dpiB//hycI//gudX//
MqsA	ydhX//nuoB//cysD//yedX//metE//nikD//entE//fucI//
MraZ	fliH//flgB//tpiA//marR//serA//cspD//chbC//ulaG//cpxQ//ddpD//gspH//narH//nac//chbF//fecR//cadB//flgN//
MtlR	metA//dsdC//chbF//
MurR	malP//pyrC//dnaN//
Nac	mdtA//ynbA//ddpX//yhjC//ynfF//flgL//sfsB//yebE//wzxE//purB//fadA//cdaR//flgI//mpaA//ynbD//yeiL//tdcE//ydeO//nrdD//sroA//uxaC//
NadR	ydcT//sgbU//yncE//gloA//
NagC	purM//ydbK//fhuD//hydN//tehB//phnP//glgA//recD//moaC//recC//nrdH//ydhT//bglG//yciX//yccA//ppiA//gapA//znuC//gltI//phoR//hycE//lpxA//envC//rarA//mhpT//bioC//hdeB//fliZ//artI//recX//pstC//glyA//bdm//flhE//ulaE//stpA//fecA//
NanR	rhaD//ftnA//guaA//aceB//aroF//recF//ccmD//ebgC//ddpF//metL//nemA//
NarL	cysW//leuA//lldD//nupC//fepA//nirD//hyaF//recC//ydfH//mglB//tyrR//tnaB//melB//murE//fliF//arsB//rbsK//galR//tauC//rplT//malI//dnaA//hokD//hyi//caiE//csgE//cyoD//pspF//rsmH//exbB//stpA//phnF//ugpE//nrdD//cdaR//fliH//chbC//mhpB//ugpB//fpr//sucB//ogt//atoB//aceK//rclB//ybdN//higA//tsr//flgB//fpr//cirA//accC//dapD//rbsA//fliF//tktB//murG//ugpQ//melA//rutD//nanS//ibaG//pepD//nuoC//aroG//motB//waaH//hycD//ugpC//uspE//nhaR//tpiA//serA//fimB//casD//tolC//motA//gcl//mntH//glgA//kbaZ//gspG//citE//pdeH//ybhG//fucA//zntA//ihfA//mltF//nagB//creC//rfe//yhjA//gutQ//entC//caiC//glmS//yqaE//aroM//ssrS//yfdX//yfiR//ybdZ//fucK//glnB//tsr//mgrB//yhjA//nikD//alsA//nrdE//cysP//rpsO//napH//fpr//glcA//pncB//metB//flgM//yhhY//pspG//pqiA//fliE//
NarP	gatZ//moeA//dhaK//arsB//acrD//yfiR//dinF//gcvT//mgtA//fnr//cspE//fliE//pdhR//chbG//glcC//rbsR//slt//asr//allB//ptrA//metH//fpr//mntS//hyaC//moaE//glpD//acnB//glpQ//araB//srlA//tnaC//argC//dicC//aroF//rstA//rutF//trpL//accA//nuoL//asnA//accD//fabZ//rffT//gltD//hypE//gpmM//hypE//frdA//araJ//yccT//
NemR	pspF//pflB//yebE//
NhaR	glcF//ruvB//cadC//ybfN//citX//ydeI//rclA//
NikR	pdeR//phnE_2//creC//znuB//ynfF//araH//
NimR	ydbD//dacC//
NorR	trpE//nuoL//nanS//
NrdR	frdB//paaH//ppc//ccmA//recF//sufD//ycgZ//pgaD//gspF//
NsrR	citD//glpQ//ydfN//bioB//cusA//phnH//nikB//fdnG//glgP//nuoJ//cdd//uvrA//safA//kdpA//agaR//glnP//gadW//malP//yjbE//evgS//srlB//narH//mlc//ppiD//tbpA//fliZ//ybhR//fecA//rob//fabD//katE//garD//ulaA//rtcB//prpC//nuoB//oppA//mprA//fliN//narG//csgG//ykgM//zinT//evgS//dcuS//ftsZ//pstA//araC//artJ//cspE//cvpA//fliJ//agaI//fadI//fumC//pgaA//frdA//grcA//potH//ttdA//puuA//glnD//napH//glpC//omrB//gltL//prs//ulaE//entE//chbR//fhlA//moeB//ydcV//ygbA//intQ//nusA//fliJ//rnpB//ydhY//lldP//crr//gatC//ynjI//
NtrC	hha//pspG//codB//sgbE//accD//hyfH//ymiA//tdcF//ygiB//ycgR//yhbE//stpA//ptsI//stpA//nuoN//grxD//glpB//ppdA//ydeI//ybhF//hslJ//nanT//fliT//ynfH//ymgA//flgF//dapB//ompC//csgF//glxK//agaR//tauA//zraP//ybhF//caiC//tynA//fadH//sdhD//tdcE//fabG//ymjC//frc//sdhC//chiP//metC//rutC//phnE_1//araG//chbF//
OmpR	gadF//flgE//rclB//yjjZ//waaZ//flhA//relA//fiu//glcB//ydhT//fecR//modB//sdhB//efeU_2//gatY//dnaA//rtcA//appB//aceA//uspD//slt//
OxyR	rarA//emrK//napA//nrdF//lhgO//sutR//ytfE//fucA//btuB//rpmA//hcaR//fucP//bioF//hdeD//cpxA//allA//sufC//mlc//fadA//fliZ//ybjG//iclR//hypF//dapD//gntU//pstA//garK//trpL//potF//napF//rclA//rpoD//ddpC//prpC//
PaaX	uvrC//gudX//ydhU//motB//umuC//srlR//gntX//gpmA//flgC//gnd//glpF//acrD//argC//ydeM//
PdeL	rimP//
PdhR	ung//ompW//hyaE//atoA//alsB//hcaF//hybA//ygiA//gudX//phoB//entD//mntP//mlc//yfiB//tauD//fecB//fruB//ynbD//lpxA//cysC//ygiZ//sufD//glxK//ycjY//psiE//accC//adiA//fucI//rutB//pncB//cydC//tadA//cpxA//cysE//ybhL//lysC//bhsA//gspE//lldR//purH//napG//
PepA	tyrB//hisJ//ybdN//
PgrR	uof//mazG//adiC//nhaA//flgF//nuoJ//hycD//yqhG//
PhoB	slp//glk//cbl//fucK//gpmA//hcaR//hyfA//ribA//rffG//paaC//osmB//lysO//yjbF//codB//ptsG//ygaC//sra//leuC//lsrG//relA//hcaR//murD//thiQ//sfsB//cueO//lsrK//rhaR//yoaG//asr//spy//mtr//artJ//ftsL//idnT//hybE//rhaR//astC//paaG//dmsC//crp//cspI//yiaN//cas2//ccmB//lysP//eno//ybhF//ydcS//nemR//ycjG//pgi//bglG//ydeM//pfkA//yegH//gltL//glxK//caiE//mgrR//fliS//
PhoP	ymgC//nirB//uvrA//uspA//citG//fucA//gspM//feoA//ftnB//wzb//glcD//rpoD//mltF//arsR//amtB//hyi//sufB//aroG//rpiR//garR//nuoG//ydeM//pyrC//copA//fepC//ompN//hycE//yfdE//ybdN//arsR//nhaR//yegR//yegZ//casE//yqaE//glgA//bolA//hypD//yeaD//yeaG//puuA//aidB//glnL//dsbC//modC//phnE_1//sdhC//flgD//seqA//ydhW//appA//yccA//bioC//hcaE//cusF//ptrA//
PrpR	napH//csgC//pepA//fucP//yhdX//
PspF	flu//uidB//astA//norR//sgrS//xylR//araC//
PurR	ftsI//napC//flgI//hyfA//kdpF//mhpA//torC//sufC//dinQ//ydhV//nagC//lsrK//exbB//argT//glnK//betT//gabP//ybjC//murQ//atoB//yhdX//araD//fadE//casD//relA//sufD//ulaE//bglB//citG//nohA//modC//
PutA	lgoR//mzrA//
PuuR	cysC//yafN//gapA//mpl//dctA//kdpC//napB//
QseB	gcvH//malT//ppiD//sroA//
RbsR	rseB//hcaF//frdB//ddpC//casB//araD//metI//mhpE//ycgZ//
RcdA	gadW//pstS//nuoJ//mgrB//cheW//fadE//ompT//alkB//rclB//
RclR	marB//fliH//fixC//
RcnR	glk//caiA//fixB//
RcsAB	hcp//idnK//flgG//dsdC//grxD//flgA//xapA//mprA//ascB//gadX//yjhB//glmY//gor//ymjC//ydhU//lldR//
RcsB	lacZ//fiu//xylF//ynbD//yeaE//mtlD//bacA//rstB//psiF//betB//bdcA//yqaE//waaY//carA//relE//ftsL//kdpC//napB//hcaB//ppdC//wrbA//glxR//hyfG//stpA//glpK//
RcsB-BglJ	dsrA//ptsI//ydcT//yafO//wzxE//mngA//pflB//puuC//wzb//fecC//sufS//glnL//torA//cheW//nikC//cusB//
RelB	phnG//cyoD//aspA//
RelB-RelE	rcnR//yagK//sdhC//
RhaR	hyaA//astD//
RhaS	ccmA//sgbE//nhaA//dmsB//argG//ruvB//
Rob	purN//ompW//rutC//ulaF//deoB//casC//agaV//ygbA//fepD//galK//amtB//chbB//mglB//xylB//tbpA//tdcD//galE//ychF//gspF//gcvB//ompT//flgC//yciW//yfdV//acnB//fucA//
RstA	ftsL//argB//yagK//entD//dmsC//paaK//idnD//rhaD//allD//wzyE//
RtcR	cysK//arsR//
RutR	flgH//ybfE//fecA//tnaB//ynfK//ccmA//citC//fepB//katG//rcnR//lexA//ybdN//cydB//pgaD//lhgO//ftsQ//dicC//
SdiA	mdtB//gcvT//ybfN//bioB//dgcZ//
SgrR	yciW//ndh//grxA//ftsI//sutR//entC//molR_1//pqiB//agaI//
SlyA	pykF//
SoxR	malX//pck//alsB//
SoxS	rbsR//phoR//speB//cra//uidC//nuoC//ddpB//mgtL//yfbR//csgA//fucU//symE//oxyS//tyrA//argT//sgbU//dps//narL//fixB//gabP//dctR//rffG//lpxA//nirD//purA//trpE//glnD//nhaR//sdhA//bglB//idnO//rutB//acrR//deoA//hycI//ddpB//hybB//ttdT//araG//dinG//
StpA	hyfD//uhpT//appA//napA//ybaT//zraP//ssuB//
SutR	recF//mazG//yedX//ydfE//bacA//
TdcA	dgkA//napA//phoR//fliC//hyaF//cpxP//nhaA//
TdcR	fliK//rpiB//emrK//mcbA//malZ//murG//ynfE//
TorR	sufE//ydfD//lsrA//amtB//glxK//modC//yjeV//treC//phnI//rutC//pagP//bglJ//
TreR	dinJ//entE//
TrpR	aslB//hslJ//atoA//sroD//puuE//yciG//cspI//tonB//nirC//glpB//mazF//napF//
TyrR	pgm//yfaE//mgrB//cysI//cynS//nrdE//htpG//uhpT//murF//mazG//pepA//tyrP//
UhpA	fepG//
UidR	fecE//dinQ//ftsI//osmC//
UlaR	ybfE//gcl//purE//purC//codA//yebE//rhaT//
UvrY	ttdT//paaB//fabH//fliI//betB//
UxuR	idnR//ycgR//fruK//rhaT//ybhL//rpmI//ybaT//pncB//flgL//
XapR	ptsI//poxB//
XylR	norV//cas1//accD//rutG//ppsA//flgK//yciG//
YdeO	motB//fimB//malG//gcl//fabZ//lsrK//dcuA//hybE//bolA//rpmA//motB//araJ//borD//molR_1//safA//erpA//murF//dcuD//entH//flhA//poxB//
YedW	rcsA//norW//ndh//pyrC//nanT//yidL//yafP//sra//nuoJ//oxyS//ompT//cysG//
YefM	codA//rdoA//
YefM-YoeB	agaV//yciX//
YehT	rclC//
YeiL	truB//
YiaJ	fadM//pykF//glpA//csiD//cadA//ydfN//paaC//argA//crp//kbaY//
YjjQ	rbsR//narH//psd//marB//gatY//phnO//caiA//fecA//ydhY//torR//
YpdB	hdeB//
YqhC	mhpF//hyfB//
YqjI	potF//yeaE//
ZntR	ung//
ZraR	moaB//hycH//agaR//
Zur	mzrA//pstB//yebG//ydhY//cynT//fucI//
