#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	hyfB//ldtD//
FhlA	tsx//ymjD//ybaT//potG//ybfN//rarA//cysM//pqiA//mdtF//fadJ//nadB//exuT//idnT//putA//mpl//nikB//cadC//higA//cynS//prs//bolA//efeU_2//paaX//araF//hyfA//amtB//phoP//recD//mhpB//hyfG//
FlhDC	nuoH//tam//creC//ttdT//frdC//umuC//ssrS//rpoS//codB//aroL//araG//hslJ//hycE//phnP//ydhW//ydfE//accB//alsE//flgD//flgH//yccJ//dgkA//fepA//gpmM//accC//ymgA//nuoF//paaC//lysO//hcaB//umuC//lacZ//lsrR//amtB//cysG//nirD//entE//truB//araD//xapA//creA//fecI//murF//mpl//tisB//lysO//dnaA//glpX//ssb//hcaC//tauA//sodB//osmC//fepB//glgX//phnD//murG//cbl//tsx//ftsW//flgL//appC//dicB//putP//ulaB//hcaC//uxuA//metF//gadB//ecnB//narG//gcvP//udp//gspI//allA//gltD//fucI//add//caiC//cra//ppc//astC//
FliZ	ogt//cspE//udp//yhjC//gudD//nanS//appY//tauD//wza//fecI//hcaD//dapB//soxS//ydhU//safA//cyoA//gyrA//artI//tcyJ//insK//frdC//
FucR	aceE//feoC//caiT//pheM//agaS//argI//bioF//
Fur	yqjH//allC//csgC//crl//cysJ//leuC//hdeA//mazG//acrD//sucC//ddpX//casE//tadA//ydbD//yjhB//xylA//feoC//fhuE//fliG//cyoD//rimP//phnC//flhC//gspI//nadA//ymgA//ydhU//argI//nimR//lrhA//ybaS//hlyE//lacZ//tnaC//pgm//bacA//paaF//rpoS//hyaC//allB//paaI//rpoH//grxD//nadB//omrB//prpE//gadA//setA//cysD//erpA//tdcD//ykgM//prpD//artQ//allA//prpD//csgF//yedX//lrhA//ydiU//glgA//cspD//rutR//fecR//yiaK//ulaF//gadX//udp//ydfX//dapB//flhC//mlc//hyfA//gadC//phoP//yiaK//gpmM//sdhD//fepC//pdeL//sroC//ung//flgG//cspE//ccmH//glcC//aroP//fucU//aidB//puuA//wcaB//amtB//focA//katE//nfo//astA//gadE//rffH//oxyR//pspE//treR//rsmH//gpmM//efeU_2//malQ//marR//gspD//malQ//ompW//araE//purC//ccmD//flhD//nuoA//nrdH//fliT//ygiA//agaD//dgcC//frdD//lpxC//polB//mqsR//emrY//appA//rpsU//ulaE//acrA//hyi//ccmD//
GadE	malF//recD//caiB//melB//bacA//rcnB//flgM//atoD//yfbR//grcA//mdtD//hycI//glnQ//ulaD//glk//trpB//mgtA//trpC//malY//ampC//sutR//rclA//rbsR//lolA//focB//nanA//wecB//nimT//araH//
GadE-RcsB	trpR//phnK//gutQ//hybO//rclC//nrfA//fhuE//paaZ//frdA//
GadW	metH//yjbH//narX//fliE//yccT//nrfC//ptsI//ibaG//nfuA//hyfD//aceB//rob//tnaC//malI//dsdC//
GadX	ybbW//nusA//flgK//wecB//pdeR//hokE//ariR//pgk//rseB//torA//exbB//gatZ//hypC//dnaN//trpA//emrA//gspJ//mdtD//tbpA//artP//lrp//rnlB//ariR//rpoH//gadB//wzzE//artM//gspD//purN//
GalR	paaE//pepD//gatA//yegH//csgD//ybaS//yaiW//cho//leuB//alkB//
GalS	znuC//artQ//hemH//dctR//cueO//malI//glnB//hycI//srlB//fdhF//
GatR	dnaA//tam//glxR//xapA//deoB//higA//
GcvA	osmC//deoB//hypC//artQ//murE//
GlcC	ssuC//fadH//acrZ//garL//cysU//rpoD//gspL//
GlpR	ompW//fixC//efeU_2//yjiY//mnmG//hyfF//metB//efeU_2//lacA//
GlrR	rseB//rpoS//zraR//ykgM//sufB//
GntR	accD//phnE_1//nrdA//malS//argC//alsB//glnB//kdpB//csgF//hcaB//bioF//fliE//
GutM	dicB//argT//ftnA//luxS//rbfA//glcA//yhjC//
GutR	mscM//gcl//yjeV//purB//malI//dgcZ//ydfX//
HU	cusA//malE//mtlR//gabT//exbD//accA//bioC//ftsA//dcuA//
HcaR	glpB//ung//pagP//fliQ//cecR//yecR//
HdfR	ybaS//gapA//ydbK//yhjX//ptsI//
HigA	uxuB//wcaB//
HigB-HigA	citF//ygbK//
HipAB	argE//degP//bglJ//gltI//narX//
HipB	hmp//argC//deoD//alaS//waaZ//malK//
HyfR	citC//paaB//deoB//sucA//ftsZ//pfkA//hybB//nfuA//hdeB//gspO//recC//xylR//
HypT	agaC//fruA//gntX//ulaG//nimT//hyfG//ibaG//modA//frdA//hyfR//hypB//codA//asnB//
IclR	astC//ptrA//gatB//mcbA//
IdnR	yegH//nanT//csgB//phoA//nikB//ftsW//sucC//
IlvY	gcvT//yqhG//
IscR	fixB//argH//yeiB//lsrG//fecB//ftnB//aspC//agaA//ydfE//uxuA//metF//idnK//aroG//pgk//ptsH//accD//phnG//gntK//gatB//tam//ppdB//gadY//cyoD//argR//cysE//slt//yciX//rutR//nrdF//argI//nrdF//ydbK//
KdgR	uxuR//mraY//
KdpE	caiT//glpT//yiaJ//yegR//
LacI	tsx//tauD//crp//
LeuO	argP//ydiU//nfuA//nanK//hybD//purM//truB//omrA//rprA//pheS//gltJ//decR//ugpB//fadJ//recF//ccmB//cydD//folE//aspC//casA//
LexA	tdcA//motA//focB//flgM//dnaG//norV//yciX//waaY//fliM//mhpE//xylB//nagE//hisM//bolA//hemL//patA//yhdX//gabP//cysM//cysB//nrfF//cydB//bluF//ppc//znuA//fadR//yfiR//ymiA//yaiA//ynbB//ybbY//pyrD//fiu//gcvT//rpiB//csgE//ldtB//malK//phnL//alsE//glpD//osmC//ccmD//flgF//patA//hdeB//hypF//puuB//yidL//melB//fumB//yiaN//uspA//lyxK//glnG//mpl//ugpA//gudP//ynbD//
LldR	dctA//yhbE//agaC//
LrhA	mhpD//entC//marA//rhaD//
LsrR	arsB//astC//nikA//dmsC//hycF//srlE//ykgM//purN//yaiA//
LysR	murG//wecB//
MalI	nrfE//yhdX//galR//
MalT	garK//ddpB//trpD//ybjG//araC//ompN//mgrB//chbG//hycA//oppB//
MarA	phnI//purF//prpR//yfiR//metN//ynfE//moeA//napA//galP//murD//yafN//yncE//grxA//prpR//fabA//atoA//lsrR//mnmG//thiP//fliH//znuC//frdB//fldA//xapA//csiD//ruvB//mprA//nrdE//yqjH//eda//flgL//cydC//nikB//rpiB//adhE//hydN//speB//pgaC//
MarR	phnH//ydeM//nikA//
MatA	marR//yegR//kdpA//rbsD//fabA//yeaG//ttdT//nimT//
MazE	fecE//fhlA//emrA//
MazE-MazF	ftsW//rpoS//agaA//
McbR	yqjH//casE//lpxD//rutG//
MelR	evgA//fnr//ydeP//
MetJ	putA//artQ//flgB//fepE//murQ//ydeM//wzc//mhpB//aidB//sufE//yefM//mpl//nrdB//leuA//mlc//
MetR	glgX//flhD//chbF//murG//seqA//
MhpR	glpX//glgC//yfdV//udp//flgH//mpl//
Mlc	aspA//hyfF//mngA//mdtD//creA//malP//fixC//hycC//pgaB//tisB//
MlrA	napD//glxK//adiC//araJ//mscM//treB//gabT//cysI//hdeB//aroF//
MngR	yecT//rnlB//ccmC//
MntR	uxuA//oppC//alaC//ssuD//potI//
ModE	uspE//murC//fliA//malX//rcnB//tyrP//appA//gcvT//sbmC//grcA//pgm//nrdE//dhaM//idnK//argT//hyfD//gntT//yiaO//metB//phoH//nuoA//dcuR//gspI//dicB//arsC//sgbE//cvpA//bioA//ugpB//yafO//hipA//hcaR//glcA//aceK//artP//isrC//gcvB//treB//zraP//focB//phnK//dhaR//katE//ykgO//lpxC//nrfF//
MprA	exbB//rstB//ydeM//wrbA//pspC//intQ//
MqsA	gspG//fhuC//dacC//sgrS//ydhT//ynbD//serA//ldtB//
MraZ	rstA//ydeM//waaZ//ygeH//ydbK//malX//gdhA//napD//flgF//mlrA//citF//lysR//ccmC//fliQ//borD//napG//paaB//
MtlR	phoE//gudP//rcnB//
MurR	citG//fliM//narL//
Nac	cpxA//bioD//rutE//phnI//ydeO//feoA//ybhG//dhaR//thrS//dsbA//rnlB//gspF//iscA//yegH//chbR//relE//trpR//gadF//alaC//ydhV//rpoH//
NadR	ycjY//treB//gltF//frdB//
NagC	garK//nagC//lpxA//ppiD//mcbA//galM//nanA//hyfD//entA//pstS//dcuS//napB//znuC//dinF//dmsA//nagE//yiaJ//zraP//gabT//mltF//ydfX//yqaE//kdpF//yidQ//puuD//accA//ynbB//mhpT//fadE//codB//pdhR//hcaF//cdaR//agaA//hcaD//ycjG//sra//
NanR	fadR//glnK//gadW//pepA//ydeN//mtlD//gspC//ftsZ//cusA//betB//mngB//
NarL	cyoA//napB//ulaD//pspF//nrdA//rpoE//yhjA//glnA//astA//ycdZ//tcyJ//glmY//gnd//yiaO//sfsB//ompC//chbB//cpxP//uspA//lolA//kbp//srlB//cheW//tehB//metC//yagK//paaH//ldtB//aroG//puuR//metF//yeaG//nikD//nirB//sgrT//nikR//fixA//hyfA//slyB//gutQ//rffM//murQ//rclA//cynR//yhiM//sodB//pepA//aroL//fixB//flgB//dinJ//rffM//pgaD//nirD//fruB//gltB//gspE//rutC//wrbA//yafN//fepE//prpE//csrC//folA//nuoC//xylG//grcA//rplU//pagP//fabH//phnE_1//tonB//phnJ//phnO//galT//intQ//argI//patD//tehA//zinT//fucO//hflD//hcr//phnM//sgrR//tnaC//sdhB//fbaB//dsdX//evgA//ymjD//polB//rybB//metN//pdeR//ilvC//mhpD//yciE//sufC//dgcZ//ycgR//ydfN//gabD//paaG//melB//moaC//aidB//srlE//spy//malM//hdeA//lexA//ydeN//napC//phr//mscM//kdpB//nrdH//phr//rpsO//cusS//creC//moaB//
NarP	potG//fabI//hokE//malK//gabP//nfo//metE//ugpB//dsrA//argI//ppdC//dctR//nuoH//metF//yhiM//mazG//nuoK//rhaB//emrY//rpsU//moaA//gadW//nanA//dtpA//yoaC//uxuB//zraR//emrK//iscA//rutA//ndh//gabT//mpl//cho//trpA//paaH//glnG//uspA//marR//nrdI//ydeN//ynbB//agaR//fliT//gabT//ftnB//glpB//hybG//argG//omrB//
NemR	pspB//nrdB//glcD//
NhaR	yjiY//mazG//flu//mtr//sulA//frdA//yqhD//
NikR	nanS//bglB//idnK//cyoE//fepA//rbsB//
NimR	ybdN//dgcZ//
NorR	ugpA//moaE//lysP//
NrdR	mntH//ssuB//ybdN//yfdV//rbsD//cueO//nrdA//sbcC//mglA//
NsrR	lsrG//purK//mglB//gadE//flu//crr//rhaR//hisJ//rpsU//rplT//hycG//fabI//purA//dcuB//csgD//mglC//cynS//gadY//flhB//hyaD//nanA//cadB//ascF//katG//ygiZ//metI//uvrA//hokE//sufB//phoB//sucB//nikR//phoB//cysE//cas1//zraS//yidQ//sbmC//glgC//rutB//galP//aceE//csgC//gutM//nuoF//tdcB//cysN//hybA//hyfG//uspD//cspD//umuD//ynfE//agaD//rhaD//gltJ//glgB//tyrP//tnaA//soxR//yiaL//trpR//uxaC//gpmA//rpmI//emrB//yhdX//glnQ//cysG//frdD//cra//hcp//nikD//nrdD//yhcH//ynbB//ccmA//rplU//argD//fau//malT//lysC//lon//
NtrC	relE//sgrS//mipA//narK//yeaE//ppdB//inaA//wzxE//yegH//glpA//betB//gntK//nmpC//phoA//crl//phoH//fabB//rutC//ppiA//araF//mraY//garL//potH//hyaB//hcaR//metH//manY//rutA//murP//seqA//yoaG//cpxQ//glmS//cas2//gadX//chbB//yfdV//btuB//ddlB//csgD//ybdN//potG//paaY//wcaA//srlR//yiaM//aroG//kdpF//gspF//
OmpR	phoP//purF//wzb//marB//astE//glnD//rhaT//ccmD//bioC//nanC//efeU_2//phoQ//marB//mtlR//setA//accB//ssuE//nanA//glmU//gloA//mraZ//
OxyR	manX//nuoB//gatB//aldA//nohA//fhuA//cyaR//ppdB//mtr//ddpX//argA//alaS//mhpD//flgN//putP//fliN//cytR//ubiA//malF//htpG//sroC//recB//mnmG//fliA//metJ//nlpA//adiA//hyfC//gatZ//gntU//cyoB//baeS//yqaE//fadE//
PaaX	kdpB//glgX//hypF//rutB//dinI//pspF//mngB//hycG//gudX//aroL//yiaK//fabA//rbsR//eno//
PdeL	araF//
PdhR	yhdW//fumC//nikC//napH//ydhX//aspC//lpxC//fliE//argF//nuoC//glpX//hcp//rnlB//ydfN//cysI//pspA//glpX//allA//nusA//glnA//aidB//serA//gadA//manZ//ftsK//gadY//phoQ//yciX//cysM//cspE//rbsA//marA//bolA//srlR//allS//purA//astE//argT//fepD//baeR//rhaB//
PepA	caiT//paaH//fepA//
PgrR	cysB//torR//idnK//tauC//sufS//yfbR//glcB//cpxQ//
PhoB	cysC//paaY//moaB//rhaD//agaW//cirA//nuoE//malF//efeU_2//narH//accA//umpH//pyrC//cspE//sdhA//gadC//ynfH//kdpF//glpA//potG//putP//citF//yfiB//argH//purC//grxD//fhlA//mtlR//cheW//infB//uspD//cpxA//ibaG//patA//rbsR//deoB//galK//leuB//dapD//paaK//galS//pnp//rarA//tsx//nanK//glnK//puuB//manX//tdcB//nuoI//yqjI//efeU_2//alsC//rdoA//pheM//nikD//tnaC//symE//fecA//yhiM//
PhoP	thiQ//adiA//nadA//tyrB//polA//grxD//sdhC//znuB//argG//idnT//agaR//yoaC//gcvP//acnA//lacA//mglC//nuoN//caiT//dinD//ddlB//srlE//narX//betB//gspD//gntU//ompW//ugpQ//alaC//caiC//wzc//nrfD//bioB//bglB//mgrB//nanS//fepB//yncE//efeU_2//yhbE//marB//alkA//agaS//phoE//trpE//ddpC//ccmD//yfdV//intQ//appX//agaD//lamB//uvrC//yiaL//yafP//ascB//fpr//
PrpR	marA//phnN//emrA//hisM//hycG//
PspF	accC//nuoG//idnT//trpL//hokD//hypD//nagC//
PurR	ydiV//glgB//zraS//sra//malY//ynfE//gabT//yhbT//yfiR//cyoB//yccJ//mprA//glnA//rpmA//yhiD//citF//exbD//glpC//degP//ccmC//uspD//fliG//appA//glnP//rutD//pflB//betB//zraR//yebG//yqhG//bdm//
PutA	pnuC//yhiM//
PuuR	ecnB//fumC//hyaA//stpA//citG//fhuA//ybbY//
QseB	focB//tdcF//pnuC//gpmA//
RbsR	fadE//ftsA//pykF//yoeB//dhaK//metJ//flhC//ygeH//borD//
RcdA	yiaM//manX//fliG//purK//mdtC//torD//cynX//fliG//hlyE//
RclR	yqjH//hyfD//ygbK//
RcnR	rutF//nrfE//hyaD//
RcsAB	hycF//hyaC//ddpX//osmB//ahpF//phnH//nadA//aceE//tam//fumC//fumB//napG//fadJ//yedX//paaY//hyfC//
RcsB	napC//phnM//uidB//modB//nupC//torD//yhjA//yhiD//add//asnB//mgrB//ydjM//puuA//rybA//ccmC//focA//hycI//nuoK//sufC//fadR//cyoE//kbaY//rclA//yfbR//paaZ//
RcsB-BglJ	ycjF//bdm//allA//codB//ygiZ//trxC//soxS//rcnB//fliS//sodA//fdhF//argA//gltJ//cra//idnK//nmpC//
RelB	lsrA//yhcH//ydhU//
RelB-RelE	pagP//fecI//infC//
RhaR	yafP//citX//
RhaS	ihfA//fucU//yjiY//ybfE//amtB//rybB//
Rob	rseB//gadW//phnE_2//fucO//gltF//torC//yneM//speA//srlD//kbaZ//nac//mdtD//bdcA//gntP//rnpB//rutA//gatC//rtcB//moeA//rhaB//polA//ugpC//yqhD//puuC//gltL//pykF//
RstA	mdtD//gutQ//agaB//xylB//sufB//wzc//malI//cspD//moaA//fes//
RtcR	nikC//mraZ//
RutR	hyaE//fumB//pqiA//creD//nanK//dacC//hypC//ccmH//metQ//paaF//mnmG//yeaH//yecR//flu//flgB//ssb//sufS//
SdiA	iscA//rcnA//tehB//cynS//speB//
SgrR	ydiV//garR//pspC//arsB//cheW//ttdR//nuoH//lysP//uvrC//
SlyA	agaB//
SoxR	flgI//hyfF//hybB//
SoxS	hycE//yegH//nuoN//csgE//yiaO//yhjX//insD//fliC//purH//ddpX//cspE//fixC//ulaF//ccmG//mhpE//cecR//betA//glpX//paaJ//ymgA//gadC//slp//tauD//torD//alsB//cyaR//isrC//motB//dkgB//gspE//arsB//cspD//phoU//ugpQ//nuoK//hyfH//waaH//dinD//nlpA//marR//
StpA	ftsQ//potF//rstB//ulaA//ybfN//frdC//uspA//
SutR	yoaG//sra//cusA//hcaR//kbaZ//
TdcA	pqiA//ygeA//galK//metI//artI//gapA//yjbE//
TdcR	nirC//nanK//tbpA//yhcH//oppB//mhpB//fnr//
TorR	hybG//dcuB//feaR//gadY//gadA//yjhB//feoB//hcaE//cyoA//nadA//trpD//fucO//
TreR	fliQ//fepC//
TrpR	psd//pgaA//gspC//marB//pnp//dinI//flgG//yoaG//pflB//malX//ygaC//amtB//
TyrR	cusR//sgrS//intQ//higB//tdcC//glmY//fimB//glgX//spy//purM//sufC//araG//
UhpA	cbl//
UidR	trpC//rclB//entD//yqaE//
UlaR	ccmH//ssuB//astD//ccmA//nikE//ryhB//sroC//
UvrY	cyoB//yoaC//entB//dtpA//torR//
UxuR	phoQ//yciW//fadI//malX//dhaL//astB//tsr//ftnA//fliH//
XapR	ssb//rffT//
XylR	umpH//lsrR//oppD//cysJ//symE//hypC//sufC//
YdeO	fliL//ulaA//hokE//flhB//gspK//mcbA//acrA//cysM//caiF//ybbW//isrC//entF//poxB//lysR//nfuA//paaY//uxaB//dicC//purB//fbaB//tonB//
YedW	ygaC//uxuR//tktB//phnD//trpA//mhpF//deoD//patD//rsmH//wza//fepB//entE//
YefM	fadB//wcaA//
YefM-YoeB	efeU_2//aldA//
YehT	cynS//
YeiL	hyfC//
YiaJ	guaB//nrdA//metQ//prpR//phnH//mazG//allB//psiF//flgG//yhjA//
YjjQ	relE//ymjC//deoA//uspA//mzrA//dcuA//uxaA//umuD//sgrS//napG//
YpdB	cpxQ//
YqhC	lpd//uspD//
YqjI	gapA//ihfA//
ZntR	znuC//
ZraR	zraR//fimB//fliL//
Zur	yfiB//mhpF//bamE//narI//mlrA//dsbG//
