#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	ftsK//yhjX//
Cbl	pspF//higB//nrdI//sgbH//cydB//higA//ompW//argB//ydfN//
CdaR	ompT//pnp//tadA//wzb//srlB//dctR//zwf//adhE//dnaA//lamB//
CecR	ptsH//gspD//znuA//chbF//ecpA//
ChbR	mdtF//aroF//entH//lpxC//pgi//gadF//
ComR	tynA//
CpxR	iscR//intQ//fadA//mtlR//metN//paaJ//hybD//ptsG//mdh//lyxK//sbmC//pepD//uvrC//paaE//rpsU//pdeR//flgN//mscM//ydeP//srlD//hdeA//dpiA//entD//hypF//lsrR//lsrD//yrbL//qseB//ppdB//feoB//agaC//gadB//dmsA//yfbR//ynbD//fruA//ugpB//hycE//yedX//caiB//fadB//uhpT//araC//mipA//lhgO//lacY//ymjC//rcnR//wzc//focA//csiD//hdeD//frdD//nuoC//astA//hipA//caiD//argC//ymgC//artJ//mhpD//allS//dsbA//yciE//rbfA//ynfK//ybhL//rimK//csgE//ygdB//
Cra	metR//rutF//feaR//wecC//ptsG//fucI//casA//hyfG//yccT//bglB//cysP//rbsC//ssuB//tomB//ydeM//nanM//nlpA//inaA//napH//flgF//hyaE//ynbD//ftsA//csiD//nikC//srlA//gatB//artP//garP//nuoF//dicB//dcuR//glpQ//hdeB//creA//cusR//rpmA//oxyR//gfcA//galM//nuoE//ppiD//puuE//yhiM//stpA//dtpA//pheS//lsrC//sufA//ybaT//pspD//aceK//ribA//csgE//xylH//glpB//cho//ybdZ//sbmA//yqhG//mhpB//fecR//nuoI//uxuR//ftsZ//fecI//hybE//arsC//prpE//argG//polA//eno//caiC//dinQ//ccmB//gspK//rhaA//allC//ybhS//
CreB	bioD//puuD//citE//hybE//paaH//
CsgD	ftsZ//fliT//argG//agaD//uspE//yhbS//galP//iraP//fabZ//amn//pflB//ymiA//dnaN//tbpA//pdeL//nlpA//ybhL//nikA//ygeH//ryhB//purC//gadC//ddpB//evgA//csgA//molR_1//pyrD//purB//
CsiR	rffH//mzrA//idnT//baeS//accA//
CspA	accC//glnG//
CueR	kdpF//pspA//nrdB//yqaE//yfdX//dgkA//yhjX//
CusR	modB//yhbT//relE//rcnA//glcA//uspA//cysC//nuoM//yecT//fhuB//hisP//tynA//
CynR	lldR//aceA//metJ//ulaF//
CysB	dkgB//rpoE//fecA//malY//yegH//paaZ//tdcD//ybhR//hypB//gspF//nikR//hybA//paaZ//safA//tcyP//bdcA//fecB//fabA//gspI//fadA//nanT//uvrA//lysP//rseC//wzb//sufC//marB//galR//qseC//fucR//gadW//rimK//
CytR	csgE//tauB//metB//ompC//nupG//deoD//fabG//ydfE//rutG//bglB//cadA//gadA//emrB//
Dan	pheS//fecA//lacZ//yhdY//
DcuR	fadR//malG//pqiB//ssuB//feaB//ygdB//yjhB//rybB//hycA//
DeoR	nuoC//ppc//ynfK//ugpB//ydeN//treB//
DhaR	ppdC//dnaN//dsdX//potI//
DicA	nusA//mntH//mdtE//mpaA//fliD//tyrA//rbfA//grxA//
DinJ-YafQ	nikR//lon//manX//
DnaA	soxR//dmsC//potF//fldB//ftnA//paaB//relB//pqiA//tdcG//ugpC//purB//mprA//
DpiA	phnD//uhpT//ugpE//ccmA//speA//adhE//sucA//yhjA//yhdX//lsrC//moaC//
DsdC	mazE//murF//lacY//
EbgR	accB//rcnB//
EnvR	soxR//phnH//
EnvY	fliQ//uvrB//
EvgA	yedX//rbsB//srlA//allS//fecE//fliD//fliD//chbC//nohA//ybhG//dinJ//astA//gspH//gltI//aroL//gltJ//fhuC//fepE//acrR//
ExuR	yagK//fadB//araB//ygeH//fepG//ssb//rutA//gcvT//ydbD//
FabR	nikE//fadR//
FadR	caiF//ydfN//paaK//recD//yrbL//yfdX//ydeI//atoB//oppD//ybdZ//hyfH//torR//purR//lpxD//hcp//ttdB//bhsA//frc//zraP//ftsW//dinI//flgH//flgN//
FeaR	yefM//yhbE//
FhlA	cspE//yjbE//efeU_1//rseB//mhpE//ttdR//ugpA//nuoM//agaV//dicB//nikR//galS//cysD//murG//ssuA//metK//sufD//idnO//uxuR//ykgO//gspO//fdnI//ygaC//flgF//rbsA//uxaC//mhpA//ecpR//cheW//zraR//
FlhDC	arsC//rsmH//citF//ynfE//gnd//nirD//metY//cpxR//cynR//lhgO//rhaD//iscS//hcaB//purD//fadB//cspE//yhjC//paaH//pyrC//prpD//phnM//pqiB//thiQ//phoR//zraR//yhdY//ycgZ//fpr//metR//sgrR//cyoC//gatA//frdD//prpC//gspL//cpxA//ydcU//gltD//rplU//fliF//gltF//ebgC//malS//fliE//ygiA//rffG//sbmC//ubiA//hycH//cadC//ykgO//rsmH//phnN//fepE//rffH//cyoB//cspE//iclR//gspI//hdeA//edd//uxuR//ompT//rbfA//rpoH//yqhD//kbaZ//bdcA//prpC//icd//kdpB//cdaR//napG//lsrC//acnB//hyfF//ascB//yebE//arsB//ung//frdC//allS//
FliZ	ccmG//gpmM//hyfC//hycF//bdm//yedX//argH//casA//ppdC//hybE//paaD//hyaA//cyoB//yecR//oxyS//yfdV//moaE//napF//potG//qseC//hybC//
FucR	patD//bglG//fliP//rimP//rcnA//recA//gspE//
Fur	glk//phoU//dnaA//rutE//csrC//pyrC//cysP//ruvA//gadC//purL//narX//bglG//metJ//modB//ygaC//polA//nlpA//nupG//murI//csgA//narI//ybbY//slyB//yafO//bolA//metB//gspO//paaZ//codB//paaD//skp//napG//yfdE//glcA//mazF//rstB//rhaA//ynjI//fepC//ubiX//phnH//tonB//murE//agaV//aroG//nfsA//frdA//trpL//glnK//rcnR//arsR//rhaA//sufD//wzxE//acnA//pstB//napF//lsrG//mdtF//wza//rhaS//dnaN//arsB//lysP//moeB//trpL//phnG//ryhB//ebgA//yhjX//modA//metN//glnD//ynfK//flgK//mglA//dinB//ecpA//yhhY//yfaE//dnaA//paaG//metL//tdcA//iscR//murQ//ubiA//adiA//ddpX//ddpA//talA//higB//ppdC//idnO//nrdH//qseB//rsmH//hcaE//ygeH//uidC//narI//paaF//metJ//speA//gcl//sodB//sroD//sbmA//sufA//argR//pheS//gltL//xapA//flgK//chbR//hypB//gadW//nanT//dsdC//araB//fucU//flhC//sucB//caiF//purK//ydeP//ugpE//dinI//modC//metI//
GadE	accD//fliE//zntA//mhpA//fepE//lpxA//pncB//alaC//ybbW//idnR//yciF//wecE//qseB//psd//ygbK//sdhA//csrC//iraM//feoC//nrfC//puuD//ruvA//fdnH//tehA//puuP//modC//purD//psd//narH//
GadE-RcsB	cdaR//fadM//sucC//lhgO//ppdA//grxD//moaD//cpxQ//asnB//
GadW	stpA//cadA//pspA//kdpF//nrfD//fau//nrdH//paaY//fbaB//ompW//xapA//fdnI//nikC//prs//paaE//
GadX	metY//fliA//dinQ//glnB//osmY//prpR//caiE//yagK//cynS//pykF//acrZ//yjbG//yciW//yjhC//dnaG//hyaB//yjhC//fbaA//ppsA//dacC//aceF//hyaF//mngB//napC//cspD//talA//metB//ftsL//dkgB//
GalR	rhaT//dcuS//mtlR//csrC//cyoA//phoB//casB//phnG//adhE//erpA//
GalS	cynR//rtcB//cyoC//ydbD//ydhY//pagP//hybF//yoeB//ascB//ynfK//
GatR	narH//borD//nrdD//ugpE//nanS//nikC//
GcvA	rffT//ihfA//mgrR//hyfH//phoU//
GlcC	flhD//flhB//dicC//cydB//uvrD//lpxD//astA//
GlpR	mtlR//nrdB//patD//pyrD//dps//yiaO//polB//ycjG//hyaF//
GlrR	rcnB//zntA//ftsZ//ygaC//rimP//
GntR	ugpE//sra//gntT//dpiB//mglB//potH//oxyR//sufC//hyfI//dapB//wrbA//ybhL//
GutM	garP//torC//phoB//ddlB//uxaC//insK//yjbH//
GutR	hybB//entF//mdtC//nanA//cecR//cysE//ycdZ//
HU	ytfE//bioB//gltK//tnaA//caiF//alaS//fpr//efeU_1//ftsW//
HcaR	paaE//efeU_2//norV//mqsA//hycC//ppc//
HdfR	nadA//mtr//dmsC//ppiD//mraZ//
HigA	focA//osmC//
HigB-HigA	lysC//sgrR//
HipAB	poxB//nirD//tomB//exbB//gspK//
HipB	srlB//ydeI//mqsA//cysK//bglF//pykF//
HyfR	puuC//yecT//hybF//ssuD//yiiS//mhpB//trpB//gntT//chbR//paaD//purB//safA//
HypT	mdtD//baeS//rffC//hyaF//ccmB//fliS//ftsQ//nrdB//napH//paaE//malE//nimT//grxA//
IclR	yiaN//cydD//insK//sbmA//
IdnR	glpT//yjbF//garL//rpmI//carA//rpiR//lsrR//
IlvY	lhgO//treB//
IscR	guaB//emrY//appC//fdnG//hflD//gloA//bioD//ddpX//yafP//pck//nrfA//lamB//fdnG//hybE//asnB//fliG//polB//moaB//yfdV//lsrF//rybA//purC//fucU//wzyE//yhjX//adhE//alkB//mglC//rbsB//ulaB//xapB//lysP//
KdgR	patD//metR//
KdpE	narG//tonB//murP//cynS//
LacI	accD//ugpC//baeS//
LeuO	uvrB//asr//metL//pitB//srlA//alkB//cusF//xylF//csgD//phnE_1//hycE//fhuF//galK//tehB//rnlB//ddpF//fixA//gadA//ymjC//cpxQ//
LexA	phoA//dps//yedX//manY//yciW//sdhB//fecD//sucA//ybfN//nusA//ptsG//yqjA//yfiB//ccmG//ftsI//yhbT//motA//mtr//putP//gntK//pdeL//ftnA//mgrR//fadH//nrfB//yidQ//fhuA//malS//wecB//lsrA//araC//nrfG//acrZ//osmC//ybaS//ulaF//yaiW//fabB//mhpD//puuD//gpmM//hycE//wzc//slt//phnJ//pdeL//tadA//mntP//torA//ulaG//yiaM//sbmC//yhcH//glcA//flgM//mhpE//pyrD//tnaB//fliM//
LldR	bamE//pgpC//aceF//
LrhA	dcuS//sdhC//ynfK//rhaR//
LsrR	yccA//ecpA//ydhW//nrdI//tehA//feaB//yfdV//tauD//ybdZ//
LysR	marR//casB//
MalI	nrdB//sgrR//nikE//
MalT	murF//allC//nikR//pspG//malZ//glcE//creB//ygbK//hybD//ppiD//
MarA	uidB//bglG//hybA//nikR//tktB//nrdA//ubiC//yfdV//torC//gcvA//gatB//argF//lsrD//bglF//infC//envC//rhaT//aceF//ydcS//codB//nikR//appB//puuE//ugpQ//bglB//nhaR//gspJ//ynbB//tdcB//uxuA//obgE//nikA//ydeM//oppA//rutD//nfsA//ymjC//yhbT//
MarR	yciG//nrdH//ptsI//
MatA	yeaR//hycF//napD//marB//creD//cho//cvpA//cysD//
MazE	araD//malS//ccmG//
MazE-MazF	paaD//srlD//sdhC//
McbR	fecB//ogt//ibaG//rplT//
MelR	bolA//ssuD//ftsW//
MetJ	nmpC//yeaG//aroM//gnd//yeaG//lacY//mngR//astB//bhsA//rhaB//prpR//mntS//idnD//mazE//yidL//
MetR	alkA//yhjA//dsdA//pspF//yciF//
MhpR	fhuC//rob//xylB//fepD//ompN//recN//
Mlc	gadY//caiB//betB//rbsD//melR//lysP//entH//cydB//alkB//nanC//
MlrA	relE//ogt//ykiA//yoaC//arsR//fimB//rhaT//nuoK//moaA//nikB//
MngR	hyfE//allA//oxyR//
MntR	mdtE//rseA//gcvB//prs//paaI//
ModE	citX//marR//soxR//flgF//rpmI//yqaE//argA//hybC//dtpA//melB//narI//hdeA//yiaJ//gspD//phnL//yjbF//appC//alaS//ymjC//adiA//nirC//caiD//rpmI//nuoM//metE//nrdG//glpK//yeaG//ykgM//glpK//rcnB//artI//ydhT//mdtF//ycjY//uhpT//ftsL//dinJ//rclB//gadB//dinD//tnaA//pstB//psd//sdhC//yiaM//
MprA	entE//rutC//hyfE//mdtF//glnD//dinJ//
MqsA	amn//yhjA//csrB//tehB//grxD//yhjC//pykF//hslJ//
MraZ	fepG//mhpC//ribA//cusC//ascB//hycB//citX//hyaB//tolC//flhE//glnG//moeB//yiaO//lpxC//oxc//caiA//srlD//
MtlR	metR//recX//ecpA//
MurR	cra//mdtB//fhuA//
Nac	rbsD//gadE//ddpA//hisM//hyfJ//lsrR//pheM//ugpQ//allC//pyrD//phoH//nlpA//kbp//ulaA//asr//agaC//rffC//lsrB//ynfH//fadL//tnaA//
NadR	pgaA//nagB//gatB//uidC//
NagC	pgaC//wzyE//tehA//oxyR//fau//sodB//paaX//fecB//ulaG//garR//uidR//cho//malT//cusB//metB//argE//gcvT//glcF//csgE//yhbT//ugpC//flgF//uvrD//mntS//sra//tktB//dmsB//ymjC//artJ//aslB//betI//crp//crl//citX//sgbE//pstC//puuD//
NanR	idnO//fepA//mltF//mglA//udp//yedX//mdtA//ssuC//hcaD//tbpA//hdeB//
NarL	potH//ugpQ//recX//rplU//idnO//gltK//cadB//agaA//putP//gcvT//yhdZ//yqjA//xapA//emrB//cueO//ydhY//ppc//moaA//mgtL//mntS//efeU_2//hyaE//tsx//ygiB//hydN//asnC//rclC//hcaC//omrA//slyB//casA//dmsA//bglG//flgM//murE//epd//murQ//pdhR//gntU//nikE//araJ//sufC//yhcH//csgE//tehA//accB//fecA//gutM//gyrA//hybA//amtB//mnmG//fumC//ppiD//hcaC//rnlA//flgI//tbpA//dsbC//leuB//yjhC//metQ//hokE//yhjC//rhaA//tauB//nupG//gltF//fabZ//glcB//prpD//hyaE//appA//gspH//hypB//ykiA//gadF//sbcC//leuC//trpR//pstS//appA//ampC//dinJ//gcvP//oppA//cadC//ubiA//aroP//gcvT//eda//mglA//metN//ompW//dnaN//aceE//pstA//oppD//rffM//hmp//hns//poxB//cyoC//malF//entS//lsrK//ddpF//bacA//cdd//pflB//dmsB//marR//exuT//yjeV//entA//gltI//creD//sucD//prpD//phnO//hycB//fes//obgE//
NarP	phoQ//csiD//betA//lldR//phoP//yegH//nmpC//garP//fnr//sucC//cusR//metF//glnG//cusC//hha//osmC//uvrY//tehB//lysO//atoE//aceE//malS//qseC//paaE//nanK//rffH//sucD//lpd//lysA//hyaC//moaD//dctR//mcbA//hycH//hybC//zntA//tyrR//chbC//ccmF//rtcB//ymgC//narI//cdd//nfuA//melR//phnE_2//fldA//yaiA//mhpE//ccmG//
NemR	lpd//fecR//glpT//
NhaR	cynR//glyA//sucC//fecD//rimK//phoA//tam//
NikR	cdd//tyrR//citC//astE//focA//mgrB//
NimR	focB//uvrY//
NorR	melR//mnmG//srlA//
NrdR	dsdC//rpoE//acrB//lsrR//hyfG//fruB//fepA//nrdE//glgB//
NsrR	fecR//purB//hcaD//flgL//glmU//exuT//agaV//ycgZ//gspL//yhjC//ybhL//hyfR//btuB//fabH//citD//sbcC//rutC//ydjM//nfsB//baeR//yagK//cusB//mprA//malZ//mhpT//paaA//cysP//fbaA//nupC//casD//rhaA//sufD//pspA//fabD//ybjN//phoR//bioC//ybhR//fadR//treC//ycjX//hcaE//pgaB//rutA//bglB//trpD//yjjZ//glcA//puuC//intQ//purE//obgE//nuoC//pspE//dinQ//lysO//yhhY//rffH//fabZ//hokD//allS//uspD//oppD//fepG//glpT//icd//bhsA//mngB//wrbA//znuC//emrA//xylG//ynbB//casA//melB//nuoG//csrB//gudP//pspE//uspE//yegR//appY//entB//
NtrC	oppA//ydfH//napC//malS//nuoJ//fliR//ynjI//ygiC//gntU//sbmA//marR//ydjM//emrY//dps//gfcA//lrhA//rbsC//ybbW//spy//insK//ptrA//tnaB//gadW//frdA//argB//torA//araH//lysP//gntX//hyaA//hcr//ptsH//rpmA//fadB//csgA//molR_1//nirB//ynbD//gspG//argE//nanE//argA//entD//lldR//yneM//rnlA//ugpA//malP//sbcD//
OmpR	hycC//ccmH//flgJ//hybA//araA//patA//pheS//glnP//malM//yeaH//ydiV//melB//exbD//paaE//yqaE//ebgA//glcC//codB//uvrY//lexA//adiC//
OxyR	pck//nupG//argA//rnpB//gatC//yebE//dcuA//glcG//yhiM//nusA//fecR//glxK//serA//paaD//cysB//omrB//glmY//tisB//phoH//mgrR//hycF//motB//xylF//murP//yidL//accB//setA//tolC//mhpE//ybiT//yjbG//flgI//ftsZ//hyfG//
PaaX	slyB//manY//nrdB//yhjA//hyaF//fliP//sutR//napA//ptrA//chbF//ecpR//lhgO//hisP//ubiC//
PdeL	rcnR//
PdhR	ulaA//mhpC//codA//yqjA//yfiB//galK//mgtL//tyrR//wcaA//cysM//leuO//cyoA//gudX//hyfF//chbF//flgL//pgaB//hisQ//yiaK//flgJ//cpxQ//soxS//psiF//tcyJ//yefM//lsrR//modB//gcvT//putA//oxc//sroA//puuD//frdC//putP//paaJ//hcaC//sodB//serA//ttdT//argA//yiiS//
PepA	nimT//cydA//metA//
PgrR	sutR//chiP//thiP//hycE//phnE_2//fliN//gutM//ybdN//
PhoB	potI//fdnI//recD//glcB//cheW//gatY//feoB//tsgA//argP//rutC//astE//narX//fepD//hypA//ycdZ//skp//potH//micF//ybfE//potF//hcaD//rob//yfdX//flu//bioD//moeB//ndh//grxD//malT//srlD//phnL//fhuD//galT//ycjX//wzzE//seqA//feoA//exuT//uvrY//mazF//lamB//aldA//cadC//ttdR//frc//alsE//exbB//pgaD//lsrK//marA//phnO//nrdI//hcaE//ftsI//rpmI//fruA//gadY//ydeM//uidB//phoR//
PhoP	aceK//hyfF//lysA//agaV//nikE//lpxA//ybdZ//zwf//ptsH//ykiA//phoP//yjhC//mtr//glmS//sufS//ydiV//ddpA//yjbE//hflD//ycgR//katG//cueO//yciG//srlE//znuC//metH//gfcA//motA//araJ//purR//mpaA//yhiM//rbsB//rarA//hyi//fliO//paaI//nemA//tnaB//nadB//ybiT//garK//yhbT//fliI//kdpB//qseC//fliR//nikB//sufC//cecR//gltI//yeiL//cysA//puuA//phoQ//phnF//
PrpR	trpL//fbaB//mngB//hybE//allS//
PspF	gadW//rutC//fbaA//uvrB//adiA//pgk//potH//
PurR	aslB//yjbG//erpA//metQ//hyaD//atoA//fdnG//tonB//nrfE//uspD//yccA//fiu//napA//gadB//ulaA//pflB//lexA//serA//purK//dgcN//pgm//yjbG//rprA//ftnA//tsr//casC//sufS//ibaG//mqsA//ldtB//torA//
PutA	acnA//ruvB//
PuuR	lsrB//metL//yjhB//alaC//garD//gpmA//casB//
QseB	ccmH//hyfR//ydfN//phnL//
RbsR	pitB//pqiB//ygdB//hypA//ycgR//ddpF//tisB//modB//moaC//
RcdA	purC//pnuC//pstC//hyfB//ubiA//gadW//focB//ybbY//thiQ//
RclR	hycI//dctA//ynfE//
RcnR	nagC//soxS//slp//
RcsAB	pgaD//ugpC//cysK//bglJ//adiC//uidC//mhpD//metK//hha//dkgA//cyoD//asnC//hyaE//slyB//srlR//hyaA//
RcsB	fecB//trpA//cysK//moaA//evgS//fucA//citE//fecD//glpF//ydhY//hyfJ//narG//lysC//nfo//ptsH//gadC//lacA//fliT//uvrB//lsrG//phnO//ybbW//narX//srlB//fucU//
RcsB-BglJ	fucO//fruK//cusR//frdC//deoB//nanE//gapA//yegR//ugpQ//cysJ//rpoS//cpxP//uxaB//malI//nanA//acrD//
RelB	appX//lsrA//tyrA//
RelB-RelE	ssuD//rutG//fadM//
RhaR	moeB//cdd//
RhaS	emrK//srlA//inaA//asnC//ydfW//umuC//
Rob	fepG//metB//mipA//ddpC//truB//symE//deoC//sbcC//wzxE//sroD//malI//frdD//sulA//pdeL//paaB//ybhL//zraP//bdcA//sdhC//fhlA//tauA//chbG//rplT//relA//lpxC//lacZ//
RstA	moaA//baeS//pstC//mepH//nhaR//rstB//idnR//nuoC//yqhD//fabZ//
RtcR	agaS//fhuB//
RutR	malY//isrC//ppdA//gntU//feoC//marB//ddpX//hyaC//sdhA//dkgB//rhaS//rfe//bioC//tcyJ//phoQ//gltJ//rhaS//
SdiA	prpE//ttdT//uspD//tdcE//casD//
SgrR	xylA//glcB//qseC//gltJ//purE//hybC//evgS//uspA//ydhT//
SlyA	phoA//
SoxR	rplU//ynjI//cusR//
SoxS	ydjM//tauD//tauC//bacA//yiiS//agaA//hyaF//obgE//lamB//gabD//lhgO//glnK//cusB//dcuB//malP//recN//nac//ccmF//copA//prpB//ybaS//nimR//hflD//baeR//rpoH//fepA//argE//obgE//csgG//talA//mpaA//phnN//hyfB//ssuD//accC//narX//srlR//nrfC//malG//fpr//
StpA	astE//artP//nuoM//znuB//astA//leuB//phnM//
SutR	cheA//fabB//nrfC//fruB//rutD//
TdcA	micF//kbaY//ccmB//lsrB//ariR//sgbU//fliA//
TdcR	uspA//aldA//ugpQ//intQ//infC//ldtB//sutR//
TorR	cynS//fepC//mtlD//prpB//ada//uxaB//fliT//ygiA//oppA//nikA//bacA//entB//
TreR	ydfH//bdcA//
TrpR	tdcC//metR//hycD//ygiA//nemR//sucD//tsx//tsr//yiaM//hipA//isrC//ftsI//
TyrR	wza//iscA//sgrT//cusA//uvrA//cysU//aroL//galP//nadA//metH//garR//hcaE//
UhpA	glnG//
UidR	fliR//paaD//ulaB//ugpE//
UlaR	ssuB//ubiC//entD//trpB//glgC//torD//citF//
UvrY	fhlA//ddpD//hypB//metH//atoD//
UxuR	cyoC//dinJ//appX//dnaA//fumC//higB//mgtA//hisQ//rhaB//
XapR	treB//acrR//
XylR	garD//gnd//asnC//efeU_2//flgK//sgrT//alsA//
YdeO	ynjI//yjbG//copA//ahpC//mntS//fixC//mngB//alsE//rutF//caiD//dinG//fliF//nimT//csgG//purN//pepA//tam//glcC//entC//mhpT//dcuD//
YedW	bamE//glcB//galS//flgD//manX//ompN//seqA//metJ//ydhU//hcr//yciX//lyxK//
YefM	ptsH//ybfN//
YefM-YoeB	umuC//wzzE//
YehT	arsB//
YeiL	yegZ//
YiaJ	fadM//phnE_2//potH//hyfJ//uidC//tdcF//chbC//yhiD//fadB//ydfH//
YjjQ	cusA//rclA//purH//ahpC//osmB//sra//wzc//malQ//rcnA//ybjC//
YpdB	dgkA//
YqhC	napC//mioC//
YqjI	hyi//malX//
ZntR	bdm//
ZraR	ydhW//polB//hycE//
Zur	ssrS//add//hyfB//aspC//ascB//oppF//
