#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	csgA//mgrR//
FhlA	htpG//copA//phnG//garK//ygaC//ynbC//flgD//zraR//murC//argT//hyaB//metQ//cysW//fldA//ddpD//asnA//ybiT//zinT//hybG//yqaE//yiaL//flgA//sgrR//aceK//dsdA//glcB//ybhR//tdcG//ykiA//argD//
FlhDC	fliF//ddpA//sodB//garR//ydhY//nimR//glmS//garL//ynfK//citX//aceB//cysP//yoaG//leuO//agaA//uspE//citX//fdnH//recN//dhaM//tnaC//prpE//yecR//prs//hybB//rybB//cheA//tdcE//manY//ybfN//wza//ygbK//ydcU//bolA//glpD//nagE//hycG//rutD//folA//prpE//tdcF//moaB//pyrC//yhbE//rtcB//katG//nanM//nikD//accC//gntX//ygiC//cyaR//bolA//ddlB//uidC//nikD//fhuB//ftsQ//hisJ//sufA//fixA//speA//metB//putA//ldtD//cynX//ccmD//gspL//tnaA//rhaT//dctA//paaA//mtlD//aroL//spy//argE//ycjG//chbG//sroD//ulaB//yhcH//astE//
FliZ	rcnA//murG//hycC//fldA//fliG//fucR//hyfG//carB//modA//gudX//patD//accB//ung//fadD//ptsI//cysK//yqhG//hyfI//kbaY//cas2//modC//
FucR	hisJ//mgrB//sfsB//poxB//codA//cysP//astE//
Fur	gpmM//tehA//dinB//frdC//mcbA//garL//rseA//tdcC//glpC//modC//rsmH//flgB//fabH//sdhD//gadA//tyrP//phnJ//dinB//ssuB//putP//emrK//modB//phnF//dctA//murI//treR//cysU//fixX//fadD//hipB//pgpC//degP//nagC//glcE//malX//purK//gltI//grxD//purA//nuoJ//gcvH//mhpA//dhaL//nmpC//ampC//bolA//ppsA//cheA//pgpC//uxaB//znuC//feoA//fur//yeaE//lldD//patD//kbp//yegR//purN//csgC//lpxD//insD//fruA//cysM//ydhT//astB//chbG//rpsU//cas2//agaW//allS//garK//epd//rutA//malF//idnD//gloA//yqhG//ompC//fucI//agaR//rnlB//rbsC//torR//yebE//nuoG//ttdT//yciX//nikB//mntP//hycH//creD//prpC//phnD//chbA//uidC//ymgC//ariR//hyaE//glpX//kdpA//rstB//lacY//tsr//fliJ//malP//sfsB//araH//sgrT//gcl//guaB//hslJ//carB//yciE//ybfN//ynfH//yjbG//malT//stpA//phnJ//flu//ubiC//adiA//asnA//hlyE//dpiB//glpK//aroP//gyrA//ddpC//
GadE	rcnB//wrbA//creC//dgcZ//ymiA//rpoS//evgA//lon//gcvB//ccmB//melB//wcaA//ynbC//garD//hyfB//pspD//oppD//mgrR//uxuA//spy//phnJ//pqiB//degP//mtlA//metB//dhaK//argB//yjbH//dicB//
GadE-RcsB	paaH//ykgM//emrY//yjbH//lysR//carB//exuR//cdd//ahpF//
GadW	argA//dicC//ccmF//yefM//ydfW//gapA//tdcG//ybhF//cusS//casA//sulA//cydD//flgF//leuL//glgB//
GadX	exbD//flgB//csrB//hslJ//ybiT//cecR//nuoF//tehA//glmU//aceF//glcB//casC//yibQ//nuoM//ycjY//gntP//glnA//pqiA//yebG//kbp//ydbD//dhaL//ftsK//murR//murG//mhpA//nuoF//dnaG//araC//
GalR	cvpA//pdeH//mipA//dgcC//napH//lexA//ttdT//recC//hybB//leuC//
GalS	glmY//rbsA//glcA//puuE//nrdD//wcaA//lsrF//tauB//citE//hybO//
GatR	wrbA//flgG//sgbE//ydbD//leuA//rffC//
GcvA	paaB//bglB//pgk//ccmF//mntS//
GlcC	mdtB//fixA//pgm//mdtD//appB//cusS//treC//
GlpR	entH//paaH//frc//ldtB//fecA//yfiB//ydeI//luxS//cadA//
GlrR	fliH//ydhU//dmsB//yfbR//pheT//
GntR	pheM//sbmC//yjeV//tauB//uvrA//cadC//gyrA//pqiA//mhpA//mnmG//cecR//araC//
GutM	kdpA//fhuA//skp//nusA//focB//tsr//cysE//
GutR	sutR//lldD//gspO//tnaA//tauD//ddpB//casD//
HU	guaA//rutD//tsx//oxc//atoB//agaV//gspM//flgC//deoD//
HcaR	mglC//guaA//cyoD//adhE//glxR//ydhV//
HdfR	ydbK//uidR//nrfE//lpxA//dcuB//
HigA	sroD//nhaR//
HigB-HigA	csrC//gadY//
HipAB	rbsR//xylG//gltI//isrC//araJ//
HipB	rutE//puuD//hycG//mglC//glxK//feoA//
HyfR	yneM//ybhL//fixB//ompN//phnM//bioF//yoaC//lysP//fes//ddlB//metL//wcaB//
HypT	puuB//glcC//potF//metB//cysU//nuoH//fabH//hypD//spy//uidA//codA//agaC//mtr//
IclR	fadJ//phoP//nuoK//nuoB//
IdnR	hemH//cvpA//cysH//pgaB//trpE//ykiA//appA//
IlvY	fhuE//gspK//
IscR	yciF//nrfB//ydcT//pqiB//modC//iraM//fumC//casC//ecpR//cysM//nikB//cusB//phnG//malF//phoA//flgE//hmp//tdcB//galK//napB//rutG//gcvT//entB//yqjA//mhpE//yaiA//acnB//gspJ//fruK//narL//citF//yibQ//
KdgR	glnQ//accA//
KdpE	ynfK//crp//fimB//ppsA//
LacI	omrB//ydeP//nupG//
LeuO	fadB//aceE//gatC//pgaC//rimK//tpiA//murP//efeU_1//aspC//nuoH//lsrR//leuL//appA//gatZ//narX//alaS//uvrA//nhaA//prpC//hcr//
LexA	citE//phnJ//cyoD//phnF//ydhV//yagK//treC//ddpB//osmB//wzxE//lsrK//gspK//nanS//uvrD//lsrD//pstS//modA//pgaD//argE//yidQ//hyfR//fucI//pstB//hybF//mcbA//lsrB//fruK//ruvA//creA//ftsA//casD//tonB//fliF//pgm//hyfC//focA//tdcD//mntH//nrdA//mgtA//psd//dnaG//srlE//ydfX//argI//fabB//mgtL//rpsO//gor//entE//trpL//phoB//mipA//fecR//cusA//sucD//yiaJ//alkA//nanK//
LldR	creD//ubiC//csgC//
LrhA	nuoH//hyfD//icd//phoQ//
LsrR	tsgA//uvrA//hybC//pncB//nrdA//yidL//amtB//nrfB//cydC//
LysR	gntU//aroF//
MalI	nuoI//ybdN//rhaA//
MalT	glcE//nrfF//yeiB//aceF//dsbG//flgD//acrA//rclA//ftsL//accB//
MarA	dsdX//mntH//mzrA//caiA//fixA//fixA//nrdA//gspI//nrdG//appB//rbsC//relE//yedX//malM//pheS//yfbR//lsrG//csgF//accC//dsbC//cspD//rpmI//yedX//fadI//fucO//ccmG//yciG//dacC//fruA//aspC//oppF//mgrB//ftsZ//folA//glpX//nadB//pstS//nmpC//
MarR	rbsR//envC//bioD//
MatA	dcuB//dhaK//potG//nanM//udp//slyB//araA//omrB//
MazE	ynfK//hybE//degP//
MazE-MazF	thrS//fnr//ulaE//
McbR	codB//hyaD//glcD//dinI//
MelR	fbaB//phnP//motA//
MetJ	norW//hydN//leuO//thrS//ynfK//paaJ//phnH//lpxA//dcuA//hcr//cadB//metA//nrfC//cheA//bioD//
MetR	zraP//ftsZ//umpH//leuO//modA//
MhpR	fhuB//nanA//phoU//fucR//pgm//ynfG//
Mlc	crl//cheW//sodB//rybB//hyfC//phnF//dsbA//nrfB//mgrR//gudX//
MlrA	cirA//carA//fliK//oxyR//cysJ//bglB//htpG//nimT//flgL//mlc//
MngR	aroH//sbmC//fliO//
MntR	mglA//murC//ccmA//exuR//gspE//
ModE	arsR//ynfF//ulaC//narK//yfbR//ydfW//mazF//cusF//hha//cynS//hyfH//aceE//cpxA//yciF//symE//araE//idnO//ptsI//tsgA//eda//bglJ//arsR//hycE//murC//srlB//xapA//psiE//hyaC//exuT//aroL//fldA//tdcC//fliO//dinI//dinI//rcsA//bioF//flhE//rhaT//srlA//dinQ//dpiB//appB//caiD//agaB//dnaG//
MprA	rob//lysR//ldtD//atoD//obgE//fliC//
MqsA	mntH//mazG//patD//tcyJ//ydbD//cirA//murI//malG//
MraZ	pncB//uxuB//entD//dnaA//cysH//gltI//hycA//lysR//nuoK//ygiZ//phoE//caiE//recD//mazF//sroC//aldA//rhaT//
MtlR	dsdA//prpR//nikE//
MurR	accA//fixC//lolA//
Nac	fur//cpxA//wzc//yecT//paaE//malX//allS//glcC//flgK//moaD//zraS//ygeH//srlE//allE//narX//iclR//dinB//metR//hyfR//ydfX//dctR//
NadR	sgrR//nanA//glgB//nikD//
NagC	sufA//rstB//aidB//yqhD//gspI//rpsO//malF//acrB//fur//dicB//fecD//narX//narG//alsC//ccmC//yneM//pck//srlB//safA//casB//htpG//napF//skp//glgA//argP//mazF//fhuB//yfdX//dsdC//cirA//ydcV//ruvA//mlc//ttdR//sgbH//aroH//yjeV//
NanR	yidQ//epd//narH//dcuB//sgbH//ybhF//rffM//hycG//gntP//speA//phnH//
NarL	rnlA//ybiT//erpA//gspM//yhdW//fixA//wzzE//nirC//recX//pstC//zwf//yjbE//ryhB//yhbE//ygiB//purD//oppF//insK//patA//sbmA//chbF//tbpA//ycdZ//fliK//dsbC//csgA//yhjA//cynX//qseB//modA//gfcA//gltD//paaK//fruK//sfsB//fixC//fadR//metH//tynA//gltD//chiP//fau//nagB//gspC//artI//chbG//fliA//entB//casB//hcaD//yaiW//phr//murQ//sufE//chbB//dsdC//rseC//ydfX//psiE//infB//sulA//glxR//marB//puuC//sodB//yiiS//phr//aceE//dmsD//mhpB//symE//glnK//modB//molR_1//mdtB//nlpA//ynfH//ppc//dapD//murD//phoQ//cysG//pgaA//infC//dnaN//uspD//gcvH//slp//pstS//rcnA//micF//hns//fau//ydbK//yhbS//recF//purK//hcaR//ybjC//pdeR//phoE//ssuC//fecA//ynbA//gutQ//pyrD//rimP//cadA//tbpA//patD//gabD//astA//alsC//fepA//galT//puuD//rfe//gcl//nuoB//ttdA//kdpC//accD//kbp//
NarP	casD//oxc//pgaD//nupC//spy//gadF//caiF//rbfA//yafQ//manZ//ilvC//phnM//mtr//sucB//potH//hyfH//acrR//tdcG//rpmI//nuoI//fadI//yhjC//narJ//bdm//flgH//nrdG//puuD//mqsR//galS//flgE//nirC//lyxK//gntU//csgF//yccJ//purN//rpsU//uidR//fadD//intQ//oxyS//gor//ybhG//narX//slp//epd//nemR//nrfG//nuoL//tnaA//
NemR	ftsA//hyaF//xylR//
NhaR	galP//nac//norW//ribA//uspD//dhaR//sutR//
NikR	lsrG//moaB//pnuC//ecnB//yqjI//insD//
NimR	pepD//psiE//
NorR	uxuA//sodB//malT//
NrdR	paaI//ecpA//gcvT//nanE//ftsW//sroA//ydhT//ompC//nrdE//
NsrR	ybbY//evgS//fabZ//torA//rbsK//ycdZ//araG//purC//znuC//cysA//torR//asnB//csiD//ugpQ//yafO//prpC//rpoD//patD//rffC//tisB//efeU_2//ynbC//glcG//gabT//flhB//creA//aroG//cspE//garL//purR//cadB//glcF//argA//mngA//ynfE//hcaE//fucP//rutA//alaS//dinG//mazE//dmsA//hdeB//rutG//fixX//ydbD//ycjG//soxR//ppsA//rffM//yciF//norW//mntH//fldB//ydhT//csgE//tsx//ybhS//fliD//ybhS//ompC//ydbD//fabI//paaX//copA//gltI//kdpF//fbaA//narJ//hycF//ybjG//narK//tsgA//ahpF//aspA//malK//trxC//cusF//ulaA//aldA//ybbY//modC//rclC//
NtrC	hlyE//tolC//dpiB//mhpT//napH//phoA//pspF//malI//phnN//ycjG//paaZ//wzxE//wza//exuR//yeaG//dinG//wza//oppA//fliQ//fixA//dicC//rutR//kbaY//astD//dcuR//nrdH//carA//dnaA//napA//ftnA//hlyE//phoB//crp//yoaC//araH//moaB//ompW//mhpD//pepD//murE//nfuA//bamE//hcaF//dnaA//frdB//chbB//rpoH//aceK//srlA//
OmpR	dgcC//purA//nfuA//tdcD//metK//ydjM//dmsD//sufB//rsmH//hokE//tauB//cysJ//rob//sra//ttdR//garL//rbfA//yccA//yfbR//argP//hyfD//
OxyR	thiQ//lrp//ybhG//asnB//dinQ//paaG//rdoA//yafP//lsrF//creD//yhjC//yjjZ//dicC//yhdY//phnN//fabG//xapA//puuB//tdcC//ybbW//yafQ//xylR//wza//aroP//setA//hokE//infC//ada//tdcA//pncB//sdhB//hycI//ddlB//epd//
PaaX	recA//malE//ecnB//ugpB//rpsO//nohA//glcG//ptrA//yebG//phnF//aspC//pdeH//idnT//uspD//
PdeL	rybA//
PdhR	pheM//hybA//ddpX//fecI//rutC//dapB//citF//mhpT//prpE//emrK//tehB//dctA//mpl//yciE//mraY//citE//cusA//oppD//ygiB//obgE//gspO//gor//gloA//yhhY//casE//hybO//cpxA//bamE//mhpT//mpaA//pitB//xylF//psiF//dsrA//lrp//zwf//cdaR//flgJ//glgX//prpR//gspO//
PepA	cydC//glyA//ydhT//
PgrR	murI//phnN//nrfD//lldP//pdhR//infC//csgA//nupC//
PhoB	melB//uxuR//oxc//moaC//agaB//fabZ//manX//mngA//tyrA//cysB//asnB//napH//pnp//pyrD//luxS//ccmD//hyfH//pgaB//asr//nupG//gor//nikC//lpxD//ppiD//dhaK//nrdI//mtlD//glcB//hyaF//gloA//tsr//nanC//ccmF//sodB//hisJ//potH//napD//purF//melA//hcaB//ssb//ycgZ//evgS//gdhA//sdhC//yidQ//rffG//motB//argG//tktB//cydB//lsrD//tdcG//yneM//hyfA//ydfD//ydhT//inaA//htpG//lysP//
PhoP	alkA//gdhA//kbaY//alaC//uidB//glnB//yfbR//nrfG//glpQ//kbaZ//puuP//phnP//trpR//cynR//agaB//acrZ//speA//malF//bluF//mglC//ccmC//aceB//rpoH//trpE//dsdC//argH//ydfW//fliD//nanK//cueO//fliO//cysB//dicB//ccmC//betB//rseC//yhiD//phnO//cysN//leuO//caiA//carA//fabH//sbmC//sutR//ydfE//metJ//glyA//hcp//yidQ//purD//yqjH//tisB//osmB//dnaN//wzb//
PrpR	glgC//dapB//alkB//puuD//gfcA//
PspF	casC//araC//chbB//glgX//fecI//leuA//setA//
PurR	gdhA//patA//nanC//nanM//pflB//rffM//feoB//csiD//dhaM//fixA//chbB//thiP//purN//rpsU//xylR//yqhD//casA//hypD//nagC//rimP//puuA//soxS//fliE//gabD//fdnI//sgrR//fliQ//fixA//mzrA//sufD//pgaD//
PutA	yqaE//chbB//
PuuR	betT//rutD//caiD//hyaF//higB//leuD//astE//
QseB	ptrA//yfdE//yqjH//gatY//
RbsR	lysC//hyfJ//hcr//dapB//yoaC//dsbA//flhD//paaJ//rplT//
RcdA	hypC//xapB//gntX//recN//yidL//mntH//inaA//fdhF//mhpC//
RclR	ybjN//yqaE//nrdF//
RcnR	phr//lrhA//nimT//
RcsAB	dctA//ahpF//oppF//idnT//aroF//idnR//pgk//glnA//fruK//wcaA//atoD//glgC//gcl//uidR//ydfN//ybhR//
RcsB	tehA//phnL//rffH//wcaB//caiC//gntP//cueO//dapD//appY//napH//hcaF//tpiA//rpiB//znuB//tyrP//cysW//hha//uspE//ftsI//rybA//phoR//glnD//nanS//ogt//glnB//
RcsB-BglJ	mazE//lpd//cyoD//ynbD//pspD//sulA//gatA//caiE//nuoA//entB//glnA//uvrA//mprA//ttdB//ydfD//manZ//
RelB	tauD//fliS//sgbH//
RelB-RelE	flgB//hcaB//citF//
RhaR	ygbA//rnlA//
RhaS	fliA//yoaC//ulaB//deoC//hcaE//yecR//
Rob	gatY//appC//lysR//fliM//ychF//paaG//napG//glyA//thiP//safA//rimK//caiF//insK//astD//marR//marB//hyaB//flgG//rutG//yhiD//sfsB//ruvA//molR_1//tauB//cynT//yjjZ//
RstA	yqaE//mioC//metA//argF//hcaR//chbA//dpiB//symE//uof//lysA//
RtcR	gadY//rhaB//
RutR	tdcE//marB//nuoG//nirC//purH//osmB//bioB//gltK//iscU//wecB//ydcT//lpxA//fixX//thiQ//accC//yjeV//cadA//
SdiA	icd//csgB//mscM//gcvB//stpA//
SgrR	fdhF//aidB//melB//bglB//ccmG//putP//nuoC//ynfK//yqhG//
SlyA	nuoA//
SoxR	rseB//idnR//ampC//
SoxS	ynbC//tyrP//moaC//ddpC//entS//gabD//ulaE//fliZ//pqiA//yeaD//dcuR//gltL//hybF//dapB//nikR//mpl//hybB//casD//sgrR//fecE//ydcT//sutR//ugpA//napA//safA//gntK//dnaG//motB//tdcC//cho//lsrR//dinG//lysO//agaV//torA//moeB//gnd//gatB//ftsW//folE//
StpA	pflB//sgrR//rplU//ymjD//acrR//ldtC//cdd//
SutR	ybjC//nuoE//rffT//uvrA//metA//
TdcA	fliE//malY//yccA//gspG//rcnB//rclB//uidB//
TdcR	ahpC//nusA//lgoR//mnmG//fucK//ybhF//araJ//
TorR	cyaR//fadD//gadF//narH//bacA//pspA//dgkA//rbfA//yegR//dinG//inaA//uxuR//
TreR	torA//leuL//
TrpR	glnA//yqhG//cpxP//ubiX//mtlD//hcp//hyfI//acrB//potG//rpiR//htpG//ppdA//
TyrR	pspC//ldtB//oppF//acrD//ydcS//tehA//pspC//prs//mazG//agaW//glpF//tnaB//
UhpA	casA//
UidR	ndh//murC//ilvC//pykF//
UlaR	lsrG//tnaB//leuL//dsdA//dkgA//psiF//recC//
UvrY	acnA//nrdG//torC//insK//ygiB//
UxuR	leuL//appY//manX//rpmI//adiA//dgcZ//treR//lsrG//pgm//
XapR	glcC//dsdA//
XylR	ygiZ//yafQ//narL//yjbE//lamB//fabH//cueO//
YdeO	ynfK//csgE//leuD//dcuA//yfiB//argC//flgK//dgcZ//gntT//ynbA//purB//nac//ydfW//fbaB//potH//dcuR//fadD//hypD//nagA//dctA//caiA//
YedW	rutR//relA//ptsH//dkgB//tnaC//yciW//nrdD//nuoE//gltK//nfuA//ynfE//yeiL//
YefM	dcuA//waaZ//
YefM-YoeB	hflD//pdeL//
YehT	pspE//
YeiL	gspE//
YiaJ	potH//yqjA//yedX//phnP//phr//fliT//ssuD//potG//cysG//nrfD//
YjjQ	malG//citD//melB//adiC//rplT//ppiD//hyfF//rpoE//malZ//gcvP//
YpdB	pstB//
YqhC	gadE//ynjI//
YqjI	rpoD//fimB//
ZntR	araD//
ZraR	wzb//ssuC//flhA//
Zur	ftsA//ycdZ//tfaQ//mdtC//mhpD//pagP//
