#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	purF//pspF//
CdaR	aroG//garL//icd//gspC//xylG//uspE//rffH//nemR//nfuA//lacA//
CecR	gspM//fucK//truB//yhhY//acrR//
ChbR	flgJ//exuR//evgA//lacA//araG//yecR//
ComR	ebgA//
CpxR	isrC//dinD//hycF//fliS//glpB//yeaH//ydhT//alsC//fliT//ruvA//idnR//yjhB//pspF//dgcN//mngB//nohA//ycjY//fes//nuoC//flgK//ftnB//csgC//pstA//cysC//ycjG//ydcV//narI//sucB//hdeB//phnO//fabG//glnQ//dmsD//pgk//hyfJ//uspE//gatY//nuoE//mngR//ugpC//lon//cecR//nuoC//grxA//arsB//cysC//lldP//glcC//fliC//ftsZ//ydeM//recF//nuoG//ynbD//rbfA//acrR//gntK//tyrA//inaA//ydfE//hypE//cdaR//pqiA//bioF//entS//dpiA//hcaR//betI//cpxR//citF//
Cra	nac//phnM//casB//mzrA//hyfD//phr//fnr//metK//yhjC//rybB//agaV//araB//phnG//ydeP//hisM//rutG//sroA//alsB//rffC//gfcA//moeA//sroA//fadJ//rpiB//moaA//argO//nanA//entH//uvrY//ftsK//malX//glxK//phnJ//ulaB//hyfD//sulA//yfaE//nupC//ppdC//fumC//purL//yefM//torC//ilvC//nrfF//deoC//hycE//hcaD//hokD//argF//yaiW//wecE//uxaC//chbA//ppiA//fepA//bioC//evgA//ygaC//talA//fdnG//rplU//ariR//prpB//yccA//infB//glcF//ydeO//astC//cysD//psd//fimB//fhuC//patD//hyfB//glgB//fadE//rfe//phnO//
CreB	lysA//gspO//epd//fixC//ulaA//
CsgD	carA//yidQ//hyfG//gntT//ulaD//dtpA//hyfR//mhpF//xylG//glmS//htpG//hslJ//mhpT//yfaE//purH//gabP//moeB//dsrA//recA//galT//ynfF//nuoF//ccmG//fecA//gadF//csrB//napF//sgbE//
CsiR	purN//dinG//mscM//mipA//tktB//
CspA	mntS//fabH//
CueR	hcr//ulaF//ompW//fumC//ompF//ddpC//xapB//
CusR	ptsG//sodB//ydcS//fecB//argC//ccmF//yfdE//malX//ydcS//nhaR//fliS//rimK//
CynR	lpxA//crr//fruB//paaX//
CysB	slyB//uvrA//ybiT//asnA//ccmD//mtlD//ibaG//ppc//tdcB//murR//hcaE//cyoE//galS//fruA//hyaC//astE//yjeV//hydN//fruB//alaS//fdnG//tcyP//bluF//hisP//yjjZ//crr//phoA//aceF//emrB//gspM//cysG//carB//
CytR	sufE//glcG//hypB//fhuA//ttdT//moaE//dinG//leuL//ychF//dsbC//dmsA//ilvY//carA//
Dan	dinD//ydbD//patD//csrC//
DcuR	srlA//rutR//nfsA//gyrA//fucK//csgD//speA//citG//phnL//
DeoR	isrC//phnE_2//glnH//pspF//hyfF//malK//
DhaR	flhE//ybbW//araJ//caiE//
DicA	arsB//carB//bhsA//fixA//cytR//rpoS//xylA//prpR//
DinJ-YafQ	umuC//murC//sroC//
DnaA	frc//ygeH//yfdX//ygeH//ugpQ//mdtB//ppsA//nuoJ//exuT//rbsB//chbF//ydhY//
DpiA	omrB//glgA//appB//rutB//adiA//ascB//gloA//rnpB//ampC//fliD//glnQ//
DsdC	gltB//waaH//gadE//
EbgR	ymgC//cysM//
EnvR	ybdN//hyfJ//
EnvY	narJ//hyfA//
EvgA	galE//nusA//bglB//iscA//ilvY//waaZ//fliP//mhpB//umuC//guaA//hybB//nikE//purM//fliA//csgG//fliZ//creB//dcuD//tisB//
ExuR	aceB//uxaC//sufA//glgP//alsA//dcuA//phnE_2//fecA//glcE//
FabR	rbsD//yegR//
FadR	fadM//rpmA//ccmC//metB//ccmA//rclA//caiD//phoR//puuA//fhuE//wrbA//dmsA//yagK//ynbB//atoE//galE//citE//yebG//murR//dgkA//nuoC//hyfG//mioC//
FeaR	purA//relE//
FhlA	yciF//ugpQ//nupC//ubiX//modB//potH//hcr//mglB//glnK//pspA//casB//hcaC//mglB//uxaA//dctR//flhE//yidL//dnaG//marB//aroM//gltJ//hybD//gspD//phnF//nuoF//narH//tktB//tdcG//thiP//tdcD//
FlhDC	fdnI//fes//zinT//rclB//fecC//flgF//torA//nrdH//baeR//uvrD//gltL//ulaD//gfcA//aceE//sufS//malX//fucA//ydeP//garK//rtcB//yiaK//mpaA//yaiA//gabT//dmsA//nrfG//tomB//srlR//lamB//yecR//asnA//bglB//yedX//allA//efeU_2//tcyJ//potI//recA//sgrT//fepA//dsrA//hycG//leuO//mhpE//cynS//garK//yhdW//yfiB//leuD//mgrB//ftsZ//fecI//allS//garR//ybbY//caiA//bioC//glcE//aroL//ymjC//cbl//higB//sufD//ydeP//cysK//ecnB//hemH//galM//aceB//rbsC//rbsC//lpd//glmU//patA//oxyS//fixX//ydeM//dkgA//dsrA//gudX//yibQ//idnT//
FliZ	oppA//dhaL//dcuS//mntP//astE//uidB//rpoD//entA//fumB//cydB//hlyE//csgC//purC//manZ//ftnB//mazE//oppB//tauC//ompW//nanM//ydhY//
FucR	soxR//norW//ynjI//dsdC//rutD//pstC//rnlA//
Fur	nrfG//oxc//hybA//glnG//yhjX//umuD//erpA//hycH//ydcS//ydhY//mqsR//ftsQ//garP//gcl//astB//yegR//yiaL//yjeV//deoB//fucU//flhC//gadB//glyA//cyoC//garP//ugpB//lhgO//ydbD//ydhT//hyaD//cydD//ulaB//ygeH//yfbR//yciG//puuD//yidQ//gatA//narL//metC//pdeR//xylB//cysA//lgoR//focA//wcaB//mngR//rybB//appA//osmC//rseC//nrdF//cirA//ppdB//yhjX//hyfR//fur//allD//cas1//acrA//cusB//ariR//tdcE//glcA//mdtE//gcvP//glpA//fabG//yqjA//phoB//ybjG//relE//pflB//atoB//adiA//fadL//rcnB//dgkA//yhbT//prpD//ahpC//serA//chbC//yoaC//nagA//trpA//lldP//ubiC//creA//phoE//mtr//purD//nupG//argC//flu//pqiB//setA//dacC//rutB//mazF//paaY//ribA//moaD//ygiC//ompW//tbpA//fepB//flgE//atoE//rclB//astE//fabI//argH//aroF//potH//ebgA//metR//malZ//uidR//ahpF//cydC//emrK//glxR//nupG//uxaA//znuA//cydA//phoP//lsrK//nrfA//
GadE	potI//ftsI//rcsA//uvrY//fepD//bglJ//sucD//cydA//hybF//rplU//ddlB//nrdB//murR//rbsC//mhpC//ebgA//gatC//glk//argF//bolA//tauD//ccmH//uspE//sodB//mngB//leuA//pdeH//glcB//csgD//
GadE-RcsB	glpD//paaK//treB//purA//molR_1//rcsA//argF//mdtC//uxaB//
GadW	dmsC//phnF//mipA//dmsC//codB//glnL//thiQ//rutA//flgK//ymgA//feoC//intQ//yibQ//gabP//dinJ//
GadX	lgoR//cyoA//malS//ilvY//nrdF//dicC//hokE//aroH//lpxA//fadH//lsrB//agaB//truB//hdeD//sgbU//argB//modB//nhaR//yafO//hcr//treB//appB//gor//ada//appX//lysO//fabB//ybhG//mdtF//
GalR	gltD//phnF//glnK//uxuB//ccmH//fadM//pgpC//metA//hyaC//glcB//
GalS	gspE//ydfW//fucP//gutM//carA//amtB//ydfW//kdpB//yciW//fbaB//
GatR	recF//dnaA//ynfF//cusS//glk//ftsW//
GcvA	gcvP//wzc//potI//fhuF//xapA//
GlcC	hyfA//fabH//ascF//ydcS//purA//iraP//rpoD//
GlpR	uvrB//pgaA//rseC//nemR//allC//tpiA//trpC//recX//moaE//
GlrR	lpd//gadX//glpT//hyfD//mhpA//
GntR	nanM//pspB//ygiC//caiE//sgbE//casB//mglC//pstC//leuB//dkgB//recN//nrdI//
GutM	cadB//pepD//chbR//metQ//exuR//phnM//sbcC//
GutR	gabP//ycdZ//nemA//yhiD//sucA//yhcH//zntA//
HU	melB//dgkA//mdtD//lsrD//uhpT//atoE//waaZ//gspM//bhsA//
HcaR	hyfH//cysC//napD//glgX//treC//kbaZ//
HdfR	acnA//yfaE//udp//pspD//dinF//
HigA	phoU//rnlA//
HigB-HigA	cpxA//agaC//
HipAB	dinI//gudX//paaX//phoQ//astE//
HipB	dcuD//chbG//yeiB//caiB//yhdY//ymjC//
HyfR	yfaE//polA//uidR//argR//hybG//nac//glpC//frdD//ddpA//oxc//bioF//moaD//
HypT	astE//malP//yjbH//mtr//yegH//purM//tcyJ//tcyP//molR_1//dps//glcE//yciX//allB//
IclR	wrbA//leuB//pnp//bglB//
IdnR	dinI//ynbA//yfbR//qseC//mlc//rhaB//hyfF//
IlvY	gatA//cysD//
IscR	ulaA//yhhY//ftsW//exuT//rhaR//ynfF//nuoB//flhE//edd//hyi//ttdB//ubiC//hybD//asnB//uspD//arsC//efeU_2//ymiA//fliK//glpT//rhaD//ugpA//evgA//puuP//wza//yiaN//lldR//accB//ybbY//hypB//tyrA//fixB//
KdgR	cydD//wzyE//
KdpE	safA//envC//trpD//ung//
LacI	hmp//ydfN//nikA//
LeuO	rbfA//rseA//rprA//gyrA//csrC//yebE//ftnB//metF//gltK//fabH//marA//glcB//yhdZ//aroP//phnI//fabG//ddpD//ftsI//ugpB//gntU//
LexA	fbaB//potG//add//fhuB//fliR//sucD//rhaD//flgF//paaY//ada//phnJ//csgG//copA//hyfG//exbD//bluF//pgaC//glmS//metF//emrK//creC//cyaR//glpA//ybiT//lsrA//flhE//fdnI//ssrS//tauB//sgrR//phnD//mdtB//metQ//fabD//mngR//yibQ//artQ//leuA//cueO//hybA//lpd//purB//casE//allC//malT//metH//wcaB//cspD//tsr//gudP//yhiM//dsrA//tcyP//decR//fdnI//galP//ybiT//pspG//casD//
LldR	prs//thiQ//dctA//
LrhA	hokE//rpoH//eno//asnA//
LsrR	lexA//cvpA//betA//ycjG//dinF//rob//yibQ//aslB//aroP//
LysR	yagK//sroA//
MalI	galT//yfdV//ulaG//
MalT	feoC//gabD//yciX//rbsR//bioD//dctA//ccmH//sgbH//dps//tsx//
MarA	norR//accC//glmU//aldA//pyrD//pheM//recN//bglJ//dnaN//glyA//ddpA//gspI//flgL//nrdH//add//cysE//tsx//cysJ//nuoA//frdC//yhbE//mntS//allD//hypF//yhjC//rarA//ftsL//recA//oppC//tomB//glpX//efeU_1//ppiA//glgA//dps//mtlR//rutD//hyfF//
MarR	rnlB//hisQ//thiP//
MatA	argO//paaB//prpD//pgk//hybG//fbaB//focA//modB//
MazE	yidQ//ampC//purC//
MazE-MazF	amtB//fecB//bolA//
McbR	caiT//pdeL//phnE_1//hycI//
MelR	tdcF//phr//glgB//
MetJ	ydcS//betA//thiQ//crr//exuT//deoC//lhgO//sdhB//nhaR//crr//ribA//phnC//rhaR//yccJ//lldR//
MetR	focB//tpiA//tnaA//gatD//umuC//
MhpR	psiE//poxB//ybhF//mpaA//tnaB//baeR//
Mlc	ydfN//tdcD//paaG//modB//dcuB//ybbW//mdtF//gspC//glk//osmB//
MlrA	zraS//fes//nrfC//rpmA//bdcA//sgbU//cusB//dkgA//nac//ilvY//
MngR	uspA//hdeD//pflB//
MntR	dsbA//glgP//caiA//dinI//lpxD//
ModE	mdtE//pgaB//sodB//sbcD//sucA//yfaE//astE//manY//pgaD//paaA//yneM//ybiT//ftsZ//umpH//cbl//tnaA//gspJ//fruK//deoC//yfdX//insK//tcyJ//uxuB//wzc//pepD//fhuF//entS//fucO//frc//ycjX//dsbG//alkB//uspE//pnuC//hokD//dsrA//hycA//srlD//ccmG//glcD//mgtA//iscR//wcaB//folA//fadI//caiC//
MprA	cusR//nimR//lamB//dicC//hcaF//cdd//
MqsA	phnN//pgm//hypA//ydhT//hyaA//marA//fumB//gspM//
MraZ	aspA//pdeR//recN//uidC//exbD//tyrR//csgD//ttdA//murD//ttdA//gltB//ynbB//nrdB//napH//nirD//ascB//fnr//
MtlR	hypF//caiF//frc//
MurR	pdeL//napA//yciX//
Nac	ada//marR//gcvB//agaD//pdhR//paaH//rutB//sucD//rutF//ychF//pheT//rnlB//nrfA//recD//mlrA//adiA//glpD//phnF//cysJ//rprA//pdeL//
NadR	tyrR//hns//dctR//tdcE//
NagC	yafP//lpxC//fepD//znuB//malE//rffM//xylH//gspK//fabH//focB//nikD//ccmB//mngR//hyfB//malK//fadD//garR//exuR//hcaE//argR//bacA//nrdE//alaC//paaF//paaC//glgP//phnH//rbsA//copA//araH//malI//rdoA//malP//tsr//glpT//phoE//fadM//
NanR	napC//ssuB//btuB//yafN//yebG//rpoD//xylR//chbA//aroM//yiaL//symE//
NarL	metI//hypE//nrdB//gadC//nanS//sgrS//ubiA//ydeO//rutD//gutQ//yeaG//evgS//uidR//glpQ//rplT//wzzE//rtcB//ybaT//crl//sufS//mglA//dhaR//narI//motB//dnaG//rnpB//astB//nupC//cynS//adiC//yhcH//galR//chbG//mazF//hyfH//pspB//yeiB//cysD//recF//ftnA//uof//ftsA//znuC//mtlR//pepA//argH//yqhG//putP//yibQ//hdeA//allA//nikR//spy//uvrC//motA//fucP//rutA//hha//gatZ//glcF//intQ//yhjA//fliJ//fes//pgi//phnJ//ccmG//fabA//ytfE//dgcC//ftsK//tdcD//insK//nupC//tolC//flgL//mlrA//mtlD//frc//feaB//fecI//aspA//xylB//fhuC//puuC//lysC//tomB//yqjA//treR//wecE//flgJ//phoP//glxR//cra//decR//yhbE//rutR//gutM//glnP//moaC//pgaA//mipA//dsbA//gabT//exbD//exuR//gspI//potF//ycjY//lysC//nanS//fadE//puuB//chbC//argT//feaB//argR//mcbA//hybF//soxS//yfdE//dmsA//hemL//
NarP	csgB//xylB//ttdA//glpF//nusA//hybO//ssb//slp//artP//metF//glpQ//aroM//atoD//frdD//gltD//moaB//fruB//envC//ydhU//yeiL//nanS//rclC//ihfA//lysA//torD//chbB//glnK//argA//fliH//ddpA//erpA//nrfG//rbsB//alsB//gcvT//pgaA//murG//htpG//hisM//cyoA//mscM//hcaB//dinI//focB//pspD//fepA//pyrD//nohA//lysO//hha//
NemR	ddpA//cpxR//fucO//
NhaR	nusA//rclB//soxS//rarA//nlpA//flu//rplU//
NikR	ybdZ//uspA//fadM//araG//slt//ftsA//
NimR	chbC//pqiA//
NorR	sgbU//fliJ//ttdT//
NrdR	gspE//purR//cdaR//metB//yncE//yeaH//gatB//bglB//paaE//
NsrR	nrfC//gadB//srlD//hycC//acrD//puuR//mntP//allE//tdcF//gcvT//pspG//wecE//hybF//ydeP//fumB//dinB//mazF//pepA//hybD//adiA//feoC//yfdV//hokD//deoC//mdtD//grxD//gltB//appC//molR_1//fliG//ybhL//rffM//fixX//obgE//patD//ydcT//yegH//fliT//nrdE//ydhU//metQ//gutM//sodB//cspI//xylG//tsgA//ptsI//pepD//fecI//allD//relB//hokD//sgrR//yciF//alsC//sgbH//agaA//idnD//nuoA//ydhX//gadX//nimR//fadD//fur//eno//nemA//ydfN//bhsA//atoD//pyrC//trpL//ybfE//rstB//hyfH//mdtD//cheW//rutA//ppdC//ada//lysA//gntU//sroC//metJ//
NtrC	ygbA//mhpA//marR//dacC//fes//crr//cytR//gcvH//hcaD//motB//metI//caiD//ppiD//entA//nhaR//dcuR//aroG//csrC//lon//fldB//htpG//nusA//nikD//hipA//phnE_1//ftnB//ydhT//tnaC//murG//sdhD//araE//sroC//dnaG//modA//rffG//pgi//betA//mdtD//patA//ynbC//gyrA//ygeH//ynfE//rutC//potH//paaJ//pfkA//csgG//glpK//
OmpR	mglA//nikE//ydfX//yccA//nuoI//yjbH//kbaY//glcG//csgA//truB//yeaD//flgF//spy//gyrA//uxuB//uxuR//rffT//glmS//ptsH//garP//rpiB//
OxyR	araB//appA//glpK//ftsZ//hns//rplT//purN//cusA//yqjI//aceF//hflD//zraS//galR//hyaD//glpD//nimT//murG//mhpB//oppD//rbsA//mngA//rhaT//phnG//ilvY//erpA//deoD//napB//fliM//malK//rclB//ssuC//narK//yeiL//fecI//
PaaX	fhuE//ssuA//modB//lsrA//nuoA//astE//hyaF//nagA//gyrA//sufE//fruK//ecnB//mltF//xylA//
PdeL	ybiT//
PdhR	mnmG//fliG//psiF//hycD//cspD//moaA//yeaH//fecI//glnQ//ftsZ//cysI//feoA//napC//fdnG//ddlB//glcD//folE//glpB//yqaE//agaS//rybA//norV//ahpC//yhdW//phnK//ydcU//argF//cvpA//asnC//dapD//napA//pepD//sucD//phoQ//murE//fepC//bioB//znuA//cydC//srlR//norW//
PepA	wcaA//sucA//ydjM//
PgrR	garP//csrC//asr//hycA//aroF//recN//mgtL//mraZ//
PhoB	waaH//caiT//setA//mdtF//rplT//lsrG//moaC//envC//glgP//lysR//metY//rbsB//nimR//ulaB//yccT//ulaF//wecC//ftsQ//fhuC//yncE//uxuB//atoA//xylA//fruB//nikD//ugpE//yefM//betA//uidC//hisQ//rseB//cpxA//cynX//napF//aroG//glxK//ugpE//artM//yhjX//feaB//glgX//hycA//argD//metF//yjbG//rpiB//ubiX//glcG//pspB//rhaS//sdhA//uspE//oppB//yiaN//acrR//napF//safA//aspC//modC//csrB//
PhoP	rimK//frc//ssuB//mdtF//murE//flgJ//gabT//yciW//ytfE//feaR//kbaZ//fecD//uxuR//cysW//truB//fabI//fruK//recD//ddpD//asnB//ssuA//caiT//marA//cbl//mlc//cysU//pnuC//gutM//oppC//betB//astC//aidB//uvrC//rpiR//cysH//purC//gadA//phnL//hycI//treB//wza//pflB//fau//rutG//gatB//ygeH//recF//mraZ//mdtA//pspE//fepD//paaA//qseC//trpA//hcaC//uidC//
PrpR	nrfC//xylB//cysW//modB//araF//
PspF	gudX//cspI//dctA//sufD//hyi//alkB//crr//
PurR	mngB//fadB//garP//dnaA//rplT//nrdH//gatA//gspM//ybfN//yjhB//fecC//feoA//sgrR//truB//melR//mnmG//dicB//icd//nanM//melR//yafQ//tyrB//gadE//rimK//fucU//gabP//gadW//mglB//tbpA//yecR//entS//
PutA	znuB//paaG//
PuuR	fliS//hokD//ppiA//osmY//putA//soxS//cydB//
QseB	hemH//hybB//appA//ulaF//
RbsR	narI//idnD//dps//pqiA//cysA//seqA//hycF//cho//cadB//
RcdA	alaS//ebgC//gspF//tyrB//galM//qseC//ppiD//yoaG//fruB//
RclR	acrB//napF//cpxP//
RcnR	yoeB//luxS//ynfH//
RcsAB	fabG//yeaE//nadA//kdpA//aidB//agaA//frdB//wrbA//hokD//alsB//paaZ//malI//aceB//nuoB//mscM//paaB//
RcsB	melB//gabD//glpB//cdaR//malF//tehB//fadM//ompW//purE//murC//lyxK//dsdA//fdhF//mdtD//kbp//glnP//emrA//glpT//ybhG//glpK//ssuE//dinD//grxD//frc//paaY//
RcsB-BglJ	paaF//murI//gntK//thiQ//waaY//ulaD//yegH//fhuE//fabI//mhpB//csgA//putP//ynfH//trpC//nrfC//hlyE//
RelB	creA//ybjG//trpR//
RelB-RelE	yhbS//tauB//argI//
RhaR	umuD//ydbK//
RhaS	ynbB//dmsA//yhdY//yeaH//araH//ihfA//
Rob	phnK//dnaG//lhgO//ompC//codB//rffT//hybF//dgkA//tolC//rcsA//lysC//fliZ//napA//sufC//emrK//nemR//lacA//gltJ//lpxD//waaH//acnA//glnP//ppdB//skp//tam//fpr//
RstA	gntP//murQ//cecR//emrA//mhpC//moaA//ahpF//ynfK//argG//ftsW//
RtcR	ppdB//znuA//
RutR	phnN//ecpR//bglJ//yhcH//iraP//dcuS//mpl//lpd//hyfD//dinF//uspE//dinD//atoD//yibQ//adiA//nadA//gabT//
SdiA	malE//alsB//gutM//ygbK//pspB//
SgrR	lacY//nikA//mdtB//ampC//relA//malI//flgC//ssrS//prpE//
SlyA	pheS//
SoxR	moeA//yecT//yafO//
SoxS	ynbB//sucD//ydfD//gadW//glnG//yqaE//feaB//gatD//flgF//dhaK//yqaE//fixX//fadL//puuE//paaC//psiE//uhpT//ebgC//ruvA//hybO//tdcB//nikR//ygiC//xapA//ynfG//guaB//aslB//purM//mdtB//cspD//yiaM//fnr//malQ//wcaB//phnM//pspE//aldA//uvrD//napC//soxS//
StpA	argE//glpK//allB//feaR//inaA//csgG//umpH//
SutR	argR//argI//rutF//oxc//hcaE//
TdcA	flgN//hipA//gutM//agaB//adiC//cheA//yccT//
TdcR	fepB//hybE//ygbA//btuB//ddpA//fixA//yjjQ//
TorR	recC//alsA//gatB//metE//ydbK//citC//gspH//rseB//yeiB//rbsB//glcE//mdtE//
TreR	sucC//csiD//
TrpR	flhA//efeU_2//rbfA//ynbA//idnT//cysN//rutR//sgbH//emrY//glnP//bioA//hflD//
TyrR	pspC//ecpR//csgD//prs//artM//glgX//ftsL//yhdY//flgE//nuoH//argF//glgX//
UhpA	rstA//
UidR	phnD//gutQ//citX//tsgA//
UlaR	hypB//tynA//gspK//galK//cysK//alaC//melB//
UvrY	dsdX//trpA//paaA//ybbY//pspF//
UxuR	caiF//ftsZ//paaZ//caiT//cueO//yiaJ//nuoL//bioC//hybD//
XapR	lsrA//yaiA//
XylR	murQ//ybhR//emrA//sbmA//sucD//frdD//csrB//
YdeO	garP//metH//ugpQ//yeiL//gabD//ydhX//ybiT//narK//ecnB//treR//gltB//ddlB//mipA//dsdA//ynfG//allS//ygdB//puuE//dmsA//fepE//gspD//
YedW	emrB//dgcC//sgrT//ebgC//fecR//tauB//rbsD//tsgA//ybaT//obgE//wzb//entE//
YefM	thiP//qseC//
YefM-YoeB	tktB//nrfC//
YehT	ascB//
YeiL	paaA//
YiaJ	ygeH//ccmF//infB//crp//mhpT//caiT//ddpD//tktB//mhpA//mpaA//
YjjQ	ycgR//gutM//mntH//pgi//psd//yiaJ//fucI//dkgB//gspM//phoU//
YpdB	ppiD//
YqhC	pstA//ydbD//
YqjI	rpoE//rtcA//
ZntR	fnr//
ZraR	hcaC//hyaC//allE//
Zur	caiE//yhdW//allA//nrfD//tdcG//fliF//
