# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	accC//dmsA//
CRP_pos	ydcS//ynfG//xdhC//sdhC//astC//ilvC//rsmA//zwf//fucO//ackA//rffC//paaE//ldtD//cysH//ilvA//fadA//ssuE//lpxA//ddlB//cynT//gpmM//yeaG//tdcD//cheR//grxA//galK//add//fbaA//pncB//dapB//glpK//purL//ttdA//rffM//lsrF//nanK//mhpD//psd//serC//uvrC//cysC//citF//ldtD//purK//garL//ilvN//moeB//phnH//upp//moaE//fadA//malY//xdhA//phnL//lpxA//upp//cysK//leuD//sgbE//ada//purH//glgX//cysI//nadB//torA//gor//gpmA//aceA//lldD//tauD//mngB//alkA//fucA//frc//lpxA//cheB//fabZ//appA//moeA//fadM//manA//umuD//purA//entF//dmsA//hypF//ilvC//pgaC//araA//mraY//ampC//aroA//ubiC//phnN//astD//idnD//pdeH//alkB//ruvB//tdcB//trmA//puuA//fucA//uxuA//gcvT//sdhD//nfsA//murG//dacC//gcvH//cysK//cynT//ilvN//murQ//nadC//caiC//hemH//sgbU//nrdB//acs//moaD//pgaB//glpA//caiA//wecE//ilvM//malY//malZ//lysA//glpE//fabG//rnpB//ybjG//thrS//aceA//fadE//purA//metL//bcsB//tynA//uvrC//glcF//prs//guaA//tdcD//sdhC//garK//hycF//malY//paaK//idnO//mdh//purD//guaA//bacA//hcp//gatD//lhgO//purC//argD//cysN//tam//murE//allC//rbsD//entB//acnA//alsE//serC//glcD//glcE//umpH//fabH//galM//entC//moeA//ynfE//argF//cheR//pepD//gadB//dadX//ubiC//rbsK//garD//pdeR//rutD//tam//preA//gcvT//fadH//gcd//aceE//hycD//pyrD//pgpC//hypF//glcB//hypB//ubiG//bioB//hemF//nagB//gapA//glcF//allC//bcsB//bacA//hycD//hemL//agp//trpD//chbF//rpiB//gabT//entF//yeaG//pflB//paaG//prmC//slt//phnN//mhpD//deoA//ruvB//allE//moeB//betA//pyrD//hycC//hycF//allC//acs//phnM//purF//rffH//hycD//cheB//glcD//carA//ccp//gutQ//ilvH//aroF//yedX//bioD//pgpC//chiA//waaY//
CadC_pos	pdeL//hemH//appA//
CaiF_pos	bcsB//paaJ//ampC//fbaB//lsrK//
Cbl_pos	ribA//murF//glpB//waaZ//recF//
CdaR_pos	ubiA//nrfC//mhpC//kbaY//ribA//citE//argG//metH//glgC//
CecR_neg	slt//
ChbR_neg	paaH//nadC//aroH//
ChbR_pos	lyxK//lacA//sucB//
ComR_neg	
CpxR_neg	tpiA//galM//adeD//
CpxR_pos	glpD//cheR//ynfG//phnP//upp//argH//hycE//ilvE//prpD//phnO//fadM//nadA//lpxD//trpB//fabA//fabZ//iscS//gloA//
Cra_neg	hyaB//fucU//hemA//alaC//purM//frdA//ulaG//cysM//cheR//acnB//phnH//luxS//nrdB//ycjG//rutB//glpD//gltD//aceF//acs//mhpD//speA//rutC//bioC//entC//glcF//ravA//frc//dmsC//edd//fumB//accD//nfsB//paaE//nagB//nadB//hflX//fabI//glpX//glnA//chiA//idnK//purH//alaA//rbsK//paaH//
Cra_pos	yiaK//gpsA//garD//rffG//fucI//tnaA//dusB//hpt//leuC//ldtC//ribA//pyrD//prpC//ccp//speB//paaJ//gcvP//
CreB_neg	lysA//
CreB_pos	metA//
CsgD_neg	citE//nadC//
CsgD_pos	puuB//tpiA//eda//
CsiR_neg	bioC//paaK//citD//phnM//
CspA_pos	glgA//
CueR_neg	icd//glpK//pspE//
CueR_pos	entD//metA//
CusR_pos	nanE//glpK//phnO//ulaG//
CynR_neg	
CynR_pos	rnpB//mhpB//atoB//
CysB_neg	cysD//entE//yqhD//
CysB_pos	aldB//caiD//pflB//ansB//ttdB//tauD//fabZ//murC//gntK//ascB//preA//alkA//cpdB//bioA//
CytR_neg	wecB//entF//fabH//kbaZ//dusB//yeaE//ahpF//ynfF//patZ//hpt//
DcuR_pos	cynT//allD//codA//nrdE//
DeoR_neg	cysD//asnA//pncB//purD//xdhC//ilvC//
DhaR_neg	
DhaR_pos	wrbA//
DicA_neg	
DinJ-YafQ_neg	ilvM//
DnaA_neg	dmsA//argF//nanM//hyi//gutQ//
DnaA_pos	hycF//hycD//tdcG//
DpiA_neg	
DpiA_pos	speB//cysH//dmsB//cysC//rhaA//
DsdC_neg	
DsdC_pos	ahpF//mnmG//
EbgR_neg	
EnvR_neg	prpD//umuD//
EnvY_pos	rffT//glgB//
EvgA_pos	mltF//glpX//phr//nagA//dacC//pyrC//
ExuR_neg	nanA//aroH//paaY//yqjH//alaA//allD//
FNR_neg	dadX//umuD//bcsB//mhpB//pnp//paaE//pdeH//dacC//hycG//fruK//xapA//hcaB//paaF//sucA//purD//alkA//pdeL//rbsD//pgaD//puuD//rffC//adeD//yeaE//astD//glpB//malP//pgaC//purF//hyaA//sgbH//metE//lacA//betA//umuC//hyaA//cheB//fucU//nirD//narH//sbcD//tam//fabD//pdeH//nrdF//
FNR_pos	dacC//ahpC//gcvP//frdC//pdxA//phnG//trmD//mazG//ldtB//upp//ulaG//nrdB//malP//dgcC//garR//tdcB//adeD//moaE//tehB//hycD//atoA//fdhF//uxaC//ldtD//frdC//leuC//dhaM//mltF//argH//fadJ//aroG//srlD//hycF//metK//ampD//idnD//moaA//lysA//ldtB//glpD//gpmM//dgkA//phnJ//gatZ//ilvM//frdA//glgX//sbcD//lysU//lsrG//gpmM//amiA//sbcD//hycD//hemH//rutC//rhaA//murQ//citD//aroF//cysI//arsC//lacA//murC//sucC//glcF//hflX//argF//sucD//hypF//ilvI//mhpC//udp//uxaC//waaH//ssuD//fadH//phnO//leuD//ldtD//fbaB//entF//ilvE//yfdE//purH//purL//alaC//allB//araA//purH//argC//rffM//citX//xylB//allD//ddlB//
FabR_neg	amiA//glmS//alsE//
FadR_neg	lysA//cysK//rbsD//cynT//metA//ynfE//citX//paaI//fucK//
FadR_pos	cysH//glmU//relA//katG//entA//phnG//garK//yeaE//rutA//entA//
FeaR_pos	hyaB//argB//
FhlA_pos	apaH//astA//ilvE//ada//uvrB//asnB//murF//purD//
Fis_neg	glmU//ilvM//glcF//lsrG//rsmA//hcaE//prpE//lysA//cysC//malS//sufS//dhaL//cysC//hcaF//argB//pdxA//recF//srlD//fadI//folA//fadE//katE//nrdD//deoB//ygeA//fes//hcp//eno//ampC//hcaD//betA//aroF//carB//ada//metA//gcvT//katG//mhpC//ulaD//rffG//rtcB//arsC//prs//pgk//fabA//aceF//
Fis_pos	hpt//mpl//cueO//tpiA//fabI//ulaF//fadH//garR//napG//atoD//torA//lysC//murQ//dadA//gabD//leuA//phnH//mngB//sgbU//patD//hycF//cmoM//rbsK//tdcD//sucD//sdhD//glxR//hycG//ttdA//xapA//cysK//adeD//patD//ynfE//tehB//ilvI//atoA//
FlhDC_neg	gcvH//rffH//
FlhDC_pos	fadM//fadE//rpiB//nirD//cpdB//fbaB//ansB//hycE//fadJ//cynT//aroH//napA//
FliZ_neg	rbsK//ygeA//glk//nrdE//fabA//
FucR_pos	accA//glgC//umuD//galE//galK//rtcB//
Fur_neg	gadB//prpE//chbF//gudD//leuC//caiD//cadA//garL//tam//araD//dkgA//entD//rffG//garK//feaB//glcB//trpA//metC//fabB//hcaF//puuE//pdeH//cyoE//dgcC//aceB//galK//paaB//ravA//gpmA//murG//ilvM//wecE//agp//gabD//araA//gdhA//frdA//alaC//deoC//trpD//yedX//adhE//ansB//caiA//glpB//prpB//hyaB//hcaB//pepD//paaH//metE//tdcG//mngB//
Fur_pos	cueO//edd//trpD//entE//puuB//umuD//hyi//umpH//napB//paaA//purN//gatD//speA//pspE//rutA//chbG//
GadE-RcsB_pos	treC//uxaA//metB//nrfC//rffT//
GadE_pos	narI//umuD//bcsZ//ruvB//guaB//prs//metH//pyrC//pspE//wzc//
GadW_neg	glpC//argF//ftnA//
GadW_pos	ada//ilvM//paaF//nirD//
GadX_neg	galT//icd//
GadX_pos	dgcC//rutA//frdC//uvrC//bioA//dhaK//araD//cysN//napB//narG//phr//
GalR_neg	glcB//gloA//ddlB//accC//purH//tdcD//
GalR_pos	fabB//ada//gpsA//allE//
GalS_neg	fbaA//tdcD//leuC//glnA//nrdE//caiA//
GalS_pos	fadD//ahpC//tyrB//gcvT//
GatR_neg	aroF//malS//caiC//
GcvA_neg	dgkA//fabB//atoD//
GcvA_pos	lacZ//gcvH//ulaG//
GlcC_neg	
GlcC_pos	mhpB//ttdA//wzb//
GlpR_neg	mdh//dacC//mhpC//srlD//ygeA//tpiA//hyaB//
GlrR_pos	
GntR_neg	nanA//yedX//argA//wrbA//mltF//trpD//edd//phnJ//avtA//
GutM_pos	trpB//kbaY//acnA//
H-NS_neg	betA//metB//fadM//ddlB//manA//hemL//icd//murI//paaE//ppsA//hycE//aldB//argE//aroL//waaH//trpB//amn//appA//gntK//glgB//hyaC//patZ//fadA//melA//hflX//cdd//prpE//tynA//paaH//gltA//ubiG//dinB//alsE//ydcS//puuC//uidA//tdh//hemL//tnaA//aroH//garR//torC//dhaL//glpA//allB//uxaA//narH//dkgB//agp//bcsB//astC//
H-NS_pos	ftnA//waaY//lysA//nemA//patD//uvrC//paaB//oxc//caiD//prpC//nanM//glcE//gcvT//purD//nrdA//
HU_neg	gdhA//xylA//ubiX//gutQ//hflX//tdcE//umpH//
HU_pos	
HcaR_neg	
HcaR_pos	waaH//yqhD//
HdfR_neg	
HdfR_pos	
HigA_neg	caiD//
HigB-HigA_neg	chiA//
HipAB_neg	caiA//accC//
HipB_neg	luxS//uvrB//gloA//
HprR_neg	hcaC//cynT//
HprR_pos	fes//aroF//
HyfR_pos	rffM//
HypT_neg	gcvP//tpiA//
HypT_pos	cysC//rsmH//nagB//purH//umpH//
IHF_neg	mltF//nrdE//purK//ssuD//malP//lsrG//deoD//rffG//gntK//pfkA//mdh//murG//bcsB//sbcC//mazG//pdeR//garD//glpD//pagP//metE//purC//hemL//deoA//fucO//glyA//purE//cysN//iscS//rbsD//alaS//araB//appA//paaE//upp//sucD//idnD//allB//idnK//alaC//oxc//uvrC//entE//serC//
IHF_pos	edd//sodA//prmC//glcB//entH//pflB//bioD//rbsK//alsE//entD//aldB//ubiX//ampC//murE//phnG//argD//araD//gatD//glgA//cheR//ubiX//cysI//alaS//trmA//dadX//leuB//nrdD//phnN//speA//wecB//gudD//rsmA//hypB//garK//pspE//edd//speB//pykF//pdxA//metA//leuB//prmC//ulaE//acs//hcaC//dkgB//sgbU//sbcD//rimK//aceB//yiaK//dhaM//trpA//ynfH//bioA//cdd//ssuD//sdhA//aldA//malS//uidA//astD//tam//fadE//cysJ//ttdA//gcd//sucB//xylB//sufS//citF//
IclR_neg	hycD//serC//relA//
IdnR_neg	purK//ppsA//
IdnR_pos	acnB//katG//fadJ//ulaD//
IlvY_neg	
IlvY_pos	cdd//
IscR_neg	ldtB//gpsA//rutA//uxaB//fumB//ldtC//
IscR_pos	atoA//adiA//
KdgR_neg	waaH//ychF//
KdpE_pos	glgX//
LacI_neg	cyoE//rnpB//phnL//
LeuO_neg	
LeuO_pos	yeaG//hcaE//dsdA//hcaE//dkgB//cynS//
LexA_neg	pgaD//narI//ulaE//xdhA//fes//astC//argE//tyrB//garK//fadD//serC//gltX//lpxC//recD//tehB//rutB//ilvI//rpiB//ldtB//amiA//glgB//entH//ravA//
LldR_neg	arsC//accA//
LldR_pos	fabG//purC//
LrhA_neg	
LrhA_pos	
Lrp_neg	tyrA//pheT//sgbU//ilvM//pnp//glk//citC//sucA//mhpD//metL//malZ//aceA//garK//purF//araB//puuC//fabD//add//phnN//manA//betB//glpD//murI//
Lrp_pos	tpiA//purN//recB//ppsA//pheT//astB//bioB//acs//cmoM//gltA//ulaG//glyA//sgbU//ttdA//nrdF//argF//gabD//alaC//araB//acnA//
LsrR_neg	allD//queA//dgcN//alaC//idnD//
LysR_neg	
LysR_pos	glgP//
MalI_neg	deoD//hyi//
MalT_pos	galM//argE//malZ//ddlB//bcsZ//pepD//
MarA_neg	dkgA//
MarA_pos	gltD//gor//torA//torA//acnB//patZ//wecC//xylA//hycC//sdhD//gpsA//moaD//idnO//phnJ//cysK//gabT//fucO//ilvG_1//argI//dhaL//sdhA//talA//alsE//
MarR_neg	
MatA_neg	fadH//
MatA_pos	
MazE-MazF_neg	hycE//
MazE_neg	gcd//
McbR_neg	
McbR_pos	
MelR_neg	bacA//fucK//
MelR_pos	waaH//malQ//
MetJ_neg	nadC//betA//yfdE//hycB//hypB//fumA//galE//ynfH//ilvB//cdd//
MetR_neg	ppiA//
MetR_pos	ung//apaH//tam//gatY//
MhpR_pos	fabZ//purK//moaC//glnA//mhpA//prs//
Mlc_neg	allD//napG//arsC//tyrA//
MlrA_pos	paaH//
MngR_neg	atoB//gor//
MntR_neg	ldtD//
MntR_pos	sucB//
ModE_neg	puuA//tauD//ubiG//nrdE//cueO//cysG//gatY//astD//
ModE_pos	uvrB//fadE//alaS//malY//gabT//patZ//tauD//tdcG//napA//
MprA_neg	lpd//ugpQ//phnG//
MqsA_neg	paaH//glxK//
MraZ_neg	ddlB//thrS//phnM//fabH//acnA//hchA//paaJ//epd//gatY//trmA//
MurR_neg	lysU//rffC//ackA//
MurR_pos	
Nac_neg	argC//hemH//moaD//
Nac_pos	astC//tyrB//glpB//tktB//glcD//xylB//tynA//amiA//
NadR_neg	astE//prpB//nanK//paaJ//
NagC_neg	avtA//kbaZ//kbl//uxaC//mhpB//malS//fadI//hycB//leuD//srkA//sdhC//hcaF//mhpC//ddlB//preT//moaE//fucK//rutA//
NagC_pos	dgcC//wrbA//
NanR_neg	trpA//purM//sodA//metB//araD//rsmH//
NanR_pos	
NarL_neg	eda//gatZ//fucI//galT//ampC//purB//gpmM//udp//mnmG//ynfG//ascB//uvrA//nrdF//lpxD//glgP//cdd//torC//pdxA//ada//deoD//relA//purH//uxuB//rtcB//metK//talA//lacZ//deoD//
NarL_pos	ulaE//lpxD//lpd//ilvN//ackA//gpsA//fdhF//gltA//phnI//garD//tam//astB//glcF//napH//ulaF//
NarP_neg	patD//fucU//dmsA//garL//dadX//
NarP_pos	entD//truB//cyoE//glpA//adeD//cysK//tynA//umuC//fabA//lyxK//frc//allE//sucA//pyrC//
NemR_neg	entD//dkgA//
NhaR_pos	tdcD//astB//dsdA//polA//gudD//
NikR_neg	purH//
NimR_neg	rutB//
NorR_neg	
NorR_pos	argA//
NrdR_neg	murC//gdhA//nrdF//deoD//
NsrR_neg	zwf//pgaC//glpX//cyaA//tyrB//glpQ//bioD//caiB//ldtD//sbcD//murQ//malY//hyaC//ulaE//ftsI//caiA//betB//gutQ//aroG//rsmH//glcB//narH//argF//glcF//glgC//ulaG//betB//glpC//phnP//hcaF//preT//caiB//polA//mtlD//mhpF//cysE//trpD//lpxA//phoA//alkA//
NtrC_neg	cynS//acs//
NtrC_pos	metK//ravA//paaC//codA//pgaD//paaC//glcD//ddlB//nemA//gpsA//phnL//ygeA//dgkA//nadC//cyoE//hcaC//wecE//ogt//phnO//gloA//serC//
OmpR_neg	ilvG_1//sgbE//entE//cheB//malZ//
OmpR_pos	paaE//uvrC//glpE//umpH//
OxyR_neg	mhpA//polB//phnH//caiA//lldD//
OxyR_pos	puuD//wrbA//hchA//manA//argF//ahpC//bioB//poxB//uxuA//hcp//dgcZ//lpxC//
PaaX_neg	rtcB//pfkA//fumC//ftsI//mtlD//frdD//glcD//glgC//alsE//
PdeL_pos	aspA//
PdhR_neg	dgcZ//pflB//tadA//zwf//uidA//dkgB//rhaB//hmp//hemH//nadA//dadA//rutD//araB//cysC//ilvB//mhpF//gltA//uxuB//kbaY//entE//mhpD//araA//feaB//
PdhR_pos	pgm//sgbE//
PepA_neg	pgaD//alaA//
PgrR_neg	dmsA//puuD//
PhoB_neg	ybjG//ansB//glcF//araD//patD//
PhoB_pos	arsC//murC//uvrB//deoD//nrdB//glgC//ynfH//sdhA//asnB//trpC//astC//luxS//prpB//ilvD//hyaC//cysG//phnM//
PhoP_neg	paaE//dadX//asnA//
PhoP_pos	argE//psd//paaY//leuA//narG//ravA//ygeA//paaJ//hycB//glgB//argH//frdA//argA//rfe//phnJ//galE//xapA//lhgO//glyA//bioB//cysK//uxaC//ulaG//waaZ//lysA//patA//tnaA//ilvD//cyoE//hypB//tktB//
PrpR_neg	
PrpR_pos	cysE//xylB//glyA//nagB//
PspF_neg	
PspF_pos	ftnA//
PurR_neg	epd//argI//nemA//wecE//argD//frdB//poxB//pck//atoB//cysI//pnp//aceB//moaA//hemH//napH//galT//astD//adhE//moeA//eno//purH//bioA//glcF//dadX//ribA//hycF//
PutA_neg	ackA//metF//
PuuR_neg	phr//hpt//lsrF//xdhC//oxc//gloA//
QseB_neg	
QseB_pos	
RbsR_neg	hyaA//glsA//ampD//carB//moaD//
RbsR_pos	rffC//
RcdA_neg	
RcdA_pos	allA//
RclR_pos	
RcnR_neg	nfsB//
RcsAB_neg	fucO//
RcsAB_pos	gor//argG//
RcsB-BglJ_pos	trpA//yqjH//
RcsB_neg	bglB//
RcsB_pos	rbsK//uvrC//glsA//
RelB-RelE_neg	speC//
RelB_neg	glgP//
RhaR_pos	
RhaS_pos	sufS//folE//hycD//icd//
Rob_neg	
Rob_pos	cynT//glsA//prpE//citE//speC//cysE//srkA//ynfE//fucI//cysI//lsrF//fabB//gcd//araA//fau//deoB//ddlB//glcB//dadA//
RstA_neg	gpmA//xdhC//
RstA_pos	patA//
RtcR_pos	nanK//pdxA//
RutR_neg	dhaK//ssuE//glmS//malZ//aceB//metL//rffG//entA//gloA//ampC//
RutR_pos	mhpB//
SdiA_neg	
SdiA_pos	
SgrR_neg	ssuD//
SgrR_pos	betB//tdh//
SlyA_neg	
SlyA_pos	rhaA//ilvH//dinB//tam//gntK//umpH//ynfH//cysE//moeB//
SoxR_neg	
SoxR_pos	pagP//
SoxS_neg	
SoxS_pos	dkgB//citG//ubiG//nadB//paaA//moeA//hycG//yeaG//ssuD//prpC//ahpF//oxc//garL//atoA//ogt//argD//ttdA//rutD//glcE//gatD//purE//mhpF//fabZ//tpiA//aroH//nrdB//
SrlR_neg	cysI//dinB//talA//
StpA_neg	amn//glgX//idnK//
SutR_neg	prmC//upp//
SutR_pos	
TdcA_pos	argD//hyaC//astE//napA//tnaA//
TdcR_pos	cynT//nrfD//rtcA//pykF//recD//
TorR_neg	hcaF//
TorR_pos	pnp//metH//fbaA//fadA//
TreR_neg	glpX//malQ//
TrpR_neg	ribA//uvrA//serA//garL//kbaY//fes//aceE//garD//gadA//
TtdR_pos	metB//pdeR//
TyrR_neg	ascB//glpA//bglB//waaY//lpxD//glcF//bioF//
TyrR_pos	pdeH//lpxD//rhaA//
UhpA_pos	bioD//
UidR_neg	fadM//rhaA//
UlaR_neg	fdhF//ruvA//allA//astA//gatY//
UvrY_pos	pdeF//fabZ//
UxuR_neg	lpd//preT//mngB//pnp//xylB//
XapR_pos	uvrA//aceA//
XylR_neg	
XylR_pos	sucB//phr//folA//
YdeO_neg	
YdeO_pos	ilvE//fabG//ubiX//
YefM-YoeB_neg	gatZ//
YefM_neg	gpmM//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	sgbH//serA//ahpF//glmU//acnA//nirB//
YjjQ_neg	guaB//pdeF//
YpdB_pos	
YqhC_pos	puuC//paaA//
YqjI_neg	pgaC//
ZntR_pos	nanM//
ZraR_pos	
Zur_neg	uidA//
