# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	mngB//glpE//
CRP_pos	nemA//sdhA//gatZ//purH//eno//gatZ//pagP//paaK//puuB//leuD//relA//folE//folE//moaA//dadX//ilvE//astE//metK//hemL//rtcB//kbaY//frdA//purE//purL//pfkA//dgcN//frdB//asnA//sucA//ilvN//pnp//udp//mraY//nirB//ubiG//folA//bioA//phoA//gatY//fadD//avtA//pnp//entD//ndh//ppc//citF//murG//gltX//puuC//alkA//pdxA//bglB//rsmA//ilvN//ftnA//nrfD//hemL//mpaA//purC//gutQ//malY//murD//fabD//murD//xapA//moeB//ulaE//rutA//nrdE//uxaA//malZ//murQ//recB//pgpC//uidA//fucI//betA//dkgB//glpQ//gadB//ilvC//pdeH//asnA//arsC//yeaG//purC//murE//trpD//aroG//grxA//hycE//ilvE//araB//argG//betA//allB//fucO//kbaZ//ddlB//frdB//paaK//moeA//ycjG//glpA//epd//mpl//garD//moeB//pdeR//sucD//nfsB//feaB//ulaE//hpt//ampC//yeaE//metE//ascB//ilvD//metH//tdcG//phnN//glcE//cueO//cysD//ilvN//hcaE//alsE//purB//paaA//moaA//sdhB//hycE//ilvB//fabD//pheT//ilvG_1//ilvC//dgcC//rimK//ppc//bioA//citD//tyrA//acs//ubiX//moaD//moaA//glpD//lsrF//hycG//ndh//puuC//glpE//tnaA//nanK//citD//nadC//rtcB//uxuA//deoC//adiA//ftsI//glcD//tpiA//tdcD//moaA//melA//prpC//mhpF//hyaA//fruK//entH//uxaA//purC//paaJ//frdB//edd//napA//trmD//gltA//mhpE//treC//sucC//xdhA//araB//tehB//uxuB//sodB//bglB//lpxC//gpmM//glxR//rutB//fucK//mnmG//mhpA//serA//metF//gntK//glgP//hyaC//pheT//wrbA//fau//lpxA//pheS//lacA//ilvG_1//dgcN//ada//nagA//betA//fes//prs//queA//ycjG//hycC//lhgO//fadD//preT//carB//yedX//metE//argA//allB//dacC//hcaB//chbG//dapB//puuB//ppiA//tynA//pepD//torC//pdeH//sdhB//ugpQ//cpdB//mltF//gpmA//caiC//purM//pgi//ddlB//pgi//dgcN//rutA//hemH//
CadC_pos	ppsA//ravA//rbsK//
CaiF_pos	phnP//alaC//nrdF//malP//glcB//
Cbl_pos	nrfA//tam//nagA//purE//purF//
CdaR_pos	entB//malY//nrdD//malY//nirB//lacA//pgk//hcaC//cysC//
CecR_neg	garR//
ChbR_neg	sgbE//trpD//gltD//
ChbR_pos	accD//ycjG//paaA//
ComR_neg	
CpxR_neg	metE//entA//aroG//
CpxR_pos	tdcG//glnA//codA//rfe//glgC//garK//gatY//cdd//lpxC//torC//sucA//gntK//prs//srlD//gabD//dadA//cpdB//rfe//
Cra_neg	trpB//metH//ynfH//ilvA//argF//bcsB//sdhC//frc//gor//dapB//phnH//sufS//astB//napH//puuB//yeaE//torA//adiA//caiC//murQ//alsE//fabB//astD//dmsB//grxA//serA//gltX//pgpC//argI//pdxA//preT//gadA//phnM//moeA//appA//entB//frdA//uxuB//avtA//dmsB//poxB//rnpB//phnJ//phr//glcB//
Cra_pos	tpiA//dkgA//mazG//ldtB//cyaA//nfsA//narH//malP//epd//idnK//gcd//aroA//fadJ//gltA//ldtB//aroH//glgA//
CreB_neg	yedX//
CreB_pos	rnpB//
CsgD_neg	puuE//puuD//
CsgD_pos	glxR//mpl//citF//
CsiR_neg	umpH//hypF//rffH//trmD//
CspA_pos	nemA//
CueR_neg	fadB//rbsK//rffT//
CueR_pos	pgaD//thrS//
CusR_pos	carA//paaC//phnJ//metA//
CynR_neg	
CynR_pos	moaC//pflB//lhgO//
CysB_neg	uvrB//ampC//rffT//
CysB_pos	cysM//ogt//pgaC//prpE//ubiA//ampC//ackA//idnD//lpd//ldtC//ldtC//rhaB//polA//psd//
CytR_neg	aceB//fucK//phnI//entE//glcF//galK//arsC//nrdD//gatZ//ynfG//
DcuR_pos	tauD//astC//uxaC//ftsI//
DeoR_neg	napB//guaB//hemL//yqhD//kbaZ//mpl//
DhaR_neg	
DhaR_pos	puuA//
DicA_neg	
DinJ-YafQ_neg	dhaK//
DnaA_neg	rutA//kbaY//aroG//queA//paaJ//
DnaA_pos	zwf//paaK//mraY//
DpiA_neg	
DpiA_pos	folA//leuD//phoA//glpA//edd//
DsdC_neg	
DsdC_pos	rhaD//entA//
EbgR_neg	
EnvR_neg	moeB//ydcS//
EnvY_pos	alsE//betB//
EvgA_pos	hemH//rbsK//glmU//sodA//acnB//malY//
ExuR_neg	argG//amn//ynfF//ugpQ//cyaA//rffC//
FNR_neg	yfdE//argB//ilvA//dgcZ//folA//rutA//lpxD//lysC//entF//tnaA//guaA//nrfD//betB//pgm//serA//rutB//mnmG//hycC//fabZ//srlD//deoC//malY//hemL//kbaY//astD//fbaB//pepD//gatZ//garL//fucI//paaJ//add//xdhC//cynS//ubiX//accA//rpiB//pyrD//ynfH//purE//mltF//rffT//cysM//bioB//
FNR_pos	idnK//argI//fabZ//sgbE//idnK//sucA//polA//sgbH//srkA//luxS//araB//gatY//sucD//fucU//phnL//ilvB//fabB//tnaA//dgcN//recF//glpC//gltA//leuD//lsrG//metC//hycF//lpd//uidA//cysJ//dkgB//nrdA//idnK//cysD//trmA//argC//nrfD//hcaE//gltX//aroG//luxS//entA//mhpD//carB//relA//add//lysC//paaK//caiB//cueO//bioA//glpQ//phnG//sgbU//preA//aroL//nagB//bioD//ilvC//glgA//agp//ldtC//hcaF//moaD//uxuB//gatD//metA//waaZ//rbsK//hycG//gcvH//hycF//nrfA//moeA//dkgB//allB//rnpB//paaA//aroF//uxaB//malY//hcaD//upp//folE//accD//dmsA//fbaA//tadA//adiA//nanM//ldtB//gpsA//nrdA//frc//prpC//pgi//sdhC//
FabR_neg	srkA//puuA//metL//
FadR_neg	entF//frc//aceB//napH//xapA//caiB//glcB//dgcZ//narG//
FadR_pos	rtcA//srkA//deoD//accA//tehB//pheT//dacC//ubiC//narH//narH//
FeaR_pos	uxaC//sucB//
FhlA_pos	manA//lysU//bacA//ampC//gadA//cysH//paaC//astA//
Fis_neg	rtcA//wecC//murC//gabD//nfsB//rsmA//gutQ//tdcE//nanK//gntK//tam//acnA//gloA//hcaD//argA//aroH//galK//dacC//pflB//sucD//gcl//dgcN//thrS//fadA//poxB//frdC//cynT//bcsB//napH//alsE//sbcD//glmU//cheR//phnH//ahpC//rbsK//guaA//glpQ//idnD//carB//malY//hyaB//ahpC//fabD//cynS//bioD//
Fis_pos	carB//pflB//speB//malQ//mhpB//hcaB//bacA//glpE//cmoM//bglB//ygeA//fadD//nrfC//frdA//prpC//pdeH//metC//kbl//frdA//entB//rutA//umpH//hypB//asnB//argB//lpd//hycE//gltA//eno//hcaD//sgbH//allB//rffG//xdhC//fumB//ilvB//rutE//
FlhDC_neg	rutB//alaA//
FlhDC_pos	allB//dgcN//kbl//fucI//wzb//mltF//ilvB//leuC//cadA//ynfF//gcd//fucK//
FliZ_neg	purD//glcB//argF//xdhA//rsmH//
FucR_pos	xdhC//tktB//deoB//rpiB//mhpD//hcaF//
Fur_neg	sdhA//citD//fruK//bcsZ//fadM//carB//moaE//paaH//hycD//caiA//sucD//ilvG_1//uvrA//glcD//rhaA//rffH//lpd//allB//bioA//phnP//cheB//ada//alsE//tyrA//moaD//iscS//metC//ndh//rsmH//murG//hcaE//waaZ//rsmA//ansB//araB//dgcN//phnH//glgC//prpD//yeaG//gabD//purE//paaJ//ppiA//talA//cyoE//mhpB//entB//aceE//wecB//fadJ//cysI//hycD//
Fur_pos	murD//lhgO//paaJ//yeaG//srlD//katE//ruvB//umuD//adiA//ldtB//cpdB//hcaB//relA//dsdA//malP//ulaD//
GadE-RcsB_pos	lysU//tdcG//frdA//dinB//mngB//
GadE_pos	guaB//phoA//caiA//lsrF//murQ//wzb//bglB//fabI//moaA//pncB//
GadW_neg	acnA//napA//alsE//
GadW_pos	fruK//sdaA//fucK//fucO//
GadX_neg	lacZ//paaE//
GadX_pos	waaY//cysE//ccp//rtcB//rtcA//fabG//pfkA//trpD//ilvG_1//purC//metC//
GalR_neg	pyrC//adeD//fadA//ppsA//purH//mazG//
GalR_pos	sdhD//gor//sucA//gloA//
GalS_neg	chbF//preT//entH//kbaZ//cpdB//psd//
GalS_pos	alsE//tpiA//lacA//dinB//
GatR_neg	nanK//sucB//hemA//
GcvA_neg	cyaA//aroH//rsmH//
GcvA_pos	xdhA//luxS//hypB//
GlcC_neg	
GlcC_pos	puuC//araD//fes//
GlpR_neg	adhE//hycE//araD//argB//relA//argG//chbF//
GlrR_pos	
GntR_neg	mngB//moaA//glxR//leuD//dhaM//nanA//leuD//ynfG//pdeF//
GutM_pos	lacA//pnp//eno//
H-NS_neg	xylB//zwf//lpxD//nanM//citD//rbsD//puuB//aroA//purD//glpD//ubiC//fadH//narI//allD//uxuB//ynfE//prs//lhgO//sdhD//avtA//aceE//uvrB//fadE//astA//hycG//aroH//metE//glgA//pdxA//pheT//lsrG//pfkA//ndh//ybjG//umuC//napG//apaH//gcvH//amn//fucA//dgcC//metL//serA//manA//ldtB//ndh//metB//gudD//purD//araD//paaF//
H-NS_pos	araA//rhaD//dhaL//pepD//rbsD//araA//hchA//pspE//nfsA//hycG//nrdF//frdB//glpC//argI//xdhC//
HU_neg	puuD//metK//gatZ//aceE//tyrB//tpiA//cyoE//
HU_pos	
HcaR_neg	
HcaR_pos	tpiA//lacZ//
HdfR_neg	
HdfR_pos	
HigA_neg	argE//
HigB-HigA_neg	mpaA//
HipAB_neg	bioA//ruvB//
HipB_neg	talA//hypF//citC//
HprR_neg	aroF//lpxD//
HprR_pos	kbaZ//purB//
HyfR_pos	ruvA//
HypT_neg	hyaB//frdB//
HypT_pos	araA//glmU//mhpE//ynfE//glxR//
IHF_neg	gnd//sdhA//gutQ//pyrD//sucD//dapB//bacA//lpxC//purB//idnD//sodA//hyi//gcvH//gpmA//glpQ//pgpC//sdhC//fadB//sbcC//kbaY//glpX//citE//ddlB//chbF//waaY//sucB//glcB//speA//manA//malP//cysG//argG//gatY//lpxD//bcsB//uxaC//serC//paaK//trpD//metK//trpD//moaD//hmp//
IHF_pos	mhpD//alaA//sufS//slt//hcaF//asnB//purF//nagB//acnA//fadJ//dgcZ//wzc//ubiG//wzc//fucO//glcE//mhpE//deoC//pgaC//rimK//yqhD//pdxA//preT//feaB//ung//cdd//pdxA//codA//ilvH//moeA//lsrG//ttdB//betB//malQ//fucU//atoB//fadH//gltD//gatY//ddlB//ampD//sgbE//fabZ//purK//lsrK//mraY//mhpF//sucA//treC//rbsD//gcvH//rbsK//nrdE//fbaB//oxc//serA//pgaD//hcaB//rpiB//sucB//uxuB//ruvB//ubiA//hypF//dgcZ//araB//fbaB//fabD//deoA//glpA//dadX//
IclR_neg	dusB//hyi//ilvD//
IdnR_neg	nanE//ansB//
IdnR_pos	patD//queA//glpK//mpaA//
IlvY_neg	
IlvY_pos	paaI//
IscR_neg	srlD//ilvB//cysE//umuC//polB//cysN//
IscR_pos	ycjG//ampC//
KdgR_neg	cysN//purM//
KdpE_pos	queA//
LacI_neg	gltD//dhaM//yfdE//
LeuO_neg	
LeuO_pos	prmC//lysA//tynA//gutQ//deoD//ilvA//
LexA_neg	mhpF//ada//tpiA//uvrB//tauD//fadH//sgbU//fucO//paaE//moaE//mhpD//rffM//caiD//adhE//patZ//idnD//xdhA//ilvM//puuB//moaC//nrfA//ubiC//idnK//
LldR_neg	aroG//pgaB//
LldR_pos	serC//paaI//
LrhA_neg	
LrhA_pos	
Lrp_neg	rhaD//phnO//epd//rhaB//fruK//hycB//mltF//nrdF//ampD//gpmA//astC//dadX//mhpF//lysC//idnD//mdh//pdeR//paaA//argE//mhpE//psd//gadA//pdeH//
Lrp_pos	cysN//codA//malQ//allB//pgpC//astC//pdeL//metA//phnI//umuC//ascB//glcB//glsA//malP//glcF//trpE//citE//phnG//uvrC//amn//
LsrR_neg	waaZ//moaA//nagA//pgi//rbsK//
LysR_neg	
LysR_pos	amiA//
MalI_neg	atoB//pdeF//
MalT_pos	purL//paaZ//relA//nrdE//puuC//hyaB//
MarA_neg	ravA//
MarA_pos	gadA//relA//purM//glgC//paaY//argC//argF//gutQ//prpC//phnO//nirB//astA//nadA//fumC//yedX//fes//caiA//rtcB//sdhD//citX//tktB//sgbU//metF//
MarR_neg	
MatA_neg	carA//
MatA_pos	
MazE-MazF_neg	entB//
MazE_neg	cpdB//
McbR_neg	
McbR_pos	
MelR_neg	ybjG//nfsB//
MelR_pos	folA//pgaD//
MetJ_neg	poxB//ribA//prpB//folE//glk//pgaB//sucC//argE//gabT//fadM//
MetR_neg	add//
MetR_pos	atoD//uxuB//dgcN//hycG//
MhpR_pos	lsrF//nrdB//fucO//sdhD//bioD//prs//
Mlc_neg	recD//tadA//gabD//gpmM//
MlrA_pos	ynfG//
MngR_neg	dgcZ//ilvA//
MntR_neg	phr//
MntR_pos	glgP//
ModE_neg	rpiB//frdB//galK//sodA//pheS//chbF//bioF//lysC//
ModE_pos	entF//tdcE//rnpB//mhpD//fabA//yqjH//cyaA//hmp//galE//
MprA_neg	ygeA//uvrC//hemF//
MqsA_neg	ldtD//wecE//
MraZ_neg	garL//aroG//accD//napG//nagB//fbaB//malY//pspE//pspE//putA//
MurR_neg	aroG//bioD//cysG//
MurR_pos	
Nac_neg	hypF//astE//fumC//
Nac_pos	ilvB//ahpC//fau//purL//waaH//pspE//katE//paaH//
NadR_neg	nrfD//ppc//nanK//mtlD//
NagC_neg	chbF//caiC//mazG//speB//torA//preA//phnG//dhaK//hyaB//cueO//queA//dacC//argD//chiA//metA//prs//wzb//dhaM//
NagC_pos	gpsA//glcD//
NanR_neg	narH//rutB//napB//sufS//mhpA//rutB//
NanR_pos	
NarL_neg	malQ//phnN//fucU//feaB//ftsI//hcaE//alsE//ttdB//gatZ//putA//cheB//ahpF//purE//frc//speC//polB//gltX//lacA//phnJ//cynT//nrdD//rtcA//mraY//ubiA//lysU//purL//ada//lacA//
NarL_pos	mltF//adeD//citE//fruK//sdhD//srlD//mdh//lysU//xylB//alkA//aceB//nrfA//sucA//aroF//ravA//
NarP_neg	accC//idnK//glpE//hcaF//paaB//
NarP_pos	entE//sgbE//asnB//mraY//guaA//nanE//fadD//ahpF//argF//rutA//fadH//melA//pgaC//polB//
NemR_neg	gatZ//feaB//
NhaR_pos	dhaL//hycC//deoA//wecE//folE//
NikR_neg	ugpQ//
NimR_neg	ulaF//
NorR_neg	
NorR_pos	uxuA//
NrdR_neg	ung//paaI//thrS//hycF//
NsrR_neg	fabB//hcaB//glcF//purF//cyoE//fadI//fadI//fucO//entE//tam//srkA//alsE//glcE//glpX//trpA//carB//gabT//paaG//cueO//ccp//araD//ldtB//ppsA//fucI//yiaK//pgi//xdhB//chiA//thrS//fadH//relA//trpC//ribA//fucK//metK//eno//moeB//hflX//tdh//epd//
NtrC_neg	pepD//frdB//
NtrC_pos	pheT//hemF//astB//yedX//metF//mhpA//prpC//dmsB//icd//nrfD//paaH//dusB//ynfH//nadC//ssuE//ulaE//aroA//codA//galE//dapB//kbl//
OmpR_neg	cmoM//entD//ulaD//edd//gpmA//
OmpR_pos	fabD//nadA//rpiB//guaA//
OxyR_neg	fucI//rfe//rpiB//prpE//wecE//
OxyR_pos	xdhC//acnA//yeaG//mhpA//leuC//psd//phnL//gadA//uxaA//citX//leuD//eno//
PaaX_neg	purL//argE//nirD//glyA//metK//xapA//rimK//citG//ddlB//
PdeL_pos	aroA//
PdhR_neg	torC//cysI//fes//xdhB//glsA//entF//asnA//purL//ttdB//carB//truB//patA//prpE//asnB//patD//kbl//aroF//fadE//poxB//glsA//tdh//betB//phnM//
PdhR_pos	acnB//phnP//
PepA_neg	sufS//grxA//
PgrR_neg	tpiA//phnM//
PhoB_neg	astB//cynS//pheS//tdcB//slt//
PhoB_pos	atoD//ravA//nrfC//rpiB//hemH//pgk//torA//fabA//hcaF//ulaD//glgC//tnaA//pspE//fumB//metB//astB//cdd//
PhoP_neg	wrbA//bcsZ//astA//
PhoP_pos	mhpA//ubiC//talA//torA//cysD//ilvH//entC//pdeH//pspE//sodA//trpE//pncB//phnP//gapA//hemA//astD//garD//phnJ//trpC//ugpQ//rbsD//hcaE//nfsA//tadA//paaK//yeaE//betB//folA//sdaA//malQ//phnP//
PrpR_neg	
PrpR_pos	gabD//cysM//yqhD//ilvH//
PspF_neg	
PspF_pos	aspC//
PurR_neg	yfdE//metC//rutC//purL//waaZ//dmsC//uvrB//yedX//argG//bioB//uxuA//gatD//rhaB//putA//rffH//ttdB//aldB//lysC//leuB//phnO//phnP//dadX//cynS//gatY//ppsA//ascB//
PutA_neg	mnmG//gltX//
PuuR_neg	narH//wecB//sucB//ldtB//puuB//dhaK//
QseB_neg	
QseB_pos	
RbsR_neg	dmsA//uxuB//ppsA//alsE//hcp//
RbsR_pos	pgaD//
RcdA_neg	
RcdA_pos	lyxK//
RclR_pos	
RcnR_neg	srkA//
RcsAB_neg	napA//
RcsAB_pos	ilvB//fadM//
RcsB-BglJ_pos	aspC//trmD//
RcsB_neg	ubiC//
RcsB_pos	nadA//hemL//purN//
RelB-RelE_neg	hycD//
RelB_neg	polB//
RhaR_pos	
RhaS_pos	nrfD//psd//argB//prpD//
Rob_neg	
Rob_pos	umpH//dgcC//pgaD//dgkA//cysE//phnH//allC//tnaA//ilvI//cysK//aldB//iscS//metL//gabD//allE//hycG//ilvG_1//lsrK//cysK//
RstA_neg	moaC//ldtD//
RstA_pos	ahpC//
RtcR_pos	argA//dgcZ//
RutR_neg	ruvB//dmsB//cdd//psd//nadC//lsrG//rhaA//hcp//ruvB//nrdF//
RutR_pos	napH//
SdiA_neg	
SdiA_pos	
SgrR_neg	katE//
SgrR_pos	gabD//entE//
SlyA_neg	
SlyA_pos	citE//dhaL//umuD//prpC//murF//ftnA//rffC//wrbA//yqhD//
SoxR_neg	
SoxR_pos	poxB//
SoxS_neg	
SoxS_pos	phnL//aroH//napG//caiB//puuD//astE//folE//polB//pgk//dmsA//phnO//sucC//hcp//tdh//acs//garK//ilvM//sdhD//malQ//carA//narG//glyA//lysA//pnp//treC//rffH//
SrlR_neg	metA//trpB//treC//
StpA_neg	rutA//treC//mhpC//
SutR_neg	tktB//chiA//
SutR_pos	
TdcA_pos	acs//rutD//cysE//pheS//astB//
TdcR_pos	xapA//rffT//glgA//putA//trpA//
TorR_neg	cysJ//
TorR_pos	ung//sodA//leuC//umuC//
TreR_neg	ilvN//phoA//
TrpR_neg	ung//sgbE//gor//fumB//hyaC//astB//hcaD//pgaC//ccp//
TtdR_pos	puuE//puuC//
TyrR_neg	avtA//fabH//cpdB//ulaG//gntK//prs//mtlD//
TyrR_pos	ansB//citX//aceE//
UhpA_pos	metH//
UidR_neg	caiA//lldD//
UlaR_neg	rfe//pgm//puuD//gudD//gcvH//
UvrY_pos	sdhC//metF//
UxuR_neg	folA//fabA//dmsB//acnB//iscS//
XapR_pos	tadA//allC//
XylR_neg	
XylR_pos	pnp//upp//gnd//
YdeO_neg	
YdeO_pos	lldD//umuD//dkgA//
YefM-YoeB_neg	rffG//
YefM_neg	pck//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	bcsB//kbaZ//caiD//rtcB//umuC//ulaG//
YjjQ_neg	ndh//uxuB//
YpdB_pos	
YqhC_pos	pck//feaB//
YqjI_neg	cysJ//
ZntR_pos	purN//
ZraR_pos	
Zur_neg	gntK//
