# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	araD//fabZ//
HU_neg	umuC//pflB//araA//fadA//zwf//carB//cysM//
HU_pos	
HcaR_neg	
HcaR_pos	gntK//moaC//
HdfR_neg	
HdfR_pos	
HigA_neg	recF//
HigB-HigA_neg	narI//
HipAB_neg	wecC//gatD//
HipB_neg	arsC//alsE//upp//
HprR_neg	cysK//astD//
HprR_pos	citC//talA//
HyfR_pos	pyrD//
HypT_neg	allC//mhpF//
HypT_pos	ada//sgbH//ulaF//glgC//rffH//
IHF_neg	garK//lpxC//hycD//glxK//purM//deoC//asnA//uvrA//napH//mpaA//yedX//aroA//paaZ//entH//alaC//chbG//eda//dmsC//katE//xdhC//xdhC//lpxA//truB//murD//fes//trpC//cadA//aroF//prpE//pgaC//garR//gudD//hcaC//sgbU//frdB//slt//cueO//paaF//pgaD//bioA//nrfC//glgB//ravA//
IHF_pos	waaY//dapB//puuE//glcB//sodA//entB//umuD//leuC//mtlD//garL//fabI//aldB//yeaG//adhE//hpt//glpB//dapB//tpiA//uxuA//purD//dsdA//astB//rhaD//dmsB//purA//cueO//sdhA//rsmA//ubiG//wrbA//moaD//wrbA//rffH//nfsB//mtlD//fabZ//ulaE//atoA//folA//fabB//ynfH//ung//eno//ddlB//dgkA//citF//ackA//cynS//frdD//psd//rhaA//nadA//ldtC//uvrB//aroH//ubiG//nrfD//ppc//hflX//fadH//pgm//fumA//gltA//chbG//moaC//glpK//dhaK//pgaB//allB//acnB//gltA//
IclR_neg	nirD//phr//puuA//
IdnR_neg	pgm//torC//
IdnR_pos	yfdE//yqjH//ubiC//glgX//
IlvY_neg	
IlvY_pos	cynT//
IscR_neg	ruvA//aldA//mhpE//bcsZ//leuD//rutA//
IscR_pos	wecC//ynfF//
KdgR_neg	rutD//nrdB//
KdpE_pos	napA//
LacI_neg	apaH//aspA//glxR//
LeuO_neg	
LeuO_pos	entD//mhpB//kbaZ//sodB//guaA//fabB//
LexA_neg	agp//wecB//aroH//tdcE//fbaB//fadM//hpt//dapD//patA//lsrG//aroF//fadA//napG//cynS//lysA//glpA//fbaA//alaC//ilvI//metA//sdhB//fucO//waaY//
LldR_neg	ttdB//dmsA//
LldR_pos	cysM//acnB//
LrhA_neg	
LrhA_pos	
Lrp_neg	udp//fdhF//prpB//nirD//ruvB//narH//ampD//sodA//hycG//nanM//sdaA//allD//pheT//bglB//frdD//purF//entA//lsrG//hycF//glcD//dmsC//gltX//talA//
Lrp_pos	polA//tam//dinB//cheR//mhpD//fbaB//moaA//purF//gatZ//rsmA//ldtD//purD//gcd//ilvB//atoA//purK//paaY//atoD//paaZ//rtcA//
LsrR_neg	preA//polA//ygeA//appA//puuD//
LysR_neg	
LysR_pos	gloA//
MalI_neg	glsA//prpD//
MalT_pos	caiB//arsC//hyaC//malZ//rsmH//accA//
MarA_neg	mltF//
MarA_pos	gudD//preA//frdC//recF//rsmA//dapB//pepD//chiA//moaE//ogt//trpB//fabG//aroA//rffM//tyrA//uxaB//hyi//deoD//trmA//gltX//nadC//astD//umpH//
MarR_neg	
MatA_neg	fadE//
MatA_pos	
MazE-MazF_neg	gadA//
MazE_neg	frdA//
McbR_neg	
McbR_pos	
MelR_neg	ygeA//ulaE//
MelR_pos	ynfF//xapA//
MetJ_neg	paaB//rffH//mnmG//lsrG//pfkA//ppc//sgbU//ftnA//ynfH//aspA//
MetR_neg	glpK//
MetR_pos	pheT//entC//pflB//purF//
MhpR_pos	moaA//ilvA//phnL//glpK//xdhA//dinB//
Mlc_neg	allC//dkgA//hcaF//bcsZ//
MlrA_pos	rimK//
MngR_neg	paaG//xylB//
MntR_neg	fabI//
MntR_pos	patZ//
ModE_neg	cysN//kbaY//ilvD//purC//accD//nadC//betA//nagB//
ModE_pos	ynfF//mraY//uvrA//sodA//yfdE//ilvG_1//malZ//fau//glgX//
MprA_neg	aceA//hemA//guaA//
MqsA_neg	fabD//ttdA//
MraZ_neg	chbF//trpC//xylB//prpE//amn//ppc//cyoE//fadB//dapD//mhpD//
MurR_neg	atoA//fabI//fucK//
MurR_pos	
Nac_neg	argI//paaI//fumB//
Nac_pos	katG//chiA//aceF//add//glgA//prpC//ulaF//glgC//
NadR_neg	hypF//polA//aceF//ynfH//
NagC_neg	xylA//malS//upp//agp//hcaC//prpE//guaA//ahpC//trpB//patZ//caiB//gltX//rsmH//mhpD//gapA//uxaA//moeA//tynA//
NagC_pos	gltA//astE//
NanR_neg	glyA//fau//caiB//malY//ygeA//ldtC//
NanR_pos	
NarL_neg	alaC//caiA//rffH//frc//glcE//pgm//prpE//glcD//pdeR//yqhD//sucA//ppc//fadJ//gltA//garD//fadE//wrbA//patA//hycE//gltD//pfkA//cheR//cysD//uxaC//paaF//frc//nfsB//ubiA//
NarL_pos	napA//cysC//pck//paaZ//puuE//uxuA//astB//moeB//dgcC//grxA//pheT//hycD//dadA//fabA//rhaB//
NarP_neg	waaZ//fucK//chbF//trpA//mpaA//
NarP_pos	dkgA//serA//recF//pheT//sgbE//eno//mdh//glpE//gutQ//preT//luxS//mhpD//hyi//deoD//
NemR_neg	ydcS//mhpA//
NhaR_pos	nanM//wecB//grxA//galT//grxA//
NikR_neg	murF//
NimR_neg	gpmA//
NorR_neg	
NorR_pos	acs//
NrdR_neg	gudD//astA//truB//ilvC//
NsrR_neg	entF//puuE//garK//ftnA//speA//dmsC//waaH//mngB//ubiX//leuA//chbG//fbaB//lacZ//aspA//carB//trmD//carB//mhpE//ilvA//purL//argA//pdeL//nrfA//tdcB//recD//tyrB//nrdE//mpaA//purH//rffC//dapD//glnA//astD//dhaL//citX//deoB//moaE//glpA//argH//nfsB//
NtrC_neg	garK//citD//
NtrC_pos	lpxA//fbaA//tpiA//cysM//fruK//ampD//citD//fabI//fumB//citD//caiA//yfdE//argH//dinB//ubiX//hemL//purD//fucO//glnA//malS//alaA//
OmpR_neg	cueO//puuE//acs//rffG//entE//
OmpR_pos	mdh//fabD//phnO//pdeR//
OxyR_neg	metF//atoB//hemA//rffH//hycB//
OxyR_pos	prpE//yfdE//ruvA//phnM//fau//ilvB//umuC//entF//lpxA//pdxA//glpQ//gltA//
PaaX_neg	nfsA//ppsA//dadA//ackA//glpA//glpC//fabD//phnL//uxuA//
PdeL_pos	sucB//
PdhR_neg	dgkA//trmA//glpC//gnd//mdh//accD//ychF//wrbA//torA//citX//nrdA//caiA//acs//wecB//preT//allA//hycD//hflX//allA//uxaB//argD//ttdA//ygeA//
PdhR_pos	umpH//wecE//
PepA_neg	ada//trpA//
PgrR_neg	thrS//hemH//
PhoB_neg	aceA//wecC//araA//phnI//pdeL//
PhoB_pos	entH//rutC//xylA//aroA//moeA//patD//ldtC//hcp//fucO//allB//argE//entC//gcvH//ynfF//sodB//mhpA//napH//
PhoP_neg	mhpA//paaY//fumA//
PhoP_pos	ung//rhaB//chbF//rtcB//pspE//dusB//mhpA//uvrC//bioB//ribA//yedX//murF//atoD//ubiG//uvrB//trmA//ackA//nfsA//pdeL//rpiB//astE//wrbA//allD//glpX//moeA//uxaB//hyaA//paaJ//aldA//fumA//phnM//
PrpR_neg	
PrpR_pos	slt//fumB//ddlB//pdxA//
PspF_neg	
PspF_pos	dgkA//
PurR_neg	pyrD//paaZ//entH//cynS//paaB//hcaC//deoB//allE//hycG//entD//ulaF//dsdA//argH//tadA//alkB//paaE//bacA//ldtD//nfsA//yedX//trpB//dacC//chbG//tnaA//dgcC//feaB//
PutA_neg	rnpB//moaE//
PuuR_neg	truB//mltF//phnP//gloA//uxaC//talA//
QseB_neg	
QseB_pos	
RbsR_neg	hcp//chbG//tynA//nrfC//aroG//
RbsR_pos	pck//
RcdA_neg	
RcdA_pos	allC//
RclR_pos	
RcnR_neg	fabG//
RcsAB_neg	nadA//
RcsAB_pos	sgbE//dmsA//
RcsB-BglJ_pos	trpC//tdh//
RcsB_neg	ygeA//
RcsB_pos	frdC//trpD//rbsK//
RelB-RelE_neg	betA//
RelB_neg	gloA//
RhaR_pos	
RhaS_pos	ulaG//kbaZ//ilvE//paaZ//
Rob_neg	
Rob_pos	allC//guaB//gloA//malP//xylA//uvrC//icd//preA//wecC//xylA//tam//speB//glk//murQ//purF//katG//purA//mltF//ampD//
RstA_neg	epd//xylA//
RstA_pos	katG//
RtcR_pos	speA//malS//
RutR_neg	ilvD//fadD//lpxC//ttdA//add//hycD//glpB//pdeL//pgaD//purK//
RutR_pos	pdeL//
SdiA_neg	
SdiA_pos	
SgrR_neg	metE//
SgrR_pos	trmA//ppc//
SlyA_neg	
SlyA_pos	aroG//fabZ//glpX//nrdD//tdcD//asnA//tdcG//ampD//dinB//
SoxR_neg	
SoxR_pos	moeB//
SoxS_neg	
SoxS_pos	lsrF//fabG//nemA//recD//dacC//waaY//trmA//gapA//entD//cheR//waaZ//relA//phnH//dadA//cysC//gabT//speA//lacA//citC//mhpE//hycD//yfdE//kbl//ada//gntK//mtlD//
SrlR_neg	rutC//mhpB//idnD//
StpA_neg	dsdA//tdcG//ldtB//
SutR_neg	narG//purL//
SutR_pos	
TdcA_pos	carB//nemA//yiaK//ynfH//garL//
TdcR_pos	alaC//phnN//ybjG//glpA//yeaE//
TorR_neg	rffH//
TorR_pos	pyrD//dkgA//pyrC//glnA//
TreR_neg	dadA//ftnA//
TrpR_neg	argA//gabD//phnN//rbsD//malP//phnM//ppiA//ubiA//ampD//
TtdR_pos	uvrC//hmp//
TyrR_neg	purD//ogt//ychF//sufS//hcaF//hflX//alkB//
TyrR_pos	gabT//hchA//nanK//
UhpA_pos	tnaA//
UidR_neg	metC//fdhF//
UlaR_neg	narH//argE//metE//sdhD//tktB//
UvrY_pos	avtA//rffC//
UxuR_neg	pdeL//hycC//fadJ//gcl//hpt//
XapR_pos	grxA//uxuA//
XylR_neg	
XylR_pos	metA//nrfC//cysK//
YdeO_neg	
YdeO_pos	uvrB//acnB//fbaB//
YefM-YoeB_neg	moeB//
YefM_neg	trpB//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	fau//napG//ilvC//purB//ada//rtcB//
YjjQ_neg	cysG//kbaZ//
YpdB_pos	
YqhC_pos	glxK//tnaA//
YqjI_neg	thrS//
ZntR_pos	ulaG//
ZraR_pos	
Zur_neg	umuC//
