# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	nrdF//ascB//
PrpR_pos	idnD//fucK//sgbH//alaS//
PspF_neg	
PspF_pos	metL//
PurR_neg	dapB//rutB//yiaK//fumA//entB//puuD//caiA//fruK//rbsD//galM//zwf//entE//dapB//cysH//dinB//xapA//trpB//rffC//aspA//kbl//glmU//kbl//deoB//hmp//deoB//fadJ//
PutA_neg	entB//fucA//
PuuR_neg	luxS//malZ//trpB//wecC//uxaB//gatY//
QseB_neg	
QseB_pos	
RbsR_neg	idnK//bioD//aroL//nadB//dmsC//
RbsR_pos	guaB//
RcdA_neg	
RcdA_pos	grxA//
RclR_pos	
RcnR_neg	hycC//
RcsAB_neg	nirB//
RcsAB_pos	gltB//hemH//
RcsB-BglJ_pos	pheS//ansB//
RcsB_neg	pagP//
RcsB_pos	murD//sucA//alsE//
RelB-RelE_neg	torA//
RelB_neg	metA//
RhaR_pos	
RhaS_pos	thrS//katE//fadI//eno//
Rob_neg	
Rob_pos	lpxC//cueO//ansB//rpiB//ansB//aceA//ycjG//allC//pyrC//astE//ulaG//ubiX//hcaB//citD//pdeR//pykF//ung//gabD//metK//
RstA_neg	add//cysI//
RstA_pos	tdcD//
RtcR_pos	umuD//hcaF//
RutR_neg	phnP//guaB//alkB//hflX//puuE//ilvB//ydcS//mhpF//uvrA//bioB//
RutR_pos	fau//
SdiA_neg	
SdiA_pos	
SgrR_neg	uxaC//
SgrR_pos	nrfD//iscS//
SlyA_neg	
SlyA_pos	idnK//hflX//hcp//ruvA//ahpC//hcaB//bioC//pdeH//allB//
SoxR_neg	
SoxR_pos	ahpC//
SoxS_neg	
SoxS_pos	pheS//oxc//pspE//moaD//pykF//nfsB//garL//sdhA//hypF//deoB//truB//torC//gabT//nrdA//arsC//wrbA//phnP//hcaB//uxaB//wzb//ilvE//umpH//dgkA//pgk//srkA//nrdB//
SrlR_neg	hypF//gltB//aceB//
StpA_neg	rhaB//ilvI//glpX//
SutR_neg	alkB//glpE//
SutR_pos	
TdcA_pos	fucO//napB//fumA//murC//phnM//
TdcR_pos	mhpE//phnH//pdeF//ilvM//ahpF//
TorR_neg	puuE//
TorR_pos	accC//murF//phnG//entE//
TreR_neg	uidA//kbaZ//
TrpR_neg	pspE//gadB//nemA//dinB//fabB//entE//purB//speC//fumC//
TtdR_pos	argB//sucD//
TyrR_neg	bcsZ//asnA//eda//codA//betB//sgbE//ynfG//
TyrR_pos	ansB//murI//glcF//
UhpA_pos	araD//
UidR_neg	ppc//ppc//
UlaR_neg	pdeF//rutE//rhaB//ackA//garL//
UvrY_pos	purK//ttdA//
UxuR_neg	dkgB//fabI//dhaM//lpxC//nanM//
XapR_pos	pepD//carA//
XylR_neg	
XylR_pos	serC//glpD//sucD//
YdeO_neg	
YdeO_pos	sbcD//sgbE//waaZ//
YefM-YoeB_neg	dkgA//
YefM_neg	fadJ//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	tam//nadA//gadA//tdh//katG//cysC//
YjjQ_neg	puuC//ilvE//
YpdB_pos	
YqhC_pos	patA//deoB//
YqjI_neg	astC//
ZntR_pos	citX//
ZraR_pos	
Zur_neg	nfsA//
