# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	glgB//puuD//
FNR_pos	hycD//nemA//glpX//araD//ilvN//xapA//dmsA//narI//ldtC//lpxA//hyaC//hcaC//gltD//dgcZ//purM//pspE//tnaA//cysM//poxB//wzc//codA//guaA//guaB//alaA//moaD//aspC//glcD//astE//zwf//glpD//aceA//ssuE//malY//gpmA//ppc//gcvP//glcD//sdaA//rbsK//ppiA//nrfC//katG//tdcD//fucK//rutB//araD//cynS//aldB//rtcB//wecB//chbF//sdhA//rffC//ung//fes//umuC//ftsI//rbsD//entE//astC//rbsD//ynfF//dkgA//gltD//fumC//fabZ//xdhB//pheS//ilvM//chbF//puuB//rbsD//glxR//psd//codA//phr//glcD//hcp//hcaC//murQ//hemA//sdhA//cyaA//purL//rffG//paaZ//malY//allC//glgP//prpC//cadA//oxc//purH//hcaD//dhaK//glgC//
FabR_neg	ubiA//kbaY//tpiA//
FadR_neg	hchA//bcsZ//prpC//frc//bioA//sgbE//astD//glpX//fes//
FadR_pos	yqjH//lpxC//ilvA//paaC//ilvH//narI//patZ//tauD//nanA//pheS//
FeaR_pos	aroH//pncB//
FhlA_pos	galE//nrdA//alsE//nanM//glxR//folE//ppiA//metC//
Fis_neg	fucK//phnL//nrdB//putA//ssuD//avtA//polA//fumB//fadJ//fucU//hycD//narH//ldtD//pfkA//pdeR//talA//pgk//gutQ//deoA//ppsA//fadB//queA//acs//cysE//phnO//rffG//rutC//cynT//phnP//entC//manA//avtA//ilvC//sufS//ilvE//lsrG//zwf//astC//malP//dapD//aspA//mpl//ldtD//glyA//xapA//alaS//
Fis_pos	cynS//citE//garL//nfsA//gutQ//carB//caiB//nadA//nanA//fadH//cysD//trpB//rhaA//argD//ilvC//alkB//uxaC//ilvG_1//citX//glsA//asnA//ndh//sucA//truB//mazG//ubiG//ilvI//gutQ//chiA//pheS//ilvB//astC//paaF//gatD//cueO//atoD//gcl//
FlhDC_neg	entF//ftsI//
FlhDC_pos	nanE//nrdB//sodA//paaI//trpE//glpK//tam//fumB//gadB//mnmG//entF//mhpB//
FliZ_neg	chbF//ung//ilvI//glpK//argE//
FucR_pos	lldD//ulaE//relA//ilvN//sdhB//chbF//
Fur_neg	rtcB//rffM//sdhD//deoD//mpl//fabA//leuA//gltX//aceE//cheR//ilvH//rutC//caiC//paaF//nadC//rtcB//moeA//galK//gcvH//aroA//lysC//nrdF//gatY//phnG//phnN//paaI//sucD//adhE//eda//paaG//pgk//sucB//purC//pheS//fucO//ldtB//citE//astD//recD//cysC//paaE//ahpF//talA//lyxK//amn//phr//ilvM//tauD//dgcZ//alsE//dmsA//prs//bioF//
Fur_pos	garD//entB//tynA//entB//murF//fumA//sodB//entC//argD//nirD//rtcA//kbaZ//purF//argE//hycB//gabD//
GadE-RcsB_pos	nadB//nrdE//fabZ//glcD//uvrB//
GadE_pos	metL//psd//cdd//cynS//murE//phnO//tdh//rutC//hycG//ybjG//
GadW_neg	citD//ssuE//phnL//
GadW_pos	speC//ahpF//umuD//puuC//
GadX_neg	rhaB//uvrB//
GadX_pos	ung//glgA//alaA//ycjG//murC//sdhA//cysE//yedX//rffG//dacC//acs//
GalR_neg	tynA//argI//fdhF//idnO//paaB//hpt//
GalR_pos	sdhC//hemL//aceE//carA//
GalS_neg	tdcD//sucD//slt//ung//argH//nadB//
GalS_pos	nrdB//caiC//ung//narG//
GatR_neg	adeD//ilvA//ttdB//
GcvA_neg	phoA//appA//guaB//
GcvA_pos	ldtD//chbF//nfsA//
GlcC_neg	
GlcC_pos	yiaK//fabH//nanA//
GlpR_neg	psd//leuA//ybjG//fumB//malY//tyrA//trmA//
GlrR_pos	
GntR_neg	uxuB//amiA//alkB//argF//recF//fadI//trpD//uxuA//purN//
GutM_pos	phnG//yqhD//sdhA//
H-NS_neg	hchA//tpiA//ulaD//uxaA//rffT//ruvB//hyaB//hyaC//zwf//cysN//talA//moaC//bioC//eno//caiB//waaZ//cynS//fadM//nrfA//ychF//nrdD//ogt//lsrK//fucI//kbl//hycB//citX//leuC//gnd//folA//glmU//atoD//argC//astB//glpD//aceB//araA//rhaB//allE//nanM//pgk//hmp//malQ//gudD//polA//rnpB//aceF//mhpD//pgaC//glpK//pdxA//
H-NS_pos	alsE//puuC//alkB//pgm//tpiA//paaF//tehB//rffC//gpmA//lacA//serC//wzb//icd//caiC//sucC//
HU_neg	phnI//hmp//pyrD//entE//moaE//trmD//sucA//
HU_pos	
HcaR_neg	
HcaR_pos	purH//chbG//
HdfR_neg	
HdfR_pos	
HigA_neg	hyaB//
HigB-HigA_neg	nfsA//
HipAB_neg	waaY//ubiA//
HipB_neg	frdC//ubiA//fadA//
HprR_neg	fabB//caiB//
HprR_pos	gpmA//ccp//
HyfR_pos	cysH//
HypT_neg	mpl//deoA//
HypT_pos	lyxK//adhE//allE//glsA//srkA//
IHF_neg	uvrB//sdhD//frdB//luxS//fucO//mhpB//pgaB//leuA//astD//pgaD//pheT//eda//yfdE//rnpB//zwf//cysI//glcB//torC//nagA//nrfA//purD//phr//sufS//gcvH//tnaA//icd//galT//fucO//adeD//aspA//tehB//cysC//ubiA//pgaB//hypB//rsmA//ndh//pyrC//betB//ampD//gadA//phnO//hpt//
IHF_pos	serC//hcp//lsrG//moeB//ulaG//nrfD//mhpF//galE//hycF//narI//dgcN//araB//xylB//tauD//betA//puuB//fadI//napH//hemF//malY//dhaK//gabD//rutD//mhpA//astA//lysU//mhpD//murC//hemA//atoB//gpsA//hpt//murC//glpE//lysA//glxR//phnN//trmA//glgC//frdB//dkgA//acs//glcD//luxS//rffC//ilvN//argI//sucD//caiD//lpxA//rutB//paaC//dapD//adhE//entE//argB//argI//pnp//alaC//hyaA//citE//polA//ldtD//ubiX//cysI//napG//hmp//ulaE//bioB//carB//fabG//
IclR_neg	fau//pgaB//ppc//
IdnR_neg	dmsC//entH//
IdnR_pos	polB//agp//alaC//sucB//
IlvY_neg	
IlvY_pos	ynfH//
IscR_neg	chbF//xdhC//trmA//hemH//dmsA//allA//
IscR_pos	chbF//tyrB//
KdgR_neg	prpC//rhaA//
KdpE_pos	glgC//
LacI_neg	cueO//aceA//ccp//
LeuO_neg	
LeuO_pos	rutD//rbsK//atoD//hcp//hmp//eda//
LexA_neg	purL//gudD//allA//puuD//dgcN//ilvM//kbl//ilvG_1//puuB//nadA//ubiX//ynfF//metB//fadE//gltA//uvrB//accA//recF//lsrF//glpK//dapD//nrdB//carA//
LldR_neg	treC//guaA//
LldR_pos	ppc//puuE//
LrhA_neg	
LrhA_pos	
Lrp_neg	tehB//katG//acnB//ribA//deoA//trpB//lpd//garR//fumA//hcaB//argG//glsA//hycD//recD//malY//uxuA//gltA//argA//cheR//ubiA//alaA//cdd//fabA//
Lrp_pos	yedX//ygeA//adiA//lacA//gudD//phnL//prpE//nadB//gutQ//pfkA//nrdD//ulaG//narI//puuA//gcvH//hycG//fau//paaE//melA//accA//
LsrR_neg	serA//garD//waaY//deoA//glpQ//
LysR_neg	
LysR_pos	gor//
MalI_neg	wrbA//paaY//
MalT_pos	nagA//dhaM//rhaB//sodA//mhpA//cysG//
MarA_neg	gdhA//
MarA_pos	narH//phr//deoA//murG//paaB//thrS//hcp//murF//nadA//upp//murE//purC//bioB//hcaD//hchA//pdeH//paaH//ampC//glxK//hcaE//uxaB//prpB//paaA//
MarR_neg	
MatA_neg	aspC//
MatA_pos	
MazE-MazF_neg	murC//
MazE_neg	ilvI//
McbR_neg	
McbR_pos	
MelR_neg	xylA//bioD//
MelR_pos	zwf//bioC//
MetJ_neg	hycB//nadB//hycF//alaC//ftnA//puuE//dmsC//astC//cdd//gatD//
MetR_neg	moaC//
MetR_pos	caiA//metF//fes//ccp//
MhpR_pos	mhpB//uidA//argE//xdhC//rhaB//rhaD//
Mlc_neg	ttdB//napA//bioA//fadE//
MlrA_pos	fadA//
MngR_neg	ulaD//phr//
MntR_neg	ilvH//
MntR_pos	murD//
ModE_neg	dhaM//glgC//thrS//bcsB//sdhC//gcd//deoB//chiA//
ModE_pos	bacA//lysC//araB//mhpA//oxc//slt//glpA//xdhA//tyrA//
MprA_neg	uxaB//nirD//metF//
MqsA_neg	lsrK//ttdA//
MraZ_neg	mngB//galE//dhaK//phnN//yiaK//citC//eno//betB//moeA//glnA//
MurR_neg	deoC//uxaB//aceA//
MurR_pos	
Nac_neg	aspC//poxB//citG//
Nac_pos	ychF//citE//glpX//glpC//allA//garR//cysN//dkgA//
NadR_neg	gdhA//srlD//asnA//nadC//
NagC_neg	metF//srlD//bioC//ilvA//purH//allD//murC//mhpF//deoA//speC//aspA//caiC//ccp//fadI//waaZ//astE//nfsA//accD//
NagC_pos	hemH//yfdE//
NanR_neg	nadB//murQ//gntK//queA//paaA//argF//
NanR_pos	
NarL_neg	cmoM//dgcZ//cheR//aroG//frdD//ruvB//ndh//moeA//dadX//fadJ//glxR//citE//wecB//glgB//uvrC//prpC//nanA//caiA//amn//moaA//leuA//murI//glpE//kbaZ//hemA//gatY//fadH//fabB//
NarL_pos	eno//nanM//rnpB//bioB//avtA//rutC//xylB//grxA//tdcB//cysK//acnB//dgcC//malP//frdC//murD//
NarP_neg	sdhD//umpH//recD//eda//serA//
NarP_pos	serC//phnH//ydcS//amn//luxS//purK//cadA//sbcD//moaD//slt//paaB//metL//grxA//sucC//
NemR_neg	nagA//araB//
NhaR_pos	rffG//relA//garD//pdeR//sucD//
NikR_neg	galM//
NimR_neg	phnG//
NorR_neg	
NorR_pos	glgB//
NrdR_neg	phnO//napH//arsC//nrdE//
NsrR_neg	hchA//aceF//prpB//mhpE//purM//rffH//dgcN//aroF//lysC//phnG//nanK//fabI//gutQ//gpmA//aroA//tehB//gadB//ilvC//lpxD//rpiB//cyoE//fadE//purD//puuD//allA//cueO//ubiX//dapD//frc//cyoE//kbaZ//edd//bioF//prpC//uvrC//gudD//nfsB//waaZ//fumC//nanM//
NtrC_neg	relA//gcl//
NtrC_pos	nagB//purH//pgaC//rutD//sgbU//yeaG//appA//phr//mltF//recF//fucO//nrdB//agp//fbaA//mhpA//aroG//mdh//paaJ//ung//ilvA//paaZ//
OmpR_neg	aspC//ilvA//dacC//nanA//speB//
OmpR_pos	phoA//prpE//dkgB//cadA//
OxyR_neg	prpE//entB//lsrG//argD//agp//
OxyR_pos	purB//rnpB//hycD//fabB//ndh//moaD//glpA//ampC//hycF//fucA//paaB//moeB//
PaaX_neg	cynS//alaA//gadA//agp//eno//dgcZ//putA//glxK//glpX//
PdeL_pos	nrfC//
PdhR_neg	galM//glcF//wrbA//ansB//garD//gapA//ulaE//rtcB//aroF//appA//gntK//nadC//hcaD//glcB//sdhD//bioF//fabH//murF//mhpC//gcvH//puuA//lysA//hycC//
PdhR_pos	mnmG//uvrC//
PepA_neg	sucB//atoD//
PgrR_neg	gltD//astA//
PhoB_neg	srkA//purL//sbcD//lyxK//waaY//
PhoB_pos	adiA//alkB//hemF//prpB//lysA//gadA//truB//trpE//purD//narI//fes//rffT//fucI//galK//pgm//rfe//glk//
PhoP_neg	slt//napH//sucB//
PhoP_pos	lpxA//bioD//ynfH//phnO//fadB//purA//sdhC//icd//yedX//allB//ansB//phnL//ogt//rutD//ychF//ulaG//ycjG//hypB//purK//bioA//ldtB//purH//phnO//pheT//fucO//fau//metF//ftnA//argH//ubiG//paaI//
PrpR_neg	
PrpR_pos	argD//malQ//ttdB//patD//
PspF_neg	
PspF_pos	cysG//
PurR_neg	napH//gltB//entE//asnB//phnO//frdA//recD//sucC//ravA//rutC//gcvT//pck//hemF//entF//glpK//chbG//rtcB//purH//pyrD//fucA//fadB//prpC//deoC//aldB//ilvH//napA//
PutA_neg	malS//paaH//
PuuR_neg	iscS//sdhC//fruK//mhpD//malY//relA//
QseB_neg	
QseB_pos	
RbsR_neg	glpQ//nanA//hypF//rtcA//deoB//
RbsR_pos	xapA//
RcdA_neg	
RcdA_pos	wecC//
RclR_pos	
RcnR_neg	ppc//
RcsAB_neg	uxuB//
RcsAB_pos	gltB//kbl//
RcsB-BglJ_pos	nrdF//torA//
RcsB_neg	mraY//
RcsB_pos	cmoM//aroA//adeD//
RelB-RelE_neg	cyoE//
RelB_neg	glcF//
RhaR_pos	
RhaS_pos	recD//gltA//rutA//trpA//
Rob_neg	
Rob_pos	allC//paaE//edd//glnA//uxaC//wzb//sgbH//torC//lpd//ampC//citG//ynfF//astA//hemH//cysM//bioC//nfsA//lacA//dacC//
RstA_neg	fabD//puuB//
RstA_pos	chbF//
RtcR_pos	rimK//rutB//
RutR_neg	ackA//tdcB//uxuB//deoB//sgbU//sufS//gapA//citC//ccp//glnA//
RutR_pos	fumB//
SdiA_neg	
SdiA_pos	
SgrR_neg	purD//
SgrR_pos	eda//cpdB//
SlyA_neg	
SlyA_pos	nrdB//guaB//yeaE//fadI//phnH//ndh//fumA//nrdF//paaA//
SoxR_neg	
SoxR_pos	phnL//
SoxS_neg	
SoxS_pos	ubiG//aceE//cynS//trpC//argH//pgaD//hpt//allC//queA//sdhA//gcl//gltX//cysJ//paaA//malY//allD//ccp//relA//yeaE//dmsB//fadJ//bcsZ//nrdD//glpC//aroG//araB//
SrlR_neg	garD//ftnA//deoD//
StpA_neg	tadA//hyi//phnL//
SutR_neg	patZ//ilvG_1//
SutR_pos	
TdcA_pos	hmp//hycB//murI//aspA//entH//
TdcR_pos	glpE//cysH//xylB//mnmG//tyrA//
TorR_neg	lsrF//
TorR_pos	ydcS//nadB//ubiG//araA//
TreR_neg	ruvB//cheB//
TrpR_neg	rsmA//wrbA//malZ//lysA//fucA//codA//caiA//cheR//add//
TtdR_pos	glcB//umpH//
TyrR_neg	hycD//bioB//argH//purM//tdcG//glgC//astA//
TyrR_pos	glpX//rbsD//nrdA//
UhpA_pos	xylA//
UidR_neg	sbcC//argI//
UlaR_neg	nirB//adiA//truB//xdhB//gltA//
UvrY_pos	pgi//rfe//
UxuR_neg	rhaB//citX//glpK//serC//recD//
XapR_pos	uxuB//ydcS//
XylR_neg	
XylR_pos	nrfC//ldtD//moeB//
YdeO_neg	
YdeO_pos	wecE//fumA//rfe//
YefM-YoeB_neg	cysG//
YefM_neg	fucU//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	oxc//fadD//tynA//paaA//tehB//entD//
YjjQ_neg	mdh//idnK//
YpdB_pos	
YqhC_pos	rhaD//fucA//
YqjI_neg	phnH//
ZntR_pos	umuC//
ZraR_pos	
Zur_neg	rtcB//
