# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	galK//nadB//
CysB_pos	pgk//gnd//waaY//glpK//rhaB//add//fadE//sdhA//argI//aspA//bioA//fabH//ruvA//ttdA//
CytR_neg	hcaB//fabZ//allB//tpiA//cysG//glyA//pnp//yiaK//gltD//fau//
DcuR_pos	araD//adiA//leuB//pheT//
DeoR_neg	pfkA//rffH//ygeA//pnp//araB//wzb//
DhaR_neg	
DhaR_pos	feaB//
DicA_neg	
DinJ-YafQ_neg	paaI//
DnaA_neg	talA//gatD//ubiX//tktB//gltD//
DnaA_pos	dmsA//alkA//rtcA//
DpiA_neg	
DpiA_pos	lldD//lsrK//lacA//gpmM//speC//
DsdC_neg	
DsdC_pos	upp//alsE//
EbgR_neg	
EnvR_neg	nrdD//hemL//
EnvY_pos	glcB//tnaA//
EvgA_pos	dhaL//dapD//nrfA//ldtD//cdd//idnD//
ExuR_neg	galK//rutC//dgkA//sbcD//bioF//bcsZ//
FNR_neg	ampD//astB//uidA//citC//asnA//fucA//preT//ilvI//torC//gntK//glyA//ulaE//fumA//aroA//wrbA//gabT//ssuE//rffC//alkA//malZ//mhpF//gltX//hycC//zwf//caiC//nagB//trpC//mazG//ugpQ//lpxA//rhaA//bcsB//aceE//phnO//hcaE//serA//tyrB//hyaC//glsA//queA//fabD//pyrD//accC//sdhC//
FNR_pos	rffH//metH//malP//frdC//murE//idnK//mhpD//glmS//ampD//acs//gpmM//nrdA//allD//trmD//glnA//gntK//feaB//wecE//aceA//lysU//murE//purE//ansB//cysJ//glcF//deoC//mdh//ugpQ//moeA//murQ//rffT//entF//amn//purF//phnG//metL//paaY//metF//sdhB//gnd//purC//lsrF//malS//betB//ulaG//gltD//leuB//purM//yfdE//trpB//lsrG//cyoE//frdD//ybjG//metH//rpiB//polB//lyxK//treC//caiC//truB//deoD//cadA//napG//trpE//dusB//hycE//argG//paaZ//adeD//hyaC//nrfD//melA//paaY//paaA//cysM//mdh//aroL//lsrG//hpt//betA//ccp//serC//uvrC//glpB//galM//adiA//dmsA//nadA//entF//ruvA//bioB//hyaA//entD//prpE//atoB//
FabR_neg	gadB//yqjH//nrdB//
FadR_neg	dkgB//pflB//glgP//astB//deoC//nagA//oxc//dhaL//patD//
FadR_pos	mhpF//citE//glgP//kbl//entD//umuD//paaZ//yfdE//argB//prpC//
FeaR_pos	ubiC//lhgO//
FhlA_pos	rutA//fadJ//astB//ppsA//icd//fabB//cysG//epd//
Fis_neg	gudD//fumA//hchA//hycC//ilvH//bacA//wecB//pspE//cpdB//hycD//wecB//serC//gdhA//gnd//bioA//moaD//ahpF//cysC//mnmG//alaS//frdC//nanK//leuC//phnH//paaF//cysD//pheT//dmsC//metL//hypB//ulaE//argA//gudD//ynfH//astB//glxR//gcd//uxuA//uxaB//sbcD//fabZ//aroH//fadM//hmp//avtA//pspE//
Fis_pos	ldtD//glcE//hcaF//paaI//argH//astD//glcD//narG//gor//cysC//carA//gpsA//tktB//pflB//fadA//argH//argD//fucO//aroA//paaZ//truB//acnB//argH//yqjH//ubiG//gabT//argF//ycjG//cysK//alkA//fucI//preT//cueO//ftnA//hycF//atoD//srlD//
FlhDC_neg	pgaD//dgkA//
FlhDC_pos	hycD//adeD//aroA//codA//iscS//prpC//araB//uxuA//deoB//leuA//uxaB//purM//
FliZ_neg	nrdF//ttdB//uvrA//ampD//queA//
FucR_pos	gabD//eda//ilvA//glgC//lldD//ycjG//
Fur_neg	fau//mazG//pgpC//tyrB//paaI//tynA//waaZ//purN//speC//accC//paaZ//hcaD//allD//lhgO//uvrC//leuC//gatD//gudD//accA//grxA//fadA//allB//aspC//sdhB//aroL//gabT//trpE//sbcC//ynfG//mhpA//rutA//argB//astB//nemA//dmsB//hypB//prpB//guaA//mhpA//hycD//hypF//gpmM//ldtB//cynT//waaH//ybjG//adiA//hycG//trpE//entH//dhaM//umuD//gcvT//
Fur_pos	mhpC//fadB//ada//bioA//fucK//arsC//pdeF//gabD//sucA//murC//ppiA//asnB//nrdA//aroG//mnmG//dgcN//
GadE-RcsB_pos	gapA//phnN//trpB//ynfE//rsmA//
GadE_pos	puuD//yqhD//betB//gadB//xdhA//metC//uvrC//thrS//leuA//caiC//
GadW_neg	hycD//pgaC//nrfC//
GadW_pos	feaB//cheB//bcsZ//murE//
GadX_neg	add//ada//
GadX_pos	acnB//cadA//mhpD//idnD//bioC//dgcC//entC//ampC//glgC//cmoM//purD//
GalR_neg	aroA//nanA//phnM//ribA//fabA//xdhC//
GalR_pos	cysJ//moaD//nrdE//gpmM//
GalS_neg	entH//mngB//tdcB//srlD//xdhB//sbcD//
GalS_pos	argI//aroG//gcvH//pdxA//
GatR_neg	fumC//murC//fbaB//
GcvA_neg	rhaD//napG//guaA//
GcvA_pos	bacA//astE//tam//
GlcC_neg	
GlcC_pos	chbF//nrdD//rffT//
GlpR_neg	gabD//kbaY//murG//rnpB//entH//wrbA//speB//
GlrR_pos	
GntR_neg	tauD//gabD//agp//betA//caiB//ilvM//paaH//ilvH//ppiA//
GutM_pos	eno//phoA//moeA//
H-NS_neg	pdeL//alaS//napH//purN//ada//ychF//torC//folA//ruvB//mpaA//ada//lysU//alkA//nrfD//carA//nagB//fumB//hypF//hcaE//fucA//glsA//pyrC//hemA//pgaD//srkA//tynA//chbG//nfsB//amn//hyaA//alkA//entD//hyaA//hypF//rutB//serC//waaZ//astC//tdcE//ackA//cynS//fabH//paaG//hcaE//chbG//yfdE//waaY//yfdE//nfsA//epd//uvrB//
H-NS_pos	lpd//tyrA//ynfG//tdcG//napG//patD//kbaY//ulaF//fucU//purN//bglB//nagB//nfsB//fadE//preA//
HU_neg	ychF//tktB//acnA//purC//cynT//fes//trpB//
HU_pos	
HcaR_neg	
HcaR_pos	lsrF//murQ//
HdfR_neg	
HdfR_pos	
HigA_neg	ilvC//
HigB-HigA_neg	yfdE//
HipAB_neg	gatZ//puuA//
HipB_neg	glyA//astD//trpA//
HprR_neg	hemL//purK//
HprR_pos	sodA//mazG//
HyfR_pos	rutB//
HypT_neg	moaD//mazG//
HypT_pos	alaS//garD//grxA//yqjH//rhaA//
IHF_neg	dadA//kbaZ//apaH//lsrF//glcE//paaA//narI//ulaF//patZ//puuC//arsC//astE//dmsA//chbG//fadB//sucB//ybjG//grxA//rffT//paaA//hemL//leuC//glmS//fabZ//frdD//rbsK//chiA//hycG//glgA//zwf//argE//pgaD//phnN//aroA//umuC//cheB//ubiX//nirD//metA//fumC//mhpE//pdeL//dacC//
IHF_pos	ydcS//malZ//acnA//arsC//mtlD//rsmH//queA//putA//recB//caiC//recB//trpA//napH//idnD//lpxA//cmoM//ygeA//yeaG//entB//puuD//fadM//folA//phnL//frdC//hcaD//cmoM//napH//prpD//puuD//sdhC//trmA//dgcN//pgaB//pgaC//argA//ilvE//fucU//guaA//frdC//speC//rbsD//nemA//rffH//ychF//adeD//patZ//alaA//gabD//sodA//bglB//galM//pdeH//paaZ//talA//phnJ//cysH//dhaM//lsrK//murE//gcd//lhgO//atoA//fadD//rfe//fabB//paaE//frdC//moeB//hemF//purB//nrdD//
IclR_neg	adhE//deoB//argG//
IdnR_neg	metE//gadB//
IdnR_pos	cysH//alaS//sdhD//moeA//
IlvY_neg	
IlvY_pos	hcaF//
IscR_neg	wrbA//glyA//hycC//metB//gltX//prpB//
IscR_pos	fbaA//tynA//
KdgR_neg	argH//fabZ//
KdpE_pos	uvrA//
LacI_neg	phnH//hchA//frdC//
LeuO_neg	
LeuO_pos	hcaF//fadJ//ogt//caiC//nrfC//recB//
LexA_neg	dkgB//mnmG//metL//aroL//ampC//ybjG//dadX//gpmM//ssuD//ldtD//dgcZ//tauD//hycE//glsA//polA//phnI//ansB//rutA//mpl//dgcZ//aspC//ribA//fadJ//
LldR_neg	aldB//prmC//
LldR_pos	mngB//zwf//
LrhA_neg	
LrhA_pos	
Lrp_neg	phr//lysU//glpC//fes//galT//mdh//ychF//garK//lsrF//leuA//allB//puuC//fucK//rnpB//astE//pgm//serA//argG//ldtD//hemF//truB//speB//serA//
Lrp_pos	dmsA//metA//ubiG//fadB//glpD//cysE//fucA//ruvB//uxaC//ulaG//moaC//trpB//nrdB//mltF//allD//ulaE//gutQ//argI//mpaA//purF//
LsrR_neg	sufS//gdhA//narH//gntK//malS//
LysR_neg	
LysR_pos	entA//
MalI_neg	murF//lysA//
MalT_pos	katG//bacA//guaB//pykF//lacZ//uxaA//
MarA_neg	hypF//
MarA_pos	alaA//wzc//bcsB//araB//pgk//gltA//dapD//nrdB//malZ//prpB//fadI//fabG//tdcG//fabB//ilvH//bacA//gpmM//tam//yqjH//rtcB//cdd//cysH//fbaA//
MarR_neg	
MatA_neg	cysJ//
MatA_pos	
MazE-MazF_neg	luxS//
MazE_neg	srkA//
McbR_neg	
McbR_pos	
MelR_neg	ttdB//fucK//
MelR_pos	cysC//purD//
MetJ_neg	lpxD//phnI//paaA//entC//metE//puuA//nrfD//wecE//glcD//caiB//
MetR_neg	hcaD//
MetR_pos	purD//fumC//paaJ//rffM//
MhpR_pos	lpd//ulaF//dgcC//metB//udp//metL//
Mlc_neg	gpmA//dgkA//hycG//astE//
MlrA_pos	sucD//
MngR_neg	pck//dgcZ//
MntR_neg	gabD//
MntR_pos	umuD//
ModE_neg	caiD//sgbH//dgcZ//xdhB//aroG//idnD//cdd//dacC//
ModE_pos	fucK//mdh//sodA//rimK//gatZ//prpC//cysH//aspA//sufS//
MprA_neg	ftsI//trmD//ttdB//
MqsA_neg	atoB//citF//
MraZ_neg	gltD//murD//pncB//tdh//uxaB//cmoM//napA//sdhA//bcsZ//ilvE//
MurR_neg	pdeH//dkgB//yiaK//
MurR_pos	
Nac_neg	ppsA//ppiA//nanM//
Nac_pos	carA//guaB//ampD//atoB//pdxA//nanA//srkA//atoA//
NadR_neg	argD//cysE//metK//acnB//
NagC_neg	zwf//ubiG//dgkA//gutQ//garD//glgB//gcl//astE//prpB//napH//murG//fadB//yqhD//tktB//puuE//hyi//dgcZ//purN//
NagC_pos	araA//fabZ//
NanR_neg	citD//asnB//speC//paaE//mpl//fucO//
NanR_pos	
NarL_neg	phnJ//entB//galT//hmp//glk//fadD//fucU//ychF//dgcN//cheB//gatZ//idnD//alaS//pflB//frc//nrdA//glcE//lsrG//fucO//adiA//phnH//ilvN//ynfG//citF//ilvN//lpd//dmsB//citG//
NarL_pos	nrdE//add//rffC//deoA//cpdB//ubiA//rimK//hyi//napB//ulaD//pdeR//ampD//garK//frdA//dusB//
NarP_neg	ulaD//deoB//dapD//xylA//dhaL//
NarP_pos	ilvE//fucU//ubiA//yqhD//pagP//ynfE//ulaG//fbaB//pgm//yiaK//frdA//pfkA//chbF//folE//
NemR_neg	ubiX//yfdE//
NhaR_pos	acnB//nrdE//hycF//rsmH//ogt//
NikR_neg	idnK//
NimR_neg	araD//
NorR_neg	
NorR_pos	dgcC//
NrdR_neg	ynfF//relA//dhaL//entD//
NsrR_neg	sgbE//cysI//xapA//pyrC//argG//treC//xdhA//metE//dhaL//phnI//pheT//epd//torA//mraY//aroL//pncB//cyoE//poxB//gpmA//pck//nanM//torA//ahpC//cysG//purE//ilvN//waaH//pgpC//fes//umuD//cysH//phr//fadH//sgbH//acs//hcaE//ugpQ//metF//cmoM//chbF//
NtrC_neg	hycG//dsdA//
NtrC_pos	hemL//uxaC//murI//ldtB//cyoE//recB//lysU//hmp//ilvD//eno//gatZ//fes//pagP//aroA//nanA//tktB//gcvH//uvrA//hchA//uvrB//citF//
OmpR_neg	sdhC//ada//hcp//paaF//fes//
OmpR_pos	glk//hemF//manA//uxaC//
OxyR_neg	pfkA//sbcC//napG//mhpA//rbsD//
OxyR_pos	uxuA//paaJ//nemA//aroF//glgB//purA//hcaD//bacA//gadB//nfsB//glcE//acs//
PaaX_neg	ribA//gatD//thrS//torC//xdhB//garR//chbF//pgaD//lysA//
PdeL_pos	rutD//
PdhR_neg	rsmA//pagP//ilvH//citG//allC//purE//melA//pncB//hflX//hycE//icd//bcsB//thrS//hcp//lysC//entH//metK//ilvN//murE//glpC//bioC//arsC//torC//
PdhR_pos	trpC//prmC//
PepA_neg	recD//rffH//
PgrR_neg	garL//paaG//
PhoB_neg	ilvE//astE//kbaY//fabI//dapB//
PhoB_pos	gadA//narI//hcaB//udp//sdhB//ssuE//garK//hemL//dgcZ//edd//moaA//prpE//ygeA//ldtC//add//carB//hcaC//
PhoP_neg	pck//ssuE//metL//
PhoP_pos	rtcB//hycB//waaZ//adhE//carA//icd//iscS//cysH//nemA//kbaY//fucO//ppc//caiD//argF//purL//glgC//gcl//bioA//rfe//leuD//tdcD//srkA//tktB//hyaA//ruvB//garD//gcvP//lsrG//nrfC//poxB//glgA//
PrpR_neg	
PrpR_pos	purD//eno//idnO//recD//
PspF_neg	
PspF_pos	rutB//
PurR_neg	murF//paaG//citX//udp//citX//rtcB//glpX//lpxD//mhpF//guaA//citC//tdcD//gatY//paaB//malQ//torC//allA//glcE//psd//thrS//glk//wecB//gadA//lpxC//phoA//sucB//
PutA_neg	nirD//purM//
PuuR_neg	cheB//ppsA//moeB//glcE//nirB//paaK//
QseB_neg	
QseB_pos	
RbsR_neg	pyrD//hypF//cdd//dgcZ//chiA//
RbsR_pos	ribA//
RcdA_neg	
RcdA_pos	mpaA//
RclR_pos	
RcnR_neg	ulaG//
RcsAB_neg	srkA//
RcsAB_pos	adhE//dgcC//
RcsB-BglJ_pos	ubiA//astC//
RcsB_neg	ulaE//
RcsB_pos	mpaA//entE//fabA//
RelB-RelE_neg	waaZ//
RelB_neg	ycjG//
RhaR_pos	
RhaS_pos	sucA//ubiG//ugpQ//ilvE//
Rob_neg	
Rob_pos	tyrB//ilvC//carA//cysC//eno//dhaL//argE//gapA//glpK//cysD//cadA//glsA//glpD//paaZ//dmsB//nanE//ttdB//murF//phnG//
RstA_neg	entH//pdeH//
RstA_pos	dgkA//
RtcR_pos	prmC//pgaC//
RutR_neg	caiC//rimK//sdhA//hycF//lysA//ilvC//lpd//rhaA//bioD//apaH//
RutR_pos	cysH//
SdiA_neg	
SdiA_pos	
SgrR_neg	rsmA//
SgrR_pos	malP//cysE//
SlyA_neg	
SlyA_pos	wecE//alsE//leuD//pspE//napG//gcvP//uxaA//dhaL//dadA//
SoxR_neg	
SoxR_pos	tktB//
SoxS_neg	
SoxS_pos	waaH//feaB//mhpC//polB//cadA//lpxD//rutC//prpE//bioF//nirB//mpl//paaA//deoA//hyaC//gltX//ubiX//paaZ//fabI//kbl//cysI//add//uxaC//caiD//alkA//lpxA//phnL//
SrlR_neg	leuA//sucC//pgaD//
StpA_neg	galE//wecB//rsmA//
SutR_neg	mraY//yeaG//
SutR_pos	
TdcA_pos	dmsC//iscS//amiA//sgbU//dgcC//
TdcR_pos	rffM//fabH//metA//aroA//rtcB//
TorR_neg	mpl//
TorR_pos	purD//aroA//prs//gabT//
TreR_neg	phnH//dadA//
TrpR_neg	phnL//idnK//araA//trpC//thrS//aspC//trpC//fucK//citC//
TtdR_pos	gcl//patD//
TyrR_neg	leuD//pdeL//ynfG//aldA//murE//nirD//paaB//
TyrR_pos	entC//hyi//phnG//
UhpA_pos	argB//
UidR_neg	xdhB//nagB//
UlaR_neg	pgaB//lpxD//glgP//amiA//melA//
UvrY_pos	cyoE//ulaE//
UxuR_neg	hmp//tynA//carB//murE//nfsB//
XapR_pos	bacA//cysI//
XylR_neg	
XylR_pos	fbaB//yqjH//cueO//
YdeO_neg	
YdeO_pos	paaJ//adeD//ulaE//
YefM-YoeB_neg	cyoE//
YefM_neg	tktB//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	glnA//rutE//narG//citE//ubiG//trpA//
YjjQ_neg	chiA//udp//
YpdB_pos	
YqhC_pos	fabA//trpD//
YqjI_neg	ybjG//
ZntR_pos	rtcB//
ZraR_pos	
Zur_neg	prpB//
