# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	ilvD//pepD//
CRP_neg	gntK//pdeF//idnD//napB//cysJ//tadA//ruvB//napH//glgB//malP//gabD//cysH//accC//hypB//paaG//metF//entA//gcl//gpsA//icd//hycE//hyaB//nanK//chbF//gabT//lysC//ilvE//prpE//appA//wrbA//adhE//phnI//glpK//paaF//yiaK//yedX//malZ//cysE//sucA//nrdD//ftnA//lhgO//patA//bioF//pheT//yiaK//waaY//deoB//gcl//aceB//atoA//umpH//fucA//ftsI//yqhD//mtlD//glpB//bioC//polB//argI//fabH//dacC//paaC//hemH//acnB//idnK//mltF//pgm//metB//metL//hcaF//
CRP_pos	purD//citC//rutD//uxaA//pnp//caiB//ravA//xdhC//gltA//pgk//dinB//gcl//ravA//gor//metE//ftsI//dacC//pgaD//rffC//phnJ//ruvB//cpdB//betA//gltD//lysU//dacC//ynfF//ldtD//dsdA//citD//dgcN//recD//dacC//napH//mhpB//cysH//puuD//fabA//bglB//ilvI//hmp//guaA//metL//astC//sodB//xdhA//metL//nadA//ilvD//lacA//ilvE//pgk//tdcB//cyoE//galM//paaH//waaZ//ugpQ//frdC//adeD//glpQ//mhpB//ulaG//entF//nadB//xdhC//puuA//lpxA//nanA//frdD//nagA//glnA//yeaG//rffG//betA//deoD//speC//aroF//rpiB//psd//hypB//purA//tdcE//galM//moeA//frdA//trpD//patA//citX//hpt//cyaA//gcd//purH//entH//glcD//pdeL//uvrC//pgaD//bioA//purE//ccp//dadA//metF//frdD//glpB//amn//garD//idnK//oxc//ynfG//glpD//xdhC//hmp//rnpB//bcsB//galM//hyaA//gpmM//cynT//deoA//ribA//asnA//ilvG_1//murF//hyaB//tnaA//rimK//gatY//rffG//malS//metH//metL//ddlB//trpA//paaY//gdhA//adeD//fumA//argD//phnM//carA//hcaF//sdhB//leuD//waaH//bglB//amn//lysC//hcaD//frdB//srlD//narI//pdeF//yedX//phnH//prpE//prs//bioD//cysN//lsrG//ssuE//gpmM//purL//murG//lpxC//idnD//xdhB//rfe//mraY//dmsB//treC//mhpA//accD//gcvT//gadB//metK//ubiX//fabH//wecE//ppc//puuC//gpsA//aceE//cynT//lyxK//citG//ampD//tnaA//glpX//argC//paaK//purC//purD//ilvI//ulaD//fbaB//glgC//amn//bioC//xylB//mdh//alsE//asnB//lpxC//lsrG//murC//murC//aceA//ubiA//lacA//chbG//fumC//murF//hcaD//nanK//grxA//dinB//glxK//rffM//paaA//garK//lpd//sucA//patZ//ahpC//caiB//citC//agp//lacA//waaZ//glnA//gcvP//ampD//codA//fumC//luxS//ruvB//gltB//glpC//sodB//allC//leuB//prpC//wecB//argI//metL//glpQ//yeaG//nrfD//
CadC_pos	phr//mpl//recB//
CaiF_pos	ppc//hemA//bcsZ//ycjG//wecB//
Cbl_pos	glpB//avtA//dhaL//ppsA//glcE//
CdaR_pos	tyrA//purA//gdhA//mngB//fadB//fucU//rsmH//leuA//dapB//
CecR_neg	yqhD//
ChbR_neg	metA//xylB//argB//
ChbR_pos	purM//gltA//ahpC//
ComR_neg	
CpxR_neg	amiA//metC//paaY//
CpxR_pos	bioC//argD//moaC//aroG//cynS//lysU//entA//sgbE//ogt//uxuA//apaH//nanE//xylB//glgX//speA//gor//lpxA//sodA//
Cra_neg	queA//murD//fucO//atoA//alaC//gpmM//asnA//ydcS//purC//ygeA//nrdD//dhaL//metK//sucA//alkB//dmsC//ackA//ftnA//folE//rffC//nagA//betA//metL//sucB//hflX//sdhC//uxaA//yqhD//sucD//guaA//fabZ//sdhC//alaC//patA//metH//mraY//rhaA//gatZ//xdhB//garR//mhpC//puuA//ynfE//hemF//murI//
Cra_pos	cyoE//recF//recB//gcvP//sgbU//hycD//pgm//relA//ubiX//prpC//allA//cysC//dhaL//ynfE//trmA//luxS//grxA//
CreB_neg	fabI//
CreB_pos	lpd//
CsgD_neg	srlD//nemA//
CsgD_pos	trpA//lpxD//murI//
CsiR_neg	trpC//tynA//fabZ//alsE//
CspA_pos	alsE//
CueR_neg	bioF//metC//ttdA//
CueR_pos	ftsI//lsrF//
CusR_pos	cysC//gpmM//aroL//ilvI//
CynR_neg	
CynR_pos	sdhC//chbF//bacA//
CysB_neg	hcaD//purL//bcsB//
CysB_pos	betA//ampC//fabD//caiD//nadB//murD//paaZ//fdhF//ruvB//xylB//purD//psd//metC//astA//
CytR_neg	gatZ//rffT//pgpC//yeaG//tnaA//accA//aldB//dadA//allB//citG//
DcuR_pos	hycD//dgkA//iscS//pflB//
DeoR_neg	tdh//astD//purB//gadA//bioA//cpdB//
DhaR_neg	
DhaR_pos	phnJ//
DicA_neg	
DinJ-YafQ_neg	torC//
DnaA_neg	pdeR//fadI//idnK//lhgO//tdcD//
DnaA_pos	araB//pncB//entE//
DpiA_neg	
DpiA_pos	dapB//fucO//dgcZ//serA//gltB//
DsdC_neg	
DsdC_pos	rimK//sdhC//
EbgR_neg	
EnvR_neg	allB//dsdA//
EnvY_pos	phnL//rimK//
EvgA_pos	glcD//murG//entD//xdhA//rffC//ilvB//
ExuR_neg	ydcS//glpD//phnG//pspE//purF//pgaD//
FNR_neg	cmoM//nirD//guaA//puuA//pspE//tdcG//nanE//nanK//poxB//lysA//fucA//fabI//glcE//fadD//sgbH//codA//avtA//gnd//puuB//ubiA//ldtB//pgaC//murC//idnO//tdcD//ccp//prpC//gatY//hcaF//purA//tnaA//napA//lpxA//folA//garR//aldB//dmsC//leuD//purE//nagA//ssuD//ahpC//nanE//speA//
FNR_pos	accA//preA//fabA//sucD//rutD//ccp//gpmA//caiA//paaZ//citX//epd//ycjG//lsrF//sucD//lpxD//paaI//phnN//purC//ydcS//ycjG//pdxA//glpK//bioD//ilvN//fbaA//sdhB//dusB//malQ//ldtD//kbl//argC//accA//astB//hemH//ilvC//aceB//gltD//dadA//hycE//grxA//narH//rhaD//fabG//paaB//gnd//tpiA//nrfA//ygeA//pgk//mpaA//relA//argH//nanM//ribA//waaZ//aldA//rutA//alaS//waaY//frdB//rsmA//fdhF//prmC//murI//gcl//ubiC//gcl//ahpC//katG//mraY//dapD//phnJ//puuC//trmD//ldtC//ulaF//dapD//prs//xdhA//metA//prpB//glpD//ycjG//patA//fau//ampD//napB//purK//acs//katG//sufS//alkA//hcaD//carB//paaE//upp//
FabR_neg	icd//relA//chbF//
FadR_neg	chbF//fruK//purN//entH//trpB//pgaC//mhpA//ravA//gnd//
FadR_pos	ahpF//add//slt//rffT//agp//entD//dhaM//pgk//paaA//metB//
FeaR_pos	ychF//wecE//
FhlA_pos	cyaA//cysE//idnO//purM//hemF//mhpF//nagA//sdhB//
Fis_neg	recD//ydcS//srkA//fumB//recD//uvrA//pgaC//rtcB//hcaC//murD//ubiA//upp//rffH//fabZ//ulaF//ldtB//glpX//allA//fadJ//atoD//galE//puuE//accD//ung//dhaM//ilvH//paaK//metB//sgbE//purN//tynA//ulaF//puuC//purF//nrdE//mnmG//aceF//idnK//murC//leuD//gltD//atoD//pdeR//sbcC//deoB//argF//
Fis_pos	torC//cysD//gdhA//pfkA//srlD//wecB//gor//edd//entE//argF//ybjG//atoA//avtA//uvrC//ravA//gcl//prs//asnA//phnJ//prpC//acnA//lsrF//mtlD//lacA//dmsC//eno//fbaA//atoA//pdeR//gcvT//amiA//pck//fabA//betA//uxuB//bioC//paaE//
FlhDC_neg	argD//dadA//
FlhDC_pos	hemA//fabA//paaK//argH//yfdE//fabB//serC//pspE//paaC//lpxC//murI//glgB//
FliZ_neg	talA//hchA//grxA//garD//allE//
FucR_pos	purB//ilvH//tdcB//rbsD//hflX//hcaE//
Fur_neg	nirD//puuA//betB//hcp//lhgO//lysA//gatZ//ampC//mhpF//cysM//narG//gdhA//betA//araA//gloA//araB//patZ//atoA//hycE//phoA//cysN//cysJ//frdD//ppc//galE//gnd//ulaD//torA//uxaB//adhE//metE//gutQ//waaH//ruvB//lsrK//cyoE//glcF//purC//phnG//sdhB//murG//gloA//leuD//deoD//guaB//treC//fadE//gcvH//mtlD//eno//trmD//ubiG//fabZ//
Fur_pos	fucU//galE//dinB//uvrB//hflX//fadA//pdeL//ubiG//hpt//melA//citC//gdhA//hyaB//ndh//uxuA//kbaZ//
GadE-RcsB_pos	deoB//pgm//ssuE//dgcZ//bglB//
GadE_pos	glgB//cheB//lacA//citF//allE//glcF//ilvE//adiA//allE//pdeF//
GadW_neg	glpD//cysD//bcsB//
GadW_pos	puuA//argA//lysC//uvrA//
GadX_neg	slt//napB//
GadX_pos	melA//ilvD//prpD//gntK//mhpA//sufS//gcvT//wecB//sdaA//caiC//patZ//
GalR_neg	cueO//cysJ//cadA//hycF//bioB//tehB//
GalR_pos	moaC//purC//ndh//codA//
GalS_neg	dacC//metK//citG//recB//sdhD//pykF//
GalS_pos	fabG//relA//paaC//galM//
GatR_neg	glpA//lpxA//dapD//
GcvA_neg	glpE//hycE//yiaK//
GcvA_pos	dadA//alkB//gcvH//
GlcC_neg	
GlcC_pos	trmA//hyaB//ilvE//
GlpR_neg	katG//hemL//gadA//dgcN//citX//asnA//fabG//
GlrR_pos	
GntR_neg	thrS//luxS//ilvD//citF//nanM//bioC//allE//carA//pyrC//
GutM_pos	fau//deoD//uvrA//
H-NS_neg	mazG//fucO//mhpF//ilvA//putA//tam//purF//rtcA//umpH//narI//mhpE//nrdD//argA//glmS//ygeA//alsE//ldtC//frc//lyxK//aspA//ilvD//entE//gcvH//lpd//ynfG//lpd//glcF//sbcD//idnK//narH//relA//rsmH//glmU//purH//xdhA//serC//glcE//tyrB//fbaB//glxK//mazG//galT//cysH//truB//trpE//ilvD//argG//grxA//gatZ//tynA//adiA//
H-NS_pos	rtcB//pykF//citX//melA//allD//alaS//purD//aceF//glpK//trpA//malZ//lpxD//nanK//gltA//phnI//
HU_neg	argH//aceB//rbsK//carA//gntK//patA//adhE//
HU_pos	
HcaR_neg	
HcaR_pos	pgm//gabT//
HdfR_neg	
HdfR_pos	
HigA_neg	ynfG//
HigB-HigA_neg	gcd//
HipAB_neg	ppiA//tdcD//
HipB_neg	tam//gpsA//folE//
HprR_neg	fadB//yeaE//
HprR_pos	xdhB//lsrG//
HyfR_pos	uvrC//
HypT_neg	gcvH//paaH//
HypT_pos	ssuE//citC//ampD//lyxK//tktB//
IHF_neg	dsdA//mtlD//cysG//cysC//cheR//hycG//carB//allC//rutA//ttdB//appA//wzc//uidA//uxuB//hypB//paaA//yiaK//rimK//edd//ruvA//puuC//astE//ftnA//betA//waaZ//ubiC//ruvA//recB//ubiC//cadA//wrbA//glgX//moeA//putA//fadB//acnB//xylB//nanE//carB//pdeH//dadX//hcaE//fucK//
IHF_pos	ddlB//glxK//gadB//entF//ppsA//tdcG//wecE//sufS//nagB//galK//poxB//aceF//moeA//treC//tyrB//frdD//caiC//mhpD//ssuD//mhpB//argH//speB//paaF//pflB//hemA//nirB//glxR//ilvN//paaE//frc//purL//srkA//add//cysG//rffC//idnK//icd//hmp//fucI//entA//purM//trpA//pdeH//agp//prpD//uxuA//nanM//aceB//leuB//nemA//lpxC//ddlB//yiaK//glmS//trpC//ruvB//uidA//poxB//cyoE//pdeL//frdC//gntK//rutB//prpB//fabG//pykF//sdhB//paaZ//kbaY//aroA//fucI//
IclR_neg	pyrC//malP//malQ//
IdnR_neg	allC//leuC//
IdnR_pos	hypB//ruvB//moaC//fdhF//
IlvY_neg	
IlvY_pos	fadM//
IscR_neg	umpH//glcE//purM//cyaA//gcvT//gutQ//
IscR_pos	aldA//hcaF//
KdgR_neg	rtcA//nfsB//
KdpE_pos	entA//
LacI_neg	aspA//nanM//sodB//
LeuO_neg	
LeuO_pos	speC//hycF//nemA//ttdB//aroA//malQ//
LexA_neg	prpB//caiD//prs//trmD//speB//ugpQ//nrdF//napA//amn//entE//allA//icd//trpC//trpE//relA//bioF//glk//allA//dusB//rffG//glpK//ravA//prpB//
LldR_neg	ubiG//citC//
LldR_pos	trpC//sgbU//
LrhA_neg	
LrhA_pos	
Lrp_neg	pdxA//fumC//poxB//gltX//tdcB//umuC//rhaD//lsrG//lysU//speB//glpD//mhpB//purL//hycB//hflX//pykF//uvrA//deoC//ilvD//aldA//ubiC//ynfG//phnM//
Lrp_pos	hemF//sgbH//ddlB//uxaC//argI//fucA//psd//cysG//lacZ//rutC//galT//deoD//entE//gcvP//tyrB//sucC//mpl//mtlD//lacA//gabD//
LsrR_neg	ycjG//napB//metC//caiD//rpiB//
LysR_neg	
LysR_pos	lysC//
MalI_neg	gcd//leuC//
MalT_pos	garL//murF//mpl//trmA//entB//bioA//
MarA_neg	ulaF//
MarA_pos	edd//relA//metC//katG//pgpC//betA//ilvB//argH//fumB//rtcB//sdhC//argH//chiA//tynA//paaC//wecC//ldtD//metB//gutQ//upp//acs//ynfE//pagP//
MarR_neg	
MatA_neg	citE//
MatA_pos	
MazE-MazF_neg	metA//
MazE_neg	prpE//
McbR_neg	
McbR_pos	
MelR_neg	ilvA//pagP//
MelR_pos	folE//mnmG//
MetJ_neg	sgbH//bcsZ//moeA//srkA//yqjH//ung//prpE//rutE//eno//alaS//
MetR_neg	tdcG//
MetR_pos	hyaB//moeB//gudD//purC//
MhpR_pos	gltA//rhaB//ampD//oxc//recF//fbaA//
Mlc_neg	eno//pck//lpxC//napA//
MlrA_pos	fumB//
MngR_neg	fumC//paaC//
MntR_neg	fabI//
MntR_pos	cynT//
ModE_neg	bglB//mhpB//ulaD//uidA//hyi//rtcB//putA//fabI//
ModE_pos	adhE//ilvC//manA//gadB//cysN//preA//allC//astE//appA//
MprA_neg	gdhA//moeA//purD//
MqsA_neg	alaC//tdcE//
MraZ_neg	lpxA//glsA//gpsA//argG//rpiB//glpK//fabG//pepD//cheR//agp//
MurR_neg	phnJ//pgk//murD//
MurR_pos	
Nac_neg	pck//trpD//cdd//
Nac_pos	ybjG//lldD//tktB//sodA//cysM//ftsI//kbl//sgbU//
NadR_neg	nanM//polB//frdD//moeB//
NagC_neg	pykF//narG//dmsC//ada//sdhB//edd//folA//trpA//ilvG_1//sucA//paaG//tyrA//ahpC//kbaZ//moaC//ppiA//rimK//idnK//
NagC_pos	hycB//citD//
NanR_neg	accD//leuA//icd//moaA//fumC//pdeL//
NanR_pos	
NarL_neg	adiA//gatD//cueO//glk//ackA//sucC//xdhA//accA//allA//rutE//dmsA//pgm//pgaD//purF//rsmA//ydcS//serA//fumA//rtcB//lhgO//betA//murI//galK//glsA//murE//pgpC//prpB//puuE//
NarL_pos	pepD//lpxA//napG//hycC//wzc//garK//gcvP//tam//aroF//metH//sodA//dmsA//xdhA//guaA//cysI//
NarP_neg	idnD//garL//aceF//araB//umuC//
NarP_pos	thrS//lacZ//aceE//wrbA//lysC//edd//gltX//uidA//gdhA//mhpD//hycB//allD//nemA//nadB//
NemR_neg	hemA//trpB//
NhaR_pos	ssuD//citX//zwf//cynS//paaE//
NikR_neg	tadA//
NimR_neg	ulaF//
NorR_neg	
NorR_pos	metL//
NrdR_neg	yeaG//folA//speC//mhpF//
NsrR_neg	hemA//alaS//yeaG//bglB//feaB//gcvH//fes//relA//araB//aceE//dinB//astD//frdD//pgi//murQ//umuD//rutE//hcaB//nadA//xylA//glgA//epd//mngB//glgC//dadX//hemA//amiA//accD//bacA//caiA//fau//guaA//ung//nrdF//ugpQ//sbcD//uxuB//gcl//chiA//sucD//
NtrC_neg	accA//pfkA//
NtrC_pos	galT//malZ//xdhA//dsdA//mraY//idnK//dgkA//mpaA//lyxK//iscS//iscS//rsmA//murI//hycB//prpE//ygeA//metK//allE//caiD//leuD//glcE//
OmpR_neg	metL//xdhA//ilvE//glsA//betA//
OmpR_pos	dgcZ//nemA//cysK//thrS//
OxyR_neg	gor//alsE//rsmH//narG//entD//
OxyR_pos	patA//glgA//murG//hcaB//trpB//zwf//uvrA//phnG//citF//fes//ynfH//wzc//
PaaX_neg	pdeL//malP//kbaY//amiA//caiC//nrdF//sgbU//hypF//garD//
PdeL_pos	mhpD//
PdhR_neg	ilvM//bcsB//ychF//argC//caiC//yqhD//malY//appA//aroH//waaH//hcaC//adiA//sodB//ubiA//argF//chbG//murG//uxuB//pgaB//dgcZ//ppiA//waaY//phnO//
PdhR_pos	gltA//hycG//
PepA_neg	dadX//dinB//
PgrR_neg	aroA//purM//
PhoB_neg	dmsA//yeaE//ogt//frdA//malS//
PhoB_pos	arsC//citF//acs//nagA//gadB//leuB//pgaB//dsdA//sbcC//waaY//nrdA//slt//ogt//edd//metB//napB//puuD//
PhoP_neg	fabZ//lhgO//rhaA//
PhoP_pos	cysG//ldtD//ilvN//sbcC//pgpC//umuD//hflX//wrbA//tehB//glpX//ascB//upp//puuB//talA//gdhA//nagB//kbaZ//trpE//aroH//aspC//ascB//prs//murC//hcaD//aceF//purK//grxA//glpD//fabH//cueO//metH//
PrpR_neg	
PrpR_pos	paaY//glmU//polB//cdd//
PspF_neg	
PspF_pos	tpiA//
PurR_neg	caiC//nadA//yqhD//aroH//dmsA//deoC//dsdA//aceF//ahpC//hchA//mdh//rimK//caiD//metH//alaS//ynfF//sbcC//fabZ//argD//argB//entH//purH//mpaA//aroF//citG//acnB//
PutA_neg	galT//cyoE//
PuuR_neg	pgi//rhaB//deoC//cysC//glyA//umuD//
QseB_neg	
QseB_pos	
RbsR_neg	speB//fadA//yqhD//accA//acnB//
RbsR_pos	astE//
RcdA_neg	
RcdA_pos	gor//
RclR_pos	
RcnR_neg	gnd//
RcsAB_neg	astE//
RcsAB_pos	sucD//yfdE//
RcsB-BglJ_pos	uxuB//mazG//
RcsB_neg	metF//
RcsB_pos	serC//ppsA//ilvN//
RelB-RelE_neg	fucK//
RelB_neg	psd//
RhaR_pos	
RhaS_pos	gatZ//narH//relA//waaY//
Rob_neg	
Rob_pos	fruK//wrbA//puuA//glpD//glpQ//sdhA//ddlB//wzc//pgaB//guaB//paaA//hcaD//hemF//caiD//fbaA//phnL//adiA//ilvN//ilvD//
RstA_neg	ccp//carA//
RstA_pos	entD//
RtcR_pos	hyaC//hycB//
RutR_neg	aldA//pflB//dmsB//idnK//puuD//bioA//phnO//nrdD//chbF//purN//
RutR_pos	cysM//
SdiA_neg	
SdiA_pos	
SgrR_neg	trpC//
SgrR_pos	gltD//ansB//
SlyA_neg	
SlyA_pos	tauD//argI//fes//nadC//uxaB//pgaD//gnd//ampC//umuD//
SoxR_neg	
SoxR_pos	astC//
SoxS_neg	
SoxS_pos	manA//ahpC//bcsB//eda//pdeF//mhpB//puuA//malQ//frdB//ybjG//gpmA//glpB//ascB//psd//fbaB//phnO//hycE//agp//ribA//rutE//glmS//arsC//ampD//fabZ//sdhD//sgbU//
SrlR_neg	murG//ynfF//sufS//
StpA_neg	pgpC//dkgB//phnJ//
SutR_neg	lpxC//uxaA//
SutR_pos	
TdcA_pos	dgcN//dmsB//rsmH//gabT//hcaE//
TdcR_pos	gcvP//paaI//folE//acnB//ynfE//
TorR_neg	ldtD//
TorR_pos	fabZ//hemL//lacA//rtcB//
TreR_neg	pgpC//glmU//
TrpR_neg	ravA//gltX//gudD//mazG//fabB//glpA//ftsI//narG//nrfC//
TtdR_pos	dsdA//dkgA//
TyrR_neg	alaA//aceE//nagA//sufS//deoB//guaB//ulaD//
TyrR_pos	pdeL//bglB//dgcN//
UhpA_pos	ulaE//
UidR_neg	gapA//hpt//
UlaR_neg	lsrK//ada//rffH//moaD//nfsB//
UvrY_pos	kbaY//cysC//
UxuR_neg	rutB//yeaG//relA//mpaA//rsmA//
XapR_pos	lpxA//rhaD//
XylR_neg	
XylR_pos	add//dmsA//patZ//
YdeO_neg	
YdeO_pos	ybjG//fabA//glgX//
YefM-YoeB_neg	nadA//
YefM_neg	phnL//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	sbcD//ulaE//ilvB//entF//ravA//hycG//
YjjQ_neg	sucB//nadC//
YpdB_pos	
YqhC_pos	ldtB//ilvG_1//
YqjI_neg	dacC//
ZntR_pos	hcaC//
ZraR_pos	
Zur_neg	lpxA//
