# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	rsmH//tauD//
AtoC_pos	ansB//hcp//glmU//
BCCP_neg	lsrK//
BaeR_pos	pfkA//glpK//
BasR_neg	asnB//
BasR_pos	aroH//pnp//
BetI_neg	hchA//nemA//gcvH//
BirA_neg	sodA//gcl//moaA//uxaB//phnN//
BluR_neg	
BolA_neg	feaB//oxc//
BolA_pos	allB//nfsA//
BtsR_pos	leuA//
CRP_neg	hcaB//betB//lsrG//sbcC//tdcD//dkgB//deoC//mhpA//astC//add//moeB//hyaC//grxA//aceA//wrbA//murG//mltF//entA//pgpC//alsE//uvrA//mltF//fumC//dkgA//bioF//pheT//zwf//ilvG_1//puuE//uidA//glcD//cyoE//aldB//srlD//paaI//rimK//rutD//metA//astC//pyrC//moaC//dadA//citD//chbF//phnJ//trpE//argG//tyrA//fabA//lacA//bioF//glpX//moaA//paaK//aldB//ampC//gloA//glpQ//astB//tdcG//metA//aceE//mtlD//moeB//moaA//ilvG_1//nemA//tam//nrdD//chbG//ilvG_1//
CRP_pos	ubiA//hycG//metH//deoC//carB//paaB//phnO//purH//fes//ulaD//xylB//prmC//gcd//waaH//astD//gatZ//nrdA//aroH//mdh//cdd//gloA//glpK//xylB//paaC//tyrB//hcp//nirD//entE//rutE//pepD//alkA//speB//rsmH//cadA//torC//cynT//fucI//idnO//ulaD//trpA//argI//truB//carA//sucC//aroH//lpxC//cynT//leuC//glyA//pdeL//gcvH//cynT//atoB//malZ//ackA//hycB//mnmG//thrS//slt//trpE//ahpF//pheS//paaI//nrfC//entH//fbaB//entB//yfdE//pyrC//fadH//paaZ//pdxA//bglB//nrdD//ubiA//yeaE//malQ//chbG//sufS//ada//aldB//acs//talA//rffT//wzc//purE//xdhB//mtlD//ackA//xapA//nadA//gloA//ribA//amiA//moaD//nrdA//pagP//umpH//malY//glgP//glgA//nadC//ilvH//aceE//ldtC//glpQ//codA//pagP//sbcD//allE//uxaC//leuD//fabH//cysN//ttdB//betB//hcaF//hyaA//metB//ruvA//cysD//garR//gudD//argC//ilvG_1//fbaB//hemA//serA//glcB//sdhA//astE//rffC//hchA//poxB//argF//dhaL//ilvG_1//fruK//gcvP//lpxA//yqjH//yeaE//glpB//uxuA//eda//hcp//gntK//ftsI//paaH//ybjG//fbaA//hycB//murF//alkA//dinB//nfsB//fau//narH//lysC//garR//aceA//hemL//metA//citG//sucA//puuA//rffG//ppiA//eda//ilvG_1//ubiC//purB//pspE//murQ//araA//astE//dusB//galT//garR//cysD//paaY//cdd//ilvA//entH//moaA//citD//gadB//bioA//guaA//tynA//torA//aceA//ilvC//metH//atoD//ubiA//gabT//frc//nrdB//cpdB//purA//araA//fabH//argI//cysH//nirB//dhaK//ynfE//fumA//glpC//ubiC//nrdF//gpsA//carA//allE//lsrF//metA//citC//fadE//fucO//sbcC//ybjG//glpC//gabT//napG//sdhD//phnN//caiB//polA//ydcS//ttdB//tdcB//ilvM//tdcB//sucB//fadA//metA//hycE//puuC//ppiA//guaB//glnA//ilvI//dmsC//cysH//dmsB//pgpC//fadM//trmD//
CadC_pos	ttdB//uxaC//argD//
CaiF_pos	glpA//uvrC//entD//yeaE//ravA//
Cbl_pos	mtlD//ulaD//hcp//tehB//speA//
CdaR_pos	caiA//wrbA//paaG//gcd//rhaA//frc//fucA//guaB//astD//
CecR_neg	phnM//
ChbR_neg	tam//hchA//cadA//
ChbR_pos	wecB//dmsC//uvrB//
ComR_neg	
CpxR_neg	uvrA//nfsA//mhpF//
CpxR_pos	argF//paaJ//ulaF//fabA//pnp//yeaE//fadH//rutA//tyrA//arsC//purA//mhpF//dgcC//folE//uidA//pdxA//sdhA//gpsA//
Cra_neg	sbcC//purF//lysC//treC//polA//rfe//nrdB//yeaE//pgaB//ftsI//fdhF//glpC//aroA//tam//bioD//hcaD//hcaD//nrdA//hyaA//hemH//ackA//deoB//mtlD//uxaC//entD//uvrA//phnO//ygeA//murI//ubiG//pgaD//oxc//ddlB//nagA//mpl//sbcD//ampD//sdhD//aroA//hchA//tynA//aroA//rutE//ruvA//purF//
Cra_pos	treC//srlD//patZ//aroA//zwf//rsmA//uxaB//queA//glpX//lsrK//ycjG//astA//narH//hemH//fadB//xdhB//ansB//
CreB_neg	glgC//
CreB_pos	acs//
CsgD_neg	garK//rsmH//
CsgD_pos	lysC//glnA//ribA//
CsiR_neg	kbaZ//lsrF//pdxA//ilvN//
CspA_pos	gutQ//
CueR_neg	nrfC//caiC//leuB//
CueR_pos	sbcC//cyoE//
CusR_pos	treC//nfsB//uvrB//nirD//
CynR_neg	
CynR_pos	idnO//phoA//dkgB//
CysB_neg	fabH//citG//pagP//
CysB_pos	oxc//purE//glpX//lsrG//fabZ//dinB//ilvD//aspA//purB//cyaA//gloA//metH//metE//speA//
CytR_neg	ubiC//sucB//accD//accC//acs//fabH//uxuA//ribA//dmsC//moaE//
DcuR_pos	pykF//gltD//galE//ssuE//
DeoR_neg	glpA//nrdE//paaI//hyaB//patZ//purL//
DhaR_neg	
DhaR_pos	citE//
DicA_neg	
DinJ-YafQ_neg	dhaL//
DnaA_neg	ulaG//ahpF//alaS//hycB//ahpF//
DnaA_pos	ascB//sdaA//guaA//
DpiA_neg	
DpiA_pos	xdhA//dmsB//dadX//pgpC//paaZ//
DsdC_neg	
DsdC_pos	fabB//tam//
EbgR_neg	
EnvR_neg	cysE//aspA//
EnvY_pos	thrS//nrdB//
EvgA_pos	tauD//entA//apaH//folA//ppc//ldtC//
ExuR_neg	hemA//lysC//glgP//phnO//ulaG//amn//
FNR_neg	puuA//eno//mngB//nadB//tpiA//mtlD//sgbE//napH//pspE//hycC//phnH//dgcC//metA//rhaB//puuC//leuB//aroF//malP//nrdB//cynT//cynS//gltB//nfsA//frdA//pdxA//pck//glgA//rutB//dhaL//accA//dsdA//hycC//gapA//umpH//lacZ//nanA//pnp//rsmH//udp//atoD//queA//astC//arsC//folE//
FNR_pos	entE//polA//argF//rffC//glgC//kbl//dgkA//cheR//glcF//paaY//deoB//uxuB//glpA//polA//malZ//citE//ttdB//malY//purF//metH//deoC//tadA//ascB//metF//xdhC//pheT//umuD//nanM//metA//arsC//nanE//kbaZ//ilvN//purK//tdcB//hycF//murG//srlD//wzb//adeD//dadA//lpxA//hycD//puuD//ilvC//betB//rfe//rutE//cysI//fadJ//accC//phr//fadA//pyrD//ydcS//ilvA//chiA//dadX//sbcC//entA//gabD//cdd//uxaA//dgcZ//puuD//ftsI//rpiB//ycjG//cysC//dapB//gpsA//rtcA//glcB//wecC//psd//murG//tnaA//fabG//lacA//purE//dapB//galM//fucA//pgaB//tadA//adeD//tdcD//gutQ//grxA//phnM//mazG//purM//rbsD//araD//rffC//agp//
FabR_neg	queA//mraY//dmsC//
FadR_neg	murD//recB//glgC//mdh//sdaA//fadI//aldB//hycC//rffH//
FadR_pos	xdhC//prpB//melA//lysU//fabD//astC//cysG//alaS//hcaD//ubiA//
FeaR_pos	leuC//lsrK//
FhlA_pos	fucO//malS//yedX//codA//dusB//fucA//fadD//glpE//
Fis_neg	nrfD//dhaK//aspA//cysE//glcF//hcaB//prpD//recF//relA//tam//pflB//cysK//hyi//malQ//accD//frdB//galE//deoB//rhaA//paaJ//udp//frdC//nrfC//glgC//tynA//allE//pyrD//carA//wecB//nrdE//accC//aceB//murC//hycD//cysK//cheR//argA//idnD//nadA//cynT//ybjG//umuD//uxaB//araD//paaF//lysC//
Fis_pos	ilvA//pflB//fabZ//lsrG//nirB//tdcB//aldA//aldA//aceF//paaI//napG//polB//nadA//lyxK//paaY//carB//ugpQ//nrdD//hflX//tnaA//aceA//astB//pagP//recB//ppc//gltA//ilvG_1//mraY//fadB//astB//acs//wzc//glgX//entC//gatY//rtcA//zwf//
FlhDC_neg	pfkA//gpmM//
FlhDC_pos	agp//pheT//gpmM//bioF//waaY//waaY//sbcC//cynT//argA//ilvC//acnB//dmsB//
FliZ_neg	pdeR//nrdF//murQ//lacZ//lhgO//
FucR_pos	glpC//ada//pheT//frdC//ruvA//phoA//
Fur_neg	dusB//talA//pheS//speB//accC//malP//treC//mhpC//rffG//lacZ//purN//metH//paaZ//gltB//paaC//garR//atoB//phnO//recF//ribA//narI//fbaB//entE//ychF//hyaB//avtA//speB//ychF//alkA//gltX//grxA//eno//argB//cysN//cynS//asnB//paaI//moaC//hycG//pgi//hycG//betA//hyi//murF//metH//wecE//mazG//frdA//bioF//gcvH//nfsB//mltF//rhaA//
Fur_pos	hycD//pgi//mltF//alsE//astE//srlD//lsrG//ilvN//tpiA//citG//aroL//fabD//ccp//dadA//fadD//epd//
GadE-RcsB_pos	hycB//rpiB//murI//folE//glpK//
GadE_pos	hchA//nrdA//codA//murC//slt//sgbU//cyoE//idnD//gpmA//argF//
GadW_neg	gapA//adiA//galM//
GadW_pos	glgC//ttdA//ilvI//ugpQ//
GadX_neg	pfkA//yiaK//
GadX_pos	fbaB//argD//nanK//guaA//kbaZ//accC//carB//yqhD//ppiA//mnmG//chbF//
GalR_neg	glpB//mpaA//ssuD//garR//idnD//torA//
GalR_pos	wecC//arsC//mdh//umuD//
GalS_neg	lacA//phnO//glk//bioA//citE//rnpB//
GalS_pos	lpxD//nanK//polA//waaH//
GatR_neg	ravA//pnp//gudD//
GcvA_neg	patA//umpH//aroL//
GcvA_pos	pfkA//betB//dhaK//
GlcC_neg	
GlcC_pos	pagP//fucA//kbaZ//
GlpR_neg	dkgB//gutQ//gcvT//ttdA//chbG//codA//araB//
GlrR_pos	
GntR_neg	ilvA//pflB//citF//sufS//ubiA//mhpA//caiD//ydcS//fabZ//
GutM_pos	frc//alsE//polB//
H-NS_neg	waaH//moeA//dgkA//nanK//deoB//hflX//chbF//lysA//citE//rnpB//rutB//uxaC//fucO//glk//cynT//guaA//phnL//murF//agp//cynS//frc//acs//ilvE//purN//dapD//mhpB//argF//puuC//paaA//leuB//ampD//speB//pyrC//betB//nanM//metB//rutE//treC//gpsA//araD//argH//moaE//metF//moaE//dgcC//lpxC//aldB//ilvB//phoA//hycD//recD//
H-NS_pos	glmU//trmD//xdhB//gadB//hyi//yeaE//idnK//treC//glpC//fucA//rffC//glpE//gpmA//metL//purF//
HU_neg	nagB//xdhC//dkgB//ubiX//murC//umuC//purA//
HU_pos	
HcaR_neg	
HcaR_pos	aceA//tdh//
HdfR_neg	
HdfR_pos	
HigA_neg	bglB//
HigB-HigA_neg	wzb//
HipAB_neg	hcp//rfe//
HipB_neg	gcvP//hyaA//metH//
HprR_neg	manA//nirD//
HprR_pos	entH//rtcA//
HyfR_pos	purK//
HypT_neg	bcsB//ilvE//
HypT_pos	aspA//dgcC//entE//citF//aroH//
IHF_neg	prpD//moaA//dmsC//pdeL//amn//acnA//argE//astA//deoC//lysA//metE//sufS//trpA//purM//acs//atoA//bacA//mhpA//kbl//phoA//mhpE//nanA//hyi//uvrA//allD//fruK//fabH//trpE//galT//uidA//hemH//deoB//lysU//adiA//wecC//truB//sucB//bcsB//chiA//chbF//ygeA//argI//accA//
IHF_pos	sbcD//cheR//rutA//hcaE//paaI//katE//astA//ychF//atoA//alkA//fadB//glmS//pgpC//mazG//pdeR//paaY//dhaL//entB//rsmA//dinB//recD//nirB//frc//allD//bioF//gadB//cyaA//murI//narI//fadB//citE//epd//murD//ndh//aspC//leuA//ulaG//patZ//murC//uvrA//ydcS//upp//purE//gapA//pdxA//argD//dkgB//narG//pgk//gntK//mltF//speB//gcvT//mhpC//pflB//mngB//argE//hemF//narI//pgpC//rffG//manA//phnO//cysM//glpX//astB//agp//alsE//aceE//glgB//uxaA//
IclR_neg	ascB//rtcA//ulaE//
IdnR_neg	bioC//ygeA//
IdnR_pos	paaK//dsdA//tadA//dapD//
IlvY_neg	
IlvY_pos	paaA//
IscR_neg	xdhC//cynT//cysD//pgm//argB//ynfH//
IscR_pos	katE//accA//
KdgR_neg	pdeH//alkA//
KdpE_pos	glcD//
LacI_neg	gcd//ascB//ahpC//
LeuO_neg	
LeuO_pos	fucU//gatY//atoA//ilvB//paaA//metL//
LexA_neg	carB//phoA//glmU//galT//ftnA//paaJ//paaY//bioC//kbaY//pdxA//napH//fadM//citD//mhpD//uxaB//mnmG//udp//rffT//asnB//glcE//carB//gcvP//purL//
LldR_neg	lyxK//glcD//
LldR_pos	galM//ahpF//
LrhA_neg	
LrhA_pos	
Lrp_neg	pykF//fadD//tdcD//nagA//ppsA//ttdA//fadA//mhpF//fruK//gadB//caiC//idnD//glpB//citF//dhaM//argE//gltA//argG//glpK//pyrC//cyaA//hcaB//ldtB//
Lrp_pos	glmU//gadA//argC//sucB//atoA//mhpC//phnM//fadH//aroA//gnd//rutD//gnd//hyi//mhpD//galK//ulaE//putA//aroF//kbaY//lsrK//
LsrR_neg	trpB//phnM//carA//garR//pncB//
LysR_neg	
LysR_pos	carA//
MalI_neg	cheR//rutD//
MalT_pos	iscS//ruvB//moaA//uvrA//bioC//pheS//
MarA_neg	sdhC//
MarA_pos	hflX//hemH//nrdE//fabB//citC//purB//fabI//rutC//glpQ//yedX//fadE//malS//glgP//hypF//treC//cadA//nemA//hemH//glpX//pgaB//argD//ahpC//fumC//
MarR_neg	
MatA_neg	gatZ//
MatA_pos	
MazE-MazF_neg	srlD//
MazE_neg	murG//
McbR_neg	
McbR_pos	
MelR_neg	pfkA//ilvI//
MelR_pos	hemH//gutQ//
MetJ_neg	aceA//paaF//fadB//nadA//uxuB//nanM//deoD//mltF//chiA//cysH//
MetR_neg	aceB//
MetR_pos	recF//glk//fabI//fucI//
MhpR_pos	patA//dacC//atoD//argH//cueO//umuC//
Mlc_neg	leuB//ulaD//wzb//gutQ//
MlrA_pos	asnB//
MngR_neg	yeaG//preT//
MntR_neg	pgpC//
MntR_pos	lsrG//
ModE_neg	aceF//sucB//hemH//betB//polB//ftnA//glsA//puuA//
ModE_pos	asnA//idnD//accD//narH//malS//puuE//mpaA//oxc//queA//
MprA_neg	lyxK//mdh//gcl//
MqsA_neg	pflB//rbsK//
MraZ_neg	ugpQ//metC//tdcD//bioA//hemF//aldB//rnpB//aceF//prmC//cysK//
MurR_neg	dsdA//entF//patA//
MurR_pos	
Nac_neg	tnaA//rutD//mltF//
Nac_pos	alaS//mazG//purF//lysC//accC//fdhF//argD//carB//
NadR_neg	mpaA//pnp//zwf//pflB//
NagC_neg	thrS//gcvP//rffT//aroG//metH//frc//phnP//yqhD//garK//hyaC//fdhF//prmC//pspE//cdd//cpdB//metA//sgbU//alaS//
NagC_pos	tdcB//allD//
NanR_neg	feaB//metE//cysI//accC//acnA//tyrA//
NanR_pos	
NarL_neg	iscS//phnO//ssuD//lyxK//hyaC//ahpC//nemA//fabI//hemF//atoA//hpt//ydcS//hemL//frdB//serC//dgcZ//ulaE//paaC//carB//glpQ//hcaD//uvrC//yedX//ldtD//edd//phoA//prpD//alaS//
NarL_pos	kbl//entA//wecC//avtA//malP//pdxA//lldD//pflB//hemA//lpxC//rpiB//astD//nrdA//mtlD//purL//
NarP_neg	purM//purE//galE//fau//cysI//
NarP_pos	phnO//tyrB//dhaM//mltF//tauD//argB//tyrB//nrdD//gapA//frc//folE//paaF//prpD//ansB//
NemR_neg	umuC//allC//
NhaR_pos	glpA//trmA//lhgO//alaC//malS//
NikR_neg	paaY//
NimR_neg	cysK//
NorR_neg	
NorR_pos	nadC//
NrdR_neg	manA//hycB//glpK//tyrB//
NsrR_neg	pdeF//deoC//rutE//pykF//adeD//ttdA//sucB//ppsA//argA//nagB//preA//zwf//epd//sdhB//accC//sgbE//sdhC//lyxK//fucU//fucI//dgcZ//glmU//deoC//epd//paaG//pgi//acnB//xdhC//fumB//sdhA//dmsC//nfsA//ahpF//pheT//pgm//astE//glnA//gatZ//ttdB//rpiB//
NtrC_neg	truB//phnM//
NtrC_pos	gdhA//entE//glsA//putA//fabZ//paaB//bioD//alsE//garD//preT//gcvT//fabD//sgbE//lsrG//fadM//dhaL//ilvE//hemL//ubiC//truB//recD//
OmpR_neg	pnp//nrdB//prmC//glcF//yqhD//
OmpR_pos	ahpC//murD//nrdD//gatY//
OxyR_neg	sgbH//prpB//mngB//ssuD//recF//
OxyR_pos	pnp//fabD//icd//gabT//gcvT//aspA//pncB//glmS//gltD//astC//astD//tyrA//
PaaX_neg	galK//frc//kbaZ//icd//melA//trpA//cysN//glgC//argB//
PdeL_pos	dhaM//
PdhR_neg	aroL//pgi//thrS//glpB//pncB//bioC//chbF//fabB//purA//sodB//hpt//astB//speA//pgi//entC//phnI//tdcB//bioC//cysN//ppsA//fabD//rffH//cueO//
PdhR_pos	fadA//nrfC//
PepA_neg	gudD//tdcE//
PgrR_neg	xapA//nanM//
PhoB_neg	nrdA//speA//nrfD//fucK//ilvD//
PhoB_pos	zwf//hycD//rtcA//ilvH//metK//mngB//tauD//napH//sucB//leuD//add//gnd//mltF//paaJ//slt//fau//mtlD//
PhoP_neg	dacC//glk//ampD//
PhoP_pos	fadE//hyi//gcvP//ulaG//relA//gltD//purD//glgP//argA//moaD//napG//fabA//rutB//rutA//pgi//uxuA//pgpC//pheT//gcl//hycG//paaJ//dinB//ubiA//paaG//mngB//deoA//nrdD//argC//yqhD//speC//malP//
PrpR_neg	
PrpR_pos	phnG//atoA//kbl//lysC//
PspF_neg	
PspF_pos	mhpD//
PurR_neg	sucA//ccp//fabI//ampC//pdeF//ada//paaZ//ppsA//hyaC//ilvA//bcsZ//sucB//cynS//phnL//rfe//malY//glpB//rffT//fadM//phnH//purL//umpH//cyoE//fau//ulaE//purE//
PutA_neg	dmsA//garR//
PuuR_neg	xdhB//tnaA//purF//mpaA//hflX//wecC//
QseB_neg	
QseB_pos	
RbsR_neg	purE//chiA//oxc//cysN//arsC//
RbsR_pos	polA//
RcdA_neg	
RcdA_pos	hypF//
RclR_pos	
RcnR_neg	gntK//
RcsAB_neg	argH//
RcsAB_pos	cyaA//murE//
RcsB-BglJ_pos	purC//ttdB//
RcsB_neg	gor//
RcsB_pos	rpiB//rffH//ftnA//
RelB-RelE_neg	tdh//
RelB_neg	purF//
RhaR_pos	
RhaS_pos	narG//fumB//rutC//entH//
Rob_neg	
Rob_pos	phr//leuD//gltA//rhaD//fadE//dinB//serC//astC//paaC//ddlB//guaA//rimK//moaD//lyxK//sucC//dinB//thrS//yfdE//paaI//
RstA_neg	ndh//rimK//
RstA_pos	garK//
RtcR_pos	cysG//citC//
RutR_neg	pheT//nemA//paaK//murQ//ruvA//fadH//glmS//phnH//araA//aroF//
RutR_pos	argF//
SdiA_neg	
SdiA_pos	
SgrR_neg	yfdE//
SgrR_pos	cysH//hemF//
SlyA_neg	
SlyA_pos	treC//ilvH//rhaD//prpC//ftsI//acnA//pheT//betA//carB//
SoxR_neg	
SoxR_pos	gcl//
SoxS_neg	
SoxS_pos	purL//gatZ//oxc//tdcG//patZ//fbaA//katE//rfe//gatD//nagB//fumB//ulaD//paaH//astA//pagP//tadA//ampC//grxA//polA//paaY//glpE//purA//ybjG//hycG//gcvH//fabB//
SrlR_neg	metE//ynfG//ilvD//
StpA_neg	argD//serC//ppiA//
SutR_neg	cadA//nagB//
SutR_pos	
TdcA_pos	ynfE//adhE//dinB//ackA//phnO//
TdcR_pos	lpxD//pykF//srlD//asnA//fucO//
TorR_neg	fumB//
TorR_pos	nrfA//ssuD//glcE//fabD//
TreR_neg	fadA//betA//
TrpR_neg	sdhC//fau//polB//lsrF//pepD//uxaC//dapB//ccp//avtA//
TtdR_pos	sgbU//ilvH//
TyrR_neg	lsrK//rffH//ydcS//dgcC//nadC//dadA//ftsI//
TyrR_pos	argD//malS//galT//
UhpA_pos	xdhC//
UidR_neg	katG//rsmH//
UlaR_neg	melA//chbF//gpsA//rhaB//purE//
UvrY_pos	hcaF//nrfC//
UxuR_neg	rimK//rhaD//prpE//hemL//patA//
XapR_pos	yfdE//ydcS//
XylR_neg	
XylR_pos	phnI//narG//mraY//
YdeO_neg	
YdeO_pos	sdhC//hmp//caiD//
YefM-YoeB_neg	glxR//
YefM_neg	narG//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	folA//uxuB//gatZ//citF//hycB//ssuD//
YjjQ_neg	asnA//nfsA//
YpdB_pos	
YqhC_pos	accC//fbaB//
YqjI_neg	recD//
ZntR_pos	bglB//
ZraR_pos	
Zur_neg	hcaC//
