# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	aspA//nanE//
FabR_neg	recD//rutD//mazG//
FadR_neg	slt//tehB//tynA//bglB//putA//patA//fabI//fumC//cysH//
FadR_pos	citC//gcvH//pyrC//carB//malQ//dusB//phnN//bioA//atoD//alaA//
FeaR_pos	glcD//lysC//
FhlA_pos	pgpC//purN//gdhA//pgk//katE//iscS//ilvG_1//malZ//
Fis_neg	ychF//hpt//murC//glgB//fabH//aldA//dadX//ddlB//hycB//hyaB//truB//dapB//mdh//nrdE//deoA//fadA//melA//yiaK//fabB//aceA//gapA//ynfG//fes//aceF//cynS//mhpF//tauD//hycD//mhpD//bioA//torA//ddlB//moaD//phnH//pspE//fabI//srkA//tdcD//garR//mtlD//tam//paaJ//cysG//narG//phnH//ilvM//
Fis_pos	hemH//caiC//narH//tehB//ychF//ulaD//wrbA//mhpC//slt//umuC//entF//pdeL//moeB//sgbU//galT//waaZ//slt//purE//yqjH//tdcB//dmsC//bcsZ//ilvI//dhaK//rbsD//purB//glgC//ogt//trpB//puuB//recD//hemF//glxR//lysA//fucI//fes//tauD//
FlhDC_neg	adiA//metC//
FlhDC_pos	glcD//phnM//gltB//rsmH//gatY//nadB//ilvA//hycF//dhaM//uvrB//tam//nagB//
FliZ_neg	glxR//gltD//citC//allD//tktB//
FucR_pos	gpmA//purF//araD//mhpC//hycB//fucA//
Fur_neg	fucU//putA//trpD//nadB//ddlB//fumA//metC//patA//gudD//argI//caiC//astD//rffC//patA//hyaB//paaB//cheB//bglB//icd//glpC//ssuD//truB//hemA//hyaA//nfsB//rnpB//gatZ//phr//mltF//truB//add//allD//cysI//rfe//mhpF//speC//galT//sucC//gcl//trpC//metB//prmC//phnO//entA//cadA//mngB//ldtC//nrdA//phr//tdcG//katE//glpC//glpK//
Fur_pos	fucU//nagA//nadB//aceF//dusB//phnG//serC//lysU//uxuB//ilvI//pgpC//aceE//ugpQ//pspE//trmA//rsmH//
GadE-RcsB_pos	betB//bioD//nanM//glgX//galK//
GadE_pos	aceA//xdhA//gpsA//pykF//dadX//tadA//pgi//entB//fadM//sucA//
GadW_neg	pdeL//glgX//dadA//
GadW_pos	glnA//galM//upp//purH//
GadX_neg	astD//araA//
GadX_pos	appA//nrdA//araA//gcvH//nirD//guaA//tehB//glmS//argB//gatZ//add//
GalR_neg	deoD//pgpC//hyi//galE//allE//wecE//
GalR_pos	cynS//speB//rffC//yiaK//
GalS_neg	hcaF//astC//uvrC//entB//entE//hemL//
GalS_pos	fucO//aroH//wecC//psd//
GatR_neg	katG//ribA//rffT//
GcvA_neg	dinB//grxA//hycE//
GcvA_pos	bioB//purA//uxaB//
GlcC_neg	
GlcC_pos	tadA//nrfC//tdh//
GlpR_neg	metH//prpE//talA//metK//dgcC//allC//sodB//
GlrR_pos	
GntR_neg	paaF//cynT//grxA//garL//patA//rhaD//lysA//rsmA//uxaB//
GutM_pos	fadB//frdB//purE//
H-NS_neg	metE//cysC//gpmM//hchA//deoD//dadX//glpD//treC//garD//sodA//astD//nrdB//waaH//hemA//oxc//mhpE//rnpB//galT//phnH//pykF//uidA//lldD//pepD//eno//tehB//galM//rhaA//araA//moeB//trmA//bioD//frdD//nrdD//talA//fabZ//umuD//cynS//patZ//trpE//nagB//atoB//uidA//nrfA//sgbE//mtlD//glgB//cpdB//hpt//gor//sgbE//eno//
H-NS_pos	moaE//mhpB//ugpQ//murD//fadJ//bioD//alaC//idnO//gcvT//feaB//fabH//xylB//fes//malZ//hflX//
HU_neg	pgaC//sdhA//ulaG//garD//ruvA//hcaD//acnA//
HU_pos	
HcaR_neg	
HcaR_pos	uvrA//ftnA//
HdfR_neg	
HdfR_pos	
HigA_neg	gltB//
HigB-HigA_neg	glpC//
HipAB_neg	frdD//ravA//
HipB_neg	dkgB//citC//entD//
HprR_neg	poxB//garR//
HprR_pos	pepD//ackA//
HyfR_pos	pdeH//
HypT_neg	waaY//gabT//
HypT_pos	malP//recF//waaH//ynfE//xdhB//
IHF_neg	fabZ//frdC//ygeA//gcvH//lacA//purL//mpaA//paaJ//rutB//glgC//glpE//bacA//purE//allC//gadB//moaE//pgm//nemA//allB//paaH//lsrG//truB//purC//hemL//gcvP//pncB//bioC//ubiA//ppsA//sdaA//accD//garK//frc//glpK//fabB//aroA//umuC//glyA//dkgA//gltX//nanK//fabI//ampD//
IHF_pos	mhpA//dapB//sdhC//mazG//gatY//bioB//ppsA//melA//srkA//fumA//lpxA//treC//ppiA//astC//cysH//pnp//uvrA//astA//allE//nrdD//cynS//adiA//bacA//metE//purL//pgk//asnB//cmoM//fucI//accD//tehB//cysD//mraY//hycG//mdh//torA//paaC//pepD//fabH//katE//galK//yeaE//idnO//paaI//glgX//malS//gutQ//tpiA//hycB//purC//pgaD//idnO//cyoE//moaE//glmU//uxaA//malY//udp//puuA//sdhA//glpA//mltF//pck//fucI//trmA//speA//citF//fucK//paaE//ugpQ//phnO//
IclR_neg	aceE//citE//rhaB//
IdnR_neg	ldtD//astC//
IdnR_pos	trmA//purH//uxaA//hyi//
IlvY_neg	
IlvY_pos	katE//
IscR_neg	patD//nrdD//ung//ppiA//mraY//purN//
IscR_pos	lhgO//ilvH//
KdgR_neg	tyrA//paaF//
KdpE_pos	ldtB//
LacI_neg	fucO//mpaA//torA//
LeuO_neg	
LeuO_pos	argH//ampC//gatZ//lacA//gcvP//ascB//
LexA_neg	glnA//manA//pykF//sodA//gutQ//garR//hyaC//lsrF//pgaB//purN//glgB//prpD//lyxK//galM//uxaB//fadD//sufS//xdhC//gltD//grxA//dgcN//entH//pagP//
LldR_neg	manA//lacA//
LldR_pos	agp//sucA//
LrhA_neg	
LrhA_pos	
Lrp_neg	avtA//bioD//frdA//alaC//alaS//recF//alaA//hycE//dhaL//argH//preA//napB//cheR//xylB//ydcS//lacA//gor//gutQ//gltX//metL//ahpC//mhpE//hcp//
Lrp_pos	cysG//cueO//fabI//rutB//hpt//trpB//cyaA//fumC//fabH//nagA//allC//allA//hycE//xylA//xylA//ssuE//lysU//adhE//asnA//lldD//
LsrR_neg	pdeL//ilvG_1//yeaG//gcvP//hpt//
LysR_neg	
LysR_pos	sufS//
MalI_neg	hycC//paaC//
MalT_pos	fabH//idnK//gpmA//purM//waaH//gpmA//
MarA_neg	malY//
MarA_pos	aceB//nirD//prmC//murQ//astA//amiA//paaK//fabA//aldB//hyi//glgB//ampC//cdd//add//ubiA//patD//patZ//speB//glgX//sodA//malZ//rutE//phoA//
MarR_neg	
MatA_neg	malS//
MatA_pos	
MazE-MazF_neg	dapD//
MazE_neg	hchA//
McbR_neg	
McbR_pos	
MelR_neg	ppc//tyrA//
MelR_pos	mhpD//patZ//
MetJ_neg	phnP//fadM//dhaL//citC//lsrG//relA//rffH//apaH//tyrB//lldD//
MetR_neg	metH//
MetR_pos	fabI//moaC//trpD//ydcS//
MhpR_pos	dadX//metA//cdd//tktB//nrdA//hemL//
Mlc_neg	srlD//gltA//araB//metL//
MlrA_pos	glmU//
MngR_neg	ogt//phnP//
MntR_neg	ldtC//
MntR_pos	dadX//
ModE_neg	pck//gltA//ssuE//cysJ//cadA//pgk//hyi//nadA//
ModE_pos	glxR//uxaC//cysN//poxB//rtcA//paaG//mhpF//cadA//argC//
MprA_neg	glsA//sucD//uvrA//
MqsA_neg	pdeH//gatD//
MraZ_neg	glpD//polA//lacZ//purK//galM//rffT//dkgB//ftsI//rffH//sdhC//
MurR_neg	dkgB//mhpE//acnB//
MurR_pos	
Nac_neg	pncB//cueO//cynS//
Nac_pos	fruK//sdaA//napB//hypF//idnO//argC//cysG//phnJ//
NadR_neg	ubiG//deoB//leuD//moeB//
NagC_neg	phnN//nemA//citC//tam//waaY//frdC//pdeR//oxc//icd//adiA//garD//fbaB//astD//aroF//cyoE//caiD//glmS//phnL//
NagC_pos	ubiX//entF//
NanR_neg	rutD//phnL//argE//rimK//lacZ//cheR//
NanR_pos	
NarL_neg	prpC//ribA//aroG//phnL//glgA//amn//ulaF//rutD//tadA//nrfD//pck//murG//mpaA//wrbA//lacA//fadM//yiaK//alsE//sdhB//gloA//xdhC//fadD//nrfD//sgbU//sgbE//ygeA//lacA//astE//
NarL_pos	caiC//lacZ//ynfE//paaK//recF//aceB//alkA//deoB//gor//xdhC//argB//purL//tadA//phnI//fadM//
NarP_neg	upp//mhpC//nagA//garD//moaD//
NarP_pos	manA//ccp//pykF//rbsD//xylB//hycC//dusB//nrdE//tyrA//metB//purN//fucU//pck//aldA//
NemR_neg	pflB//murI//
NhaR_pos	nrfD//alkA//speC//fadD//cysJ//
NikR_neg	galM//
NimR_neg	yiaK//
NorR_neg	
NorR_pos	recB//
NrdR_neg	nfsA//aspC//hypB//cynT//
NsrR_neg	purA//mnmG//citG//preT//uxaB//napG//xdhC//hyaC//apaH//hcaE//metK//garK//citD//upp//dsdA//napB//gabT//fabH//prpE//gltD//entD//gadA//gcl//putA//sbcC//gntK//pnp//ftsI//rffH//uxuB//argA//ulaD//upp//pdeH//gatD//dapB//xylA//gcvH//trpE//fumC//
NtrC_neg	aroL//dkgA//
NtrC_pos	prpB//fadM//fbaA//dsdA//ssuE//sdhA//putA//rhaB//deoD//adiA//purF//lsrK//nrdE//deoA//atoB//serA//ugpQ//ldtB//uxaB//allA//cysI//
OmpR_neg	yeaE//paaB//ynfH//aceB//hypB//
OmpR_pos	yedX//waaZ//ppc//malS//
OxyR_neg	adeD//tdh//pyrC//araB//gnd//
OxyR_pos	glyA//nemA//betB//gcvP//cyaA//murG//murI//cysM//phnP//aldB//caiD//rhaD//
PaaX_neg	hcaE//galE//moaE//ldtC//entC//argH//ubiC//lysC//pck//
PdeL_pos	tynA//
PdhR_neg	allA//ygeA//cysE//sucC//trpA//glxR//hycG//umuD//fadB//tehB//frdA//carA//fbaB//cysC//prpC//ruvB//accC//wrbA//ogt//citC//paaF//alkB//edd//
PdhR_pos	pflB//dkgA//
PepA_neg	ilvN//lysA//
PgrR_neg	rutC//hyaC//
PhoB_neg	atoD//folA//treC//uxuB//sdhA//
PhoB_pos	agp//ppsA//dkgB//pgpC//ynfF//narH//ampD//yiaK//xdhC//prpC//dmsB//ada//entA//rsmH//argE//entB//yiaK//
PhoP_neg	ruvA//mhpB//puuD//
PhoP_pos	ulaF//pepD//metC//uxaC//ruvB//garD//gcvP//aroF//apaH//patD//paaY//wzb//glgB//hycB//paaZ//fruK//ldtC//cyoE//cynS//malZ//ubiG//lysA//truB//ydcS//ubiC//idnD//gdhA//entB//slt//lhgO//ftnA//
PrpR_neg	
PrpR_pos	xdhC//citD//gcd//dkgB//
PspF_neg	
PspF_pos	galT//
PurR_neg	ttdB//hycF//rnpB//ulaG//gor//nanE//gcl//ribA//nanM//fbaA//umuC//ldtD//trmA//hyaC//ftsI//fucU//phnI//fau//glpD//metF//aceB//glmU//sdaA//alkB//ilvH//upp//
PutA_neg	pheS//trmD//
PuuR_neg	purK//allE//prpC//recF//puuE//melA//
QseB_neg	
QseB_pos	
RbsR_neg	rutD//ogt//astE//rutE//dgcC//
RbsR_pos	hflX//
RcdA_neg	
RcdA_pos	nfsB//
RclR_pos	
RcnR_neg	caiC//
RcsAB_neg	glmU//
RcsAB_pos	paaC//pdeL//
RcsB-BglJ_pos	bioA//nagA//
RcsB_neg	pgi//
RcsB_pos	wrbA//metA//ilvD//
RelB-RelE_neg	xapA//
RelB_neg	idnO//
RhaR_pos	
RhaS_pos	preA//caiD//hemL//pdeL//
Rob_neg	
Rob_pos	gcvP//serC//ulaF//citG//leuD//tam//metL//frdD//rutB//lpxA//galM//garK//accA//lysC//tdcB//murC//sucC//srkA//purB//
RstA_neg	araD//relA//
RstA_pos	fabG//
RtcR_pos	citX//tdh//
RutR_neg	lpxC//citE//grxA//bioB//zwf//deoD//nrdA//relA//hcaB//hemH//
RutR_pos	pyrC//
SdiA_neg	
SdiA_pos	
SgrR_neg	astD//
SgrR_pos	hyaC//gabT//
SlyA_neg	
SlyA_pos	chbF//rtcB//arsC//purB//ychF//lsrK//ruvB//glcE//glnA//
SoxR_neg	
SoxR_pos	acnA//
SoxS_neg	
SoxS_pos	glpX//asnB//hemF//garD//rffM//uxuA//talA//purK//glk//lsrG//uxuB//gabD//ychF//galE//cysN//manA//fucI//katE//gltX//treC//gapA//lysC//hyi//gudD//sbcC//metC//
SrlR_neg	phnL//hycC//mtlD//
StpA_neg	entB//glmS//nrdD//
SutR_neg	waaY//adiA//
SutR_pos	
TdcA_pos	frdA//astB//queA//fucA//lacA//
TdcR_pos	astA//recD//feaB//galK//sdhA//
TorR_neg	ssuE//
TorR_pos	fabD//aroH//kbaZ//lysC//
TreR_neg	ilvE//mazG//
TrpR_neg	pyrC//serA//galK//lpd//upp//trmD//polA//phnO//rhaD//
TtdR_pos	ilvB//prpE//
TyrR_neg	allC//gnd//acnB//atoA//fumA//galE//puuE//
TyrR_pos	mhpF//metK//rbsK//
UhpA_pos	citE//
UidR_neg	argE//moaA//
UlaR_neg	phnM//ogt//dusB//speA//speA//
UvrY_pos	galM//prs//
UxuR_neg	nanA//prpE//glcE//ftnA//ubiX//
XapR_pos	arsC//wecB//
XylR_neg	
XylR_pos	fadM//paaA//paaI//
YdeO_neg	
YdeO_pos	bioC//gudD//trpA//
YefM-YoeB_neg	moaA//
YefM_neg	oxc//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	ynfG//glpK//phnI//ppc//ynfF//galE//
YjjQ_neg	metF//ppsA//
YpdB_pos	
YqhC_pos	fabG//lpxD//
YqjI_neg	frdB//
ZntR_pos	galE//
ZraR_pos	
Zur_neg	citG//
