# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	polB//glgP//
CRP_pos	mltF//metA//dgkA//purA//gcl//gcvP//yfdE//kbl//mraY//cheR//adeD//fumC//citF//torA//fes//nrfA//dadX//nadC//pncB//pdeH//luxS//metL//idnD//cueO//aspC//folA//ahpC//rffG//eno//cysD//mhpE//alkA//phnG//rffH//pspE//ada//hemF//carA//aldB//purM//apaH//gntK//allC//paaJ//adhE//paaH//argB//glmS//lsrG//moaE//katG//patA//rutD//ubiG//mazG//fadJ//argE//umuC//metL//bcsB//asnA//waaZ//adhE//mhpE//aroF//dgkA//prs//ubiA//uxaA//rsmH//metE//ssuE//ilvH//frdB//trpE//fabH//hcaF//gadA//feaB//ynfH//xdhB//paaY//cysK//gatZ//ribA//idnD//mazG//ulaE//leuB//nrdF//hemH//tynA//pgaC//gntK//trpB//patZ//nadC//glpB//puuA//ychF//ansB//adhE//sucD//ilvB//pgpC//atoB//astD//entE//phoA//gloA//fucU//ycjG//astD//speB//aldA//waaZ//gcd//argG//edd//gcl//acnA//glnA//pdeL//gudD//kbl//citX//ulaG//purE//rffM//citX//speA//chiA//serC//deoB//cueO//purH//ynfE//hchA//gpmA//purD//uidA//paaG//nrfD//bioB//recF//rhaA//ynfE//ydcS//leuA//pdeL//hycD//glxR//puuE//xdhA//arsC//argB//ftnA//phnL//codA//rbsK//putA//melA//gabT//argH//gpmA//glxR//dhaL//fabH//ahpC//galM//malP//slt//slt//pyrD//purM//torA//gcvP//purK//glgC//hemA//adeD//argI//idnK//galE//caiA//speA//glcE//srkA//metK//garK//nrdA//rbsK//ilvE//ppc//rffC//ansB//rnpB//alkB//katE//rbsK//dgkA//hyi//pdeR//ackA//fau//pgm//melA//uxuB//nadA//speC//xdhC//sgbU//aroA//trpB//lhgO//torA//srkA//sgbU//tadA//pgi//xylA//ilvA//preT//nirD//aceA//amn//glpC//cysG//ruvB//nagA//gabD//citD//metL//gatZ//rbsK//prpB//cysE//carA//kbaZ//fadI//citD//gadA//argG//wzb//sodA//ssuE//leuC//cheR//cpdB//
CadC_pos	pspE//folA//sdhD//
CaiF_pos	entC//dadX//epd//lhgO//tadA//
Cbl_pos	adeD//nrdE//ravA//malY//guaB//
CdaR_pos	fucI//rtcB//pnp//gcl//cysD//frdB//cueO//cyaA//citF//
CecR_neg	torA//
ChbR_neg	fucO//ada//sucA//
ChbR_pos	rhaD//bioD//xylB//
ComR_neg	
CpxR_neg	hyaC//hcaF//nrdD//
CpxR_pos	aroG//ampC//glpK//mhpF//astD//sdaA//idnO//speC//mltF//psd//malZ//trpD//trmA//uxuB//ychF//sucA//lhgO//glxK//
Cra_neg	pfkA//dmsA//entA//dacC//fadH//dapD//citC//dgkA//hcaC//prpD//hpt//bioD//ycjG//uvrC//moaE//feaB//glpA//trmD//purH//bcsB//puuB//acnA//dgkA//ftsI//glgA//talA//lysA//aroH//fucA//mhpF//metH//guaA//umuD//idnD//hflX//moaA//trmA//mpl//fau//entE//gpmM//astE//fabI//sucA//purH//
Cra_pos	purC//gltD//sucD//glnA//nrfD//paaY//sdhA//luxS//tdcB//purL//ftnA//entB//fbaA//glgA//pheS//fabA//fadI//
CreB_neg	nirD//
CreB_pos	caiA//
CsgD_neg	pyrC//gudD//
CsgD_pos	hcaE//malY//rimK//
CsiR_neg	hcaD//phnG//sgbE//atoB//
CspA_pos	cysC//
CueR_neg	entA//mdh//ascB//
CueR_pos	paaF//gabD//
CusR_pos	garL//glmU//waaY//umuD//
CynR_neg	
CynR_pos	fau//fadB//ampD//
CysB_neg	puuA//ybjG//sucB//
CysB_pos	hflX//preT//paaE//sdhD//lldD//fucU//mhpF//tdh//astC//ilvI//citX//ynfG//ssuD//treC//
CytR_neg	dadA//ruvA//entA//citX//idnO//mhpE//tam//mdh//accA//cysD//
DcuR_pos	iscS//fbaA//tyrA//trpA//
DeoR_neg	uxaA//ruvB//polA//kbl//torA//puuE//
DhaR_neg	
DhaR_pos	paaZ//
DicA_neg	
DinJ-YafQ_neg	ldtB//
DnaA_neg	waaH//nrdE//aceF//fes//pnp//
DnaA_pos	yqjH//frdD//rhaD//
DpiA_neg	
DpiA_pos	murC//entE//dkgA//trpE//citF//
DsdC_neg	
DsdC_pos	gntK//yeaE//
EbgR_neg	
EnvR_neg	lpxD//sbcC//
EnvY_pos	rffM//sgbH//
EvgA_pos	uxaA//wecB//lyxK//araD//gltA//ackA//
ExuR_neg	dsdA//malZ//dadA//ssuD//napB//argA//
FNR_neg	alkA//glgP//cdd//ribA//fucK//hemF//pyrD//alaS//amiA//paaA//moaD//cysG//wzc//wecC//paaJ//glgX//phoA//gdhA//pgpC//napH//ilvA//entD//hemF//purK//ldtB//glsA//pgpC//ansB//murG//dkgB//yedX//glnA//fucK//arsC//ilvA//nrdF//rffT//ilvM//lacZ//caiB//sucD//paaH//glpK//bioC//
FNR_pos	trpB//hmp//preT//torC//sucA//purK//truB//sgbH//cysI//guaB//hcaC//deoB//sgbE//thrS//mhpF//aspC//aroA//fbaB//ynfE//nadA//cpdB//ahpC//gcl//ulaE//glpQ//nrdF//recF//alaA//rsmA//fadM//cmoM//nadC//araB//galK//cmoM//tyrA//yqhD//sbcC//mhpC//fadB//aspA//ravA//sodA//ldtC//kbl//ybjG//melA//hcaE//entE//astB//ssuE//gatZ//cynS//ulaE//malS//hycF//glxR//aceB//fabA//edd//purF//nagB//argA//slt//carA//nanK//sodB//gpmA//mtlD//prmC//waaZ//pgm//hemA//gatD//ssuD//glxR//murE//pheT//mhpC//pgaB//purD//cysD//malS//agp//cysE//putA//hcaF//hflX//sbcC//mhpC//argE//nirB//pck//nrfA//lysC//ruvA//
FabR_neg	fbaB//gcvH//mhpE//
FadR_neg	hcaF//gudD//idnK//glcE//rsmH//thrS//metE//glcE//pgm//
FadR_pos	citF//ruvA//ftnA//argE//dmsB//melA//glxK//mraY//fruK//folE//
FeaR_pos	speA//gutQ//
FhlA_pos	trpB//citX//accD//paaI//serC//caiA//ubiC//acnB//
Fis_neg	hycC//galT//waaH//fabZ//frdB//fadH//bioD//prpC//uvrB//gudD//nrdA//dhaK//aldB//uvrA//katE//fadH//hypB//napG//puuA//dadX//fabB//ccp//dgcN//torA//phnH//glpK//ppc//mraY//aceA//luxS//recF//frdA//atoD//wrbA//hemA//uidA//glxK//lysU//ydcS//amn//ttdB//glpK//hycE//purD//xylB//pdxA//
Fis_pos	pgm//ampD//carB//phnH//xdhA//leuC//ppsA//hyaA//trpC//moaA//phr//avtA//mraY//aceE//frc//uxuB//fabD//hmp//rimK//gltA//nfsA//paaC//glyA//caiB//allE//astC//dadX//nanM//fucI//hycG//trpD//deoC//ulaE//gntK//prpB//leuB//grxA//
FlhDC_neg	ycjG//allD//
FlhDC_pos	argG//frdB//moaE//ybjG//puuD//nrdA//gpmM//speC//garK//accD//edd//treC//
FliZ_neg	umuD//cyaA//fumB//moeA//ubiX//
FucR_pos	phnG//puuC//murG//sdhB//glpK//ppc//
Fur_neg	glpC//rutE//sbcD//ahpF//tauD//ilvC//alaS//puuD//ilvE//fbaB//araD//alaA//fumA//acnB//rtcB//polB//fadJ//idnO//garL//xylB//paaC//paaY//lhgO//entD//bioF//lysU//caiC//malZ//pgaC//purD//bglB//glgC//cyoE//cysN//mhpB//hemA//argD//speB//wecB//citG//gatD//acnA//idnK//sucA//ynfF//nrdD//ulaG//lsrK//speC//yfdE//glmU//murG//cheB//
Fur_pos	umuC//pgaD//hcaE//hcaD//ilvD//aceE//rimK//zwf//add//zwf//cysN//frc//thrS//hycC//pck//caiB//
GadE-RcsB_pos	wecE//idnO//glcF//gadB//dmsB//
GadE_pos	paaZ//trpD//glxR//ldtC//galM//citE//glpK//frdA//glgB//alaA//
GadW_neg	pck//tpiA//glyA//
GadW_pos	bioD//ung//pdxA//entH//
GadX_neg	ychF//pepD//
GadX_pos	tadA//purM//cyaA//bioB//pspE//bioD//purA//leuB//napH//mltF//umpH//
GalR_neg	yedX//ynfE//narI//chiA//astA//malS//
GalR_pos	lyxK//uvrB//moaA//gadA//
GalS_neg	fadD//lyxK//phnJ//acs//nirD//cysM//
GalS_pos	psd//adhE//putA//gltB//
GatR_neg	upp//pgaB//hemF//
GcvA_neg	hcaB//ahpC//ndh//
GcvA_pos	alkB//pyrD//tynA//
GlcC_neg	
GlcC_pos	yqhD//lysU//ldtB//
GlpR_neg	hycF//hycE//phnJ//asnB//yiaK//tdh//fabD//
GlrR_pos	
GntR_neg	rffT//cyoE//mngB//adeD//cpdB//wrbA//rffT//mhpD//chbF//
GutM_pos	adeD//glgC//lhgO//
H-NS_neg	hemF//malQ//nagB//sgbE//hmp//fucU//wzc//mhpE//udp//asnA//cysN//nemA//ulaG//phr//lysU//carB//wecE//hyaA//betA//fumB//garL//fabA//oxc//glpA//yfdE//acnB//uxuA//asnB//purK//dapB//dgcZ//fadE//ycjG//mhpA//gpmA//ycjG//hcaE//nanA//alaC//patZ//tynA//allE//citC//gatY//tehB//ddlB//gcvP//galT//citG//trpC//purC//
H-NS_pos	glgB//astA//hemF//trpB//uvrB//ahpF//ahpC//phoA//speC//ilvH//arsC//ulaG//allA//paaF//ydcS//
HU_neg	melA//yqhD//aceF//amiA//gcd//pfkA//rffG//
HU_pos	
HcaR_neg	
HcaR_pos	galK//icd//
HdfR_neg	
HdfR_pos	
HigA_neg	entA//
HigB-HigA_neg	dgcC//
HipAB_neg	bioB//asnB//
HipB_neg	lhgO//mngB//ilvD//
HprR_neg	hycC//nrdF//
HprR_pos	xdhC//waaY//
HyfR_pos	lysA//
HypT_neg	rffM//argI//
HypT_pos	cyaA//purM//alaS//betA//gcd//
IHF_neg	dsdA//purC//lsrG//idnD//ldtD//tnaA//leuA//waaH//paaF//garD//hmp//allD//icd//hyaC//cyoE//ttdB//glcB//guaB//murD//hycD//paaJ//allC//trmD//trpA//waaH//citX//trpD//hyaA//fucO//queA//hycB//hcp//bglB//bcsZ//srkA//ilvE//murQ//tehB//prpC//uxaB//cmoM//cpdB//xylB//
IHF_pos	argH//waaZ//torC//paaC//fruK//argC//hyaA//hcaD//rutD//cysH//tdh//guaB//gudD//fucK//gatZ//asnB//citC//relA//trpC//tdcB//argI//gltB//paaC//cysM//mhpC//pgaC//hyaC//dacC//fumA//gatY//atoB//trpC//nrdE//ftnA//lysU//folA//ynfG//ilvC//gpmA//entF//ppsA//nirD//trpD//ilvI//eda//waaZ//mhpD//pyrD//rutE//nadC//fadA//carB//allB//entA//hypB//mhpF//glcB//cynT//paaK//recD//yqhD//lpxC//nrfA//dgcZ//talA//narI//gltB//glgB//apaH//hpt//katG//
IclR_neg	ilvD//dapB//dhaL//
IdnR_neg	bioF//hyaC//
IdnR_pos	rutD//sodB//ulaE//glxK//
IlvY_neg	
IlvY_pos	dmsB//
IscR_neg	prs//ynfE//ackA//lsrK//rffC//fabB//
IscR_pos	lysA//fadH//
KdgR_neg	dhaK//malY//
KdpE_pos	ynfG//
LacI_neg	pfkA//mdh//ilvH//
LeuO_neg	
LeuO_pos	waaH//gutQ//galM//prs//pdeH//fadA//
LexA_neg	deoB//cheR//phnL//umuC//purK//alaS//aceF//nirD//ftnA//puuC//fucA//hcaB//atoB//nirB//paaZ//sucC//dgcN//tynA//hycC//moaA//trpB//pdxA//waaY//
LldR_neg	mhpB//murE//
LldR_pos	hycD//fucO//
LrhA_neg	
LrhA_pos	
Lrp_neg	pgk//aroL//aceA//caiB//pncB//glgC//fabA//yqhD//hemA//gloA//kbaY//cdd//nanM//add//xylB//garR//hycE//hmp//hcaC//nagB//ahpC//pgpC//uxaB//
Lrp_pos	pgaC//fau//pheS//paaK//gabT//fabB//garR//gabD//fadD//argG//yqhD//caiA//cysJ//purF//ilvN//nrfC//chbF//wzc//mdh//ilvM//
LsrR_neg	phnM//glpQ//rutC//gcd//fucO//
LysR_neg	
LysR_pos	galM//
MalI_neg	hypF//purE//
MalT_pos	speC//carA//aspA//codA//gatY//glgC//
MarA_neg	speB//
MarA_pos	tauD//pgi//pnp//yqjH//murE//fabH//ldtD//gnd//fabH//glpK//astC//aspA//ampD//prpC//relA//allC//hmp//bioC//gcl//hyaA//wzb//uxaC//ppsA//
MarR_neg	
MatA_neg	glgB//
MatA_pos	
MazE-MazF_neg	argC//
MazE_neg	prpD//
McbR_neg	
McbR_pos	
MelR_neg	xylB//sucC//
MelR_pos	icd//pgaC//
MetJ_neg	amiA//araA//ldtB//frdD//fabH//rbsK//pgaC//dgcZ//trmD//citF//
MetR_neg	ung//
MetR_pos	speC//waaY//phoA//purF//
MhpR_pos	cysD//leuD//tyrB//paaB//ilvI//glgC//
Mlc_neg	fucA//ada//trpA//mtlD//
MlrA_pos	pdeH//
MngR_neg	ilvH//cysH//
MntR_neg	lpxC//
MntR_pos	tehB//
ModE_neg	gabT//entA//pgaB//guaB//codA//guaA//ulaG//ilvM//
ModE_pos	cysJ//yfdE//mhpF//purA//dapB//citE//ftsI//argF//yeaE//
MprA_neg	murC//frc//glgP//
MqsA_neg	rtcB//ung//
MraZ_neg	gltA//wecE//nagA//preT//allE//recB//cadA//pgaC//hycF//dmsC//
MurR_neg	glgP//ilvE//edd//
MurR_pos	
Nac_neg	prs//sodA//tyrA//
Nac_pos	ynfF//hchA//glpA//fau//trpE//trpA//truB//nagB//
NadR_neg	citC//fbaB//cadA//torA//
NagC_neg	idnO//pheT//xylA//aceB//ybjG//argA//cheB//wecB//caiB//galT//metB//ilvA//ilvH//citX//adeD//deoD//ccp//idnO//
NagC_pos	tadA//fumB//
NanR_neg	pyrC//aspA//tyrA//murD//speB//araA//
NanR_pos	
NarL_neg	cynT//ribA//frdD//trmA//uvrA//hcp//codA//glsA//trpD//ulaG//udp//nadC//nfsB//ahpF//ldtD//ynfH//asnA//speA//purE//gadA//recB//eno//hcaF//citD//xdhC//lysU//rutD//ttdA//
NarL_pos	ynfH//sgbU//glgA//asnB//agp//atoA//tehB//ycjG//glgP//ddlB//metB//ulaD//ldtC//glxK//serA//
NarP_neg	sgbE//sbcC//hflX//sodB//entC//
NarP_pos	tdcE//aspA//phr//gcd//waaZ//tehB//rffC//phoA//glgA//glxR//idnK//leuD//gloA//pdeH//
NemR_neg	entA//metH//
NhaR_pos	sodB//gutQ//araA//moaA//sdaA//
NikR_neg	astD//
NimR_neg	acnA//
NorR_neg	
NorR_pos	aroF//
NrdR_neg	hemA//udp//moeA//treC//
NsrR_neg	appA//rhaD//mhpB//hypF//gapA//allD//narI//entD//hyaA//serC//fadD//truB//sgbH//garL//idnD//gcvH//recF//napG//alaA//trpA//atoD//sodA//purB//gabD//nanE//purM//uvrB//dkgA//edd//glnA//tktB//sbcD//astD//chiA//rutA//argC//lsrF//yedX//pgaC//ftnA//
NtrC_neg	mazG//rutC//
NtrC_pos	frc//nrdA//accC//glcD//ubiA//dmsA//allC//tauD//atoD//talA//ldtB//hycB//phnM//glyA//sucC//adeD//tdcG//pnp//rimK//prpD//putA//
OmpR_neg	pgk//sdhA//pheS//citX//puuA//
OmpR_pos	pdeF//cysH//hycB//glmS//
OxyR_neg	metA//preA//sucD//mngB//trpD//
OxyR_pos	malP//ttdB//paaE//puuB//amn//nadA//adhE//gpmA//relA//entH//tdcG//fadM//
PaaX_neg	sbcC//rtcB//mhpA//bioF//chbG//speB//gcvP//dkgB//moaA//
PdeL_pos	murC//
PdhR_neg	allA//tadA//dmsC//ampC//bcsZ//deoB//nagB//deoA//nrdF//dsdA//pagP//betA//rhaD//carB//alkB//sufS//murQ//gdhA//glgX//metH//ruvB//gutQ//allA//
PdhR_pos	phnP//fbaA//
PepA_neg	luxS//lysU//
PgrR_neg	hycC//pheT//
PhoB_neg	gcvP//tdcE//ttdA//entD//dacC//
PhoB_pos	rbsK//astD//thrS//phoA//glxR//cdd//fadA//malY//rutE//galM//puuA//deoA//rutD//acnA//aroL//frc//bacA//
PhoP_neg	aceB//araB//metC//
PhoP_pos	tdh//gltD//pck//rffH//rffM//dgcN//glnA//treC//hcaD//hemL//bcsB//ilvN//malZ//recF//ung//hflX//argG//ahpF//aspA//metC//melA//murQ//glmS//gpsA//malQ//epd//feaB//mnmG//paaF//pgaB//uvrB//
PrpR_neg	
PrpR_pos	caiB//glgA//pepD//glpD//
PspF_neg	
PspF_pos	allD//
PurR_neg	lldD//glcF//paaY//rffG//ansB//prpE//accA//alaA//adhE//cysE//adhE//gor//waaZ//waaH//hycC//idnO//umuC//glmS//arsC//mazG//ilvB//uxuB//hemH//aspA//speB//rffM//
PutA_neg	trpC//katE//
PuuR_neg	purN//ulaF//mpaA//bacA//dapD//rnpB//
QseB_neg	
QseB_pos	
RbsR_neg	dmsB//mpl//lsrK//entA//nanA//
RbsR_pos	ilvB//
RcdA_neg	
RcdA_pos	fabZ//
RclR_pos	
RcnR_neg	umuC//
RcsAB_neg	allB//
RcsAB_pos	rutC//entH//
RcsB-BglJ_pos	rfe//sucC//
RcsB_neg	appA//
RcsB_pos	phnM//arsC//gadB//
RelB-RelE_neg	yeaG//
RelB_neg	cysN//
RhaR_pos	
RhaS_pos	cysI//nrfA//rimK//cynS//
Rob_neg	
Rob_pos	ynfG//kbaY//ycjG//paaK//lyxK//narH//cysH//paaH//metB//garR//mhpD//yeaE//entC//bioF//astD//rutC//mhpE//serC//deoC//
RstA_neg	luxS//moaA//
RstA_pos	fabD//
RtcR_pos	wecC//hypB//
RutR_neg	alaA//nrdF//pflB//ribA//idnK//paaA//gatD//purH//zwf//nanM//
RutR_pos	hycD//
SdiA_neg	
SdiA_pos	
SgrR_neg	astA//
SgrR_pos	galT//metL//
SlyA_neg	
SlyA_pos	aldB//add//guaA//idnO//treC//pflB//aroL//rhaB//trpE//
SoxR_neg	
SoxR_pos	cysH//
SoxS_neg	
SoxS_pos	atoD//araA//napA//hflX//ynfH//hycF//preT//gnd//purL//fadD//fabB//ung//dgcN//puuB//hcaC//xylB//prpE//aspA//serC//pheT//astC//serA//glmU//purF//murG//cysE//
SrlR_neg	fbaB//glcF//mngB//
StpA_neg	purM//recD//entB//
SutR_neg	cueO//frc//
SutR_pos	
TdcA_pos	paaE//paaY//fadM//ulaG//lsrF//
TdcR_pos	xapA//folA//gatZ//puuD//lsrF//
TorR_neg	nrdB//
TorR_pos	idnD//gor//adiA//bioD//
TreR_neg	araA//fes//
TrpR_neg	murE//nirD//lsrK//gltD//caiD//paaG//sodB//napA//sdhA//
TtdR_pos	glpE//allA//
TyrR_neg	napB//hyi//glpB//carA//fadJ//dmsA//xylA//
TyrR_pos	allE//metA//hflX//
UhpA_pos	phnG//
UidR_neg	cheB//rffG//
UlaR_neg	sucA//gatD//katE//ampD//prmC//
UvrY_pos	nagA//accD//
UxuR_neg	cysD//ycjG//lldD//bacA//metE//
XapR_pos	polA//mhpE//
XylR_neg	
XylR_pos	bioD//nirD//puuA//
YdeO_neg	
YdeO_pos	mhpA//mhpA//hemL//
YefM-YoeB_neg	glpX//
YefM_neg	ilvE//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	dinB//cyaA//hycD//gabD//betA//ppiA//
YjjQ_neg	trpE//glgP//
YpdB_pos	
YqhC_pos	ssuD//pepD//
YqjI_neg	gcvT//
ZntR_pos	citD//
ZraR_pos	
Zur_neg	preA//
