# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	leuB//tadA//
NanR_neg	dapB//mpl//nirD//glgC//folE//gltA//
NanR_pos	
NarL_neg	pdxA//nrfC//gutQ//mhpF//glxR//polB//glpE//alsE//allA//alaC//dgkA//alkB//atoD//fruK//dkgA//glpE//pfkA//mhpB//amn//glpK//hypF//rbsK//cmoM//ldtB//ychF//ackA//lhgO//gltX//
NarL_pos	hypB//asnB//tehB//thrS//grxA//mtlD//ybjG//metH//nanK//nagA//dhaL//uxaC//trpA//sodA//grxA//
NarP_neg	dkgB//metL//rsmA//ccp//idnK//
NarP_pos	tpiA//yedX//moeA//lsrG//mngB//rutD//ynfG//phnM//sgbU//carB//trpE//puuE//cyaA//wecB//
NemR_neg	ulaF//pdxA//
NhaR_pos	argD//ilvA//sucC//gatZ//nrdB//
NikR_neg	narG//
NimR_neg	nrdE//
NorR_neg	
NorR_pos	napG//
NrdR_neg	gutQ//sufS//phoA//ppsA//
NsrR_neg	moeA//hypF//ascB//paaA//rimK//srkA//fadH//adhE//caiD//ppsA//cysC//amiA//frc//xapA//entH//astB//grxA//astC//phnJ//lysA//fes//entD//mngB//prpC//bioA//glcE//moaE//adiA//tauD//hycB//rbsK//gntK//allA//entC//fabB//sucC//bioF//waaH//wzc//garD//
NtrC_neg	caiD//caiC//
NtrC_pos	pgaD//gltX//fabB//agp//nanK//glpD//murE//gadA//hyaB//mdh//gudD//fau//atoD//ldtB//relA//araA//argC//gabD//rhaA//araD//metH//
OmpR_neg	mhpE//ahpF//dgkA//dadX//napG//
OmpR_pos	entH//rhaD//astB//lysA//
OxyR_neg	speC//gadA//metK//gatZ//hmp//
OxyR_pos	araB//glpQ//sucB//zwf//ynfH//rutD//sgbU//frdD//moeA//carA//grxA//leuC//
PaaX_neg	cpdB//sucB//gltA//mhpB//xdhB//ilvE//hpt//agp//glcB//
PdeL_pos	pgaC//
PdhR_neg	upp//glgA//garL//lsrK//srlD//metK//tdcD//lacA//paaJ//pheS//lysA//dhaM//phnJ//hcaF//umpH//moaE//galM//purB//glyA//ahpC//citG//phnG//garK//
PdhR_pos	hcp//appA//
PepA_neg	paaI//araD//
PgrR_neg	ribA//yedX//
PhoB_neg	metC//atoB//ftnA//wzc//trmD//
PhoB_pos	sucC//gatZ//trmD//glcE//dkgB//phnP//metA//leuC//ilvN//ycjG//acnA//nagB//dacC//katG//ung//argG//trpC//
PhoP_neg	murI//apaH//sdhB//
PhoP_pos	astC//rtcB//fabZ//glpX//trpC//argA//tadA//serC//sdhB//nrfD//ulaF//ampC//sucB//gatY//mhpE//fumC//sucD//accD//eda//caiD//tam//aspC//aspA//argI//argG//kbl//umuC//caiB//katE//xdhC//katG//
PrpR_neg	
PrpR_pos	epd//tyrA//ilvM//pepD//
PspF_neg	
PspF_pos	guaB//
PurR_neg	lldD//ansB//hypB//citG//alkA//bioC//aspC//queA//purB//cysK//cadA//bioD//epd//ulaG//uxaC//astB//glgC//frdA//gudD//betB//bioA//xdhC//hcp//accC//glxR//fumA//
PutA_neg	dhaL//ruvB//
PuuR_neg	glpX//rtcA//tyrB//pheT//aceB//sufS//
QseB_neg	
QseB_pos	
RbsR_neg	ahpC//sucB//dkgA//uvrB//entF//
RbsR_pos	leuA//
RcdA_neg	
RcdA_pos	malQ//
RclR_pos	
RcnR_neg	argA//
RcsAB_neg	waaY//
RcsAB_pos	purB//rffT//
RcsB-BglJ_pos	fumA//adiA//
RcsB_neg	nfsA//
RcsB_pos	polB//prpD//glpK//
RelB-RelE_neg	purN//
RelB_neg	cysI//
RhaR_pos	
RhaS_pos	glk//accC//mpl//fes//
Rob_neg	
Rob_pos	nfsA//iscS//ascB//dhaL//purA//ttdA//carB//glcF//glpC//astE//fabA//hycB//kbaY//sucD//malP//mnmG//purH//puuA//purM//
RstA_neg	ygeA//gutQ//
RstA_pos	lyxK//
RtcR_pos	uvrC//yeaE//
RutR_neg	gnd//lysC//ruvB//lysA//ssuD//ndh//caiD//nirD//ampC//glxK//
RutR_pos	yeaG//
SdiA_neg	
SdiA_pos	
SgrR_neg	argH//
SgrR_pos	paaY//aceB//
SlyA_neg	
SlyA_pos	amiA//dgcC//gcvT//torC//entB//acs//lysU//dmsB//hcp//
SoxR_neg	
SoxR_pos	sdaA//
SoxS_neg	
SoxS_pos	tdcG//ulaF//nadB//wzb//phnJ//treC//cyaA//hpt//rffC//gor//cadA//lhgO//hcaF//astB//trpC//mazG//dadA//astD//astE//ampC//gpmA//recD//ribA//glmU//rbsD//fabH//
SrlR_neg	metC//gpmA//entH//
StpA_neg	kbl//metH//rutB//
SutR_neg	gdhA//purA//
SutR_pos	
TdcA_pos	glcD//carA//alaS//ppc//preA//
TdcR_pos	serC//yeaG//nrdB//cadA//hyaB//
TorR_neg	appA//
TorR_pos	ampC//patA//acnA//cysJ//
TreR_neg	gapA//trpC//
TrpR_neg	frc//cysH//malQ//argF//lpxC//murC//appA//paaC//deoD//
TtdR_pos	garD//garR//
TyrR_neg	nanA//araA//ahpC//puuB//phnH//glpK//pheS//
TyrR_pos	manA//fdhF//leuD//
UhpA_pos	citF//
UidR_neg	citE//dapB//
UlaR_neg	rbsK//ynfE//metC//sgbH//asnA//
UvrY_pos	ppiA//mazG//
UxuR_neg	hycE//entD//hpt//dkgB//bglB//
XapR_pos	paaA//murF//
XylR_neg	
XylR_pos	patA//murE//deoB//
YdeO_neg	
YdeO_pos	sucA//rutD//puuC//
YefM-YoeB_neg	pncB//
YefM_neg	oxc//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	bioF//cysH//tpiA//dsdA//tauD//dhaL//
YjjQ_neg	ssuD//gpmM//
YpdB_pos	
YqhC_pos	dhaK//tnaA//
YqjI_neg	cueO//
ZntR_pos	gpsA//
ZraR_pos	
Zur_neg	fabH//
