# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	glgP//nadB//
RcdA_pos	galE//
RclR_pos	
RcnR_neg	mpl//
RcsAB_neg	mpl//
RcsAB_pos	hypB//asnB//
RcsB-BglJ_pos	gapA//gcd//
RcsB_neg	hchA//
RcsB_pos	aroG//bioD//pdeF//
RelB-RelE_neg	pgpC//
RelB_neg	purL//
RhaR_pos	
RhaS_pos	fadH//ogt//phnL//hemL//
Rob_neg	
Rob_pos	gdhA//ppsA//araA//pdxA//bcsZ//hyaC//gltX//glpK//metE//ychF//rhaB//nirB//sbcC//fabZ//ahpF//rsmH//hcaF//astC//dgcZ//
RstA_neg	sucB//argA//
RstA_pos	dadA//
RtcR_pos	glpQ//uvrA//
RutR_neg	ilvE//fabD//leuC//pck//gapA//betA//lsrF//ttdA//fadJ//fumA//
RutR_pos	caiA//
SdiA_neg	
SdiA_pos	
SgrR_neg	fadH//
SgrR_pos	adhE//glpX//
SlyA_neg	
SlyA_pos	gpsA//phnL//pncB//aroH//cysI//argB//ubiX//phnL//aceA//
SoxR_neg	
SoxR_pos	aroL//
SoxS_neg	
SoxS_pos	cyaA//cadA//pepD//glxK//amiA//acs//hycE//hycF//sucD//glcD//cysC//bacA//uxuB//xylB//nirD//aroF//nrfD//lldD//yqhD//dgcZ//mhpF//cysI//ilvD//waaZ//atoB//mazG//
SrlR_neg	glpB//fabZ//accC//
StpA_neg	glpB//dgcC//tyrA//
SutR_neg	tdcG//gcvP//
SutR_pos	
TdcA_pos	dapB//glpC//lacA//purF//hemA//
TdcR_pos	purC//phnJ//frdA//napG//kbaY//
TorR_neg	ugpQ//
TorR_pos	pdeL//ackA//hemA//dhaM//
TreR_neg	hycG//hchA//
TrpR_neg	napA//fabA//glpC//fadD//trpD//luxS//sdhA//mltF//galE//
TtdR_pos	glyA//trmA//
TyrR_neg	hemF//rbsD//nrdA//rnpB//trmA//fucU//polA//
TyrR_pos	moeB//alkA//fucK//
UhpA_pos	rhaB//
UidR_neg	amn//gatY//
UlaR_neg	gabT//yeaG//moaC//epd//glgA//
UvrY_pos	hycG//yiaK//
UxuR_neg	rutC//narH//cysK//nrfC//epd//
XapR_pos	cysH//fes//
XylR_neg	
XylR_pos	patZ//asnB//accC//
YdeO_neg	
YdeO_pos	argD//udp//hflX//
YefM-YoeB_neg	hycF//
YefM_neg	gatD//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	argF//gapA//gor//aspC//gntK//ynfH//
YjjQ_neg	fruK//adhE//
YpdB_pos	
YqhC_pos	hmp//pgpC//
YqjI_neg	patA//
ZntR_pos	leuB//
ZraR_pos	
Zur_neg	sufS//
