# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	rbsD//patD//
BetI_neg	lysC//phnG//fabA//
BirA_neg	hcaE//citD//lyxK//cysK//fadJ//
BluR_neg	
BolA_neg	glpQ//fadA//
BolA_pos	fabH//nrdA//
BtsR_pos	ahpC//
CRP_neg	sgbH//frdD//rsmH//wecC//uxaC//pncB//deoD//phnJ//ubiX//speA//fumB//phnG//aldA//fadE//metF//guaA//astB//moaD//cadA//rhaA//prpB//yqjH//cysM//sbcC//bglB//chbF//prs//astE//hycF//uidA//ttdB//dhaL//ppiA//eno//fucI//nadB//caiA//kbaY//argG//trpA//preT//cysI//deoC//gatY//patA//adhE//pykF//frdD//aroA//gatY//ppc//glpX//wecC//fes//ydcS//dmsC//ampC//nanM//glpB//amiA//ilvD//nanE//pncB//zwf//fabZ//ydcS//gapA//glcF//dhaL//ahpF//pheT//
CRP_pos	gpmM//cdd//ackA//fucA//gntK//katE//phnG//upp//nanM//apaH//ubiA//paaY//poxB//fumB//metB//hemA//folA//argB//luxS//hycC//rutB//ahpF//glsA//moeB//nadA//fucA//eno//rutC//asnA//glcD//dhaM//recF//umuC//hyi//prpE//uxaC//hcaB//lpxA//fadH//sodA//cysE//astD//rfe//puuB//udp//hycG//phnI//hyaB//preA//gcvP//moaA//idnD//cysK//prpB//katG//ydcS//garL//nrdF//rhaB//glpE//ansB//allC//ilvC//araD//citE//frdA//waaH//citC//garL//pheT//tktB//relA//fucA//xylA//cysN//xdhA//putA//ugpQ//glcE//metC//cueO//mhpE//pheT//gdhA//dapD//gabT//hemH//uxaC//hypB//oxc//purK//ynfE//ulaG//wecB//paaF//purL//rbsD//trmD//leuC//prpB//fabH//recD//dapB//pspE//rhaD//rffM//frc//umuD//dadA//hcaE//glmS//polB//citE//phnN//serC//atoB//accA//fes//glgX//ilvD//fadD//frdD//ruvB//ilvA//bioC//fucA//wrbA//tdh//fbaB//waaH//hmp//glgB//dgcC//lysC//bglB//ddlB//ung//paaE//hemL//ilvC//cdd//ybjG//lysU//hycC//amiA//narG//gapA//purH//ppc//nagB//hchA//ynfE//cmoM//nanE//atoB//ynfG//hyi//waaY//ubiC//uxaA//alaA//ynfF//glnA//truB//deoB//rimK//uxaB//astE//ogt//paaY//pgaD//gltA//nrfC//bioA//carB//amn//mpl//mltF//dgcN//acnB//prmC//fadA//caiB//glcD//glnA//dhaL//metB//glcE//murI//trpC//ilvH//nanA//glgC//gdhA//bioF//gloA//rimK//udp//glcD//argB//metH//zwf//trmD//astB//fadJ//purH//pheS//paaZ//chiA//nagA//argH//mhpE//gadA//ilvD//moaE//argH//ldtD//queA//glpB//gpmM//paaH//galM//ampD//purD//ubiA//yiaK//bcsZ//cueO//trpA//mhpC//lpxA//sucA//nrfD//ycjG//moeA//tnaA//argB//fucA//pagP//rhaD//alkB//treC//allA//nfsB//dmsC//astE//malP//treC//fau//
CadC_pos	ilvN//allA//tyrA//
CaiF_pos	add//glk//ynfE//umuD//dgcZ//
Cbl_pos	glpQ//moeB//lyxK//ubiC//fruK//
CdaR_pos	phnP//lacZ//fabD//nrdA//hycF//wecC//pdeL//argH//gpmM//
CecR_neg	cysJ//
ChbR_neg	aroH//argE//cadA//
ChbR_pos	hcaF//hmp//aspC//
ComR_neg	
CpxR_neg	mpaA//carB//cysK//
CpxR_pos	rfe//dadA//murQ//folA//acs//dapB//narI//speC//galM//nemA//citD//ilvN//hchA//ccp//fabI//atoD//queA//lyxK//
Cra_neg	ftnA//chbF//gcvT//lysU//phnH//tdcG//lpd//sbcD//prpE//purL//ygeA//metH//nanK//yeaG//mraY//dapD//entB//torA//murF//alaC//hyi//ydcS//trmD//speA//sdhB//iscS//entA//dkgA//rbsK//bcsZ//glnA//rhaD//atoA//rffH//rffG//pepD//pnp//murF//malQ//glpD//cadA//bioB//hcaB//aceB//moeB//
Cra_pos	fabA//idnO//uxaB//moaC//hycB//mnmG//xylA//hyaC//bioD//hflX//ubiA//caiC//glgP//hcaC//carA//srlD//nagB//
CreB_neg	ssuD//
CreB_pos	deoC//
CsgD_neg	bcsB//fabH//
CsgD_pos	moaA//fumA//dacC//
CsiR_neg	sdhB//fumA//rffT//galE//
CspA_pos	araD//
CueR_neg	pdeH//dmsB//rutE//
CueR_pos	relA//argD//
CusR_pos	cysC//gcvP//cyoE//talA//
CynR_neg	
CynR_pos	araD//rutA//gatZ//
CysB_neg	glyA//phnO//speA//
CysB_pos	uxaC//phnL//ppsA//sgbE//glyA//malZ//gltB//caiA//wzc//puuA//cynT//gltA//fucU//caiD//
CytR_neg	cysI//sdhA//galM//sdhB//purH//nrdB//pfkA//malS//argD//betA//
DcuR_pos	ldtB//oxc//chbF//paaH//
DeoR_neg	ada//phoA//tdcD//pheT//amiA//fucK//
DhaR_neg	
DhaR_pos	ilvA//
DicA_neg	
DinJ-YafQ_neg	gnd//
DnaA_neg	paaH//glxK//pgk//pheS//citC//
DnaA_pos	slt//entE//ampC//
DpiA_neg	
DpiA_pos	frdA//ssuD//poxB//metF//nemA//
DsdC_neg	
DsdC_pos	deoD//adeD//
EbgR_neg	
EnvR_neg	aceB//pyrD//
EnvY_pos	alsE//mhpD//
EvgA_pos	phoA//udp//glpC//xylB//pheS//araB//
ExuR_neg	metL//polB//carA//cysI//rffC//ulaG//
FNR_neg	psd//cheB//ilvB//glgX//fes//leuC//moaD//arsC//gadB//dsdA//caiA//glmU//mhpA//wrbA//ribA//ilvA//queA//ilvH//apaH//nadB//guaB//phoA//cueO//rutE//uvrA//ynfG//speA//cynT//rbsK//ycjG//nirB//nagA//nirD//metL//glpQ//fabI//wrbA//hycG//fumA//pgi//hyaC//pgm//aroF//sbcD//
FNR_pos	accC//moaC//caiC//deoB//mngB//aroL//accC//mhpF//glpQ//nagA//treC//chiA//ilvB//rffH//gadA//caiA//napA//rutC//allA//ttdB//upp//caiC//glxK//puuC//citG//cysI//wecE//amiA//purE//hchA//galM//purA//trpA//cysI//rffH//ssuD//lpxA//ulaD//oxc//pdeL//yeaG//narH//napA//cysD//hcaB//nagA//rfe//moaE//rutA//preT//tpiA//moeB//codA//hycG//phnI//prpB//citD//wecC//glsA//folE//carB//hycG//umuC//hmp//amiA//pyrC//hypF//napB//fadA//murD//nfsA//caiB//nadA//gadB//ssuD//fadH//gcd//tyrA//astB//glcD//ssuE//speB//moaD//paaG//gcvP//relA//metC//mraY//tpiA//hcaE//dhaL//glk//dgkA//bioC//nirD//sbcD//
FabR_neg	sbcD//uxuB//tam//
FadR_neg	phnL//fdhF//gutQ//purE//mazG//uxaC//phnN//gcl//caiA//
FadR_pos	galT//lsrF//citF//lhgO//ssuD//lpd//uvrB//caiA//moaA//gltA//
FeaR_pos	ydcS//narG//
FhlA_pos	sucB//lyxK//dgcN//rffH//nfsA//treC//lysU//ahpF//
Fis_neg	araD//dadA//hchA//puuB//deoD//ada//relA//sdhA//frdA//dsdA//phnH//ilvD//aldA//yqhD//dmsB//gcvT//pgaB//ilvD//glxR//rtcB//yedX//gadB//pheS//yiaK//prpE//pepD//cysN//rutB//eno//cysK//metK//phr//amn//pgi//fucK//speB//gabT//sbcC//slt//nagA//paaA//xdhC//hypB//glcD//fbaA//wecC//
Fis_pos	ribA//fbaA//glxR//lldD//caiB//tam//allA//mazG//narH//ilvH//pheS//glcE//fucA//moaA//citG//moaA//hypB//pfkA//bioC//trpD//bioF//nfsB//glpA//gloA//sodA//ftnA//sgbH//dinB//idnO//mnmG//guaA//glsA//recF//yiaK//fumC//alaS//umpH//
FlhDC_neg	fabG//atoA//
FlhDC_pos	thrS//argC//alaC//manA//uvrA//entB//yiaK//gcvT//deoC//dsdA//pyrD//ilvA//
FliZ_neg	ilvH//leuB//glsA//nfsA//gpmA//
FucR_pos	gpsA//fbaA//tdh//nrdD//fadH//phnP//
Fur_neg	ulaD//deoB//ribA//paaF//mhpD//ravA//hyaC//glmS//ychF//dadX//tauD//paaC//moaD//puuC//cpdB//lpd//bioC//ycjG//frdC//rpiB//nrfA//nemA//ascB//glpX//rutD//ssuD//glnA//asnB//bioB//caiA//lsrF//purB//asnA//ddlB//pgaC//sdhB//edd//gpsA//pgk//araD//yfdE//trpC//dhaK//pdeR//ribA//moeA//ndh//trpA//fucK//malQ//ychF//chbG//puuB//
Fur_pos	fucU//yeaE//nfsB//purH//speA//lsrF//glyA//lpd//caiB//paaA//paaY//cyoE//leuD//ilvN//ydcS//lhgO//
GadE-RcsB_pos	glnA//astD//ldtC//allA//alaC//
GadE_pos	purF//hycG//kbaY//ynfH//ilvC//sucA//frdA//glmS//accA//pepD//
GadW_neg	phnI//metH//fucO//
GadW_pos	xdhA//sdhB//cysJ//pgaC//
GadX_neg	srlD//uxaC//
GadX_pos	napA//upp//entC//arsC//gatY//rffG//argG//fadE//tktB//trmD//glmU//
GalR_neg	cheB//purH//leuB//trmA//cynT//glsA//
GalR_pos	ilvG_1//metH//dkgA//hflX//
GalS_neg	sucD//pdeF//caiB//cadA//phnN//malZ//
GalS_pos	chiA//puuA//allC//amiA//
GatR_neg	hypF//ilvN//folA//
GcvA_neg	fadJ//feaB//bcsB//
GcvA_pos	entB//icd//entB//
GlcC_neg	
GlcC_pos	rhaB//gpsA//ilvI//
GlpR_neg	aroG//rutE//pgk//fadH//thrS//kbaZ//fes//
GlrR_pos	
GntR_neg	araB//agp//glk//wecC//sgbE//hycG//add//rutE//cynS//
GutM_pos	garR//gcvH//nirD//
H-NS_neg	glgP//lhgO//betA//metK//fes//purN//glpQ//lpd//gntK//aceE//napH//rffC//paaK//eno//lpxA//dgkA//ahpC//uxaA//metF//lysC//talA//gltA//atoB//luxS//gdhA//glpD//wecB//cysE//cysJ//ycjG//leuD//sucC//ilvC//aspA//pdeH//wrbA//glmU//nrdD//paaJ//ansB//nanA//rffM//gcd//yiaK//glpA//metB//argD//gpmA//cpdB//prpD//ldtD//
H-NS_pos	epd//glk//glcB//sbcD//caiD//wzb//fumB//ampD//argD//galT//idnD//acnB//fucU//phr//gabT//
HU_neg	ulaG//umpH//araD//icd//rtcB//tpiA//hemH//
HU_pos	
HcaR_neg	
HcaR_pos	caiD//gltD//
HdfR_neg	
HdfR_pos	
HigA_neg	astE//
HigB-HigA_neg	rbsK//
HipAB_neg	malP//phnG//
HipB_neg	pck//glpD//cysI//
HprR_neg	sufS//eno//
HprR_pos	hyaB//fau//
HyfR_pos	appA//
HypT_neg	metB//pfkA//
HypT_pos	idnD//lldD//feaB//purA//mtlD//
IHF_neg	katE//dgcN//frdB//ung//nirB//gltB//phnP//uxuB//hyaA//citE//dhaM//lsrF//sucA//citG//edd//lldD//glmS//phnN//fadB//glcF//waaZ//paaE//mdh//ada//metE//ilvN//slt//hemA//hcp//rhaD//gloA//ilvB//gcvH//fabG//umuD//cysK//hmp//moeA//yiaK//hemF//aceE//chbF//alkB//
IHF_pos	uxuA//gdhA//umuC//mdh//mnmG//glgP//argF//thrS//paaE//alkA//ssuE//deoC//nrfA//glcB//trpA//rffC//tyrA//glpX//katE//gadA//udp//frdD//glxR//asnB//pgaB//adeD//gutQ//hypF//hemH//fabZ//kbaY//entF//idnD//accD//pnp//rffG//aceF//ilvC//nanE//hemF//aroA//yedX//uxuA//rffC//waaY//aldB//ruvB//murE//idnK//aroA//dsdA//caiD//pyrD//ubiA//lysC//metC//thrS//leuD//appA//melA//cyoE//umuD//kbl//chiA//nrfD//malZ//trpC//speA//dsdA//cysH//dkgA//
IclR_neg	moeB//sodB//sucA//
IdnR_neg	xapA//pgaB//
IdnR_pos	pgaD//malP//sucD//pgm//
IlvY_neg	
IlvY_pos	xapA//
IscR_neg	paaY//paaY//alkB//torA//speB//araA//
IscR_pos	lhgO//yedX//
KdgR_neg	atoA//dmsA//
KdpE_pos	citG//
LacI_neg	argD//rsmH//mhpE//
LeuO_neg	
LeuO_pos	nrdD//metC//recB//murG//ilvI//uxaA//
LexA_neg	polA//gabT//paaF//hyi//gatZ//rutB//murC//ruvA//speC//glgA//eda//wzc//dapD//ahpC//yqjH//gabT//caiC//sgbH//mhpC//malZ//appA//acnA//cysM//
LldR_neg	sdhB//fabB//
LldR_pos	purD//caiD//
LrhA_neg	
LrhA_pos	
Lrp_neg	gcvH//trpC//glmS//manA//recB//gcd//hcaF//bioF//lhgO//dapB//nirD//ung//entC//ogt//patA//pykF//mngB//phnN//srlD//dinB//mazG//fabB//lpxA//
Lrp_pos	entH//dapD//entD//hemA//paaF//phnG//grxA//glpA//dadA//citX//recD//sucA//bcsB//yqjH//gltX//allC//deoD//allE//pck//murE//
LsrR_neg	paaK//dadA//glcD//ppiA//leuA//
LysR_neg	
LysR_pos	alkB//
MalI_neg	hcp//sdhD//
MalT_pos	ybjG//fabH//ftsI//nrdF//hyaC//rutD//
MarA_neg	waaY//
MarA_pos	entF//udp//adeD//paaG//trmA//dgcN//xdhA//ttdB//rffC//aroH//allD//argA//paaK//aroA//cyoE//bglB//purD//atoB//edd//gcl//dmsA//sdhC//galT//
MarR_neg	
MatA_neg	uxuB//
MatA_pos	
MazE-MazF_neg	lysC//
MazE_neg	hchA//
McbR_neg	
McbR_pos	
MelR_neg	gatY//citF//
MelR_pos	aspA//accC//
MetJ_neg	wecC//lpxC//lsrF//speA//ilvM//rutE//wrbA//adhE//pdeF//hpt//
MetR_neg	srlD//
MetR_pos	glgX//mazG//cueO//ugpQ//
MhpR_pos	aroG//glpD//nagB//lysA//phnJ//fabZ//
Mlc_neg	chbG//rpiB//rutD//speC//
MlrA_pos	sdhA//
MngR_neg	entC//epd//
MntR_neg	polB//
MntR_pos	caiB//
ModE_neg	hcaF//ynfF//napH//mhpB//argA//tdcB//aceE//alsE//
ModE_pos	ampD//yedX//bioF//pgaB//hcaD//rhaB//hcaD//glpX//pgaD//
MprA_neg	fucK//acnB//aroH//
MqsA_neg	fabD//amn//
MraZ_neg	pnp//cueO//pck//ybjG//entD//ssuE//phnO//mhpB//leuC//treC//
MurR_neg	frc//cysM//ppsA//
MurR_pos	
Nac_neg	murI//mpaA//sgbE//
Nac_pos	citD//patA//argA//dadA//ilvH//psd//cyaA//treC//
NadR_neg	paaA//araB//ynfG//gabT//
NagC_neg	nirB//pgaD//rsmH//aroA//rimK//rutC//moaC//srkA//ulaF//entF//yfdE//argH//astE//tdcB//sbcC//wecC//ftnA//rimK//
NagC_pos	accD//paaK//
NanR_neg	nagA//entA//idnD//garK//bacA//pgm//
NanR_pos	
NarL_neg	wecC//ccp//amn//ssuE//hmp//fabZ//argF//lsrF//umuD//metL//umuC//gltA//murD//folE//uvrA//fadD//gpmM//torC//poxB//dgcN//nrdA//idnK//dhaL//glpQ//dusB//wrbA//argG//recF//
NarL_pos	phnJ//hypF//lldD//prpB//lysU//gadB//recD//fucI//murF//xylA//pheS//glxK//serA//cueO//gabD//
NarP_neg	polA//glpX//pnp//napA//allA//
NarP_pos	trmA//folE//gpmA//katG//gatD//paaH//rffT//trpD//grxA//leuB//ulaG//astE//paaA//allA//
NemR_neg	purK//malY//
NhaR_pos	nrfA//phnH//yeaE//dmsC//polB//
NikR_neg	mltF//
NimR_neg	betA//
NorR_neg	
NorR_pos	paaI//
NrdR_neg	ynfG//ftsI//ppiA//adiA//
NsrR_neg	mpl//napA//tyrB//ccp//phnG//cysC//puuE//paaZ//yfdE//hemL//araD//aspC//carA//fabZ//gatY//ulaG//carA//mhpC//dgcN//srkA//cysD//yeaG//rffG//wrbA//gltB//dkgB//alsE//allE//citD//purB//katE//umpH//fdhF//trmA//deoC//murQ//cyaA//caiD//hpt//narH//
NtrC_neg	torC//entH//
NtrC_pos	wzc//guaB//cynS//napA//allA//mpaA//astA//ilvB//guaA//paaB//phnJ//rutA//citG//argB//yeaE//metH//accC//idnD//gdhA//sucA//tynA//
OmpR_neg	entF//tdcE//oxc//lacZ//codA//
OmpR_pos	alkA//rsmH//xdhA//mraY//
OxyR_neg	sucD//deoB//nrdE//fau//pheS//
OxyR_pos	yqhD//accD//tynA//hypB//puuA//srlD//sgbE//chiA//glk//srlD//sodA//rffG//
PaaX_neg	dgcN//metK//ugpQ//allC//ldtB//lacZ//pgk//glmU//cysJ//
PdeL_pos	mpaA//
PdhR_neg	prpE//pheS//gcvP//aroH//uvrC//citF//fabI//atoA//paaH//deoD//dgcZ//moaC//patZ//caiB//pheT//uvrA//tdcD//ychF//fucA//betA//mhpE//hycG//ampC//
PdhR_pos	fabI//udp//
PepA_neg	astE//moeB//
PgrR_neg	dinB//ilvM//
PhoB_neg	gatY//ftnA//phnG//xdhB//gcvH//
PhoB_pos	gltD//hypB//mpl//ssuD//lyxK//aroG//bcsB//entD//pepD//ulaE//glpB//betA//nadB//prpE//idnD//lysC//xylB//
PhoP_neg	tynA//talA//speB//
PhoP_pos	ravA//sucD//ahpF//phnJ//paaA//epd//lacA//cysI//acnA//fadE//rutA//glcE//betB//sodB//bcsB//uxaB//sucC//lldD//murD//pdeF//napB//fumB//rutD//uxaB//paaB//phr//ulaG//rtcA//speB//argF//talA//
PrpR_neg	
PrpR_pos	murF//carA//talA//ilvG_1//
PspF_neg	
PspF_pos	ssuE//
PurR_neg	fumA//ugpQ//phnP//frdB//fabG//ribA//sucA//araA//tdcD//rutC//moeB//allD//prpC//adiA//pdeH//gnd//ilvE//melA//rbsD//frdA//hcaC//dgcC//murF//recD//lsrK//nanA//
PutA_neg	lysC//paaC//
PuuR_neg	wrbA//thrS//lsrF//upp//glcF//ubiG//
QseB_neg	
QseB_pos	
RbsR_neg	glxR//pnp//ynfH//nanM//trpA//
RbsR_pos	narI//
RcdA_neg	
RcdA_pos	mtlD//
RclR_pos	
RcnR_neg	wzb//
RcsAB_neg	ampD//
RcsAB_pos	cmoM//avtA//
RcsB-BglJ_pos	idnD//mpaA//
RcsB_neg	folA//
RcsB_pos	dapD//argI//uidA//
RelB-RelE_neg	chbF//
RelB_neg	ulaD//
RhaR_pos	
RhaS_pos	moaD//murQ//ilvB//add//
Rob_neg	
Rob_pos	yqhD//glxR//mhpC//entF//ssuE//hycG//phnJ//pgaC//hyi//ahpF//gudD//prpC//ahpC//paaJ//fabG//sdhC//mdh//napB//trmA//
RstA_neg	paaY//gpsA//
RstA_pos	alkB//
RtcR_pos	aceF//asnA//
RutR_neg	phoA//fadE//tpiA//alaS//pdxA//ynfF//paaK//gpmM//hyaB//zwf//
RutR_pos	ilvN//
SdiA_neg	
SdiA_pos	
SgrR_neg	leuC//
SgrR_pos	deoD//ldtD//
SlyA_neg	
SlyA_pos	glcB//pheT//dgcZ//phnI//wrbA//recD//asnA//galE//idnD//
SoxR_neg	
SoxR_pos	glpB//
SoxS_neg	
SoxS_pos	cysN//thrS//prs//fes//sdhC//dmsA//pgaC//phnP//aroL//ppc//bioF//nrdD//frc//ccp//pdxA//ldtB//nrfC//ldtC//truB//sucA//nrdA//purB//pdeR//dadX//pykF//manA//
SrlR_neg	nadA//hycC//metE//
StpA_neg	nfsB//ada//yqhD//
SutR_neg	relA//cheB//
SutR_pos	
TdcA_pos	pagP//paaF//prs//aldB//araD//
TdcR_pos	trpE//glcD//serC//speA//metC//
TorR_neg	torC//
TorR_pos	fumC//pheS//fumA//lyxK//
TreR_neg	malS//malY//
TrpR_neg	ygeA//folE//metL//fucO//glyA//hycC//gpmM//yedX//prs//
TtdR_pos	purK//dhaM//
TyrR_neg	wecC//ftsI//ndh//cysD//purD//pgaC//purN//
TyrR_pos	aspA//metK//mazG//
UhpA_pos	prmC//
UidR_neg	recD//caiA//
UlaR_neg	alaS//trpA//xdhB//napH//pykF//
UvrY_pos	uxaC//upp//
UxuR_neg	hemH//lysA//hyaB//atoA//ldtD//
XapR_pos	cmoM//mhpA//
XylR_neg	
XylR_pos	cysN//allA//cysJ//
YdeO_neg	
YdeO_pos	puuB//adiA//melA//
YefM-YoeB_neg	lyxK//
YefM_neg	aceF//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	alaS//carA//gcvP//treC//cysE//tynA//
YjjQ_neg	waaZ//oxc//
YpdB_pos	
YqhC_pos	ruvA//speA//
YqjI_neg	pykF//
ZntR_pos	glcB//
ZraR_pos	
Zur_neg	ansB//
