# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	rffC//ssuD//
IHF_neg	manA//paaZ//pgk//murI//glgC//dgkA//serA//citE//rhaB//trpA//frdA//cysE//fabH//gatY//ynfF//pagP//katE//bioB//purL//metB//argI//sgbU//ascB//hycB//leuB//xylA//carB//srlD//dadA//waaY//bioB//carB//kbaY//alaC//hcaB//rsmH//cysC//prpE//glcF//yqjH//rutB//aldA//hcaC//
IHF_pos	ubiG//ilvD//metB//atoA//argD//moaE//ascB//fadI//xdhA//entD//gcd//glk//preT//hemF//srlD//pagP//lldD//gdhA//ribA//dapD//fadD//purC//ugpQ//torC//fadH//nanE//relA//aldB//idnD//chiA//citF//umpH//lysC//umuD//narI//wzb//ugpQ//argF//ampC//rhaA//torC//dmsA//ribA//paaC//astE//prpE//gltX//puuD//rpiB//cheR//astE//gabT//gcvT//astB//katE//nrdB//pck//bioC//paaC//dusB//rsmH//paaF//ilvH//citX//dusB//hypF//serA//hycD//purB//ilvM//phnN//
IclR_neg	xdhB//fucK//rbsK//
IdnR_neg	nfsA//gloA//
IdnR_pos	metB//galK//lsrF//fes//
IlvY_neg	
IlvY_pos	moeA//
IscR_neg	cyaA//cysI//accA//cheR//katG//cadA//
IscR_pos	nirB//sbcD//
KdgR_neg	nrdD//puuA//
KdpE_pos	yiaK//
LacI_neg	garK//add//mhpF//
LeuO_neg	
LeuO_pos	kbaZ//galM//lacA//mnmG//fabI//ssuE//
LexA_neg	wecC//narI//fucU//argG//rsmH//appA//pgpC//pykF//glcD//pgaC//entA//sdhD//sucA//gdhA//cpdB//fadD//glk//mazG//entE//nrdA//ulaF//murQ//ynfH//
LldR_neg	nrdF//argH//
LldR_pos	rutA//uxuB//
LrhA_neg	
LrhA_pos	
Lrp_neg	mazG//waaY//yqhD//lldD//metH//agp//dgcN//yfdE//pgaB//bioB//nrdD//fadM//purE//fdhF//ravA//aldB//aroA//nanM//katE//dacC//malP//tdcG//lhgO//
Lrp_pos	dkgA//edd//fabA//sbcC//ilvB//moaC//mhpF//sodB//ilvE//metE//murG//relA//paaB//gabD//ruvB//hcaE//fabB//trpD//slt//fbaA//
LsrR_neg	edd//bacA//aroL//trmA//metK//
LysR_neg	
LysR_pos	ssuD//
MalI_neg	wecB//rfe//
MalT_pos	pgaB//sufS//aspC//lpxA//lsrK//pgm//
MarA_neg	pdeF//
MarA_pos	cysD//accA//bcsB//yqhD//mhpD//murQ//lyxK//accA//lysA//paaI//patD//napA//frdA//fruK//idnD//yqhD//pgaC//fabD//sodA//truB//tam//sufS//pck//
MarR_neg	
MatA_neg	gabT//
MatA_pos	
MazE-MazF_neg	sucA//
MazE_neg	paaY//
McbR_neg	
McbR_pos	
MelR_neg	nrfD//entE//
MelR_pos	fruK//fabG//
MetJ_neg	fabG//alaC//murE//psd//gatD//tdh//manA//argC//phnP//ynfG//
MetR_neg	sgbE//
MetR_pos	yeaG//cysH//tdcG//bioD//
MhpR_pos	rsmA//xdhA//yiaK//allD//glyA//yeaG//
Mlc_neg	argB//malQ//betA//glxK//
MlrA_pos	mhpD//
MngR_neg	preA//cysM//
MntR_neg	hycG//
MntR_pos	cheR//
ModE_neg	paaF//accD//dkgB//ndh//alaC//bioA//rfe//gapA//
ModE_pos	cysD//pfkA//ynfE//uvrC//argA//ugpQ//ulaE//phnM//thrS//
MprA_neg	lysC//sucD//sgbU//
MqsA_neg	hchA//fau//
MraZ_neg	argB//psd//aspC//entD//hcaC//fdhF//sgbH//tnaA//glcE//cysM//
MurR_neg	dgcN//fabG//fumA//
MurR_pos	
Nac_neg	nfsB//gapA//entE//
Nac_pos	patZ//purB//glgX//glpA//hyi//hemL//hemH//fes//
NadR_neg	lhgO//tdcE//serA//paaG//
NagC_neg	ygeA//dacC//hyaB//fadD//hycB//adeD//fucK//patZ//fadD//epd//hyaB//malZ//phnI//uvrA//waaZ//entE//katG//pck//
NagC_pos	pykF//atoB//
NanR_neg	ulaD//sucC//gcvP//polB//pyrD//amiA//
NanR_pos	
NarL_neg	dmsB//citC//thrS//aroA//ssuE//prpE//narG//cheB//tktB//frdA//mngB//lysA//deoA//rffH//aldA//hmp//pyrC//patD//rnpB//hcaC//alkB//hypF//gatZ//acnA//lhgO//rpiB//cheB//acnA//
NarL_pos	guaB//rsmA//trpE//metA//rffC//gltX//moeA//cynS//dgcC//argH//phr//gadA//chbG//pck//entF//
NarP_neg	fabI//allB//moaD//dgcZ//glpE//
NarP_pos	napA//phnN//aroH//xylA//slt//uvrC//moaD//aroL//pyrC//paaC//hcaD//paaA//fucU//fabG//
NemR_neg	dacC//glpA//
NhaR_pos	astB//galM//ogt//paaH//uxaC//
NikR_neg	alaC//
NimR_neg	psd//
NorR_neg	
NorR_pos	astA//
NrdR_neg	ruvB//metE//eno//rimK//
NsrR_neg	astE//psd//cysM//pyrD//umuD//murG//puuC//tyrB//cyoE//gpmA//adhE//glpQ//rbsD//nrdE//pepD//murI//idnD//glgP//phnL//allE//mhpF//carB//sgbE//pgk//rnpB//lsrK//gltA//dadX//add//rutA//fumA//fadA//xdhA//mhpD//paaF//alaA//sgbU//melA//agp//fucI//
NtrC_neg	deoA//pncB//
NtrC_pos	codA//purF//aroG//acnB//phnL//idnD//gabD//leuC//tadA//rutC//frdC//rutA//glcE//trmD//aspC//tadA//metB//fadE//galM//cynT//sucB//
OmpR_neg	bglB//waaH//hcaC//mhpA//epd//
OmpR_pos	glxK//srkA//mazG//purF//
OxyR_neg	apaH//araB//sucD//mtlD//carB//
OxyR_pos	chbG//cdd//rnpB//bioA//dacC//patZ//dmsA//mhpE//chbG//udp//fucI//glpQ//
PaaX_neg	sdhC//caiD//tauD//malZ//sdhD//wecC//deoB//puuA//fabB//
PdeL_pos	ulaD//
PdhR_neg	hycF//cysJ//trpB//cysH//garL//lsrF//hycE//fdhF//hypF//galT//adeD//poxB//wzc//fucO//deoC//fabH//relA//xdhB//argG//umuD//rbsD//metK//ackA//
PdhR_pos	caiD//nanE//
PepA_neg	lyxK//xapA//
PgrR_neg	pncB//murQ//
PhoB_neg	dgcN//araB//mtlD//ubiX//nrdD//
PhoB_pos	ada//fadH//accC//pheS//tam//gntK//galM//fadA//gabT//guaB//mtlD//recD//thrS//ttdB//cdd//nirB//pck//
PhoP_neg	luxS//rbsD//malQ//
PhoP_pos	tdh//ynfE//glpC//waaH//dinB//lpd//astC//rffC//kbaY//ansB//trpB//dapB//pspE//gpmA//malP//ruvA//trpD//pheS//nadB//cysD//lysC//alkA//phnL//garD//dmsC//lpd//gloA//xdhB//lpd//sufS//nirD//
PrpR_neg	
PrpR_pos	hemA//tdcD//mhpF//ahpC//
PspF_neg	
PspF_pos	pgaC//
PurR_neg	ilvD//hycC//ychF//rffH//aceE//prpC//dusB//xdhA//phnO//murD//ilvC//hcp//prpE//hemF//carB//ugpQ//alsE//aroF//rnpB//srkA//gntK//xapA//glcB//gadA//carA//aspC//
PutA_neg	sdaA//arsC//
PuuR_neg	xapA//allA//cysH//asnB//gatZ//entB//
QseB_neg	
QseB_pos	
RbsR_neg	hcaE//kbaY//feaB//ynfE//prpD//
RbsR_pos	rhaA//
RcdA_neg	
RcdA_pos	pagP//
RclR_pos	
RcnR_neg	citX//
RcsAB_neg	moaD//
RcsAB_pos	folA//bcsZ//
RcsB-BglJ_pos	frdC//uvrC//
RcsB_neg	waaH//
RcsB_pos	hycB//fabB//paaB//
RelB-RelE_neg	nadB//
RelB_neg	glnA//
RhaR_pos	
RhaS_pos	guaA//cpdB//sucD//phnP//
Rob_neg	
Rob_pos	polB//prpB//atoA//hmp//murC//hycC//speB//sodA//recF//lysC//rimK//argC//gltA//purM//lacA//glxK//cysG//torC//uxaC//
RstA_neg	gpsA//feaB//
RstA_pos	mhpA//
RtcR_pos	moaE//ldtD//
RutR_neg	galT//codA//ybjG//idnO//pyrD//edd//napH//paaF//sgbH//malZ//
RutR_pos	fucI//
SdiA_neg	
SdiA_pos	
SgrR_neg	uvrA//
SgrR_pos	leuC//moaC//
SlyA_neg	
SlyA_pos	pdeR//manA//uxuA//cyaA//codA//pheT//cysI//nagB//tyrB//
SoxR_neg	
SoxR_pos	sucD//
SoxS_neg	
SoxS_pos	ynfG//cynS//nrfC//fumA//hcp//ynfG//gatZ//sdhB//rpiB//add//alsE//moeA//sgbE//dgcN//argG//sucD//fabZ//sucD//rsmH//hycD//trpD//paaH//patA//glyA//argG//patZ//
SrlR_neg	ilvI//cyoE//glpB//
StpA_neg	recD//metC//frc//
SutR_neg	pspE//ynfH//
SutR_pos	
TdcA_pos	bioF//gltX//cmoM//ubiC//fadD//
TdcR_pos	paaK//luxS//ung//prpB//lpd//
TorR_neg	murC//
TorR_pos	pgaC//ldtB//alkA//hycC//
TreR_neg	kbaY//hflX//
TrpR_neg	murI//hycC//gltX//torA//metL//cysK//wzb//prpD//hcaC//
TtdR_pos	citC//argF//
TyrR_neg	gltB//fes//argE//mhpF//napG//sdaA//pgpC//
TyrR_pos	pncB//nanA//rnpB//
UhpA_pos	entD//
UidR_neg	fumA//lsrG//
UlaR_neg	ilvG_1//sucB//ilvN//fbaA//galK//
UvrY_pos	caiD//pdeF//
UxuR_neg	glcB//hyaC//nrfC//recB//gnd//
XapR_pos	umuC//fabD//
XylR_neg	
XylR_pos	glyA//gdhA//asnB//
YdeO_neg	
YdeO_pos	fes//ubiG//ilvD//
YefM-YoeB_neg	bcsZ//
YefM_neg	wecB//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	slt//adhE//garL//citE//thrS//hyaB//
YjjQ_neg	ampC//purB//
YpdB_pos	
YqhC_pos	purF//allC//
YqjI_neg	nrdA//
ZntR_pos	ruvA//
ZraR_pos	
Zur_neg	nadB//
