# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	pdeL//fabD//
CRP_pos	ilvB//puuE//puuA//moaA//metA//fucO//ubiA//ilvA//pnp//rimK//alsE//gdhA//carB//phr//dapB//frdC//ansB//tnaA//hyaC//upp//appA//agp//hycD//rutE//araD//rimK//cynT//sgbU//garR//allE//argE//pfkA//folE//citC//gloA//queA//puuA//rffG//deoA//citD//astB//astA//recF//argD//gatY//argI//hyaC//ddlB//tktB//gpmA//gudD//ppc//gatZ//upp//tam//xylA//ubiA//phnG//preA//gltB//waaY//cysG//speB//hycD//rutC//phnP//caiD//ilvG_1//rhaA//paaY//pgaD//leuD//glxK//eno//ilvE//ilvA//rsmA//aldA//nanM//uxaA//argC//mhpD//caiC//dadA//puuC//paaI//torC//allE//eda//accC//wzb//gltX//prpB//paaG//tam//fbaB//nadA//rutA//relA//talA//cadA//gor//ssuE//ulaE//codA//wrbA//tdcB//entC//carB//hyaB//dkgB//icd//cynS//cheR//nrfD//ackA//hyaB//citC//rffM//gatY//entH//gadB//ndh//thrS//aroG//polA//waaY//rffT//poxB//tdcB//allB//patA//fucU//rtcB//yqhD//argB//grxA//ilvG_1//slt//metL//aroA//ygeA//napB//bioD//cysG//deoC//patD//uxuA//tpiA//metL//gutQ//dgcC//dkgA//bacA//uvrA//aroL//ilvH//deoD//phr//adeD//umpH//moaD//acnB//fbaA//hycB//polB//aceB//nrfC//waaZ//sucB//patD//glpA//rtcA//bglB//cysI//fes//deoB//ftnA//lsrK//gcvT//uvrB//sucA//pdeF//prpB//gatD//deoB//metF//argH//waaH//rimK//nemA//fadA//ada//moaD//fabI//yedX//murI//ppc//adhE//carB//lpxD//cheB//uxuB//glgP//bcsZ//mhpF//betA//cysH//ubiC//nagA//ppsA//mngB//sdhC//ycjG//fumA//udp//epd//ssuD//garL//lsrG//galE//accA//glcD//amiA//puuE//caiA//astD//pgk//phnG//purH//dacC//serA//gadA//adeD//ynfF//rutC//cysG//garD//glpK//glyA//purE//phnI//prpC//murI//dgkA//ppiA//gcvH//paaJ//ppsA//
CadC_pos	metA//ftsI//gatD//
CaiF_pos	lacZ//frdC//nagB//patA//puuB//
Cbl_pos	nadC//murD//ackA//ccp//idnO//
CdaR_pos	dhaL//dmsA//luxS//lysU//moaE//rutD//pagP//chbF//pgpC//
CecR_neg	mhpD//
ChbR_neg	umuD//narI//nrfA//
ChbR_pos	rimK//lpxA//mpl//
ComR_neg	
CpxR_neg	puuC//puuC//carA//
CpxR_pos	epd//dmsB//rhaB//cynS//glcB//rutD//ahpF//ulaF//puuA//citD//manA//ravA//dgcZ//uvrA//citX//cysE//ilvI//mdh//
Cra_neg	cysI//murD//rffH//xapA//wecE//epd//sdhC//fdhF//mpaA//nagA//astA//tdcG//rutC//glcF//gloA//nanE//tdcG//mdh//aceE//paaK//pdxA//citX//tyrA//napH//fbaA//fruK//chbF//ackA//pncB//tauD//wrbA//deoC//narG//phnP//iscS//sucC//ubiX//glpK//acs//narG//yeaE//aceA//tadA//ftsI//aldA//
Cra_pos	rutC//ftnA//ndh//deoA//idnK//hycB//leuC//rtcA//argC//ubiX//gltA//tdcB//glmU//recF//prpB//tdcE//entD//
CreB_neg	glgB//
CreB_pos	deoA//
CsgD_neg	sdhD//bioC//
CsgD_pos	carB//phnJ//dapB//
CsiR_neg	gabD//idnD//polB//betB//
CspA_pos	bioB//
CueR_neg	fadD//glpK//rffG//
CueR_pos	preA//luxS//
CusR_pos	alaA//caiA//polA//garD//
CynR_neg	
CynR_pos	fbaA//yedX//accD//
CysB_neg	allB//recB//polA//
CysB_pos	pflB//glpB//ulaE//prpE//lysU//torC//argC//gpmM//mhpA//ssuE//ftsI//tdh//purB//garL//
CytR_neg	appA//mngB//argF//alkA//hemL//argE//acs//rffM//fabA//garK//
DcuR_pos	ppsA//frdD//fbaA//gpsA//
DeoR_neg	dgcC//allD//atoA//glpC//paaE//wzb//
DhaR_neg	
DhaR_pos	glgC//
DicA_neg	
DinJ-YafQ_neg	gntK//
DnaA_neg	entE//metK//yeaE//xapA//moaA//
DnaA_pos	tehB//hycG//citG//
DpiA_neg	
DpiA_pos	tadA//amn//nrdE//ttdA//deoD//
DsdC_neg	
DsdC_pos	tehB//sbcC//
EbgR_neg	
EnvR_neg	purF//aldB//
EnvY_pos	paaG//fumA//
EvgA_pos	ilvA//lysA//paaJ//hcp//lysU//bioD//
ExuR_neg	narI//eno//cdd//rpiB//bacA//lacZ//
FNR_neg	pflB//phnP//tadA//dkgB//lsrG//relA//gltD//pgaD//argC//torA//nanA//fabD//ubiG//sufS//cpdB//napG//recB//glpQ//paaJ//patA//fau//alaA//pagP//gdhA//ascB//rffG//agp//metF//purF//entC//cueO//accC//aceB//garL//preT//glsA//nanA//glgC//cysN//sucC//kbaZ//prmC//paaA//pgaB//
FNR_pos	ppiA//purB//tam//puuB//cynS//bacA//paaJ//hpt//ribA//dinB//mhpE//uvrC//deoB//patZ//ssuE//ansB//pdeF//umpH//fucU//cysH//pgaB//yiaK//udp//allD//ilvI//luxS//ppsA//ddlB//nadC//fumA//ubiC//ftsI//speC//sucA//rhaD//hypB//glcB//purH//cmoM//fabA//ygeA//entA//alkA//feaB//sgbH//gltA//sbcC//carB//uvrB//wecE//glcD//nirB//mltF//nirB//cysI//rffC//garK//uxaC//leuB//mhpE//fruK//trmD//pdeL//ppiA//dmsB//metA//waaH//trmA//gatD//metL//uxaC//kbaY//nrdD//recD//xylA//eda//nadB//cysE//napG//mpl//hemH//fumC//pdxA//alkB//ubiA//talA//udp//allC//pdeF//fabI//lpxD//yfdE//fadI//apaH//talA//ccp//
FabR_neg	ulaE//fucU//phnP//
FadR_neg	cysE//nrdA//psd//talA//alaS//tktB//betB//yeaG//guaB//
FadR_pos	phnM//mazG//metE//fadH//mhpC//sdhA//glsA//zwf//hcaF//cysN//
FeaR_pos	entE//ada//
FhlA_pos	phnN//cysJ//cdd//katE//trpA//waaY//grxA//astA//
Fis_neg	purF//purN//kbaZ//zwf//ilvM//aroA//hcaE//pagP//polB//fdhF//rtcB//allB//narH//pdxA//glmS//gor//nemA//mnmG//prs//murE//sufS//ulaF//gcvP//nfsA//hemA//hcaB//patA//dgcN//rimK//cynT//rsmH//tdcB//nadB//paaF//nanM//frdA//argD//glgA//ahpC//hyaA//uvrC//ugpQ//ansB//prpD//nagB//astC//
Fis_pos	speA//ppc//xapA//tam//preA//eda//ilvC//leuD//nrfA//fadB//tehB//tadA//pepD//fadJ//acs//speB//srlD//rfe//hycB//paaB//mtlD//tehB//lacA//serC//aroG//ydcS//entH//zwf//idnO//nemA//entF//wrbA//dgcC//rffG//sdhD//yfdE//phnH//
FlhDC_neg	mnmG//ynfH//
FlhDC_pos	paaI//fucI//tauD//fabB//ilvB//bcsZ//chbF//galM//alaC//rutD//ilvM//waaY//
FliZ_neg	phnL//speA//tnaA//prpD//entA//
FucR_pos	dmsA//eda//ampD//kbaY//mpl//leuD//
Fur_neg	hemA//glcB//argI//dgcN//ilvD//udp//rutC//glxR//fdhF//nrdA//cyaA//gltX//fabG//gutQ//ampD//arsC//citX//astA//entB//glpB//ilvN//tktB//rbsK//argD//ppiA//hcaD//fabD//recD//kbaZ//allD//tehB//fabG//leuA//tehB//nagA//prpB//caiC//napB//glgB//gpmA//ppsA//galT//mtlD//lacA//kbaZ//argC//gdhA//phnM//ilvE//sgbH//cysN//argH//purN//
Fur_pos	patZ//puuA//phr//rimK//astE//hemA//pncB//rbsK//allB//folA//kbl//edd//tdcD//paaH//ruvA//narG//
GadE-RcsB_pos	nirD//gadB//phnJ//glpA//galK//
GadE_pos	fruK//lhgO//rffM//cysH//patZ//paaG//rpiB//glpB//sbcD//hmp//
GadW_neg	galK//frdA//ung//
GadW_pos	cyaA//speC//pgk//allC//
GadX_neg	lpxC//carA//
GadX_pos	feaB//aspA//ilvA//glgX//dmsA//dhaL//guaB//hmp//patA//tdh//fumC//
GalR_neg	murC//icd//ampC//dinB//paaF//wecC//
GalR_pos	phnL//bioB//aceF//murI//
GalS_neg	ynfG//mnmG//mnmG//fumA//xdhA//luxS//
GalS_pos	pdeL//gcvT//glgC//hycG//
GatR_neg	metL//astA//frdC//
GcvA_neg	ynfG//lysU//astA//
GcvA_pos	preT//tnaA//glxR//
GlcC_neg	
GlcC_pos	slt//glpQ//adiA//
GlpR_neg	astE//puuB//pgi//paaH//pgk//glcF//alaC//
GlrR_pos	
GntR_neg	ugpQ//fadH//rpiB//apaH//feaB//dadA//leuC//tyrA//mtlD//
GutM_pos	entF//yiaK//ssuE//
H-NS_neg	metK//waaZ//allE//cpdB//fadE//rffG//idnK//ung//phr//treC//allA//phr//hycF//metK//cadA//accD//rutA//entH//glgX//edd//dmsB//galT//tpiA//malY//lacA//ppsA//chbG//alaA//purH//rffT//mtlD//bioF//ackA//glnA//pgi//hycE//murI//dadA//pflB//gnd//paaA//phnJ//pgm//caiA//mhpB//kbl//hpt//waaY//ddlB//cdd//lysC//
H-NS_pos	prpB//adhE//mhpB//nanM//ascB//katG//wecB//glnA//dgcN//fadM//caiA//fbaA//cysD//cysI//rutC//
HU_neg	mnmG//paaH//bioD//yedX//gcvT//hcaC//hemH//
HU_pos	
HcaR_neg	
HcaR_pos	xdhB//prmC//
HdfR_neg	
HdfR_pos	
HigA_neg	hyi//
HigB-HigA_neg	ydcS//
HipAB_neg	psd//chiA//
HipB_neg	napA//purE//galE//
HprR_neg	nagB//rutE//
HprR_pos	malY//alkA//
HyfR_pos	gabD//
HypT_neg	lacA//hycF//
HypT_pos	paaA//rimK//slt//tdh//dsdA//
IHF_neg	acs//ulaG//glgA//aroA//katE//glgB//fucK//arsC//deoB//murD//aroA//murE//hcaD//argF//mhpE//nrdE//glxK//mhpC//nanE//metF//nanA//purL//purB//dhaK//lpd//aroG//adeD//idnO//atoA//poxB//rimK//ynfG//codA//rpiB//talA//uxuB//lsrG//fdhF//fucO//nfsB//trpC//pnp//mnmG//
IHF_pos	gor//tyrB//galE//phnN//dhaL//dkgA//luxS//narI//purL//preT//gudD//lpd//allB//murD//umpH//dkgA//gabD//fumB//phnH//garR//glmU//ssuD//mhpD//sdaA//ampD//murG//malY//gpsA//gpsA//gdhA//murD//citG//mngB//puuE//hflX//rsmH//fadD//hemL//nanK//rtcA//gcvT//ribA//phoA//xylA//acs//narI//agp//edd//paaZ//sbcC//codA//lpxD//hcaD//wecE//yqhD//wecE//ubiG//rutB//melA//allD//ldtB//dhaL//pdeR//aspC//glcE//aspA//moaC//kbaZ//sgbH//gltB//phnL//
IclR_neg	metF//gatY//torA//
IdnR_neg	astA//dmsC//
IdnR_pos	phnP//gor//ascB//metH//
IlvY_neg	
IlvY_pos	pgaB//
IscR_neg	pdeF//yqhD//adeD//aceB//mhpC//bioD//
IscR_pos	gudD//fbaB//
KdgR_neg	dapB//adiA//
KdpE_pos	frdC//
LacI_neg	fucO//rutD//sufS//
LeuO_neg	
LeuO_pos	ung//waaH//puuE//gabT//nanM//nanM//
LexA_neg	ada//caiC//cysD//aroA//phnG//nrfC//hcp//glcE//wecB//cysG//ugpQ//galT//fabZ//nrdF//accC//lsrG//aroF//glgB//yfdE//gcd//tnaA//epd//leuD//
LldR_neg	adiA//rpiB//
LldR_pos	asnA//mhpB//
LrhA_neg	
LrhA_pos	
Lrp_neg	rutD//kbl//paaJ//folA//ilvA//glmS//relA//sucB//hycG//rsmA//zwf//guaB//eda//trpC//sucD//yedX//alaS//fucK//alkA//prpE//epd//glpE//aceB//
Lrp_pos	cyaA//nrdF//nrdD//ugpQ//xdhC//mhpB//xdhB//puuB//tdcG//queA//phnI//acs//wrbA//betB//argA//murE//pdeH//kbl//narI//murF//
LsrR_neg	mpl//gudD//pykF//ampD//idnK//
LysR_neg	
LysR_pos	murG//
MalI_neg	gltA//glpC//
MalT_pos	dmsA//polA//ada//gcvH//waaH//hflX//
MarA_neg	ynfF//
MarA_pos	garK//metE//tam//sdhB//gltX//dhaK//metA//glsA//xdhB//epd//ruvB//rimK//sdhA//allA//dusB//pgaC//serC//mnmG//mpaA//patZ//fabB//glpK//sucD//
MarR_neg	
MatA_neg	patA//
MatA_pos	
MazE-MazF_neg	rutB//
MazE_neg	prpC//
McbR_neg	
McbR_pos	
MelR_neg	citC//acnA//
MelR_pos	truB//srkA//
MetJ_neg	yiaK//nanK//pagP//glgA//sdaA//bioD//preT//fabZ//araD//hypF//
MetR_neg	speA//
MetR_pos	garL//citE//torC//adhE//
MhpR_pos	aceA//fabH//chbF//ubiG//mazG//fabB//
Mlc_neg	nadC//aceE//uxuB//nrfD//
MlrA_pos	bioD//
MngR_neg	chiA//accD//
MntR_neg	uxaA//
MntR_pos	malS//
ModE_neg	pgaB//yqjH//patD//sbcD//rutB//uxaC//ampC//hcaD//
ModE_pos	murQ//uvrA//gltB//tauD//icd//entC//fau//trpA//purD//
MprA_neg	sdaA//cadA//argA//
MqsA_neg	aroG//garD//
MraZ_neg	leuB//malY//nanK//ybjG//metF//dgkA//glmS//cysC//metC//garR//
MurR_neg	ampC//glxR//phnH//
MurR_pos	
Nac_neg	rtcB//carA//lyxK//
Nac_pos	thrS//glnA//purD//ndh//bcsZ//purF//waaH//garL//
NadR_neg	gadB//entB//kbl//yiaK//
NagC_neg	murD//fadM//paaB//ahpC//pgaB//pepD//tyrA//cpdB//gadB//purA//atoD//paaZ//trpC//paaK//lsrK//rbsD//cueO//rutB//
NagC_pos	mhpD//leuB//
NanR_neg	nanK//hcaF//hcaD//zwf//caiD//dapB//
NanR_pos	
NarL_neg	ygeA//ldtC//ugpQ//moeA//murG//lpxA//speC//uvrB//mtlD//prpC//folE//speC//phnN//argA//murF//pheS//lsrG//hyi//gntK//hmp//grxA//hcaD//atoB//citX//tdcG//ccp//wecE//moeA//
NarL_pos	wzc//metB//ccp//codA//gpmA//caiB//mhpF//glcE//chiA//glcD//lsrG//ilvH//malY//caiC//entE//
NarP_neg	gltB//fucI//ccp//wrbA//paaB//
NarP_pos	pgi//folE//ccp//mazG//hchA//rutB//glgP//caiC//uvrB//fucO//nirB//sucB//aspA//ndh//
NemR_neg	gapA//hcaC//
NhaR_pos	rhaB//dmsB//metC//wecE//glk//
NikR_neg	hycC//
NimR_neg	gnd//
NorR_neg	
NorR_pos	mhpB//
NrdR_neg	ssuD//srkA//ynfH//lpxC//
NsrR_neg	rutE//leuA//carB//umuD//nagB//ilvD//nadB//rutB//bioD//argI//rutB//pck//aspC//oxc//edd//aroH//betB//nirD//ubiX//glcE//pdeH//epd//speB//bglB//murE//paaG//thrS//rffG//tdcB//accD//phnJ//relA//pgi//uxaB//aldA//allD//galT//ubiA//preA//queA//
NtrC_neg	lpxD//mhpE//
NtrC_pos	nagA//allC//deoD//phnP//ugpQ//glgA//amn//preA//recB//srkA//alkA//nanA//paaY//ppc//pagP//bcsB//rbsK//ilvG_1//garL//caiD//ydcS//
OmpR_neg	paaY//glsA//slt//bioA//glpX//
OmpR_pos	nadB//paaY//fau//xdhA//
OxyR_neg	nanM//hycB//pncB//sbcD//yfdE//
OxyR_pos	lyxK//rffG//tktB//rimK//xdhA//acnA//bcsZ//ttdB//rutB//hcaF//puuB//ldtD//
PaaX_neg	gudD//rffM//umpH//talA//ugpQ//ampC//ulaG//dgcZ//ribA//
PdeL_pos	relA//
PdhR_neg	fau//mhpB//rpiB//phnG//fadI//nirB//glmU//gpmM//fadD//kbaZ//narI//tdcD//sucA//ruvB//bacA//uxaA//yqjH//galM//glcD//glpQ//hyi//pykF//appA//
PdhR_pos	purB//murI//
PepA_neg	malS//mpaA//
PgrR_neg	mhpC//bioB//
PhoB_neg	gdhA//waaY//upp//sdhD//katG//
PhoB_pos	aceF//cysC//glk//truB//mdh//accC//lpxC//ndh//argA//dmsB//fdhF//rutD//entB//fabG//mnmG//hyaA//idnK//
PhoP_neg	cysC//glsA//speA//
PhoP_pos	melA//ilvG_1//glgX//paaG//frdD//idnO//recF//galT//pnp//argC//accC//allB//tdcG//ppsA//pykF//puuD//ybjG//ansB//ilvA//dinB//tdcB//nadA//lysA//aceA//hcaD//hycE//malS//nrdD//rffG//leuC//lacA//
PrpR_neg	
PrpR_pos	entF//tdh//accC//alkA//
PspF_neg	
PspF_pos	entE//
PurR_neg	fadH//ascB//rhaD//ftsI//deoC//ssuE//mhpE//garR//mraY//aroF//hyaA//prpB//nfsA//fucK//cueO//melA//cynS//hchA//tdcD//trpE//ilvE//frdB//ruvB//ttdB//rfe//patD//
PutA_neg	cynS//hycC//
PuuR_neg	paaJ//lsrF//waaZ//oxc//upp//ansB//
QseB_neg	
QseB_pos	
RbsR_neg	fucO//cmoM//rtcA//hycG//nemA//
RbsR_pos	ssuE//
RcdA_neg	
RcdA_pos	ynfG//
RclR_pos	
RcnR_neg	citE//
RcsAB_neg	nfsA//
RcsAB_pos	nrfA//ftsI//
RcsB-BglJ_pos	mazG//rsmH//
RcsB_neg	glxR//
RcsB_pos	mhpB//wecB//dmsA//
RelB-RelE_neg	ycjG//
RelB_neg	rtcB//
RhaR_pos	
RhaS_pos	astC//trpB//leuB//hypB//
Rob_neg	
Rob_pos	uxuB//hemL//nemA//hcaD//malS//codA//hycB//ygeA//acs//ybjG//argC//hcaF//fbaB//ilvC//glcF//dhaM//phnP//gcvH//hcaD//
RstA_neg	leuA//melA//
RstA_pos	trpE//
RtcR_pos	leuD//prs//
RutR_neg	paaZ//pdeR//mhpD//pfkA//puuE//tam//pdeL//fau//hyaA//ubiC//
RutR_pos	wzb//
SdiA_neg	
SdiA_pos	
SgrR_neg	caiD//
SgrR_pos	dsdA//alkB//
SlyA_neg	
SlyA_pos	xdhB//dsdA//fumC//sodA//fucU//napG//hcp//ddlB//pck//
SoxR_neg	
SoxR_pos	mpaA//
SoxS_neg	
SoxS_pos	ulaE//adiA//fabD//gabT//chiA//amiA//bacA//pdeH//phnH//gcvT//ldtD//wecC//pyrD//paaH//purD//fadA//murD//fabD//allC//cysD//cdd//prpB//tadA//dmsA//nrdB//fadD//
SrlR_neg	nagB//paaY//dsdA//
StpA_neg	moeB//glpB//allC//
SutR_neg	ada//oxc//
SutR_pos	
TdcA_pos	ppiA//metK//frc//gutQ//mhpF//
TdcR_pos	sucA//aspC//puuC//sodA//ynfE//
TorR_neg	nadA//
TorR_pos	tdcE//fadB//paaE//allC//
TreR_neg	pdeR//aldB//
TrpR_neg	phnN//ynfE//metC//ampC//glpQ//tdcB//purD//phnN//wecC//
TtdR_pos	nrdF//sdhA//
TyrR_neg	glxR//gpmA//bcsB//lysA//ynfF//fucO//cueO//
TyrR_pos	fadA//slt//garD//
UhpA_pos	narI//
UidR_neg	fabD//nagB//
UlaR_neg	serC//caiA//hycF//tdcD//grxA//
UvrY_pos	lacZ//paaJ//
UxuR_neg	bioD//umpH//tdh//glmS//hypF//
XapR_pos	gcl//nemA//
XylR_neg	
XylR_pos	yqhD//ahpF//leuB//
YdeO_neg	
YdeO_pos	lysC//sdhD//mngB//
YefM-YoeB_neg	aroH//
YefM_neg	metL//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	dgkA//astE//katE//rhaD//pflB//glpE//
YjjQ_neg	atoB//accC//
YpdB_pos	
YqhC_pos	malQ//rutA//
YqjI_neg	pgm//
ZntR_pos	rutC//
ZraR_pos	
Zur_neg	alkA//
