# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	waaH//sdaA//
DpiA_pos	nfsB//katG//puuE//gltB//ubiX//
DsdC_neg	
DsdC_pos	rbsD//kbl//
EbgR_neg	
EnvR_neg	lpd//glgP//
EnvY_pos	cadA//speA//
EvgA_pos	gabT//queA//dgcN//sdhB//rtcB//srlD//
ExuR_neg	sucB//lpd//rsmH//paaG//dgkA//napH//
FNR_neg	mdh//pfkA//carA//ynfH//glk//nadB//metE//prpE//queA//bioC//moeB//argG//dmsB//ynfG//garD//glmU//rutE//paaG//cadA//malQ//add//yiaK//waaZ//prmC//cdd//cysG//pgm//glpC//treC//ilvE//relA//ynfE//tauD//preT//tdh//accD//ogt//dgcC//lacZ//glpE//phnN//citC//paaB//lhgO//
FNR_pos	ldtD//rutE//betB//dinB//glpE//hchA//preT//phnH//gadB//astC//prpC//araB//cysI//mnmG//paaF//gor//rnpB//entF//tyrB//gpmM//sgbU//aspC//hycF//argF//ascB//glpA//nfsB//dusB//glpC//pdeF//sdhC//bcsB//fucU//pspE//dgcC//poxB//fabB//glxK//rsmH//nagA//phoA//sgbU//astC//treC//cysJ//edd//glnA//purF//dadX//serA//ruvA//alsE//bacA//fruK//ahpF//deoB//add//hypB//alsE//pdeH//recD//atoB//manA//fadE//bioA//pgi//entB//avtA//nirD//argG//glpA//pck//ftsI//ampD//hycD//nfsB//frdC//hemH//aroG//hycC//gpmM//gpmA//gcl//uxaA//paaI//murI//astD//phnG//ppiA//glmS//narI//leuD//entE//dadX//hflX//argB//
FabR_neg	phnO//glk//prpC//
FadR_neg	alsE//fabH//frdB//iscS//gdhA//hpt//eda//umuC//bioF//
FadR_pos	ubiG//relA//purK//waaY//ndh//citG//sdhA//ydcS//lysC//argA//
FeaR_pos	entD//puuC//
FhlA_pos	paaE//pdeF//deoC//zwf//metF//purA//lpxA//dgcN//
Fis_neg	fbaB//uvrC//moaE//tadA//ilvB//codA//aspC//dgkA//phnJ//polB//ftsI//purH//nrfC//katG//garD//ygeA//tyrB//glpQ//metA//glgC//malZ//tnaA//phr//mnmG//cysC//pnp//pgaB//glcF//fabI//mpaA//malZ//nrfA//gltD//uvrA//nrfD//entF//paaF//sgbU//bioF//accA//wrbA//idnK//glsA//phnM//ynfE//serA//
Fis_pos	paaC//waaH//sgbH//sbcD//tyrB//kbaZ//sodA//folA//cysM//ppiA//gabD//folE//atoB//cysC//hemA//garL//sucB//nfsA//phnN//ilvH//aceF//manA//malP//pncB//entB//ahpF//paaY//rffC//cyoE//melA//ilvM//cysI//leuA//ilvA//pflB//metA//yqhD//
FlhDC_neg	gor//ilvA//
FlhDC_pos	bglB//fadI//alkB//frdB//zwf//bioC//sucC//luxS//gltX//dsdA//ldtB//phnN//
FliZ_neg	cysC//fumC//ynfF//fucO//gadB//
FucR_pos	rtcA//glnA//gabD//wecE//rffC//fabG//
Fur_neg	bacA//fabI//gpmA//feaB//glmS//gdhA//ubiA//entE//paaE//speA//aceF//glgC//umpH//srlD//rtcA//sucA//hcaF//umuC//argD//hyaA//rutC//ulaG//fadI//dhaK//aceE//accD//atoB//xylB//ccp//ascB//aroF//nirB//glpB//metC//sucC//cysI//pyrD//alkB//ychF//tdcE//pdeF//epd//dgcN//puuD//ilvM//rffT//entH//fabA//argH//rffT//ubiG//gutQ//yfdE//
Fur_pos	recD//udp//oxc//pdxA//phnG//ftsI//allC//sbcC//moeB//ilvE//bcsZ//trmA//speA//nagA//xylA//uxaC//
GadE-RcsB_pos	mtlD//torA//tdh//pck//ilvI//
GadE_pos	sdhA//cheR//idnO//mpaA//glpE//rsmH//sdhA//ppiA//treC//yqjH//
GadW_neg	kbaZ//murF//fbaB//
GadW_pos	citC//yedX//glgB//glpK//
GadX_neg	purK//gabD//
GadX_pos	tdcG//purA//xylB//fabD//trpA//ppc//hyaC//aldB//ulaE//ppc//umpH//
GalR_neg	ampD//putA//tam//fbaA//sbcC//psd//
GalR_pos	metB//moaD//dsdA//hycE//
GalS_neg	astE//guaA//sucB//ada//gnd//aceB//
GalS_pos	tadA//paaE//phnM//ribA//
GatR_neg	hcaB//bioD//fbaA//
GcvA_neg	rutC//moeA//nfsA//
GcvA_pos	frdD//fau//caiB//
GlcC_neg	
GlcC_pos	hycF//nrdE//fabD//
GlpR_neg	wzb//folA//oxc//rffG//cysM//rsmH//rtcA//
GlrR_pos	
GntR_neg	hchA//puuA//glmS//metA//phnG//rsmH//bglB//adeD//acnA//
GutM_pos	glpA//rffG//ulaE//
H-NS_neg	alkA//trpB//rtcA//dgcZ//phnN//pagP//frdA//metF//patZ//fumC//phnJ//phr//gutQ//ilvA//rutA//wecE//gpsA//glk//ftsI//rfe//dgkA//astD//pheS//guaA//glgA//nrfA//xdhC//murD//cpdB//wzb//rffH//araA//mhpC//atoA//lacZ//glgC//glgP//hemA//napG//xdhB//apaH//pncB//gdhA//pyrD//glpQ//idnD//yeaG//galE//hcaB//ubiC//wecC//
H-NS_pos	torA//rutE//kbaY//fabI//aroF//sdaA//tdcB//paaJ//rpiB//nrfA//pykF//waaZ//ilvN//idnK//cysC//
HU_neg	accA//tdcB//argB//ygeA//citX//torA//ampC//
HU_pos	
HcaR_neg	
HcaR_pos	sgbH//mhpB//
HdfR_neg	
HdfR_pos	
HigA_neg	pagP//
HigB-HigA_neg	bcsZ//
HipAB_neg	nanM//gatZ//
HipB_neg	wecB//ppc//rfe//
HprR_neg	ydcS//rffG//
HprR_pos	aceE//purN//
HyfR_pos	prpD//
HypT_neg	glgA//fadE//
HypT_pos	preT//hcp//fadH//kbaY//tam//
IHF_neg	hemH//wecC//aceF//talA//slt//srkA//frdD//paaF//ada//sgbE//malQ//gatY//garD//alkA//pdeR//hypB//puuE//sdhC//mhpC//tdcD//ribA//phnJ//ppsA//adhE//glcF//metC//cysI//phnP//lpxC//pheS//xylA//sucC//ilvM//pepD//bcsB//napB//fabB//cueO//dhaL//cynT//entD//oxc//truB//
IHF_pos	pnp//acnB//rutE//galE//pspE//paaF//bglB//pdeR//adiA//gloA//glpK//puuC//uxuB//rbsK//ndh//ada//mhpF//cysM//garK//gltA//purA//frdA//ilvH//rffM//astC//carA//arsC//tyrA//sodA//moeA//cysH//rsmH//ydcS//phr//araD//bioA//argA//wzc//araA//mdh//ugpQ//murF//yedX//glgA//purH//paaE//cdd//yeaG//aroH//add//feaB//galM//entB//gltD//hemF//entD//dgcC//ravA//paaY//ilvB//rsmA//dkgA//ccp//edd//ilvM//iscS//ynfG//caiB//gatD//yqjH//adeD//
IclR_neg	oxc//aroH//mpaA//
IdnR_neg	patD//aroL//
IdnR_pos	hypB//fumC//murC//moaD//
IlvY_neg	
IlvY_pos	mhpF//
IscR_neg	alaS//ansB//gapA//gatZ//tadA//cysG//
IscR_pos	fumB//wrbA//
KdgR_neg	purA//metA//
KdpE_pos	alkB//
LacI_neg	udp//ccp//aroL//
LeuO_neg	
LeuO_pos	frdC//treC//fdhF//talA//umpH//rhaB//
LexA_neg	ynfG//rnpB//queA//glk//preT//caiA//eno//entF//atoA//pgpC//caiA//gloA//trpD//tam//puuD//sdhA//garK//paaE//narH//lysC//fadA//ribA//malS//
LldR_neg	fucO//fes//
LldR_pos	cueO//citE//
LrhA_neg	
LrhA_pos	
Lrp_neg	rtcA//bioD//speA//lpd//napB//malQ//fabD//hcaC//araB//nemA//nirD//torC//napA//nfsA//mhpB//folA//gnd//waaZ//nfsA//tdcG//allA//sdhA//dapD//
Lrp_pos	rimK//gabT//ilvI//aceA//gabT//uidA//pagP//pgpC//araD//hyaC//entH//slt//poxB//argH//frdB//ychF//hyi//mhpD//rffT//argC//
LsrR_neg	ulaE//edd//napB//hemL//kbaZ//
LysR_neg	
LysR_pos	ppc//
MalI_neg	phnJ//oxc//
MalT_pos	serC//aroA//phnN//ampC//sbcD//astA//
MarA_neg	murF//
MarA_pos	gcvT//idnD//atoA//argB//aspC//pepD//nfsB//dacC//araA//glpA//nagB//yqjH//fabI//fucU//gloA//aspC//hyaB//luxS//mpl//rutA//glxR//araA//sgbH//
MarR_neg	
MatA_neg	yeaG//
MatA_pos	
MazE-MazF_neg	rutA//
MazE_neg	zwf//
McbR_neg	
McbR_pos	
MelR_neg	glsA//caiD//
MelR_pos	ynfE//metL//
MetJ_neg	metL//cmoM//glgP//uxuA//mpl//ruvB//fumC//rbsD//slt//sucD//
MetR_neg	cysK//
MetR_pos	uxuB//atoD//glgA//moaE//
MhpR_pos	speA//idnK//purE//ttdB//bcsZ//malS//
Mlc_neg	ygeA//mltF//ilvC//frdD//
MlrA_pos	cysH//
MngR_neg	frdB//malS//
MntR_neg	ilvI//
MntR_pos	gatY//
ModE_neg	glcD//gutQ//hycD//hycC//tdcD//glyA//wecB//lhgO//
ModE_pos	entH//entB//polB//lpxC//napB//nfsB//glpB//galT//galE//
MprA_neg	malP//hpt//wzb//
MqsA_neg	pdeH//betA//
MraZ_neg	cyaA//carA//fadM//carA//ssuE//galT//gor//araA//adhE//glpB//
MurR_neg	nadC//gnd//puuC//
MurR_pos	
Nac_neg	rbsD//dapD//trmA//
Nac_pos	rffT//ilvH//moaA//ubiC//glxR//phnP//psd//prpB//
NadR_neg	dinB//dusB//luxS//gloA//
NagC_neg	napA//pheT//gor//ulaG//recF//malS//citX//mdh//gltA//srlD//fucA//yedX//carA//narI//murQ//paaB//umuC//adhE//
NagC_pos	pck//lsrF//
NanR_neg	frc//cyaA//hyaB//ydcS//tdcB//bioA//
NanR_pos	
NarL_neg	paaB//argG//wecC//rsmH//moaC//luxS//uvrC//acs//xapA//ftnA//phnJ//narH//argI//nrdD//talA//hyaC//mdh//pflB//tehB//astD//malZ//alsE//puuB//glpQ//glpQ//galE//gltD//hycF//
NarL_pos	astE//grxA//gadA//metE//tynA//aroF//patZ//paaZ//wecE//nrdD//lpd//fabH//gpmA//frdB//carA//
NarP_neg	mhpF//moeA//ydcS//ftsI//astB//
NarP_pos	dinB//sbcC//paaC//malZ//rhaB//ccp//aroF//metB//mhpB//ydcS//argD//sdhC//tdcE//adhE//
NemR_neg	aroF//fucI//
NhaR_pos	yfdE//lhgO//glgC//nemA//entB//
NikR_neg	feaB//
NimR_neg	umuC//
NorR_neg	
NorR_pos	entB//
NrdR_neg	garL//luxS//ldtD//pheS//
NsrR_neg	glcD//lacZ//rsmA//ychF//paaA//wecE//wrbA//glxR//astA//folE//rffH//ilvN//glcE//fadE//dgcN//cdd//glmU//ilvN//astC//aceA//ppsA//acs//hyaB//dgcC//acnB//lacZ//murI//wecC//phnI//mhpF//argE//thrS//rffC//ada//ruvA//sgbU//dkgA//deoC//epd//cadA//
NtrC_neg	hcp//paaG//
NtrC_pos	glgB//umpH//slt//chiA//citF//cynS//phr//gabD//aceE//mraY//dadA//iscS//metK//glpA//gatY//mdh//tehB//fruK//nrdE//ppiA//pagP//
OmpR_neg	tktB//napG//purH//dapB//nirB//
OmpR_pos	uvrB//puuB//lysU//citX//
OxyR_neg	preA//zwf//fabZ//cysN//ilvN//
OxyR_pos	sdhA//lacZ//moeA//torA//cysC//trpD//ftsI//nadA//tam//metE//sdaA//mhpA//
PaaX_neg	rutE//gltD//argB//mngB//hycC//folE//lldD//mhpE//lacZ//
PdeL_pos	fau//
PdhR_neg	fabH//hemH//nagA//paaC//malY//nagA//yedX//allD//ubiA//murC//ruvB//hycD//pncB//asnB//guaB//fadI//cysI//mltF//ndh//tdcG//paaB//nagA//sgbE//
PdhR_pos	ftnA//gloA//
PepA_neg	fabH//allB//
PgrR_neg	dgcC//dhaM//
PhoB_neg	glmS//phnJ//fadA//tyrA//lhgO//
PhoB_pos	ychF//aceF//ssuD//metE//pflB//ddlB//leuD//uxaA//paaG//pgi//nfsB//nrdA//argC//sdaA//malP//dhaM//deoD//
PhoP_neg	sufS//xdhA//pykF//
PhoP_pos	adhE//glpC//ychF//puuC//agp//araD//ydcS//gntK//ynfG//metB//bioA//pykF//citF//paaG//truB//waaY//fau//hcaD//rbsK//glnA//lpxC//hflX//nrdA//aroA//gcvP//pykF//argF//sucD//purC//glcE//mazG//
PrpR_neg	
PrpR_pos	malS//chbF//atoB//leuC//
PspF_neg	
PspF_pos	fabH//
PurR_neg	leuD//nanE//ilvN//deoD//glxR//caiA//hcaB//sdhC//galM//aceE//metL//fabI//tehB//cpdB//rffT//acs//rimK//murG//bioA//caiA//ubiX//murI//hchA//malS//sdaA//sgbE//
PutA_neg	glpX//fucK//
PuuR_neg	folE//ogt//dhaL//tdcB//leuB//phnG//
QseB_neg	
QseB_pos	
RbsR_neg	yedX//nadA//kbl//dhaK//murG//
RbsR_pos	sdhA//
RcdA_neg	
RcdA_pos	citD//
RclR_pos	
RcnR_neg	ssuE//
RcsAB_neg	mhpE//
RcsAB_pos	argH//bcsZ//
RcsB-BglJ_pos	ribA//poxB//
RcsB_neg	ftsI//
RcsB_pos	dgcC//putA//phnO//
RelB-RelE_neg	deoB//
RelB_neg	cueO//
RhaR_pos	
RhaS_pos	rpiB//cysI//purN//bioD//
Rob_neg	
Rob_pos	guaA//agp//rpiB//purH//gatD//hchA//murI//ynfH//relA//phnJ//serA//pdeF//narG//rffG//idnO//pdxA//prmC//paaC//fau//
RstA_neg	ynfF//prpE//
RstA_pos	fadM//
RtcR_pos	ribA//argG//
RutR_neg	nirD//dadA//trpA//paaI//fumA//cysD//pdeL//hypB//gltD//gltD//
RutR_pos	gnd//
SdiA_neg	
SdiA_pos	
SgrR_neg	kbl//
SgrR_pos	alkB//alaS//
SlyA_neg	
SlyA_pos	bioB//tdcE//hycG//metL//serC//leuD//pncB//atoD//truB//
SoxR_neg	
SoxR_pos	pdeF//
SoxS_neg	
SoxS_pos	metL//aroG//ulaF//kbaY//pgk//dusB//purD//eda//hemL//leuB//tdcE//hemL//glpK//pdxA//truB//nrfA//caiB//hyaC//xdhB//hcaE//nagB//glgC//xylB//hemH//ulaE//phnH//
SrlR_neg	mnmG//glpE//entB//
StpA_neg	glpB//sdhC//rhaD//
SutR_neg	uvrA//fadA//
SutR_pos	
TdcA_pos	pgpC//lpxA//phnM//fbaB//phnM//
TdcR_pos	queA//glxK//ulaF//moaD//ahpF//
TorR_neg	sdaA//
TorR_pos	bacA//hycE//glgA//mazG//
TreR_neg	dapD//prmC//
TrpR_neg	citX//aspC//hemF//hyaA//rtcB//rutA//rutC//glgX//nrdD//
TtdR_pos	rutC//aroA//
TyrR_neg	dgcN//sgbU//gltA//nemA//metB//nadC//gpmM//
TyrR_pos	hcaE//lsrG//lacZ//
UhpA_pos	wzc//
UidR_neg	glpB//mhpC//
UlaR_neg	hflX//sbcC//pheS//tauD//ldtC//
UvrY_pos	dadA//recF//
UxuR_neg	dmsC//paaA//ubiX//pdeF//murI//
XapR_pos	rutC//argI//
XylR_neg	
XylR_pos	ubiC//uxuB//fucO//
YdeO_neg	
YdeO_pos	entD//ilvE//ycjG//
YefM-YoeB_neg	lpxC//
YefM_neg	narG//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	torC//luxS//ycjG//lacA//wecB//malP//
YjjQ_neg	ldtB//metK//
YpdB_pos	
YqhC_pos	fau//purL//
YqjI_neg	glgC//
ZntR_pos	moeB//
ZraR_pos	
Zur_neg	preA//
