# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	tyrA//add//
CRP_pos	dmsB//murD//tdcB//ynfG//sodB//icd//nanA//phnH//astE//pheT//dgkA//sdhB//ftsI//argC//narG//allB//ascB//murQ//ubiG//aroF//murQ//hemA//rffC//lpxD//sgbE//puuA//rffM//ldtC//glgB//pdeL//truB//iscS//cmoM//leuB//cynS//ulaE//cpdB//hcaE//nrfA//dmsA//pspE//argA//atoB//mhpC//galT//rtcA//gltA//ddlB//glnA//gatZ//mhpE//ravA//cysM//prs//paaJ//mhpE//aldA//argA//cynT//codA//lpxA//hmp//wrbA//hflX//ygeA//gloA//sodB//cysD//lpxA//rsmH//aceE//metB//slt//paaI//glpA//yeaE//sodA//glpD//glpQ//citC//argF//sucD//murD//puuD//hemH//rsmA//allC//ilvB//purC//galM//glcD//mpl//relA//hyaA//murC//astA//ssuE//hemF//umuC//ddlB//yiaK//pgpC//ulaE//galT//alaA//hycC//leuD//hycB//tyrB//accC//chbF//sgbE//phr//fadD//pheS//purE//argG//truB//uvrB//nemA//nrdB//argF//frc//astB//gltB//paaY//malQ//ygeA//glcE//lpxD//katG//moeB//rutA//nrdF//betB//gatZ//dhaL//ybjG//serA//uxaC//xapA//cysG//pnp//add//glsA//queA//bioB//lacZ//melA//entA//moaC//nirD//nagB//glpB//astB//gatD//pncB//bioB//glmU//cysN//carA//uxuA//gudD//caiD//idnD//glcF//entC//asnA//bglB//garL//ubiA//dsdA//fadM//dsdA//cysM//araD//tdcB//bioA//deoA//atoD//aroA//ychF//hycC//dhaM//tynA//ulaF//lacZ//hcaC//lpxC//prmC//murE//gpmA//fruK//ldtB//grxA//garK//ruvA//puuB//phnN//ahpF//caiA//lsrF//dmsB//paaZ//paaZ//prmC//mhpD//adiA//fucK//fbaA//aroF//yqhD//tdh//metE//trmA//waaH//putA//gnd//amn//deoD//mhpB//argE//caiC//paaB//ccp//metF//galE//ldtB//gcl//ccp//glsA//gloA//nanE//leuB//entF//hypF//lysU//sucB//purK//deoC//atoD//dinB//ada//lysA//trpD//hcaD//add//ubiC//sbcD//
CadC_pos	lacA//dsdA//betA//
CaiF_pos	glyA//yqjH//entA//ygeA//yiaK//
Cbl_pos	treC//recD//pncB//yeaG//sgbU//
CdaR_pos	deoC//gnd//mpaA//fau//aroL//pnp//hycE//caiB//melA//
CecR_neg	ravA//
ChbR_neg	frdB//fau//xylA//
ChbR_pos	purL//paaY//moaC//
ComR_neg	
CpxR_neg	murI//phr//napB//
CpxR_pos	serA//pheS//melA//purN//fucA//preA//phnP//nrdD//ldtB//cpdB//mtlD//bacA//ampD//waaZ//mazG//rffG//wzb//ssuD//
Cra_neg	aroH//sdhA//ftnA//hycF//slt//amn//fadA//fucO//fadI//rhaB//gcl//polB//gudD//fruK//hycF//caiA//nadC//speC//ldtC//garK//lsrF//phnH//wzc//sdhC//ubiA//citX//fabH//garL//dgkA//puuA//hcaE//fbaB//glcD//gcl//relA//sodA//purC//metL//cheR//trpE//gor//rbsK//queA//epd//waaH//
Cra_pos	hycE//frc//tehB//gpsA//aceB//ackA//bcsB//acnB//aceB//dhaL//nrfC//rutC//fucU//tyrB//tdcG//nrfD//treC//
CreB_neg	acnA//
CreB_pos	pheS//
CsgD_neg	prpD//aroF//
CsgD_pos	nagB//phoA//pdxA//
CsiR_neg	ldtB//adeD//nanE//hcaB//
CspA_pos	metA//
CueR_neg	waaZ//wecC//metE//
CueR_pos	upp//mhpF//
CusR_pos	glpD//polB//nadC//xylB//
CynR_neg	
CynR_pos	hcaB//pdeL//ilvD//
CysB_neg	fumB//phnI//cysE//
CysB_pos	fes//lpxC//mhpB//nrfD//upp//citX//bacA//nanA//dkgA//ilvD//nrdF//purA//adiA//sgbU//
CytR_neg	nanA//gpmM//pgpC//fabA//idnK//gatZ//ssuE//hcaF//paaG//nrdA//
DcuR_pos	entB//cysD//dadX//grxA//
DeoR_neg	puuD//alaC//nfsA//dhaK//ilvA//nadB//
DhaR_neg	
DhaR_pos	wrbA//
DicA_neg	
DinJ-YafQ_neg	argE//
DnaA_neg	malZ//fadA//atoA//alkA//fadD//
DnaA_pos	puuE//entF//gadA//
DpiA_neg	
DpiA_pos	cynT//adhE//gcl//dapD//pfkA//
DsdC_neg	
DsdC_pos	cueO//mtlD//
EbgR_neg	
EnvR_neg	alkA//malY//
EnvY_pos	gpmA//citX//
EvgA_pos	gcl//alsE//alsE//nadC//gcd//ilvE//
ExuR_neg	lldD//entC//ogt//glcF//alaS//malY//
FNR_neg	hypB//adiA//lacZ//folA//betB//apaH//argE//trpD//dmsC//acnB//purM//hcaE//puuB//ruvB//ugpQ//fau//hchA//murQ//prpE//glmU//allB//dhaM//ubiG//prmC//aldB//aceF//ulaD//wzc//ychF//dhaM//purE//ruvB//purH//entH//psd//mltF//frc//ftnA//cheB//gabD//asnA//moaA//caiC//serA//
FNR_pos	rimK//adhE//lysA//preT//sbcD//argE//chiA//nrdD//nrfA//rfe//acs//dapB//rbsD//mdh//uidA//fadD//purD//pflB//umpH//ynfH//adeD//asnB//rbsD//poxB//leuD//gltA//hcaC//dmsC//prmC//prpC//betB//malQ//ilvH//cmoM//glgX//hyi//fumB//fadM//dkgA//frc//gabD//atoA//umuC//preA//purH//uvrC//nrdE//yeaE//yeaE//mpaA//lsrF//argC//rffG//nfsA//dhaM//frdC//mnmG//fucI//carB//alsE//xdhA//gpsA//paaC//leuB//tdcG//purB//cheB//mhpF//yfdE//alaS//galE//trmA//cysN//gudD//uxaC//ynfE//ynfG//bglB//pdeL//fucU//eda//napG//murI//ilvA//sdaA//purD//argB//rffC//yeaE//yeaG//ttdA//nadB//paaH//ppsA//lsrG//sgbU//
FabR_neg	phr//pncB//alaC//
FadR_neg	citF//grxA//hcaD//polB//bioF//rhaA//deoB//aldA//paaI//
FadR_pos	mnmG//uxuA//pgi//gpmM//ampD//dkgB//ychF//umpH//grxA//dapB//
FeaR_pos	mnmG//gcvP//
FhlA_pos	entB//hcaD//bacA//entE//glcF//hcaE//pykF//putA//
Fis_neg	pdeF//pgpC//purK//uvrC//gltX//nfsB//hycE//ttdA//gltD//alaC//hycC//mpaA//purA//yqjH//napA//nadB//lpxA//fadH//sdhB//ddlB//phnO//cadA//glmU//rutB//yfdE//eno//lsrG//asnB//mdh//gpsA//astC//ulaE//citE//betA//aldA//yedX//fumA//pgpC//fumC//purC//pheS//sdhC//atoD//argH//ilvN//ulaD//
Fis_pos	pgaC//uvrC//fabD//gloA//gltD//metA//atoA//ansB//bioC//malQ//pfkA//paaK//moaA//mpaA//rutA//betA//moeA//paaZ//araB//uxuA//tynA//ilvB//aceF//feaB//cysK//malY//sdhD//entF//chbG//allA//nrdE//napB//cyaA//glpX//nanM//uxuA//rbsD//
FlhDC_neg	ogt//tdcG//
FlhDC_pos	murC//citE//rffG//eno//mraY//allE//glmU//prs//purC//cysJ//luxS//patZ//
FliZ_neg	ttdA//narG//queA//icd//phnM//
FucR_pos	oxc//fucA//apaH//argC//adhE//metH//
Fur_neg	acnA//gabT//moaC//glgX//mhpD//araB//thrS//hcaC//nanA//paaY//fadJ//tauD//pdeH//accA//citG//glsA//pgaD//hcp//aspC//fadD//torA//uxuA//ilvM//dhaL//paaC//dhaL//caiC//ubiC//fadJ//hmp//cysJ//sbcD//lpxC//gltA//ynfE//aceF//ubiG//asnB//lacA//deoB//trmA//ppiA//phnH//folA//alkB//pagP//fes//lldD//tdcD//mraY//ahpF//mhpD//ascB//
Fur_pos	ftsI//pgaD//caiC//acnA//cueO//gloA//wzc//metK//folA//adeD//truB//dapB//asnB//glxR//prpD//glcD//
GadE-RcsB_pos	caiA//aldA//lpxC//ddlB//speB//
GadE_pos	polA//lpd//betB//glpB//yedX//lacZ//pspE//hcaB//uxaA//adiA//
GadW_neg	pagP//citD//rffT//
GadW_pos	gatY//gcvP//fumA//gltB//
GadX_neg	ttdA//atoB//
GadX_pos	pck//fumC//malZ//trpC//ldtD//uvrA//fes//glyA//bcsB//citD//hemL//
GalR_neg	pgk//sgbE//gatY//zwf//glxK//tam//
GalR_pos	ydcS//edd//deoD//mnmG//
GalS_neg	astA//lpxA//nanE//ilvD//paaB//paaC//
GalS_pos	phnG//prmC//rhaA//ulaG//
GatR_neg	alaA//pagP//hycF//
GcvA_neg	umuC//ttdB//gpsA//
GcvA_pos	fadA//lldD//aspA//
GlcC_neg	
GlcC_pos	prpB//torC//glpD//
GlpR_neg	avtA//ttdB//pgi//fabB//argB//nrdA//gnd//
GlrR_pos	
GntR_neg	tktB//atoD//rimK//ldtD//fadB//gatY//malP//glgB//tadA//
GutM_pos	lysC//ssuD//sgbH//
H-NS_neg	sufS//rffC//patZ//astE//sucA//aceA//dapD//frdA//rffM//fumC//accA//waaH//ulaG//astC//hcaD//hemH//rsmH//fbaA//folA//treC//napG//purC//ulaD//sodB//kbaY//caiD//fadM//leuA//uvrC//ldtC//ruvB//serA//fadE//ilvG_1//patA//paaE//napG//pgaC//ulaF//dacC//astA//pykF//glgP//alkB//yqjH//dmsC//ahpC//ugpQ//melA//ppsA//galM//
H-NS_pos	hyaC//cysM//metC//fabG//glpB//rhaB//astE//glnA//prs//cysD//dgcN//argI//dgkA//glmS//phnM//
HU_neg	leuD//allD//agp//deoB//glpE//acnA//mhpC//
HU_pos	
HcaR_neg	
HcaR_pos	srlD//entH//
HdfR_neg	
HdfR_pos	
HigA_neg	kbl//
HigB-HigA_neg	rutE//
HipAB_neg	puuE//uxuB//
HipB_neg	mhpE//adhE//tdcD//
HprR_neg	ahpF//adeD//
HprR_pos	psd//ynfF//
HyfR_pos	moaD//
HypT_neg	glsA//gudD//
HypT_pos	srkA//rffH//mpl//argB//argD//
IHF_neg	sdaA//paaY//araB//ttdA//poxB//ung//aceB//aroA//pgm//malP//nadB//torA//pgaD//murD//paaY//purC//adeD//gdhA//fabB//uxuA//dinB//paaK//pflB//rffG//dgcN//ascB//rffH//moeB//frdD//malP//rutB//phnL//ilvC//lpxC//cysN//cysH//speC//fau//phnN//yfdE//moaA//phnH//tyrA//
IHF_pos	hypF//tynA//idnD//entB//tauD//yfdE//treC//cynS//napG//xylA//paaA//frdC//fucU//dgkA//putA//argG//ubiX//guaB//mnmG//malY//gatD//metA//wecB//glyA//uxaB//fau//pflB//aceE//hcaF//malY//nadA//wecB//hemH//atoB//apaH//adhE//allB//kbl//codA//waaZ//tdcD//glpB//cysI//glcE//fabI//srkA//yqhD//xapA//fadB//gatD//pyrC//purA//rbsK//yedX//tdcB//frdA//preA//murE//patD//lpxC//bcsB//gcl//alaS//sdhC//ssuE//galT//rsmH//nemA//allB//hmp//prmC//
IclR_neg	sdaA//dmsA//idnD//
IdnR_neg	mltF//nanA//
IdnR_pos	uvrC//ccp//malZ//cysH//
IlvY_neg	
IlvY_pos	puuE//
IscR_neg	pykF//fbaA//dgkA//dgcC//iscS//garD//
IscR_pos	ldtB//pgaB//
KdgR_neg	ampD//glmU//
KdpE_pos	glcB//
LacI_neg	sgbU//metF//ubiX//
LeuO_neg	
LeuO_pos	glxR//fadE//pgaD//nanK//prmC//allA//
LexA_neg	ynfH//tyrB//metL//yqhD//gatZ//gntK//frdC//hycF//rffT//cysG//gcd//gdhA//astB//paaI//gadB//fabD//nanK//avtA//acnB//trpD//uxuB//ldtD//ubiA//
LldR_neg	aceA//cysH//
LldR_pos	putA//uidA//
LrhA_neg	
LrhA_pos	
Lrp_neg	sbcD//murD//rffG//glpK//argH//sucC//edd//fadA//sdhC//hypF//galK//glpC//purK//aceA//paaH//hcaF//acnA//asnB//argE//wzb//glk//cysD//murD//
Lrp_pos	nadC//folA//xapA//tam//aroA//dmsA//ynfE//ruvA//ynfE//dgcZ//luxS//cysM//rutA//frdD//ygeA//carB//uxuA//uxuA//umuC//cysC//
LsrR_neg	hycC//waaH//ftsI//udp//tynA//
LysR_neg	
LysR_pos	ldtC//
MalI_neg	nadC//hmp//
MalT_pos	sgbE//xapA//sucD//serA//purD//pyrC//
MarA_neg	oxc//
MarA_pos	rutC//sucC//fabD//ilvB//fes//serC//galT//mhpB//lsrF//metE//puuE//astD//codA//nrdF//glpX//cyaA//glgB//astC//mhpC//puuD//hcaB//dmsA//pepD//
MarR_neg	
MatA_neg	aldA//
MatA_pos	
MazE-MazF_neg	waaY//
MazE_neg	dmsC//
McbR_neg	
McbR_pos	
MelR_neg	tdh//trmA//
MelR_pos	serC//rffH//
MetJ_neg	nadA//gcvT//hyaB//deoA//hemA//icd//ppc//ilvI//dhaM//bioB//
MetR_neg	aldB//
MetR_pos	purF//tpiA//aceA//lsrK//
MhpR_pos	hyi//fadI//umuD//nrdB//dapD//uvrC//
Mlc_neg	acs//allB//gapA//paaF//
MlrA_pos	pgm//
MngR_neg	srlD//polA//
MntR_neg	deoA//
MntR_pos	pdeL//
ModE_neg	uxuB//adiA//purE//appA//nanM//iscS//pncB//ulaF//
ModE_pos	glmS//gudD//ccp//moaA//agp//araA//fbaB//aceF//alaS//
MprA_neg	speB//ahpF//gatY//
MqsA_neg	dhaK//hycD//
MraZ_neg	pgi//gcd//phnG//ulaD//glcE//fdhF//dhaL//grxA//bioF//mhpF//
MurR_neg	acnA//caiD//malP//
MurR_pos	
Nac_neg	cysI//malZ//pagP//
Nac_pos	pepD//cmoM//amn//mhpA//nrfD//purN//folE//argD//
NadR_neg	aroH//cysK//caiC//rutB//
NagC_neg	rpiB//entD//preT//accA//ahpF//bioB//folA//dmsC//dmsC//moaD//fumB//trpE//yeaG//purE//cheB//pyrD//poxB//purF//
NagC_pos	phnN//fabB//
NanR_neg	dapD//gabD//aspA//hycE//cysC//paaH//
NanR_pos	
NarL_neg	idnK//cdd//nrdF//dsdA//hypF//tdcB//yeaG//phnG//yeaG//ssuD//chiA//waaH//add//hcaC//prpE//dapD//dadA//hycF//recF//aceE//bioA//srkA//lysU//ubiC//chiA//paaA//ldtB//dmsB//
NarL_pos	waaY//rutB//fadA//mpl//sucC//trpA//glpQ//codA//lacZ//katE//icd//metB//gabD//fruK//mazG//
NarP_neg	guaA//aldB//purC//hycB//phnN//
NarP_pos	upp//purF//mnmG//aroH//fes//pagP//sgbH//aroL//pfkA//cynT//moeA//paaZ//udp//gatD//
NemR_neg	ygeA//atoD//
NhaR_pos	fbaA//phnM//tnaA//sdhC//purK//
NikR_neg	add//
NimR_neg	ttdA//
NorR_neg	
NorR_pos	ada//
NrdR_neg	citG//tauD//sdhB//prpB//
NsrR_neg	rhaD//galM//eno//napA//xapA//fucK//puuE//pdxA//rutE//lysC//nanK//glpB//rimK//aroA//relA//fumB//pykF//epd//cynT//ubiG//malY//hycD//ycjG//waaZ//truB//caiB//narG//trpE//ppsA//fadA//nrfA//rsmH//metC//truB//ynfF//glgB//glmU//gltX//avtA//pgm//
NtrC_neg	mtlD//recB//
NtrC_pos	trmD//katE//purK//ssuD//malQ//pgk//ilvH//gltB//epd//atoA//ahpF//murF//moeB//araA//metH//recF//codA//lpxA//ruvB//lsrF//truB//
OmpR_neg	tdcB//murF//dgcC//paaI//ogt//
OmpR_pos	adeD//rffT//hyi//argE//
OxyR_neg	aspC//slt//pdeL//astC//ssuD//
OxyR_pos	ynfE//speA//paaK//allA//caiB//lsrG//wzb//nrfC//nrdF//hyaA//melA//ilvC//
PaaX_neg	ynfE//gntK//luxS//aroL//tktB//ubiA//trmA//uxaA//ilvC//
PdeL_pos	paaI//
PdhR_neg	tyrB//araA//acnB//treC//psd//metC//lsrK//cysE//phnI//acs//glcD//glnA//hmp//caiD//metB//nfsA//ulaG//hycD//gpmM//slt//manA//folA//glxK//
PdhR_pos	dmsB//add//
PepA_neg	rffM//patD//
PgrR_neg	aroG//umuD//
PhoB_neg	paaJ//tyrB//sgbU//feaB//glpE//
PhoB_pos	argC//nrfD//moaC//argH//bioF//rhaD//lysC//araD//hyaA//nanE//nanE//glcF//adeD//frdA//kbaY//entA//ubiX//
PhoP_neg	waaH//waaY//pheS//
PhoP_pos	ydcS//purC//ruvA//ampC//ldtC//agp//glpQ//hmp//bcsZ//cmoM//gatZ//ppiA//nrfA//sucC//garR//gapA//uxaA//adiA//allC//aroH//lpxA//leuB//glpC//ahpC//pdeL//pheT//gatY//nrdE//yiaK//edd//entD//
PrpR_neg	
PrpR_pos	preA//ftsI//pgaC//serA//
PspF_neg	
PspF_pos	napA//
PurR_neg	lsrF//ynfF//rsmA//lldD//glgP//cysJ//glpX//metF//sdhB//galT//citX//sodA//recF//waaH//pdeH//cysC//fabD//aceB//mhpD//mpl//hycC//ldtC//murI//aldB//frc//ybjG//
PutA_neg	rffT//fucA//
PuuR_neg	gutQ//phr//epd//aspC//rpiB//fes//
QseB_neg	
QseB_pos	
RbsR_neg	ung//tehB//paaE//ldtB//argF//
RbsR_pos	glpQ//
RcdA_neg	
RcdA_pos	ilvE//
RclR_pos	
RcnR_neg	uxaA//
RcsAB_neg	tyrB//
RcsAB_pos	dkgB//tdcD//
RcsB-BglJ_pos	mhpE//luxS//
RcsB_neg	purN//
RcsB_pos	hcaD//ilvH//tktB//
RelB-RelE_neg	cyoE//
RelB_neg	glxR//
RhaR_pos	
RhaS_pos	phr//fruK//mhpA//wecE//
Rob_neg	
Rob_pos	nrfA//frdD//gadA//bioA//bioD//yiaK//wrbA//sucB//ycjG//astC//uidA//argF//yedX//waaH//murF//gnd//add//ogt//caiC//
RstA_neg	recD//phoA//
RstA_pos	pyrD//
RtcR_pos	murF//allD//
RutR_neg	ugpQ//pdxA//uxaA//sdhA//upp//aceB//leuD//tdcE//acnB//argF//
RutR_pos	truB//
SdiA_neg	
SdiA_pos	
SgrR_neg	dsdA//
SgrR_pos	astC//bioA//
SlyA_neg	
SlyA_pos	gutQ//metA//gadA//cyaA//nrdA//pyrC//trpC//purK//frc//
SoxR_neg	
SoxR_pos	sgbE//
SoxS_neg	
SoxS_pos	pdeF//cysN//codA//cheR//hcp//serC//metA//lpxC//ilvD//phoA//ttdA//argF//gor//deoB//aspC//garK//mhpC//aldA//ahpC//hemH//frdC//trpA//sdhB//prpE//uvrC//atoA//
SrlR_neg	cynS//cyaA//pgaD//
StpA_neg	xdhB//nrfD//glgP//
SutR_neg	aceB//ppsA//
SutR_pos	
TdcA_pos	nanM//ahpC//rutA//glxR//leuC//
TdcR_pos	frc//rbsD//malY//sucA//citE//
TorR_neg	fucK//
TorR_pos	tauD//betB//rhaD//fadD//
TreR_neg	hypF//sucB//
TrpR_neg	cysN//patD//cyoE//entC//ung//recD//moaA//patZ//rutE//
TtdR_pos	rutA//luxS//
TyrR_neg	sbcC//fabA//phr//nrdE//deoA//ravA//napA//
TyrR_pos	ssuE//fadA//argD//
UhpA_pos	ybjG//
UidR_neg	nrdB//phnM//
UlaR_neg	alkA//fabH//hyaB//fadM//tynA//
UvrY_pos	cheR//paaF//
UxuR_neg	icd//lacZ//pncB//uxuB//dadA//
XapR_pos	lacA//fes//
XylR_neg	
XylR_pos	glcD//hyaA//mhpE//
YdeO_neg	
YdeO_pos	ynfF//bcsB//mtlD//
YefM-YoeB_neg	glmS//
YefM_neg	cysK//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	hycD//phnG//cmoM//gatY//cysI//tdcG//
YjjQ_neg	rutC//gabT//
YpdB_pos	
YqhC_pos	gcl//entA//
YqjI_neg	tam//
ZntR_pos	cheB//
ZraR_pos	
Zur_neg	agp//
