# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	fucU//gcl//
GutM_pos	phnO//nrdD//hycG//
H-NS_neg	araD//entC//nanA//wecE//purM//putA//waaY//caiD//uxaB//nadB//allD//ada//tktB//purN//nrfD//metF//asnA//cysM//ppc//paaB//gatY//argB//murD//ldtB//gabD//hemH//mhpD//lhgO//hpt//glpA//bioD//malP//murI//gutQ//fadI//lldD//idnK//aceB//serC//ftsI//asnB//uvrC//malZ//ppiA//waaH//rffM//ulaF//ftsI//glpQ//hemH//sdhC//
H-NS_pos	purB//paaA//glmU//fruK//umpH//murC//codA//pyrC//hemH//hemH//pnp//gatY//mhpD//amn//lldD//
HU_neg	narG//agp//purD//dkgB//pepD//napG//uidA//
HU_pos	
HcaR_neg	
HcaR_pos	gltX//fumC//
HdfR_neg	
HdfR_pos	
HigA_neg	gltA//
HigB-HigA_neg	rtcB//
HipAB_neg	phnI//gltX//
HipB_neg	purN//entC//agp//
HprR_neg	ndh//puuC//
HprR_pos	tdcG//gutQ//
HyfR_pos	ppsA//
HypT_neg	glyA//napA//
HypT_pos	glgC//purB//paaE//manA//paaK//
IHF_neg	moaC//aldB//ilvH//idnD//lsrF//aldB//ttdB//bglB//gpmM//ulaG//waaZ//fucK//mpaA//acnB//alaS//putA//ydcS//prpD//phnM//fucK//paaE//fabZ//gcl//caiB//fdhF//glnA//pgi//sdaA//rhaA//purK//glpK//fabG//hchA//citE//patA//glpX//folE//wzb//allD//argH//xdhA//yqhD//garD//
IHF_pos	mhpF//nagB//adeD//gatZ//glgB//mhpC//chbF//rutD//yfdE//pgpC//prpB//betB//cmoM//dadA//frdD//relA//trpA//mhpF//accD//lacA//narH//aspA//ppiA//napH//lldD//cysD//ilvI//fumB//gnd//xdhC//entE//trpC//entB//bioC//rtcA//speA//glpK//entE//rhaA//sucB//ndh//arsC//arsC//galT//fadM//avtA//idnO//mltF//guaB//serA//nanM//ahpC//cueO//ygeA//pdxA//uxuA//pdeR//sdhD//cysM//xdhC//malY//ndh//rimK//cysC//murI//nirB//aroH//hemH//fucU//uidA//pyrD//
IclR_neg	kbaZ//cyaA//narG//
IdnR_neg	murG//gpmM//
IdnR_pos	ndh//nfsB//patZ//glsA//
IlvY_neg	
IlvY_pos	mhpE//
IscR_neg	gpmA//mtlD//gdhA//gapA//dgkA//sucD//
IscR_pos	cueO//phr//
KdgR_neg	fes//glpD//
KdpE_pos	aroG//
LacI_neg	prpD//rtcB//hflX//
LeuO_neg	
LeuO_pos	purF//sdhD//pfkA//citG//xdhB//sodA//
LexA_neg	add//ddlB//patD//glcE//lsrG//mhpE//paaB//phoA//fumC//cysC//dusB//hflX//glpC//cysC//pyrC//sgbE//acnB//yfdE//puuD//purF//garL//pdeH//astA//
LldR_neg	purC//idnK//
LldR_pos	fucA//talA//
LrhA_neg	
LrhA_pos	
Lrp_neg	dadX//ilvI//cysC//galK//puuB//gcvT//narI//fabG//adeD//dhaL//glsA//nadB//pykF//murI//fumC//caiB//chiA//chiA//frdA//cpdB//mdh//pdeL//ttdB//
Lrp_pos	relA//mngB//pfkA//nanK//metK//sucD//chbF//glpB//recD//phnL//ssuE//wrbA//acs//pflB//dgcC//malY//lsrK//srkA//yeaG//ssuD//
LsrR_neg	rutD//leuB//pepD//nirB//cueO//
LysR_neg	
LysR_pos	cyoE//
MalI_neg	gntK//ynfE//
MalT_pos	chbF//rbsK//acnB//grxA//betB//ilvM//
MarA_neg	gcvT//
MarA_pos	cynS//ldtB//gapA//phnN//rhaD//nagB//nadB//accD//uxuB//uxuA//chbF//bcsZ//glpC//guaA//ynfG//nfsB//fucU//nadB//rffM//recF//nanM//nrdE//ynfF//
MarR_neg	
MatA_neg	zwf//
MatA_pos	
MazE-MazF_neg	napG//
MazE_neg	napG//
McbR_neg	
McbR_pos	
MelR_neg	leuD//purB//
MelR_pos	glmS//glpB//
MetJ_neg	prmC//nanK//leuA//garR//rffH//ldtD//ldtB//rhaB//cyoE//lysA//
MetR_neg	pdeF//
MetR_pos	tadA//tdcG//uvrB//phnP//
MhpR_pos	yqhD//aldB//hycB//glcD//lacA//accA//
Mlc_neg	glpC//astD//argF//betA//
MlrA_pos	gpsA//
MngR_neg	thrS//aroA//
MntR_neg	uvrB//
MntR_pos	pgm//
ModE_neg	waaZ//cysE//hcaF//recB//cadA//ndh//grxA//sodA//
ModE_pos	purL//nirD//gcl//aspA//feaB//lsrG//avtA//gltD//eda//
MprA_neg	rutD//argF//ppsA//
MqsA_neg	fadA//fbaA//
MraZ_neg	carA//gcd//citX//pgi//trmD//xylB//fabD//hcaE//ynfF//hemF//
MurR_neg	glgC//betB//phnN//
MurR_pos	
Nac_neg	speA//chbG//rimK//
Nac_pos	hmp//gapA//ftnA//glpK//mltF//hemH//melA//cyoE//
NadR_neg	ilvB//astA//gloA//phnI//
NagC_neg	purE//psd//xdhA//garD//gor//gudD//purH//entC//adeD//fucA//tdcE//lyxK//sdhD//moeA//ldtB//citX//asnA//hemA//
NagC_pos	ygeA//katG//
NanR_neg	accC//ynfF//murC//aspC//uxuB//purM//
NanR_pos	
NarL_neg	yeaE//dkgB//ahpF//tnaA//aldA//xdhC//cynS//psd//uvrB//argB//recF//hemH//speA//pykF//bioC//kbaZ//amn//luxS//alaS//napH//leuD//tdcD//uxaA//nanE//tyrA//deoB//astB//ycjG//
NarL_pos	aceA//argD//fumA//glyA//cysC//uxuB//ung//paaB//sgbE//dmsB//puuD//araA//ssuE//add//gnd//
NarP_neg	nrdE//gatY//metH//fabB//uvrB//
NarP_pos	glcB//sgbU//cysD//tktB//gudD//kbaZ//idnO//umuD//umpH//ydcS//bioB//glpC//mazG//cysM//
NemR_neg	nanM//murF//
NhaR_pos	entA//dinB//bioB//accA//sdhD//
NikR_neg	phnI//
NimR_neg	fucI//
NorR_neg	
NorR_pos	frdD//
NrdR_neg	icd//fes//upp//mltF//
NsrR_neg	amiA//rffT//dapB//chbF//ilvD//aldA//xylA//galK//tpiA//galM//citD//dmsB//pgi//mdh//araD//acs//bacA//katG//citC//ackA//ulaE//agp//cysC//ssuE//sdhC//gltB//hyaB//fadI//glgC//aspC//rtcA//ubiG//leuB//metA//nadA//kbaY//pfkA//recD//lacA//ygeA//
NtrC_neg	lsrG//entB//
NtrC_pos	metH//hypF//xapA//paaI//hflX//aldB//luxS//astB//fucO//murI//deoC//lpxC//fes//metL//nrdE//mhpD//preT//thrS//fadA//glpE//alkB//
OmpR_neg	fbaA//trpC//nadB//caiD//nrdF//
OmpR_pos	cyaA//bioC//ubiG//tdcE//
OxyR_neg	accC//hcaE//codA//lacA//hcaB//
OxyR_pos	dinB//patD//speC//bglB//paaF//adeD//phnG//fadI//glpE//gcvP//hcaE//cyaA//
PaaX_neg	alaS//tyrA//tyrA//ldtC//pgm//fumB//glsA//cheB//bioC//
PdeL_pos	nrfA//
PdhR_neg	ddlB//rbsK//gadA//trpA//sbcC//wecC//glpX//nrdA//murD//uxuA//xdhC//ychF//ampC//glpB//uxaC//glyA//cysG//nemA//glpB//phnI//tdh//caiA//ilvN//
PdhR_pos	astC//hycE//
PepA_neg	cynT//grxA//
PgrR_neg	dkgA//prpB//
PhoB_neg	alaC//cdd//cysC//garD//srkA//
PhoB_pos	fadI//glgC//bioA//paaH//xylA//glpK//glgP//gltX//glcF//pepD//murC//dkgA//malY//astC//adiA//accD//dapD//
PhoP_neg	asnB//cheB//pdeL//
PhoP_pos	idnK//narG//mpaA//cadA//pheT//rutE//galT//rutC//cysK//paaH//ccp//asnB//frdB//prs//glgB//ilvN//speA//fabH//fbaB//carA//ampC//mraY//fabI//pnp//tdcE//grxA//xdhA//allE//argI//astD//leuC//
PrpR_neg	
PrpR_pos	cynS//putA//metH//phnN//
PspF_neg	
PspF_pos	relA//
PurR_neg	moaC//ynfE//ybjG//mdh//srkA//add//yqjH//deoA//dmsB//galK//phnJ//ilvI//leuD//ppiA//glk//cheB//dkgA//pgi//ndh//manA//tyrA//umuC//purM//ynfH//cynT//bioF//
PutA_neg	chbG//pfkA//
PuuR_neg	nrdF//sodA//argF//adhE//hycD//speC//
QseB_neg	
QseB_pos	
RbsR_neg	metE//tdh//araA//ruvB//garD//
RbsR_pos	rffM//
RcdA_neg	
RcdA_pos	rutA//
RclR_pos	
RcnR_neg	serC//
RcsAB_neg	sucA//
RcsAB_pos	truB//xylB//
RcsB-BglJ_pos	udp//udp//
RcsB_neg	lacA//
RcsB_pos	paaZ//wecB//mltF//
RelB-RelE_neg	add//
RelB_neg	gntK//
RhaR_pos	
RhaS_pos	paaE//galK//argF//napB//
Rob_neg	
Rob_pos	mazG//nrfD//adiA//icd//speA//carA//dgcC//mazG//dgcZ//sodB//astB//avtA//nagB//glpE//sdhC//prmC//ldtD//xdhB//paaI//
RstA_neg	aspA//katG//
RstA_pos	umpH//
RtcR_pos	nrfC//nadC//
RutR_neg	gltB//nanM//lsrF//rffG//polA//ppsA//adhE//glk//tyrA//caiA//
RutR_pos	hchA//
SdiA_neg	
SdiA_pos	
SgrR_neg	lsrF//
SgrR_pos	rutC//rffH//
SlyA_neg	
SlyA_pos	ynfE//dadA//ruvB//glgP//cynS//puuB//adhE//patD//ulaD//
SoxR_neg	
SoxR_pos	fadM//
SoxS_neg	
SoxS_pos	ulaE//gor//fumA//umuD//malQ//cysJ//pdeR//poxB//putA//xdhB//pykF//atoB//glmU//paaE//glcD//metE//glgA//fdhF//ldtC//entC//frdA//tpiA//preA//rtcA//gdhA//mhpE//
SrlR_neg	glxK//paaY//mnmG//
StpA_neg	sbcD//ftsI//gcvT//
SutR_neg	dgcN//nadC//
SutR_pos	
TdcA_pos	lacZ//caiC//pepD//ilvA//cadA//
TdcR_pos	gcvP//hycF//ansB//ybjG//bioF//
TorR_neg	phnG//
TorR_pos	ulaG//fucA//nadC//mhpA//
TreR_neg	purF//glxK//
TrpR_neg	aspA//dgcC//phoA//glpE//astC//glgX//hcaB//polA//nirD//
TtdR_pos	cysJ//ppc//
TyrR_neg	dusB//puuC//ftnA//gnd//sgbU//gatY//glmU//
TyrR_pos	bcsZ//dmsB//glk//
UhpA_pos	mhpE//
UidR_neg	mhpE//fucA//
UlaR_neg	ilvI//torC//moaE//aldA//gcvH//
UvrY_pos	dmsC//wecC//
UxuR_neg	amn//prs//rfe//tpiA//mhpC//
XapR_pos	allE//hflX//
XylR_neg	
XylR_pos	pgpC//purB//accC//
YdeO_neg	
YdeO_pos	aceA//cysH//wecC//
YefM-YoeB_neg	ubiG//
YefM_neg	mraY//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	puuE//deoB//ruvB//trpC//wecC//dinB//
YjjQ_neg	aspA//prpB//
YpdB_pos	
YqhC_pos	tyrA//ldtC//
YqjI_neg	dhaL//
ZntR_pos	hchA//
ZraR_pos	
Zur_neg	ygeA//
