# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	rffT//uidA//
AtoC_pos	fabB//fabH//entA//
BCCP_neg	mpaA//
BaeR_pos	ychF//ttdB//
BasR_neg	slt//
BasR_pos	ribA//hycE//
BetI_neg	chiA//argA//napH//
BirA_neg	argG//aroL//aroA//gltD//ynfH//
BluR_neg	
BolA_neg	citE//phoA//
BolA_pos	srkA//glcD//
BtsR_pos	ribA//
CRP_neg	yqhD//ugpQ//fumC//sufS//patD//glpK//citF//pykF//metB//nrdA//lysA//pdeL//umpH//aroG//cysD//pck//adhE//glpC//hycE//rutD//preT//preA//nadB//asnB//hycE//fumC//trpA//garD//hycF//sbcD//hcaF//lpxC//glcE//mhpC//ravA//alaC//pdxA//guaB//tdh//ampD//pflB//tyrA//rsmH//lysC//rutD//cheR//aceE//cysK//truB//ubiA//add//sdhB//sucA//citX//fbaB//cysN//garL//murE//fabA//astC//bioD//uvrC//mnmG//purN//truB//pepD//hcaE//aspA//fumC//metB//oxc//
CRP_pos	rsmH//mpl//garR//gltD//lsrG//lpxD//amn//wzc//glcF//recD//allA//polA//rffT//fau//frdD//entA//narI//caiB//accD//hcaC//agp//asnA//sodA//codA//ynfG//betA//hcaE//cysG//ilvN//uxaA//nadC//fabB//udp//gnd//lpxC//ascB//araD//entF//srlD//nanM//ahpF//waaY//ynfF//moaD//cyaA//nrdA//fabD//sdhA//pgaC//nrfC//cyoE//frc//frc//kbaY//citX//gcvT//gabD//malZ//adhE//gabD//grxA//chiA//ugpQ//glpK//ccp//sgbU//entC//gatY//prpE//acnA//kbaZ//fabD//adhE//umpH//allC//dadX//cynS//yeaG//purF//glyA//chbF//chbG//ilvM//napG//cueO//nfsA//murC//trpE//purA//trpB//ftnA//ppsA//dmsA//nirB//uvrC//glk//hemF//ilvC//patD//alkB//uxuA//uxuA//yfdE//fadE//sodB//ttdA//pgk//polA//rtcA//glpB//aroA//gcvP//kbaY//moeB//phnM//dhaM//fadB//prpB//argI//lsrF//yeaG//xylB//allE//lpxD//paaB//dadA//citC//puuB//leuD//patD//gcvP//serC//leuA//aspC//yfdE//glnA//codA//glyA//hemF//sgbU//katE//accA//gcvH//pflB//dadX//ldtB//glpE//fbaB//rbsK//glpC//putA//mtlD//caiB//gatY//gadB//narH//edd//add//dmsC//fabG//trpB//rutE//nrdA//sdhA//hemF//lacZ//aroA//icd//ung//rffG//eno//leuB//poxB//nemA//argH//fadB//speC//nagA//gatZ//apaH//fumC//alaA//gudD//lsrG//narG//cysN//mdh//malS//pdeH//puuC//preT//dadA//ugpQ//fadD//ttdA//fucU//queA//yqjH//deoD//nrdF//tdcB//ldtC//phnJ//metH//truB//ansB//aceB//glpE//nrfC//zwf//nrfD//glcE//nrfA//galM//caiA//gltB//dapD//xapA//patD//entH//rhaB//ulaD//dkgA//sucD//ubiC//carB//rffT//dkgA//fadB//rhaD//sgbE//srkA//ugpQ//ugpQ//polB//thrS//gadA//allD//paaC//icd//ackA//bcsZ//kbaZ//phr//lysU//ubiX//yeaG//cynS//metC//
CadC_pos	mpl//prpB//fadM//
CaiF_pos	sucB//ahpF//fes//lldD//tdcD//
Cbl_pos	paaH//tpiA//mdh//accC//leuD//
CdaR_pos	phnM//idnO//garD//mhpC//metB//serA//idnO//rsmA//trpD//
CecR_neg	purM//
ChbR_neg	glcB//gloA//ahpC//
ChbR_pos	glgP//fabI//acnB//
ComR_neg	
CpxR_neg	cueO//nadB//astE//
CpxR_pos	argE//deoB//metF//metF//fabH//katE//rtcB//mnmG//adhE//glpC//ydcS//lacZ//katG//argI//ulaG//rffM//pheT//pheS//
Cra_neg	ubiG//tdcB//edd//gatY//murI//hcaC//kbl//glxR//sdhA//metH//moaE//rfe//glgA//metL//entD//rtcB//dmsC//agp//gltA//cdd//purD//caiD//rutB//tehB//prpD//nagB//purK//phnO//dmsC//fau//ssuE//folA//phoA//yedX//narG//aldA//moaC//hycC//glk//luxS//folA//ynfF//rffH//adhE//gabD//
Cra_pos	purA//paaJ//queA//fabZ//uvrB//rsmH//lysC//glpQ//guaB//argA//dgcC//alkA//cysC//appA//metL//ascB//udp//
CreB_neg	napH//
CreB_pos	amn//
CsgD_neg	pgaC//gatY//
CsgD_pos	argD//mltF//glk//
CsiR_neg	ravA//phoA//mtlD//yeaG//
CspA_pos	hypF//
CueR_neg	accC//wzb//allE//
CueR_pos	truB//polB//
CusR_pos	nanA//mltF//cysJ//dgcC//
CynR_neg	
CynR_pos	mtlD//fabZ//glcB//
CysB_neg	glk//polA//fadD//
CysB_pos	ynfH//sucC//alkA//uxuB//hycG//acnB//polA//citC//mpaA//ada//purB//mhpF//paaC//ugpQ//
CytR_neg	rutE//glsA//glcF//nrdA//hcp//fabZ//yeaG//bioF//fadA//hycE//
DcuR_pos	ynfG//ilvG_1//hycD//mhpA//
DeoR_neg	alaA//malQ//phnP//cpdB//alaS//hpt//
DhaR_neg	
DhaR_pos	acnB//
DicA_neg	
DinJ-YafQ_neg	araD//
DnaA_neg	uxuB//ldtB//aldA//purE//waaZ//
DnaA_pos	ulaG//mhpF//gloA//
DpiA_neg	
DpiA_pos	ilvI//dmsB//folA//gadA//ilvB//
DsdC_neg	
DsdC_pos	wzb//xdhA//
EbgR_neg	
EnvR_neg	narG//uvrA//
EnvY_pos	truB//glxR//
EvgA_pos	fadE//fabA//ulaE//rutD//fruK//murD//
ExuR_neg	recB//epd//glpK//dgcN//tam//astE//
FNR_neg	cdd//dkgA//paaZ//gloA//uvrA//citD//pgaC//glsA//fadD//garR//ybjG//lysC//pgk//waaH//ftnA//adiA//gapA//fabG//pgaD//phnP//fucU//pspE//rpiB//yeaE//citX//pykF//speC//grxA//ahpF//hemL//leuA//gcvH//rbsD//pyrC//tdcD//metF//fdhF//gatY//prpC//purC//deoC//lhgO//tdcD//dmsC//
FNR_pos	ssuD//prpD//tynA//aroA//mnmG//moeA//uidA//fumB//rffH//purB//pheS//napB//wzc//lsrF//yiaK//yeaG//gatZ//pyrC//ahpC//purM//phnH//murG//cysK//aroF//lpxC//fabD//poxB//nrfC//nanE//tdcB//sdhC//puuA//nanA//kbl//srkA//pyrD//cheR//relA//dinB//glpX//hcaC//yqjH//speB//pgm//paaH//aroL//argF//gudD//prmC//sodA//galK//hemA//dmsC//glpA//hpt//ppiA//allA//tauD//puuD//trpA//bioA//hyaB//ulaD//murC//ppsA//paaY//hcaE//recF//nagB//cynS//xylA//pdeR//prpE//rbsD//ravA//deoB//mhpA//gabT//uxuB//srkA//cyaA//aldA//hyi//add//glpE//gudD//phnP//gnd//lyxK//nagA//fumA//moaA//argD//fbaB//dhaM//purE//
FabR_neg	glmS//pdeR//sbcC//
FadR_neg	fabG//ddlB//nadB//sdhA//trpB//kbaY//nadC//dsdA//argF//
FadR_pos	lpd//edd//glpB//chiA//hchA//fabD//lysA//gatD//eno//prpD//
FeaR_pos	ilvB//puuB//
FhlA_pos	katE//pdeL//aceE//tehB//wecC//sdhA//ppc//fadJ//
Fis_neg	moaC//luxS//ilvE//argH//ilvD//rtcB//bioD//accA//purA//dadX//ldtB//lacA//puuA//ilvH//malQ//srkA//lpd//entF//umuC//metK//ulaD//cynS//paaF//murI//phnO//accC//garK//argE//moeA//pepD//phnN//hyaB//glgX//ulaD//rpiB//wzb//ilvN//purA//hypF//recB//murE//fadH//rtcB//glcE//mltF//rutE//
Fis_pos	dmsC//phnP//accC//deoC//deoD//napH//caiB//psd//paaJ//cynT//napA//hflX//dhaK//bcsB//frdC//purH//frdD//rffC//purH//metK//torA//gor//hchA//mpl//xapA//aspC//bacA//aceA//pfkA//lpxC//hycG//edd//ddlB//rfe//agp//paaI//idnO//
FlhDC_neg	folE//deoD//
FlhDC_pos	entH//rpiB//mhpA//cpdB//torC//aroG//gpmM//glsA//asnB//nanE//ulaF//cysE//
FliZ_neg	umuD//agp//gloA//hycC//dgcZ//
FucR_pos	gcvP//deoB//nemA//phnN//torC//xylB//
Fur_neg	sdhA//bioC//carB//phnJ//gltA//torA//nagB//atoD//nrdD//fucU//dapB//napA//ldtC//hcaC//polB//melA//treC//alaA//nanK//hemA//prmC//allB//amiA//tdcE//gatY//iscS//kbl//glmS//rhaD//yiaK//slt//puuD//psd//fadM//folA//sufS//torC//hycB//astD//hyi//nfsA//tnaA//dapB//purE//glpB//lysC//yedX//sbcC//glgX//paaC//dmsC//chiA//glpE//
Fur_pos	amn//purE//fabZ//sucC//udp//gltA//pykF//aroH//nrfA//sbcC//carB//fruK//psd//yqhD//hyaC//uxaB//
GadE-RcsB_pos	lpxD//amn//ybjG//dapD//allC//
GadE_pos	puuA//idnD//hemA//fbaB//prpE//metC//mhpB//astA//puuB//alsE//
GadW_neg	metE//hpt//rnpB//
GadW_pos	tam//tdcE//allC//allD//
GadX_neg	nrfD//entF//
GadX_pos	sgbH//mpaA//phnL//napG//acs//ygeA//entB//phnL//gor//deoB//bcsB//
GalR_neg	fadD//rbsK//phnP//manA//rhaA//paaG//
GalR_pos	paaH//preT//mltF//bglB//
GalS_neg	hycG//umpH//appA//argI//ubiA//cyoE//
GalS_pos	alsE//ahpF//asnB//folE//
GatR_neg	prmC//xdhC//glcB//
GcvA_neg	nrfD//patZ//entE//
GcvA_pos	tktB//nadC//pykF//
GlcC_neg	
GlcC_pos	nanE//katE//leuC//
GlpR_neg	yeaG//mhpB//garL//pdeF//astC//rhaD//ldtB//
GlrR_pos	
GntR_neg	ychF//ndh//dgkA//alaC//bioA//pgaB//truB//ampD//edd//
GutM_pos	chbG//cysN//ulaG//
H-NS_neg	nemA//cadA//moaD//recD//hcaD//ftnA//glpK//allB//rhaA//ychF//psd//ampC//ttdA//adhE//gabD//glgP//glpE//prs//pfkA//nirB//dgcN//hmp//ddlB//glk//rutA//uvrA//ruvA//arsC//fumA//folE//murD//fabI//pfkA//fumB//glgC//moaA//gcvH//mhpE//nanM//hycF//hycB//nfsA//moaD//pgaC//moeA//hchA//nagB//mhpD//sgbE//moaD//trpB//
H-NS_pos	pnp//dgcC//puuC//hcaF//metC//entH//hemF//galE//ynfG//cmoM//ycjG//pdxA//kbaZ//umuC//ccp//
HU_neg	fabA//cyaA//ynfG//alkB//rffT//metL//pspE//
HU_pos	
HcaR_neg	
HcaR_pos	rpiB//bioD//
HdfR_neg	
HdfR_pos	
HigA_neg	allD//
HigB-HigA_neg	glgP//
HipAB_neg	caiB//mraY//
HipB_neg	mhpD//tdcE//malY//
HprR_neg	nadB//allB//
HprR_pos	metF//glpD//
HyfR_pos	astE//
HypT_neg	phnP//pgaD//
HypT_pos	glgX//moeA//argF//ndh//nrdE//
IHF_neg	tdh//fabH//lldD//rsmH//moeB//ttdA//agp//purC//waaH//fumB//adhE//ldtB//nirB//leuD//argE//bcsB//dmsA//paaC//sgbE//argH//nrfC//purH//rhaB//entD//codA//nanM//purE//trpB//gcd//ynfE//chiA//dusB//mhpF//frdA//rffM//fes//dkgB//citG//ubiG//nfsB//dadX//frc//rhaA//
IHF_pos	gpsA//hypB//glcF//ilvI//astB//trpB//ftnA//nanK//metL//argC//sucC//wrbA//uxaB//treC//accD//leuC//argI//dgcC//pdeF//sdaA//metA//aspA//nrdD//gudD//uxaC//ubiG//hyaA//codA//mngB//glyA//nirD//purB//phoA//alsE//hflX//purB//srlD//tauD//mpl//sbcD//bcsZ//polB//cysM//caiC//gcvH//hyaC//ttdA//ampC//paaI//uxaB//ppc//ulaF//murD//yeaE//fumB//lysC//phnH//metF//preT//paaE//cysC//frc//pgaD//mltF//napB//pagP//mngB//mltF//aceE//argG//purC//
IclR_neg	rhaA//napA//mngB//
IdnR_neg	entB//prpC//
IdnR_pos	trmA//ydcS//ada//entH//
IlvY_neg	
IlvY_pos	psd//
IscR_neg	gltB//paaI//galM//trpB//argD//fes//
IscR_pos	phnI//metE//
KdgR_neg	hyaC//ndh//
KdpE_pos	hpt//
LacI_neg	cynT//puuD//ppsA//
LeuO_neg	
LeuO_pos	dgkA//dadX//treC//lysA//hycE//murF//
LexA_neg	sbcC//puuA//mazG//ldtC//tdcE//eda//glxR//uxuA//dsdA//alkA//murE//preT//fabZ//moaD//eda//nrdB//mhpE//paaF//codA//appA//acs//ilvE//narI//
LldR_neg	rtcA//lldD//
LldR_pos	bioD//cysD//
LrhA_neg	
LrhA_pos	
Lrp_neg	mdh//xdhA//paaZ//purB//glmU//polB//mhpA//recF//gor//ampC//purF//nirB//fumC//cysH//citC//gpmA//bioC//phnM//dhaL//argG//xylB//aceA//katE//
Lrp_pos	iscS//carB//amn//dhaM//hcaF//paaI//ilvH//nfsB//moaD//bacA//aceB//nirD//fbaA//paaC//fumC//hflX//iscS//fadB//codA//mpaA//
LsrR_neg	hemF//glpB//dmsA//mpl//argF//
LysR_neg	
LysR_pos	cyoE//
MalI_neg	gutQ//sodB//
MalT_pos	rutB//lpxD//paaI//ndh//sodA//dkgB//
MarA_neg	fes//
MarA_pos	nrfD//patZ//cysN//yfdE//sbcD//purK//pgaC//chiA//fabB//gatD//grxA//ldtB//ulaG//malQ//glgP//purF//phr//alsE//rutE//rnpB//gadA//atoB//upp//
MarR_neg	
MatA_neg	narH//
MatA_pos	
MazE-MazF_neg	metC//
MazE_neg	paaI//
McbR_neg	
McbR_pos	
MelR_neg	adhE//lsrK//
MelR_pos	garK//frdA//
MetJ_neg	relA//waaZ//tyrB//patD//sucA//pflB//purK//gpmM//paaG//murQ//
MetR_neg	ulaG//
MetR_pos	purN//argB//fucK//murQ//
MhpR_pos	lysC//metE//srlD//ribA//hyi//prpE//
Mlc_neg	astC//purM//alaA//xdhC//
MlrA_pos	tam//
MngR_neg	carB//trpE//
MntR_neg	ilvH//
MntR_pos	frdA//
ModE_neg	pgi//murG//hcaB//alaS//fbaA//napB//fabB//luxS//
ModE_pos	ung//guaB//pgi//leuA//sdhD//trpE//sufS//alaA//relA//
MprA_neg	citX//melA//purB//
MqsA_neg	yeaG//entF//
MraZ_neg	mhpF//gloA//fucI//yqhD//agp//nrdA//frdB//allD//rutE//pspE//
MurR_neg	atoB//gltB//lhgO//
MurR_pos	
Nac_neg	rutC//ruvB//appA//
Nac_pos	fumB//murE//treC//moaE//waaZ//glpE//lysU//malY//
NadR_neg	ppsA//hycF//yedX//argI//
NagC_neg	glk//wecC//pncB//wrbA//dinB//hycD//xapA//metA//aldB//wrbA//deoA//mhpE//dadX//deoD//fumB//lpxD//dhaM//pgi//
NagC_pos	trmD//fbaB//
NanR_neg	glyA//dacC//uxuB//gpmM//glyA//glpA//
NanR_pos	
NarL_neg	agp//galT//pdeH//polA//rffH//kbaY//katG//srkA//gcl//rtcB//gntK//tdcD//speA//lpxC//trmD//phnO//cysI//yfdE//sodA//pncB//trpA//bioB//paaK//cheB//speA//glcF//glpC//astA//
NarL_pos	phnG//purD//idnD//uvrC//gabT//gcl//pyrC//yqhD//gcvH//glmU//paaE//napG//fabH//tadA//lacZ//
NarP_neg	ulaG//uxuB//betB//hcaF//pnp//
NarP_pos	srkA//paaG//ribA//rtcB//leuD//sucC//bglB//phnJ//trpD//nrdE//moeB//paaA//moaE//aspA//
NemR_neg	uxaC//galE//
NhaR_pos	aldA//folA//cyaA//sucD//sucC//
NikR_neg	uxaB//
NimR_neg	nrdF//
NorR_neg	
NorR_pos	hyaC//
NrdR_neg	acnA//tdcD//uxaA//lsrG//
NsrR_neg	prpC//dhaK//recB//tynA//tdcE//gloA//pdeF//trpB//sdhD//arsC//citG//waaH//acs//amiA//murF//hycD//hemL//prmC//glgP//fadH//tadA//phnP//yfdE//gatY//nanE//nfsB//dadX//purH//phnH//psd//kbaZ//carB//sbcD//fumA//mhpC//umuD//fdhF//pgaC//idnO//betA//
NtrC_neg	cdd//gabD//
NtrC_pos	prpB//avtA//entD//katG//torA//ldtD//cdd//nadA//preT//garL//tdcE//deoC//ruvB//allE//fdhF//dhaK//nagA//nrdB//mazG//umuC//ygeA//
OmpR_neg	deoA//fabA//astB//ackA//phnP//
OmpR_pos	idnD//pgi//murC//yeaG//
OxyR_neg	dhaK//upp//ada//ascB//purL//
OxyR_pos	argG//moaD//gcl//hycC//ldtB//tdcG//pykF//glk//allB//glpA//citD//hycF//
PaaX_neg	epd//ilvB//avtA//dapD//luxS//cysM//gloA//glgB//lhgO//
PdeL_pos	glgB//
PdhR_neg	uxaB//napG//hycF//mhpF//talA//nagA//napA//glgP//murE//tnaA//ilvC//leuC//glnA//oxc//sucB//pgm//moaA//atoD//tdcD//gpsA//rutE//astA//folE//
PdhR_pos	uxaB//cheB//
PepA_neg	acs//purE//
PgrR_neg	gutQ//icd//
PhoB_neg	folA//oxc//napB//fumC//ydcS//
PhoB_pos	cyoE//lpxA//caiA//rffM//glxR//nrfA//dgkA//recF//rutA//allD//nrfC//rffC//napA//citD//alkA//purL//umuD//
PhoP_neg	recD//puuC//idnO//
PhoP_pos	ilvC//rffH//hyaB//katE//atoB//sucC//glpA//mngB//ddlB//nanM//cysI//recF//argD//ilvD//glpD//arsC//paaA//pdeL//sdhB//idnK//glpX//purC//yfdE//apaH//bcsZ//garR//eno//nrdD//hycC//glk//glxK//
PrpR_neg	
PrpR_pos	cheR//argI//paaF//paaF//
PspF_neg	
PspF_pos	phnM//
PurR_neg	ulaG//dapD//aspA//gor//phnJ//gcvP//nanM//add//alaS//mltF//caiA//fadM//ahpC//hyaB//rutC//prpD//purN//ubiA//dapB//mnmG//alaS//metH//sodB//xdhC//bglB//phnI//
PutA_neg	ldtD//mhpF//
PuuR_neg	rutE//fabG//xdhC//arsC//leuD//uvrC//
QseB_neg	
QseB_pos	
RbsR_neg	udp//glgA//allE//tktB//uvrB//
RbsR_pos	frdC//
RcdA_neg	
RcdA_pos	ilvD//
RclR_pos	
RcnR_neg	torC//
RcsAB_neg	frdC//
RcsAB_pos	rpiB//entC//
RcsB-BglJ_pos	fadB//xapA//
RcsB_neg	idnK//
RcsB_pos	cysN//hyaB//aldA//
RelB-RelE_neg	pck//
RelB_neg	murC//
RhaR_pos	
RhaS_pos	ampC//glgP//galE//astD//
Rob_neg	
Rob_pos	cysE//caiC//ssuD//malZ//glxK//mraY//prpE//chiA//aroF//gcvP//ampC//putA//yeaG//gudD//cysI//pdeL//allB//lsrG//cadA//
RstA_neg	rffH//pgpC//
RstA_pos	phnO//
RtcR_pos	sodA//mraY//
RutR_neg	sodB//moeA//gpmA//nrfD//prs//paaK//dhaL//dadA//ilvD//argG//
RutR_pos	rpiB//
SdiA_neg	
SdiA_pos	
SgrR_neg	phr//
SgrR_pos	pheS//ahpF//
SlyA_neg	
SlyA_pos	yeaE//moeA//metE//gcd//avtA//mngB//tdcG//hycD//pdeF//
SoxR_neg	
SoxR_pos	dhaL//
SoxS_neg	
SoxS_pos	alsE//sdhA//ychF//kbl//wrbA//aroH//cysK//citF//entB//aldA//gabT//nrdF//glgP//garL//folA//glgC//ynfE//argG//speA//uxaB//folE//gpmM//katG//cpdB//araA//icd//
SrlR_neg	gcvH//paaC//garK//
StpA_neg	fucI//ychF//nagA//
SutR_neg	phnN//truB//
SutR_pos	
TdcA_pos	pykF//umuD//pgaD//napA//pgaB//
TdcR_pos	metL//argF//nrdD//nrdA//hflX//
TorR_neg	dadX//
TorR_pos	ilvM//dacC//glcB//fadI//
TreR_neg	ldtD//puuA//
TrpR_neg	moaA//purC//dgkA//lldD//paaH//hpt//bcsZ//dinB//tdcG//
TtdR_pos	cysG//nirB//
TyrR_neg	accA//patD//rhaD//ogt//dhaM//bioC//cysE//
TyrR_pos	gadA//paaI//nanE//
UhpA_pos	paaZ//
UidR_neg	hemH//ftnA//
UlaR_neg	araD//guaA//asnA//murI//preA//
UvrY_pos	hyaC//dhaL//
UxuR_neg	rhaA//pspE//fabB//oxc//astA//
XapR_pos	ilvI//arsC//
XylR_neg	
XylR_pos	dinB//hycD//ttdA//
YdeO_neg	
YdeO_pos	entB//asnA//truB//
YefM-YoeB_neg	rhaB//
YefM_neg	gcvP//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	amiA//fadI//hemH//gpmM//uvrA//sucA//
YjjQ_neg	aspA//cadA//
YpdB_pos	
YqhC_pos	ppsA//adhE//
YqjI_neg	sufS//
ZntR_pos	glgP//
ZraR_pos	
Zur_neg	deoB//
