# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	argB//xylB//
CRP_neg	adiA//citD//dgcC//astB//yfdE//phr//ubiC//ldtB//metF//tehB//betA//gltA//purH//aspC//carA//uxuA//pgk//phnP//cadA//gcvH//aceE//pdeL//queA//metL//trpD//ftnA//sufS//sdhC//yqhD//entF//citC//mtlD//prmC//fruK//murI//dmsC//cdd//fabH//phnG//iscS//pgaC//malQ//gdhA//gatD//allE//purC//aspC//sgbH//purN//cysJ//betA//cysN//bioA//astD//udp//entD//cpdB//fadA//hyi//rffH//gloA//pagP//icd//fabZ//alaS//astD//dkgA//fadE//asnA//napB//hcp//
CRP_pos	pncB//aroA//polA//citE//patZ//cysG//murQ//cysC//ybjG//murQ//treC//ahpF//trpC//murF//aroL//wzb//glxR//gltX//napB//luxS//pgi//tam//hycC//nrdE//add//gatD//hcaF//torC//thrS//phnL//glcD//paaH//dacC//paaK//talA//pgi//astC//entC//cysE//sdhD//lpd//relA//leuA//ttdA//galT//paaC//garL//phnI//leuB//garL//mnmG//carB//sucC//recB//glpB//gpsA//xapA//dusB//pgk//ilvG_1//nadC//uvrB//xdhA//ubiA//lpxC//pyrD//tauD//fadE//putA//uvrA//carB//mhpB//dadX//lysC//lsrF//argG//prpE//gadB//mhpD//nrfA//glgC//deoD//metH//purA//dgkA//rnpB//aceB//dadX//tdcG//malP//hycD//fadA//garL//pspE//lldD//atoD//arsC//asnB//glgB//carB//nanK//metB//pgaC//deoA//malS//glmS//fabA//melA//rnpB//araB//hycB//dacC//leuD//dapD//entH//gabD//entB//slt//lacA//lpd//hcp//lsrK//tyrA//prpC//galT//alkA//prpB//betA//dacC//fucK//argA//pyrD//narH//tdcB//paaE//trpA//gltD//patD//uxaA//caiC//nanE//icd//prpC//nanK//hemA//cynS//dgcZ//dhaM//fucK//fadD//argI//rsmA//trpC//ynfG//tyrB//murE//ulaG//gpsA//xdhB//waaZ//aldB//ilvM//caiB//glmS//accD//mhpC//atoA//ulaF//glcE//rtcA//ldtC//frdB//mnmG//metA//phnJ//dsdA//wecB//apaH//ubiC//trmA//argD//narI//nadC//katG//pheT//umuC//ilvG_1//dmsB//grxA//gatY//lsrF//pspE//sdhC//fadE//rtcA//metL//betB//hycC//nrdA//argD//glpE//entD//cmoM//katG//entB//nrdD//bacA//xdhC//accD//metK//hcp//rffM//hycG//rhaA//pepD//cyoE//tpiA//pyrC//murD//nrdF//phnP//trpA//xdhC//phnM//ulaG//paaZ//fucI//relA//araB//umuC//sgbU//dapB//murF//mhpB//hcp//ravA//xdhB//rffH//murG//tynA//metA//phr//entB//sgbH//narI//phnG//cmoM//ahpF//cysG//
CadC_pos	fabB//torA//murF//
CaiF_pos	dadA//lpxD//phnO//rhaB//pgm//
Cbl_pos	nrfD//ynfG//deoB//bioB//tnaA//
CdaR_pos	argH//dapB//fabH//ccp//waaH//murG//ndh//phnN//sdhA//
CecR_neg	rutD//
ChbR_neg	icd//ulaG//glpK//
ChbR_pos	atoB//aceA//phnN//
ComR_neg	
CpxR_neg	gudD//add//mnmG//
CpxR_pos	ftsI//glpB//aldB//nanK//astD//gdhA//mngB//fabI//prpC//codA//gnd//metE//nadC//trmA//malS//nrdB//alaS//astA//
Cra_neg	dusB//folA//purH//phnM//tdh//sgbE//bioA//rhaB//kbl//ilvB//tdh//hemL//ogt//aspC//ilvA//entE//leuD//zwf//avtA//pyrD//cheB//asnB//nanK//ppc//paaA//sucB//moeB//ilvN//lpd//frdB//purA//paaB//trpE//amiA//rutE//tam//mhpC//srlD//ilvB//mngB//nfsA//puuE//ilvB//caiA//accC//
Cra_pos	cheR//argF//rffC//bcsB//citE//napA//bglB//dkgA//mngB//pdeH//torC//yeaE//wecC//hypB//rsmA//dmsB//allC//
CreB_neg	katG//
CreB_pos	ilvN//
CsgD_neg	citD//malS//
CsgD_pos	ruvB//ftnA//pagP//
CsiR_neg	rtcA//chbF//ccp//phoA//
CspA_pos	xylA//
CueR_neg	bioA//ubiA//gpsA//
CueR_pos	ldtC//nrfC//
CusR_pos	ilvI//nfsA//hflX//nrdB//
CynR_neg	
CynR_pos	rffM//asnB//icd//
CysB_neg	murD//rhaA//nrfA//
CysB_pos	nfsA//trpE//dmsB//fabG//rffT//talA//pdeH//alaA//rutE//carA//narI//pepD//gutQ//aroF//
CytR_neg	gcl//allC//dsdA//lsrG//ppc//yiaK//nadB//ampC//speC//torA//
DcuR_pos	thrS//bioB//tyrA//zwf//
DeoR_neg	paaI//tdcB//glgX//atoA//galK//frdD//
DhaR_neg	
DhaR_pos	trpC//
DicA_neg	
DinJ-YafQ_neg	mltF//
DnaA_neg	sgbH//accD//trpD//entE//tdcE//
DnaA_pos	leuC//wrbA//kbl//
DpiA_neg	
DpiA_pos	paaK//atoD//pdeR//purD//gltD//
DsdC_neg	
DsdC_pos	gudD//add//
EbgR_neg	
EnvR_neg	mngB//lhgO//
EnvY_pos	galM//gltX//
EvgA_pos	phnN//galT//hypB//ssuE//lacA//eno//
ExuR_neg	nfsB//dmsB//allC//yfdE//cynT//trpD//
FNR_neg	guaB//rtcB//luxS//ahpF//trpE//ilvM//waaZ//ampC//ldtB//truB//paaE//rffG//prpB//purE//moaD//hyaA//frdB//pgi//dusB//ampD//argI//dhaM//entC//astE//aspC//ugpQ//dusB//phnL//mnmG//ydcS//sdhC//speB//mhpE//ribA//glgA//tyrB//allD//moaC//gltB//rffG//citD//gcvH//gnd//narI//
FNR_pos	murI//folA//hyi//yeaE//ruvA//purF//arsC//fabG//preA//add//rtcA//ssuE//aceE//astC//pyrC//metA//cysJ//recF//entD//purB//carB//cheB//entA//hcaE//mdh//allA//ccp//ilvM//glpC//nfsA//metK//tehB//murD//metA//phnI//rutD//gatZ//codA//fbaB//murE//glgB//pgpC//atoD//nemA//gltB//metA//purE//ynfH//moaC//uvrB//codA//cysC//uvrB//ackA//srlD//cynS//nagA//nagA//acs//dapD//allD//purH//aspC//aldB//metE//metC//amn//pgaB//glsA//fruK//sgbE//ilvA//lldD//ribA//xdhA//paaC//ubiG//fadA//malQ//uxaC//gpmA//hemH//phr//narH//umuC//napH//alaA//psd//sbcD//tadA//relA//sdaA//rutA//garL//ddlB//aceA//
FabR_neg	gltX//paaF//citF//
FadR_neg	ilvG_1//ubiC//ilvC//sbcD//ndh//gabT//dhaL//aceE//glpB//
FadR_pos	ahpF//paaY//ndh//thrS//udp//ulaG//fabH//epd//glgC//ulaG//
FeaR_pos	speA//wecB//
FhlA_pos	rtcB//lsrF//pdeF//cysK//puuB//kbl//araB//asnB//
Fis_neg	sdhC//fes//pdeR//add//metA//poxB//pgm//aceB//lysC//nirB//fau//trpD//murD//ilvD//mngB//nrdD//ilvG_1//dgcN//ppsA//gabD//garD//sodB//astD//lacA//uxuB//poxB//rimK//paaE//fucU//xdhB//prpD//sbcC//fabI//glmU//cheB//ilvB//lpxA//fbaA//fumA//uvrB//allE//ccp//deoC//metA//phnI//ruvB//
Fis_pos	rnpB//ubiC//katE//ynfE//mhpE//murI//gcvP//puuE//galK//fadI//gcd//speB//slt//xdhA//oxc//fbaA//moaE//bcsB//paaJ//glmU//trpC//srkA//rutB//phnO//xapA//pgaB//leuB//mhpC//fadE//gutQ//napG//ynfF//preT//frc//murI//betA//mhpF//
FlhDC_neg	nrfD//purE//
FlhDC_pos	pyrC//pagP//glpQ//aroL//napB//metL//fadJ//paaZ//wecB//galE//sdhA//pflB//
FliZ_neg	ubiC//chbF//ulaF//purA//alaC//
FucR_pos	astC//lysU//adhE//ilvH//araA//glgX//
Fur_neg	dacC//serC//sgbU//ogt//pepD//ldtC//gapA//glgA//napH//ampD//mnmG//sdhB//ilvE//tauD//fadA//slt//yiaK//gltA//tdcB//ynfF//fadE//fadI//psd//dacC//dadA//puuD//mhpE//ldtC//glpB//katE//glpA//deoB//fucO//ackA//pgi//polB//citE//sodB//ldtD//katG//wecE//astC//carA//fbaA//fadJ//ilvI//tdcB//citC//gutQ//tdcG//trpC//nfsA//entB//
Fur_pos	garR//fabA//gabD//citC//alaA//phnN//sucD//ulaG//add//nadC//sdaA//napB//ftnA//napA//rimK//phnG//
GadE-RcsB_pos	purH//paaI//dkgB//garD//ynfE//
GadE_pos	nemA//waaZ//gcvP//ybjG//prpB//cmoM//glgB//pagP//cpdB//add//
GadW_neg	gcvT//tdcG//alkB//
GadW_pos	fadE//ftsI//idnK//yeaE//
GadX_neg	metC//rtcB//
GadX_pos	fucA//citF//sodA//leuB//ppiA//pgaD//rimK//argH//melA//pgpC//adeD//
GalR_neg	metB//sdaA//hcaD//fadE//ackA//ulaF//
GalR_pos	purC//paaZ//luxS//preA//
GalS_neg	frc//prmC//lldD//murD//hycG//dhaL//
GalS_pos	sodB//pgaD//nadB//acnA//
GatR_neg	nadB//araA//recD//
GcvA_neg	glgC//uxuA//murI//
GcvA_pos	frdD//gcvH//tam//
GlcC_neg	
GlcC_pos	rffM//glpC//nanM//
GlpR_neg	fabH//pagP//fadA//gatD//purL//dadA//pgaB//
GlrR_pos	
GntR_neg	sbcD//aldB//ygeA//phnM//ubiC//dgkA//dinB//fabH//cynS//
GutM_pos	phnM//puuD//rutD//
H-NS_neg	udp//pflB//hmp//pgpC//bcsB//yqhD//idnD//ilvE//fadM//oxc//uxuB//bioD//dusB//lyxK//treC//ulaG//rnpB//gcd//argH//entA//fabI//xdhA//ssuE//fau//malY//lyxK//pgpC//cysD//hcaB//fucA//bglB//sgbE//purK//guaA//mhpB//bioD//cheB//hpt//pykF//fabD//wecC//ilvN//hypF//mhpA//cynS//accA//purD//alkA//cysM//ppc//paaH//
H-NS_pos	hycC//katG//glpE//pgpC//mhpB//nirD//deoA//fucI//sdhA//malY//dmsC//glgC//aldA//idnK//gapA//
HU_neg	ppiA//fdhF//lpxD//ilvN//epd//umuC//gloA//
HU_pos	
HcaR_neg	
HcaR_pos	gcvH//iscS//
HdfR_neg	
HdfR_pos	
HigA_neg	eno//
HigB-HigA_neg	phnG//
HipAB_neg	trpB//fbaA//
HipB_neg	glpD//yfdE//hcaD//
HprR_neg	fucI//sbcC//
HprR_pos	accD//folE//
HyfR_pos	leuA//
HypT_neg	trmD//nrfD//
HypT_pos	malZ//cysN//gntK//phnI//allE//
IHF_neg	pdeL//phoA//glgA//trpC//glpK//ravA//ruvA//ppsA//mraY//adeD//phnH//ada//umuD//arsC//purC//nfsA//gabT//pfkA//prpB//kbl//dhaK//hyaA//hcaE//cysG//umpH//idnK//atoA//epd//speB//cysN//cheB//amn//rffM//sdhB//agp//nirB//hcaB//glpQ//tnaA//fadH//fabA//dapB//purH//
IHF_pos	prmC//citC//thrS//chbF//ubiG//umuC//moaD//glpB//glsA//speA//sucD//caiD//ilvE//tadA//trmA//grxA//ilvI//speC//umuC//bglB//nanM//zwf//yqhD//caiA//nadB//malQ//uvrC//lpxA//fucA//ilvG_1//tnaA//dmsB//hyaA//pyrC//fucU//leuB//pyrD//ilvA//fabG//bioD//nirB//astB//fes//sdhA//mhpF//galK//nadC//ftsI//pdeF//rpiB//nfsA//sodA//murQ//hyi//entC//garL//frdB//xylB//entD//hyaB//speC//gloA//guaA//caiC//fau//dacC//amn//trpD//nagB//mltF//sodA//
IclR_neg	glcE//astC//pgm//
IdnR_neg	tam//fbaA//
IdnR_pos	dgkA//tdcE//lpxA//ynfG//
IlvY_neg	
IlvY_pos	appA//
IscR_neg	murG//uxaB//purB//nadB//aceB//mpaA//
IscR_pos	puuC//ppc//
KdgR_neg	purB//ppiA//
KdpE_pos	uxaA//
LacI_neg	aceA//glmS//alaC//
LeuO_neg	
LeuO_pos	ahpF//aspA//argD//prpD//lacZ//araB//
LexA_neg	mtlD//agp//mpl//pfkA//phr//sdhD//sgbU//fadE//lsrF//argD//xdhA//gltD//sodB//serA//yfdE//gadA//acs//murQ//dacC//mltF//apaH//lacA//cysM//
LldR_neg	ada//ppsA//
LldR_pos	glgB//trmA//
LrhA_neg	
LrhA_pos	
Lrp_neg	hypB//glcF//garD//deoC//citC//gatD//narI//hflX//aceE//cysE//ilvM//dmsA//dgcC//galE//lpxC//ampD//dhaK//pdeR//sdhC//tehB//caiC//ppsA//idnK//
Lrp_pos	tnaA//gutQ//moeB//argA//hchA//paaI//fbaA//sodA//dgkA//appA//hycC//bcsB//cheB//preA//nemA//xylA//deoC//fadI//rbsD//lacA//
LsrR_neg	paaA//garK//fabB//entE//icd//
LysR_neg	
LysR_pos	mhpD//
MalI_neg	patZ//ssuD//
MalT_pos	paaJ//sucD//lacA//lsrF//rutD//aceE//
MarA_neg	xdhA//
MarA_pos	cysC//argH//yiaK//pgaB//dmsB//dgkA//garK//mazG//atoD//wrbA//preA//fadE//glxR//lysA//gatY//nirD//xapA//argA//paaK//phnP//fabB//phnP//dmsC//
MarR_neg	
MatA_neg	ahpF//
MatA_pos	
MazE-MazF_neg	rffG//
MazE_neg	cysD//
McbR_neg	
McbR_pos	
MelR_neg	ychF//astE//
MelR_pos	fabI//ulaD//
MetJ_neg	yiaK//citC//galE//cheR//trpA//fabH//xapA//guaA//mhpE//adhE//
MetR_neg	leuD//
MetR_pos	trpB//gltX//mhpC//leuD//
MhpR_pos	srkA//rsmA//uvrA//napA//pgm//lpxD//
Mlc_neg	tnaA//allA//gcvP//xylA//
MlrA_pos	fadB//
MngR_neg	dhaK//alkB//
MntR_neg	fumB//
MntR_pos	dusB//
ModE_neg	kbaY//gltA//cynS//glmU//prpB//recF//rsmA//ubiG//
ModE_pos	ynfH//sdhD//entC//mdh//dadA//fadJ//yedX//wrbA//hycD//
MprA_neg	entF//fadI//hcaE//
MqsA_neg	fabZ//fabI//
MraZ_neg	ilvD//mhpE//paaZ//fucO//fadD//mdh//uvrB//rsmA//ung//phnP//
MurR_neg	narI//hemA//sgbH//
MurR_pos	
Nac_neg	argA//ldtC//asnB//
Nac_pos	folA//hcaE//leuC//lldD//pagP//hypB//lsrG//pykF//
NadR_neg	gutQ//puuA//glpX//uxaB//
NagC_neg	purL//treC//ftsI//pgaB//fadE//cheB//ttdB//hycG//ynfF//alaC//argI//feaB//astB//bcsZ//dsdA//sucC//pdeR//uxuB//
NagC_pos	ppsA//mhpC//
NanR_neg	glcE//glyA//glpK//phnM//malP//preA//
NanR_pos	
NarL_neg	cysM//nirD//sucA//nrfD//lysC//lysC//bioD//pgm//purB//dgcZ//rhaD//alsE//bioD//ubiA//glpB//dacC//frdA//codA//allE//prpE//recF//lhgO//pdeR//nadA//malP//fabD//nagB//malQ//
NarL_pos	mhpF//purN//sucB//paaE//lhgO//rffC//tdh//cysJ//glcD//cysH//aspC//cueO//rffM//metK//tehB//
NarP_neg	agp//bioA//sucB//alaA//nirB//
NarP_pos	cysC//xapA//nanK//folA//ilvD//dadX//moaE//lhgO//putA//deoB//bioB//aroF//bioF//cysI//
NemR_neg	fucO//yedX//
NhaR_pos	ilvI//adeD//pgk//ugpQ//fumC//
NikR_neg	sodB//
NimR_neg	rpiB//
NorR_neg	
NorR_pos	tyrA//
NrdR_neg	moeB//hchA//alsE//rutC//
NsrR_neg	ung//phnI//glcD//hycF//gpmA//fadH//bglB//galM//nrdA//cysM//cheB//ampC//tynA//argH//fumA//argF//glgA//sdhB//xylA//dacC//paaK//hflX//kbaY//paaC//fucO//moeB//ppc//frc//ackA//murE//aldB//trpA//add//gltB//xdhB//idnD//hpt//murE//uidA//gatD//
NtrC_neg	pdeR//citC//
NtrC_pos	gcvP//ppc//treC//cyaA//argG//dgcZ//metE//cheR//hemA//ung//katG//tyrA//preT//bioA//cysC//caiA//allA//dgcC//napH//adiA//murG//
OmpR_neg	dadA//hyaA//entH//ldtD//puuE//
OmpR_pos	astB//umuC//poxB//xdhB//
OxyR_neg	gcvP//glpD//fucO//fau//xylB//
OxyR_pos	dapD//hycE//mngB//deoC//mltF//purL//ssuD//argG//srkA//aroH//aldA//tpiA//
PaaX_neg	puuD//ogt//hycC//alsE//aspC//truB//dadA//phnN//pagP//
PdeL_pos	deoB//
PdhR_neg	amiA//hypF//mhpF//ruvA//tyrB//waaY//accD//hyaC//mpl//add//rhaA//ackA//lacA//ttdB//murQ//leuC//glgC//accD//metC//rffC//murC//lpxC//preT//
PdhR_pos	nrdA//gcl//
PepA_neg	rhaB//gadA//
PgrR_neg	argH//pykF//
PhoB_neg	pfkA//deoB//mraY//uxuA//dgcN//
PhoB_pos	puuB//gcvT//ribA//chbG//hycC//dgkA//sodA//bioF//pgaC//nfsA//frdD//moaC//trpE//argF//paaF//cheB//moaA//
PhoP_neg	argC//fadB//moaD//
PhoP_pos	purL//sodB//leuC//rutC//frdB//lacA//metK//ssuE//hcaD//purD//pyrD//gabD//gcl//fabH//rffG//rutC//aspC//idnO//leuD//ldtD//deoB//uidA//pheS//trmD//recF//ilvA//rffG//bioB//tehB//glpE//alkB//
PrpR_neg	
PrpR_pos	lsrG//adeD//bioA//asnA//
PspF_neg	
PspF_pos	phoA//
PurR_neg	dgcN//hcaE//ruvA//pspE//ppiA//manA//sucB//gloA//napG//glcF//dusB//cysJ//betA//cysK//rtcA//wecC//paaH//glk//xdhA//fucI//uidA//agp//glk//rpiB//waaZ//murC//
PutA_neg	napA//galE//
PuuR_neg	malQ//serC//eno//tauD//bacA//fabI//
QseB_neg	
QseB_pos	
RbsR_neg	ilvB//sodB//pnp//phoA//purD//
RbsR_pos	chbG//
RcdA_neg	
RcdA_pos	hycD//
RclR_pos	
RcnR_neg	bioA//
RcsAB_neg	uxaB//
RcsAB_pos	mltF//hycD//
RcsB-BglJ_pos	ybjG//rffM//
RcsB_neg	rpiB//
RcsB_pos	murE//ydcS//cmoM//
RelB-RelE_neg	phnI//
RelB_neg	recF//
RhaR_pos	
RhaS_pos	srkA//deoB//dgcC//gatD//
Rob_neg	
Rob_pos	cysG//pncB//hcaF//uvrC//argF//yiaK//alaS//argG//fadJ//murC//glpC//cysH//wecC//trmD//argB//pykF//ilvC//cysK//cdd//
RstA_neg	adeD//lpxC//
RstA_pos	hemA//
RtcR_pos	aroA//gpmA//
RutR_neg	trpE//recB//bcsZ//fumC//atoD//hyaB//lpxC//paaY//sgbE//upp//
RutR_pos	fbaB//
SdiA_neg	
SdiA_pos	
SgrR_neg	polB//
SgrR_pos	lsrG//glgP//
SlyA_neg	
SlyA_pos	dgcC//citF//uvrB//glgC//moaE//hemH//mhpE//mnmG//slt//
SoxR_neg	
SoxR_pos	putA//
SoxS_neg	
SoxS_pos	gltX//atoA//waaY//yeaG//paaB//bioB//purE//gcd//glnA//truB//glk//nrfA//gadA//ilvG_1//asnA//hmp//argI//patA//paaK//pgk//glpK//srlD//malZ//wecC//astA//nrdF//
SrlR_neg	cynS//mazG//citC//
StpA_neg	napH//nagB//paaJ//
SutR_neg	melA//bioF//
SutR_pos	
TdcA_pos	entH//mpaA//yeaE//ubiC//metL//
TdcR_pos	puuA//rbsK//pgaC//pck//mazG//
TorR_neg	speA//
TorR_pos	glpX//aroL//mhpD//ynfF//
TreR_neg	kbaZ//hemA//
TrpR_neg	oxc//dadA//astD//tadA//sgbH//dhaM//galE//hemA//pncB//
TtdR_pos	dinB//alaC//
TyrR_neg	accD//fadE//serA//ppiA//trpD//pyrD//aldA//
TyrR_pos	zwf//mnmG//hcaE//
UhpA_pos	cmoM//
UidR_neg	cmoM//garL//
UlaR_neg	apaH//pdxA//glgA//psd//prs//
UvrY_pos	xapA//cdd//
UxuR_neg	mhpE//fucI//preT//ftsI//trpD//
XapR_pos	yedX//lysU//
XylR_neg	
XylR_pos	hemH//purL//murI//
YdeO_neg	
YdeO_pos	carB//tnaA//wzb//
YefM-YoeB_neg	mhpE//
YefM_neg	cysI//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	pspE//rffG//yfdE//mpaA//ravA//mhpB//
YjjQ_neg	glpA//astD//
YpdB_pos	
YqhC_pos	sdhA//argH//
YqjI_neg	slt//
ZntR_pos	pspE//
ZraR_pos	
Zur_neg	pflB//
