# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	malP//trmA//
CRP_neg	glgA//gabD//prmC//murD//hycG//gadA//chbG//grxA//aceB//moaE//frdA//argI//torA//prs//sucC//ilvE//ansB//aldA//relA//argH//nirB//nirB//pyrD//astD//cpdB//phnI//fucA//wzc//paaB//malZ//ung//leuD//cynT//glcF//pflB//dhaL//hemF//gdhA//ychF//fbaB//accD//narI//ubiC//nrdA//nrdD//malP//hycF//glpX//gcvP//talA//glpB//hyaC//dkgB//phnH//adeD//trpE//aspA//rbsD//murI//sodB//alsE//phnI//pheS//argI//ldtB//betB//sdhB//manA//dacC//ssuD//fau//
CRP_pos	phnM//kbl//rnpB//rbsK//sucA//wzc//hycF//galM//mhpF//allC//acnA//acnB//caiB//pdeH//bcsB//hycF//trpE//sgbE//epd//garL//umuD//ddlB//folA//metE//pdeR//guaA//fabB//entC//lpxD//gcl//alsE//dapD//sdhB//rhaA//gadB//ahpF//idnK//allD//ilvG_1//fadM//entD//chbG//edd//araB//ulaF//ccp//nrdE//ravA//phnG//amn//fadM//hycD//tauD//treC//allD//pck//cysE//purN//gcd//agp//phnN//allC//glpK//zwf//luxS//dgcC//ravA//nanE//rbsK//codA//cadA//sdhA//argB//narG//fabD//lpxD//tynA//citF//tdcB//fadD//glpD//leuB//pdeF//paaI//fucU//lacZ//malY//chbF//fadJ//dmsB//recD//moaC//trpD//rsmA//bioB//cysH//yeaE//ascB//tadA//pgm//dinB//puuC//ilvN//purB//glxK//leuC//araA//metE//hflX//moaD//xylB//recD//argH//nrdE//gltB//paaI//cdd//metF//gadA//lpxA//phnO//dapD//aroF//entF//wrbA//trpD//yqjH//waaZ//glxR//hypB//fadA//rhaB//murQ//grxA//fucK//uidA//slt//cysG//mraY//aroG//nrfA//murI//phnH//preA//dhaM//ilvH//malQ//purK//metF//ulaD//tdcD//nadB//cysC//sdhB//deoD//entE//murQ//ygeA//pgm//fabD//moaE//fucO//tam//mhpB//gudD//tdcD//paaH//fbaB//gltB//tnaA//bcsZ//rffT//wzb//pgaC//lpxD//fdhF//narH//kbl//phnN//gntK//napA//luxS//allA//metL//murF//dapB//tadA//rffM//lsrF//bcsZ//citF//mnmG//ampD//allE//pgk//lysC//pgpC//dadA//pdeH//hpt//pgaD//fbaA//uxuB//fadB//malS//fruK//hcaC//galM//bioB//murD//galK//astA//pflB//arsC//ahpC//tam//puuE//gcvP//fadA//fumC//lpxD//hcaD//acnA//glpX//dmsA//alaA//purK//gudD//cysK//gatZ//metL//moeB//ldtD//ogt//nanE//udp//pnp//yqjH//murD//nrfD//garL//rtcB//sucA//fabA//dinB//chbG//glpE//kbaZ//ribA//
CadC_pos	luxS//asnA//glgC//
CaiF_pos	fabA//nanK//lsrF//mhpB//napH//
Cbl_pos	murF//tktB//murC//uxuB//xapA//
CdaR_pos	ilvM//ulaE//ascB//kbaZ//trpC//galK//ilvN//fadJ//leuB//
CecR_neg	bioF//
ChbR_neg	pncB//metL//yqjH//
ChbR_pos	treC//rffM//ilvD//
ComR_neg	
CpxR_neg	murI//uxaA//gnd//
CpxR_pos	napH//udp//amiA//umpH//leuD//gcvH//prs//murQ//allA//rffH//waaZ//katE//glpC//alkB//phnN//gatD//aroG//trmD//
Cra_neg	ruvB//fau//citE//mhpD//lsrF//rutD//glpE//sodA//fdhF//bglB//dadX//aroA//fucU//ddlB//puuA//sgbE//rhaA//wrbA//wzb//entF//cmoM//appA//aroH//glnA//xylA//argI//puuC//fadI//fucU//srkA//aceB//citE//yiaK//argF//ftnA//dmsB//rffT//allB//ynfG//aceE//fadA//araB//srkA//ulaG//accC//
Cra_pos	entE//ruvA//adhE//cyoE//talA//aroA//frdA//idnD//argI//kbl//rsmA//phnG//polA//dsdA//ycjG//nrfC//tdcG//
CreB_neg	ampC//
CreB_pos	purA//
CsgD_neg	ulaF//yeaG//
CsgD_pos	trpA//glk//idnK//
CsiR_neg	edd//carB//napA//gpsA//
CspA_pos	ulaG//
CueR_neg	gcvH//rbsD//garK//
CueR_pos	pck//pdeH//
CusR_pos	sodB//frc//galT//yiaK//
CynR_neg	
CynR_pos	sgbU//gcvH//amn//
CysB_neg	nagA//pgk//murC//
CysB_pos	lpd//paaJ//ung//garR//sbcC//dgkA//xapA//alaS//fucU//nagA//melA//umpH//ccp//mtlD//
CytR_neg	malQ//pgaB//prpB//puuB//caiD//xylA//nirD//entD//fes//adhE//
DcuR_pos	dacC//leuC//gatZ//lsrK//
DeoR_neg	fadM//rpiB//dmsB//nrdB//nirD//moaE//
DhaR_neg	
DhaR_pos	avtA//
DicA_neg	
DinJ-YafQ_neg	fabZ//
DnaA_neg	betA//hyaC//argD//metB//entD//
DnaA_pos	recF//talA//allD//
DpiA_neg	
DpiA_pos	glsA//gntK//adeD//malS//ftsI//
DsdC_neg	
DsdC_pos	rsmH//citG//
EbgR_neg	
EnvR_neg	ilvE//rffC//
EnvY_pos	dmsC//fabB//
EvgA_pos	ilvN//accA//puuD//sdhA//hypF//lysA//
ExuR_neg	ampD//galM//lacZ//glpX//ilvM//glxK//
FNR_neg	purE//srkA//pgaC//entC//paaY//gadB//entC//glsA//rsmA//cynT//deoB//leuC//glgX//sufS//pgaC//wecE//mdh//entB//pgaC//tdcD//cyaA//grxA//aceE//prs//trmA//glgB//murG//dacC//patD//pgaC//murF//cysC//phnM//galE//ulaG//nrfA//patD//ppiA//araD//gltA//cueO//ruvA//gcvP//melA//
FNR_pos	fabD//umuC//zwf//atoB//ygeA//relA//aceF//sucA//alaA//dmsA//fadB//fadM//nfsB//gudD//wzc//upp//dgcZ//hycC//sgbH//dsdA//cheR//lyxK//tadA//pgaD//lpxD//citX//fabA//murC//ychF//patA//guaB//ampD//rffH//metB//ubiA//amiA//fes//nrfC//alaA//ycjG//waaY//paaK//purM//galT//moeB//metB//folA//phnL//entD//trmD//preA//gatD//trmA//iscS//glyA//glnA//phr//alaS//argE//fucA//manA//nrfC//xylB//aceE//ubiG//dapB//lsrF//lysU//lysA//malY//rffT//ldtB//xdhC//cysK//bioA//paaF//mngB//glcB//prs//uxaB//trmA//polA//recD//nrdD//aroH//dmsB//cysJ//purM//aroA//mhpF//ppsA//cysN//dgkA//purK//ahpC//glyA//
FabR_neg	moaA//phnP//tynA//
FadR_neg	hycF//hycF//glcF//uxuA//ulaF//glgP//carB//entE//pgm//
FadR_pos	ahpF//hycC//phnP//purD//araA//nrdA//pdeH//sdaA//lpxA//folA//
FeaR_pos	hycF//pck//
FhlA_pos	fumB//glpK//preA//ynfE//kbl//hypB//ilvN//ychF//
Fis_neg	acnB//pgaC//recB//napA//preT//udp//hycD//ruvA//psd//glgX//rffH//metL//gatD//rutC//citF//sbcC//melA//nrdB//gcl//umpH//nanA//dsdA//dadX//yeaG//malZ//dapD//aroF//purM//pykF//gpmA//prs//yqjH//metA//fbaB//nadB//allE//aroH//xylB//pck//cpdB//mhpC//pdeH//lacZ//cynS//ruvB//mhpC//
Fis_pos	idnD//hemL//glpD//dsdA//mhpD//ynfH//nanE//phnO//puuB//deoD//mnmG//prpD//katE//acs//xylB//ruvB//malQ//ydcS//appA//narH//recF//murF//phnP//citG//hemA//dinB//glmU//udp//ada//glxR//eda//gutQ//glcB//murE//mhpA//wecC//malY//
FlhDC_neg	aroL//aldA//
FlhDC_pos	murG//mhpA//mpl//ulaF//trpC//alaA//gutQ//ubiG//araD//ilvD//deoB//gadA//
FliZ_neg	argF//gcl//ldtB//malZ//ulaD//
FucR_pos	prpB//glyA//betA//astC//feaB//araB//
Fur_neg	murF//ftnA//hemF//galM//fabZ//nrfD//galT//xdhA//prpE//sbcD//glgC//rsmH//sucC//bacA//aroH//fabH//nrfA//glpC//aroA//ogt//galK//glcF//ruvA//fadB//deoB//polA//napG//astB//lhgO//hycF//gltX//gatZ//gltX//glpX//ilvB//moaE//glyA//deoB//mhpD//pgpC//lpxD//cysJ//glpK//pgpC//glgP//fadE//tam//ruvB//hyaC//rhaB//murI//prpB//sbcC//
Fur_pos	phnP//aceE//nagA//phr//cysH//asnA//moaE//dkgA//cheB//fumA//xdhC//dkgB//galT//narG//mtlD//purM//
GadE-RcsB_pos	pgaD//ruvA//purH//adhE//speA//
GadE_pos	yqjH//ahpF//relA//amn//lsrF//hcaD//ribA//hcaC//yeaE//iscS//
GadW_neg	tktB//xylA//slt//
GadW_pos	fadA//fau//add//metB//
GadX_neg	purH//purH//
GadX_pos	glmS//tdh//argC//leuD//glpK//narH//trpB//ilvC//sdhA//paaY//citF//
GalR_neg	gcvP//garD//frdD//metA//amn//phnM//
GalR_pos	carA//cynT//mhpB//cysH//
GalS_neg	fumB//mraY//cadA//lsrF//fruK//nadA//
GalS_pos	yeaG//prpD//fabI//ada//
GatR_neg	atoD//gapA//lpxD//
GcvA_neg	add//cpdB//mtlD//
GcvA_pos	ldtB//prpD//ulaG//
GlcC_neg	
GlcC_pos	galT//sbcD//gltA//
GlpR_neg	pnp//gadB//puuB//xdhA//torC//paaC//entA//
GlrR_pos	
GntR_neg	sucA//patD//bioC//tam//ugpQ//paaF//paaZ//folA//pfkA//
GutM_pos	cysG//araD//gltD//
H-NS_neg	malY//allB//dapD//mhpC//alkB//nadA//gudD//phnG//waaH//fabI//gntK//phnL//torA//fau//fucA//prpE//gor//tynA//pdeH//ilvC//hemF//gpmM//gudD//gadA//phnM//paaC//dhaL//dsdA//fadJ//leuB//paaH//fumC//aroG//paaB//lacZ//purL//cueO//accD//rsmH//entA//citD//codA//moeB//tyrB//tehB//torC//sucD//srkA//rutB//hchA//ubiA//
H-NS_pos	garR//tdcD//ndh//moeA//chbF//oxc//uvrC//ulaE//hcaE//amn//citC//uxuB//gpmA//fucA//gltA//
HU_neg	waaH//nanK//mazG//nemA//dgkA//phnH//mhpB//
HU_pos	
HcaR_neg	
HcaR_pos	gpmM//puuE//
HdfR_neg	
HdfR_pos	
HigA_neg	galE//
HigB-HigA_neg	preA//
HipAB_neg	gltA//alaC//
HipB_neg	purC//ldtC//frc//
HprR_neg	hycB//acs//
HprR_pos	truB//kbaY//
HyfR_pos	leuD//
HypT_neg	aroF//phnN//
HypT_pos	aroA//entF//phnL//bacA//napG//
IHF_neg	cysD//speA//ilvM//mtlD//sdhC//uxaA//hpt//argE//fdhF//xdhA//rffT//rutC//glcD//pncB//sdhA//katG//speC//sbcD//slt//ilvI//speA//metE//cpdB//lpxA//rhaA//nirD//idnO//xylA//glcB//alaA//nrdA//rbsD//mhpA//ssuD//malY//mnmG//ribA//gnd//hcaE//guaB//gpsA//kbl//yqhD//
IHF_pos	lyxK//argG//pyrD//bioD//nadA//add//argD//fadA//fabI//carA//ydcS//ydcS//avtA//dgcC//paaH//yeaG//wrbA//paaY//cysM//idnD//mazG//ulaE//gpsA//waaY//hyaA//ackA//glsA//deoC//guaA//purE//dhaM//lpxD//fadB//pagP//mngB//ilvI//sufS//appA//zwf//paaC//fbaA//kbaZ//hypF//sbcC//pgi//srkA//atoB//gloA//fucK//fruK//codA//argG//glpX//gltD//napH//yeaE//garR//pncB//xdhB//purN//moaA//nrfD//argG//ulaE//nadB//ribA//malP//pheS//eda//cmoM//wecB//
IclR_neg	lsrK//glxR//dkgB//
IdnR_neg	dinB//entA//
IdnR_pos	ynfH//ubiC//hycB//gatY//
IlvY_neg	
IlvY_pos	moaA//
IscR_neg	pepD//malP//dgcC//purD//bcsZ//fbaB//
IscR_pos	aroF//sdaA//
KdgR_neg	xdhA//sufS//
KdpE_pos	fadE//
LacI_neg	paaJ//glxR//iscS//
LeuO_neg	
LeuO_pos	cyoE//rhaA//citG//cynS//grxA//patZ//
LexA_neg	fabG//garR//patA//ahpF//lysU//frdD//lpxA//nfsA//ampC//rsmA//gltX//udp//aroL//dadA//fucI//citF//nirB//hyaA//glcB//ppsA//glpC//fdhF//galK//
LldR_neg	xdhA//glpA//
LldR_pos	glcF//dhaK//
LrhA_neg	
LrhA_pos	
Lrp_neg	hycC//entA//oxc//appA//mtlD//cysC//waaH//purK//ulaG//dhaK//acnA//paaI//glgB//nadB//yfdE//frdA//moaC//ung//manA//waaH//accA//metA//ldtC//
Lrp_pos	gltB//moaD//phnH//queA//patZ//dadA//talA//apaH//alkB//ilvB//atoB//argB//pgi//galT//mltF//pck//garL//treC//sdhD//garR//
LsrR_neg	lacZ//nirD//phnP//nrdA//fabD//
LysR_neg	
LysR_pos	hcp//
MalI_neg	dapD//hyaB//
MalT_pos	trpC//bioC//murG//recB//malZ//rutC//
MarA_neg	rffT//
MarA_pos	prpD//nrfD//cheB//alaS//gadB//fabA//paaC//ulaE//umuC//bacA//pheT//adhE//gutQ//hflX//ilvG_1//lpxC//tdh//ldtD//gabT//paaF//xylA//bioC//glcE//
MarR_neg	
MatA_neg	yeaG//
MatA_pos	
MazE-MazF_neg	ndh//
MazE_neg	fucU//
McbR_neg	
McbR_pos	
MelR_neg	fucK//ppsA//
MelR_pos	guaB//pdxA//
MetJ_neg	fadJ//gcvP//serC//treC//phnN//purE//fucU//pflB//glpQ//recB//
MetR_neg	nrdB//
MetR_pos	betB//manA//prmC//speA//
MhpR_pos	pagP//mraY//mpaA//paaC//gpmM//rtcA//
Mlc_neg	phnL//pykF//alsE//speC//
MlrA_pos	kbaZ//
MngR_neg	adiA//gltB//
MntR_neg	accA//
MntR_pos	cheB//
ModE_neg	kbaZ//paaF//rsmA//gpmA//fabI//rutA//rbsD//fadH//
ModE_pos	talA//trpB//paaE//astD//fadE//sgbE//ascB//purA//torA//
MprA_neg	idnD//pdeR//lpd//
MqsA_neg	narG//galM//
MraZ_neg	glyA//frdC//waaY//hycF//gltA//murQ//yeaE//ruvB//glpA//oxc//
MurR_neg	aceA//fadJ//sdhD//
MurR_pos	
Nac_neg	serA//ilvH//nrdA//
Nac_pos	gcvT//glpC//galT//polA//rhaB//citC//add//pfkA//
NadR_neg	gdhA//ybjG//pdeF//pdeH//
NagC_neg	napG//rfe//pgaD//allC//rutD//cynT//iscS//speB//fadM//cysD//trpE//sdhD//fadD//mhpD//gltD//hyi//ccp//gadA//
NagC_pos	wecB//glpA//
NanR_neg	glxR//icd//agp//argB//ada//pgm//
NanR_pos	
NarL_neg	bcsB//dgcZ//wecC//lyxK//napH//xapA//lyxK//rsmH//metB//yeaG//napB//ilvN//torA//pgk//ybjG//rffC//tauD//argG//cyaA//xapA//narI//edd//nrfA//phnI//uxuB//speA//add//sodA//
NarL_pos	rtcA//sdaA//udp//gnd//gor//xapA//yqjH//fabI//glxR//truB//xdhB//uxaC//glcE//rnpB//rsmH//
NarP_neg	ruvB//phoA//ygeA//hycG//argI//
NarP_pos	fabZ//deoB//fdhF//gutQ//cysJ//lysU//prmC//trmA//napB//lysC//truB//yeaG//murQ//cheB//
NemR_neg	glcD//wecE//
NhaR_pos	nagA//sbcD//gabD//argE//fucU//
NikR_neg	citD//
NimR_neg	rsmA//
NorR_neg	
NorR_pos	gcvH//
NrdR_neg	purF//waaZ//lacZ//rnpB//
NsrR_neg	ahpC//pepD//leuB//ascB//hmp//udp//hycC//garL//fadJ//allD//glgA//chbG//chbF//galT//torC//fabD//gcd//argF//dacC//rbsD//pgpC//malQ//aroL//ugpQ//cynT//dgcN//caiB//prpD//pykF//ugpQ//ssuE//glpC//trpA//tdcE//betB//glcF//paaE//torA//speB//glpA//
NtrC_neg	xdhB//deoD//
NtrC_pos	gabD//tpiA//dsdA//araB//gapA//uxaA//caiA//mnmG//uvrA//ilvN//torC//glpK//argI//hcaD//fucI//accA//pykF//fucO//gnd//ssuD//asnA//
OmpR_neg	umuD//malY//tktB//ulaE//paaA//
OmpR_pos	murC//dhaK//cysM//galT//
OxyR_neg	trpB//fumB//caiC//dkgB//ilvM//
OxyR_pos	patA//carB//ttdA//hemA//garL//citD//purD//fumC//phoA//ilvC//ubiX//tdh//
PaaX_neg	gabT//glgC//argF//hcaD//gatY//fdhF//galM//hycG//ilvN//
PdeL_pos	rpiB//
PdhR_neg	cynS//eda//astA//ubiX//serC//dkgA//nrfA//aroL//yeaE//hflX//betA//lyxK//gloA//sbcC//ruvA//frdC//malP//bglB//purL//phnJ//frdC//moaC//nemA//
PdhR_pos	edd//dmsC//
PepA_neg	dhaL//talA//
PgrR_neg	ynfH//paaJ//
PhoB_neg	moeA//gcd//truB//cysE//ynfH//
PhoB_pos	pdeR//hemH//rffH//ulaF//aroH//astA//nadA//pyrC//umpH//tktB//lysC//dusB//prs//fdhF//frdB//gudD//dmsA//
PhoP_neg	ndh//gpmM//garL//
PhoP_pos	narG//rhaD//hemH//sdhB//nrdE//ilvB//ilvB//ubiA//malY//xylA//tauD//gcvH//leuA//hcaE//ampC//pykF//citX//glyA//gadB//moaA//sdhA//allC//feaB//malZ//uvrA//ppiA//fucI//hcaC//lacZ//ilvD//sgbH//
PrpR_neg	
PrpR_pos	dapD//fadA//hyaC//ubiC//
PspF_neg	
PspF_pos	leuC//
PurR_neg	murC//treC//paaK//cysK//hypF//murF//gor//citE//ulaF//dadX//ssuE//glgA//fucI//narI//puuD//ung//apaH//hycB//prpD//acnA//fucI//nadC//phnO//sbcD//glpQ//purA//
PutA_neg	torA//paaG//
PuuR_neg	pepD//waaZ//metB//ravA//phnJ//pflB//
QseB_neg	
QseB_pos	
RbsR_neg	narG//glgA//rffH//paaH//rtcB//
RbsR_pos	gltB//
RcdA_neg	
RcdA_pos	galE//
RclR_pos	
RcnR_neg	gadA//
RcsAB_neg	rffC//
RcsAB_pos	phoA//tadA//
RcsB-BglJ_pos	araA//fumA//
RcsB_neg	xylB//
RcsB_pos	alaC//murI//rffT//
RelB-RelE_neg	entE//
RelB_neg	galK//
RhaR_pos	
RhaS_pos	waaZ//moeB//icd//entE//
Rob_neg	
Rob_pos	ravA//garD//alaC//ribA//ppsA//ttdA//galT//nemA//ldtC//gcl//hemL//murD//citD//yfdE//glgC//mdh//paaC//ftnA//ydcS//
RstA_neg	waaH//ulaF//
RstA_pos	glgB//
RtcR_pos	dacC//purL//
RutR_neg	pdeF//slt//nrdB//astD//moeA//umuC//hycD//idnK//mdh//ldtB//
RutR_pos	asnA//
SdiA_neg	
SdiA_pos	
SgrR_neg	mtlD//
SgrR_pos	poxB//manA//
SlyA_neg	
SlyA_pos	ilvA//grxA//hycD//lysU//sodB//narH//dhaM//rfe//atoA//
SoxR_neg	
SoxR_pos	acnA//
SoxS_neg	
SoxS_pos	glpA//uvrA//aceE//serC//pck//paaB//cysJ//trpB//glgA//gpsA//cynT//gabD//tdcB//serC//fucI//atoB//fdhF//hycE//glpQ//lacA//thrS//putA//dapD//moaE//chbF//eno//
SrlR_neg	sdaA//mpaA//torA//
StpA_neg	tpiA//sdhD//atoB//
SutR_neg	fucA//hchA//
SutR_pos	
TdcA_pos	hycD//cynS//sdhA//mltF//pheS//
TdcR_pos	tdcG//lacA//aldB//hycF//speB//
TorR_neg	idnK//
TorR_pos	accD//paaB//prs//bioA//
TreR_neg	deoB//gadB//
TrpR_neg	ilvH//cysJ//apaH//cynT//glxK//sodB//putA//waaZ//argA//
TtdR_pos	glsA//nemA//
TyrR_neg	ilvN//ampC//sdhC//paaC//ldtC//cheR//icd//
TyrR_pos	fadE//nanM//murE//
UhpA_pos	purE//
UidR_neg	galM//hcaE//
UlaR_neg	glgA//cheR//astE//astA//fucU//
UvrY_pos	argC//speB//
UxuR_neg	caiA//paaI//deoD//rpiB//sdhC//
XapR_pos	gcl//lysA//
XylR_neg	
XylR_pos	gutQ//napG//nrfD//
YdeO_neg	
YdeO_pos	tdh//phnL//nemA//
YefM-YoeB_neg	tyrA//
YefM_neg	paaK//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	purL//purH//puuE//srlD//lldD//speA//
YjjQ_neg	gabD//nrdB//
YpdB_pos	
YqhC_pos	nrdF//wecC//
YqjI_neg	napA//
ZntR_pos	trmD//
ZraR_pos	
Zur_neg	dkgA//
