# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	fucA//mpaA//
Fis_neg	phnH//upp//araB//gatZ//phnM//ogt//ruvA//ftnA//upp//dhaK//sgbE//ansB//entD//lldD//nagB//tdcG//speB//srkA//ulaD//paaK//wecB//pgaD//gpsA//rpiB//garK//betB//pgaC//torC//rutC//nrfA//astB//entF//leuA//phnL//cyoE//dmsB//fucA//glpQ//puuD//sbcC//cynS//lpxD//aroL//mhpD//cysI//mngB//
Fis_pos	glsA//gapA//paaB//rtcB//mltF//paaZ//ascB//hcaB//glgB//kbaY//mraY//betA//wecC//paaI//acs//pyrD//hcaD//napH//lysA//aceA//trpA//sucC//hflX//fadH//truB//pdeL//atoA//ybjG//lpd//sucC//edd//rutD//fadD//relA//frdC//entF//relA//
FlhDC_neg	purN//thrS//
FlhDC_pos	hmp//leuB//chbG//rtcA//gabT//leuA//pgk//sufS//gpsA//yeaG//frdD//lysC//
FliZ_neg	umuC//ppsA//hemL//glmS//leuD//
FucR_pos	ampC//sdhA//fadJ//allA//lpxC//rtcB//
Fur_neg	sdhD//prpE//puuB//phr//gatY//glpC//patD//oxc//ribA//phnL//entB//alkA//fadM//tehB//napH//nemA//argE//melA//speC//astD//tadA//lacZ//ilvB//mpaA//dacC//torC//iscS//dhaM//ugpQ//dhaM//xdhA//aroG//treC//glpE//fadD//preT//glnA//ldtB//glcF//dgcZ//bcsB//alaC//alaA//wrbA//srkA//gcvH//pdeH//gabD//citE//purA//narH//ssuD//nrdE//
Fur_pos	malP//hflX//betA//pck//patA//mltF//rimK//lacZ//purL//gltX//udp//gatZ//ddlB//astE//gltX//tdh//
GadE-RcsB_pos	atoB//ldtD//fabI//citC//frdB//
GadE_pos	eda//mhpF//gdhA//citF//pgk//trmD//bioB//leuA//ubiX//rhaB//
GadW_neg	napB//glgC//lysA//
GadW_pos	acnB//carB//mazG//waaH//
GadX_neg	epd//dkgB//
GadX_pos	garD//entE//ycjG//entD//hchA//galK//atoA//apaH//sodB//dkgB//hycG//
GalR_neg	amiA//hcaB//ppsA//paaY//pepD//paaA//
GalR_pos	folE//malP//paaK//glgC//
GalS_neg	icd//fucA//queA//mazG//pheS//mhpA//
GalS_pos	eno//edd//epd//uvrA//
GatR_neg	puuE//nagA//malY//
GcvA_neg	ilvN//galE//dsdA//
GcvA_pos	yfdE//umuC//fbaB//
GlcC_neg	
GlcC_pos	ogt//sucD//gnd//
GlpR_neg	cysN//putA//narH//nrfD//argA//malZ//gabD//
GlrR_pos	
GntR_neg	aroA//paaE//rhaB//paaH//treC//araD//gadB//nrdA//deoA//
GutM_pos	trmA//gabD//ampD//
H-NS_neg	hypB//talA//tnaA//tdh//thrS//ulaF//glgX//caiA//ulaG//cmoM//argI//ppsA//prpC//gadA//melA//murG//nrdF//ogt//gadB//glpD//hycG//yeaE//prpE//amn//gor//garD//gudD//mhpB//hypF//umpH//paaK//pgaB//prmC//cysH//dgkA//trpE//aldA//pgaB//asnA//fabZ//xdhA//moaA//nagA//chiA//paaA//uidA//purC//aspA//purN//metC//rutE//
H-NS_pos	mnmG//edd//yqjH//cysN//rtcA//nrfD//accC//rffM//gadB//purE//glpK//uvrC//lysU//frdC//lpxC//
HU_neg	adhE//mhpC//dgcZ//truB//hyi//cysJ//allD//
HU_pos	
HcaR_neg	
HcaR_pos	metB//glgB//
HdfR_neg	
HdfR_pos	
HigA_neg	prpE//
HigB-HigA_neg	lsrG//
HipAB_neg	trmA//lsrG//
HipB_neg	dsdA//accD//glpE//
HprR_neg	rutE//rpiB//
HprR_pos	hycG//pgk//
HyfR_pos	narG//
HypT_neg	astD//cysE//
HypT_pos	glpA//alaA//umuC//fucI//cysH//
IHF_neg	murE//cyoE//fucA//paaK//accC//malZ//aldA//metL//puuD//malQ//murI//fucI//gcd//rsmH//gltX//uvrC//hcaB//ilvE//accD//aldB//upp//allD//frdC//fucK//gcvP//cheR//cysD//hycD//hyaA//uvrA//pykF//ssuD//tdcD//entF//betA//entD//gapA//dusB//aroG//puuA//xapA//metK//fbaB//
IHF_pos	lacZ//ampC//moaD//nfsA//mhpF//trpD//glyA//udp//ssuD//uvrA//tadA//glpE//ilvA//prmC//nagB//yqhD//dkgA//sbcC//garR//gnd//gcl//ubiX//ldtD//phoA//gcvT//yiaK//malZ//sdhA//metE//eda//prpE//paaK//narI//paaE//ttdA//uxuB//sdhD//caiB//trpC//hypB//yqjH//garR//betA//fucK//glpX//mhpA//hcaE//luxS//caiB//ftsI//ravA//melA//betB//moeA//murD//hycE//yqjH//cueO//srlD//nrfA//fabG//arsC//phnI//kbaY//ilvH//slt//epd//uxaA//purM//cyaA//alaC//
IclR_neg	truB//mnmG//ascB//
IdnR_neg	manA//cmoM//
IdnR_pos	sodB//pncB//uvrA//asnB//
IlvY_neg	
IlvY_pos	ubiA//
IscR_neg	dadX//ynfF//glgX//uxaC//fes//fabH//
IscR_pos	moaD//hycB//
KdgR_neg	hcp//uidA//
KdpE_pos	codA//
LacI_neg	ynfG//ampD//hycG//
LeuO_neg	
LeuO_pos	polB//ccp//rutB//fucI//asnA//ppc//
LexA_neg	hchA//guaB//cysC//pyrC//uxuB//sbcD//hcaD//sdhD//metK//gltX//waaZ//sbcD//pdxA//waaZ//cyoE//allC//galT//pck//luxS//hmp//ldtC//alkB//pyrC//
LldR_neg	fumC//cheR//
LldR_pos	murD//codA//
LrhA_neg	
LrhA_pos	
Lrp_neg	fucU//lpd//xdhB//hchA//dapD//dgcN//umpH//relA//sbcC//rnpB//glnA//entH//cysN//glxK//guaA//ldtD//pgm//murE//puuA//poxB//napB//carA//umpH//
Lrp_pos	nanM//cyoE//add//cadA//fucI//entF//moaD//deoD//narG//luxS//glpB//apaH//accD//aroF//pdxA//udp//yqhD//tktB//gpmA//murI//
LsrR_neg	entF//aldA//astD//dapB//bioF//
LysR_neg	
LysR_pos	lsrF//
MalI_neg	gdhA//hemF//
MalT_pos	lpxC//ubiG//pdxA//dacC//glpK//cueO//
MarA_neg	lsrG//
MarA_pos	lpxA//fadJ//katG//poxB//sucB//allE//mazG//hcp//ruvB//cysG//garL//uxuA//fdhF//hypB//purN//phnP//fumB//glpA//pdeF//hcaC//hycG//eno//patA//
MarR_neg	
MatA_neg	garL//
MatA_pos	
MazE-MazF_neg	ssuE//
MazE_neg	sdhC//
McbR_neg	
McbR_pos	
MelR_neg	glyA//ada//
MelR_pos	betA//hcp//
MetJ_neg	metK//phr//atoD//uvrB//umuC//fucI//ogt//kbaY//bioA//nanE//
MetR_neg	glnA//
MetR_pos	katG//pdeH//mltF//ampC//
MhpR_pos	recF//ulaD//argH//kbl//glcD//amiA//
Mlc_neg	alkB//uxaC//purL//fucI//
MlrA_pos	grxA//
MngR_neg	garK//bcsB//
MntR_neg	polA//
MntR_pos	ubiC//
ModE_neg	sdhB//fabG//ilvN//argI//trpE//lysC//kbaY//sodA//
ModE_pos	fucI//pgaC//folE//hemL//puuB//nirB//mhpD//puuE//bioF//
MprA_neg	fau//gatZ//tehB//
MqsA_neg	uxuA//citE//
MraZ_neg	guaA//caiD//pdeR//gltX//ulaF//fadD//murC//rffH//dhaK//edd//
MurR_neg	napG//ldtD//fucK//
MurR_pos	
Nac_neg	ubiG//sucA//murF//
Nac_pos	waaY//glxR//nadB//ttdB//gatZ//tdh//guaB//apaH//
NadR_neg	bioD//waaZ//galE//fadB//
NagC_neg	hycF//caiB//ppsA//hflX//acs//treC//uxaC//phnO//cysN//fadI//eno//ulaF//moaA//fabH//preT//trpB//cysG//gapA//
NagC_pos	waaY//guaB//
NanR_neg	lsrF//gabT//bioA//paaB//frdA//uidA//
NanR_pos	
NarL_neg	hemF//glgP//nanA//phoA//fadJ//arsC//cyaA//hcaB//icd//ilvC//kbaY//carA//gadB//aroL//pgaB//lysC//umpH//xdhA//gcd//nrfA//pheT//nrfA//glcF//argE//ravA//folA//srkA//allA//
NarL_pos	pepD//lyxK//atoD//ribA//ruvB//nrfA//citE//agp//astE//purK//psd//gltX//grxA//cysK//acs//
NarP_neg	ilvD//asnB//allE//prmC//aceF//
NarP_pos	tdcD//gatD//guaB//nanM//pdeH//pncB//mhpE//yeaE//citE//citG//nadA//paaB//rtcB//pck//
NemR_neg	tyrA//dmsA//
NhaR_pos	dgkA//paaA//recF//moaC//grxA//
NikR_neg	pfkA//
NimR_neg	rbsD//
NorR_neg	
NorR_pos	fabA//
NrdR_neg	gatY//sucD//ilvC//xdhC//
NsrR_neg	nrdB//garR//umuC//nemA//pheT//ulaG//astC//purK//metC//prmC//purH//umpH//frdA//dgcN//sbcD//hmp//glgB//astB//hemF//ogt//tadA//lpd//bcsZ//manA//dapB//fadM//galT//phnO//luxS//amiA//gdhA//sgbH//eda//dhaL//truB//recF//uxaA//prpB//puuC//mhpA//
NtrC_neg	mpl//citD//
NtrC_pos	nagA//gabT//gpsA//betA//ssuD//fadH//ldtB//nemA//ilvB//citX//tam//pdeL//pncB//idnD//uidA//pdeF//malZ//uvrA//araD//slt//idnD//
OmpR_neg	glgP//hyaC//entA//frdB//napH//
OmpR_pos	lsrK//bioF//moeB//paaJ//
OxyR_neg	mpaA//purA//gcl//lpd//ftnA//
OxyR_pos	pfkA//sdaA//tyrA//sodA//ilvI//recD//idnO//fbaA//ilvB//idnD//acs//cadA//
PaaX_neg	glcF//glpA//glgC//ilvM//hyaA//pnp//lsrG//pgi//fabH//
PdeL_pos	araB//
PdhR_neg	gutQ//lacZ//moeB//patD//hyaC//lldD//ada//dhaL//leuC//ftsI//fabZ//ilvG_1//paaK//pgk//fabI//trpB//atoB//pgi//rtcA//waaZ//asnB//bacA//sdaA//
PdhR_pos	patD//uxaB//
PepA_neg	pheT//bcsB//
PgrR_neg	glcE//kbaY//
PhoB_neg	xdhC//betB//dkgB//dgcC//aceA//
PhoB_pos	rsmH//epd//pdeR//mazG//accA//accD//argA//fabG//thrS//hycD//glcE//purM//bioA//mngB//purM//cysJ//murE//
PhoP_neg	glpD//acnB//oxc//
PhoP_pos	pnp//glpB//garD//purE//alaA//rffM//ddlB//purB//malZ//dacC//gntK//gatY//cadA//pncB//paaH//ppc//phnI//pnp//tam//galM//alaA//phnJ//fucK//rsmA//sbcD//tpiA//rfe//phnH//pdeL//puuA//ilvA//
PrpR_neg	
PrpR_pos	allE//xylB//acnA//pgpC//
PspF_neg	
PspF_pos	ynfF//
PurR_neg	hflX//hcaF//rffM//pepD//srkA//wecE//sufS//pncB//ansB//narG//ftnA//lysU//fabB//dgcZ//putA//ung//tyrB//paaE//hemF//murC//hypB//speC//nrfD//nfsA//cysD//psd//
PutA_neg	ulaE//ubiX//
PuuR_neg	tdh//rpiB//tdcG//aceF//hypF//lhgO//
QseB_neg	
QseB_pos	
RbsR_neg	lpxC//sucB//lsrF//allB//prpC//
RbsR_pos	ugpQ//
RcdA_neg	
RcdA_pos	tadA//
RclR_pos	
RcnR_neg	ogt//
RcsAB_neg	dhaL//
RcsAB_pos	speC//moaE//
RcsB-BglJ_pos	cysK//fes//
RcsB_neg	ynfH//
RcsB_pos	fucU//hemF//pdeH//
RelB-RelE_neg	trpD//
RelB_neg	bioA//
RhaR_pos	
RhaS_pos	ybjG//gadA//umuD//accA//
Rob_neg	
Rob_pos	ybjG//fabA//pfkA//dacC//dhaM//tauD//astD//dadA//dhaM//phoA//entF//gnd//rnpB//rhaD//ttdB//narI//hflX//ascB//tyrB//
RstA_neg	phnO//rutE//
RstA_pos	fabZ//
RtcR_pos	aceF//citG//
RutR_neg	dhaL//asnA//sbcD//mpl//ampC//yiaK//lhgO//xylB//xylA//uidA//
RutR_pos	argH//
SdiA_neg	
SdiA_pos	
SgrR_neg	sufS//
SgrR_pos	fdhF//waaH//
SlyA_neg	
SlyA_pos	trmD//metH//allD//pdeR//alaS//fucA//fau//fadD//purA//
SoxR_neg	
SoxR_pos	wrbA//
SoxS_neg	
SoxS_pos	metL//treC//yqhD//ubiX//galK//pykF//allA//murE//srlD//bioB//prpC//fdhF//dmsB//cysH//fabH//glnA//fabH//nrfD//metL//ynfF//tam//rimK//glgA//deoD//purK//argB//
SrlR_neg	ybjG//patD//purD//
StpA_neg	atoB//trpD//asnB//
SutR_neg	astE//hyaA//
SutR_pos	
TdcA_pos	ubiC//fabG//deoC//gcvH//uxaC//
TdcR_pos	prpD//leuB//pgaD//atoA//acnA//
TorR_neg	rsmH//
TorR_pos	ulaE//bacA//rsmA//mpl//
TreR_neg	ssuD//uxuB//
TrpR_neg	srlD//pheS//asnA//tyrA//accC//cysN//mhpE//uvrC//xdhC//
TtdR_pos	prpD//udp//
TyrR_neg	glpC//adeD//ubiG//cyoE//sgbH//gadB//ilvB//
TyrR_pos	rnpB//pdeL//gpmM//
UhpA_pos	yqjH//
UidR_neg	gatD//ilvN//
UlaR_neg	lpxC//lhgO//ilvM//mnmG//paaZ//
UvrY_pos	pflB//moaA//
UxuR_neg	garL//cysN//adeD//mdh//polA//
XapR_pos	hcaB//gcd//
XylR_neg	
XylR_pos	alaS//uidA//aceB//
YdeO_neg	
YdeO_pos	deoB//bioD//torC//
YefM-YoeB_neg	appA//
YefM_neg	ilvI//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	puuA//purH//cysG//moeB//ampD//puuE//
YjjQ_neg	nrdD//serA//
YpdB_pos	
YqhC_pos	napA//rsmH//
YqjI_neg	pgaD//
ZntR_pos	poxB//
ZraR_pos	
Zur_neg	fucK//
