# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	tpiA//dgcZ//
IHF_neg	udp//patZ//glsA//argC//murC//phnP//nfsB//ampC//uxuB//citE//tehB//dusB//torC//prmC//grxA//leuA//hycC//sdhA//ugpQ//nirD//sodB//serC//fes//lsrK//upp//purL//paaZ//adhE//fabI//sucC//lysA//ugpQ//waaZ//idnO//purE//galM//tdcG//murQ//dsdA//rnpB//prs//lsrF//lacA//
IHF_pos	fumC//gadA//hycB//uxuA//puuA//pgpC//phnI//glpK//gcvH//umuC//dmsA//accA//waaY//allA//aldB//ygeA//allC//lpxA//dgkA//ddlB//mpl//garR//pgi//folA//frc//fucI//ilvN//sdaA//tyrB//glpE//caiA//ldtD//purB//hflX//puuE//ssuE//rpiB//prmC//aceB//ddlB//moeB//luxS//speA//ahpF//ilvE//prpE//slt//gor//sodA//citE//yqhD//cysM//nrdF//aspA//fucA//pgpC//guaB//truB//tdcB//fumC//tyrA//serA//leuC//nanM//glpQ//ldtC//paaJ//avtA//prpB//rffT//cysG//
IclR_neg	feaB//paaG//luxS//
IdnR_neg	rsmH//phnL//
IdnR_pos	dmsA//fadI//ulaE//gatY//
IlvY_neg	
IlvY_pos	apaH//
IscR_neg	astA//phnM//dusB//cadA//ttdB//astA//
IscR_pos	rffH//lpd//
KdgR_neg	patZ//waaH//
KdpE_pos	fadJ//
LacI_neg	hycE//murE//ubiX//
LeuO_neg	
LeuO_pos	wecB//galE//araB//dhaK//ackA//pgpC//
LexA_neg	nagB//purD//galM//dmsA//ubiA//aceB//deoD//fdhF//ilvI//yqjH//paaB//ndh//murD//gpmM//udp//dadA//uxuA//rimK//alaC//thrS//murD//mpl//pdeF//
LldR_neg	malP//prpE//
LldR_pos	queA//glnA//
LrhA_neg	
LrhA_pos	
Lrp_neg	gudD//wecE//dkgA//umuC//nadA//sgbH//cyaA//cysM//uvrB//fadE//poxB//allA//cysH//aroG//xdhC//dhaL//icd//hflX//wrbA//uxuB//nrdE//fadA//guaB//
Lrp_pos	rhaA//nfsA//purE//glpA//dacC//pgpC//nanE//kbaZ//katE//ilvG_1//fucA//dkgA//alkB//argA//paaH//sgbH//fau//polA//cueO//argH//
LsrR_neg	glxK//fau//ilvH//hcaC//phoA//
LysR_neg	
LysR_pos	caiD//
MalI_neg	citD//uxuB//
MalT_pos	wecC//ldtC//apaH//tdcB//citF//argI//
MarA_neg	rpiB//
MarA_pos	ynfG//citG//oxc//tam//napA//ldtC//wrbA//wzc//srlD//yeaE//citE//moeA//umpH//bcsB//accA//caiA//wrbA//tpiA//ansB//bglB//pdeR//glxR//purC//
MarR_neg	
MatA_neg	gatZ//
MatA_pos	
MazE-MazF_neg	ttdA//
MazE_neg	gcl//
McbR_neg	
McbR_pos	
MelR_neg	hemH//fadE//
MelR_pos	alaS//ndh//
MetJ_neg	ugpQ//purK//metC//lysU//garK//fadD//uxaB//nrdF//polA//gpsA//
MetR_neg	allD//
MetR_pos	phnO//alkB//gcvT//mpl//
MhpR_pos	bioA//putA//pfkA//paaJ//purK//dadX//
Mlc_neg	dgcZ//phnI//paaE//uxaB//
MlrA_pos	garK//
MngR_neg	glpX//hcaC//
MntR_neg	patD//
MntR_pos	betA//
ModE_neg	pflB//ackA//malS//citG//phnP//pheS//ilvB//allA//
ModE_pos	glpD//add//umpH//paaJ//rffG//ybjG//glxR//speC//phnJ//
MprA_neg	mhpD//ulaE//uvrC//
MqsA_neg	torC//metE//
MraZ_neg	dhaK//dadA//nanE//ldtB//yqjH//lysA//ulaG//dkgA//ruvB//paaI//
MurR_neg	ybjG//araA//malP//
MurR_pos	
Nac_neg	purE//bioF//glyA//
Nac_pos	hycG//wecB//alsE//prpE//glpQ//gutQ//hcp//cmoM//
NadR_neg	ilvD//hemA//nirB//ulaD//
NagC_neg	nirD//allE//sgbE//glpD//hycG//epd//allC//fes//pgaB//prmC//citX//glmU//sbcD//ubiG//sucB//trpE//phnN//allA//
NagC_pos	psd//lldD//
NanR_neg	puuB//uxuA//alaS//polA//rutA//astD//
NanR_pos	
NarL_neg	napH//sodB//dapB//gutQ//tdcD//garR//metK//lysA//trpB//glmS//mngB//yfdE//mhpA//gpmM//frdA//waaY//hypF//queA//lpxA//yqjH//tktB//fumB//alaS//araA//kbaZ//caiC//glsA//nfsA//
NarL_pos	trpA//sgbH//allA//gabD//glcE//ribA//ppc//gcvT//argF//argE//phnI//pgaC//idnK//napG//nrfA//
NarP_neg	bioA//metL//purE//hcaD//alkB//
NarP_pos	ilvH//leuB//purC//lpxD//aroA//wzb//ahpC//glmU//sgbH//hcaB//fabG//yedX//rhaA//lpd//
NemR_neg	ddlB//caiD//
NhaR_pos	nfsA//frc//entC//manA//metF//
NikR_neg	moaC//
NimR_neg	ilvG_1//
NorR_neg	
NorR_pos	adiA//
NrdR_neg	patZ//allB//murG//idnO//
NsrR_neg	fadI//deoB//iscS//aroG//dgcC//speB//serC//metE//tdcG//ycjG//pheT//garK//speC//hypB//ccp//folE//sdhD//dusB//yfdE//sucA//leuC//ung//hyaB//allB//fabH//leuC//fbaA//glpX//alaS//narH//hycC//nrdF//mltF//pgi//moeB//murF//asnA//xdhA//citG//garL//
NtrC_neg	ulaE//citF//
NtrC_pos	rffH//acnA//galE//umuC//allA//astE//pspE//fes//lacA//sodB//deoC//dsdA//murF//appA//phr//galT//gcvT//citC//srlD//nagA//bioB//
OmpR_neg	dadX//hemF//patZ//ydcS//wecC//
OmpR_pos	speA//uidA//amn//glpX//
OxyR_neg	srlD//metC//paaG//dmsA//rffC//
OxyR_pos	folA//ppiA//allC//rbsD//carA//paaH//cueO//paaF//gloA//purC//tdcE//hyaB//
PaaX_neg	phnO//chbF//cheB//purA//cysG//dapD//yqjH//uvrB//paaA//
PdeL_pos	lsrF//
PdhR_neg	ilvN//mtlD//fruK//cynT//lsrF//paaF//trmD//glmS//narG//gutQ//hemF//frdD//gatZ//yqjH//fumB//aldB//ilvA//nfsB//aceE//phnN//pncB//frdC//uxaA//
PdhR_pos	hyaA//patA//
PepA_neg	bioF//katE//
PgrR_neg	ilvH//mpaA//
PhoB_neg	torA//speA//nirD//mhpE//rffT//
PhoB_pos	cadA//argA//puuA//allE//glpB//agp//xdhA//fucO//ogt//kbl//gor//idnD//tdcB//relA//betB//ugpQ//metH//
PhoP_neg	entH//nrfC//leuC//
PhoP_pos	malY//hcp//dhaK//gatZ//malQ//hcaD//ddlB//patZ//tdcB//galT//accA//ppc//metA//pgaC//cynS//adiA//malY//purA//entA//nrfA//garR//dhaM//nadC//oxc//gabT//yiaK//galM//puuE//dadA//wecB//cadA//
PrpR_neg	
PrpR_pos	fbaB//astB//fumC//alaA//
PspF_neg	
PspF_pos	prs//
PurR_neg	dkgA//nrdA//rbsD//malZ//dapB//relA//aceF//aroG//gltB//hycE//dkgB//nrfA//fumA//purN//phnG//galK//fdhF//nemA//tam//umuD//wecC//paaA//ndh//glpD//fadJ//dgkA//
PutA_neg	dkgB//ilvI//
PuuR_neg	ilvD//gapA//accD//cysK//gcd//melA//
QseB_neg	
QseB_pos	
RbsR_neg	chbG//rpiB//hmp//paaG//pspE//
RbsR_pos	gpmM//
RcdA_neg	
RcdA_pos	argA//
RclR_pos	
RcnR_neg	ttdA//
RcsAB_neg	mhpC//
RcsAB_pos	glpD//cyaA//
RcsB-BglJ_pos	lysC//waaY//
RcsB_neg	moeB//
RcsB_pos	poxB//hyaC//nirB//
RelB-RelE_neg	yqjH//
RelB_neg	ddlB//
RhaR_pos	
RhaS_pos	glxK//asnB//dsdA//dkgB//
Rob_neg	
Rob_pos	srlD//glxR//gutQ//hcaD//argG//ahpC//gnd//fruK//rutB//pfkA//fabD//cadA//talA//sdhA//rutB//moaC//gltB//atoA//speC//
RstA_neg	gltB//metL//
RstA_pos	feaB//
RtcR_pos	paaE//glxR//
RutR_neg	glgX//phoA//aceF//fadJ//sucC//phnP//uidA//nadC//trpE//rsmA//
RutR_pos	zwf//
SdiA_neg	
SdiA_pos	
SgrR_neg	pagP//
SgrR_pos	acnB//murI//
SlyA_neg	
SlyA_pos	upp//prmC//mtlD//hycC//ycjG//wzc//hemL//yfdE//pheS//
SoxR_neg	
SoxR_pos	rbsD//
SoxS_neg	
SoxS_pos	ubiC//ampC//astC//ilvI//sucD//ilvD//tktB//katE//lpxA//xapA//glpB//phnJ//aroH//glsA//idnD//cyoE//srlD//pgm//cadA//metA//gor//rsmA//phnG//prpB//argH//atoB//
SrlR_neg	fucO//uxaA//gatY//
StpA_neg	frc//gcl//uidA//
SutR_neg	argC//malP//
SutR_pos	
TdcA_pos	fumB//tdcE//poxB//alaC//ppc//
TdcR_pos	garK//gatD//atoB//cdd//metH//
TorR_neg	fabG//
TorR_pos	xylA//hycG//ahpF//lsrK//
TreR_neg	leuC//bioB//
TrpR_neg	garR//dmsA//fabA//dmsA//fucO//bioF//rffM//paaZ//pgpC//
TtdR_pos	moaD//tehB//
TyrR_neg	pnp//moaE//sucD//entC//cysM//queA//lpxA//
TyrR_pos	slt//citF//fadI//
UhpA_pos	talA//
UidR_neg	napG//umpH//
UlaR_neg	glpB//nrdF//purL//rutB//hyi//
UvrY_pos	rutA//xdhB//
UxuR_neg	citC//gpmM//treC//murE//entF//
XapR_pos	cynS//pheS//
XylR_neg	
XylR_pos	rtcA//fucO//fruK//
YdeO_neg	
YdeO_pos	lpd//epd//prpE//
YefM-YoeB_neg	carA//
YefM_neg	aceB//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	speB//polB//sdhB//argI//phnI//fbaB//
YjjQ_neg	sgbH//cysN//
YpdB_pos	
YqhC_pos	pyrC//caiA//
YqjI_neg	entD//
ZntR_pos	rutC//
ZraR_pos	
Zur_neg	patA//
