# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	galM//bioC//
Fis_neg	lpxC//lpd//argI//sdhA//dkgA//gltX//ndh//betA//wecE//hypB//codA//hycE//dapB//dinB//accD//cysD//pgaC//ccp//moaC//pgi//glpA//gloA//paaE//chiA//manA//paaH//ilvB//yiaK//atoB//gabT//glgP//chbF//allB//cysI//purA//cysH//gpmA//ilvD//ubiX//alaA//moaA//ubiC//argE//glxR//amn//bacA//
Fis_pos	rsmH//sdhA//dapB//yeaE//tauD//fabA//adeD//gadB//nrdE//appA//ynfG//chiA//fbaA//sdhB//lyxK//betB//torC//fabA//oxc//napG//edd//fruK//gltX//hycF//ftsI//hycD//glpA//hycC//fes//gpmM//bglB//yeaG//yiaK//fadM//nadB//fabA//pyrD//
FlhDC_neg	rimK//cueO//
FlhDC_pos	entH//gapA//cmoM//glcF//deoC//tktB//hcaB//ruvB//purB//rnpB//metC//puuB//
FliZ_neg	murF//ppsA//rutD//hcaC//gpmA//
FucR_pos	ycjG//ftsI//fadM//uxaB//nrdB//pgaD//
Fur_neg	hcp//glmS//frdD//moaC//malQ//ynfE//accD//nrdF//ravA//hcaB//eda//fabA//kbl//adhE//prpB//ynfH//yiaK//gpmM//galK//speB//rfe//pdeF//allD//aceA//alkA//purE//phoA//dkgA//hyi//citE//ftsI//dgcN//pfkA//purN//tehB//malS//accD//lacA//mnmG//ubiA//pgm//nrdA//nfsB//gatZ//ycjG//entD//asnB//lacA//speA//garL//cynT//trpE//lldD//
Fur_pos	cysE//glmS//araD//phnI//epd//glgP//gltX//aldB//malP//purL//ppc//cysD//hyaC//bioB//glgC//trpC//
GadE-RcsB_pos	yqhD//galT//glgP//glnA//xylB//
GadE_pos	pagP//trpD//trpD//glpQ//purK//mhpC//fumA//recF//preT//pgaD//
GadW_neg	araD//ttdA//melA//
GadW_pos	adiA//araA//recB//dkgA//
GadX_neg	slt//tdcE//
GadX_pos	yqhD//fdhF//narG//aceA//speA//tehB//yedX//fes//hycB//phnO//ulaE//
GalR_neg	tdcB//ynfG//yeaG//malP//galK//prpC//
GalR_pos	moaE//glgC//nagA//rutA//
GalS_neg	ddlB//tdcB//frdC//acnB//rffH//cyaA//
GalS_pos	hcaE//ubiC//mazG//citC//
GatR_neg	sdaA//pheS//citD//
GcvA_neg	sgbE//trpC//rbsK//
GcvA_pos	purC//dmsA//lsrG//
GlcC_neg	
GlcC_pos	purH//astA//betB//
GlpR_neg	agp//chiA//polB//ruvB//murQ//hycC//alaC//
GlrR_pos	
GntR_neg	rutD//gltX//ilvC//fadB//gabT//gadA//mraY//aspA//mhpF//
GutM_pos	ilvI//astC//cysC//
H-NS_neg	ulaE//hmp//fucO//caiC//gabD//gatZ//relA//rpiB//mpl//fruK//lsrK//sucB//leuC//ribA//rffT//hcaB//deoD//gdhA//malS//hcaD//mraY//ahpC//lsrF//torA//ybjG//murG//ubiX//entE//allA//galT//tnaA//chbF//chbF//ldtB//ilvE//citX//sufS//metB//nagB//ssuD//patZ//entC//citX//fumB//preA//purN//puuC//lacA//xdhC//nanA//ppc//
H-NS_pos	gltD//gadB//fruK//mhpF//phnP//hemF//trmA//yeaE//accD//murE//fau//gltB//patA//rffT//wecB//
HU_neg	tyrA//yiaK//trpD//nrdE//glgX//hypB//cyaA//
HU_pos	
HcaR_neg	
HcaR_pos	trpD//hcp//
HdfR_neg	
HdfR_pos	
HigA_neg	mltF//
HigB-HigA_neg	hycB//
HipAB_neg	trpC//yeaG//
HipB_neg	speA//ssuD//pdxA//
HprR_neg	pdeR//ahpC//
HprR_pos	ahpF//ampC//
HyfR_pos	tdcD//
HypT_neg	manA//mhpF//
HypT_pos	katE//mngB//paaH//gcl//lacA//
IHF_neg	hcaB//chiA//pgaC//uxuA//rffH//purA//fabD//phnG//fadE//pyrC//aroL//mhpF//allC//fabZ//ada//nrfA//nagA//glgX//sgbU//folA//mtlD//bioA//hemA//fabZ//xylA//mraY//waaH//nrfC//prpE//ubiX//mhpD//gdhA//ynfE//prpB//dmsB//grxA//garR//fabG//malP//wzb//idnK//citD//rnpB//
IHF_pos	entC//ssuE//speB//katG//wzb//argG//pgk//ychF//glxR//mhpE//poxB//amn//purL//ydcS//carA//gcl//glgA//purN//ynfF//ascB//tdcE//gudD//cysI//fabI//cmoM//chbG//gcvH//acnB//fdhF//murD//tnaA//uxaB//hycG//fdhF//pgaC//mhpD//betB//dmsB//nrfD//bacA//wecB//atoB//yedX//deoD//tdcE//aldA//argG//ddlB//tyrA//argA//fucI//bioF//mhpC//chiA//tadA//cysN//fucU//hemH//chbF//ttdA//paaB//araA//fabH//acs//malQ//speC//sodB//ansB//puuC//metA//sdhA//
IclR_neg	hemA//zwf//gabD//
IdnR_neg	sdhA//astD//
IdnR_pos	epd//patA//murQ//speC//
IlvY_neg	
IlvY_pos	tktB//
IscR_neg	tdcG//phr//hemF//ldtD//alsE//metC//
IscR_pos	hcaC//idnD//
KdgR_neg	entB//xapA//
KdpE_pos	melA//
LacI_neg	gpmA//garR//preA//
LeuO_neg	
LeuO_pos	malP//ahpC//galM//uxuB//dusB//phoA//
LexA_neg	bioA//ruvA//nirD//mtlD//glgC//srlD//hycD//leuB//ilvD//pdeF//amn//glpA//trmA//ilvB//trpE//pfkA//ftnA//rtcB//nirD//ynfH//gntK//ada//pspE//
LldR_neg	leuC//gltD//
LldR_pos	pagP//appA//
LrhA_neg	
LrhA_pos	
Lrp_neg	ogt//amiA//pykF//ppc//polA//glcE//leuB//pdeF//pgaB//ttdB//entH//wzc//allD//napA//nrfA//accC//paaH//glgX//citC//dusB//fumB//glgP//purF//
Lrp_pos	fumB//uidA//ilvA//patA//atoA//aceE//leuC//ftsI//tam//ychF//entE//bacA//dhaL//poxB//rutE//glnA//nanK//ilvI//yfdE//sgbU//
LsrR_neg	glmS//malZ//lsrF//ackA//cysD//
LysR_neg	
LysR_pos	hyaA//
MalI_neg	ung//dgcZ//
MalT_pos	glsA//atoD//sucA//betA//glcE//glpX//
MarA_neg	hcaD//
MarA_pos	mhpC//phoA//trpB//astA//iscS//phnG//rhaD//phnM//idnD//polB//amn//ftsI//hmp//ilvB//atoB//bioA//paaJ//rbsD//paaB//dadX//phnG//hycD//hemA//
MarR_neg	
MatA_neg	leuA//
MatA_pos	
MazE-MazF_neg	rhaA//
MazE_neg	aspA//
McbR_neg	
McbR_pos	
MelR_neg	umuC//purC//
MelR_pos	citX//pfkA//
MetJ_neg	metA//ahpF//srkA//ugpQ//phnP//rimK//yqjH//cpdB//nrdF//gcl//
MetR_neg	rpiB//
MetR_pos	folE//galM//prpB//bioB//
MhpR_pos	puuC//fadA//caiD//hcaB//bioD//allD//
Mlc_neg	tdcD//zwf//paaZ//metL//
MlrA_pos	yedX//
MngR_neg	sgbE//bioD//
MntR_neg	betB//
MntR_pos	gcl//
ModE_neg	frdA//glcE//acnA//ttdB//aspC//ubiG//narI//uxaA//
ModE_pos	ftsI//fucI//adeD//iscS//cysC//kbaZ//paaF//gpmA//hycE//
MprA_neg	xdhB//ilvB//fabA//
MqsA_neg	bacA//alaA//
MraZ_neg	citF//murQ//uxaB//mltF//hyaC//gabT//yqhD//phnM//dmsA//purL//
MurR_neg	poxB//prpB//glpA//
MurR_pos	
Nac_neg	ssuD//relA//fadB//
Nac_pos	polA//glgC//grxA//rnpB//cysM//fadD//pdxA//tadA//
NadR_neg	ruvB//yeaG//sbcC//idnO//
NagC_neg	polA//trpD//uxaB//rhaA//eda//paaI//betA//ulaF//ldtB//alaS//dusB//dmsB//pdxA//phnM//aspC//ribA//sbcC//metF//
NagC_pos	cheR//nemA//
NanR_neg	bcsZ//frdA//tktB//moaD//prs//nagB//
NanR_pos	
NarL_neg	prpE//fabI//dadX//ubiX//purN//feaB//sbcD//eda//glcF//nfsA//sodA//ydcS//dgcZ//uxuB//wecC//mltF//alaA//astB//icd//moaE//mhpA//rbsK//mltF//dmsB//umpH//dhaM//glcE//nadB//
NarL_pos	nemA//phnM//ahpC//adeD//phnH//ldtD//ackA//ssuD//pgaC//argD//gloA//rutE//uxaC//bioD//tdcD//
NarP_neg	paaJ//hflX//grxA//astD//ftnA//
NarP_pos	tdh//umuC//nrfA//paaJ//aceB//cmoM//yqjH//amn//gatY//nagB//fadB//murQ//allC//bcsZ//
NemR_neg	deoD//ilvA//
NhaR_pos	gpsA//lpxC//nrdD//paaA//paaH//
NikR_neg	purC//
NimR_neg	lysA//
NorR_neg	
NorR_pos	ychF//
NrdR_neg	uxuA//speB//fadM//gltX//
NsrR_neg	cysN//glpB//oxc//ygeA//paaJ//preA//nirB//xdhA//sucC//kbaY//ychF//dgcZ//wzc//phnO//carA//fabD//rtcA//feaB//rutA//preA//nadB//argH//lpxA//metH//phnN//puuD//gltX//putA//nagA//metK//fucK//aceF//atoD//gltB//dkgB//folA//ddlB//galE//xylA//gcl//
NtrC_neg	yiaK//nagA//
NtrC_pos	ogt//pdeH//alaC//astB//nanK//rutD//cmoM//arsC//amn//argD//phnH//ttdB//yqjH//fabI//ndh//dusB//nrfA//pyrD//hemF//sucB//bioF//
OmpR_neg	fabG//allB//lldD//citX//xdhA//
OmpR_pos	araB//fucA//trpC//aspC//
OxyR_neg	glmU//cysJ//hycG//argC//dapB//
OxyR_pos	metL//psd//argI//fadJ//phnL//rutA//paaB//zwf//garL//nirB//arsC//pgaC//
PaaX_neg	gcvH//arsC//aceA//wecB//ldtD//thrS//citF//paaC//xylB//
PdeL_pos	bacA//
PdhR_neg	fumC//glmS//gabD//nagA//acs//sdhC//hmp//ulaE//ssuD//ynfH//prmC//carB//icd//prpE//fes//ndh//bioC//fucU//tyrA//phnP//trpC//fadI//hyaB//
PdhR_pos	ackA//ilvI//
PepA_neg	glk//rsmH//
PgrR_neg	mazG//rimK//
PhoB_neg	polB//prpC//hypF//astD//tdh//
PhoB_pos	rutC//purC//psd//katE//manA//aceE//mraY//nanA//trpC//glnA//nirB//gcd//hemF//nrfD//cynS//puuE//tyrA//
PhoP_neg	phnH//allA//frdA//
PhoP_pos	puuB//sdhD//lsrF//cysC//ugpQ//deoD//narG//gltX//rffC//treC//lpd//pfkA//fdhF//gcl//amn//sgbE//phnN//hyi//ulaF//metA//hemH//allA//cysG//bioB//leuA//eda//purA//bcsZ//cysM//astE//fadB//
PrpR_neg	
PrpR_pos	nrdA//nirD//sucB//lsrK//
PspF_neg	
PspF_pos	ansB//
PurR_neg	ppsA//rsmA//glgB//alkA//garD//hchA//rutC//citE//gpsA//gcd//tdcE//fabA//prs//metL//mhpD//gntK//moaC//cueO//nrdA//mhpA//murI//ulaD//fadJ//metC//ttdA//deoC//
PutA_neg	bacA//rutC//
PuuR_neg	dsdA//rutE//ppiA//ubiC//nadA//malP//
QseB_neg	
QseB_pos	
RbsR_neg	purM//murD//uidA//ilvD//patA//
RbsR_pos	ilvI//
RcdA_neg	
RcdA_pos	mdh//
RclR_pos	
RcnR_neg	speB//
RcsAB_neg	rutD//
RcsAB_pos	upp//malP//
RcsB-BglJ_pos	wzb//napB//
RcsB_neg	dadX//
RcsB_pos	tdcE//ynfH//torC//
RelB-RelE_neg	dacC//
RelB_neg	glpQ//
RhaR_pos	
RhaS_pos	idnO//upp//udp//acs//
Rob_neg	
Rob_pos	hcp//hemF//uidA//acs//umuC//cysI//fucA//xylB//iscS//gltD//nrdA//nagB//umpH//citC//malQ//avtA//uxaA//mazG//relA//
RstA_neg	alkB//dadA//
RstA_pos	pnp//
RtcR_pos	ppiA//tdcB//
RutR_neg	yfdE//aroF//pncB//fabG//aroG//cysH//hcaE//entB//talA//entF//
RutR_pos	srkA//
SdiA_neg	
SdiA_pos	
SgrR_neg	garD//
SgrR_pos	dhaK//hyaA//
SlyA_neg	
SlyA_pos	lacZ//mraY//paaA//mpaA//xdhA//adhE//metA//phnH//adiA//
SoxR_neg	
SoxR_pos	allC//
SoxS_neg	
SoxS_pos	prmC//purB//sgbU//guaB//puuB//amn//ttdB//prpD//murC//pgm//gntK//hycF//bioF//prpB//purF//ynfF//frdD//lpxD//araB//luxS//xdhB//leuA//pgaB//rpiB//deoB//narG//
SrlR_neg	rpiB//puuD//fabG//
StpA_neg	dgcN//edd//aroL//
SutR_neg	fbaB//glnA//
SutR_pos	
TdcA_pos	phr//phnG//trmD//fumB//hemH//
TdcR_pos	fumC//gabD//hcaD//fucI//paaI//
TorR_neg	ruvA//
TorR_pos	hycG//ung//pdeF//acnB//
TreR_neg	phnP//ldtB//
TrpR_neg	nrdB//argH//nrdD//phnI//dadA//rutA//fruK//nadB//idnK//
TtdR_pos	betA//nirB//
TyrR_neg	adeD//mdh//hyaA//wecC//grxA//poxB//citG//
TyrR_pos	fucA//aldB//nrdB//
UhpA_pos	caiD//
UidR_neg	sgbU//pdeL//
UlaR_neg	frdC//narG//sdhB//alkA//fau//
UvrY_pos	hemF//glgC//
UxuR_neg	eno//preT//tnaA//eno//gcd//
XapR_pos	chbG//prpD//
XylR_neg	
XylR_pos	ravA//mdh//ansB//
YdeO_neg	
YdeO_pos	fumB//glpA//hycE//
YefM-YoeB_neg	xdhC//
YefM_neg	paaG//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	torC//hycB//hypF//fabZ//psd//bcsZ//
YjjQ_neg	fadJ//cyoE//
YpdB_pos	
YqhC_pos	ddlB//cpdB//
YqjI_neg	amiA//
ZntR_pos	agp//
ZraR_pos	
Zur_neg	preT//
