# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	cysH//wecE//
GalS_pos	nemA//aceF//aroA//argB//
GatR_neg	metA//leuB//arsC//
GcvA_neg	cheB//prpB//cadA//
GcvA_pos	xdhA//nrdE//ilvA//
GlcC_neg	
GlcC_pos	kbaZ//psd//pgaC//
GlpR_neg	pgaB//betB//sucB//purN//prpE//glpC//ssuE//
GlrR_pos	
GntR_neg	cyaA//dkgB//mpl//alaA//pheT//sgbE//ackA//cysC//ilvC//
GutM_pos	gadA//eda//allD//
H-NS_neg	glpQ//pyrD//ychF//eda//dapD//ampD//mhpA//cysC//gudD//deoD//ubiX//cyoE//frdB//tnaA//garR//pnp//recF//glcF//hflX//gcl//nrfC//nagA//malZ//hyaA//fadB//pgk//dgcZ//upp//nrdF//tdcD//carA//dkgB//gltX//ssuD//folE//pepD//alkA//ilvN//rhaA//accC//patA//ilvI//xdhB//patA//deoB//paaC//dkgB//dusB//rimK//rbsD//phnI//
H-NS_pos	araA//chbG//murI//murD//chiA//allE//sucC//fumC//mdh//talA//astC//paaH//galK//garL//cheR//
HU_neg	malS//udp//relA//paaF//murC//purK//idnO//
HU_pos	
HcaR_neg	
HcaR_pos	fau//dadA//
HdfR_neg	
HdfR_pos	
HigA_neg	fucK//
HigB-HigA_neg	waaY//
HipAB_neg	fadM//serC//
HipB_neg	mhpF//aroG//rimK//
HprR_neg	asnA//dkgA//
HprR_pos	preA//glxK//
HyfR_pos	avtA//
HypT_neg	cysM//lpxD//
HypT_pos	sucA//uvrA//glpX//ynfH//fumB//
IHF_neg	serC//tauD//astE//nrfD//trpA//uxaA//garR//argI//deoC//lysC//wecC//tynA//agp//fabZ//yqhD//ttdB//gabD//astE//malP//aroG//aroL//nanE//aroG//metC//paaE//metB//aceA//wzc//tehB//ascB//aroH//yedX//pgpC//glpX//prs//pgpC//lsrG//patZ//metB//fabI//glyA//caiB//cysI//
IHF_pos	srkA//astE//aroG//lsrG//glmU//katG//caiA//tdcG//glpB//aroH//hemF//argF//paaA//gpmM//tktB//wzc//amiA//cyoE//cysN//ubiG//rfe//waaY//iscS//hyaA//cueO//phnN//feaB//ftnA//mhpB//hyaB//citF//fau//gcvH//caiB//nrdF//ccp//xylB//cueO//allE//pykF//mazG//fbaB//upp//aroF//purA//ubiA//yfdE//mazG//pgi//serC//gadB//glk//ulaD//ssuE//phnH//glmS//araA//fumB//bglB//gcl//adeD//tehB//bioD//entA//leuA//tyrB//cyoE//paaA//gcl//tdcB//rffM//
IclR_neg	cyaA//srkA//uxaA//
IdnR_neg	speA//alkB//
IdnR_pos	wecC//torC//glxR//alkB//
IlvY_neg	
IlvY_pos	rsmH//
IscR_neg	aceA//fdhF//alkB//polA//waaZ//murG//
IscR_pos	fabH//ilvE//
KdgR_neg	adhE//wecC//
KdpE_pos	xdhB//
LacI_neg	glmS//aroF//metK//
LeuO_neg	
LeuO_pos	bcsB//fadB//lsrF//hycD//aceA//gloA//
LexA_neg	dgkA//metB//fruK//agp//moaA//bioD//gudD//rsmH//codA//zwf//ddlB//dhaK//nagB//gatD//ruvA//ruvA//umpH//lysA//nrdB//dgkA//patA//ubiC//arsC//
LldR_neg	speA//dadX//
LldR_pos	ulaD//paaZ//
LrhA_neg	
LrhA_pos	
Lrp_neg	udp//aceA//deoB//icd//psd//lsrF//preT//nfsB//lpxC//metH//yeaG//hcaC//allE//sucA//ssuE//phnP//pgaD//rhaA//mhpA//metF//galK//mhpD//hyi//
Lrp_pos	chiA//ilvH//carB//fabB//ynfG//aceB//atoA//sdhB//citF//galK//gcvH//frdA//sgbH//nfsA//gpsA//poxB//fabG//tdcD//cyaA//tdcD//
LsrR_neg	narG//avtA//pck//nanK//lsrK//
LysR_neg	
LysR_pos	amiA//
MalI_neg	glmU//rffH//
MalT_pos	purL//galK//gabT//alaC//rpiB//nrdF//
MarA_neg	ilvG_1//
MarA_pos	tdcG//pdeF//speC//dapB//cysK//ssuE//cysN//pfkA//nanM//add//phoA//fadD//nanE//bacA//aceF//lpxA//gloA//nirD//hycG//fes//puuA//rutA//nrdD//
MarR_neg	
MatA_neg	dmsC//
MatA_pos	
MazE-MazF_neg	hycD//
MazE_neg	appA//
McbR_neg	
McbR_pos	
MelR_neg	argC//glyA//
MelR_pos	argA//sdhB//
MetJ_neg	gltD//cheR//hycC//prpD//gloA//fumB//queA//dapB//uxaB//patZ//
MetR_neg	umpH//
MetR_pos	pheT//glpD//pgpC//bcsZ//
MhpR_pos	yedX//dadA//pflB//ilvD//hemA//araB//
Mlc_neg	lsrF//puuE//yqjH//uvrB//
MlrA_pos	asnA//
MngR_neg	puuB//aspA//
MntR_neg	wrbA//
MntR_pos	polA//
ModE_neg	sgbU//ldtB//amn//murC//pdeH//nfsA//uvrA//grxA//
ModE_pos	rutC//aroL//accD//bioD//acs//pyrD//relA//rfe//ftnA//
MprA_neg	hflX//amiA//speC//
MqsA_neg	serA//astA//
MraZ_neg	nfsB//atoA//pgaD//cadA//xylA//glpQ//ttdB//glcD//polB//gapA//
MurR_neg	chbG//gapA//entD//
MurR_pos	
Nac_neg	chiA//gabD//umuC//
Nac_pos	entF//hyaB//rutD//dgcZ//galM//bioA//rffC//appA//
NadR_neg	argC//astC//acs//kbaY//
NagC_neg	aroF//gadA//ilvI//paaF//fabI//fadI//wecC//kbaY//nrdE//sodB//mraY//pspE//wecB//phoA//ulaF//hypB//pheS//srkA//
NagC_pos	wzb//ndh//
NanR_neg	gabD//frc//dapB//lldD//prpC//wecC//
NanR_pos	
NarL_neg	hcaC//cpdB//pdeL//hemF//amiA//hmp//pgi//ubiA//fucO//mpl//cysD//yfdE//lpxD//dgcC//paaH//cueO//fadI//uvrC//nrfD//caiA//aceB//ubiC//astD//tktB//paaI//bioB//gapA//fabZ//
NarL_pos	kbaY//glcD//deoC//entA//fadE//napH//guaB//uidA//murF//allC//gntK//moaC//lacA//gatY//glpK//
NarP_neg	ascB//ruvA//torC//glcE//ilvI//
NarP_pos	pyrC//oxc//putA//metC//sucC//deoA//tdcD//xylA//argD//uxaB//alkA//nadC//pfkA//ogt//
NemR_neg	galE//hycC//
NhaR_pos	murE//carA//narI//ribA//trpD//
NikR_neg	murE//
NimR_neg	citE//
NorR_neg	
NorR_pos	dkgB//
NrdR_neg	sbcD//malZ//ahpF//fucO//
NsrR_neg	codA//rutB//paaZ//pgi//phnJ//ilvI//rtcB//purB//metK//tehB//cynT//hypB//entC//ugpQ//tyrB//hypB//gdhA//udp//hflX//psd//trpD//kbl//leuB//wzb//phnJ//sdhD//eno//pgm//wzc//speC//aroF//gabT//accA//fabZ//cheR//hycF//nrdD//mpl//puuD//ampD//
NtrC_neg	caiC//tyrB//
NtrC_pos	ansB//leuC//sdhC//pdeH//trmA//deoC//phnH//mhpE//rutA//aceB//yeaG//prmC//hchA//dgcC//cueO//dsdA//prpB//prpB//sdhD//agp//cysI//
OmpR_neg	paaE//trpE//malP//gcvT//tdcB//
OmpR_pos	glpK//deoA//astE//cysN//
OxyR_neg	nrdA//gltA//lacZ//mhpB//metK//
OxyR_pos	gcvP//fabZ//astD//purF//ilvM//ppsA//truB//dhaK//fadH//lhgO//metF//argA//
PaaX_neg	moeB//frdA//frdD//nadC//malY//lacZ//lsrK//prmC//nagB//
PdeL_pos	phnM//
PdhR_neg	ravA//mpaA//phnM//hypF//uxaA//avtA//hcaB//tam//sufS//nrdD//avtA//murD//cynT//caiA//aspC//pheT//ilvN//nemA//avtA//cysD//hflX//ubiA//amn//
PdhR_pos	fucK//cysM//
PepA_neg	umpH//rsmH//
PgrR_neg	dmsA//cysK//
PhoB_neg	narH//agp//gabD//metB//gntK//
PhoB_pos	gloA//cysN//rnpB//aroA//idnK//hcaE//sodA//garR//atoB//galM//recD//leuC//feaB//argD//rffT//serC//rtcB//
PhoP_neg	serA//rimK//frdD//
PhoP_pos	rbsD//pdeR//cynT//frdC//gcd//feaB//fadI//thrS//astC//chiA//gudD//sucA//nagB//garD//paaH//ahpF//lsrF//ftsI//aroF//citC//hcp//mazG//yeaG//ynfE//atoD//hchA//astA//pgaC//phnH//torA//caiC//
PrpR_neg	
PrpR_pos	rimK//hypB//mhpD//fadM//
PspF_neg	
PspF_pos	sgbH//
PurR_neg	phnP//hemA//hycC//gltA//alkA//murF//metE//gadB//ilvB//wzb//frc//relA//rtcB//ndh//gcd//argA//serC//serC//sdhA//bioC//sdhD//katG//tdcD//folA//pdeL//bioC//
PutA_neg	bioF//fadE//
PuuR_neg	trmA//napG//wecC//hmp//purM//deoD//
QseB_neg	
QseB_pos	
RbsR_neg	rutD//purA//gltB//glgX//entF//
RbsR_pos	nadC//
RcdA_neg	
RcdA_pos	malP//
RclR_pos	
RcnR_neg	murD//
RcsAB_neg	paaK//
RcsAB_pos	lsrG//ulaG//
RcsB-BglJ_pos	prpD//entF//
RcsB_neg	citF//
RcsB_pos	malZ//nirD//serA//
RelB-RelE_neg	melA//
RelB_neg	truB//
RhaR_pos	
RhaS_pos	nadB//glxR//bioA//hypF//
Rob_neg	
Rob_pos	araA//torA//katE//moeB//metF//nrfA//rhaB//putA//galE//hcp//phr//bcsZ//citX//aspC//dacC//ilvA//aroH//bioD//dusB//
RstA_neg	hyaC//tnaA//
RstA_pos	rffG//
RtcR_pos	uvrC//cysE//
RutR_neg	rhaA//kbaY//paaG//citF//argE//alsE//rnpB//serA//hemF//lsrF//
RutR_pos	citC//
SdiA_neg	
SdiA_pos	
SgrR_neg	nrfA//
SgrR_pos	aceF//uvrB//
SlyA_neg	
SlyA_pos	queA//mnmG//rffT//speB//glxR//phnL//sbcD//phnJ//bglB//
SoxR_neg	
SoxR_pos	purK//
SoxS_neg	
SoxS_pos	narI//leuA//relA//pheS//chbF//sucA//trpB//uvrB//aceF//rffG//gatD//sgbE//gltB//hycG//manA//nanA//gutQ//ahpF//preA//hycC//paaJ//rffT//murF//tktB//nirB//xapA//
SrlR_neg	allA//mhpC//dadX//
StpA_neg	dgcN//napA//asnA//
SutR_neg	cysG//entE//
SutR_pos	
TdcA_pos	mdh//preA//deoA//alkB//tdcB//
TdcR_pos	fadJ//moaA//yedX//tdh//ftsI//
TorR_neg	uidA//
TorR_pos	nrdA//caiD//cpdB//chbF//
TreR_neg	hycB//lysC//
TrpR_neg	atoA//glyA//nemA//phnJ//ynfG//yqhD//adeD//aceE//ftsI//
TtdR_pos	murC//bglB//
TyrR_neg	accD//ulaG//entC//lsrG//hcaC//epd//wecE//
TyrR_pos	purH//cynS//ldtD//
UhpA_pos	gapA//
UidR_neg	putA//aspA//
UlaR_neg	gadA//sdhD//mazG//glcD//hypF//
UvrY_pos	pdeL//tdcG//
UxuR_neg	polA//trpB//bglB//hcaF//metB//
XapR_pos	phnH//glcF//
XylR_neg	
XylR_pos	hycE//ilvI//entB//
YdeO_neg	
YdeO_pos	fumC//kbl//edd//
YefM-YoeB_neg	truB//
YefM_neg	murD//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	prpE//dadA//dkgB//astC//glcF//nanE//
YjjQ_neg	polB//argI//
YpdB_pos	
YqhC_pos	zwf//aspC//
YqjI_neg	dapD//
ZntR_pos	murF//
ZraR_pos	
Zur_neg	katE//
