# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	murQ//tyrA//
DsdC_pos	eda//aceB//
EbgR_neg	
EnvR_neg	cpdB//polB//
EnvY_pos	gcl//cysG//
EvgA_pos	narI//rffC//argF//zwf//dgcZ//phnO//
ExuR_neg	oxc//pgi//rbsK//rsmH//bcsB//glmS//
FNR_neg	purM//uxuA//phnG//caiC//mhpB//umpH//narI//trpD//dgkA//allB//glpQ//srlD//asnB//aceF//recF//glcB//puuB//citD//cysK//hcaF//gadB//ilvA//sufS//phnO//ssuE//fadE//srkA//narI//glpD//pgk//srlD//entF//sufS//paaF//nadB//napG//lsrG//waaZ//narH//metA//trmA//paaE//mpaA//fumB//
FNR_pos	ackA//guaA//hcaB//slt//ubiA//purA//paaJ//galK//tauD//tdcE//dkgA//ssuE//arsC//pncB//manA//ilvN//mhpC//patD//cysE//hflX//pheS//ybjG//fabA//purD//sdaA//codA//edd//glk//malS//purC//sdhB//tnaA//putA//avtA//ubiA//paaZ//xdhB//entE//citC//murG//nrdD//paaA//rnpB//poxB//mhpA//melA//fabA//trpC//argD//ascB//fadJ//pgaD//xdhC//aspC//glgB//treC//lsrK//purE//arsC//nfsB//psd//galK//alsE//ansB//ppc//mhpA//phoA//gltD//tdcB//glgB//gcvT//frdA//ilvH//rffG//frdC//aceB//pgk//tpiA//alkB//xdhA//cueO//napH//cysH//rbsD//cadA//deoD//ppiA//lyxK//pykF//asnB//polB//fadM//dmsA//astB//galM//patA//
FabR_neg	allB//ddlB//fucU//
FadR_neg	wzc//puuB//recD//lsrF//ndh//glsA//gcvP//paaK//murD//
FadR_pos	rbsK//purD//sdaA//trpA//caiA//aldA//truB//lpxD//phnN//glyA//
FeaR_pos	hycD//metK//
FhlA_pos	dapB//upp//hypB//uvrB//frdB//cysN//paaK//patZ//
Fis_neg	dhaL//sucD//astB//purE//ahpC//fau//sdhA//asnA//guaB//hpt//glpA//sdhA//ccp//ybjG//hemA//pheT//tyrB//dmsC//ugpQ//uxuA//frdB//ychF//guaB//phnG//hycG//phnN//hycB//alkB//dacC//grxA//gdhA//aceE//hypF//uidA//tam//fumB//purF//ppsA//ldtB//glcE//wecE//glpB//citD//murI//sgbE//hcp//
Fis_pos	murG//accA//malZ//nanE//uxuB//ccp//add//idnO//metC//argH//ilvE//garR//aspC//patA//polB//speC//pagP//glgB//lpxA//gabT//ybjG//gltA//astD//speB//paaG//ychF//purK//sufS//gntK//dhaK//napB//ppc//sdhA//ruvB//hcaF//nanM//citE//
FlhDC_neg	aroA//paaB//
FlhDC_pos	aroA//hycF//dmsB//gltA//rutD//uidA//srkA//codA//deoC//gudD//glcF//rhaB//
FliZ_neg	dhaM//pgaC//pgi//nrdA//uxaB//
FucR_pos	pgk//ccp//fucO//deoA//bcsB//gcl//
Fur_neg	nrdE//frdA//alaC//fabB//gabD//grxA//fdhF//hycD//pgaC//aroH//dmsC//aspA//rbsD//recF//chbG//pheS//purE//sgbE//patZ//caiC//pgaB//gabT//tyrA//phr//hycF//malY//hpt//lpd//manA//mazG//uvrC//xylB//hyaB//fadA//caiC//pncB//glpA//caiA//puuC//paaF//yqhD//gatY//hmp//cadA//hcaF//mpl//metH//cysH//gntK//ydcS//umuC//astB//ynfH//
Fur_pos	alkB//cueO//gapA//cynT//icd//cysJ//dusB//preA//glpA//sufS//glpD//glgP//murI//purH//torA//gcvP//
GadE-RcsB_pos	pck//frdC//nirB//glpA//yedX//
GadE_pos	leuD//moaA//citD//atoD//fumB//ubiX//galT//rfe//dadX//ynfH//
GadW_neg	glcB//yfdE//lsrG//
GadW_pos	rimK//agp//gudD//leuD//
GadX_neg	glpB//purN//
GadX_pos	ung//rffM//alsE//ldtB//chbF//amiA//prpB//aspA//dmsA//pheT//betA//
GalR_neg	hcaD//rffG//recD//gltD//ackA//hemH//
GalR_pos	gcvP//lysU//ychF//rsmH//
GalS_neg	pflB//glpD//dmsA//ugpQ//lsrF//aldA//
GalS_pos	melA//hemF//phnN//tyrA//
GatR_neg	sdhB//aroL//lyxK//
GcvA_neg	lysA//hemL//ribA//
GcvA_pos	ilvM//metE//paaF//
GlcC_neg	
GlcC_pos	zwf//torA//ubiX//
GlpR_neg	bioC//yeaE//ilvH//paaB//manA//tktB//lpxA//
GlrR_pos	
GntR_neg	cysN//cheR//phoA//fadI//adhE//iscS//aspA//alaS//paaZ//
GutM_pos	pepD//kbl//polB//
H-NS_neg	dinB//caiB//galE//rsmA//garD//avtA//citE//ldtB//citG//rutA//uvrB//leuB//argC//polB//sdhA//nrdB//yeaE//glcE//oxc//upp//phnJ//ilvA//araB//rffT//glgX//bacA//paaJ//rnpB//glcE//glcE//glpD//gntK//napA//mhpF//ilvN//cysI//mngB//bioF//pyrD//idnK//speA//ubiG//glcF//ahpC//prs//fabH//glpX//pgm//napA//citF//carA//
H-NS_pos	gor//rffT//tdh//galK//ravA//ackA//hcaC//sodB//murQ//caiD//feaB//ssuE//fucK//umuC//sdaA//
HU_neg	upp//dinB//mnmG//metF//lpxD//xylA//ppiA//
HU_pos	
HcaR_neg	
HcaR_pos	pheT//fumB//
HdfR_neg	
HdfR_pos	
HigA_neg	malQ//
HigB-HigA_neg	entH//
HipAB_neg	relA//fabA//
HipB_neg	pepD//phr//ribA//
HprR_neg	dadA//murD//
HprR_pos	entC//umpH//
HyfR_pos	moaC//
HypT_neg	adhE//dgkA//
HypT_pos	paaF//frc//sdaA//garK//pagP//
IHF_neg	fbaB//agp//tehB//hypB//katE//metL//apaH//bioF//glpC//moeA//glgA//ilvI//accC//ulaE//glcB//pgpC//fabG//argA//hycB//sdhC//tadA//galE//rhaD//sucB//mltF//paaB//astB//ulaE//ansB//cysE//astE//trmA//phoA//tnaA//argG//glgB//hycF//argH//fadA//yedX//adeD//fumA//fumC//
IHF_pos	murE//pdxA//uxaA//ynfH//rnpB//gabT//paaF//carB//mhpD//wrbA//uxaA//alaS//phnO//ttdB//asnB//bcsB//metB//wzc//fadD//metA//argG//fabG//gpmA//sdhA//patA//glgP//lsrG//cysJ//uidA//fucU//gloA//nfsA//argA//glpQ//hemA//leuA//purF//glxK//poxB//serC//bioD//cysD//fbaA//ppsA//ruvA//entA//fumC//kbaY//gltX//aspA//glgP//fadD//moaA//glcD//sufS//garR//ycjG//garK//cheR//phr//purB//alkB//paaG//argA//dgcZ//lsrK//phnM//astE//aldA//alaC//fucA//
IclR_neg	adeD//prpB//hycG//
IdnR_neg	pgk//arsC//
IdnR_pos	malZ//puuD//cadA//cynT//
IlvY_neg	
IlvY_pos	deoD//
IscR_neg	uvrA//leuC//glpE//rffH//uxuB//glpE//
IscR_pos	ilvC//glcD//
KdgR_neg	purB//ribA//
KdpE_pos	tauD//
LacI_neg	citD//aldB//serA//
LeuO_neg	
LeuO_pos	ampD//rutA//pgaB//glcE//astD//gdhA//
LexA_neg	prpB//aceA//glgX//deoC//sdaA//fadM//malS//pgk//aroF//glpA//prpE//phnG//talA//ahpC//rtcA//hycG//dhaK//cysM//lpxC//guaA//uxaC//tdcD//tehB//
LldR_neg	argH//rbsK//
LldR_pos	cysH//glpD//
LrhA_neg	
LrhA_pos	
Lrp_neg	deoD//uvrA//tadA//prpE//dapB//entC//murE//speA//mhpA//tyrA//gltB//mnmG//murG//nanK//chiA//preT//ynfF//tynA//nrdF//accA//moaA//chiA//dadA//
Lrp_pos	ackA//putA//rfe//adhE//fadI//fadA//citC//icd//sdhA//psd//polB//srkA//caiB//pheT//fes//dmsC//ttdB//fbaB//nrdD//bcsZ//
LsrR_neg	sgbE//pfkA//pdeR//chbG//astB//
LysR_neg	
LysR_pos	nirD//
MalI_neg	glpA//fabG//
MalT_pos	aroA//hcp//queA//hyi//uxaA//ydcS//
MarA_neg	xapA//
MarA_pos	malP//metH//metF//gltD//tauD//avtA//ychF//mraY//mtlD//rhaA//allE//gpmM//astC//glpA//patA//mtlD//ulaE//purC//phnI//rfe//mhpE//araB//ahpC//
MarR_neg	
MatA_neg	dgcC//
MatA_pos	
MazE-MazF_neg	lysC//
MazE_neg	metE//
McbR_neg	
McbR_pos	
MelR_neg	alsE//hcaC//
MelR_pos	codA//cadA//
MetJ_neg	ppc//fadH//asnB//feaB//patD//recD//ynfH//sbcC//agp//metH//
MetR_neg	nadA//
MetR_pos	accD//ubiC//dkgA//glpA//
MhpR_pos	pfkA//sgbE//mdh//codA//moaC//purE//
Mlc_neg	preA//lsrF//yqjH//glpK//
MlrA_pos	lacZ//
MngR_neg	phnP//tehB//
MntR_neg	pheS//
MntR_pos	mazG//
ModE_neg	xapA//tauD//moeB//treC//tdcD//deoD//tktB//preA//
ModE_pos	nanM//sgbE//acnA//allD//ybjG//cynS//katE//tdcB//ilvN//
MprA_neg	tdcG//uxuB//hpt//
MqsA_neg	frdA//cysK//
MraZ_neg	ynfE//hflX//citC//gltA//gdhA//pgaC//gudD//nrdB//icd//prs//
MurR_neg	wecC//hchA//murI//
MurR_pos	
Nac_neg	gltB//phnG//rnpB//
Nac_pos	glcF//yqjH//guaB//ulaG//pdeR//phnP//metA//lldD//
NadR_neg	cysE//pgaB//purL//citX//
NagC_neg	nfsA//ssuD//patD//prpC//purL//fes//nagB//mhpF//bioC//wrbA//nrdA//citE//chbF//umuD//puuC//yeaE//hcaD//gcvP//
NagC_pos	waaZ//murQ//
NanR_neg	moaA//icd//glgP//ilvN//atoA//rffH//
NanR_pos	
NarL_neg	gatZ//gcd//caiD//cysM//sgbH//codA//mhpC//metH//eda//glpA//serA//tam//deoC//sucD//hemL//phnL//fadH//fumC//metF//pck//hycB//lysA//srkA//xdhA//pgaB//yedX//ftnA//cpdB//
NarL_pos	sucD//aldB//gabD//fdhF//phnI//purC//dapB//ldtD//murI//astA//pck//lysA//lysU//sdhB//lsrK//
NarP_neg	patD//gcvP//fucI//glpQ//aroA//
NarP_pos	talA//nfsA//hcaF//fadJ//glxK//hycC//ackA//pdeL//tam//chbF//pheT//sodB//alkB//ada//
NemR_neg	deoD//wecB//
NhaR_pos	ynfG//paaH//glgC//rfe//pnp//
NikR_neg	paaI//
NimR_neg	narI//
NorR_neg	
NorR_pos	astA//
NrdR_neg	recB//mhpD//wecB//mdh//
NsrR_neg	yeaG//narG//idnD//kbaY//uxaA//glgP//ansB//recF//pdeR//garL//gltX//relA//lpd//rffC//murQ//nfsB//udp//nagA//hchA//umpH//phr//cheB//pdeH//pfkA//rffM//trpB//feaB//chbG//dhaM//melA//gabT//sdhD//ung//iscS//gatY//entA//paaY//murG//amiA//napG//
NtrC_neg	lysU//eno//
NtrC_pos	ulaD//fabB//rutA//fadM//glyA//metL//luxS//fruK//lhgO//frdB//nagA//ppc//ydcS//tdh//gadA//prmC//puuC//gadA//phnI//astD//hemA//
OmpR_neg	ampD//ubiX//lpxD//patA//frc//
OmpR_pos	murQ//talA//hemF//idnK//
OxyR_neg	deoA//fadI//tehB//purM//metL//
OxyR_pos	ppc//paaE//accD//glgP//yeaE//nrdD//pgpC//cyaA//glpA//thrS//accC//nanK//
PaaX_neg	mngB//ttdA//gpmA//frdC//pgk//dgcC//astD//tdcE//garK//
PdeL_pos	ybjG//
PdhR_neg	gatZ//umuD//mraY//lldD//udp//nrfC//putA//glsA//ttdB//garK//ahpC//mdh//cynS//ssuD//fadH//rutD//nadB//mhpB//dmsB//citC//mhpE//metH//leuC//
PdhR_pos	adiA//fabZ//
PepA_neg	ccp//ldtD//
PgrR_neg	betA//hcaD//
PhoB_neg	sodA//pheS//pdeR//astA//glpA//
PhoB_pos	hpt//hemH//fabA//paaZ//malP//ampD//truB//hemF//wzb//cysH//puuD//trpD//allB//accD//allB//galK//prpD//
PhoP_neg	moeA//lpxC//yeaE//
PhoP_pos	ldtD//ppiA//metF//hemL//fumA//gpsA//glpK//purK//wecC//astE//carA//astC//purA//cysG//cheR//idnO//wecC//aceA//sgbU//ndh//ldtC//pgpC//ravA//ulaE//dkgA//paaZ//ddlB//nanE//dusB//ilvD//gadA//
PrpR_neg	
PrpR_pos	mnmG//napH//glpE//alkB//
PspF_neg	
PspF_pos	gcl//
PurR_neg	hpt//ruvA//glcF//ruvB//paaZ//purL//glgP//aldB//tehB//aspA//adiA//moaD//tadA//dkgB//aroF//ahpC//gntK//trpE//ubiC//patA//bacA//puuC//bioA//murE//aspA//pfkA//
PutA_neg	metK//rsmH//
PuuR_neg	prpD//malP//alkB//ppc//epd//glxR//
QseB_neg	
QseB_pos	
RbsR_neg	ilvG_1//lldD//cysN//gdhA//rutA//
RbsR_pos	glpX//
RcdA_neg	
RcdA_pos	hflX//
RclR_pos	
RcnR_neg	mtlD//
RcsAB_neg	cadA//
RcsAB_pos	pyrC//moaA//
RcsB-BglJ_pos	garL//sdhD//
RcsB_neg	fumC//
RcsB_pos	cysE//mhpB//hycG//
RelB-RelE_neg	rffH//
RelB_neg	cheB//
RhaR_pos	
RhaS_pos	truB//hemF//pgaB//bioF//
Rob_neg	
Rob_pos	ftnA//fucI//sufS//dgkA//pgk//rnpB//deoC//wzb//ccp//cysC//pepD//purE//ynfH//lpxD//cynS//caiA//rffC//uxaA//luxS//
RstA_neg	fabZ//gcd//
RstA_pos	prpD//
RtcR_pos	gcd//dgcZ//
RutR_neg	pspE//idnD//rffH//idnK//prpB//ynfF//uxaA//speC//fadJ//wrbA//
RutR_pos	mpl//
SdiA_neg	
SdiA_pos	
SgrR_neg	hmp//
SgrR_pos	astE//ubiA//
SlyA_neg	
SlyA_pos	lysA//hyaC//phnO//glsA//treC//narH//hycG//nrdF//puuD//
SoxR_neg	
SoxR_pos	sucD//
SoxS_neg	
SoxS_pos	argE//pgpC//ulaG//leuD//bioF//nagB//sbcC//gltD//nagB//mdh//lsrF//katE//mpaA//allB//glgB//ydcS//mhpE//hycD//speC//udp//fumC//yedX//iscS//nrdE//cdd//dgkA//
SrlR_neg	frdA//malP//idnD//
StpA_neg	ascB//ilvM//glxK//
SutR_neg	rffH//hchA//
SutR_pos	
TdcA_pos	garD//prs//argB//citD//caiD//
TdcR_pos	hemL//thrS//cysC//codA//rtcB//
TorR_neg	araD//
TorR_pos	murQ//ssuD//phnM//moaE//
TreR_neg	thrS//mdh//
TrpR_neg	patA//prmC//zwf//araB//lysU//cdd//ilvC//alkB//prmC//
TtdR_pos	pgaB//leuA//
TyrR_neg	ldtD//fbaB//lpd//sucA//ilvB//mtlD//cynT//
TyrR_pos	hycF//tktB//slt//
UhpA_pos	araD//
UidR_neg	manA//trpC//
UlaR_neg	lpxC//tdh//epd//deoD//mdh//
UvrY_pos	sdhD//bioC//
UxuR_neg	acs//recB//leuB//paaF//ddlB//
XapR_pos	allE//cadA//
XylR_neg	
XylR_pos	gloA//thrS//purE//
YdeO_neg	
YdeO_pos	dgcN//paaZ//chiA//
YefM-YoeB_neg	fadH//
YefM_neg	aceF//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	torC//frdC//tpiA//moeB//treC//rutB//
YjjQ_neg	purC//phr//
YpdB_pos	
YqhC_pos	pyrC//glcB//
YqjI_neg	tpiA//
ZntR_pos	sdhB//
ZraR_pos	
Zur_neg	rimK//
