# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	fabB//rutB//
CRP_pos	purD//ddlB//gor//gpmM//ynfF//pncB//speB//gltA//polB//alaS//gabT//murD//fadH//rtcB//astA//gntK//bioD//lysC//appA//chiA//recB//ssuD//wzc//fabA//ilvC//phnO//metC//nadC//rhaB//hcaD//lsrF//glpC//moaD//aceA//katE//hpt//entF//bioF//uxaC//umuC//lsrK//cysN//caiB//ldtB//nanE//adiA//poxB//entF//agp//hycC//leuD//ada//fbaA//preT//ampC//alkB//citF//pnp//ackA//phnI//folA//araA//gdhA//folE//trpC//umuC//pgaD//fruK//rffH//patZ//prpB//aroG//fruK//ftsI//edd//alaS//uxuB//dhaM//dacC//entC//fumA//moaC//feaB//ubiG//hyi//ravA//phnJ//phoA//polA//dmsB//waaH//hemL//slt//ppiA//pfkA//acs//hemA//zwf//cpdB//citF//malY//cueO//pgpC//cdd//fadD//garL//ilvB//carB//galK//serA//citG//accD//sdhA//glyA//purD//asnA//hycD//acs//gatZ//adeD//bioA//murE//chiA//nrfC//lpxD//sgbE//mhpF//dkgA//paaA//srkA//gltB//nrfD//wrbA//fumC//argG//alaA//pdeH//lysC//dapB//adeD//katE//fbaB//nemA//deoD//fabG//ilvC//garD//poxB//phoA//ackA//sodA//acnA//pyrC//ansB//purF//argI//bioD//pgaB//hcaD//trmA//nrdD//thrS//paaJ//dkgA//amn//dacC//ravA//hyaC//eda//pspE//sdhA//gabD//fabI//hycB//purD//lpxC//ulaE//hycD//ung//leuC//aroG//ilvA//cheB//lysC//waaZ//atoA//garK//ttdB//xylA//gatY//frdC//phnH//galE//ynfE//puuD//mpl//ugpQ//dgcN//tdcE//ackA//purD//fumA//ulaD//murG//alaS//fucO//deoB//hcp//sodA//amn//glgB//trpA//tyrA//deoC//queA//gcl//malS//glxR//folA//fbaA//gcvT//aroG//tpiA//astD//ilvI//nrdB//gnd//nagA//entD//caiA//pck//ilvB//fadE//ravA//dacC//tdh//entF//paaY//sdhC//acs//ruvA//bioA//katE//rutE//rfe//sucA//argD//gcl//sucD//
CadC_pos	gatD//nagA//avtA//
CaiF_pos	gnd//garD//hcaC//xdhC//pheT//
Cbl_pos	talA//fadA//ppsA//lsrK//fabA//
CdaR_pos	cmoM//cysE//frdA//glxK//pnp//mltF//ynfH//ilvE//mnmG//
CecR_neg	sucB//
ChbR_neg	aceE//metA//citF//
ChbR_pos	glk//argG//galE//
ComR_neg	
CpxR_neg	fucO//dmsA//hmp//
CpxR_pos	gltB//gdhA//glmU//cysG//gnd//fumB//alaS//paaJ//mltF//dmsC//fdhF//oxc//fabB//bioF//narI//ldtC//mhpF//yfdE//
Cra_neg	glpK//kbl//glcF//uidA//speA//rtcA//metB//malY//bcsZ//purN//talA//alaC//astC//alaA//nrdD//wzb//phnM//wrbA//ynfH//ccp//paaF//manA//glgC//sucC//acnB//argH//prpC//pyrD//rutD//tyrA//cadA//hypF//nanK//gadB//trmD//aceE//ilvH//trmD//allE//uxuA//ruvB//cysC//pheT//paaK//oxc//
Cra_pos	glyA//fes//hycB//argH//aceB//frdD//ssuD//fes//murD//dmsC//dgcC//garD//purN//nanK//iscS//mazG//rutE//
CreB_neg	phnM//
CreB_pos	rutE//
CsgD_neg	argI//glpX//
CsgD_pos	nanE//trpC//fadB//
CsiR_neg	glpB//ulaE//adeD//carB//
CspA_pos	acs//
CueR_neg	aspA//prmC//paaE//
CueR_pos	sdhA//glxR//
CusR_pos	ychF//uxuB//fadM//phnH//
CynR_neg	
CynR_pos	serC//entC//fabB//
CysB_neg	sgbH//malQ//frdB//
CysB_pos	glpA//mazG//ribA//cysN//cadA//ada//hycD//gltD//glxK//sbcD//yqjH//pykF//gcvH//ynfG//
CytR_neg	nanA//melA//sgbU//paaH//gabD//hemL//ycjG//dhaM//dapB//puuB//
DcuR_pos	rutB//umuD//malP//ppc//
DeoR_neg	feaB//astD//idnD//xapA//asnB//nirD//
DhaR_neg	
DhaR_pos	phnM//
DicA_neg	
DinJ-YafQ_neg	bioF//
DnaA_neg	purF//caiB//uxuA//phnI//ssuE//
DnaA_pos	wrbA//nanK//tdcB//
DpiA_neg	
DpiA_pos	cysK//rsmH//prmC//ddlB//purD//
DsdC_neg	
DsdC_pos	sgbU//sucD//
EbgR_neg	
EnvR_neg	phr//cynS//
EnvY_pos	mpl//cmoM//
EvgA_pos	glcD//fumA//narG//dadX//caiC//gpsA//
ExuR_neg	treC//glnA//rsmA//cyoE//fabH//fabI//
FNR_neg	argB//rtcA//gcvH//putA//ygeA//wzc//fabB//nfsA//hflX//trpC//argB//frdA//argG//glxK//nrfD//cysC//ilvC//bioB//hypB//sucD//dhaK//murC//zwf//argC//napG//metH//prpE//entF//hflX//rbsD//fabB//fumB//alsE//aspA//narI//fucI//gpmA//pspE//ynfH//adiA//pyrC//citG//uxaC//fucA//
FNR_pos	dadA//hflX//ahpF//alkA//ttdB//glmU//ndh//caiB//paaG//ddlB//cueO//fau//glcE//fadB//torC//alaA//metL//glxR//argG//bioA//hpt//acnB//moeB//cysI//metC//paaG//paaF//phnO//ubiC//gabD//cysN//metK//iscS//prpD//rtcB//nrdE//ccp//gnd//gpsA//citG//hemA//paaF//rsmH//ynfF//pgpC//waaY//nrdD//dkgB//glpA//mhpA//tdcE//mhpA//ynfE//waaH//wecB//napH//rhaD//rutB//puuA//mtlD//trmA//gadB//bglB//glpX//pgm//fadI//folE//purF//metL//glgP//murC//argH//deoA//deoB//mnmG//glmS//hyi//nanE//phnO//pck//glsA//prpD//entC//hemH//srkA//sdhC//ubiC//prmC//preA//bioD//puuD//prpD//glpE//ilvI//sgbH//tynA//
FabR_neg	trpE//pykF//aldA//
FadR_neg	allC//fumA//gcvH//patD//fumC//betA//fadA//patZ//araD//
FadR_pos	aspC//mpaA//frc//psd//allA//gcvH//hflX//uvrB//murI//folE//
FeaR_pos	waaY//pgm//
FhlA_pos	avtA//gapA//puuE//fabB//paaK//trpC//purC//nfsB//
Fis_neg	ndh//deoA//serA//phnJ//acnB//sgbU//sodB//tyrB//moaD//fbaA//pncB//uxaA//gutQ//dacC//gabT//tehB//yqjH//gcvT//cysG//hyaA//metA//nrdE//cmoM//murG//rutC//upp//glk//atoB//argE//tyrA//chiA//hchA//tam//ppc//gadA//rsmH//hyaB//moaC//sucC//metA//ynfF//murD//hypF//entE//fumB//rutA//
Fis_pos	glpX//dinB//malP//ulaG//astA//fabH//slt//rtcA//gcd//puuD//phnI//rhaB//fabH//sgbU//hmp//mhpE//pyrC//rutB//pgaD//hcp//torA//dsdA//wecC//ndh//hcaE//rimK//cysJ//phoA//argG//nagB//metH//slt//mraY//prmC//fadB//gadA//mnmG//
FlhDC_neg	aspA//deoD//
FlhDC_pos	talA//rtcA//mdh//purH//hcaC//cysM//dapB//wecB//yfdE//dapD//oxc//fucK//
FliZ_neg	paaG//mpaA//glcD//cysH//glgB//
FucR_pos	gcvH//tauD//rpiB//sbcC//paaJ//recF//
Fur_neg	ubiX//sodB//gapA//hpt//fucA//cysC//phnJ//galM//dgcC//hemF//chbF//wrbA//serA//trpB//rhaA//narI//mpaA//mltF//cyaA//aldA//bcsZ//ubiA//recD//galT//fbaB//ilvB//ahpC//nanA//purH//puuC//nagB//hypF//fdhF//gatZ//leuC//bacA//hflX//gcvT//galM//glxR//moaE//lldD//glpB//acs//bcsZ//ruvB//aroG//pspE//gcvH//purD//hcp//pheS//lpxA//
Fur_pos	xapA//epd//fucA//gabT//hyaB//hcaF//narG//glk//allB//phnO//ruvA//napG//aroF//edd//xdhA//fadB//
GadE-RcsB_pos	dadX//lacZ//pheS//ilvG_1//ulaF//
GadE_pos	hycC//nemA//sgbE//amn//lpxD//nanA//fucO//betB//cmoM//hyi//
GadW_neg	sdhB//nrdF//sdhC//
GadW_pos	mdh//murG//ttdA//srkA//
GadX_neg	alsE//ppsA//
GadX_pos	ilvI//ilvE//trpB//pyrD//adeD//aroL//ampC//gatY//ynfF//phnP//betB//
GalR_neg	queA//dapB//slt//katG//entA//wzb//
GalR_pos	fadE//pnp//ldtC//sucB//
GalS_neg	galM//fbaB//cysK//ilvC//gcvT//cynS//
GalS_pos	nanM//ygeA//gpmA//aspC//
GatR_neg	argI//accC//ybjG//
GcvA_neg	ldtB//gdhA//ychF//
GcvA_pos	nrdA//nrfC//pgaC//
GlcC_neg	
GlcC_pos	gadA//patA//lpxC//
GlpR_neg	ynfF//glpQ//glpD//srkA//oxc//dhaM//umuD//
GlrR_pos	
GntR_neg	acnA//chbF//rhaA//eno//betA//glnA//glnA//uvrC//katG//
GutM_pos	feaB//yeaG//dmsC//
H-NS_neg	fadE//trmD//mraY//aspA//patZ//entF//mtlD//argB//ttdA//rutA//frdD//serA//ftnA//entD//napH//sodA//ruvA//glxR//mhpE//fucA//ubiA//lsrK//prmC//speA//phnM//deoD//cadA//phnO//idnO//citX//yedX//cysJ//pgaB//adiA//fabA//aspA//citD//paaI//leuA//caiA//avtA//fadD//aspC//dusB//ldtB//murG//idnD//luxS//ttdA//sufS//ubiX//
H-NS_pos	ascB//glpA//ynfG//trpA//ldtC//trpA//tdcB//fadB//sdhC//dmsC//guaA//pdeL//ackA//ulaD//argA//
HU_neg	nrdD//tynA//malS//fucU//pgaD//sgbH//argH//
HU_pos	
HcaR_neg	
HcaR_pos	fbaA//yiaK//
HdfR_neg	
HdfR_pos	
HigA_neg	katE//
HigB-HigA_neg	malS//
HipAB_neg	hycB//lldD//
HipB_neg	trpE//ftsI//fbaA//
HprR_neg	torA//purL//
HprR_pos	acnB//glgP//
HyfR_pos	deoD//
HypT_neg	mngB//moaA//
HypT_pos	phoA//lldD//argC//lysU//gltB//
IHF_neg	paaY//rimK//dhaM//rbsK//cdd//mltF//cyoE//chiA//rutC//cheR//paaI//umuC//citF//moaD//rhaD//manA//rutD//allD//pgk//carB//astE//yfdE//lpxD//cdd//citD//dgkA//napH//citX//ampC//argA//metC//fabA//glpK//rffG//pgaD//dacC//ilvH//udp//xdhB//glpC//umuC//araA//moaE//
IHF_pos	rpiB//phr//treC//yqjH//uidA//hycD//purA//ilvD//dgcZ//sbcD//cysM//carA//ilvI//ribA//rsmA//bioF//prs//bioB//puuA//gatD//cynS//deoB//accA//paaC//nrdA//betA//pnp//ilvN//malZ//pgaD//hyi//ilvA//purL//pgpC//argG//manA//fau//fadJ//rimK//cheB//xapA//ulaF//upp//xdhB//cueO//kbaY//uxuA//rnpB//narH//guaB//napB//mhpE//citE//cysK//cysK//phnG//cynS//talA//nemA//ada//glpK//phnI//glpQ//cyoE//ascB//metA//patA//gadA//leuD//galK//gadB//
IclR_neg	treC//uxaC//gltB//
IdnR_neg	pgm//pgaD//
IdnR_pos	ada//pheS//moaC//gudD//
IlvY_neg	
IlvY_pos	umuD//
IscR_neg	ftnA//gpmM//glgC//dhaK//hyi//tpiA//
IscR_pos	hcaF//deoD//
KdgR_neg	dsdA//glpX//
KdpE_pos	dkgA//
LacI_neg	trpB//gabT//gltB//
LeuO_neg	
LeuO_pos	lacZ//sdhA//nrdB//rpiB//fumA//cysN//
LexA_neg	uvrB//murI//epd//paaY//cysE//cynS//cadA//guaA//hcaD//paaZ//dkgB//lpxC//caiC//nemA//sdaA//gnd//gutQ//lpxC//pyrC//atoB//mraY//idnD//fadI//
LldR_neg	lysA//mhpD//
LldR_pos	lysA//napA//
LrhA_neg	
LrhA_pos	
Lrp_neg	fucA//umpH//fadM//nagA//hcaD//nrfC//lsrF//ravA//apaH//phnG//trpD//murG//hyi//argA//ilvE//nrdD//paaZ//xdhC//purK//ddlB//torA//folE//glgB//
Lrp_pos	udp//dgcZ//fabB//nanE//cueO//xdhA//gudD//narI//phnO//uxaC//purF//alsE//ampD//pgi//ilvB//metE//alkA//gnd//moeB//entH//
LsrR_neg	bioB//idnD//wzc//murD//moaD//
LysR_neg	
LysR_pos	cynT//
MalI_neg	oxc//deoB//
MalT_pos	purC//waaZ//gatY//ssuE//cysE//manA//
MarA_neg	umpH//
MarA_pos	phnP//sucB//rtcA//deoD//eno//avtA//epd//aspC//bioC//dusB//phnH//mltF//aroH//trpC//fabG//fbaA//umuC//sdhD//mdh//mhpF//uxaA//pyrD//metH//
MarR_neg	
MatA_neg	fucA//
MatA_pos	
MazE-MazF_neg	hycB//
MazE_neg	fabA//
McbR_neg	
McbR_pos	
MelR_neg	relA//nrdD//
MelR_pos	hyaB//xylA//
MetJ_neg	pgk//gcvH//tynA//add//idnK//fucU//hcaF//rnpB//purK//fumC//
MetR_neg	puuC//
MetR_pos	rutC//paaH//trpD//tdcD//
MhpR_pos	hcaD//lysA//narG//ahpF//paaY//prpD//
Mlc_neg	yeaE//wzc//fadM//mraY//
MlrA_pos	pheT//
MngR_neg	alaA//glpE//
MntR_neg	poxB//
MntR_pos	sucA//
ModE_neg	idnK//paaI//yedX//uvrC//allD//melA//nrdF//dusB//
ModE_pos	oxc//recB//katE//codA//citG//lldD//mraY//puuB//folA//
MprA_neg	purA//malY//pykF//
MqsA_neg	tpiA//waaY//
MraZ_neg	fucA//purB//prs//atoB//pyrD//hcaF//patA//dacC//fabB//cysN//
MurR_neg	appA//galK//citG//
MurR_pos	
Nac_neg	cysI//cysC//purH//
Nac_pos	yiaK//ybjG//idnO//nadB//agp//astC//recB//feaB//
NadR_neg	tdcE//aroF//astB//mhpC//
NagC_neg	ilvE//fruK//paaE//gcvH//glmS//wecB//ydcS//nrdF//gatY//entE//sdaA//hflX//ulaF//ftsI//fucO//malQ//glpK//xylB//
NagC_pos	caiA//nrfA//
NanR_neg	melA//guaB//cadA//nirB//kbl//nrfC//
NanR_pos	
NarL_neg	ilvB//mdh//galT//alkB//pgaB//hemL//glpD//ascB//cysJ//glcB//lyxK//murI//sdhA//ydcS//wecE//purE//bacA//allD//dhaK//uxaA//dsdA//mnmG//moeA//nrdD//citF//phnG//fbaB//guaB//
NarL_pos	puuB//sbcC//tktB//yeaG//chbF//alkB//fucK//dapD//guaB//fadA//fumB//tdcD//nadC//carA//galM//
NarP_neg	ilvM//gcvH//entE//chiA//apaH//
NarP_pos	ldtD//ulaG//gatD//hycF//sucB//talA//cysJ//xdhC//allE//paaJ//gcd//glpB//purM//glcF//
NemR_neg	nanK//pyrD//
NhaR_pos	glyA//malS//leuC//rbsK//mngB//
NikR_neg	srlD//
NimR_neg	paaY//
NorR_neg	
NorR_pos	mdh//
NrdR_neg	fes//nfsA//metL//rutA//
NsrR_neg	purA//arsC//tynA//moaD//napH//gcvT//srlD//gloA//malS//serA//aroH//napG//hemF//ftnA//ulaG//ldtD//nemA//galK//ulaE//lsrK//metK//tyrA//pspE//napB//murQ//murI//rnpB//queA//sdhC//poxB//carA//sodA//allE//hcaE//xdhB//leuB//gatY//rutE//gatY//puuC//
NtrC_neg	yeaG//gltX//
NtrC_pos	paaA//ampC//gcd//umpH//pyrD//dgkA//arsC//glcB//purF//trmA//garL//lacA//rbsD//katE//yeaE//sucB//upp//aceA//phnM//tpiA//argC//
OmpR_neg	bioB//mnmG//thrS//dsdA//ftsI//
OmpR_pos	phnN//rimK//fabB//murC//
OxyR_neg	trpA//leuA//entA//moaD//astC//
OxyR_pos	lyxK//phnI//ldtD//srlD//glpB//gltA//deoC//nagA//pgpC//metF//ubiG//caiD//
PaaX_neg	aceA//rsmH//sufS//phnL//ynfF//hcp//dgkA//umuC//tktB//
PdeL_pos	fes//
PdhR_neg	prpD//lacZ//ilvC//glgA//hycG//mngB//cmoM//citF//cysN//moeB//uxaC//idnK//nanK//gnd//ndh//phnP//pdeR//phnI//deoB//ahpF//purM//nanE//sdhD//
PdhR_pos	pagP//gabD//
PepA_neg	bioB//recD//
PgrR_neg	waaZ//phnP//
PhoB_neg	aspA//gltX//torC//fabD//melA//
PhoB_pos	metL//tktB//serC//ftnA//glcF//dhaK//mhpB//araD//leuB//ulaE//gadB//uvrC//ppiA//metK//leuA//chbF//pyrD//
PhoP_neg	mdh//bioC//ssuE//
PhoP_pos	tdcE//tehB//lacA//hcp//grxA//pflB//purN//cysM//yqjH//dacC//ynfH//ttdB//mhpE//sdhD//atoB//ravA//fbaB//fadD//paaJ//dadX//galE//argD//slt//nadA//dgcZ//purL//chbF//hycB//cyaA//adiA//galT//
PrpR_neg	
PrpR_pos	wrbA//fabZ//purF//hycB//
PspF_neg	
PspF_pos	ftsI//
PurR_neg	entE//idnK//glk//nfsA//bcsZ//ascB//poxB//recB//mhpE//hcaE//apaH//oxc//atoA//ppc//folE//tam//leuB//dadA//adeD//uxuA//caiB//tnaA//dgcC//murI//poxB//glgX//
PutA_neg	wzc//ubiA//
PuuR_neg	umuC//rnpB//bioF//deoC//rsmA//pflB//
QseB_neg	
QseB_pos	
RbsR_neg	paaC//prpB//ftsI//glpX//ldtD//
RbsR_pos	relA//
RcdA_neg	
RcdA_pos	galE//
RclR_pos	
RcnR_neg	puuD//
RcsAB_neg	moaA//
RcsAB_pos	ilvN//lsrG//
RcsB-BglJ_pos	umuD//entA//
RcsB_neg	carA//
RcsB_pos	feaB//fucA//murF//
RelB-RelE_neg	waaH//
RelB_neg	katG//
RhaR_pos	
RhaS_pos	murI//glyA//fabI//malZ//
Rob_neg	
Rob_pos	rutB//frdC//puuE//phnL//fadD//accD//umuC//nrfD//sgbH//cpdB//purN//moaC//narH//bioB//purL//dhaK//cysI//garL//xdhA//
RstA_neg	ruvA//pck//
RstA_pos	yiaK//
RtcR_pos	tdcG//fabZ//
RutR_neg	wzb//adiA//purN//fabB//accC//glpK//nrdB//gutQ//tpiA//dmsA//
RutR_pos	polB//
SdiA_neg	
SdiA_pos	
SgrR_neg	sodB//
SgrR_pos	pdeR//ahpF//
SlyA_neg	
SlyA_pos	deoD//napH//malQ//rfe//speA//malP//allC//paaB//talA//
SoxR_neg	
SoxR_pos	nfsA//
SoxS_neg	
SoxS_pos	sbcD//hcaB//glcE//mdh//trpB//cysM//yfdE//xdhA//sdhB//glgC//guaB//lldD//speC//dgkA//wecC//gltB//eda//ung//purF//ygeA//iscS//caiD//dhaM//narI//glpB//ubiX//
SrlR_neg	malQ//phnN//nrdD//
StpA_neg	ruvB//hycC//accA//
SutR_neg	trpA//uxuA//
SutR_pos	
TdcA_pos	speB//slt//yqhD//ndh//cysK//
TdcR_pos	wrbA//deoD//aceF//nadC//xdhA//
TorR_neg	pck//
TorR_pos	avtA//ugpQ//tehB//gpmA//
TreR_neg	puuA//bioF//
TrpR_neg	nadB//gloA//alsE//rutD//umuC//frdB//fumC//paaB//gcvH//
TtdR_pos	paaI//talA//
TyrR_neg	nanM//pnp//sodA//cheB//arsC//ppsA//chbG//
TyrR_pos	umuC//glgB//phnJ//
UhpA_pos	rffG//
UidR_neg	argB//fabZ//
UlaR_neg	glgC//kbaY//cyoE//phnJ//gcd//
UvrY_pos	garD//leuC//
UxuR_neg	waaH//fucI//nirB//glgB//speC//
XapR_pos	gcd//deoB//
XylR_neg	
XylR_pos	ilvA//glmS//glgC//
YdeO_neg	
YdeO_pos	ppc//phr//umuD//
YefM-YoeB_neg	glpB//
YefM_neg	hcp//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	aceE//idnO//grxA//trpE//rutB//fucO//
YjjQ_neg	entC//chbG//
YpdB_pos	
YqhC_pos	bcsZ//glgP//
YqjI_neg	napG//
ZntR_pos	paaI//
ZraR_pos	
Zur_neg	pgaC//
