# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	wzb//hemL//
FhlA_pos	atoA//upp//gpsA//dkgA//murC//murG//ruvA//lpxA//
Fis_neg	acnB//nrfC//amn//tdcE//gdhA//argH//nirD//rhaD//tdcE//purL//glcD//astD//torA//paaZ//dgcN//astB//pfkA//idnD//pyrD//pyrD//hcaF//pykF//ynfH//glmS//idnK//puuA//paaZ//hpt//gutQ//gudD//cpdB//murC//caiD//bacA//fucU//argB//argD//gpmM//purF//uxuA//ynfH//melA//trpA//glmS//tauD//phnH//
Fis_pos	speB//galE//adeD//leuD//cysE//bacA//entH//avtA//dhaK//aceF//pspE//fadA//allE//trpE//uxaC//xdhB//allD//sdhA//ruvB//poxB//ubiC//sgbE//wzc//xdhB//rhaB//astC//tdcD//lldD//fadI//aldA//allB//preA//hmp//gatY//dadX//truB//gutQ//
FlhDC_neg	ddlB//ilvM//
FlhDC_pos	ubiA//malP//nrfC//rbsK//wecB//cysJ//nrdE//tauD//kbl//aspA//speA//mhpD//
FliZ_neg	codA//gltA//betB//tyrB//gcl//
FucR_pos	ogt//pheS//citX//glpB//hyi//serC//
Fur_neg	caiC//avtA//aldA//moeB//murG//aceA//purH//dapD//argE//metF//glpK//mhpA//iscS//paaK//pnp//xdhB//hypB//fadH//purE//astB//paaG//dhaK//ygeA//rsmH//fadE//dapB//kbl//rsmH//pgi//pgpC//paaI//pspE//iscS//gabT//mraY//xdhA//mhpD//ynfH//puuC//nrfD//rutD//aroL//dhaM//sdhD//citF//paaF//hcaD//pdeL//kbaY//gdhA//ilvE//bglB//uxaB//
Fur_pos	trpC//alaA//entD//purF//metL//dmsA//paaJ//fadM//iscS//melA//ndh//fumA//hycE//uxuA//fruK//bcsB//
GadE-RcsB_pos	guaB//prpB//putA//ndh//hcaC//
GadE_pos	glgC//paaF//alsE//torA//phnM//rpiB//lsrK//speB//tadA//waaH//
GadW_neg	yedX//gpsA//fabI//
GadW_pos	argA//fau//pgaC//phnO//
GadX_neg	sgbH//paaE//
GadX_pos	uxaB//metL//murE//entE//chiA//accD//ilvD//prpB//trpB//tauD//hflX//
GalR_neg	nirD//pgm//sbcD//nanE//ftnA//kbaY//
GalR_pos	ssuD//glgX//hchA//katG//
GalS_neg	talA//pck//patZ//pfkA//rtcA//icd//
GalS_pos	gudD//gloA//wecB//dapB//
GatR_neg	fucU//hpt//murD//
GcvA_neg	bglB//aceB//lpxA//
GcvA_pos	gadA//putA//rhaA//
GlcC_neg	
GlcC_pos	paaH//nrfD//recF//
GlpR_neg	pgpC//treC//argI//pgk//purF//puuA//narI//
GlrR_pos	
GntR_neg	citF//dkgA//tehB//hemL//fadM//pheT//cysH//yiaK//hemL//
GutM_pos	glmU//lysC//ubiC//
H-NS_neg	ybjG//alsE//lhgO//sucC//chbF//hcaD//folE//ssuD//nrfD//argE//dadA//phnJ//cpdB//dgcN//eno//pheT//dadA//aroL//srlD//pgaB//lldD//fabH//dadX//lpxD//argI//malZ//citX//pykF//metC//hycD//wrbA//nrfA//paaF//truB//hemL//putA//kbaZ//narI//aceA//dgcN//gntK//nanE//moaE//entD//pdeR//araD//glpX//fucO//fumA//asnA//gcvP//
H-NS_pos	nfsA//fadI//ribA//fumA//speC//gatZ//cysJ//glgB//xdhA//ygeA//paaA//purB//ilvH//glpE//dmsA//
HU_neg	entA//accC//ilvG_1//trpC//hyaB//trmA//tauD//
HU_pos	
HcaR_neg	
HcaR_pos	dinB//rtcA//
HdfR_neg	
HdfR_pos	
HigA_neg	recF//
HigB-HigA_neg	fdhF//
HipAB_neg	aceE//gpmM//
HipB_neg	ulaD//arsC//waaZ//
HprR_neg	paaC//rhaB//
HprR_pos	tktB//lhgO//
HyfR_pos	atoA//
HypT_neg	uxuA//idnO//
HypT_pos	cysJ//glmS//cysC//hcaC//moaD//
IHF_neg	entC//alsE//chbF//rhaB//amiA//caiD//cyaA//sdhA//prmC//argE//purL//fabZ//patA//bioA//hemL//moeB//glcF//alaS//ldtC//recF//garD//glmU//alkB//galE//astE//bglB//lpxC//frdC//lacZ//malY//adhE//ogt//bioF//atoD//purL//gloA//pdeF//prs//gapA//caiD//aceF//rutA//lsrG//
IHF_pos	aceB//fabA//hemA//trpB//lsrG//murG//wecC//hycD//deoC//bcsZ//rhaD//puuB//purE//hycE//glpE//recD//lsrG//srkA//entA//alkA//nrdB//tam//atoA//polA//cyaA//hycC//sdhA//mazG//paaK//citF//ilvM//paaY//dhaK//purE//rimK//allC//argF//treC//uvrA//gutQ//tdcG//moaD//uxaA//leuC//tdcG//phoA//carA//prpD//pgaB//dgcZ//fucI//polA//ruvB//purC//bcsB//pgaD//acnA//glcD//hcaE//umpH//purH//upp//phnJ//tdcD//moaC//napG//nanM//tdcD//atoD//glxK//ftsI//
IclR_neg	yqjH//alaC//trpC//
IdnR_neg	gor//argA//
IdnR_pos	preA//entC//rtcB//ynfF//
IlvY_neg	
IlvY_pos	deoB//
IscR_neg	fadI//torC//ccp//edd//dgcN//glmS//
IscR_pos	deoC//argH//
KdgR_neg	mhpE//ssuD//
KdpE_pos	oxc//
LacI_neg	xdhA//udp//nagA//
LeuO_neg	
LeuO_pos	glgX//pdeH//leuD//hycG//hemA//fabD//
LexA_neg	thrS//murD//truB//gutQ//mltF//ung//entF//allE//alaS//alsE//puuD//fabH//nagB//dgcZ//nadB//sucD//phnL//aroH//puuA//alsE//paaZ//frdD//fadH//
LldR_neg	ruvA//dapD//
LldR_pos	srlD//nrdB//
LrhA_neg	
LrhA_pos	
Lrp_neg	hycE//wecB//aspC//hemL//cadA//garL//rutD//mpl//purC//hcaB//purA//pgk//hyaA//entB//hchA//hycC//fbaA//hycB//phnJ//sdhA//kbaY//murF//ampC//
Lrp_pos	sucA//mpl//sodB//phnM//ahpC//ddlB//pgk//frdD//ycjG//malZ//araB//trmA//betA//serA//ubiX//ubiC//ttdA//icd//trpC//cysC//
LsrR_neg	idnK//aroH//truB//putA//hycG//
LysR_neg	
LysR_pos	pgm//
MalI_neg	ccp//phnO//
MalT_pos	metH//epd//puuE//mtlD//malS//kbaY//
MarA_neg	glpQ//
MarA_pos	yqhD//sucD//citF//argG//amn//accC//srkA//mdh//puuD//bioF//xdhA//folA//pgi//hemL//hycF//ttdA//aceA//adhE//umuD//leuA//bglB//purL//gadB//
MarR_neg	
MatA_neg	gcvH//
MatA_pos	
MazE-MazF_neg	rutA//
MazE_neg	ravA//
McbR_neg	
McbR_pos	
MelR_neg	accD//pgk//
MelR_pos	rffG//ravA//
MetJ_neg	phnG//xdhC//uxaA//aroF//pck//rutE//galT//dacC//dkgB//garD//
MetR_neg	nadA//
MetR_pos	phnO//rffG//hyaB//ttdA//
MhpR_pos	gadA//cysN//pgi//hyi//dgkA//mhpA//
Mlc_neg	ung//nadB//aroH//tehB//
MlrA_pos	napB//
MngR_neg	ugpQ//amn//
MntR_neg	gltB//
MntR_pos	mnmG//
ModE_neg	pspE//pdeF//lldD//tehB//fabZ//aceF//citG//fabB//
ModE_pos	fumB//umpH//uvrA//nagA//sdhB//argC//wecE//rhaB//lysU//
MprA_neg	ccp//waaY//mhpB//
MqsA_neg	nagA//prmC//
MraZ_neg	slt//glk//ilvM//uxaB//bioD//galK//gcvP//katG//cyaA//moaA//
MurR_neg	relA//iscS//trpC//
MurR_pos	
Nac_neg	dhaM//nanA//sucB//
Nac_pos	mltF//mltF//pgaC//lacA//rhaB//argI//glgC//deoA//
NadR_neg	pyrC//nrdD//rffM//cysE//
NagC_neg	purM//chiA//fabZ//fadJ//ubiX//leuA//gatY//yeaE//metA//fabB//phnH//tnaA//puuA//dkgB//hemH//metC//moaE//serA//
NagC_pos	lsrK//alsE//
NanR_neg	gadA//hpt//glpC//bioF//dhaM//ssuD//
NanR_pos	
NarL_neg	wecC//paaJ//serC//purL//ldtB//hemA//dadA//ada//galM//caiC//ilvM//caiB//dusB//cueO//frdD//caiD//ilvG_1//aroH//pnp//wzb//uvrC//galE//allE//preT//ppsA//hemL//gdhA//icd//
NarL_pos	xapA//gabT//ulaG//metL//patZ//ssuE//araB//tadA//nfsA//paaK//leuD//bcsB//oxc//malZ//phnJ//
NarP_neg	bioF//puuB//putA//dmsB//hycF//
NarP_pos	ribA//dgcZ//gnd//deoD//mpaA//glcB//frdD//sbcD//yiaK//nagB//trpA//serC//caiB//eno//
NemR_neg	glk//gpmM//
NhaR_pos	nrdA//rutC//appA//prpE//fumA//
NikR_neg	ynfE//
NimR_neg	tdh//
NorR_neg	
NorR_pos	puuC//
NrdR_neg	alkA//pyrD//aspC//phnI//
NsrR_neg	alkA//edd//fumA//rfe//hemH//ttdB//araB//garD//ubiG//chiA//dsdA//paaK//poxB//murE//dadA//srlD//gudD//udp//alkA//nrfC//dacC//fumB//recF//uvrA//leuC//alsE//dadA//citX//deoC//fadM//glcB//sdhD//pdxA//pgaD//narH//queA//fbaB//fdhF//tktB//gor//
NtrC_neg	nrdF//nrfC//
NtrC_pos	ilvD//astC//speB//dgcZ//polA//ynfF//sucD//mhpD//prpD//ruvA//argD//glpB//appA//hyaA//dadX//accA//pgi//ldtD//malP//glpB//wecB//
OmpR_neg	malP//pepD//aroH//gpsA//ccp//
OmpR_pos	ycjG//prpE//eda//araD//
OxyR_neg	waaZ//gcvP//pdeF//allC//sdhC//
OxyR_pos	rbsK//narI//aroG//tnaA//glpE//gpmA//gcvH//atoB//adeD//argD//paaJ//ubiA//
PaaX_neg	ssuE//moeB//nirD//mnmG//ilvG_1//manA//tdcG//chbG//add//
PdeL_pos	waaZ//
PdhR_neg	umuD//fumC//mdh//phnO//torC//ldtB//argC//torC//xdhA//fruK//preA//sdhA//purB//aldA//mazG//mhpB//acs//aceB//acnA//mngB//lsrK//dusB//pdeH//
PdhR_pos	chbF//edd//
PepA_neg	mraY//cadA//
PgrR_neg	citX//idnD//
PhoB_neg	mngB//ilvI//carB//pheT//paaI//
PhoB_pos	recD//gltX//phnM//fes//betA//ynfH//allC//thrS//fadB//argB//tdcE//gntK//fadI//dusB//aceE//gor//gcl//
PhoP_neg	upp//purA//sucD//
PhoP_pos	fucA//phnM//ilvC//rsmH//tktB//xdhC//moaA//fadJ//nfsA//feaB//xylA//prpD//acnA//mhpE//purE//argB//ynfF//aspA//ulaF//aldB//dmsC//ygeA//pfkA//hypB//nanM//alaC//ybjG//gltD//lysC//preA//appA//
PrpR_neg	
PrpR_pos	waaY//napG//uxaC//chbF//
PspF_neg	
PspF_pos	chiA//
PurR_neg	melA//cysK//bioD//ogt//rffT//metC//nadC//speB//ilvC//hcaC//ilvE//fau//nirB//murD//phr//citG//melA//nrfD//recB//glcD//feaB//aroA//chbG//fdhF//ilvM//putA//
PutA_neg	ttdA//dapB//
PuuR_neg	gloA//pflB//dhaK//mltF//nanA//dadX//
QseB_neg	
QseB_pos	
RbsR_neg	tehB//betA//gcvT//atoD//rfe//
RbsR_pos	murG//
RcdA_neg	
RcdA_pos	citE//
RclR_pos	
RcnR_neg	paaB//
RcsAB_neg	glcF//
RcsAB_pos	glgP//iscS//
RcsB-BglJ_pos	tam//gadB//
RcsB_neg	pgaD//
RcsB_pos	nanM//entH//dhaK//
RelB-RelE_neg	mhpA//
RelB_neg	phnL//
RhaR_pos	
RhaS_pos	ynfE//uxaC//hcaD//hypF//
Rob_neg	
Rob_pos	malQ//frdB//entB//betA//fadJ//ftnA//pheT//moeA//aceF//speA//hpt//frc//phnJ//fabD//tehB//dacC//murD//hchA//phnM//
RstA_neg	phnN//serC//
RstA_pos	malP//
RtcR_pos	sdhB//amiA//
RutR_neg	hyaC//atoD//prpB//ydcS//mhpA//bioC//fucI//uxuA//pgaB//psd//
RutR_pos	dgcZ//
SdiA_neg	
SdiA_pos	
SgrR_neg	preT//
SgrR_pos	glgA//mhpD//
SlyA_neg	
SlyA_pos	adeD//metE//deoD//tehB//lysA//ubiC//allD//hchA//aroL//
SoxR_neg	
SoxR_pos	hyi//
SoxS_neg	
SoxS_pos	glpC//pgi//glnA//puuD//cysI//betB//galK//hycC//alkA//moeA//deoB//uxaB//treC//feaB//sdhB//gcvT//cysN//dmsA//pepD//wecB//tdcB//fabB//metF//caiC//ychF//phnL//
SrlR_neg	cdd//dhaM//paaZ//
StpA_neg	poxB//chbF//fes//
SutR_neg	tpiA//metK//
SutR_pos	
TdcA_pos	dadX//nirB//pfkA//nanA//accD//
TdcR_pos	fadA//paaB//paaK//citC//polA//
TorR_neg	pyrD//
TorR_pos	ynfH//gcl//tdcD//nfsA//
TreR_neg	allC//garD//
TrpR_neg	recB//lpxC//hycC//pdeL//truB//idnD//rutA//ilvG_1//atoD//
TtdR_pos	fucA//astB//
TyrR_neg	purK//guaB//hcp//dsdA//dgkA//umuC//gpmM//
TyrR_pos	hyaA//srlD//nanE//
UhpA_pos	ndh//
UidR_neg	malS//ubiC//
UlaR_neg	narG//phnI//pgaD//fabI//moaC//
UvrY_pos	xdhB//caiA//
UxuR_neg	wzc//hcaD//rhaB//acnB//astD//
XapR_pos	argB//sdhB//
XylR_neg	
XylR_pos	fumA//glpE//udp//
YdeO_neg	
YdeO_pos	patZ//hcp//mpaA//
YefM-YoeB_neg	fumA//
YefM_neg	citF//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	gabD//bioA//entH//rffM//uxuA//udp//
YjjQ_neg	ppsA//phnN//
YpdB_pos	
YqhC_pos	mhpA//fucU//
YqjI_neg	udp//
ZntR_pos	idnD//
ZraR_pos	
Zur_neg	dsdA//
