# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	glpK//aroH//
CRP_pos	paaZ//metL//avtA//bioC//adiA//frc//gloA//glmU//ssuE//trpC//gcvP//ynfF//amn//hcaD//bcsZ//fbaB//hpt//bglB//cueO//purD//dmsB//rffC//lyxK//citE//pgk//mdh//ycjG//carA//dmsB//prmC//wecB//pheT//lhgO//garD//dkgA//xylB//kbaY//gpsA//fabG//ansB//bioD//yqhD//bacA//mnmG//rtcB//dgcC//xylB//entD//prpC//hycB//ugpQ//hflX//ulaD//metL//ilvD//sdaA//argA//lacZ//fadM//fucO//nanE//dinB//fadE//alaS//tdcE//ynfF//caiA//phnO//trmA//ung//thrS//ahpC//apaH//fbaB//murI//gpsA//nadC//arsC//queA//tdcE//lsrG//xdhA//waaH//gabT//apaH//thrS//yfdE//uxuA//dusB//gltD//lsrG//tdcB//murI//hycB//yeaG//nadA//rfe//xylB//nrfA//pncB//dinB//gcvT//caiA//fabI//waaZ//yiaK//fabB//napA//ynfG//argA//ilvC//mltF//patD//entB//fadA//argA//tadA//rffH//ttdA//paaF//pncB//metL//cysJ//bioF//eno//ilvB//dmsB//appA//paaH//rffC//aceF//astB//gdhA//patA//wecB//cysH//prpD//wrbA//metL//allD//gntK//frdB//entE//malY//rnpB//aroF//leuD//ubiG//metL//gadA//glpC//alkA//hpt//glgP//fucO//fruK//garD//sufS//leuC//tdcD//purB//metL//ychF//entF//recD//rsmH//puuA//preA//katG//ubiX//gltA//fbaA//hycC//atoB//glk//pheS//ilvN//citX//puuD//folA//ddlB//asnA//nrfD//purM//ilvI//preA//trmD//wecE//glpB//pspE//ilvM//lhgO//murF//rtcB//ppsA//eda//paaI//lsrK//astB//lhgO//nagA//allE//nanK//tktB//aroG//metC//gcl//sgbU//waaH//dinB//sodA//gpmM//dmsB//speC//ychF//glpK//manA//aldA//gadB//trpB//rutD//murE//mhpA//cyaA//nrdD//cheR//glcB//hcaB//cysH//astD//gpmM//uidA//ravA//folA//tdcG//ttdB//ampD//hpt//tadA//frdC//pdeR//sgbE//poxB//galT//citC//tynA//gadB//phr//uxaA//
CadC_pos	glmU//leuB//trmD//
CaiF_pos	psd//sdaA//gadB//hycF//gapA//
Cbl_pos	wzb//purM//speB//acnB//allA//
CdaR_pos	murG//galT//yqjH//astA//rnpB//ubiA//nanK//nfsA//rimK//
CecR_neg	entA//
ChbR_neg	pdeH//puuC//entA//
ChbR_pos	mhpE//add//pyrC//
ComR_neg	
CpxR_neg	gor//ascB//ravA//
CpxR_pos	rffT//dkgA//trpA//hyi//eda//frdB//fadE//glpE//rsmH//nirD//lysU//hchA//wecC//frdB//glpX//cysI//sdhA//citF//
Cra_neg	pgk//ilvI//prpE//ulaF//pyrC//fadB//purE//cysD//glgC//tauD//deoC//sucB//idnD//xdhC//glpE//hpt//allD//ugpQ//phnH//fadA//nrdB//nagA//pgk//manA//bglB//mngB//pncB//pgaB//dmsA//paaB//paaB//caiD//aroL//prpB//glmS//glyA//zwf//hcaE//aroF//alaS//hmp//codA//frdD//narH//rtcB//
Cra_pos	frc//fadJ//cysN//gnd//lhgO//betB//nanK//paaG//purK//bioD//phnG//purN//sodA//ssuE//glgA//cysK//nadA//
CreB_neg	gcvH//
CreB_pos	srkA//
CsgD_neg	ssuD//phnH//
CsgD_pos	tdh//cynS//paaA//
CsiR_neg	lyxK//paaY//ulaD//ssuE//
CspA_pos	moeA//
CueR_neg	gltX//araB//astD//
CueR_pos	ampC//fes//
CusR_pos	narH//alkB//metL//yqjH//
CynR_neg	
CynR_pos	tdcE//gntK//dadX//
CysB_neg	ribA//kbaZ//fabG//
CysB_pos	paaG//ilvE//pncB//glxK//glcE//caiB//galM//lacZ//ahpC//rffT//napG//pgpC//acs//gcd//
CytR_neg	pagP//fumB//mtlD//wrbA//paaH//alkA//ydcS//dmsC//sdhC//ldtC//
DcuR_pos	pykF//acnA//fabG//pdeR//
DeoR_neg	purB//feaB//hemF//araB//srlD//fabI//
DhaR_neg	
DhaR_pos	ada//
DicA_neg	
DinJ-YafQ_neg	thrS//
DnaA_neg	gcd//rutB//ilvB//kbaZ//lpd//
DnaA_pos	rfe//pnp//lysA//
DpiA_neg	
DpiA_pos	phnL//uxaB//leuD//talA//feaB//
DsdC_neg	
DsdC_pos	tktB//ndh//
EbgR_neg	
EnvR_neg	lldD//idnK//
EnvY_pos	uxuA//tdcG//
EvgA_pos	ilvB//fabZ//feaB//pykF//frdC//aroA//
ExuR_neg	dmsB//rutE//codA//dkgB//purB//sdaA//
FNR_neg	wzb//dkgB//fumA//astC//purN//uxuB//phnM//hypF//moeB//metL//waaY//mngB//mltF//glpK//hycB//rimK//ravA//hyaB//leuB//astB//fucO//alaC//glpD//glnA//uvrB//dacC//ilvG_1//purB//ftnA//nadB//ahpF//preA//lldD//argC//acnA//rhaA//wecE//mpl//eno//allB//astB//purD//adhE//icd//
FNR_pos	ulaE//citG//purC//argF//moaC//lysC//pagP//polA//hycB//betB//uxuB//glpK//add//gcvH//uxuA//fucA//asnA//mhpB//lysC//purB//napA//tdcE//ulaF//hycC//moeB//aroH//xapA//tpiA//paaC//aceB//murQ//ppiA//allB//rhaA//aroA//xylA//ilvC//metH//oxc//ubiC//rtcB//pflB//tdcB//lhgO//entH//fabB//dgkA//ddlB//ansB//metL//lysA//fes//bioC//ulaD//aldA//ubiC//dsdA//ppiA//bioA//paaE//moaE//gcvT//ilvC//adiA//xylA//cysN//hpt//tyrA//fbaA//ackA//phnN//nanA//murD//ldtC//recB//ampD//nrfA//yqhD//aroA//xdhB//fruK//moeA//pdeR//dhaM//oxc//gnd//recD//fucI//aldA//gltA//sdhB//paaJ//gcvP//sdhD//ygeA//paaC//
FabR_neg	metC//waaZ//moaA//
FadR_neg	katE//patA//cdd//wzb//polB//betA//yfdE//leuA//entF//
FadR_pos	ilvE//thrS//nrdB//garR//phnO//ribA//prpE//argB//ravA//aroH//
FeaR_pos	zwf//rutA//
FhlA_pos	cysH//uxuA//metF//patZ//uxaC//fadJ//ldtD//folA//
Fis_neg	ogt//rhaA//dapB//cheR//cysI//mltF//nrfC//paaK//malY//dinB//ycjG//sucC//pgaD//patD//recF//paaH//galT//glgC//wrbA//fadB//wecE//pncB//serC//pgaC//ubiC//aceF//pyrC//argB//ilvA//carB//ccp//rtcB//galT//trmD//nrdB//gpmA//fumA//caiA//napG//hemF//pykF//malP//feaB//dapB//rutD//carA//
Fis_pos	argG//lysC//purA//aceE//trpE//astC//trpE//bioD//pgi//pdxA//hycB//chbG//lpxC//bacA//entE//rutA//lhgO//leuD//galK//fadE//ycjG//metH//bglB//aroF//dkgA//fabH//rtcB//udp//speC//upp//preA//prpC//uxaC//ppiA//purM//wecC//ttdB//
FlhDC_neg	glpD//edd//
FlhDC_pos	phr//frdD//hcp//ybjG//uxuB//uvrB//ung//lldD//phnI//narG//paaZ//yedX//
FliZ_neg	cysM//betA//kbl//psd//mhpF//
FucR_pos	ttdA//glnA//xylA//gcl//bioA//pdeL//
Fur_neg	ddlB//torC//deoD//rsmH//puuA//uvrC//tynA//idnK//glgX//gcvT//sbcC//mazG//fes//paaG//wecE//gntK//dkgB//adhE//cysN//nemA//trmA//sgbU//wecE//murF//avtA//mnmG//ppc//polB//allD//ilvE//yeaE//wecE//fumC//dgcZ//mtlD//glpD//accA//edd//pdxA//glgP//uvrA//srkA//glnA//purB//uvrA//fadD//gor//gcvP//argE//aspC//dgcC//rhaA//uxuA//
Fur_pos	citX//deoB//gltX//atoB//mhpA//ttdA//allE//gltB//gadB//dmsB//dusB//cysD//patZ//frdA//cysK//glgP//
GadE-RcsB_pos	acnA//serC//poxB//prmC//gloA//
GadE_pos	pnp//glxR//hflX//pspE//glyA//napB//pyrC//patA//malY//napG//
GadW_neg	fadM//ftnA//narI//
GadW_pos	ttdB//kbaY//gapA//glpK//
GadX_neg	glgP//ruvA//
GadX_pos	eda//xapA//pheT//lysU//feaB//ahpC//add//hyaC//cueO//glcF//asnA//
GalR_neg	bioB//uxaA//phr//dmsB//argA//deoD//
GalR_pos	sucA//nrfD//ppsA//codA//
GalS_neg	umuC//ygeA//glmU//cysE//serC//gntK//
GalS_pos	ilvI//lacA//fabZ//xdhC//
GatR_neg	gatZ//acnA//phnL//
GcvA_neg	moaA//pgk//trmD//
GcvA_pos	yfdE//chbF//folE//
GlcC_neg	
GlcC_pos	ldtB//metA//nanE//
GlpR_neg	sdaA//ravA//acnB//fbaA//gntK//glpD//aldB//
GlrR_pos	
GntR_neg	ruvA//sgbE//aldA//metH//nirB//aldB//sdhA//paaB//ribA//
GutM_pos	dmsA//katE//citX//
H-NS_neg	hchA//nagA//hycD//betB//leuA//metK//malP//umuC//phnH//hmp//glgP//nrdB//napA//rhaB//asnA//lacA//prs//udp//lsrF//queA//rffM//rbsK//puuA//glpC//pdeF//gcvH//fabI//pfkA//dhaL//ilvA//mpaA//rfe//pdeR//bcsZ//fabD//gltA//speA//mltF//metK//patD//pepD//glcB//cynS//hpt//entB//argB//gltA//accA//hemH//uxaB//gpmA//
H-NS_pos	hpt//gcvT//sdhC//uxuB//hyi//aceE//cheR//yqhD//rhaA//cadA//rtcB//entF//metE//cysD//tyrB//
HU_neg	nrfD//pdxA//dgkA//rnpB//rffH//paaH//dkgB//
HU_pos	
HcaR_neg	
HcaR_pos	murG//hflX//
HdfR_neg	
HdfR_pos	
HigA_neg	gltX//
HigB-HigA_neg	kbaZ//
HipAB_neg	leuB//narH//
HipB_neg	malS//bcsZ//sucC//
HprR_neg	moeB//entA//
HprR_pos	uvrA//entA//
HyfR_pos	psd//
HypT_neg	aroF//gcd//
HypT_pos	srkA//cadA//uxaC//purC//recD//
IHF_neg	ilvG_1//waaH//bioF//phoA//argE//waaY//frdB//uvrB//rhaD//cysN//ulaG//hmp//paaG//tktB//polB//allC//gpmA//phnO//ppc//hemF//dusB//nfsA//fucI//metB//astD//appA//ynfF//dadA//fadH//aldA//uvrB//sdaA//rtcB//ada//gabD//dacC//torC//entF//recD//glgB//gltX//glk//ulaF//
IHF_pos	ppc//sdhC//yqhD//tktB//chbF//ampC//glmU//metA//glgP//rffG//pdeR//fadH//eda//ilvN//lysU//glcF//torC//alsE//galE//kbaY//gdhA//ascB//glsA//sucA//putA//sgbU//cysE//glpX//xapA//glcE//nrfC//trpC//ubiX//adiA//allD//frdA//wecC//dinB//hemH//puuB//fadI//purC//frdB//talA//entE//phr//hpt//dhaM//frc//sdaA//adhE//metL//torC//rffT//nirB//katG//sucD//add//leuB//nrdA//purN//thrS//cynS//ruvA//bacA//trmA//mhpF//gltX//torA//nanE//kbl//
IclR_neg	eno//betB//narI//
IdnR_neg	gor//glcE//
IdnR_pos	fadA//dgkA//ftnA//ampD//
IlvY_neg	
IlvY_pos	sodB//
IscR_neg	argF//mdh//tadA//sdhA//murC//gntK//
IscR_pos	napB//metF//
KdgR_neg	sgbU//nfsB//
KdpE_pos	appA//
LacI_neg	ung//paaK//frdA//
LeuO_neg	
LeuO_pos	nagA//rpiB//gatZ//nanK//mhpD//amn//
LexA_neg	rsmA//galT//fau//ulaD//arsC//argE//ynfE//lysC//glpE//puuD//cysE//hycB//nrfD//hemH//ulaG//sufS//gpmA//ulaF//ruvB//fabG//bioA//oxc//ttdA//
LldR_neg	betA//moaC//
LldR_pos	frdB//yqhD//
LrhA_neg	
LrhA_pos	
Lrp_neg	purM//mhpA//serA//murE//waaH//rsmH//nrdD//speB//dapB//mdh//wecB//paaI//asnA//nagB//xdhA//fadD//pyrC//fabI//oxc//pgi//waaH//lpxC//dapD//
Lrp_pos	rffC//yqhD//ynfE//purM//purM//hycG//ychF//uxaB//hycC//tehB//fabI//pagP//dsdA//phnM//allE//ulaD//slt//entA//wzb//frdB//
LsrR_neg	gcd//acnB//dmsC//hflX//rffC//
LysR_neg	
LysR_pos	fdhF//
MalI_neg	allA//edd//
MalT_pos	ugpQ//gabD//asnB//glcB//glgP//yqhD//
MarA_neg	aceE//
MarA_pos	galK//asnB//fadI//citX//betB//sucB//queA//epd//fdhF//kbaY//tnaA//epd//purE//garK//phnJ//rimK//alkB//astB//ddlB//ilvB//tynA//aceA//glgB//
MarR_neg	
MatA_neg	frdA//
MatA_pos	
MazE-MazF_neg	nemA//
MazE_neg	hemL//
McbR_neg	
McbR_pos	
MelR_neg	paaY//ubiG//
MelR_pos	sodB//rutC//
MetJ_neg	trpB//pheT//bioC//hyaC//paaB//dacC//moaA//paaG//leuB//ilvN//
MetR_neg	arsC//
MetR_pos	pgaC//phr//trpE//galE//
MhpR_pos	gcl//wzb//nanE//speA//purE//napG//
Mlc_neg	prpB//ydcS//entD//cysD//
MlrA_pos	metK//
MngR_neg	mdh//astC//
MntR_neg	ilvB//
MntR_pos	fabG//
ModE_neg	trpA//glpQ//sdhA//cysC//accA//eno//lldD//purN//
ModE_pos	grxA//fbaA//phnJ//hcaB//murQ//nanK//purA//ogt//rbsK//
MprA_neg	ruvA//udp//prmC//
MqsA_neg	uidA//avtA//
MraZ_neg	ppc//metH//gcvH//fucO//nadB//glcE//pheS//paaF//dmsC//ung//
MurR_neg	gcl//nanA//hcaF//
MurR_pos	
Nac_neg	chbG//paaK//nrdE//
Nac_pos	hycG//hcaF//nadC//preA//rsmA//cadA//srlD//pgaD//
NadR_neg	speB//glpQ//hchA//wecC//
NagC_neg	fabA//pck//chbF//hypF//sdaA//nadA//pgaC//wecE//mazG//serA//ubiG//wzc//cueO//ulaE//garK//grxA//allB//wecB//
NagC_pos	narG//xdhC//
NanR_neg	fbaA//speB//fadE//paaB//prmC//agp//
NanR_pos	
NarL_neg	lpxD//tdcD//pdeH//tynA//rutC//ynfG//appA//murC//rutB//malP//argH//hmp//hycC//ulaF//hcaC//pepD//fruK//bioD//hcaD//dgcN//lsrK//dadA//rffM//sodA//metH//dmsB//fdhF//pgm//
NarL_pos	ftnA//lpxA//gatY//putA//hycF//waaZ//puuB//idnO//murD//wzc//xapA//pdeL//guaA//purB//eda//
NarP_neg	fes//murD//luxS//cysC//atoD//
NarP_pos	luxS//glsA//tadA//dacC//hyi//ansB//fabG//accA//thrS//gudD//dacC//argE//folA//nanE//
NemR_neg	paaJ//rbsK//
NhaR_pos	thrS//rutB//malY//cheR//fadM//
NikR_neg	sgbH//
NimR_neg	kbl//
NorR_neg	
NorR_pos	gltA//
NrdR_neg	cysG//purF//hyaC//carA//
NsrR_neg	chiA//fumB//accD//dhaL//moeA//fadM//purA//dkgB//add//ppsA//aroH//ydcS//nemA//mpaA//gadA//dhaM//deoB//tdcB//mdh//ansB//bioA//accA//dhaL//ravA//add//pdeL//ynfG//pgpC//xylA//allA//uxuA//patD//fadI//yqhD//eno//tdcE//aroA//pncB//rpiB//yeaE//
NtrC_neg	galM//wzc//
NtrC_pos	preA//murE//ruvA//pgpC//citC//fucI//bioC//rbsK//edd//kbaY//frdD//patA//ada//torC//entF//fau//sodA//guaB//ycjG//narI//folE//
OmpR_neg	umpH//puuE//ilvN//rtcB//umpH//
OmpR_pos	ruvB//lysC//galM//alaA//
OxyR_neg	adeD//nrdE//rsmH//agp//citD//
OxyR_pos	ung//glgB//galK//ndh//umuD//fabZ//ilvA//alaC//trpA//glmS//leuB//nrdF//
PaaX_neg	adiA//cysI//glpD//argE//acnA//udp//pagP//frc//paaZ//
PdeL_pos	yqhD//
PdhR_neg	alaC//bcsZ//preT//dgkA//polB//fruK//nanA//folA//cmoM//sgbH//cyaA//rnpB//mpl//xylB//paaA//cysC//glcB//recF//narG//napH//luxS//entC//dgkA//
PdhR_pos	aroL//sufS//
PepA_neg	wecE//gatD//
PgrR_neg	pgk//ybjG//
PhoB_neg	nemA//caiC//ldtD//fabD//fadM//
PhoB_pos	hmp//metB//bcsZ//paaF//pykF//yeaG//queA//dmsB//prmC//hemL//nanE//poxB//ldtC//slt//phnM//ilvN//alaS//
PhoP_neg	sufS//frdB//sdhA//
PhoP_pos	hchA//cysN//tauD//fucU//cysI//patD//ynfF//astA//dacC//metL//lpxC//xylA//srlD//pdeL//argE//pck//serC//ydcS//sdhA//icd//moeA//trpD//patD//hyaB//purK//ynfE//gnd//caiA//purA//napG//ilvD//
PrpR_neg	
PrpR_pos	ampC//ubiG//nrdB//astB//
PspF_neg	
PspF_pos	dgcZ//
PurR_neg	mdh//allA//gnd//ugpQ//fucO//preT//purM//pdeF//metF//cyaA//cysD//moeB//purF//dhaK//nfsB//eno//ccp//cyoE//rhaB//chbG//argD//fumA//putA//pheS//ilvI//sdhD//
PutA_neg	metB//uxaC//
PuuR_neg	aroG//hmp//fadM//bioA//hycF//prpE//
QseB_neg	
QseB_pos	
RbsR_neg	glk//epd//rffH//mnmG//glnA//
RbsR_pos	feaB//
RcdA_neg	
RcdA_pos	nadA//
RclR_pos	
RcnR_neg	gnd//
RcsAB_neg	uxuA//
RcsAB_pos	rtcA//xylA//
RcsB-BglJ_pos	narH//glcF//
RcsB_neg	ulaE//
RcsB_pos	hcaE//glpE//hycC//
RelB-RelE_neg	cadA//
RelB_neg	rpiB//
RhaR_pos	
RhaS_pos	serA//rhaD//tadA//asnA//
Rob_neg	
Rob_pos	bioC//entE//nagB//hemH//purN//aceB//speC//recB//sgbE//prmC//ackA//gdhA//nirD//lldD//alsE//citE//add//sucB//citC//
RstA_neg	fabH//paaJ//
RstA_pos	hycD//
RtcR_pos	trpC//hcp//
RutR_neg	zwf//slt//phnH//citX//cysE//gatD//mhpE//paaI//mpaA//agp//
RutR_pos	dapD//
SdiA_neg	
SdiA_pos	
SgrR_neg	cyaA//
SgrR_pos	moaA//ydcS//
SlyA_neg	
SlyA_pos	torC//hyaB//ubiG//sgbH//aroF//rbsD//hemH//cysE//alaS//
SoxR_neg	
SoxR_pos	malQ//
SoxS_neg	
SoxS_pos	argC//lpxD//nadA//wzb//hyaA//ilvN//metE//nagA//purC//bioD//manA//tdcB//bioA//fucA//gcl//purC//speB//phnM//ampC//srkA//glgX//astA//queA//dmsC//pagP//psd//
SrlR_neg	fbaB//eda//ygeA//
StpA_neg	nfsA//bioC//metF//
SutR_neg	paaZ//argI//
SutR_pos	
TdcA_pos	gpmA//phr//preT//dmsC//xdhA//
TdcR_pos	torC//aspC//ppsA//chbF//argA//
TorR_neg	gloA//
TorR_pos	glpX//cdd//adhE//alaC//
TreR_neg	dapD//bioB//
TrpR_neg	murI//araB//dinB//dgcN//prpB//ansB//nfsB//recB//malZ//
TtdR_pos	srkA//cadA//
TyrR_neg	glpK//pgaC//talA//mhpF//glgA//speB//leuB//
TyrR_pos	patD//serC//rutB//
UhpA_pos	dkgA//
UidR_neg	ldtD//dmsA//
UlaR_neg	ydcS//sucA//bglB//entH//cysJ//
UvrY_pos	leuC//xylB//
UxuR_neg	lhgO//fucA//fumB//phnI//upp//
XapR_pos	glpC//paaF//
XylR_neg	
XylR_pos	add//purK//truB//
YdeO_neg	
YdeO_pos	hcaE//paaF//ppiA//
YefM-YoeB_neg	nadA//
YefM_neg	ybjG//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	ldtD//bioC//umuC//ychF//dusB//napH//
YjjQ_neg	mpaA//astB//
YpdB_pos	
YqhC_pos	nrdF//alsE//
YqjI_neg	manA//
ZntR_pos	gatY//
ZraR_pos	
Zur_neg	narG//
