# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	aceF//glpC//
CueR_pos	phr//cysK//
CusR_pos	moaD//hyaA//wzc//purM//
CynR_neg	
CynR_pos	cynS//pyrD//murD//
CysB_neg	fabG//xylA//glmU//
CysB_pos	rpiB//yqjH//serA//paaY//add//entB//garK//ribA//glpD//araB//ampC//fabD//rutE//argF//
CytR_neg	acs//lsrF//rutD//glgP//asnB//xylA//fabG//purN//sbcC//galK//
DcuR_pos	narH//fadM//cheR//frdA//
DeoR_neg	aroA//trpE//lldD//nrfD//hycG//wrbA//
DhaR_neg	
DhaR_pos	ubiX//
DicA_neg	
DinJ-YafQ_neg	ada//
DnaA_neg	fucK//fucK//metH//uxuB//ftsI//
DnaA_pos	nrdA//paaE//nanE//
DpiA_neg	
DpiA_pos	entH//fabZ//garK//hyaB//tdh//
DsdC_neg	
DsdC_pos	glcD//wecB//
EbgR_neg	
EnvR_neg	hcaE//tpiA//
EnvY_pos	ldtC//glpA//
EvgA_pos	aceB//sufS//puuA//dinB//gadA//folE//
ExuR_neg	sdaA//dgcN//fadM//garK//deoC//rtcB//
FNR_neg	entD//sodB//ahpC//deoD//hflX//hcaE//patZ//glpB//rhaA//cysI//frdC//sbcC//kbaY//rtcA//upp//xylA//nemA//cysJ//atoD//preA//phnL//trmD//dapD//accA//dmsA//galT//appA//aldB//ynfG//srlD//dacC//dmsB//paaE//talA//napA//nrdF//lysC//ynfH//frdD//gcvH//sodB//ppc//ampC//ubiX//
FNR_pos	glpX//ung//xdhC//asnB//iscS//entE//serA//cdd//sbcC//wzb//patD//glk//yedX//tyrB//gltA//pagP//prpB//ssuE//bioF//yeaE//narG//paaZ//fadI//ynfG//phnM//paaZ//xapA//purC//prpC//nanE//yeaG//dkgA//glmS//relA//glgA//treC//hycE//ydcS//nrdD//appA//feaB//ogt//pagP//truB//fau//xdhA//lysA//hcaB//epd//ilvG_1//putA//uvrB//ada//folA//murQ//hflX//ulaF//putA//frdD//fumB//ilvN//glpB//ung//malQ//araB//ulaG//sodA//bglB//rutC//moeB//melA//purF//hemA//yeaE//ppsA//yqhD//sodB//glcD//acnA//ssuE//pagP//entH//garK//hcaE//uidA//rffT//phnM//nadA//accA//mhpA//lpxD//pykF//idnO//trpA//ttdB//hyaA//
FabR_neg	edd//fadJ//ndh//
FadR_neg	bioA//fucO//fadI//cysM//sufS//preA//recD//wzc//phnN//
FadR_pos	ravA//leuC//deoC//lpxA//polA//aldA//accA//metH//purF//cynT//
FeaR_pos	glpB//gatY//
FhlA_pos	glsA//leuC//nrdA//uxaC//wecC//wecC//gcd//dapB//
Fis_neg	galM//lacA//lysA//citC//citD//glnA//tynA//eno//lpxC//idnD//purN//amiA//alaS//glpB//cynS//ttdA//ada//patA//adiA//glnA//aspA//rhaD//trpA//caiD//hflX//rhaB//pdeL//katE//paaK//truB//ndh//trpB//hycE//hyi//icd//hcaC//ttdB//rhaD//rtcB//nadA//psd//glpA//bacA//mraY//glcF//gadA//
Fis_pos	metB//pheS//rffT//torC//rffH//ndh//fadM//ilvI//hcp//lhgO//pheT//ansB//ilvI//puuC//ada//pgaC//nanA//appA//leuB//betB//lpxA//galK//rffC//sgbU//glpD//sgbE//mhpE//slt//rfe//metC//zwf//gcd//dapD//dgcZ//cdd//hyaC//entD//
FlhDC_neg	hycG//paaI//
FlhDC_pos	waaY//betA//aroH//argG//araB//mtlD//gltD//fabH//ynfF//speB//allE//atoA//
FliZ_neg	rbsK//tdcG//prs//rsmA//uxaB//
FucR_pos	glxR//pheT//citE//metC//paaY//yeaE//
Fur_neg	moaD//wrbA//rffC//dapD//recB//paaG//yfdE//aceE//xylA//argA//araA//glpC//puuB//glnA//gpmA//hemA//glgC//bacA//carB//pgi//pepD//ascB//amn//tdcG//arsC//hycB//sgbU//fabA//tpiA//arsC//polB//nrdB//garL//mhpC//glgA//hemL//alkB//gnd//argF//recF//katE//uvrA//pflB//folA//pgi//ulaD//lpxC//chbG//fabI//bcsZ//fadH//tynA//ppc//
Fur_pos	fumB//recD//mtlD//dapD//hycE//rutD//idnD//rffH//cysH//xylB//ascB//glgC//feaB//sucD//paaH//ulaE//
GadE-RcsB_pos	atoA//psd//metL//uxaC//ydcS//
GadE_pos	gcl//tam//gcvT//phnO//moeA//araA//aceA//narH//carB//fabH//
GadW_neg	dusB//ssuE//chbF//
GadW_pos	tynA//guaB//alkA//ilvI//
GadX_neg	lacZ//glgC//
GadX_pos	torC//fruK//nanK//ppc//entH//wrbA//ssuE//garK//mhpC//fucI//ttdB//
GalR_neg	citE//malY//citE//dhaK//uxaA//cysN//
GalR_pos	xylB//ahpC//rffG//phnM//
GalS_neg	pfkA//metB//cysK//dadX//fucK//paaJ//
GalS_pos	puuC//dhaK//dusB//rpiB//
GatR_neg	entD//phnN//ilvN//
GcvA_neg	gcd//hycB//phnJ//
GcvA_pos	hpt//psd//murI//
GlcC_neg	
GlcC_pos	trpE//hflX//rsmA//
GlpR_neg	gdhA//zwf//pgaD//acnB//glxR//dhaM//idnD//
GlrR_pos	
GntR_neg	waaY//talA//cysM//carB//tauD//xylA//frdC//ubiX//cysE//
GutM_pos	deoB//waaH//patD//
H-NS_neg	glpB//nrfD//lpd//pdeR//nrfA//cdd//mnmG//glpE//ttdA//malP//ygeA//serA//sgbH//patZ//paaF//lpxA//murG//phnJ//aceE//atoB//ldtB//rsmH//dhaK//ampD//phnJ//yedX//ynfF//yeaG//recB//glcE//srlD//leuC//glgB//agp//lysC//ulaD//dadX//atoD//cynS//ynfF//puuE//slt//udp//sufS//sucD//ahpC//paaF//pfkA//argG//lysU//uxaA//
H-NS_pos	pnp//nanA//ampC//gpmA//aroL//epd//mtlD//gcd//ravA//malY//torA//ydcS//moaD//cmoM//araD//
HU_neg	gcd//uvrC//feaB//idnD//purM//aceF//fes//
HU_pos	
HcaR_neg	
HcaR_pos	ilvA//allA//
HdfR_neg	
HdfR_pos	
HigA_neg	arsC//
HigB-HigA_neg	purB//
HipAB_neg	mhpB//sgbH//
HipB_neg	tynA//frdD//fruK//
HprR_neg	ansB//fadD//
HprR_pos	kbaZ//galT//
HyfR_pos	ilvE//
HypT_neg	pck//sdhD//
HypT_pos	wzb//hycC//lsrF//pdeL//fabZ//
IHF_neg	deoD//adeD//ravA//pgaC//amiA//purE//idnK//hcaD//nanK//narG//cysN//dsdA//srkA//phnJ//glgC//rffT//aceB//tehB//wzb//deoC//bglB//srkA//phnI//astD//hycC//tnaA//metB//ilvI//ilvM//arsC//aroG//deoB//tadA//rnpB//bcsB//recB//ssuD//fucA//preT//relA//purB//argB//lldD//
IHF_pos	galM//tam//amiA//allD//phnP//glk//fau//preT//purK//gcvP//pdxA//napB//gudD//sgbE//adeD//chbG//galE//gpmA//katE//phnG//uvrB//mnmG//recD//relA//malZ//pagP//trmA//ubiC//rfe//waaY//glcF//atoD//nrdB//uxuB//pflB//rsmH//astB//wrbA//dhaL//galK//dmsC//hemL//slt//fadJ//hmp//ampC//cadA//idnK//ldtC//glpA//kbaY//add//napG//galE//speA//cysH//chbG//amn//pgi//allA//nanA//glpK//napB//paaG//sgbU//dhaK//edd//torC//nanK//luxS//ampD//
IclR_neg	arsC//dadA//mraY//
IdnR_neg	uxuB//rbsK//
IdnR_pos	ldtD//lacA//fbaA//hemA//
IlvY_neg	
IlvY_pos	xdhC//
IscR_neg	avtA//yeaG//fadJ//wecE//pdxA//wecE//
IscR_pos	gcvT//ada//
KdgR_neg	paaY//gapA//
KdpE_pos	rsmH//
LacI_neg	aldA//rhaD//gcvH//
LeuO_neg	
LeuO_pos	frdB//aldB//ubiA//fadJ//lysU//upp//
LexA_neg	fabB//gltD//phnI//yedX//hmp//hycB//murC//pheS//citG//puuA//mltF//fabG//glxK//ndh//glcF//carA//alkA//fabB//frdA//dmsC//pdeR//entF//entC//
LldR_neg	yedX//narG//
LldR_pos	tauD//allE//
LrhA_neg	
LrhA_pos	
Lrp_neg	frc//grxA//wecB//mhpA//torC//pyrC//purB//kbaZ//nrdD//nrdD//pheS//fadJ//galT//cysK//udp//glpA//garL//gcvT//recB//glgA//paaJ//feaB//mhpE//
Lrp_pos	gltX//serC//glk//tdcD//frdC//rbsK//ilvD//aldB//betA//tyrB//prpC//folA//mhpE//pdeL//eno//ilvC//cyaA//dhaK//upp//narH//
LsrR_neg	rsmH//pdeL//ilvI//ilvM//dsdA//
LysR_neg	
LysR_pos	ilvB//
MalI_neg	waaZ//garL//
MalT_pos	metB//prs//leuD//caiB//galK//cysG//
MarA_neg	galE//
MarA_pos	ogt//hyaC//ccp//rffG//nadA//zwf//lpxD//phnP//pdxA//aroF//nrdE//alkB//ppc//astD//frdC//poxB//frdD//purN//bglB//yedX//tyrB//fabZ//mhpF//
MarR_neg	
MatA_neg	rffT//
MatA_pos	
MazE-MazF_neg	rsmA//
MazE_neg	xdhB//
McbR_neg	
McbR_pos	
MelR_neg	ada//rutD//
MelR_pos	glnA//glpB//
MetJ_neg	rnpB//ubiA//frdC//kbaY//ampD//bioD//pgi//mpl//serC//fadI//
MetR_neg	hpt//
MetR_pos	uxaC//hcaF//allE//paaH//
MhpR_pos	pncB//citC//srkA//bacA//atoB//chbG//
Mlc_neg	murQ//pepD//fabA//argG//
MlrA_pos	ilvE//
MngR_neg	caiA//nfsA//
MntR_neg	phnG//
MntR_pos	malQ//
ModE_neg	rutD//tyrB//ddlB//astB//puuC//dadX//patD//cadA//
ModE_pos	uxuB//malY//rtcB//fadJ//lhgO//entB//astC//dmsC//allA//
MprA_neg	argA//murC//sufS//
MqsA_neg	rhaD//paaE//
MraZ_neg	cysE//torA//poxB//rffG//yedX//avtA//umuC//sufS//nrdA//wecB//
MurR_neg	umuD//idnO//rbsD//
MurR_pos	
Nac_neg	phnG//paaG//pdeF//
Nac_pos	ygeA//yeaE//rffT//trpE//torC//fadA//cyoE//tdcE//
NadR_neg	dkgB//garD//mhpB//alkA//
NagC_neg	lyxK//ilvE//citX//caiC//gcvP//nfsB//trpD//nemA//dmsC//bacA//accA//ansB//galE//eda//mraY//fbaA//cadA//katE//
NagC_pos	sucA//galK//
NanR_neg	nirD//rffC//sdhB//cynS//tnaA//wecB//
NanR_pos	
NarL_neg	mazG//fucA//lldD//ppiA//murE//sbcD//prmC//paaC//uxuB//sbcD//nrfA//garD//ilvG_1//argD//paaC//paaJ//nemA//ilvD//adiA//fabB//cysH//rhaA//araD//chbF//kbaY//cyoE//galE//nrdD//
NarL_pos	acnA//serA//alaC//dgcZ//alaS//nirB//pdxA//udp//moaA//deoD//patA//moeB//astA//uvrB//cueO//
NarP_neg	astD//adiA//cysG//waaH//paaE//
NarP_pos	xylA//metL//ilvG_1//puuD//lysU//sucC//fabI//nagB//pgm//kbaY//glk//dkgB//asnA//bacA//
NemR_neg	hpt//ilvG_1//
NhaR_pos	entH//ribA//glpQ//xylB//cmoM//
NikR_neg	tnaA//
NimR_neg	tdh//
NorR_neg	
NorR_pos	hyaC//
NrdR_neg	nemA//xdhA//fabB//phoA//
NsrR_neg	waaY//epd//chbG//entD//rhaB//paaC//argG//argF//cynS//sbcD//fbaA//argB//hemA//add//umuD//uxuA//dmsB//rutC//phnN//dgcN//argG//garR//accD//astC//pdeL//prpB//chbG//talA//glpA//sodB//xapA//cysJ//fabZ//galK//paaG//ssuE//aceF//aroF//rtcB//citD//
NtrC_neg	bioB//purB//
NtrC_pos	rutD//sdhC//sodB//tdcD//patA//sdaA//deoC//nirB//ung//fumA//moaA//gabT//relA//argF//murI//frc//luxS//tam//adeD//nfsB//frdD//
OmpR_neg	argF//dacC//alaS//aroH//trpD//
OmpR_pos	mdh//guaA//argE//purB//
OxyR_neg	ybjG//glxR//metL//allA//metB//
OxyR_pos	argF//ampD//manA//murD//waaY//paaZ//lhgO//leuB//fau//trmA//folA//nirD//
PaaX_neg	poxB//rtcB//aroL//pspE//cueO//aroL//ftnA//gudD//rnpB//
PdeL_pos	preA//
PdhR_neg	fadB//ddlB//lpxC//citF//yeaG//lsrF//araD//phr//ulaD//caiC//hmp//pepD//carB//lsrK//alaS//gor//uxaB//hycB//katE//glpB//ynfH//glmS//bioB//
PdhR_pos	gudD//argA//
PepA_neg	tam//sdhD//
PgrR_neg	entE//phnI//
PhoB_neg	chbF//nrdF//ilvD//ulaE//fumA//
PhoB_pos	pheT//trpB//ruvA//yeaE//murG//pykF//purE//ung//truB//pdxA//ravA//treC//nadA//tam//nagA//ubiG//ddlB//
PhoP_neg	ttdB//adiA//guaB//
PhoP_pos	dgcC//amn//rfe//fucO//patZ//hemF//aspA//idnD//ampC//ppsA//sucD//yedX//garR//galE//talA//purK//araB//slt//aroL//tyrB//rffC//ldtB//paaZ//nrdA//puuE//murF//allC//bioC//sucD//aroA//ubiX//
PrpR_neg	
PrpR_pos	ddlB//speC//lysU//aceB//
PspF_neg	
PspF_pos	bioB//
PurR_neg	murQ//napA//hycC//paaH//mazG//tyrB//agp//cysM//cdd//amn//lacA//fucO//luxS//murE//cysN//edd//sucD//preT//rbsD//dkgA//galK//purH//pdeH//phnH//nagA//idnK//
PutA_neg	nrdF//astE//
PuuR_neg	pfkA//feaB//cpdB//lhgO//fumC//eno//
QseB_neg	
QseB_pos	
RbsR_neg	mazG//phnL//purM//rfe//amiA//
RbsR_pos	rffT//
RcdA_neg	
RcdA_pos	gloA//
RclR_pos	
RcnR_neg	rfe//
RcsAB_neg	atoA//
RcsAB_pos	hycC//pgk//
RcsB-BglJ_pos	amiA//prpE//
RcsB_neg	nrdE//
RcsB_pos	ilvN//cysH//lysA//
RelB-RelE_neg	nirB//
RelB_neg	frdC//
RhaR_pos	
RhaS_pos	purL//paaA//nirB//ubiC//
Rob_neg	
Rob_pos	gloA//ascB//trpC//cysN//ttdA//tdcE//srkA//melA//dhaL//aspA//accA//phnH//mngB//prpD//eno//rsmH//cpdB//glgB//nrfD//
RstA_neg	murE//betA//
RstA_pos	lysA//
RtcR_pos	rutC//entC//
RutR_neg	hycD//udp//cmoM//aldB//acs//apaH//phnI//polB//dinB//patD//
RutR_pos	puuC//
SdiA_neg	
SdiA_pos	
SgrR_neg	carA//
SgrR_pos	metF//araB//
SlyA_neg	
SlyA_pos	ilvI//deoA//sgbH//alkB//paaI//caiD//nrdF//slt//metK//
SoxR_neg	
SoxR_pos	ackA//
SoxS_neg	
SoxS_pos	nagA//moaD//glpQ//ravA//cynS//kbaZ//avtA//ygeA//tehB//fucO//allE//lysU//bcsZ//cueO//fbaA//prpE//pfkA//hyi//napB//cadA//umuC//ilvH//patD//hypF//trpC//bcsZ//
SrlR_neg	purC//manA//leuA//
StpA_neg	cysD//rsmA//purM//
SutR_neg	murQ//ampD//
SutR_pos	
TdcA_pos	dkgB//mngB//gatZ//nagA//paaE//
TdcR_pos	wecE//uxaC//gadB//fadB//gcl//
TorR_neg	wzc//
TorR_pos	tynA//glpC//caiC//cysG//
TreR_neg	caiC//umuC//
TrpR_neg	yqjH//gcl//serC//rbsK//murD//malP//hycG//edd//kbl//
TtdR_pos	argH//fucU//
TyrR_neg	mhpB//uvrB//eno//uidA//nadB//ilvB//torC//
TyrR_pos	ilvB//paaH//hpt//
UhpA_pos	sgbE//
UidR_neg	hyaB//gltB//
UlaR_neg	glmS//prpC//hyaB//glpE//apaH//
UvrY_pos	alkB//cysC//
UxuR_neg	nagB//mhpC//fdhF//slt//uidA//
XapR_pos	gor//fadD//
XylR_neg	
XylR_pos	phnP//rnpB//malS//
YdeO_neg	
YdeO_pos	uidA//rtcA//mhpD//
YefM-YoeB_neg	relA//
YefM_neg	phnN//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	feaB//ppc//phnH//bioD//entD//nanE//
YjjQ_neg	nirB//napH//
YpdB_pos	
YqhC_pos	malY//hycG//
YqjI_neg	rutE//
ZntR_pos	gapA//
ZraR_pos	
Zur_neg	cysD//
