# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	lysA//fabI//
ArgR_neg	nrdB//slt//phnP//fucO//rtcB//bacA//waaH//citX//astA//fabI//nfsB//bioA//hcaF//katG//umuC//entC//glpQ//gatZ//
ArgR_pos	torA//cyaA//fadI//yqhD//recD//
ArsR_neg	talA//purF//
AscG_neg	argI//ubiA//
AsnC_neg	pdeH//
AsnC_pos	nrdB//
AtoC_pos	aspA//frc//tnaA//
BCCP_neg	nadB//
BaeR_pos	pgaD//pck//
BasR_neg	purL//
BasR_pos	fabB//aroH//
BetI_neg	aspA//gatY//prs//
BirA_neg	patD//slt//chbF//rutD//garL//
BluR_neg	
BolA_neg	tyrA//malY//
BolA_pos	phnN//rtcA//
BtsR_pos	paaF//
CRP_neg	mpaA//ldtC//xylA//umpH//paaE//phr//gcd//cueO//fabZ//xdhB//nadB//ubiC//pnp//lacA//rffT//ssuE//phnH//purH//xdhC//fadD//cynT//pdeR//ilvM//rutE//citG//waaH//serA//fadB//trpB//prpC//aroF//nadB//bioA//nrfC//argH//frdD//caiA//ascB//caiB//srkA//hycC//metB//hyaC//tynA//fruK//mtlD//pdeF//ulaG//hpt//recB//bcsB//gapA//putA//nanE//ulaG//torC//sgbH//ilvM//grxA//prs//rtcB//bioA//gpmA//nanK//amn//ttdB//frc//mhpC//fabB//mazG//ubiX//
CRP_pos	uvrC//rffG//nadB//tadA//aceB//ilvA//arsC//glpD//feaB//pfkA//ydcS//hycE//fadA//aspA//gcd//leuB//fabG//pyrD//gnd//slt//rutE//ynfF//ansB//fdhF//accC//argI//paaH//rtcB//araA//narG//pdeH//cmoM//glpQ//sucD//dhaM//sdhB//argH//nrdF//uxaB//icd//xapA//ybjG//nrfD//phnI//moaE//lpxD//araB//upp//mpaA//hemL//ribA//mhpC//pfkA//relA//cysI//pagP//fabD//katG//tktB//caiB//bcsZ//pgi//tehB//hcaD//entA//alaA//lysC//accA//hycC//dusB//lysC//hyaB//phnL//sbcC//nrdF//fabD//putA//gltA//galE//acs//ascB//pdeR//nanA//grxA//hycE//ndh//entE//malS//speA//gltB//sdhA//gdhA//gnd//pykF//fadD//ydcS//eno//ascB//lsrG//thrS//agp//fabG//astA//aspC//zwf//ssuD//edd//hemH//sbcD//sdhC//tadA//allD//ssuD//glgB//pdeH//recB//nrdA//hyi//nfsB//caiD//betB//dkgB//murC//nadB//metC//prpD//aspC//rffH//recB//garR//frc//moaE//serA//pfkA//serC//mhpB//sgbU//hcaE//cdd//puuB//icd//paaK//purL//agp//hpt//nrfD//paaC//murE//glpX//ddlB//fdhF//glgA//carB//galE//purB//dkgB//paaA//glgA//rfe//tdcE//gadB//tdcB//wecB//hflX//rtcA//hyi//moaA//atoD//aceE//lyxK//tdcD//acnB//gpmM//caiB//ssuE//hcaF//pdeR//tdh//alkA//caiC//gutQ//folA//cdd//hyaB//hemH//carA//dgcC//ynfG//astE//patD//iscS//glk//metK//ldtC//metK//deoA//hycG//mhpE//pgk//cysN//gcvH//ruvA//cysG//lacZ//murD//murD//tam//waaY//tdcB//tdcD//rfe//aroL//hpt//sodB//argH//glxK//rnpB//ssuD//moaE//galK//gapA//glcF//pagP//hpt//gdhA//nrdD//glxR//pgpC//fadH//hflX//pspE//glcF//wecB//hpt//dsdA//hycD//upp//fabZ//nfsA//glcB//bioF//garR//aceA//cheR//gnd//aspC//glcB//narI//recF//
CadC_pos	sgbE//pgaB//alaA//
CaiF_pos	zwf//ygeA//hpt//oxc//fadM//
Cbl_pos	glgA//glcE//deoC//pgaD//rffH//
CdaR_pos	glmS//prpC//bglB//lldD//rhaB//serC//ftsI//tyrB//sdhC//
CecR_neg	cynS//
ChbR_neg	pnp//add//pfkA//
ChbR_pos	cdd//wzc//folE//
ComR_neg	
CpxR_neg	murG//cpdB//prmC//
CpxR_pos	prpC//ynfG//glgP//ynfG//dkgB//relA//phnH//ilvB//ynfE//idnO//ogt//glpC//melA//napH//treC//tadA//mhpC//napG//
Cra_neg	gltB//rffC//tdcE//aldB//glpQ//argB//treC//bcsB//paaC//srlD//frdA//gnd//citD//entE//xdhC//glsA//rffH//rffH//alaA//hcaE//garD//citC//tyrB//idnK//fumC//ravA//entD//tam//ydcS//glpA//ynfH//lldD//rbsD//ravA//alkA//murE//phnP//trpE//adiA//wecC//fumC//ndh//add//sgbE//adiA//
Cra_pos	frdC//idnO//lsrF//trmA//rutE//hycD//nrfA//atoD//hyi//ascB//lpd//gutQ//argG//ttdA//lpxC//glcE//ydcS//
CreB_neg	murF//
CreB_pos	deoD//
CsgD_neg	dacC//deoD//
CsgD_pos	fadA//pck//hcaD//
CsiR_neg	galK//ilvH//cysI//puuD//
CspA_pos	cysG//
CueR_neg	purD//uxaA//murE//
CueR_pos	tdcB//dhaK//
CusR_pos	aldA//hyi//trmA//rpiB//
CynR_neg	
CynR_pos	patA//ung//relA//
CysB_neg	gnd//mpl//tadA//
CysB_pos	paaH//mhpA//xdhB//dapD//dinB//uidA//frdB//ilvD//uxaA//ruvA//pgaD//dkgA//manA//metE//
CytR_neg	wecC//ssuD//paaE//glgC//trpA//srkA//hypF//umpH//ampC//idnK//
DcuR_pos	idnO//astD//leuB//cysC//
DeoR_neg	fadA//lpxA//prpB//glmU//prs//adhE//
DhaR_neg	
DhaR_pos	fabI//
DicA_neg	
DinJ-YafQ_neg	garL//
DnaA_neg	ilvM//gapA//grxA//ldtD//nadC//
DnaA_pos	eno//fumB//gpmM//
DpiA_neg	
DpiA_pos	cadA//dapD//purL//deoC//fucO//
DsdC_neg	
DsdC_pos	paaK//moaD//
EbgR_neg	
EnvR_neg	dsdA//xdhC//
EnvY_pos	mnmG//moaC//
EvgA_pos	hypB//citF//recF//nagB//lysU//gcvP//
ExuR_neg	hycG//fucO//idnK//moaC//hycE//fabG//
FNR_neg	pgaB//folA//narI//fadB//tadA//prpC//amn//uvrC//lpd//citD//mhpC//purD//codA//ssuD//sgbE//sgbU//lpxC//lpxD//gloA//ftnA//atoB//moaA//galK//ilvI//hyaB//ilvN//murG//lsrG//astB//hmp//leuC//nrdF//ubiG//pgpC//mnmG//phnO//rtcB//dgcN//oxc//avtA//uxaB//gor//rffH//nanM//
FNR_pos	pyrC//bioA//cysG//citC//adhE//nagA//srlD//allD//ugpQ//paaI//ahpC//ilvN//betB//hycF//glgA//ruvB//purE//alkB//dmsA//paaG//aroF//ybjG//ilvA//ilvB//ssuE//allC//xylB//pheS//nrdE//katE//pdeH//leuC//bioC//xdhA//glpQ//pgaD//narG//bioB//hemL//entD//apaH//preA//malP//gpmA//idnD//frdA//napB//lldD//ilvA//dapB//tnaA//garK//phnO//sbcC//nrdF//lpxC//malY//yqjH//ttdB//dadA//rnpB//wecB//tynA//entD//ubiA//dgkA//preA//nadA//umpH//ndh//puuE//gutQ//dadX//paaG//purM//glpX//nirB//phnJ//ldtC//pdeL//dmsA//fadE//upp//phnP//trpD//tadA//glpX//aceE//gcvT//purC//metF//purK//ubiG//pykF//citC//cdd//
FabR_neg	rhaB//oxc//alsE//
FadR_neg	fabH//hycD//puuB//ilvN//serC//agp//nanE//entA//talA//
FadR_pos	mhpD//mngB//rffT//rutD//hpt//rffG//prpE//murF//pheT//hemH//
FeaR_pos	ubiC//pck//
FhlA_pos	frdB//galT//glcD//leuC//ubiX//cheR//ndh//uxaA//
Fis_neg	iscS//dadX//glcE//nrdB//lpd//fucK//xdhA//purM//preT//glpB//aceB//avtA//nadA//bioB//alaS//agp//dapB//rffG//lyxK//glcF//metE//uxuA//pdeF//phnN//hycG//sucC//gatD//dkgB//eno//sucB//frdA//glyA//puuD//uvrC//katG//idnO//treC//yeaG//phnH//paaC//narI//paaA//glpK//atoA//idnK//fumC//
Fis_pos	pgaD//edd//udp//carA//phnN//speC//tdcG//glpQ//garR//glmU//ynfG//phnG//caiD//dkgA//ravA//acs//torA//hyaC//torC//fucO//idnD//ilvC//sucD//tdcE//trmA//rutD//glpX//hflX//phnP//fadH//sucC//paaA//gapA//bioC//aspA//ftnA//ldtC//
FlhDC_neg	paaF//ampD//
FlhDC_pos	pgi//ynfG//hycB//metK//hycC//gcl//glpB//metE//lpxC//gcvH//amiA//bioF//
FliZ_neg	puuE//fadH//purD//phnP//aroA//
FucR_pos	malZ//tdcB//ilvC//lpxD//ftnA//nirB//
Fur_neg	fbaA//rbsD//ravA//entB//trpD//phnM//sodB//talA//purE//dgcN//ygeA//ssuD//agp//aspA//atoD//galT//paaE//edd//tktB//paaA//aceE//pyrD//galM//ynfH//trpB//fabA//phnM//ddlB//lldD//tktB//umpH//katG//phoA//nanK//glgC//rbsK//purN//pagP//rbsK//tyrA//argC//frdA//allC//sodB//fumB//dmsA//rnpB//metA//gatZ//nadB//fabI//gdhA//garD//
Fur_pos	iscS//glgC//purE//eno//adiA//malP//phnJ//glyA//fdhF//murI//pfkA//entF//fbaB//cysD//melA//pgk//
GadE-RcsB_pos	relA//entE//rutB//fabG//malY//
GadE_pos	hemA//pgi//aceE//glcD//pnp//caiD//araD//hcp//ilvG_1//waaZ//
GadW_neg	paaE//ulaG//kbl//
GadW_pos	xylA//fadM//pdeF//ldtB//
GadX_neg	avtA//aroF//
GadX_pos	pheS//entD//sbcC//tnaA//rtcA//oxc//adeD//gltD//hchA//hyaB//paaB//
GalR_neg	pck//paaZ//allC//rutE//dhaL//tauD//
GalR_pos	uvrB//paaG//hyaA//asnA//
GalS_neg	cdd//frdA//amiA//preA//citX//purL//
GalS_pos	ilvM//lsrF//galK//paaA//
GatR_neg	trpC//alaA//fadB//
GcvA_neg	fruK//manA//cysN//
GcvA_pos	talA//metL//yedX//
GlcC_neg	
GlcC_pos	glgA//fabG//ubiX//
GlpR_neg	paaZ//gatD//uxaA//cyaA//nanE//xdhB//glk//
GlrR_pos	
GntR_neg	deoC//araD//glxK//mhpF//fucU//fbaB//hypB//tehB//uidA//
GutM_pos	entF//nanE//ynfG//
H-NS_neg	metH//entB//cysD//bioF//mdh//rtcB//paaA//ilvA//tpiA//purA//aroF//prmC//hcaF//paaJ//ilvH//tynA//gcvP//recB//cpdB//rsmA//ydcS//moeB//araD//murD//pdxA//rutA//hpt//purC//tktB//manA//pnp//carA//astE//adeD//yeaG//ndh//nfsA//narI//malS//gatY//moaD//glmU//gpmA//katG//garR//ldtC//sodA//mhpE//citE//lysC//nemA//
H-NS_pos	nadC//idnO//dadX//pgi//nadB//sdhD//asnA//aspC//leuD//ogt//fbaB//garR//rutA//ubiA//fadJ//
HU_neg	cmoM//fadA//queA//speB//gltD//betB//ubiA//
HU_pos	
HcaR_neg	
HcaR_pos	gcvT//sodA//
HdfR_neg	
HdfR_pos	
HigA_neg	pgk//
HigB-HigA_neg	glgP//
HipAB_neg	galT//xdhA//
HipB_neg	leuD//cysJ//fumA//
HprR_neg	glyA//metF//
HprR_pos	nadA//trpA//
HyfR_pos	moaA//
HypT_neg	rhaB//gcvP//
HypT_pos	leuC//uidA//rtcB//glpX//cysG//
IHF_neg	fes//gcvP//cysH//phnL//asnA//puuE//pck//aspA//araD//cheR//tyrB//ddlB//iscS//dacC//oxc//hcaB//paaY//allD//dgcN//umuC//rfe//sbcD//glpQ//ubiG//hycE//guaB//fabA//citD//ribA//pflB//wzb//argE//gltA//sdhB//hemA//pgm//nadB//hemH//phr//glsA//malS//citD//garR//
IHF_pos	gpmM//hycE//pdeR//trmA//rhaD//pyrC//glpB//paaC//chiA//malZ//aceA//lpd//gnd//citE//hcaD//pgm//acnA//ldtD//waaH//eda//entB//pdeR//aroF//patZ//frdD//phnL//ampD//glxR//fucA//appA//umuC//leuB//yedX//pheS//citD//bioF//patD//glgC//aroG//dkgA//metB//ulaD//aceA//glcD//garR//trpA//paaJ//torC//ilvA//dhaK//recD//entH//paaY//bcsZ//recB//waaY//hcaD//ribA//umuD//ada//caiA//xdhA//glxK//kbaY//mraY//waaZ//aceF//astC//metL//murD//tauD//
IclR_neg	araB//rutA//cmoM//
IdnR_neg	rhaB//ybjG//
IdnR_pos	hycD//apaH//garK//carA//
IlvY_neg	
IlvY_pos	rutE//
IscR_neg	atoB//pgaC//gutQ//ilvE//uvrC//gnd//
IscR_pos	acnB//ftsI//
KdgR_neg	phr//pheT//
KdpE_pos	bioA//
LacI_neg	pheS//glcE//glsA//
LeuO_neg	
LeuO_pos	cheR//caiD//glpK//fabI//waaH//napH//
LexA_neg	glpD//ftsI//gatY//galE//phnI//prpD//codA//pdeF//murQ//lhgO//ttdA//uidA//pgaB//glpA//allB//sodA//bcsB//murF//hemA//aroG//lpd//araB//hycE//
LldR_neg	mpl//ahpF//
LldR_pos	hycG//metL//
LrhA_neg	
LrhA_pos	
Lrp_neg	moaA//sgbH//glnA//pheS//gntK//hycB//apaH//ybjG//hcaE//uvrB//gltA//rutC//astC//mhpA//tadA//torA//glmS//fumB//sbcC//cysC//nanA//mhpA//argI//
Lrp_pos	ppiA//pgaD//puuA//umuC//ilvH//pnp//rnpB//garR//dgcC//entE//prpD//sucA//ilvH//aroL//narH//leuB//rhaB//mazG//recF//nfsA//
LsrR_neg	alkB//purL//thrS//nrdD//edd//
LysR_neg	
LysR_pos	idnK//
MalI_neg	gapA//fadM//
MalT_pos	uxuA//glgP//metA//ilvC//tynA//cueO//
MarA_neg	ycjG//
MarA_pos	phnI//dacC//uxuA//lsrF//cynT//gpsA//murF//moeA//hypB//trmA//rsmH//puuD//metH//idnK//truB//rpiB//fumA//lysU//gloA//hpt//hypB//entB//hchA//
MarR_neg	
MatA_neg	hycF//
MatA_pos	
MazE-MazF_neg	fadD//
MazE_neg	fau//
McbR_neg	
McbR_pos	
MelR_neg	fucK//puuD//
MelR_pos	paaE//sgbH//
MetJ_neg	idnD//caiA//glpX//murE//hcaF//caiB//fdhF//citE//citX//serA//
MetR_neg	gloA//
MetR_pos	glpQ//paaK//fumC//murQ//
MhpR_pos	prpC//mpl//lacA//gcvT//pspE//frc//
Mlc_neg	ulaG//atoD//lysC//bioA//
MlrA_pos	dgcZ//
MngR_neg	rffH//pgaD//
MntR_neg	gcl//
MntR_pos	citC//
ModE_neg	gltB//cheR//prs//gntK//ybjG//cheR//lyxK//waaY//
ModE_pos	gudD//nfsB//ygeA//ldtC//sgbH//cynT//pgi//alsE//ldtB//
MprA_neg	metK//nagB//rfe//
MqsA_neg	hycC//nanA//
MraZ_neg	patZ//trpA//ilvE//rhaD//allE//bioB//gltB//uxaA//entC//hemF//
MurR_neg	frdA//gadA//nrfD//
MurR_pos	
Nac_neg	bcsB//citX//bcsB//
Nac_pos	cysJ//bioF//pdeF//rhaB//pyrD//entH//aceA//adhE//
NadR_neg	ynfG//gcvT//alkA//glcB//
NagC_neg	fucK//ansB//uidA//glgA//dgcC//folE//cysJ//aldA//sodA//carB//frdD//pgi//cysG//sbcD//hcaE//hycD//moeA//manA//
NagC_pos	sodA//nemA//
NanR_neg	pgi//astE//glsA//sufS//purE//hemH//
NanR_pos	
NarL_neg	ubiG//gadB//atoA//gapA//add//pfkA//nagA//udp//cysI//fucO//yqhD//pagP//tynA//paaB//hycG//cueO//gltA//cmoM//rutD//frdA//nanK//gltA//dusB//nadC//yqjH//alsE//allE//purB//
NarL_pos	hyaA//pgi//astD//oxc//moeA//allE//pspE//bioF//astE//lysC//fabI//hypB//dhaK//nfsB//gabT//
NarP_neg	garL//deoD//chiA//citC//ssuE//
NarP_pos	accA//allD//gltB//lysU//rimK//yqjH//icd//appA//putA//fucO//citG//dhaL//ribA//yqhD//
NemR_neg	ilvC//serA//
NhaR_pos	phnM//chbG//aroF//epd//metK//
NikR_neg	citE//
NimR_neg	sgbE//
NorR_neg	
NorR_pos	aldB//
NrdR_neg	hypF//mhpB//ubiC//xdhC//
NsrR_neg	fadE//tdcG//patA//allB//fabH//gutQ//psd//ascB//sucA//phoA//ygeA//manA//ychF//lyxK//phnJ//argI//sbcD//nanE//wrbA//gutQ//mngB//treC//glpE//xylA//pepD//sgbH//adiA//hyaB//entB//atoD//pyrD//folA//tktB//puuD//narI//purH//purK//glpD//alsE//feaB//
NtrC_neg	mngB//patZ//
NtrC_pos	nadC//phoA//aroA//katG//atoA//gdhA//alaC//nadA//puuD//caiB//pyrD//phnL//trmA//purK//dapD//sdhB//frdB//glpX//glgA//cyoE//hemA//
OmpR_neg	fdhF//gcvH//nagB//astA//paaE//
OmpR_pos	dapD//mhpD//adiA//malY//
OxyR_neg	argE//pnp//allC//glpQ//prpB//
OxyR_pos	murI//hcaB//sodA//frc//aroH//polA//bacA//udp//mraY//fes//nrdA//lacZ//
PaaX_neg	cyaA//gltX//narH//uvrC//glk//glmS//glpA//tynA//alaA//
PdeL_pos	paaK//
PdhR_neg	caiD//sgbE//prs//trpC//garR//ftsI//nanK//mazG//ygeA//sdhB//dacC//frdB//astA//nirB//citX//argI//leuA//dinB//umuD//phnG//waaY//glnA//pgm//
PdhR_pos	phnH//xylB//
PepA_neg	rimK//lpxA//
PgrR_neg	ackA//dkgB//
PhoB_neg	glcB//pheT//purD//gpsA//ilvM//
PhoB_pos	cyaA//rutD//sucA//adeD//lpxA//ubiG//apaH//glsA//bcsZ//malZ//glcD//mhpC//cyaA//moeA//mdh//purH//lpxC//
PhoP_neg	aceF//icd//uxaB//
PhoP_pos	ubiX//umpH//torC//gadA//xapA//srlD//napG//paaK//accD//glcB//ulaE//amiA//rutA//bioF//uxaC//garL//mhpF//gcvH//allC//pgaB//waaZ//metH//umuD//codA//nadA//nrdB//fruK//ulaG//cheR//ampC//glpX//
PrpR_neg	
PrpR_pos	glpX//hyaB//gdhA//mltF//
PspF_neg	
PspF_pos	wecB//
PurR_neg	fbaB//paaF//araB//cyoE//waaH//narG//patA//astB//gdhA//melA//glpK//rutA//purE//gcvH//bioA//puuD//nagA//cheR//hmp//gcvH//folE//ppsA//gnd//preT//hycB//mhpE//
PutA_neg	glcB//aroA//
PuuR_neg	mpl//phnI//purH//pflB//rfe//grxA//
QseB_neg	
QseB_pos	
RbsR_neg	katE//queA//mazG//prs//treC//
RbsR_pos	sdaA//
RcdA_neg	
RcdA_pos	napH//
RclR_pos	
RcnR_neg	mpl//
RcsAB_neg	glmU//
RcsAB_pos	entC//narI//
RcsB-BglJ_pos	acs//argE//
RcsB_neg	frc//
RcsB_pos	fadJ//fucI//gloA//
RelB-RelE_neg	accA//
RelB_neg	pgaB//
RhaR_pos	
RhaS_pos	narI//glmS//rtcB//frdA//
Rob_neg	
Rob_pos	ulaE//rutE//accA//astA//paaB//cdd//atoA//adhE//bcsB//ackA//rutD//lsrF//frdB//fumA//accA//ulaF//fadA//yfdE//agp//
RstA_neg	ulaF//aroG//
RstA_pos	pncB//
RtcR_pos	hcp//yeaE//
RutR_neg	astD//pgi//dapD//pyrC//bioC//gltD//bioC//pykF//allD//cyoE//
RutR_pos	slt//
SdiA_neg	
SdiA_pos	
SgrR_neg	fdhF//
SgrR_pos	nagB//frdB//
SlyA_neg	
SlyA_pos	serA//lyxK//malQ//deoD//fumA//entC//tdcB//tdcE//ulaD//
SoxR_neg	
SoxR_pos	fumC//
SoxS_neg	
SoxS_pos	puuD//uxaB//torA//leuB//glcD//ruvA//uxuB//speB//katG//xdhB//nanM//tauD//asnB//galK//phnO//malZ//citE//mhpC//add//puuB//nrdE//aroG//nrfC//uxaC//lhgO//moaD//
SrlR_neg	dkgA//adeD//eda//
StpA_neg	paaZ//gntK//purH//
SutR_neg	cheR//hycB//
SutR_pos	
TdcA_pos	napH//dmsA//entE//moaC//sodB//
TdcR_pos	folE//astD//deoD//ubiG//chiA//
TorR_neg	carB//
TorR_pos	citX//sdhB//lpd//bioB//
TreR_neg	metE//dmsB//
TrpR_neg	hcaC//tdcB//speC//avtA//kbaY//melA//ldtD//nrdB//murI//
TtdR_pos	fucI//caiC//
TyrR_neg	glcE//alsE//moaA//ynfG//citE//gpsA//puuA//
TyrR_pos	sucC//metB//purC//
UhpA_pos	ldtB//
UidR_neg	iscS//nrdA//
UlaR_neg	gltX//edd//ahpC//torC//dinB//
UvrY_pos	pgk//gcvH//
UxuR_neg	murC//glcE//yeaG//argF//fumC//
XapR_pos	trpE//gcvT//
XylR_neg	
XylR_pos	ulaG//tauD//paaK//
YdeO_neg	
YdeO_pos	fbaB//ydcS//epd//
YefM-YoeB_neg	pspE//
YefM_neg	fumB//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	hcaF//dadX//yiaK//purF//dgcZ//narG//
YjjQ_neg	bioD//nrdE//
YpdB_pos	
YqhC_pos	murE//slt//
YqjI_neg	frdB//
ZntR_pos	adeD//
ZraR_pos	
Zur_neg	ydcS//
