# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	pncB//glpD//
DpiA_pos	purB//recD//murE//glxR//astC//
DsdC_neg	
DsdC_pos	galT//rpiB//
EbgR_neg	
EnvR_neg	malZ//purM//
EnvY_pos	tdcB//paaF//
EvgA_pos	speB//appA//fadM//argC//acnA//ubiC//
ExuR_neg	alkB//preT//dacC//speC//puuC//fucK//
FNR_neg	speA//entH//gcvH//waaY//narH//patZ//leuD//alaC//moaD//caiC//mpl//wzc//pgk//pnp//dapB//ychF//trmD//hyaA//ssuD//ribA//ldtD//lsrG//dgcZ//aspA//glpC//ogt//paaK//yqjH//cpdB//hflX//ndh//phnP//moaE//dmsB//garL//fucU//add//thrS//puuA//phnL//fadB//paaJ//dkgA//gltD//
FNR_pos	dgkA//dgkA//waaY//ftsI//ribA//napG//ugpQ//umuD//cysI//trpE//thrS//wzc//waaZ//cysC//glnA//tdcB//hchA//sgbH//ubiX//gatZ//lyxK//caiB//ychF//tauD//rffC//deoD//dapD//hcaC//alaC//araA//murD//wzc//glsA//sbcD//cysJ//glsA//cysM//guaA//pykF//murE//garR//sufS//paaA//fbaA//phnH//gor//purF//rhaD//deoB//narH//ssuD//bioC//dmsA//pdeR//speA//mhpD//narG//sucD//cyoE//bioA//cysC//rffM//idnK//murE//phoA//ackA//aldB//oxc//purA//dhaK//glsA//pheS//ychF//patA//gltB//nanK//dhaK//nfsA//araA//alaS//pdeF//dhaM//dhaK//torC//argI//nadC//prmC//uxaB//phnN//xylB//fucA//moaD//dacC//chbG//add//ogt//
FabR_neg	tyrB//umuC//purK//
FadR_neg	fumB//argB//paaG//lpxC//fadM//glpK//malP//gloA//purA//
FadR_pos	purK//yfdE//pepD//lpxC//fes//entC//ribA//rnpB//grxA//bglB//
FeaR_pos	torA//wecB//
FhlA_pos	leuA//cdd//slt//fadH//pck//lysA//metL//torC//
Fis_neg	glpB//glmS//purH//nadA//prpB//murF//gutQ//dgcZ//phnP//betA//phnH//argA//cmoM//garL//pflB//aceB//puuC//yiaK//rffT//rutC//pgpC//fabB//ppsA//ampD//pdeL//chbG//slt//fumA//nirB//ppc//dgkA//fucU//nrdE//arsC//fabD//aceA//chbG//nrfC//fucK//umuD//kbaY//alaS//glpQ//adhE//frdB//pyrC//
Fis_pos	sgbH//fbaB//ampC//lldD//pdeL//napH//lpxC//phnG//sdaA//purE//purF//avtA//glgX//ttdA//galM//hyaC//slt//paaA//rbsK//napA//metL//gatD//amn//ubiA//rtcA//cmoM//trmD//mhpD//pdeR//luxS//pdeL//acnB//bcsZ//aceE//ynfG//cysH//uxaA//
FlhDC_neg	hycD//moeA//
FlhDC_pos	lyxK//mhpD//ulaE//fabH//gltX//uxaA//metA//polA//mnmG//hemL//bglB//malY//
FliZ_neg	aroH//tyrA//leuB//araD//fumA//
FucR_pos	prpE//lldD//sdhC//bioD//rpiB//fadM//
Fur_neg	aceF//aldB//nrfA//mnmG//argC//purA//hcaE//nirB//napH//acs//fadA//yfdE//cadA//bioB//gatD//dgkA//cysI//tdh//allE//puuB//dhaK//hcaD//ada//folA//tdh//sdhA//malY//hycD//wecE//mhpE//rffM//waaY//adiA//phnO//ulaD//nrfA//glpA//edd//bcsZ//ulaF//ackA//rsmA//paaK//arsC//gcl//yeaE//guaB//fabH//puuA//lpd//glpD//alaA//tdh//
Fur_pos	fadE//pgaD//gpsA//narI//gor//tnaA//ribA//citX//mpl//melA//ravA//fadB//argI//fau//kbl//xdhA//
GadE-RcsB_pos	fucK//atoB//pspE//ilvI//ydcS//
GadE_pos	ycjG//fumB//astC//patZ//astC//allA//murG//uidA//cmoM//dadA//
GadW_neg	lldD//gnd//alaA//
GadW_pos	leuC//leuA//pdeL//gutQ//
GadX_neg	fabB//wzc//
GadX_pos	ilvA//citD//garD//argA//fucA//accA//ilvN//fucO//glyA//nrfD//rffC//
GalR_neg	glgC//cdd//tadA//entD//bioB//nanA//
GalR_pos	nanE//accD//add//galM//
GalS_neg	moaE//allB//ftnA//chbG//dapB//rutE//
GalS_pos	pgk//carB//phoA//paaY//
GatR_neg	fucK//ilvN//ynfF//
GcvA_neg	ahpF//fdhF//pdeF//
GcvA_pos	hycF//ilvM//slt//
GlcC_neg	
GlcC_pos	glgC//tadA//leuD//
GlpR_neg	alaC//xdhC//glxK//dhaL//hemA//pgaB//ynfF//
GlrR_pos	
GntR_neg	agp//fbaB//ychF//gatD//glxR//galK//cysI//hyaC//lsrK//
GutM_pos	ilvA//rutE//fucU//
H-NS_neg	arsC//ackA//aceA//aceF//rffM//glpA//pfkA//pnp//hyaB//cysN//yqhD//fruK//rutC//ampD//nanA//glyA//cysE//rsmA//argD//hcaC//purD//trpC//waaY//dgkA//upp//ilvI//frc//sdhC//acnB//ftsI//garD//dapD//yeaG//glgP//hycG//cynT//aceB//gpmA//dinB//mpaA//nrdA//ascB//asnB//leuA//nrfC//purD//rimK//cysD//waaH//pyrD//purD//
H-NS_pos	preA//leuB//hycG//ampD//speA//aroL//dmsB//gloA//torC//fadA//ilvD//acnA//entD//hycB//tyrB//
HU_neg	gdhA//ilvN//patD//ulaD//ilvB//metC//polA//
HU_pos	
HcaR_neg	
HcaR_pos	cynS//cheR//
HdfR_neg	
HdfR_pos	
HigA_neg	aroF//
HigB-HigA_neg	uvrB//
HipAB_neg	serA//pdeH//
HipB_neg	argA//glsA//adhE//
HprR_neg	malQ//hycC//
HprR_pos	murC//fucO//
HyfR_pos	alaS//
HypT_neg	paaH//talA//
HypT_pos	ynfE//tdcD//ilvH//cysJ//umuD//
IHF_neg	prpE//malQ//bioF//hpt//cdd//glpQ//tyrA//fbaA//malP//slt//uvrA//adeD//fucK//ssuE//hemH//sodB//cyoE//cpdB//gpmA//glpX//nemA//fumC//deoC//cyaA//dacC//tyrB//ppc//nanE//galM//glpX//ygeA//dsdA//patD//phnO//rffG//dsdA//ribA//aceF//hcaB//purK//leuA//napA//prmC//
IHF_pos	patD//uvrC//sbcD//ftnA//yiaK//ada//narG//mpl//glnA//trpA//idnO//ygeA//hemL//alaS//gatY//paaB//trpB//ilvG_1//caiA//poxB//pck//folA//nadB//nagA//trmD//cyoE//serC//iscS//tdcD//queA//uxuA//nadB//oxc//bioF//icd//ilvG_1//alaA//rhaB//rutC//wecB//dmsB//wecB//argF//polB//glcE//garL//acs//ampC//waaY//ldtD//wecE//katG//paaY//uidA//trmA//ychF//trmD//mhpD//fbaA//nanE//trpE//uxuA//metA//aceF//aroA//adhE//mdh//fau//nagB//kbaZ//hemF//
IclR_neg	nrdB//ahpF//nanA//
IdnR_neg	fadE//narG//
IdnR_pos	dsdA//fadJ//hycB//murQ//
IlvY_neg	
IlvY_pos	citF//
IscR_neg	citE//gpmM//rsmH//luxS//pheT//idnK//
IscR_pos	gapA//bacA//
KdgR_neg	gloA//gpmM//
KdpE_pos	hemF//
LacI_neg	argE//uvrA//sdhD//
LeuO_neg	
LeuO_pos	xdhB//lsrG//yqjH//glgA//dadA//tpiA//
LexA_neg	paaJ//recB//hycG//glnA//cysI//alaA//caiB//alaA//lsrF//fes//gatZ//glnA//bioD//argC//fadE//moeB//glxR//allD//hpt//hyaA//citG//phnJ//icd//
LldR_neg	astE//asnB//
LldR_pos	fruK//tynA//
LrhA_neg	
LrhA_pos	
Lrp_neg	ppiA//glgB//hyaB//pgaD//metB//ppc//patA//rffC//atoD//bioF//acnB//citF//hypB//galE//aroG//gudD//gabD//xdhA//dhaL//treC//aldA//moaA//ppc//
Lrp_pos	gltA//cheB//hcaE//ychF//appA//pgaB//gadB//dmsB//deoA//fruK//nrfD//wecE//cynS//uxuA//rffT//bioA//xylB//fucK//gabT//alkA//
LsrR_neg	tpiA//waaZ//mhpC//guaB//aspA//
LysR_neg	
LysR_pos	gor//
MalI_neg	upp//prpD//
MalT_pos	psd//pyrD//ygeA//murF//fdhF//argH//
MarA_neg	carA//
MarA_pos	purE//trpA//hcaD//sdhD//ynfF//dsdA//glpC//ugpQ//lysA//ubiA//carA//ribA//gadB//speA//argH//sdhD//uvrA//bglB//dacC//sdhD//nrdE//queA//alkA//
MarR_neg	
MatA_neg	ttdB//
MatA_pos	
MazE-MazF_neg	aldB//
MazE_neg	sgbU//
McbR_neg	
McbR_pos	
MelR_neg	polA//kbaZ//
MelR_pos	dusB//gatD//
MetJ_neg	hyaB//ilvH//glgP//phnN//aroH//glpC//murF//ilvN//mdh//glpK//
MetR_neg	hycC//
MetR_pos	glpD//ddlB//mhpC//fabA//
MhpR_pos	gloA//dapD//bioB//ybjG//manA//agp//
Mlc_neg	kbaZ//bioD//lysC//fucK//
MlrA_pos	cysE//
MngR_neg	phoA//sdhC//
MntR_neg	speC//
MntR_pos	aspA//
ModE_neg	ilvM//tpiA//murC//iscS//mraY//rbsD//wecC//alsE//
ModE_pos	pagP//ftsI//cadA//ftsI//gatD//narG//mhpB//carA//rutB//
MprA_neg	paaC//zwf//nadC//
MqsA_neg	glpD//nrdE//
MraZ_neg	dadX//glk//ynfF//cysH//fadE//ung//betA//yeaE//atoA//dkgB//
MurR_neg	pdeH//mhpF//hcaD//
MurR_pos	
Nac_neg	lysU//ulaE//leuB//
Nac_pos	gabD//rutE//glyA//lysA//gcvP//ruvB//uxaA//tktB//
NadR_neg	oxc//hcaE//ppiA//fabZ//
NagC_neg	rffH//nrdF//nrdA//add//frc//ldtB//ubiG//garD//mngB//ahpF//kbaZ//frdD//carA//fadH//phnM//gcvH//lhgO//codA//
NagC_pos	trmA//uvrA//
NanR_neg	pheS//polB//citX//glxK//torA//fucU//
NanR_pos	
NarL_neg	grxA//recD//pgpC//folE//hcaD//gadA//alkB//ilvD//asnB//wrbA//fabH//phnJ//tam//glpQ//argH//argH//umuC//trmD//xdhB//rfe//kbaY//pdeH//idnK//sucB//garR//narI//ilvA//tynA//
NarL_pos	mdh//prpB//gcvP//pheT//bioD//talA//astC//queA//lldD//ahpF//rffC//leuC//rutC//arsC//mhpF//
NarP_neg	metK//hyi//hycE//entF//lysU//
NarP_pos	ulaE//cynT//garK//fes//queA//lpxC//deoC//fadJ//allA//ampD//cheR//mdh//gcvT//citE//
NemR_neg	sbcD//rimK//
NhaR_pos	glpB//tdcG//pepD//mhpE//moaA//
NikR_neg	gatY//
NimR_neg	alkA//
NorR_neg	
NorR_pos	ppsA//
NrdR_neg	pflB//narH//garL//metK//
NsrR_neg	carA//hycC//rtcA//ldtC//nanK//metK//lpd//hypB//rnpB//gatD//galK//ulaD//fbaB//cysI//hycB//patZ//ilvM//gor//mtlD//xdhB//nagA//xapA//ygeA//udp//ynfH//trpA//tynA//tdh//lysC//dmsA//nrdE//nrdF//sdhB//ravA//ldtC//tyrA//argG//nadC//uvrC//leuD//
NtrC_neg	bcsZ//astB//
NtrC_pos	preT//gabT//gatZ//murF//ygeA//leuC//rhaB//accA//poxB//malY//accA//metF//hyaA//ugpQ//speA//ubiG//uxaB//pdeF//alsE//hpt//dkgA//
OmpR_neg	astE//trpB//chiA//rtcA//cysN//
OmpR_pos	cheR//aceF//torA//ahpC//
OxyR_neg	gatY//amiA//sgbH//frc//leuC//
OxyR_pos	psd//puuE//kbaZ//paaB//trpB//astE//recB//wzb//caiD//eda//phnH//wzb//
PaaX_neg	puuC//fumB//frdD//rhaA//rffH//ubiG//galM//asnB//gntK//
PdeL_pos	fadA//
PdhR_neg	cmoM//alaS//fabD//nagB//murD//ruvA//dapB//paaF//ulaE//recB//metB//chbF//ftsI//sdhB//caiA//ndh//rfe//cysD//glgX//fabG//bglB//sgbU//carB//
PdhR_pos	glgX//gdhA//
PepA_neg	alsE//fes//
PgrR_neg	sodA//fadI//
PhoB_neg	dacC//ansB//paaY//alkA//cyaA//
PhoB_pos	cysJ//uxaC//oxc//manA//idnO//araD//pagP//nanM//glpC//tnaA//udp//araD//fadI//hcaE//glpD//galM//nrdF//
PhoP_neg	purB//mltF//nrfD//
PhoP_pos	sdhC//cysE//lsrF//napB//ccp//udp//nrdF//mngB//xylA//moaA//dkgB//phnI//metA//fadM//paaK//pgm//fbaB//fucO//idnO//cysM//phnL//oxc//talA//avtA//fucO//tdcB//hcaF//fumA//eno//fadE//fbaB//
PrpR_neg	
PrpR_pos	ppiA//prpC//putA//leuB//
PspF_neg	
PspF_pos	dacC//
PurR_neg	yiaK//ppiA//hcaF//uidA//pck//yqhD//ravA//hyi//galK//dhaL//phnJ//rbsK//cysN//metE//amiA//paaJ//aspA//rsmH//ubiC//nadA//frdB//ubiX//pyrD//trpC//relA//araA//
PutA_neg	puuA//oxc//
PuuR_neg	glpA//purL//hycD//aldB//malY//tadA//
QseB_neg	
QseB_pos	
RbsR_neg	lacZ//fabB//ccp//glgC//leuC//
RbsR_pos	pgk//
RcdA_neg	
RcdA_pos	cysH//
RclR_pos	
RcnR_neg	rffG//
RcsAB_neg	nanE//
RcsAB_pos	srlD//aldA//
RcsB-BglJ_pos	rtcA//aldB//
RcsB_neg	purD//
RcsB_pos	slt//fabG//gpsA//
RelB-RelE_neg	puuB//
RelB_neg	hchA//
RhaR_pos	
RhaS_pos	nrdD//garL//citG//moaC//
Rob_neg	
Rob_pos	ulaF//hyi//tnaA//citC//fabB//mpaA//glgC//sdhB//phnM//argF//hypB//torA//purH//rffG//alaA//lpxD//cysM//glcB//pgaB//
RstA_neg	napG//bacA//
RstA_pos	tauD//
RtcR_pos	nrfA//phnP//
RutR_neg	malZ//uidA//glyA//lysC//ubiX//tdh//galM//gltB//ynfE//paaH//
RutR_pos	moaE//
SdiA_neg	
SdiA_pos	
SgrR_neg	murG//
SgrR_pos	feaB//glpB//
SlyA_neg	
SlyA_pos	feaB//phnH//idnO//bcsZ//yiaK//uvrA//ilvH//ulaE//uvrA//
SoxR_neg	
SoxR_pos	truB//
SoxS_neg	
SoxS_pos	serC//eno//mhpF//dapB//glsA//hemA//pgk//torC//ampD//ynfE//napB//gltD//aroF//accA//nirD//fadI//gabT//dusB//argF//gntK//fumA//sbcD//allB//grxA//aceA//alsE//
SrlR_neg	fadM//truB//astC//
StpA_neg	citX//ahpF//entH//
SutR_neg	appA//uvrB//
SutR_pos	
TdcA_pos	feaB//lsrG//mhpC//cysD//fumB//
TdcR_pos	pflB//gloA//argC//torA//paaK//
TorR_neg	ppc//
TorR_pos	astB//lsrK//alaA//gltB//
TreR_neg	puuC//sucC//
TrpR_neg	gadA//dsdA//lyxK//patZ//dmsB//metB//nemA//glgA//pepD//
TtdR_pos	bioC//purK//
TyrR_neg	accC//nadC//glmS//hcaD//yeaE//acnB//pheT//
TyrR_pos	lyxK//cysC//malZ//
UhpA_pos	paaA//
UidR_neg	hyaA//aspC//
UlaR_neg	entH//paaI//murE//fau//cheB//
UvrY_pos	nagA//trpB//
UxuR_neg	thrS//rhaB//entF//rtcA//pnp//
XapR_pos	bglB//entB//
XylR_neg	
XylR_pos	aceE//ttdB//glgC//
YdeO_neg	
YdeO_pos	nfsA//cheB//gcvT//
YefM-YoeB_neg	argF//
YefM_neg	uxuB//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	purF//ahpF//asnA//leuC//uxaC//fadB//
YjjQ_neg	ldtD//iscS//
YpdB_pos	
YqhC_pos	mhpB//glpK//
YqjI_neg	rfe//
ZntR_pos	oxc//
ZraR_pos	
Zur_neg	paaA//
