# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	paaJ//gdhA//
FNR_pos	mtlD//nrfD//ycjG//dapB//sucB//galM//metF//hyaA//rtcA//uxaB//sufS//citG//iscS//ftsI//leuB//araD//ttdA//purD//ung//rutB//rutD//alaC//metB//bacA//accC//paaJ//dmsA//umpH//patZ//citD//asnB//deoC//fabD//mhpE//pgk//ilvG_1//mhpD//cmoM//acnB//cheR//ilvM//aspA//ackA//paaG//sbcC//glpX//fucA//prpC//rutD//gltB//allC//preA//rimK//betB//fabZ//aroF//dadX//ubiG//pgaD//glcF//argB//lpd//paaB//adhE//puuD//purE//astD//tauD//entH//atoA//gltD//ygeA//nanM//rutC//hflX//phnN//nfsA//fadE//frdD//asnB//glcB//ruvA//rsmH//metK//ubiG//xdhC//cynS//fadI//nrdF//mdh//sdhC//dmsA//murE//ychF//pflB//kbl//
FabR_neg	ilvG_1//leuD//acs//
FadR_neg	sdhD//srlD//glpE//gltD//entC//serC//ubiG//deoC//malS//
FadR_pos	mhpD//speC//fdhF//entC//cpdB//moeA//gudD//rbsK//ulaG//hcaC//
FeaR_pos	sdhB//dgcZ//
FhlA_pos	ilvB//hchA//rffC//sdhB//dkgA//lpxD//leuD//entB//
Fis_neg	araD//ilvC//ulaD//iscS//wecE//patZ//purK//sodA//aroH//malQ//ampC//ulaG//paaH//leuD//glcD//gpmM//citF//fumA//citG//fabA//ilvM//speB//srlD//glmS//purC//cdd//hycD//yeaE//ftnA//allC//dadX//argB//melA//paaF//dapB//garK//trmA//tdcE//cpdB//nrdE//ldtB//napG//fes//hemF//caiD//citX//
Fis_pos	idnO//amn//mngB//carB//purK//trpD//pdeL//gor//purF//hypB//hchA//mltF//udp//caiB//rutE//polA//mhpF//trpB//ssuE//dkgB//xdhA//hypB//phr//fbaB//tynA//murE//ilvC//bioD//arsC//cyaA//tehB//malS//pnp//hemH//ilvA//sucC//napA//
FlhDC_neg	oxc//ilvE//
FlhDC_pos	aceF//purC//sufS//hyi//fadA//pdeF//ilvB//moaD//nrfD//ackA//phoA//ahpC//
FliZ_neg	deoD//leuC//rffT//ppc//hmp//
FucR_pos	garR//wecE//pgaC//serA//citG//gpmA//
Fur_neg	glpQ//gcvT//entC//fucK//guaB//psd//cpdB//alaS//ynfE//lacA//dgcZ//yiaK//pgaD//gadA//guaB//kbl//hcaD//ubiC//wecB//lyxK//allA//napA//ilvG_1//edd//upp//galE//pgpC//gpmM//pflB//aceF//upp//rutC//ribA//yeaG//lpxC//fucA//prs//pyrC//gltD//aroA//mdh//argE//gcvP//upp//hcp//sdhB//uvrC//fabA//aceA//trpA//ulaE//citG//pgi//
Fur_pos	entD//fabZ//puuE//uxuB//serA//lsrG//garD//cysJ//mhpB//gcvT//yedX//ubiC//hcaB//ilvE//speA//fabI//
GadE-RcsB_pos	putA//arsC//astD//ilvB//bioD//
GadE_pos	adhE//rbsK//patD//wecE//waaY//argA//psd//nadB//pdeF//betB//
GadW_neg	tam//leuA//pdeH//
GadW_pos	pdeH//cmoM//eda//purB//
GadX_neg	adhE//psd//
GadX_pos	fau//pnp//sucB//nirB//hcaF//lpxA//uxaB//arsC//citD//xdhA//chbF//
GalR_neg	murI//sgbU//aroH//puuD//waaZ//ssuE//
GalR_pos	purF//atoA//pgaB//fabD//
GalS_neg	murC//lyxK//moaE//sdhB//pagP//preT//
GalS_pos	lpxC//rhaA//pdeH//pyrC//
GatR_neg	aldB//astA//mpl//
GcvA_neg	metF//gpsA//polB//
GcvA_pos	uxaB//entB//ampC//
GlcC_neg	
GlcC_pos	glgX//hemL//hycG//
GlpR_neg	codA//katG//fadB//allA//ilvA//glpK//murE//
GlrR_pos	
GntR_neg	pdeF//glxK//entE//argH//acnB//gntK//dgcC//hcaF//trmA//
GutM_pos	gapA//fabG//srlD//
H-NS_neg	recB//nadA//napG//talA//paaG//ubiX//nanA//uxaA//wzc//mngB//rutB//leuD//purK//caiC//fau//phoA//bioD//pgm//glpC//rhaA//deoB//paaZ//gloA//argB//ldtD//tnaA//putA//hcaD//rbsD//cysM//gloA//eno//poxB//nrfC//hpt//cheR//lhgO//rutA//paaA//pgaD//astD//dsdA//putA//upp//argH//fadJ//gor//araA//purL//ilvN//astD//
H-NS_pos	gor//nrfA//nrdA//cpdB//rfe//glmS//gltX//pgi//mhpE//ubiX//preT//gpsA//tynA//murQ//fes//
HU_neg	pdxA//trmD//appA//allB//mhpB//umuC//trpA//
HU_pos	
HcaR_neg	
HcaR_pos	pck//lsrG//
HdfR_neg	
HdfR_pos	
HigA_neg	aldB//
HigB-HigA_neg	patA//
HipAB_neg	tpiA//cadA//
HipB_neg	lysC//nrdF//lpxD//
HprR_neg	leuB//sucA//
HprR_pos	xylA//metH//
HyfR_pos	treC//
HypT_neg	gpmA//glpX//
HypT_pos	talA//ugpQ//dacC//fadI//fau//
IHF_neg	ilvI//rfe//rnpB//aceA//lpxC//mpl//speA//allB//rtcB//dgkA//aroA//fumA//hyaA//aceB//melA//folA//dhaM//hmp//purL//lysU//cysE//dgcN//cyoE//nemA//sgbE//astD//ilvC//alsE//ychF//wzc//phnN//xapA//glgX//dusB//alaA//yeaG//phnH//carB//gatZ//patD//cysM//tadA//ftsI//
IHF_pos	adhE//puuB//ilvN//ynfE//gpmA//alsE//ydcS//bioB//puuA//caiB//fabI//preT//atoD//frdD//asnB//argA//putA//rimK//phnL//dacC//murF//trmD//ndh//fadH//trpE//fabA//ubiX//moeA//fumA//upp//trpA//guaA//patA//dapB//hcaB//galT//folE//atoA//prpB//srlD//cueO//fbaA//fdhF//thrS//appA//dgkA//waaH//sbcC//allD//deoA//araD//fau//glgB//patD//torA//carA//yqhD//sbcC//umuC//metL//ilvD//rutB//dinB//bglB//uvrB//moaC//metK//metL//bioA//accA//aspA//
IclR_neg	glgB//pgi//deoB//
IdnR_neg	lsrG//metH//
IdnR_pos	bioF//lpxA//dgkA//ppsA//
IlvY_neg	
IlvY_pos	atoB//
IscR_neg	puuB//prpD//paaH//allC//ppc//fadH//
IscR_pos	sgbU//narH//
KdgR_neg	guaB//glgB//
KdpE_pos	ppc//
LacI_neg	glcF//upp//nanE//
LeuO_neg	
LeuO_pos	tdcE//queA//murF//prpB//phnM//murC//
LexA_neg	sdhD//yiaK//malZ//dgcN//waaH//asnB//ynfH//lpxC//deoB//lpxD//idnO//paaA//glcF//trpC//entC//preA//speA//uxaC//waaH//moeA//accA//fumB//serA//
LldR_neg	folA//nrdB//
LldR_pos	galM//dgcZ//
LrhA_neg	
LrhA_pos	
Lrp_neg	acs//argH//moaD//galE//fabI//hycE//ruvA//lsrF//eno//cyaA//oxc//glpA//purB//patZ//mraY//allC//idnD//ubiA//caiC//lsrF//metK//tdcG//hyaB//
Lrp_pos	chbF//dgcC//asnA//pgk//agp//citD//leuB//icd//paaG//bglB//carB//lhgO//aldB//phnG//yedX//amn//glnA//phnH//pdeR//rnpB//
LsrR_neg	dhaL//rimK//grxA//ynfH//allC//
LysR_neg	
LysR_pos	bioD//
MalI_neg	frc//entA//
MalT_pos	pfkA//hpt//phnL//gdhA//mpaA//pdeR//
MarA_neg	phnI//
MarA_pos	rhaB//nanK//puuE//gabT//nrdF//cysE//patZ//dgcN//accD//paaG//polA//dgkA//lldD//pheS//deoC//atoD//astA//purH//hyaA//talA//hycG//adhE//gatD//
MarR_neg	
MatA_neg	glmS//
MatA_pos	
MazE-MazF_neg	fadM//
MazE_neg	frdA//
McbR_neg	
McbR_pos	
MelR_neg	tadA//pheT//
MelR_pos	entD//hflX//
MetJ_neg	lhgO//atoB//yqjH//aceA//dusB//codA//wecC//feaB//accA//bioC//
MetR_neg	pheT//
MetR_pos	leuB//sgbE//idnK//dinB//
MhpR_pos	dgcN//trpA//feaB//adiA//galE//pgaD//
Mlc_neg	prpB//hypF//nirB//epd//
MlrA_pos	pdxA//
MngR_neg	gcl//glcF//
MntR_neg	uidA//
MntR_pos	manA//
ModE_neg	citX//pdxA//gcd//nirD//mhpE//mngB//dmsC//icd//
ModE_pos	ada//dadA//purE//fbaB//avtA//leuA//tdcD//uvrB//xylB//
MprA_neg	ttdA//citG//aroL//
MqsA_neg	aceE//hcp//
MraZ_neg	ldtC//ogt//ansB//leuD//ilvN//caiC//prs//dhaL//wecC//pgaB//
MurR_neg	codA//uxaB//patZ//
MurR_pos	
Nac_neg	relA//rffM//astB//
Nac_pos	fabI//apaH//appA//glpC//hemF//moeA//hyaC//codA//
NadR_neg	dgcN//mpl//nrdA//trpE//
NagC_neg	deoD//purM//guaB//dapD//moeA//rhaD//nrfA//uvrB//ddlB//prpC//hemH//sbcD//rsmA//ppsA//murE//mraY//chbF//rffC//
NagC_pos	gcvP//dkgB//
NanR_neg	tadA//nanK//hycD//ilvG_1//udp//uxuB//
NanR_pos	
NarL_neg	idnD//sbcD//hflX//arsC//gudD//murQ//allC//argD//aspA//fadE//bcsZ//argD//ccp//gpmM//tyrA//fdhF//sucD//uxaB//polB//adeD//preT//argB//nagA//nanK//argG//ulaF//mpaA//mhpD//
NarL_pos	pgaB//phnN//gnd//phr//sdhC//prpD//treC//paaI//glmS//deoC//fabA//waaZ//fucK//cysK//purF//
NarP_neg	xylB//tktB//xdhA//prpD//caiB//
NarP_pos	allB//ogt//garD//ampD//fabD//mltF//putA//glcF//puuD//argC//avtA//gadB//adhE//argF//
NemR_neg	ccp//mhpD//
NhaR_pos	katG//ulaE//ftsI//carA//wecC//
NikR_neg	mhpA//
NimR_neg	tdh//
NorR_neg	
NorR_pos	ilvB//
NrdR_neg	malQ//tnaA//dgcN//hpt//
NsrR_neg	entE//phr//ulaF//fabD//kbaY//nadA//malP//cheB//citC//rhaB//gltB//tdcE//rbsK//araD//moaD//cheR//glcD//yiaK//citX//gatY//yeaE//nirB//hemH//dhaM//moaD//hyi//yiaK//gatY//prmC//fucK//sucC//rfe//puuD//torC//aspC//bioA//murC//alaS//glmS//xylA//
NtrC_neg	apaH//aroL//
NtrC_pos	puuD//alkA//hcp//cysC//glcB//cysC//aroA//rtcA//ahpF//ycjG//carB//ilvN//rhaB//hchA//tdh//gatY//trpB//entE//mngB//atoD//ynfG//
OmpR_neg	bioF//pykF//aroH//paaA//hemL//
OmpR_pos	aldB//bioA//queA//rffH//
OxyR_neg	fadJ//argH//lhgO//rutD//fabB//
OxyR_pos	lhgO//uvrB//dmsB//nrdF//hchA//galM//tdcB//ppsA//fbaB//leuA//idnD//pdeL//
PaaX_neg	hcaD//lpxA//cysG//ttdB//entA//sufS//leuA//fadB//phnO//
PdeL_pos	leuD//
PdhR_neg	phnJ//luxS//atoD//purA//mhpC//araB//cysE//cpdB//entB//garL//citD//moeA//sucC//cyoE//asnA//glgA//glpQ//gltD//rfe//preA//yqhD//fucU//astD//
PdhR_pos	sgbH//feaB//
PepA_neg	astC//lyxK//
PgrR_neg	hchA//ulaG//
PhoB_neg	sodB//ppsA//hmp//rhaD//polA//
PhoB_pos	adeD//napH//fbaB//sdhC//mngB//fumC//gabD//tpiA//wzc//avtA//edd//wzc//atoD//yfdE//cueO//lpxD//rbsK//
PhoP_neg	preT//murE//icd//
PhoP_pos	cdd//rutB//lsrG//ubiA//fadD//malY//aceB//ybjG//purE//tam//phnM//glpA//xapA//sdhB//frdA//agp//ada//frc//phnN//xylA//araD//ilvD//entH//garR//xapA//amn//atoB//glpK//tdh//ampC//hycC//
PrpR_neg	
PrpR_pos	glpD//moaA//rffC//idnK//
PspF_neg	
PspF_pos	pncB//
PurR_neg	rsmH//aroF//ftsI//ppsA//rsmH//sucA//wecB//nrfA//lysU//serC//puuD//aspA//glsA//srlD//gloA//dusB//uvrA//adhE//ackA//guaB//glmU//pheS//accA//yqjH//folE//sgbU//
PutA_neg	puuD//argB//
PuuR_neg	fabG//gcvP//galE//ansB//frc//fucU//
QseB_neg	
QseB_pos	
RbsR_neg	paaZ//grxA//lpxD//gnd//uxaC//
RbsR_pos	edd//
RcdA_neg	
RcdA_pos	serA//
RclR_pos	
RcnR_neg	pdxA//
RcsAB_neg	ppsA//
RcsAB_pos	hemL//paaJ//
RcsB-BglJ_pos	mhpD//atoA//
RcsB_neg	pgaD//
RcsB_pos	lysC//gcvT//trpA//
RelB-RelE_neg	aceF//
RelB_neg	dacC//
RhaR_pos	
RhaS_pos	carB//ybjG//argB//moaC//
Rob_neg	
Rob_pos	gpsA//yfdE//pdeH//lpxC//prpC//napA//ilvH//cysH//hmp//amiA//lacA//pyrC//chbF//ulaD//nadA//torC//fadI//narG//entD//
RstA_neg	ampC//gloA//
RstA_pos	murI//
RtcR_pos	hpt//prs//
RutR_neg	serC//leuA//yqhD//betB//dmsA//dhaK//cheB//umuD//murQ//mhpB//
RutR_pos	fadA//
SdiA_neg	
SdiA_pos	
SgrR_neg	carB//
SgrR_pos	cyaA//sucD//
SlyA_neg	
SlyA_pos	ampC//deoB//glpD//prs//dgkA//pepD//xdhA//polA//nrdE//
SoxR_neg	
SoxR_pos	malQ//
SoxS_neg	
SoxS_pos	serA//argF//cheR//dmsC//fruK//paaG//srkA//hycB//nrfA//ynfE//argA//frdC//sdhD//codA//yeaE//ssuD//gdhA//rsmA//katE//glgC//entF//gcvT//sucA//bioF//hycD//nanM//
SrlR_neg	pgaB//narH//ansB//
StpA_neg	phnJ//uvrC//kbaZ//
SutR_neg	rutC//relA//
SutR_pos	
TdcA_pos	tauD//ilvE//fadA//sucD//iscS//
TdcR_pos	upp//murQ//narI//hcaD//udp//
TorR_neg	sufS//
TorR_pos	idnD//umuD//preA//mltF//
TreR_neg	dgcC//recB//
TrpR_neg	lsrK//pyrC//malY//araB//fabD//phnN//puuA//glpQ//phnN//
TtdR_pos	aroH//trmA//
TyrR_neg	epd//sgbH//yedX//ftsI//treC//puuA//moaC//
TyrR_pos	frc//pyrD//ubiX//
UhpA_pos	glpQ//
UidR_neg	nanM//cmoM//
UlaR_neg	dadA//galE//ubiA//accA//paaE//
UvrY_pos	purD//ldtD//
UxuR_neg	ppiA//serC//nrdB//dapB//frc//
XapR_pos	cheB//waaH//
XylR_neg	
XylR_pos	fdhF//prpB//thrS//
YdeO_neg	
YdeO_pos	amn//glpX//lacA//
YefM-YoeB_neg	glcD//
YefM_neg	pflB//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	mhpF//gpmA//mngB//napH//paaB//glxR//
YjjQ_neg	preT//sdhC//
YpdB_pos	
YqhC_pos	purM//dusB//
YqjI_neg	sucC//
ZntR_pos	manA//
ZraR_pos	
Zur_neg	alkB//
