# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	ygeA//nrdF//
BolA_neg	pheS//rtcB//
BolA_pos	paaJ//fabI//
BtsR_pos	uxuA//
CRP_neg	uxaA//uxuA//rbsK//dgcN//ribA//mraY//argF//trmD//katE//ulaF//lpxA//phnI//katE//phnL//talA//fbaB//leuD//caiA//speA//entF//cdd//prpE//ulaG//puuD//pdxA//dkgB//serC//dadA//adhE//polB//tdh//hcaE//purH//napB//glnA//hmp//malS//fucK//aceE//speA//sdhA//bacA//fucU//dacC//hemL//chiA//glpX//arsC//patA//lpd//moaD//argI//citG//gabT//aceE//alaS//xdhB//ybjG//hmp//gltX//rutE//lysU//lpxD//codA//acs//tdcB//entA//hyaC//aroL//ppsA//cysK//
CRP_pos	acnA//narI//umuD//entE//frdB//ppc//codA//napH//ssuD//lpxD//glnA//nanE//hypF//moaE//prpB//glcE//cysN//nrdE//rutE//glsA//waaZ//serC//purC//puuE//rtcA//paaF//pdeH//bioC//paaF//paaJ//adeD//wrbA//eno//cysD//kbl//napB//caiB//atoD//entH//fbaA//fbaA//tynA//tdcE//ugpQ//uidA//polA//umuD//atoA//tdcG//uvrA//hyaC//trpE//psd//nemA//polB//carA//uxaC//fucI//fabZ//ubiG//galE//gudD//sdhB//deoA//wecE//aceB//upp//lacA//ubiC//pepD//fucU//cueO//ilvN//lysC//gdhA//fdhF//guaB//recB//entE//glnA//kbaZ//ascB//nadA//xapA//grxA//hyaC//amn//gcvP//xylB//dapD//amn//adiA//cysH//aroH//citC//cysG//prpC//argG//puuD//putA//agp//udp//ahpF//fumB//chbG//gatZ//glgX//gor//sodA//yfdE//dusB//purF//waaH//ftsI//polA//galT//purC//nrdB//purF//frc//aldB//glmS//nrdD//ilvM//tyrA//amiA//hycC//fdhF//uvrC//ppiA//yqhD//paaC//recF//dgcN//pgaB//pgaB//sdhA//ccp//purC//mraY//apaH//pgaC//purC//deoC//hycG//rnpB//lacZ//gcvT//dhaM//xylB//dmsA//uxuB//alkB//rffH//uxaA//mnmG//polA//sodB//carA//bcsZ//ilvI//pyrC//glpB//argF//puuE//gcvT//napB//deoB//cynT//adiA//ubiX//cpdB//tam//add//lsrK//sdaA//queA//rbsK//fbaA//malS//murC//fucU//allE//cynS//glk//slt//cmoM//accA//slt//rutB//glpX//glpD//garD//leuD//bioB//fes//ravA//rimK//sdhD//cysI//cpdB//alsE//glpB//glgA//astD//dhaK//putA//phr//pdxA//sbcC//moeB//moeB//fumB//yiaK//hcaC//speB//fabA//ycjG//nrfA//citC//pheS//tauD//ydcS//trmA//citF//mnmG//phnL//rsmH//mtlD//gadB//gdhA//gatD//codA//umpH//ppsA//cysJ//nrdD//gcl//acnA//dmsC//mazG//fadI//rimK//purE//carB//purE//cysK//dmsC//lysA//
CadC_pos	gpmA//nrdB//uvrB//
CaiF_pos	treC//kbl//napB//umpH//ilvB//
Cbl_pos	nadC//pgaC//frdC//fadH//hycE//
CdaR_pos	lyxK//ulaE//rtcB//fadD//deoA//dacC//galT//caiD//pyrD//
CecR_neg	ychF//
ChbR_neg	ulaE//tpiA//gabD//
ChbR_pos	hycD//napH//nirB//
ComR_neg	
CpxR_neg	phnM//metA//deoB//
CpxR_pos	glgP//dacC//nrdA//moaA//arsC//gltA//citD//polA//puuD//glgA//napH//talA//chiA//icd//lpxA//chbF//metE//dusB//
Cra_neg	fucK//gnd//tdh//pfkA//ssuE//aldB//entD//idnK//purC//fucI//icd//paaJ//gatY//glpX//rtcB//umuC//fadA//frdA//gltB//bcsZ//ynfF//nanA//puuA//wrbA//uxaC//cysD//kbaY//allC//ubiA//caiA//purD//dmsC//caiB//cysK//purN//paaK//dhaK//bcsZ//fabH//aceE//hemL//idnO//narH//fucI//ynfF//
Cra_pos	preA//putA//hyi//entD//moeB//paaY//paaK//serC//fadJ//sbcC//astA//kbaY//gdhA//pgi//trmD//fadE//sucC//
CreB_neg	speB//
CreB_pos	glnA//
CsgD_neg	slt//cynT//
CsgD_pos	citC//folA//garD//
CsiR_neg	sdhD//phnL//ubiG//aceA//
CspA_pos	glpB//
CueR_neg	mraY//mhpB//leuD//
CueR_pos	sucD//ascB//
CusR_pos	metB//poxB//rsmH//rsmA//
CynR_neg	
CynR_pos	dhaM//gcd//sdhB//
CysB_neg	rffH//hyaC//tam//
CysB_pos	araB//phnL//caiC//xdhC//iscS//cpdB//prmC//nfsA//ftsI//bioD//nrdB//ilvI//alkA//gatZ//
CytR_neg	pheS//rhaD//dhaM//hypB//bioD//citC//umuD//ldtC//lhgO//chiA//
DcuR_pos	polA//pncB//hchA//murQ//
DeoR_neg	fruK//glgX//kbaZ//yedX//ubiX//ulaD//
DhaR_neg	
DhaR_pos	ybjG//
DicA_neg	
DinJ-YafQ_neg	astB//
DnaA_neg	napH//codA//speA//argH//uxaA//
DnaA_pos	dsdA//hycC//lacA//
DpiA_neg	
DpiA_pos	pgi//lhgO//apaH//pgk//fucO//
DsdC_neg	
DsdC_pos	phnP//ldtB//
EbgR_neg	
EnvR_neg	bioD//fabH//
EnvY_pos	lldD//wrbA//
EvgA_pos	ulaF//murI//ldtB//pgaB//nadA//fau//
ExuR_neg	cueO//ccp//phnM//nanE//murG//tynA//
FNR_neg	slt//nrdA//pgaD//allD//rimK//iscS//xylA//glgX//relA//purE//tam//cheR//nrdF//ssuD//allC//patA//hyaB//dkgA//torA//paaB//hycG//gltD//ppsA//ung//deoD//cpdB//ogt//allC//sodB//sufS//uxaA//cysN//hchA//malZ//fadH//entD//lsrF//melA//fabZ//allC//araA//dsdA//phnN//lsrK//
FNR_pos	ynfG//fadD//dmsC//sdhB//asnA//fadJ//mpaA//nanA//gltD//uxaA//mhpC//deoA//aceA//gor//gdhA//polB//bioA//deoB//citX//mngB//puuA//mhpB//ychF//nrdB//ttdB//ansB//argG//gpmM//rffM//dusB//alkB//sbcC//guaA//pgpC//ruvA//upp//appA//waaZ//ttdB//argF//phnO//leuB//fadI//ilvH//narI//ppiA//phnG//ruvB//fruK//cysM//ldtD//epd//speB//hcaF//puuA//frdD//aspA//entH//nrfD//lysA//preA//gcvP//yedX//purN//add//lacZ//nrdD//araB//moaC//rffH//nirD//hypB//nrdE//serA//phnI//pheS//tdcE//alaC//nanE//fadD//ynfH//wzb//napA//xylA//ppc//ampC//cheR//glcB//argG//cysE//phnP//umpH//yiaK//ygeA//gpmM//preA//
FabR_neg	aroF//glgP//aldB//
FadR_neg	hycG//carA//rtcB//chbG//pgm//rsmH//iscS//ybjG//wrbA//
FadR_pos	mhpB//allC//speA//fadJ//cysN//carB//bcsB//gutQ//mpaA//pdxA//
FeaR_pos	mhpE//icd//
FhlA_pos	sucB//rfe//wzb//mltF//napA//nrdA//accD//ulaF//
Fis_neg	argH//fucK//folA//hcaC//glk//phnL//entD//queA//glpC//gutQ//mraY//lyxK//preA//phnL//trmD//ygeA//gatD//dkgA//rffC//aldA//bioD//chbF//glcE//hypF//cysH//udp//rfe//phnO//galK//nagA//kbl//nrdE//ampC//sucB//gcd//fadD//tnaA//gltA//cysI//fucI//rtcA//gabD//hycE//fes//entC//narG//
Fis_pos	nrdE//pgaD//ldtD//paaK//serC//phnH//cyoE//kbaZ//eno//ilvD//carA//srlD//lysU//wecB//glpK//ilvM//phnG//garD//moaA//ftnA//gpsA//nirB//ascB//rhaB//hflX//gltB//tpiA//truB//speB//serC//phnM//nrfA//glpE//phnM//speA//tynA//nanA//
FlhDC_neg	glmS//ada//
FlhDC_pos	glpA//mtlD//lhgO//rfe//glnA//dinB//aldB//waaH//phr//garR//metC//mhpB//
FliZ_neg	rutC//sgbE//cyaA//cynT//pyrC//
FucR_pos	mngB//mhpA//napH//accD//puuC//betB//
Fur_neg	cysI//paaJ//pdxA//tdcD//ribA//leuA//argA//mnmG//phnO//serA//ppsA//metE//napB//malS//lysU//adeD//wecE//frdC//malQ//lyxK//trpD//alaA//fadM//hcaD//cysC//adiA//aroA//xylB//glk//mltF//hycG//murQ//rutD//xdhB//lacA//rutD//fabB//galM//glmU//pykF//lacZ//moaE//malY//recB//sbcC//paaK//tnaA//purK//napG//purD//phnH//phnJ//hypB//
Fur_pos	ynfH//trpE//mpl//moaE//nirB//uidA//nemA//ilvH//fruK//ugpQ//glpD//pagP//prpC//cysN//citX//ttdB//
GadE-RcsB_pos	poxB//aroL//hpt//wecC//fucO//
GadE_pos	dgcC//nanA//pnp//astA//dhaK//slt//atoA//gnd//ndh//aldA//
GadW_neg	uidA//aceE//rffT//
GadW_pos	gcvP//dmsC//uxaB//glxR//
GadX_neg	glsA//trpD//
GadX_pos	fau//ilvE//glgX//argD//ndh//sgbU//fucA//citD//alaA//chbG//aroF//
GalR_neg	aroG//fadD//speC//cysN//narI//hycF//
GalR_pos	ilvE//ilvG_1//entF//ldtD//
GalS_neg	ribA//xdhA//galT//pgaC//gpmA//mhpB//
GalS_pos	nadA//dmsC//adhE//mhpA//
GatR_neg	pdeL//ubiX//aspC//
GcvA_neg	icd//citC//tdcB//
GcvA_pos	fumB//ldtD//ogt//
GlcC_neg	
GlcC_pos	acnB//ppc//caiC//
GlpR_neg	nrdD//mltF//frdD//srkA//cysM//aspA//amn//
GlrR_pos	
GntR_neg	purH//pdeH//ldtB//glcD//gpsA//ldtC//purN//phnM//fadB//
GutM_pos	glcF//ahpF//aroF//
H-NS_neg	phnP//galT//allD//luxS//bioF//psd//adeD//ravA//ubiC//gadB//moeB//nemA//entE//rhaB//pflB//napG//phnG//cysD//adiA//nemA//ygeA//relA//ravA//purD//nanE//mhpC//mpaA//pdxA//truB//fau//galM//argD//rffM//caiC//malS//gadB//lpxD//atoD//ppsA//fucI//gpsA//queA//yeaE//murQ//bcsB//purH//patZ//amiA//idnD//ndh//epd//
H-NS_pos	pgaC//malY//gabT//phnH//uxuA//pdxA//rffC//thrS//cysJ//ppc//thrS//fabA//umuD//pagP//phnN//
HU_neg	pdeH//ubiX//dgkA//nagA//ybjG//ynfG//pnp//
HU_pos	
HcaR_neg	
HcaR_pos	fucI//trpA//
HdfR_neg	
HdfR_pos	
HigA_neg	hycF//
HigB-HigA_neg	ampD//
HipAB_neg	agp//fabI//
HipB_neg	ilvC//ulaG//glgC//
HprR_neg	trmA//purE//
HprR_pos	recD//citX//
HyfR_pos	ascB//
HypT_neg	glcF//yqhD//
HypT_pos	lsrG//deoD//pdxA//glpC//rtcB//
IHF_neg	aceA//lysC//gpmM//lsrK//pgi//caiA//serA//deoC//nanE//bioA//ilvB//fabI//bioF//ccp//puuE//alaC//bioF//wecE//waaZ//sgbU//purF//pheS//pyrC//sucD//dapD//tynA//tpiA//ribA//prpC//atoD//entE//agp//paaY//leuC//alaA//nfsA//preT//ilvE//puuA//kbaY//nagA//yeaG//entA//
IHF_pos	tnaA//purH//sgbU//nrdF//narG//preA//hcaF//treC//ugpQ//cysI//uxaB//mhpB//bcsB//phnH//pdeR//aceF//trpB//lysC//glgC//glnA//leuC//rffG//patD//citE//ddlB//trpC//hemH//araD//murC//hyaC//paaF//pgaB//paaG//citG//glpA//avtA//bioA//allD//glxK//fadA//apaH//tpiA//wzc//hmp//paaJ//frc//astB//paaE//mhpD//hcp//pgpC//oxc//hyaB//uxaB//cueO//waaH//wrbA//rffG//hypB//dkgB//speB//allC//bioA//fadM//alaA//acnA//cyaA//xylA//rnpB//alaS//hycF//
IclR_neg	trpC//sdhD//hyaB//
IdnR_neg	caiB//dsdA//
IdnR_pos	araB//mazG//oxc//rffC//
IlvY_neg	
IlvY_pos	malS//
IscR_neg	cdd//hycF//purH//gloA//psd//gdhA//
IscR_pos	atoA//dkgA//
KdgR_neg	pdxA//ruvA//
KdpE_pos	gltD//
LacI_neg	ttdA//rsmA//yeaE//
LeuO_neg	
LeuO_pos	treC//purK//leuA//dmsB//garK//argI//
LexA_neg	nrdA//nemA//hcaD//dmsB//frdD//folE//gpmM//dadX//leuD//hcaF//murD//purN//ulaD//paaF//recF//glcE//ilvI//allC//ruvA//ogt//tyrB//glpC//glk//
LldR_neg	fadB//trmA//
LldR_pos	pgaC//pykF//
LrhA_neg	
LrhA_pos	
Lrp_neg	rhaD//pheT//metC//lpxC//tdh//ulaG//lacZ//bcsZ//pgaC//torA//paaJ//ftsI//recD//pdeR//ampC//sgbU//frdD//ung//araA//gcvH//puuC//gnd//narI//
Lrp_pos	nirD//purN//serC//ilvA//nrdF//amn//phoA//hemL//wzc//gatY//entE//tdcD//fadD//narH//prpD//bcsB//argH//agp//cysD//pnp//
LsrR_neg	phnO//frdB//aspA//rbsK//ascB//
LysR_neg	
LysR_pos	ugpQ//
MalI_neg	accD//argA//
MalT_pos	galM//asnA//ogt//phnN//hycG//oxc//
MarA_neg	aldA//
MarA_pos	gadA//paaC//gnd//tadA//wecB//paaG//paaY//ampD//mltF//glgB//yeaE//adeD//napG//nadB//idnK//trmD//nanM//fadB//xdhC//deoB//alkB//gadB//prpD//
MarR_neg	
MatA_neg	frdC//
MatA_pos	
MazE-MazF_neg	alaC//
MazE_neg	rffT//
McbR_neg	
McbR_pos	
MelR_neg	fbaA//leuB//
MelR_pos	nfsA//paaK//
MetJ_neg	allE//cyaA//waaY//mhpD//hcaD//sucD//sdhD//fruK//hemL//dgcC//
MetR_neg	cysK//
MetR_pos	tdcD//cynT//ubiA//bcsB//
MhpR_pos	polA//ilvI//fucK//ahpF//metL//purA//
Mlc_neg	purH//thrS//ampD//phr//
MlrA_pos	dhaM//
MngR_neg	dinB//ssuD//
MntR_neg	lsrF//
MntR_pos	dhaM//
ModE_neg	ung//aspA//purD//murE//dmsB//purD//fadE//mhpC//
ModE_pos	purM//prpE//udp//uxuA//asnB//argD//bacA//idnK//caiD//
MprA_neg	napH//dkgA//fucI//
MqsA_neg	phnG//mazG//
MraZ_neg	entC//tdcG//pdxA//fabI//tdcD//glgP//mtlD//metH//dgkA//moaE//
MurR_neg	cadA//katG//caiA//
MurR_pos	
Nac_neg	lysC//dusB//fadM//
Nac_pos	oxc//eno//lpxA//cheB//phoA//rtcB//cysE//ilvA//
NadR_neg	pepD//moaA//malS//apaH//
NagC_neg	polB//glpQ//pdeR//rutC//tynA//umuC//umuD//uidA//ycjG//mltF//entF//paaY//ulaG//speC//ssuD//gntK//narH//fucO//
NagC_pos	rutA//dinB//
NanR_neg	argC//rffH//acnA//fucK//aspA//astE//
NanR_pos	
NarL_neg	rhaD//mhpE//caiB//sodB//rhaA//luxS//gadB//ilvG_1//fadD//hflX//hcaE//sbcC//argB//recD//rutE//mhpE//entF//malS//preA//rfe//ampC//rsmH//bioA//pgk//ynfH//glpD//tyrA//fadE//
NarL_pos	metH//lsrK//gor//hcaD//nanE//yeaG//murG//gapA//atoA//yedX//citC//rtcA//fadM//purF//murF//
NarP_neg	bcsZ//fumA//gntK//ilvE//fadI//
NarP_pos	garR//narI//frdB//glpE//katE//hcp//aroL//pheT//speB//malP//ilvE//glmU//betB//hemL//
NemR_neg	araB//paaE//
NhaR_pos	ansB//lpxA//ubiA//rtcB//caiA//
NikR_neg	gltD//
NimR_neg	glyA//
NorR_neg	
NorR_pos	narI//
NrdR_neg	sbcD//trpD//aroF//entA//
NsrR_neg	argB//aspC//lsrG//fabB//bioF//araD//dinB//malQ//hcaC//deoC//cadA//fucI//apaH//alkB//tnaA//nirD//phnL//gcvT//fadI//puuA//rtcA//cynS//trmA//hmp//hmp//ppiA//murC//astA//feaB//murC//napG//gltX//eno//hcaD//lyxK//amn//nrdD//nrdE//frdB//torC//
NtrC_neg	lsrG//phnG//
NtrC_pos	uvrC//dmsA//malS//dkgB//cdd//caiA//citX//idnD//rutE//umuC//cyaA//iscS//ynfH//gltA//katG//dsdA//gltD//speC//add//dgcZ//acnA//
OmpR_neg	malS//paaB//fabD//pyrD//phnN//
OmpR_pos	slt//glyA//ilvN//allA//
OxyR_neg	argI//allD//glgX//gpmA//sdaA//
OxyR_pos	araB//rffM//aceB//astE//relA//avtA//yfdE//ynfH//uvrC//citF//pgaC//deoC//
PaaX_neg	guaB//ubiX//treC//ampD//pdeF//nrdF//nanA//ubiX//cueO//
PdeL_pos	gcvT//
PdhR_neg	leuB//citD//glk//napB//citX//bioD//melA//sucB//cysD//rutE//malP//xylB//hflX//pflB//phnN//nfsA//aceF//deoC//allA//tyrA//epd//glpC//cysI//
PdhR_pos	phr//cdd//
PepA_neg	aceF//sdhA//
PgrR_neg	rsmA//aroL//
PhoB_neg	lldD//talA//aceB//ampD//tdcG//
PhoB_pos	hycB//glcF//gpmA//atoA//feaB//ahpC//glsA//wzc//cysD//metH//gpsA//fadH//hcaC//upp//uxuB//ppsA//glgX//
PhoP_neg	astE//pykF//serC//
PhoP_pos	ilvB//acnA//phoA//mtlD//ppsA//murF//trpA//fumA//glpC//astA//wecB//cyoE//glpQ//glk//pgaC//slt//cysD//purE//argI//nirB//puuA//paaJ//gnd//pagP//lysU//pck//ydcS//rbsK//adhE//mtlD//sgbU//
PrpR_neg	
PrpR_pos	sdaA//cheR//ychF//ldtD//
PspF_neg	
PspF_pos	lsrF//
PurR_neg	bioB//yiaK//idnK//glgC//ubiA//alaA//betA//hycG//aroA//entB//nanE//rhaA//mazG//paaA//ahpC//cynT//glgB//speA//xdhA//phnG//paaG//phnP//ydcS//upp//mraY//ppc//
PutA_neg	argE//fabB//
PuuR_neg	fabG//argF//sufS//nrfC//hyaA//nrdF//
QseB_neg	
QseB_pos	
RbsR_neg	galT//ubiX//cueO//pdeH//mazG//
RbsR_pos	gloA//
RcdA_neg	
RcdA_pos	aceE//
RclR_pos	
RcnR_neg	uidA//
RcsAB_neg	gcd//
RcsAB_pos	moaD//sgbH//
RcsB-BglJ_pos	dkgA//murI//
RcsB_neg	phnM//
RcsB_pos	asnA//glxR//ansB//
RelB-RelE_neg	gcd//
RelB_neg	gutQ//
RhaR_pos	
RhaS_pos	pgi//lacZ//nrdE//astD//
Rob_neg	
Rob_pos	mltF//atoA//patZ//dhaL//ascB//treC//lysU//citG//nadA//accC//ilvI//pdeR//garD//phr//mdh//pykF//cdd//metK//paaZ//
RstA_neg	asnA//puuA//
RstA_pos	caiD//
RtcR_pos	sdhA//moaD//
RutR_neg	pgk//murD//dhaK//aceE//tpiA//fucU//truB//acnB//rimK//sbcD//
RutR_pos	dhaK//
SdiA_neg	
SdiA_pos	
SgrR_neg	speC//
SgrR_pos	cysK//rutE//
SlyA_neg	
SlyA_pos	purB//bcsZ//sbcC//rutC//accC//narG//tdcB//entH//alkB//
SoxR_neg	
SoxR_pos	fabB//
SoxS_neg	
SoxS_pos	cyaA//luxS//tyrB//ftnA//gcd//prpE//prmC//malP//putA//guaA//pepD//dgcC//hemL//pgk//argD//mhpC//rimK//ppsA//dmsA//pheS//eda//glpA//adhE//uxuA//ansB//atoD//
SrlR_neg	fumA//puuE//argE//
StpA_neg	bioD//lacZ//deoC//
SutR_neg	deoC//aroL//
SutR_pos	
TdcA_pos	phnL//uxuA//ilvE//hcaB//aroH//
TdcR_pos	pyrC//pheT//glgC//tadA//deoB//
TorR_neg	ubiA//
TorR_pos	nrfD//uxuA//chbG//glpK//
TreR_neg	cueO//sdhC//
TrpR_neg	glcF//fadM//moaA//nadA//yedX//purL//dhaM//mngB//yeaE//
TtdR_pos	yiaK//glpA//
TyrR_neg	xdhB//hemH//dsdA//ppsA//mnmG//ybjG//ssuD//
TyrR_pos	fes//nanA//glmU//
UhpA_pos	tauD//
UidR_neg	bioA//dinB//
UlaR_neg	phnG//glgB//murD//lsrF//slt//
UvrY_pos	pdeL//dadX//
UxuR_neg	idnK//wecE//caiA//cmoM//dusB//
XapR_pos	tehB//sucC//
XylR_neg	
XylR_pos	wrbA//accA//ahpF//
YdeO_neg	
YdeO_pos	metA//metL//uidA//
YefM-YoeB_neg	cmoM//
YefM_neg	hyaA//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	rffG//argI//gadA//katE//paaA//tynA//
YjjQ_neg	fruK//entE//
YpdB_pos	
YqhC_pos	nadC//moaE//
YqjI_neg	yedX//
ZntR_pos	murD//
ZraR_pos	
Zur_neg	citG//
