# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	talA//ogt//
CdaR_pos	ulaE//purF//cysC//icd//lacZ//cysJ//rutE//ttdA//phnO//
CecR_neg	idnK//
ChbR_neg	ycjG//wecE//trmD//
ChbR_pos	codA//dmsB//phnH//
ComR_neg	
CpxR_neg	tdcD//adhE//mngB//
CpxR_pos	astB//nanA//tyrA//ribA//puuB//gatY//caiC//rsmH//hycE//entD//ppiA//napG//edd//cheR//cadA//nanA//phoA//cysM//
Cra_neg	argI//caiD//upp//pnp//pgaC//napH//idnO//gcvP//ackA//ilvD//xapA//gadA//fadM//nrfC//appA//pgaD//lsrF//uxuA//recD//puuC//bioD//idnD//paaY//dgcC//trpC//katG//lysA//alaA//murI//allA//glmS//cysG//ssuD//hycG//hemF//paaB//gltA//amn//citF//cysG//phnL//trpB//gpsA//ilvB//uxuB//
Cra_pos	sdhD//dhaL//speA//hycG//ilvC//nadA//aroA//bglB//fabG//uxaC//dmsA//upp//purD//xapA//frc//mnmG//ulaF//
CreB_neg	hyaA//
CreB_pos	nanM//
CsgD_neg	allA//caiC//
CsgD_pos	epd//hycD//puuD//
CsiR_neg	purE//epd//deoA//murG//
CspA_pos	ilvC//
CueR_neg	ulaE//astC//nirB//
CueR_pos	bcsZ//gcvH//
CusR_pos	hcaE//ogt//araA//iscS//
CynR_neg	
CynR_pos	argH//acs//pgaD//
CysB_neg	amn//murF//mngB//
CysB_pos	ribA//entH//ubiA//fbaB//glxK//gapA//argI//lysU//paaI//adiA//tpiA//dusB//gapA//ssuE//
CytR_neg	rtcB//aroH//citD//lysU//entC//betB//lsrG//argA//betB//gadB//
DcuR_pos	hmp//asnB//pdeR//paaH//
DeoR_neg	purN//ldtD//fadA//mhpE//mpl//citX//
DhaR_neg	
DhaR_pos	hycG//
DicA_neg	
DinJ-YafQ_neg	uxaB//
DnaA_neg	allB//dgcC//glcF//frdB//umuC//
DnaA_pos	torA//ppsA//ubiX//
DpiA_neg	
DpiA_pos	astA//ndh//malY//trpD//mraY//
DsdC_neg	
DsdC_pos	wrbA//hpt//
EbgR_neg	
EnvR_neg	adeD//metE//
EnvY_pos	aceA//fadJ//
EvgA_pos	guaB//tadA//glcB//dmsB//fumC//dusB//
ExuR_neg	fau//preA//paaZ//grxA//fadB//ilvE//
FNR_neg	fabH//srkA//nemA//ycjG//gapA//bacA//prpB//leuC//preA//glxK//pyrC//prs//mpl//frdB//rhaB//ilvI//srlD//gnd//nrdB//argD//gntK//glcE//purM//gntK//citC//aspC//edd//wecE//glcF//appA//ilvD//ppsA//alaA//citE//caiA//fucU//alaS//ilvN//alkB//hemH//glsA//purM//rimK//moaA//
FNR_pos	tdcG//prs//phnN//gcvT//epd//puuE//alaS//lsrG//iscS//napA//fadJ//garD//ulaD//glmU//rffG//carB//narH//cysC//sucC//sdhD//mhpB//lsrF//hmp//asnA//puuE//cyaA//cysI//puuE//ribA//gatZ//glgP//luxS//sucD//fbaA//frdA//purB//prpC//paaF//speB//fadH//asnA//paaG//dinB//hyaB//aroG//uvrC//trpC//preA//preT//chbF//deoA//fucO//metC//cheR//yfdE//metE//napH//pheS//nirB//fadB//cysI//glpK//lpxC//gadA//wzb//purD//dusB//ravA//folE//dusB//fadM//upp//lpxC//paaH//hycF//metH//purA//ilvM//cysG//pspE//tpiA//glsA//glpX//sodA//slt//argE//dapD//ilvM//eno//iscS//recF//murG//deoA//glgP//ilvN//argG//
FabR_neg	lpd//rffH//gltX//
FadR_neg	cysJ//betB//argG//pdeH//pgaD//yeaG//sodA//moaC//queA//
FadR_pos	cysI//fadM//paaY//nrfD//amn//gatD//glcD//sucA//glmS//umuC//
FeaR_pos	murD//cysE//
FhlA_pos	napA//rffM//nfsA//atoB//hycG//hycD//sdhD//argG//
Fis_neg	hemH//ugpQ//cysC//purK//accA//lacA//fabD//hcaB//gutQ//fruK//ampD//pepD//malP//glcD//xdhC//paaH//tdh//ilvG_1//trmA//fadB//wecB//dhaK//waaY//frc//paaK//uvrB//rffH//prpE//metC//purF//nanE//glgB//nanE//citF//gpmM//gltB//yqhD//trpA//moeA//lysC//gadA//aspC//tnaA//torA//deoC//galT//
Fis_pos	katE//nanA//mhpA//glpC//zwf//ubiC//fes//gcvT//gcvT//atoD//fumA//frdB//ascB//hyaA//hcaD//entE//ulaD//acs//rfe//argI//ilvG_1//kbaZ//mraY//hycC//citX//allD//cheB//truB//pagP//lpxC//patA//tdh//yqhD//pdeF//ulaD//ppc//aspA//
FlhDC_neg	mazG//gpsA//
FlhDC_pos	garK//polB//fabD//araD//hmp//rutE//cheR//trpB//ilvI//gor//adeD//mltF//
FliZ_neg	uxuA//tktB//pflB//wecB//ilvN//
FucR_pos	mraY//fadE//nanE//truB//hycD//uxuB//
Fur_neg	entD//oxc//gnd//frdB//ampC//xylA//agp//ttdB//cysH//glgA//gutQ//phnO//lsrK//uxuB//rsmA//frdB//uxuA//betB//alkA//napA//cynS//phoA//ilvA//amiA//uvrC//alaS//fucU//ruvB//sbcD//acs//ppsA//hcaF//pgaC//dapB//metF//ttdB//talA//hypF//uvrC//lysC//fumC//ulaG//recD//purD//chiA//purK//mhpD//recD//trpA//ldtB//frdB//fadA//ftsI//
Fur_pos	argG//cyaA//rtcB//phr//aceB//chiA//prmC//ppiA//hpt//ilvB//purK//fabB//glgA//psd//lsrF//rtcA//
GadE-RcsB_pos	purF//fucA//hypB//cadA//gltB//
GadE_pos	nadC//rpiB//dadX//bioC//glpB//tehB//apaH//hyaA//pheT//pdeF//
GadW_neg	katG//rnpB//malQ//
GadW_pos	psd//xylB//rffH//srlD//
GadX_neg	accD//malP//
GadX_pos	dapB//aroA//uvrA//puuB//araA//fucU//serA//gltD//gadB//cdd//appA//
GalR_neg	ftnA//aspC//wrbA//glgX//ftnA//yeaE//
GalR_pos	frc//asnA//pspE//nanE//
GalS_neg	kbaY//nemA//glxK//nagA//udp//narH//
GalS_pos	amiA//napH//recF//prpD//
GatR_neg	preA//purN//galK//
GcvA_neg	entB//hflX//gadB//
GcvA_pos	glgC//dgcN//chbG//
GlcC_neg	
GlcC_pos	glpD//sodB//fadM//
GlpR_neg	trpC//pflB//dhaL//ddlB//aspC//sucD//phnH//
GlrR_pos	
GntR_neg	tdcE//tyrB//hmp//dacC//accD//pdeH//hycF//alaC//cynT//
GutM_pos	glcF//frdB//uvrB//
H-NS_neg	mhpE//purA//ilvD//paaG//fdhF//fdhF//preT//murD//rffH//fadA//cdd//ttdB//pck//ssuE//paaH//cysJ//gltX//hyaB//idnD//ruvB//entB//mhpF//ilvC//purC//purL//ldtC//glpX//puuB//araA//trmA//puuE//glgB//argE//dhaL//cysH//ppsA//atoB//citG//gltD//lsrK//paaE//pfkA//ahpF//wzc//hemF//argB//purE//mtlD//gabT//galT//argE//
H-NS_pos	rhaB//puuD//lysA//dacC//glpX//katE//entD//sodB//fadD//glxR//glcE//nfsA//ygeA//yiaK//zwf//
HU_neg	mhpA//folA//ulaF//metB//fadI//nadB//glcD//
HU_pos	
HcaR_neg	
HcaR_pos	glpE//pykF//
HdfR_neg	
HdfR_pos	
HigA_neg	recD//
HigB-HigA_neg	dadA//
HipAB_neg	mhpB//paaA//
HipB_neg	gntK//pdeR//tam//
HprR_neg	idnK//moaD//
HprR_pos	puuB//yqhD//
HyfR_pos	deoA//
HypT_neg	rtcB//deoA//
HypT_pos	carB//malP//ubiX//hyaB//lsrG//
IHF_neg	paaC//wecB//paaE//trpC//frdC//ubiX//rsmH//ilvA//ruvB//rfe//ilvB//ilvA//ynfF//gpmA//malZ//lsrK//gcvP//rfe//pgm//paaB//allE//gabT//hemH//waaY//relA//uxaA//xdhA//adiA//cysG//argB//dhaK//aceA//deoB//dhaM//srkA//nanE//ulaE//leuC//alaC//lhgO//ruvA//garD//cysI//
IHF_pos	trpA//aroL//ilvI//mdh//fadE//xylA//queA//gatY//feaB//fumA//murI//sgbE//dhaL//hycG//putA//pyrC//fbaB//cysC//hcaF//pflB//argI//ydcS//phr//pgpC//carA//aceB//tdcD//fucI//nfsB//yqhD//hcaE//moeA//murG//ccp//nrfD//ccp//ftnA//pgk//trmA//truB//fabI//purK//wzb//fucI//fumC//astC//phnI//talA//lpd//nrdA//rbsK//rsmH//deoA//cysM//lpxA//dgcC//argE//pgi//lacZ//purM//ravA//paaG//pck//deoD//lysU//deoD//apaH//tdh//nrdE//paaA//paaJ//
IclR_neg	murI//pgi//srkA//
IdnR_neg	ddlB//pgm//
IdnR_pos	icd//epd//wzb//eda//
IlvY_neg	
IlvY_pos	metF//
IscR_neg	uxaA//zwf//recF//cdd//ribA//tehB//
IscR_pos	glpX//gatD//
KdgR_neg	wzc//metF//
KdpE_pos	prpB//
LacI_neg	dmsC//yedX//paaG//
LeuO_neg	
LeuO_pos	ttdA//rsmA//ilvA//caiD//citG//phnH//
LexA_neg	tktB//garK//uxaC//hcaD//tktB//pgi//rffC//tynA//rutC//paaF//deoC//hemA//katG//lpd//fadE//mhpC//uxuA//dadX//idnD//oxc//accD//folE//pgaD//
LldR_neg	ravA//astB//
LldR_pos	uxaC//phnM//
LrhA_neg	
LrhA_pos	
Lrp_neg	cheB//allB//sgbE//bioB//glsA//ftnA//pdeL//ydcS//yqjH//cyaA//ahpC//ycjG//gatY//ilvI//ybjG//pgaD//mhpC//uvrC//phnO//glpA//aroG//mazG//pdeL//
Lrp_pos	gcvT//astC//hflX//hypB//entA//puuE//sodA//prpC//slt//carA//lsrG//sdaA//yeaG//accC//luxS//fadA//glgC//ada//poxB//melA//
LsrR_neg	dinB//cysG//accC//fabG//trpA//
LysR_neg	
LysR_pos	mhpA//
MalI_neg	caiB//torC//
MalT_pos	preT//trpD//ackA//ascB//glgA//argH//
MarA_neg	kbaZ//
MarA_pos	garD//cheR//pgaB//hemF//ruvB//prpE//amiA//citD//hypB//preT//gcvT//glpC//accC//garK//murG//fdhF//hcaB//fau//dapB//entE//xylA//entA//rsmH//
MarR_neg	
MatA_neg	yfdE//
MatA_pos	
MazE-MazF_neg	gatD//
MazE_neg	lpxA//
McbR_neg	
McbR_pos	
MelR_neg	psd//purL//
MelR_pos	gntK//sodA//
MetJ_neg	prpE//deoD//nanE//mngB//glpK//nfsA//fabZ//srkA//phnH//malP//
MetR_neg	murF//
MetR_pos	codA//sdhC//bacA//fbaB//
MhpR_pos	eda//metB//gdhA//araB//xdhC//lpxA//
Mlc_neg	fau//ulaE//ynfG//gatZ//
MlrA_pos	nagB//
MngR_neg	malZ//hyi//
MntR_neg	mhpF//
MntR_pos	nemA//
ModE_neg	asnA//lpxA//umpH//gcvT//nrfD//guaA//gatY//hcaF//
ModE_pos	tadA//prs//pgaB//gor//patD//ampC//yfdE//pnp//cysH//
MprA_neg	fadM//ppsA//pheS//
MqsA_neg	glpQ//hcaD//
MraZ_neg	adiA//chiA//glpK//rpiB//acs//ulaF//gloA//ydcS//fbaA//malY//
MurR_neg	caiD//glpB//yfdE//
MurR_pos	
Nac_neg	glcB//betA//ansB//
Nac_pos	fabD//adhE//fucI//umuC//entD//araB//trmD//slt//
NadR_neg	bacA//pflB//cueO//fumB//
NagC_neg	caiC//folE//moaC//hcaE//dmsC//upp//polA//nirB//gatD//pspE//pyrC//gadB//moaA//waaY//galM//alaS//glyA//ulaE//
NagC_pos	pgi//purC//
NanR_neg	fucU//malP//epd//leuD//dmsB//cysJ//
NanR_pos	
NarL_neg	paaC//leuA//rffC//metL//yiaK//dsdA//ldtB//ugpQ//sufS//cynS//glcF//hyi//xylB//frdB//lhgO//malP//glsA//cyaA//fau//codA//cysD//aldA//sucA//ftnA//leuD//ansB//hemL//xdhA//
NarL_pos	nrfD//glpQ//pgpC//malS//gatY//napG//amn//trpD//srkA//pspE//dgcN//ung//tnaA//lacZ//sufS//
NarP_neg	carA//xdhB//glk//ychF//astE//
NarP_pos	gatD//allD//fucA//hemH//uxaA//gutQ//chbF//phnO//uxuB//moaD//alsE//adeD//ppsA//kbaY//
NemR_neg	lpxA//sdaA//
NhaR_pos	dgcN//uidA//ilvE//mraY//astB//
NikR_neg	moaC//
NimR_neg	wzc//
NorR_neg	
NorR_pos	cysG//
NrdR_neg	citD//sufS//ampD//uvrA//
NsrR_neg	sucC//phoA//trmA//lacA//sbcD//pyrD//citF//gadA//glpK//tam//alkA//feaB//puuD//astD//pepD//talA//fabB//epd//ilvH//entA//accC//metL//malS//gloA//hycD//lpxC//glpB//mazG//mnmG//ogt//tdcG//aceA//glxK//grxA//bioB//codA//astD//cheB//rffH//fumC//
NtrC_neg	fabZ//garK//
NtrC_pos	ddlB//cysK//rhaA//frdC//pdxA//ilvE//ulaE//phoA//aspC//guaB//lhgO//glmU//murF//aroH//fbaB//fes//aceE//cheB//citX//nagB//ppsA//
OmpR_neg	tdh//ulaD//gadB//ldtB//metL//
OmpR_pos	cysN//sgbE//tyrB//aroA//
OxyR_neg	amn//dkgB//ftsI//paaG//gatZ//
OxyR_pos	garL//wrbA//bioA//ung//nanM//glxR//fadB//lpd//wrbA//entD//katE//acnB//
PaaX_neg	mhpE//galT//nirD//gpmA//mhpE//glyA//phnP//malS//phoA//
PdeL_pos	nirD//
PdhR_neg	hycG//ulaE//glpC//rimK//nrdA//allC//puuC//napG//gltD//sbcD//ulaE//tehB//paaH//chbF//puuB//folE//melA//edd//moaC//carB//rfe//ldtB//hycF//
PdhR_pos	ahpF//mhpE//
PepA_neg	argD//accA//
PgrR_neg	frdD//ilvM//
PhoB_neg	recF//narG//lsrK//murD//yqhD//
PhoB_pos	yiaK//pgm//glk//folA//lpxC//fucU//garR//dgcZ//avtA//frdD//tpiA//cysI//betB//sdaA//tdcE//entC//tdcG//
PhoP_neg	manA//fumB//melA//
PhoP_pos	fabB//fumC//ybjG//ppsA//rsmA//fumA//dkgA//cysN//malS//sucD//pdeL//dgkA//asnB//pgk//oxc//ilvI//tam//pyrD//lysC//thrS//rhaD//waaZ//hypF//hyaC//fbaA//katE//araB//glk//pdeH//kbl//garL//
PrpR_neg	
PrpR_pos	cysK//frdD//glcD//ynfG//
PspF_neg	
PspF_pos	gloA//
PurR_neg	uidA//cyaA//nadB//cysN//gatZ//gor//hycB//phnH//puuE//entD//glgC//prpB//ahpF//sodA//glcD//glgX//pepD//lpxD//fes//aroL//entE//mdh//rhaA//phnP//torA//mazG//
PutA_neg	moeA//hyaB//
PuuR_neg	mraY//ribA//yqhD//bcsB//pyrD//amn//
QseB_neg	
QseB_pos	
RbsR_neg	tdcG//glcF//dgcN//galK//xapA//
RbsR_pos	pck//
RcdA_neg	
RcdA_pos	ada//
RclR_pos	
RcnR_neg	recF//
RcsAB_neg	dinB//
RcsAB_pos	astE//mpl//
RcsB-BglJ_pos	nemA//speA//
RcsB_neg	xylA//
RcsB_pos	betA//fucU//chiA//
RelB-RelE_neg	uvrA//
RelB_neg	dkgB//
RhaR_pos	
RhaS_pos	ung//fadB//cmoM//wecC//
Rob_neg	
Rob_pos	rffH//glk//yiaK//dapD//cyoE//tdcD//trmA//agp//phnH//ubiG//fau//cheR//metE//pgaB//malS//wzb//argD//cmoM//nfsA//
RstA_neg	appA//puuD//
RstA_pos	rimK//
RtcR_pos	glcF//uvrB//
RutR_neg	torA//pnp//feaB//citG//ftnA//udp//fucO//phr//ccp//astD//
RutR_pos	rbsK//
SdiA_neg	
SdiA_pos	
SgrR_neg	ulaF//
SgrR_pos	slt//paaZ//
SlyA_neg	
SlyA_pos	nadA//rpiB//zwf//ynfH//deoD//purF//pheS//rffT//glgX//
SoxR_neg	
SoxR_pos	ribA//
SoxS_neg	
SoxS_pos	phnI//tpiA//feaB//metB//adiA//paaB//argB//purL//citD//purL//dkgA//argH//rutA//mpl//glgA//ugpQ//epd//lsrK//ynfE//fadB//phnO//sodA//psd//tdcG//argF//katG//
SrlR_neg	napA//iscS//tadA//
StpA_neg	hcaD//caiD//fabD//
SutR_neg	dusB//mtlD//
SutR_pos	
TdcA_pos	pdeH//pgaD//nadB//glcD//murD//
TdcR_pos	uxuA//lysC//narH//fadD//srkA//
TorR_neg	bacA//
TorR_pos	hypF//tdcE//fumC//moaA//
TreR_neg	mdh//dkgB//
TrpR_neg	glpD//yeaG//ynfH//fes//pncB//sodA//polB//caiD//hmp//
TtdR_pos	cheR//rutD//
TyrR_neg	nemA//ynfG//xylB//ascB//lsrF//glxR//asnA//
TyrR_pos	araD//hcaB//fadH//
UhpA_pos	puuB//
UidR_neg	hcaB//hmp//
UlaR_neg	dmsC//ssuD//torA//alkA//dmsC//
UvrY_pos	rfe//fadI//
UxuR_neg	dhaK//lpxA//deoD//rsmA//deoC//
XapR_pos	cysD//acs//
XylR_neg	
XylR_pos	hyaB//argC//fabD//
YdeO_neg	
YdeO_pos	gnd//gpmA//sdhB//
YefM-YoeB_neg	argA//
YefM_neg	napG//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	nrdB//fbaB//uvrB//tauD//chbG//ybjG//
YjjQ_neg	fadB//araA//
YpdB_pos	
YqhC_pos	nfsB//deoA//
YqjI_neg	gntK//
ZntR_pos	ppsA//
ZraR_pos	
Zur_neg	gcvH//
