# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	fucO//bcsB//
AsnC_pos	glpD//
AtoC_pos	agp//hycC//sodA//
BCCP_neg	ppiA//
BaeR_pos	udp//purK//
BasR_neg	pgaD//
BasR_pos	mpaA//fdhF//
BetI_neg	gcvP//ampC//dgcZ//
BirA_neg	ttdB//ynfG//ribA//bcsZ//argI//
BluR_neg	
BolA_neg	wzb//alkB//
BolA_pos	adeD//alaA//
BtsR_pos	ogt//
CRP_neg	metB//gpsA//dkgB//pgaC//hpt//dkgA//sbcC//ssuE//moaD//entB//pyrC//ubiX//rhaD//fucI//rpiB//hcaE//feaB//fes//murD//ccp//lhgO//fbaA//pgi//leuC//ackA//dinB//hpt//purL//cyaA//mdh//sdaA//cysN//mhpB//lpxC//hpt//nirD//alkA//aceA//speB//gadB//nemA//ydcS//glpE//hmp//rhaB//alkB//purA//gpmA//ruvB//entD//hpt//entD//hyaA//talA//purD//prpB//ilvB//gpsA//phnL//araA//entB//hcaC//citF//murG//moaC//sodB//wecE//gltX//tyrA//manA//dgcC//
CRP_pos	moeA//alsE//uxaA//pfkA//add//wecB//sgbE//pgaC//tpiA//hchA//dadA//sgbU//lsrK//entA//uxuB//dapB//frdA//ybjG//lsrK//pspE//pflB//entF//astE//acs//phnG//ung//dhaK//fumC//gcvP//asnA//dmsC//caiC//fes//nanM//phnL//glcD//cysD//entB//purC//ilvI//fabA//entC//metL//eno//sgbH//apaH//pnp//rpiB//aceF//gcvP//argE//nanA//gadA//rutE//kbl//cysN//argB//napB//argC//caiA//nfsA//rutC//hycF//rffG//kbaZ//atoA//trpA//dgkA//malS//sdhD//phnN//psd//ulaG//puuE//alaS//nrfC//entH//waaZ//chiA//fes//fabI//rtcB//dgcC//aldB//murE//paaC//sgbE//nrfC//fadJ//trpC//bcsB//ttdB//nrdF//sgbU//puuD//glpQ//yiaK//entH//purH//dapD//fucK//aceA//purN//purB//lldD//gltA//bioD//eda//aceF//purL//trmD//ulaD//gabD//gpsA//cheR//psd//gatD//nadA//gpmA//argF//aceE//rpiB//malQ//ilvG_1//dusB//ppiA//rutA//rtcB//fucK//fes//speA//ccp//lhgO//argB//uvrC//nrfC//ackA//allE//ynfF//ydcS//murI//tyrA//hcaF//icd//xdhC//moeA//uvrA//alaC//frdA//aceF//dhaM//betB//dkgB//acs//gatZ//ackA//glpC//dmsC//nadB//pdeH//uxaA//xdhC//codA//ldtC//tyrB//entA//dadA//glgX//pgk//nirD//phnP//aceF//nfsB//fadM//glsA//umpH//xylA//lsrF//idnO//glcD//pheS//aceE//hycB//hyaB//mdh//garD//frc//serC//allD//bioB//bcsZ//leuC//deoA//paaY//rffM//astD//icd//lhgO//fbaB//recD//glpA//lpd//amiA//garR//srkA//rpiB//eno//pspE//polA//putA//ahpC//dadX//murF//nemA//uvrC//pheT//glsA//glpK//entH//relA//gltB//speB//ulaG//ubiX//yqjH//fadE//adhE//kbaY//aroH//glpE//cysH//entD//hemF//fucA//entD//rutE//pgaC//citF//nirB//phnN//glpK//hemL//lysU//hyi//wecC//nrdD//hflX//ruvA//paaI//
CadC_pos	gatY//atoA//glcF//
CaiF_pos	argG//ybjG//purL//sucC//hyi//
Cbl_pos	murC//aspA//ygeA//glpD//sucD//
CdaR_pos	hycF//gcvH//xdhC//nanA//mhpE//aceE//fumC//rhaA//garK//
CecR_neg	ulaG//
ChbR_neg	glgP//sucB//argD//
ChbR_pos	galE//pdeH//pgaC//
ComR_neg	
CpxR_neg	moeA//cysJ//fadD//
CpxR_pos	leuC//glpC//bglB//cheR//pdeR//fucI//cysH//yqhD//asnB//nrdA//fabD//relA//ttdA//patZ//waaZ//uidA//murD//glgX//
Cra_neg	ubiG//fumA//murF//cysK//preA//trpA//hycE//argC//acnB//glgC//atoD//prmC//gabT//yeaG//ahpF//amiA//argF//adiA//xdhB//glpD//katE//lpxC//rbsD//hyaC//lacA//zwf//speC//moaA//slt//metB//xylB//fruK//zwf//fadJ//gadA//tehB//cynT//cysI//ascB//xdhB//sdaA//ychF//phnH//paaF//preA//
Cra_pos	entE//ssuE//atoB//sdaA//nrfC//ravA//puuC//ulaE//nemA//lsrF//trpB//metC//napA//cdd//ftnA//aspC//patA//
CreB_neg	metE//
CreB_pos	wecE//
CsgD_neg	ung//nrdB//
CsgD_pos	citC//mtlD//paaE//
CsiR_neg	rhaB//rsmH//frc//ampD//
CspA_pos	pgk//
CueR_neg	phnN//sufS//paaA//
CueR_pos	ackA//argH//
CusR_pos	adiA//hyi//tynA//cyoE//
CynR_neg	
CynR_pos	glgP//rffG//pdeF//
CysB_neg	phnI//nrfD//trpE//
CysB_pos	tyrA//cysD//fes//hycG//alaS//malP//bioB//argC//narH//entC//treC//argD//ybjG//rsmA//
CytR_neg	metF//ulaE//rbsD//ravA//rpiB//malZ//yeaG//astD//mngB//alkB//
DcuR_pos	glpC//sbcC//wecE//glmS//
DeoR_neg	glnA//ssuE//nanK//ribA//prs//carB//
DhaR_neg	
DhaR_pos	ydcS//
DicA_neg	
DinJ-YafQ_neg	purK//
DnaA_neg	glcD//nanK//putA//xdhC//pfkA//
DnaA_pos	lpxA//gltB//ftnA//
DpiA_neg	
DpiA_pos	atoA//galE//fruK//napB//katE//
DsdC_neg	
DsdC_pos	uxaA//prs//
EbgR_neg	
EnvR_neg	citC//ogt//
EnvY_pos	glgC//xylA//
EvgA_pos	argC//ftsI//entF//sbcD//waaH//fadJ//
ExuR_neg	mhpA//preA//glpE//hemF//hcaB//puuC//
FNR_neg	poxB//pnp//cpdB//sdhD//pgpC//speB//katG//sucC//murF//nagA//hycB//glcE//citC//rfe//bioB//ugpQ//hcaD//queA//trpC//hycB//frdC//uxaC//fucU//alkA//moeB//edd//ulaE//thrS//mhpC//ttdA//ilvA//gabT//deoC//puuE//cysC//fabD//luxS//tehB//fadJ//citE//mpaA//prmC//entD//hcp//
FNR_pos	trpE//rutC//edd//cysM//grxA//phnN//ygeA//glgX//grxA//fabA//atoA//paaE//metC//nrfA//nrdE//ruvA//rffM//cysE//cysK//cysH//fumA//paaE//torA//uvrA//torC//nadC//ogt//nfsA//slt//dhaM//puuB//sucA//grxA//psd//astE//cynT//entH//moaD//ahpF//paaG//sdaA//purL//phr//nfsB//fabA//adeD//dapB//yfdE//sgbE//fruK//frdC//pdeH//argD//cysI//yeaE//gadB//codA//cysK//uxaC//betB//manA//narI//lsrF//betB//accC//cheB//phnL//putA//galK//argG//caiA//uidA//adiA//allD//uvrA//nanK//asnB//allB//mpaA//ldtD//mpl//malZ//alsE//aroG//truB//tam//purK//fucA//glxK//sdaA//hycB//rbsD//puuA//nfsB//dinB//paaK//
FabR_neg	gutQ//luxS//fabZ//
FadR_neg	rffM//tadA//fabH//tdh//ogt//glcF//tauD//ampD//glcB//
FadR_pos	cysJ//tktB//cueO//gltB//tnaA//caiC//lacA//gabT//ilvA//ydcS//
FeaR_pos	waaH//phr//
FhlA_pos	gpsA//yiaK//bacA//lsrK//recF//nrdE//ulaE//aspC//
Fis_neg	fbaA//ulaG//ynfG//ahpF//agp//leuD//purC//moaE//hcaC//alaS//araA//ppiA//gltX//katE//pnp//prpB//napA//moaE//aspC//purC//fucA//cadA//gadB//fabI//cheR//pflB//nadB//udp//pck//ilvE//acnA//malP//patA//rffG//metL//metC//sucA//poxB//alaS//lyxK//trpE//asnB//gntK//ydcS//glgX//phnH//
Fis_pos	mhpA//dinB//patZ//acs//glgP//ampC//uxuB//dgcZ//guaA//purE//glpC//murD//metF//srlD//argG//fadH//leuD//torC//paaE//ahpF//xdhC//appA//araB//slt//hflX//torC//purN//purE//trpC//tdcE//ldtC//hypF//caiB//rimK//yqjH//ynfF//purD//
FlhDC_neg	lhgO//glgP//
FlhDC_pos	pheS//pdeH//purE//garD//napB//idnD//tehB//kbaY//glgP//torA//mltF//glpA//
FliZ_neg	cysM//speB//prmC//phnJ//dgcC//
FucR_pos	aroH//putA//lpxD//napB//paaC//lacZ//
Fur_neg	xapA//metH//dadX//rffG//chiA//pheS//xapA//speC//nirB//dgcN//cysC//fbaB//trpB//wecB//paaY//pgpC//gapA//phoA//ftnA//fadD//cysN//pck//pyrD//frc//nagB//hypB//cynS//adiA//trmA//murD//waaY//uvrB//pagP//pgaD//xdhB//lysU//puuA//rffG//mhpA//cyoE//mhpC//uxaB//eno//aspA//glxK//gabT//paaY//talA//aroF//fucI//argD//rnpB//dusB//
Fur_pos	hycB//speA//ribA//chbF//pncB//galT//ilvD//accC//mhpA//fumB//grxA//hycC//purM//cysD//sucD//gcvT//
GadE-RcsB_pos	glk//dusB//mhpA//ampC//luxS//
GadE_pos	glxK//purA//appA//dhaL//fruK//mdh//nrdE//sufS//nrdB//glcE//
GadW_neg	gltB//hemA//sucC//
GadW_pos	rffG//mhpD//nirB//argF//
GadX_neg	tdcE//arsC//
GadX_pos	entF//xdhC//glpA//dadA//ldtC//fabA//cysE//uvrA//yedX//gltX//frdA//
GalR_neg	hyi//ydcS//poxB//hcaC//tdcE//tdcB//
GalR_pos	murQ//rutE//argF//argI//
GalS_neg	sgbE//folA//caiC//ilvN//carB//paaI//
GalS_pos	hcp//murE//truB//mazG//
GatR_neg	metB//pdeF//hyaA//
GcvA_neg	entB//phnM//ansB//
GcvA_pos	pgpC//gatZ//gadB//
GlcC_neg	
GlcC_pos	uvrB//betA//cysH//
GlpR_neg	narG//patZ//dinB//fadI//garD//pgi//lhgO//
GlrR_pos	
GntR_neg	uxaA//lldD//ilvI//pgk//lysU//ppc//betB//sdhD//rtcB//
GutM_pos	wzc//bioA//dadX//
H-NS_neg	ssuE//chiA//accA//fabA//malP//glpA//accD//paaK//nanK//patZ//sbcD//alkB//nanM//idnK//glmS//katE//yqhD//leuD//phnI//cmoM//trpC//gcvH//waaY//tdcE//hycB//dadA//phnH//puuC//galM//dgkA//murG//sdhC//sodA//glgC//hycG//pdeR//fabB//gudD//garR//uidA//ahpC//gor//ubiX//glmU//carB//murD//folA//hypF//uxuA//torC//idnO//
H-NS_pos	eda//sdhA//metB//fabB//betB//ansB//fabD//mnmG//gltB//rbsD//cysI//manA//caiB//ssuD//truB//
HU_neg	rimK//phnN//glpD//purB//dgcC//yedX//xylA//
HU_pos	
HcaR_neg	
HcaR_pos	rffT//pgaD//
HdfR_neg	
HdfR_pos	
HigA_neg	glmS//
HigB-HigA_neg	ada//
HipAB_neg	gloA//rutD//
HipB_neg	psd//apaH//leuA//
HprR_neg	rutB//mpl//
HprR_pos	cysE//phnJ//
HyfR_pos	paaA//
HypT_neg	leuD//tdh//
HypT_pos	mnmG//sodA//ubiC//torC//leuD//
IHF_neg	acs//dgcN//araD//moaD//nadB//ilvA//srlD//galT//grxA//gatZ//cysH//ppsA//rnpB//rpiB//idnO//entE//galT//citG//lysC//uxuB//gntK//dapD//pfkA//dgkA//rhaA//hemL//alkA//sgbE//fruK//lpxD//edd//hycD//lpd//paaI//wecC//waaH//lsrK//lldD//sgbE//metH//fabH//gltD//tyrB//
IHF_pos	folE//ackA//garK//bioA//ilvE//ynfE//malP//prpE//malP//entB//acnB//cysE//fucK//hemF//slt//phnN//malZ//mhpB//ulaG//deoB//sodA//aceF//citC//glgC//lpd//bacA//gatY//pspE//idnD//fabD//tehB//ubiX//rutE//asnA//wzc//dusB//mdh//gcvH//talA//uvrC//codA//mhpB//xdhC//citE//sgbU//accC//cyaA//nanA//puuD//ackA//rfe//recB//ndh//frdD//mngB//dkgB//alkB//thrS//nadA//pgaB//ynfF//ahpF//phnI//slt//mazG//acnB//luxS//ulaG//rtcA//murD//yfdE//
IclR_neg	lsrG//edd//bioC//
IdnR_neg	carB//lhgO//
IdnR_pos	murQ//astE//dkgB//garL//
IlvY_neg	
IlvY_pos	carB//
IscR_neg	ynfG//glpQ//patA//pgaD//wecB//treC//
IscR_pos	pgpC//torA//
KdgR_neg	pflB//ilvD//
KdpE_pos	nrdD//
LacI_neg	ldtD//ruvB//frc//
LeuO_neg	
LeuO_pos	argE//alaC//acs//ydcS//garD//tauD//
LexA_neg	cyaA//xylA//glnA//napG//moaC//gcvP//cysG//gatD//slt//ndh//phr//polA//eno//murQ//gcl//xylB//malP//paaY//polB//dusB//lsrF//rbsD//recF//
LldR_neg	amiA//phnM//
LldR_pos	uvrC//rffT//
LrhA_neg	
LrhA_pos	
Lrp_neg	cysM//rffM//fabA//puuA//aceA//citF//glgP//hemH//dgkA//prpC//tam//prs//cysC//rsmH//pgaD//bioA//gutQ//glmU//leuC//dusB//nfsA//gadB//gatZ//
Lrp_pos	gpmA//arsC//ppc//wzb//dgkA//ttdA//alaC//pncB//purC//gltA//argG//bioC//mpaA//aldA//sbcD//ttdB//dmsC//frdC//ynfG//nrdB//
LsrR_neg	rhaA//polA//nrdF//add//xapA//
LysR_neg	
LysR_pos	purC//
MalI_neg	ygeA//fabI//
MalT_pos	bioF//malS//luxS//rutD//lpxA//lsrF//
MarA_neg	argG//
MarA_pos	cheB//codA//nadC//accD//ilvM//astA//cysK//patZ//ribA//uxuA//glgA//glgP//upp//metB//ppc//citX//entD//trmA//puuC//pdxA//hcaD//torA//tdcG//
MarR_neg	
MatA_neg	paaG//
MatA_pos	
MazE-MazF_neg	add//
MazE_neg	napB//
McbR_neg	
McbR_pos	
MelR_neg	entH//glpE//
MelR_pos	umpH//nadC//
MetJ_neg	fabD//glxK//gltD//rffM//murF//paaC//nirD//sbcD//icd//caiB//
MetR_neg	citX//
MetR_pos	glcE//serA//phnG//wecE//
MhpR_pos	hcp//nanM//patZ//aroH//serA//glcE//
Mlc_neg	glpX//ynfH//idnK//purE//
MlrA_pos	frdD//
MngR_neg	torC//preA//
MntR_neg	bcsZ//
MntR_pos	udp//
ModE_neg	bioD//apaH//fadD//sbcD//dmsA//ilvA//lldD//nrfC//
ModE_pos	luxS//dhaL//prmC//purK//patD//nanM//moeB//gnd//trpC//
MprA_neg	bglB//sodA//napG//
MqsA_neg	nrfC//yqhD//
MraZ_neg	sucA//ulaE//lsrG//hemA//phoA//caiD//uxuB//gcvP//fadI//lacZ//
MurR_neg	dsdA//glpK//entH//
MurR_pos	
Nac_neg	entE//sbcD//mtlD//
Nac_pos	purK//frdA//hycF//xdhC//tdcG//hycE//fabI//fumB//
NadR_neg	malZ//paaC//umpH//fabG//
NagC_neg	gabT//glcE//ogt//hcaF//ubiC//yqhD//mhpA//kbaZ//ynfF//accC//dadX//entB//murQ//alkB//pnp//bioB//mtlD//glpQ//
NagC_pos	sdhA//waaH//
NanR_neg	ppsA//ravA//rbsD//glmU//iscS//araA//
NanR_pos	
NarL_neg	ygeA//fadB//mazG//purA//lysC//gapA//cyoE//recB//ydcS//hyaA//malP//carA//lsrK//napA//murC//rutA//cysJ//fadA//idnD//murD//murC//cysN//recF//rutB//slt//nrdB//araA//galT//
NarL_pos	prpB//hycG//citX//paaE//uvrB//astE//ssuD//ubiA//puuB//yeaE//patA//hemH//aceB//talA//fumC//
NarP_neg	phnN//folA//nagA//lpd//pgaD//
NarP_pos	frdD//mazG//ada//puuE//phnM//nanE//cynT//dhaL//citC//malP//metH//mhpE//cmoM//metE//
NemR_neg	luxS//udp//
NhaR_pos	lsrG//hcaE//astB//bcsZ//frdC//
NikR_neg	xylB//
NimR_neg	wzb//
NorR_neg	
NorR_pos	carB//
NrdR_neg	alaA//trmA//pgi//cysE//
NsrR_neg	leuA//bioD//purD//cpdB//rutD//nrdA//hcaB//mhpA//prs//cadA//mhpB//argG//bcsZ//aceE//acs//malQ//entD//nadC//aldB//ssuD//ssuD//yqjH//phnL//queA//pyrC//glk//nfsA//gatZ//thrS//fumB//yfdE//truB//mngB//ilvA//hyi//paaJ//bcsB//alsE//grxA//acnA//
NtrC_neg	putA//rffC//
NtrC_pos	metF//citC//srlD//wecE//rffC//murD//murC//metL//preT//citF//xdhB//alkA//glgA//moaD//glpX//lpxA//rbsK//dsdA//hcaC//pnp//ndh//
OmpR_neg	aldA//gor//phnP//ilvM//hycG//
OmpR_pos	allE//puuD//nagB//wecC//
OxyR_neg	lpxD//ilvI//aroA//phnO//dgcN//
OxyR_pos	chbF//purA//iscS//metC//manA//prs//fadE//malS//prpB//xdhA//umuD//chbG//
PaaX_neg	polA//dkgA//murF//purH//aceF//sucC//glsA//citX//manA//
PdeL_pos	ubiC//
PdhR_neg	ftsI//leuA//asnB//gatY//moaE//sucD//dgcZ//xapA//moeB//phnN//astD//hypB//ndh//nadB//fau//garR//malS//caiA//hycF//purC//tdcD//fau//lsrG//
PdhR_pos	citG//prpB//
PepA_neg	galM//icd//
PgrR_neg	argE//edd//
PhoB_neg	ttdB//pncB//adeD//rutA//phnH//
PhoB_pos	uxaA//mpaA//frdC//xapA//tadA//gltA//torA//frdB//araA//pgaC//ynfE//ulaE//prpD//napB//betA//cysK//sucD//
PhoP_neg	ubiA//ahpC//phnO//
PhoP_pos	appA//murD//caiB//cynT//malS//lpxD//cueO//sodB//glpD//argE//xylA//sucD//mltF//trpA//rpiB//ackA//truB//fadJ//pdeH//glgC//rffG//pncB//cyoE//paaK//waaH//sucD//manA//ndh//ilvH//trpC//wzb//
PrpR_neg	
PrpR_pos	tauD//rimK//sbcC//ldtD//
PspF_neg	
PspF_pos	metL//
PurR_neg	rnpB//glpD//tdcB//uvrB//gatD//puuB//mpl//ddlB//avtA//tynA//xapA//cysH//waaH//xylB//frdD//hycD//agp//nanK//aceE//ynfF//fucU//apaH//amn//tdcD//pdeR//adiA//
PutA_neg	fdhF//puuD//
PuuR_neg	phoA//fbaB//lacA//hypF//aceB//glcF//
QseB_neg	
QseB_pos	
RbsR_neg	uxuA//speC//ynfG//lysA//mhpF//
RbsR_pos	gadB//
RcdA_neg	
RcdA_pos	ilvN//
RclR_pos	
RcnR_neg	tktB//
RcsAB_neg	cpdB//
RcsAB_pos	ttdA//avtA//
RcsB-BglJ_pos	fadM//citG//
RcsB_neg	dapD//
RcsB_pos	rutA//cadA//trpB//
RelB-RelE_neg	chbG//
RelB_neg	rsmH//
RhaR_pos	
RhaS_pos	glpK//glk//torC//glk//
Rob_neg	
Rob_pos	adiA//aspC//moaD//truB//lpxC//astC//gpmM//eda//ilvG_1//lpxC//wecE//frdC//ahpC//leuB//purH//trpB//sgbE//deoC//ftnA//
RstA_neg	tauD//fabZ//
RstA_pos	fadA//
RtcR_pos	entF//udp//
RutR_neg	glpC//garR//paaY//pflB//gpmM//citD//accC//gatZ//fabI//malS//
RutR_pos	rutE//
SdiA_neg	
SdiA_pos	
SgrR_neg	napA//
SgrR_pos	putA//bacA//
SlyA_neg	
SlyA_pos	ilvM//ldtD//fabD//patD//cyoE//prpD//xdhA//entA//lhgO//
SoxR_neg	
SoxR_pos	nrdA//
SoxS_neg	
SoxS_pos	tpiA//caiC//mnmG//glyA//gatY//uxaA//pagP//uxaA//glpD//phnG//deoD//yfdE//patD//eda//alaA//astB//gdhA//cadA//pgaB//galT//sgbH//prpD//fdhF//narI//dsdA//paaK//
SrlR_neg	argD//dusB//ilvG_1//
StpA_neg	gcvH//napB//lpxA//
SutR_neg	bacA//astB//
SutR_pos	
TdcA_pos	narH//gadA//murQ//waaH//cpdB//
TdcR_pos	idnD//murE//torC//ulaD//gpsA//
TorR_neg	paaF//
TorR_pos	eda//tynA//amn//ulaE//
TreR_neg	ribA//rfe//
TrpR_neg	gutQ//bcsB//dmsB//purC//speA//fucO//fucK//guaA//sdhA//
TtdR_pos	araA//chbF//
TyrR_neg	pgi//rutB//yqhD//bacA//codA//dmsB//ttdA//
TyrR_pos	fucI//carB//idnK//
UhpA_pos	pdeF//
UidR_neg	gnd//cyaA//
UlaR_neg	fabI//wrbA//paaZ//fau//hypF//
UvrY_pos	srlD//ldtD//
UxuR_neg	sucC//prpC//alkA//sodA//purH//
XapR_pos	rsmA//folA//
XylR_neg	
XylR_pos	lysA//atoA//bcsB//
YdeO_neg	
YdeO_pos	polB//mhpF//ahpF//
YefM-YoeB_neg	caiD//
YefM_neg	pck//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	kbaZ//nfsB//nirB//dgkA//xapA//hypB//
YjjQ_neg	ilvN//caiB//
YpdB_pos	
YqhC_pos	aceF//cynT//
YqjI_neg	caiB//
ZntR_pos	iscS//
ZraR_pos	
Zur_neg	uxuB//
