# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	argD//ampC//
CRP_neg	waaH//nrdA//alaS//glpX//prpC//fdhF//mazG//mraY//fumA//pgaB//fucO//kbaZ//fau//ssuE//nanE//melA//sgbU//icd//allE//cysG//lsrG//ilvI//cynT//sucC//argH//mhpA//sucD//metF//pagP//paaZ//dinB//paaC//uxuB//paaE//bglB//yfdE//sbcD//glpB//nanM//hyaA//gutQ//pflB//ahpC//ilvM//dusB//hchA//sgbH//preT//amn//garD//murD//araA//lysU//cueO//torA//ahpC//alaA//betB//glk//folE//ilvH//ung//argD//thrS//acnA//rtcB//aroA//pgaB//astA//nadC//fabZ//
CRP_pos	fucO//rfe//cysH//serA//moaD//umpH//ynfG//lhgO//cdd//eno//ynfE//sgbE//hycD//glpQ//hflX//araD//pgaB//moaA//sgbU//dapB//glpQ//fadA//ruvB//nadB//ssuD//cdd//srkA//hyaB//rsmH//trpE//uxaA//sbcD//ubiC//sufS//hyaB//uxuA//truB//sdhC//lpxA//sucC//icd//entH//ldtC//aspC//gatD//phnM//fau//ilvG_1//ubiC//yiaK//frdC//nrdD//tpiA//sgbU//sucA//rffC//accD//argA//fucO//nemA//glcE//fabB//citX//waaH//entB//ilvD//frdA//ppiA//sdhC//asnB//garK//idnO//paaB//ansB//cysD//rutE//frdD//fabD//paaY//bioA//glcF//paaE//murE//purH//treC//glxK//hcaF//malQ//argF//frdA//cdd//pykF//allA//feaB//aroG//dmsB//phnG//fucU//aroG//gpmA//grxA//argB//grxA//pncB//uxuB//nanE//ttdB//nrdE//lsrK//accC//malY//gltD//sufS//fabD//glpQ//tadA//dgcC//uvrC//argH//metC//frdA//purC//allA//entF//fadE//pepD//hycD//ppc//murI//ampC//cysH//serC//cysN//napH//dmsC//psd//folE//aceE//yqjH//pck//ilvH//dmsC//gatZ//garD//hycE//ruvA//pflB//hyaC//ilvH//ilvH//asnB//pyrD//pdeL//aldB//yeaE//tyrB//bglB//upp//aceE//phnI//glyA//galM//ogt//allA//lysA//aldA//rimK//sucD//purE//gltB//idnO//pdeH//napH//cyoE//cynT//dmsA//fucA//ycjG//astA//uxaA//gltB//manA//adiA//kbaZ//sucC//leuD//garD//speB//entA//entE//pagP//rtcB//cysM//nfsB//pgaB//ampC//mhpA//dgcC//nrdF//purH//allE//gabT//purB//glpA//kbl//hchA//umuD//hycB//prpE//fucU//ddlB//aroH//ybjG//umuC//prmC//cyaA//aroA//gcvT//prpD//aspC//dadA//caiC//ycjG//waaZ//mpl//dhaK//hycG//fucA//napA//fabA//mhpA//dkgB//queA//upp//narI//argA//argF//napH//fabA//nrdF//ygeA//dinB//ulaE//eda//astE//napH//ampD//metC//aldA//
CadC_pos	fbaA//dhaL//pykF//
CaiF_pos	pyrC//lsrF//amiA//astD//arsC//
Cbl_pos	metE//fdhF//fadH//speB//ldtD//
CdaR_pos	alkA//argI//astE//tdcD//nirD//leuD//sgbU//slt//treC//
CecR_neg	folE//
ChbR_neg	phnI//gpmM//lldD//
ChbR_pos	pheS//murG//purK//
ComR_neg	
CpxR_neg	cdd//deoC//ahpC//
CpxR_pos	ubiC//ssuE//ndh//nrfA//uxaB//pyrD//alkA//speC//patZ//accD//purA//hycD//nadC//entH//gdhA//purH//umuC//trpA//
Cra_neg	gutQ//tauD//argD//malS//luxS//gatZ//ilvN//ilvH//katG//malQ//upp//uxaC//patA//glpC//tnaA//chiA//rffH//cheR//pgaB//fabZ//citE//sucA//ybjG//uvrC//lacA//fucA//pepD//appA//nadA//dhaM//oxc//icd//cysJ//dgcN//tktB//asnA//dapD//dapD//ubiG//fucU//hcaB//nadC//glpQ//rsmH//pnp//
Cra_pos	ada//phnG//gcvP//acnA//adhE//mhpF//purH//aldA//pdeR//hcaC//tyrA//bioF//hemF//hmp//frdC//serC//ruvB//
CreB_neg	glk//
CreB_pos	agp//
CsgD_neg	lpxA//trpA//
CsgD_pos	moeB//trmD//gutQ//
CsiR_neg	acnA//ydcS//garD//ilvB//
CspA_pos	ilvH//
CueR_neg	hcaB//ubiC//atoB//
CueR_pos	sgbE//asnA//
CusR_pos	cynS//pnp//ilvE//eno//
CynR_neg	
CynR_pos	mpl//leuC//cyoE//
CysB_neg	aceB//sdhA//ilvH//
CysB_pos	hypB//rimK//xdhB//cysK//pdxA//nadB//nemA//codA//ansB//recB//purA//moaD//psd//fruK//
CytR_neg	purN//leuA//ogt//purC//apaH//ampC//cheB//metK//nadC//caiD//
DcuR_pos	kbl//bioF//talA//glpX//
DeoR_neg	trpA//treC//paaY//trpD//lysA//nrfA//
DhaR_neg	
DhaR_pos	upp//
DicA_neg	
DinJ-YafQ_neg	lsrF//
DnaA_neg	leuA//nrdA//hpt//xdhC//tyrB//
DnaA_pos	phnL//dhaL//ansB//
DpiA_neg	
DpiA_pos	allA//mpl//uvrC//speC//cheB//
DsdC_neg	
DsdC_pos	kbaY//aldB//
EbgR_neg	
EnvR_neg	pgpC//ilvG_1//
EnvY_pos	wzc//rsmA//
EvgA_pos	avtA//nanA//preT//yeaG//lysC//fabZ//
ExuR_neg	ubiA//astC//glpK//leuD//cheR//pheS//
FNR_neg	glnA//glpQ//mhpB//rffH//aceE//ygeA//ugpQ//deoD//idnK//gpmM//lsrF//garD//tdcE//gltX//rhaD//frdC//glmU//aspA//cyoE//fucI//dgcC//srlD//epd//prpD//hpt//moeA//treC//gcd//dadA//thrS//caiD//gltB//pgaD//mhpA//recF//nanK//xdhC//gpmA//uxuB//cysN//atoD//lacA//rhaD//frdB//
FNR_pos	kbl//leuB//moeA//rutC//umuD//hemA//mpl//murI//allB//purF//leuC//trpA//glcF//gor//hcaC//yqjH//ilvM//prpE//gatY//uxuB//phnH//glk//entE//mhpC//torC//idnD//yqjH//argB//deoB//ilvI//sdhA//ribA//alaC//paaA//nagB//ppiA//aroL//araD//uvrA//argA//amn//pheT//eno//glcB//lpxD//ychF//hycB//ruvB//add//sbcD//yeaG//moaE//accD//entH//ldtC//ribA//entF//dacC//atoA//lacZ//nagA//katG//fucO//ydcS//trmD//iscS//iscS//argI//lsrF//bioF//phnL//trpD//fabI//hcaC//alsE//frc//caiD//mhpB//frc//gcl//fdhF//cheR//ruvB//wzc//carB//napH//agp//hpt//argG//frdB//trpA//cynS//napA//uxaA//yeaE//purB//
FabR_neg	ilvH//purH//tdcB//
FadR_neg	ppc//rsmA//allD//rffT//purK//dadX//gadB//cyaA//fucU//
FadR_pos	dhaL//rsmA//gdhA//preT//xylB//metA//nirB//murI//galT//tam//
FeaR_pos	narG//glpE//
FhlA_pos	umuC//eda//paaZ//hmp//leuC//ampD//metC//atoD//
Fis_neg	katE//mraY//hemH//mazG//ulaF//nrfC//lldD//gadA//cysJ//ubiX//frc//allD//sucC//napB//ilvM//glgX//cysK//argH//recF//pflB//gabD//preA//aspC//prpB//tdcB//nanE//hemL//astD//araA//fabG//dusB//sucB//fdhF//astC//adeD//cysC//speA//araB//lpd//uxaA//xylA//rutD//citE//trpD//gutQ//trpE//
Fis_pos	eda//uidA//alkA//sucA//citX//glpC//frdC//speB//xdhA//citG//galM//mdh//prpD//dmsB//prmC//nadA//agp//xapA//moaD//narI//metA//lpxD//folA//gutQ//ddlB//idnK//uxaC//asnA//ugpQ//accA//ynfH//slt//ulaG//chiA//gabT//amiA//queA//
FlhDC_neg	adeD//nrfC//
FlhDC_pos	glmU//moeB//murE//cpdB//tynA//hcp//katE//glpK//slt//prmC//hypB//cynS//
FliZ_neg	nirD//cadA//hpt//prpB//prs//
FucR_pos	argC//cheR//pheS//sbcD//poxB//fucK//
Fur_neg	nfsB//ssuD//adhE//cysK//phnP//deoB//sufS//sdaA//polA//upp//relA//galE//rffH//paaZ//acnB//pgm//mngB//fucU//ilvB//dinB//ftsI//hcp//mdh//gatD//murQ//dusB//ulaD//aceA//citD//truB//hycB//purA//entF//ugpQ//metC//bcsZ//glpX//sucB//entF//purK//grxA//uxaA//citF//purC//purF//pfkA//deoD//leuD//rffM//nrdD//gltD//sodA//hcaB//
Fur_pos	phnJ//slt//yqjH//dmsB//sodA//glgB//patA//yqjH//tdcD//allA//hemA//trpA//nagA//queA//hmp//gltD//
GadE-RcsB_pos	hmp//rffM//fabD//nemA//pgaB//
GadE_pos	aldB//wzb//cyoE//hchA//edd//udp//moeB//hemA//glgC//yeaE//
GadW_neg	hmp//nanA//ahpF//
GadW_pos	moeB//pagP//deoD//prmC//
GadX_neg	ddlB//luxS//
GadX_pos	torA//xdhA//wzb//galM//rnpB//hycG//chbF//gapA//gltB//cheB//fbaA//
GalR_neg	paaK//narI//wzc//argH//rffT//ygeA//
GalR_pos	murQ//dusB//melA//phnM//
GalS_neg	guaB//aspA//asnB//sucB//dgcN//recD//
GalS_pos	hchA//pgaD//glmS//recF//
GatR_neg	bcsB//hemF//yfdE//
GcvA_neg	fabZ//aceB//codA//
GcvA_pos	fumA//ycjG//ulaG//
GlcC_neg	
GlcC_pos	ogt//metL//preT//
GlpR_neg	mnmG//purE//hemA//polB//sucB//metK//narH//
GlrR_pos	
GntR_neg	hyi//phnN//glpX//cysE//bacA//pheT//glnA//gabD//psd//
GutM_pos	gltX//metE//ilvD//
H-NS_neg	nirD//nrfC//grxA//sdaA//lhgO//gltD//phnM//allA//lpxA//sucC//nrfC//glcE//wecE//allC//hemH//mngB//leuD//pheS//glcE//uxaB//glsA//trpA//glgX//astB//nrfA//frdC//aceE//eno//rhaD//cueO//rhaB//hypB//pepD//entF//astE//lacA//tauD//rhaB//sucB//guaA//glnA//tadA//cyaA//argC//hcaC//purM//entA//metF//prpC//hcaC//ansB//
H-NS_pos	lpxC//edd//torA//phnI//moaE//frdA//sucB//patZ//purN//dapD//lpxD//pdeF//araD//nanE//relA//
HU_neg	sgbU//entC//entA//recB//cueO//fabG//phnG//
HU_pos	
HcaR_neg	
HcaR_pos	torC//iscS//
HdfR_neg	
HdfR_pos	
HigA_neg	entF//
HigB-HigA_neg	astB//
HipAB_neg	acs//rtcA//
HipB_neg	paaB//dapB//nadA//
HprR_neg	dadA//serA//
HprR_pos	ulaE//napG//
HyfR_pos	dmsC//
HypT_neg	sbcD//dhaK//
HypT_pos	xdhB//zwf//bioF//fau//galM//
IHF_neg	pagP//phnP//cysJ//argI//lysU//mraY//purF//astC//nanM//rutC//ilvD//gadA//acs//metL//narI//ldtB//hycD//trpD//prpC//ilvH//recB//hpt//mnmG//nadC//hypF//purK//speC//hchA//dkgA//metK//deoC//ulaE//dkgB//mhpC//gdhA//nanA//fabD//ruvB//recD//cysD//nrdB//tauD//citE//
IHF_pos	alkB//dsdA//torA//murF//sucC//hemL//asnA//gutQ//hycD//preT//bioB//nrfA//ilvC//bacA//bglB//amn//prpE//thrS//alsE//yiaK//paaI//astB//garR//argA//galM//tdh//ilvG_1//fucA//dkgA//gpsA//bioF//cadA//epd//chbF//rutD//phnJ//caiA//uvrB//dacC//oxc//fadI//puuE//astC//preT//tpiA//ulaE//glcE//acnA//sucA//dhaM//hcaB//nrdE//pgaC//murF//icd//cysH//dgcN//rtcB//gntK//hcp//tdcE//truB//murI//lsrG//patD//lpd//aroG//pgaD//phnM//bioB//accD//
IclR_neg	mhpC//fadA//grxA//
IdnR_neg	treC//ynfH//
IdnR_pos	gutQ//chbF//trpC//glxK//
IlvY_neg	
IlvY_pos	gadA//
IscR_neg	torC//atoA//prs//trmD//gnd//amn//
IscR_pos	paaZ//fabA//
KdgR_neg	fbaB//ndh//
KdpE_pos	murD//
LacI_neg	dhaM//preA//deoA//
LeuO_neg	
LeuO_pos	ulaF//tyrB//aldA//ampD//galK//gcl//
LexA_neg	cysK//glsA//speA//cdd//metK//phnI//ruvB//ilvN//cysK//kbaY//uvrB//gltX//patD//tam//glcD//fbaA//allD//idnD//hypF//yfdE//frc//katG//paaB//
LldR_neg	wecB//ilvD//
LldR_pos	cueO//polA//
LrhA_neg	
LrhA_pos	
Lrp_neg	trpE//paaC//fabZ//rtcB//ygeA//ppc//rhaA//grxA//patA//fadJ//folA//pfkA//udp//adiA//hemL//cpdB//rutC//cysD//hycD//hypB//serC//dadX//sgbE//
Lrp_pos	codA//argG//cysN//sdhB//dmsC//tyrB//cysE//aspA//fucU//cysC//moaD//carB//queA//purC//umpH//aspC//trpA//aspC//ahpC//moaD//
LsrR_neg	ogt//entH//wzb//deoC//hypF//
LysR_neg	
LysR_pos	ppiA//
MalI_neg	argG//yeaE//
MalT_pos	kbaZ//lsrF//pheT//grxA//phnO//ilvI//
MarA_neg	hycF//
MarA_pos	dgcC//upp//gltB//tauD//murE//lysC//paaH//murQ//glmU//ulaD//wecE//serC//gabT//dapD//fucO//bioC//garK//gudD//ftsI//cadA//aroL//garK//malQ//
MarR_neg	
MatA_neg	murG//
MatA_pos	
MazE-MazF_neg	gltX//
MazE_neg	mhpB//
McbR_neg	
McbR_pos	
MelR_neg	ynfG//hycC//
MelR_pos	sucA//sdaA//
MetJ_neg	pgaB//pgm//adhE//recF//fbaB//dmsB//edd//paaZ//bioF//wzc//
MetR_neg	aldA//
MetR_pos	gltD//ruvB//gatD//pgaD//
MhpR_pos	bcsZ//glsA//fabI//mltF//adiA//glmU//
Mlc_neg	paaI//caiD//thrS//ldtC//
MlrA_pos	ychF//
MngR_neg	agp//mnmG//
MntR_neg	ldtC//
MntR_pos	fdhF//
ModE_neg	wecB//prpC//glgB//ansB//cysJ//phnI//puuA//ilvI//
ModE_pos	pdeH//dapB//mpl//gatY//nrfC//fadJ//rffM//iscS//ilvH//
MprA_neg	citC//pykF//aceB//
MqsA_neg	rffT//ubiG//
MraZ_neg	nfsB//entH//phnJ//deoA//dgcN//moaA//ilvC//gltB//acnA//hpt//
MurR_neg	lyxK//glk//amiA//
MurR_pos	
Nac_neg	entF//ldtB//rnpB//
Nac_pos	murF//moaD//glpX//rutC//preA//pnp//cmoM//galK//
NadR_neg	atoB//aceF//atoD//lsrF//
NagC_neg	paaZ//entE//citE//dhaL//pgi//fumA//aceE//ppc//agp//aldA//nfsA//purH//codA//xylB//deoA//glpQ//nrfC//ssuD//
NagC_pos	upp//fruK//
NanR_neg	rffG//fbaB//glxK//purN//ftnA//glxK//
NanR_pos	
NarL_neg	caiB//nrfC//cysM//psd//rpiB//ilvB//ampD//aspA//leuA//ruvB//ychF//dgcN//glyA//purB//prpC//psd//purE//speC//paaI//xapA//rffH//murE//hcaE//yqhD//mraY//betA//galE//trmD//
NarL_pos	pdeR//kbaY//alaC//allA//codA//cysN//hemA//fadE//aceB//xdhB//metK//psd//rtcB//puuC//glgA//
NarP_neg	pdeF//cpdB//grxA//sdaA//cysD//
NarP_pos	narI//amiA//deoC//sgbE//ybjG//murE//pyrC//argC//umuD//garK//atoA//carA//hypB//ravA//
NemR_neg	grxA//dacC//
NhaR_pos	aroL//fadI//yqjH//puuB//citG//
NikR_neg	purF//
NimR_neg	chbG//
NorR_neg	
NorR_pos	gadB//
NrdR_neg	lpd//serC//asnB//dgcN//
NsrR_neg	trpB//citE//ada//yqhD//atoD//asnB//nirD//sucB//epd//moaE//ftnA//bioC//pgm//allE//metK//sbcC//glpB//nrdE//sdhD//dinB//dhaL//lpxA//gatY//ftsI//amn//aroG//murI//uxaC//ulaE//citC//argF//murC//trmA//pgm//bioC//narG//galK//mhpC//appA//atoA//
NtrC_neg	astC//fucI//
NtrC_pos	glcE//treC//rffT//mhpC//uxaC//uvrB//carA//ssuD//ahpC//purD//adiA//dhaM//garK//eno//napA//ttdA//lpd//recF//glpB//mhpD//gloA//
OmpR_neg	aspA//aroG//appA//apaH//puuD//
OmpR_pos	ynfF//purH//phnI//ilvD//
OxyR_neg	gatY//alsE//ascB//ravA//ybjG//
OxyR_pos	chiA//rfe//ilvI//glgB//fadI//murI//torC//caiD//mpaA//hcaF//amn//astD//
PaaX_neg	gcd//ssuD//rbsK//ycjG//gapA//hyi//trmA//putA//umuC//
PdeL_pos	galE//
PdhR_neg	cysN//tyrB//dsdA//pdeH//purA//entH//rffT//alsE//phnH//chiA//dapD//glk//phnL//rutB//trpA//narI//prpC//cmoM//nanA//bcsB//cyaA//sdaA//uvrA//
PdhR_pos	phnI//fbaA//
PepA_neg	pheS//hcaE//
PgrR_neg	cysK//nrfD//
PhoB_neg	pykF//gcvT//lhgO//lsrG//lsrF//
PhoB_pos	yeaG//dgcZ//rimK//speC//guaA//ygeA//trmD//melA//lysU//hcp//waaH//aldB//lacZ//glpD//entB//dapB//metB//
PhoP_neg	mhpB//epd//glcE//
PhoP_pos	gutQ//alsE//galK//rnpB//metK//gatD//putA//hemA//ynfE//fruK//fabA//ybjG//garR//gor//betA//purD//caiD//allB//ppiA//fau//tauD//trpD//dhaL//purN//hycD//yedX//atoD//lpd//ulaE//ogt//mnmG//
PrpR_neg	
PrpR_pos	apaH//entF//ydcS//mnmG//
PspF_neg	
PspF_pos	dgcC//
PurR_neg	phnI//adiA//ampC//lhgO//guaB//caiA//dhaL//dapB//purF//garD//metA//trpD//apaH//murG//chbF//galK//hyi//katE//mhpE//cheB//tehB//murG//serC//asnB//astE//cysK//
PutA_neg	murC//yedX//
PuuR_neg	puuC//aceF//puuD//ilvN//hyaA//leuC//
QseB_neg	
QseB_pos	
RbsR_neg	rsmA//appA//aroH//alaC//malY//
RbsR_pos	sucC//
RcdA_neg	
RcdA_pos	hcaE//
RclR_pos	
RcnR_neg	pflB//
RcsAB_neg	rutE//
RcsAB_pos	mhpB//cadA//
RcsB-BglJ_pos	galT//arsC//
RcsB_neg	fucA//
RcsB_pos	entF//idnD//folE//
RelB-RelE_neg	fabZ//
RelB_neg	glcF//
RhaR_pos	
RhaS_pos	ascB//nanA//alkA//sgbU//
Rob_neg	
Rob_pos	asnA//betB//gdhA//dkgB//lpxD//argA//lpxA//guaB//codA//metF//phnO//tdcE//pagP//fabG//glgB//hchA//patD//frdB//amiA//
RstA_neg	bioD//lysU//
RstA_pos	queA//
RtcR_pos	gltA//dusB//
RutR_neg	kbaY//pdxA//chiA//hyaC//glmU//ppsA//mpaA//fucA//phnG//dmsC//
RutR_pos	glgX//
SdiA_neg	
SdiA_pos	
SgrR_neg	nrfA//
SgrR_pos	tdcE//ilvH//
SlyA_neg	
SlyA_pos	paaZ//dhaM//moaA//cysH//speC//preT//arsC//purM//fadM//
SoxR_neg	
SoxR_pos	napH//
SoxS_neg	
SoxS_pos	bioB//yedX//metA//ilvA//arsC//gcd//dhaM//dadX//recF//trpB//metC//hcaF//feaB//appA//paaF//kbl//murE//dapD//trmA//prmC//rtcB//glgA//glpC//add//alaC//malQ//
SrlR_neg	leuD//feaB//fruK//
StpA_neg	pdeH//dacC//pheS//
SutR_neg	wecB//fabB//
SutR_pos	
TdcA_pos	mnmG//ruvB//ilvG_1//allD//dapD//
TdcR_pos	cueO//hemL//dgcN//cysN//trpE//
TorR_neg	lpxA//
TorR_pos	rnpB//malZ//pdeL//alsE//
TreR_neg	tadA//tktB//
TrpR_neg	phnN//pgaB//sdhC//ppsA//rutD//treC//gntK//ppiA//caiC//
TtdR_pos	mngB//metA//
TyrR_neg	srlD//frdB//tdcG//ppc//ynfH//dacC//leuB//
TyrR_pos	sdhC//pnp//paaJ//
UhpA_pos	fadE//
UidR_neg	fbaA//accA//
UlaR_neg	lysC//codA//srkA//sgbE//narG//
UvrY_pos	guaA//gatD//
UxuR_neg	alaA//hemF//phnM//speB//waaH//
XapR_pos	mhpE//gcd//
XylR_neg	
XylR_pos	phnM//astC//pheT//
YdeO_neg	
YdeO_pos	truB//ilvH//ldtC//
YefM-YoeB_neg	gltD//
YefM_neg	dgcN//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	dgcZ//frc//ampC//gltA//hpt//gatZ//
YjjQ_neg	bioA//deoD//
YpdB_pos	
YqhC_pos	cysH//rbsK//
YqjI_neg	metE//
ZntR_pos	fabH//
ZraR_pos	
Zur_neg	glmS//
