# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	fadA//gatZ//
H-NS_pos	fabH//lpxC//yiaK//pgm//cyoE//idnO//mdh//citF//appA//hycC//yeaG//tktB//rutA//guaA//ygeA//
HU_neg	hyi//paaY//srlD//hmp//pgpC//hemF//moeA//
HU_pos	
HcaR_neg	
HcaR_pos	entD//ruvB//
HdfR_neg	
HdfR_pos	
HigA_neg	fumA//
HigB-HigA_neg	murC//
HipAB_neg	paaB//psd//
HipB_neg	ttdB//cheR//nrdE//
HprR_neg	sodA//gpmA//
HprR_pos	iscS//glgP//
HyfR_pos	pepD//
HypT_neg	garL//cysJ//
HypT_pos	puuC//glpX//hypF//nrdA//galT//
IHF_neg	entD//nrdF//dsdA//ampD//hcaF//fadH//citX//dapB//appA//hypB//yeaG//trmD//waaH//nrdB//deoA//glgP//trpA//ppsA//uxuA//ubiG//fruK//mraY//nemA//mpaA//pyrD//rutA//garD//moaD//aroA//ravA//prmC//idnK//hchA//uvrC//glpC//katE//astA//fadM//fumC//gadB//bioC//nrdD//speB//
IHF_pos	fruK//ilvH//moaC//cysI//icd//cadA//hycD//argB//metK//trmA//wzc//glgB//ccp//hcaC//xylB//gltA//tdh//sgbH//glpD//ppiA//purA//sgbH//murF//ulaE//deoD//adiA//fucU//gpsA//nrdB//allE//ilvN//fabG//frdB//citF//kbl//dinB//malY//tadA//tynA//frdA//purN//atoD//dapD//alaS//dgkA//uvrB//uidA//ccp//torA//uvrC//gpmA//paaZ//gpmM//malY//alaS//prmC//mtlD//luxS//cysJ//appA//trmD//hmp//tyrB//serC//sgbH//hcaB//aroL//iscS//speC//speC//pgpC//
IclR_neg	rffT//puuA//trpE//
IdnR_neg	xylA//lsrG//
IdnR_pos	nagA//lpxD//entH//prs//
IlvY_neg	
IlvY_pos	moaC//
IscR_neg	pgm//citD//rpiB//kbaZ//fadE//nrdF//
IscR_pos	rimK//ilvD//
KdgR_neg	kbl//entE//
KdpE_pos	metF//
LacI_neg	phnL//glpC//dhaK//
LeuO_neg	
LeuO_pos	glgC//ynfH//galM//tynA//tauD//glgP//
LexA_neg	galM//fabD//lsrK//umpH//purM//pfkA//ubiA//dapB//fabB//melA//fumA//fadM//ung//gor//nfsB//nadC//deoD//nrdA//fabD//hycD//guaA//tdh//bcsZ//
LldR_neg	oxc//yqjH//
LldR_pos	bcsB//nanK//
LrhA_neg	
LrhA_pos	
Lrp_neg	ycjG//lacZ//pfkA//aceB//ampC//betA//cmoM//dadA//guaA//ilvM//alaA//purL//trmD//rhaB//mtlD//glsA//tam//mhpB//paaE//phnI//lacZ//mdh//tdh//
Lrp_pos	nrdA//dapD//lpxD//cadA//hcaC//ahpC//allA//prpB//purB//fumC//citE//betB//fumC//betB//tktB//purM//gpsA//glgP//paaH//gatD//
LsrR_neg	pflB//ilvN//purD//purK//ampC//
LysR_neg	
LysR_pos	asnB//
MalI_neg	gutQ//ulaF//
MalT_pos	allA//tktB//cynT//recF//hycF//sucD//
MarA_neg	rimK//
MarA_pos	cysN//amn//eda//cysM//manA//edd//galT//paaA//hcaD//trpD//astA//glpB//pdeH//patZ//rsmH//citD//alkA//ampD//murQ//agp//nadC//chbF//bacA//
MarR_neg	
MatA_neg	pdeF//
MatA_pos	
MazE-MazF_neg	leuA//
MazE_neg	entB//
McbR_neg	
McbR_pos	
MelR_neg	rfe//rhaA//
MelR_pos	lpxA//ndh//
MetJ_neg	frdB//glgX//glxK//ugpQ//purD//cheR//chbG//rffH//dsdA//nrfA//
MetR_neg	mhpC//
MetR_pos	ilvG_1//alaC//ascB//ilvE//
MhpR_pos	tdcE//nrdE//phoA//cyoE//lpxD//cueO//
Mlc_neg	alaC//ilvM//tynA//tdcG//
MlrA_pos	apaH//
MngR_neg	gabD//ygeA//
MntR_neg	trpB//
MntR_pos	caiD//
ModE_neg	sodB//murQ//glgA//paaF//alaA//caiD//gdhA//glpE//
ModE_pos	uvrA//ulaG//metA//ssuE//uidA//rimK//lsrK//lysA//bacA//
MprA_neg	cpdB//nirB//araA//
MqsA_neg	treC//folA//
MraZ_neg	sgbU//uxaB//uvrB//sdhB//glmS//cmoM//moaD//dadX//waaZ//ubiG//
MurR_neg	katE//ftsI//appA//
MurR_pos	
Nac_neg	serC//nrdE//slt//
Nac_pos	gutQ//prmC//ilvB//kbl//rffC//aldB//cheR//rbsD//
NadR_neg	gutQ//pgaB//ilvA//ttdB//
NagC_neg	glpE//yedX//ampC//pncB//feaB//atoD//ftnA//ilvC//mnmG//ruvB//carA//folA//phnP//uxuA//puuA//hyaB//ilvH//ampD//
NagC_pos	nfsA//fabB//
NanR_neg	lpxD//narI//uxaB//ilvA//paaF//lyxK//
NanR_pos	
NarL_neg	frdC//gatZ//dgcC//rffH//cynS//astC//murF//nfsA//polA//aceE//murC//aceB//cyoE//ftnA//lacA//entC//gatY//lhgO//metH//speA//ruvB//malQ//talA//ilvE//gnd//fucA//glpC//cysK//
NarL_pos	lsrF//gatY//murQ//serA//citD//nagA//cysC//aroH//entB//glpD//appA//purN//cynS//dkgB//citG//
NarP_neg	queA//dgcZ//caiD//adiA//gcvH//
NarP_pos	tyrA//paaY//speB//uvrB//ppsA//uxuA//pdeF//tktB//rffC//ugpQ//aldB//argH//purF//rffT//
NemR_neg	lysU//leuB//
NhaR_pos	idnK//glpB//bioC//rutD//purN//
NikR_neg	malY//
NimR_neg	pdeH//
NorR_neg	
NorR_pos	glsA//
NrdR_neg	sdhC//ccp//nrfC//gatY//
NsrR_neg	yqjH//pgk//tktB//tdcD//frdC//fucO//ugpQ//fbaB//alaA//hcp//luxS//fabZ//cueO//dkgB//cysC//gadA//deoD//frc//nfsA//ansB//metK//gabT//ydcS//ugpQ//rnpB//cysI//mltF//prs//tdh//frc//lacA//entE//argC//paaF//cysK//xdhB//glpA//hchA//puuE//hpt//
NtrC_neg	gltB//pykF//
NtrC_pos	astE//mhpE//moeA//purB//rtcA//astA//gcvT//asnA//moaA//bglB//entB//fumA//moaD//glgC//metL//cynS//astB//glcE//fabI//rutE//hycD//
OmpR_neg	fabG//nadA//pgaB//hyaA//torA//
OmpR_pos	paaF//gloA//gcl//amn//
OxyR_neg	gpmA//phnG//paaF//accC//pyrD//
OxyR_pos	preT//trmA//katG//rffG//fumC//dsdA//glcD//tktB//add//paaA//polA//entE//
PaaX_neg	dadA//glgP//hpt//glgB//waaY//rbsK//glyA//lsrG//deoC//
PdeL_pos	garK//
PdhR_neg	talA//rpiB//fadE//ahpC//gcvT//tktB//phnN//nrdD//pgm//prs//dhaM//phr//lpd//ilvC//yqhD//fruK//ilvG_1//mraY//cysH//katG//gltB//tynA//aceB//
PdhR_pos	rutD//argD//
PepA_neg	nadB//lsrK//
PgrR_neg	glcD//rutE//
PhoB_neg	mhpD//lyxK//uxaC//glpE//nfsB//
PhoB_pos	ilvG_1//srkA//deoB//ugpQ//speB//gltX//fabZ//astA//sucD//araD//ccp//gor//purB//nrdA//cyaA//dgkA//frdA//
PhoP_neg	fruK//rffC//rffM//
PhoP_pos	cueO//argF//kbaY//gpmM//glgB//tauD//metF//wzc//glpB//argF//rutA//cynS//puuA//pykF//gatZ//phnL//leuC//iscS//malY//murC//kbaY//phnM//lpd//puuC//gloA//alaC//mdh//accD//accA//purH//citX//
PrpR_neg	
PrpR_pos	sdhA//entE//ampD//deoB//
PspF_neg	
PspF_pos	paaB//
PurR_neg	cueO//mazG//murD//murG//yfdE//deoB//rutE//glpB//lpxD//sbcC//paaJ//aspA//hemA//ampD//fbaA//ldtC//edd//waaZ//purH//rutE//gapA//murD//ftsI//aroA//lysA//napH//
PutA_neg	hycF//pyrD//
PuuR_neg	patA//lpxC//gdhA//lyxK//ychF//adhE//
QseB_neg	
QseB_pos	
RbsR_neg	adhE//citG//glcE//pflB//gpsA//
RbsR_pos	edd//
RcdA_neg	
RcdA_pos	ackA//
RclR_pos	
RcnR_neg	trpD//
RcsAB_neg	acnA//
RcsAB_pos	metA//wecB//
RcsB-BglJ_pos	serC//mdh//
RcsB_neg	murD//
RcsB_pos	rsmH//mpaA//cysN//
RelB-RelE_neg	paaZ//
RelB_neg	bcsZ//
RhaR_pos	
RhaS_pos	glpC//umuD//ygeA//sucB//
Rob_neg	
Rob_pos	fadA//aroG//apaH//lpxA//deoD//speB//cyoE//nrfC//hemH//wrbA//rbsD//gloA//pgpC//dgcC//trpD//lacA//astB//bioB//cysJ//
RstA_neg	phnN//frdC//
RstA_pos	bioC//
RtcR_pos	sufS//ubiG//
RutR_neg	recD//hchA//dgkA//glpQ//fadE//caiA//bioD//garR//ubiX//glyA//
RutR_pos	mhpD//
SdiA_neg	
SdiA_pos	
SgrR_neg	tyrB//
SgrR_pos	ygeA//hflX//
SlyA_neg	
SlyA_pos	gcl//carB//paaY//mltF//caiD//yiaK//glcE//patA//xdhB//
SoxR_neg	
SoxR_pos	kbaZ//
SoxS_neg	
SoxS_pos	umuC//gadA//ampD//wecB//gor//moaA//lacA//astC//gltA//rpiB//rtcB//lysA//tynA//hcaE//bcsB//trpA//murG//speB//bioF//paaC//fabD//deoD//argC//aldB//alkA//asnA//
SrlR_neg	pgpC//patD//ppiA//
StpA_neg	fumB//dmsB//nirD//
SutR_neg	sucB//fadD//
SutR_pos	
TdcA_pos	xdhB//rnpB//mpaA//glpB//fadD//
TdcR_pos	rfe//glpE//yqhD//pdeR//chbG//
TorR_neg	yfdE//
TorR_pos	pgaB//manA//prpE//paaC//
TreR_neg	hypF//uxuA//
TrpR_neg	yfdE//argF//ssuD//fucU//dmsC//garK//dkgA//entE//gpmA//
TtdR_pos	sucB//ugpQ//
TyrR_neg	ada//hypB//glmU//hcaD//lacA//lhgO//nfsB//
TyrR_pos	kbaZ//agp//nrfC//
UhpA_pos	gutQ//
UidR_neg	mpl//deoB//
UlaR_neg	purD//patD//xdhB//xapA//rutD//
UvrY_pos	thrS//caiA//
UxuR_neg	wrbA//tyrA//paaJ//idnK//bioC//
XapR_pos	hcp//fumC//
XylR_neg	
XylR_pos	gpsA//glpK//mngB//
YdeO_neg	
YdeO_pos	atoB//asnB//ravA//
YefM-YoeB_neg	galE//
YefM_neg	adeD//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	paaK//mhpA//phnI//epd//ribA//epd//
YjjQ_neg	argC//ldtC//
YpdB_pos	
YqhC_pos	tehB//garR//
YqjI_neg	umuC//
ZntR_pos	galK//
ZraR_pos	
Zur_neg	malS//
