# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	relA//fdhF//
CusR_pos	dgcN//lacZ//paaK//fadJ//
CynR_neg	
CynR_pos	allD//ynfF//frdC//
CysB_neg	entC//cueO//glpB//
CysB_pos	rbsD//phnG//deoB//rhaB//glpC//atoD//purE//gcvT//trmA//uvrB//cysG//rimK//wzb//xapA//
CytR_neg	hycG//glxK//torC//ilvE//sdaA//ilvA//rhaB//ampC//dmsB//trmD//
DcuR_pos	carB//ilvI//glpQ//malY//
DeoR_neg	tdh//allE//glnA//kbaY//fucU//mltF//
DhaR_neg	
DhaR_pos	torC//
DicA_neg	
DinJ-YafQ_neg	dgcN//
DnaA_neg	rsmH//cysK//folE//astB//murF//
DnaA_pos	citC//dacC//aroG//
DpiA_neg	
DpiA_pos	glgC//pyrD//deoB//adiA//ruvB//
DsdC_neg	
DsdC_pos	glgP//ilvD//
EbgR_neg	
EnvR_neg	araB//phnO//
EnvY_pos	adiA//metA//
EvgA_pos	feaB//adiA//mraY//trpC//sucA//nagA//
ExuR_neg	dmsC//wecC//astD//xdhA//ndh//fabD//
FNR_neg	argF//gatD//entC//leuC//hycC//ulaD//leuB//lpxA//feaB//lldD//malP//fes//paaG//hpt//idnK//gapA//fadI//rffH//entD//hycF//araD//puuB//nrdA//gltA//dmsC//phnH//metL//ycjG//folE//nadA//lacZ//tdcD//rfe//hyi//argA//fumC//aldA//rpiB//glgB//preT//chbG//paaA//entH//ppc//
FNR_pos	carA//cysG//argH//sucB//paaB//paaE//pepD//gabD//murI//rffG//mpaA//moaE//glk//luxS//cmoM//pdeL//hycE//rnpB//relA//fabB//appA//pdeR//treC//ybjG//glpB//mngB//aceB//add//codA//gcd//zwf//mdh//moaD//atoA//feaB//bioF//ribA//hcp//ung//glxR//phnJ//fadI//serC//fabZ//atoA//allA//moeA//pfkA//bglB//lsrK//uxaC//serA//argA//wecB//glpA//ilvG_1//upp//citX//ldtD//sodB//paaF//moaE//wecC//rffH//aroF//ulaD//paaZ//hchA//patA//treC//hypF//murQ//ulaD//rimK//pyrC//sucD//tdcB//dkgB//moeA//ttdB//aroH//tyrB//gadB//galM//ubiG//eno//tyrA//glpC//tynA//gatZ//nfsA//agp//ackA//leuA//betB//pncB//
FabR_neg	narH//ccp//metA//
FadR_neg	pgaD//atoD//ulaE//wecE//puuD//mhpF//carA//dacC//fabZ//
FadR_pos	pheT//torA//alaS//mhpD//recD//xdhB//dhaK//ubiX//purM//alsE//
FeaR_pos	ogt//mdh//
FhlA_pos	wrbA//mraY//lpxA//ahpF//metH//murQ//rfe//katE//
Fis_neg	dsdA//fes//phoA//gutQ//sodB//glgA//ftnA//gor//aceE//acnB//rutC//glpA//patD//atoB//ndh//patZ//gpmM//ruvB//rffH//hcaE//oxc//idnO//argA//folA//cysD//gpmA//psd//aspA//sodA//malY//hycF//tdcE//fadA//mraY//preA//galT//fucI//alaC//ssuD//ynfE//glpX//hmp//pck//sucC//trpD//fucK//
Fis_pos	paaH//argB//ybjG//sdaA//pspE//argC//napA//asnA//fadA//pepD//ruvB//ynfF//glnA//deoA//dadX//nrfC//nfsA//gabT//cmoM//luxS//garK//glnA//ychF//talA//dkgA//ada//hyaB//pagP//araA//entH//moaA//glpX//lpxC//trmA//rtcB//fadE//poxB//
FlhDC_neg	leuA//citF//
FlhDC_pos	hypF//phr//gatD//malZ//hcaB//hpt//glpQ//phnG//ldtB//gcd//galE//nagA//
FliZ_neg	hycE//tynA//phnO//eda//sdhD//
FucR_pos	nirB//argH//frdA//alsE//amn//lacA//
Fur_neg	bioD//caiD//deoD//ttdA//fabI//entD//metH//hycD//dhaL//murD//xylA//pepD//prpB//tdcB//sgbH//gnd//yfdE//purF//rffT//ilvD//lysU//tynA//asnA//rbsD//ahpC//gudD//mraY//rffC//cysM//sbcC//paaG//pdeR//patD//ilvN//yedX//polB//hycG//bacA//glsA//gpmM//sbcC//prpC//tehB//fadH//astB//preA//astA//ubiX//citF//lacZ//prpB//gadA//ugpQ//
Fur_pos	dgcN//paaJ//pgpC//tdcG//paaA//narH//malQ//metL//hcp//sdhA//glpD//fau//glk//glk//speA//murE//
GadE-RcsB_pos	sdhC//fumB//dmsC//apaH//rffT//
GadE_pos	tdcE//fucA//agp//paaK//entD//glcE//lsrF//glcD//tyrA//prs//
GadW_neg	bacA//paaB//murC//
GadW_pos	tyrA//puuE//metE//amiA//
GadX_neg	caiD//tdh//
GadX_pos	mhpC//purC//sucA//prpB//ampC//prs//waaZ//purH//leuA//grxA//hyi//
GalR_neg	acs//pgi//ruvB//sdaA//ldtC//galE//
GalR_pos	entE//gatD//pgaD//patD//
GalS_neg	katG//pck//paaK//gltD//nrdD//metK//
GalS_pos	nrfC//dsdA//acnA//purA//
GatR_neg	rffC//glsA//gpmA//
GcvA_neg	aceE//pdeL//tadA//
GcvA_pos	glmS//fadD//caiA//
GlcC_neg	
GlcC_pos	lsrG//pgpC//rhaB//
GlpR_neg	bacA//metF//paaE//tnaA//yqhD//fumB//phnP//
GlrR_pos	
GntR_neg	leuC//speC//fucU//pck//gpmM//dgcC//argA//rffG//caiC//
GutM_pos	uxaB//sbcC//sucB//
H-NS_neg	pagP//dapD//queA//metH//metC//katE//dadA//entC//entB//moeA//gudD//ttdB//lpxC//phnG//mnmG//purE//lpxD//serC//murE//astA//allB//carA//sucB//gcd//ftnA//wzb//mazG//glgX//gabT//pheT//ynfF//moeA//recB//malS//moeA//ttdA//lpd//fabZ//paaI//araB//deoB//bacA//ttdA//gudD//leuA//entH//srkA//gatZ//rpiB//mazG//dadX//
H-NS_pos	arsC//icd//puuB//malQ//ynfF//glmS//speB//psd//ppiA//entH//waaY//rutD//frdA//wzc//gcvP//
HU_neg	dgcC//fabA//hcp//purK//dmsA//gnd//ilvM//
HU_pos	
HcaR_neg	
HcaR_pos	nfsB//tpiA//
HdfR_neg	
HdfR_pos	
HigA_neg	edd//
HigB-HigA_neg	avtA//
HipAB_neg	fau//aceB//
HipB_neg	fucA//glgP//paaY//
HprR_neg	astE//bglB//
HprR_pos	phnP//ftnA//
HyfR_pos	lacA//
HypT_neg	frdC//fruK//
HypT_pos	lhgO//tynA//yqhD//dhaK//ung//
IHF_neg	glgP//nanK//ynfG//entC//dadA//tdcB//ribA//pncB//glmU//agp//recD//acnB//sucB//hyi//gabT//gatZ//oxc//glgC//mnmG//adeD//glgC//pdxA//oxc//cysK//fadD//pgi//trpE//gor//tdcD//fadH//metE//oxc//murD//hcaD//guaA//purM//tktB//hmp//glcF//rpiB//hycE//lacZ//rhaA//
IHF_pos	ung//glnA//purL//frdA//ansB//ampC//hyi//umuD//waaZ//purD//cueO//xylB//ampC//arsC//manA//nirB//idnK//iscS//patZ//hypB//pgaC//trpB//pheS//frdC//ttdB//rutB//ydcS//ilvB//napH//glyA//sucB//gudD//nrfD//cysD//hycG//phr//dhaL//allC//pheT//argI//cysI//bioB//yqjH//ydcS//fes//aceA//slt//dusB//nadA//hcaE//dgcN//hcaE//hcaC//pyrC//ubiA//cadA//lpxC//poxB//moaC//gltA//katG//napH//lsrK//srkA//relA//dmsC//nfsA//ydcS//sodA//fadH//sucB//
IclR_neg	pdeH//gcvH//waaZ//
IdnR_neg	puuB//nrdD//
IdnR_pos	astA//malY//ilvG_1//trpE//
IlvY_neg	
IlvY_pos	srkA//
IscR_neg	metF//tnaA//sodA//hcaF//deoA//fabA//
IscR_pos	glpC//ychF//
KdgR_neg	ruvA//hmp//
KdpE_pos	deoD//
LacI_neg	hemH//fumB//rffC//
LeuO_neg	
LeuO_pos	cysH//entF//cmoM//glmU//pgaC//lsrF//
LexA_neg	nirD//nagB//ppiA//nadC//dgcN//lacA//fabD//cheR//lldD//dhaK//lacZ//argH//pgaD//hemH//alsE//idnO//nadB//hyaB//astA//ilvM//ilvH//ndh//pagP//
LldR_neg	cysI//edd//
LldR_pos	tktB//hycB//
LrhA_neg	
LrhA_pos	
Lrp_neg	katG//trpC//metB//hpt//cynT//nrdF//purD//lldD//waaH//garD//hcaD//nrdE//argC//purN//uxaA//kbaY//lsrK//dsdA//sdhC//amn//waaZ//trmD//garR//
Lrp_pos	hemL//paaI//bacA//dapB//ydcS//thrS//dkgB//cyoE//glpC//uxaC//gatY//pck//garR//gatY//gatY//hyaA//ilvB//dinB//bioC//malY//
LsrR_neg	feaB//ynfF//lsrF//cpdB//rnpB//
LysR_neg	
LysR_pos	hmp//
MalI_neg	fumA//paaJ//
MalT_pos	prpE//codA//tadA//ydcS//katG//psd//
MarA_neg	apaH//
MarA_pos	nanM//polB//garL//ubiX//serA//glpC//deoC//nrdA//hchA//gpmA//phnP//prpB//lsrG//nemA//hyaC//tdcD//hypF//tdcE//phnO//rffH//edd//luxS//astC//
MarR_neg	
MatA_neg	ruvB//
MatA_pos	
MazE-MazF_neg	lpxC//
MazE_neg	amn//
McbR_neg	
McbR_pos	
MelR_neg	metK//dapD//
MelR_pos	hycB//gltB//
MetJ_neg	pyrC//uvrA//citF//ynfH//pnp//ulaD//yiaK//fabB//galM//hemL//
MetR_neg	epd//
MetR_pos	slt//alkA//nfsB//sucA//
MhpR_pos	ychF//edd//ppsA//entH//ahpF//murE//
Mlc_neg	agp//pncB//rsmH//xdhC//
MlrA_pos	guaB//
MngR_neg	patA//melA//
MntR_neg	lhgO//
MntR_pos	ackA//
ModE_neg	katE//pgaD//paaE//prs//nrdF//murQ//ilvH//yedX//
ModE_pos	leuC//dkgA//glgC//fabH//adeD//mhpD//adeD//ilvD//argF//
MprA_neg	nfsB//allE//pncB//
MqsA_neg	ulaD//cysM//
MraZ_neg	glmU//hyi//gpmA//umuD//epd//uidA//ygeA//gloA//rfe//xdhA//
MurR_neg	phnJ//fau//ybjG//
MurR_pos	
Nac_neg	bioB//kbaZ//tpiA//
Nac_pos	glcD//pgi//xdhB//tdh//amn//nrdD//pyrC//gltA//
NadR_neg	fucO//garD//patZ//nrdA//
NagC_neg	kbaZ//entE//prpB//garR//prpB//mpaA//moaE//fadM//waaY//glpA//gltA//araA//guaA//ugpQ//cynT//glmS//tadA//torA//
NagC_pos	moeB//hycE//
NanR_neg	putA//gudD//tyrB//fadH//glpC//ygeA//
NanR_pos	
NarL_neg	fumB//glpD//alkA//moeA//ilvH//puuE//narG//napH//paaZ//ung//add//cysC//gor//idnD//ppc//napB//araA//hypF//cyoE//paaZ//folE//gcvT//lyxK//aroA//rsmA//tehB//cysC//ppsA//
NarL_pos	glpB//trmD//mhpD//gcd//alkA//phnL//uvrB//pyrD//codA//xdhB//trmA//glsA//tdh//ansB//kbaZ//
NarP_neg	araA//ydcS//alkA//argD//glgC//
NarP_pos	argB//kbaY//astE//gpmM//mnmG//mhpD//rfe//mngB//katE//moaE//rutD//paaA//gpmA//cysD//
NemR_neg	paaI//cpdB//
NhaR_pos	gadA//purA//nagA//aceF//aroG//
NikR_neg	napA//
NimR_neg	argG//
NorR_neg	
NorR_pos	ubiX//
NrdR_neg	lpd//xylA//ilvH//prpB//
NsrR_neg	hmp//phnJ//yeaE//fabG//iscS//purB//bacA//wrbA//leuD//pyrC//pykF//fabH//ruvA//metA//caiB//aceB//gpsA//ychF//ilvA//gudD//nrfD//fucK//citD//ulaG//dinB//manA//pncB//sucB//phr//pgi//dusB//cysK//fucO//polA//gltD//hcp//xylB//preT//gpmA//ftnA//
NtrC_neg	metB//cysI//
NtrC_pos	gpmM//malP//ulaD//glnA//fabG//mraY//xylA//pflB//uvrC//gcd//ftnA//ravA//frdC//ilvN//cadA//ppsA//chbG//patZ//fau//ruvA//nadB//
OmpR_neg	tam//nemA//astD//ilvB//mraY//
OmpR_pos	recB//mhpB//hpt//ccp//
OxyR_neg	napG//fucI//cpdB//accC//fbaA//
OxyR_pos	uvrA//malY//sucD//glcE//sdhB//waaZ//sdhB//mltF//dusB//patZ//cysC//cysM//
PaaX_neg	asnA//metB//hcp//pgaD//paaB//ndh//ynfG//lacZ//accA//
PdeL_pos	pdxA//
PdhR_neg	atoB//kbaY//phnJ//cyoE//metC//pagP//tdcE//ynfF//patZ//gpmM//srkA//folA//galM//mhpE//hchA//mhpC//dusB//katG//ynfE//cynS//cysK//pykF//rhaD//
PdhR_pos	leuB//argE//
PepA_neg	narH//nadB//
PgrR_neg	speC//glpD//
PhoB_neg	manA//arsC//eno//fadH//uxaB//
PhoB_pos	pflB//mazG//prpD//wrbA//phr//umuD//pgk//glcB//cadA//rutB//ilvI//fabB//nrdE//speC//glxR//ynfH//hycF//
PhoP_neg	gudD//glxK//umuD//
PhoP_pos	entF//moeB//cysK//dgcZ//putA//glgC//tehB//napB//citF//hyaA//hflX//dhaL//astD//araB//dmsA//polA//citC//sufS//slt//galK//fucA//glpX//fadI//speC//dmsC//paaG//recD//adeD//idnD//citE//aroG//
PrpR_neg	
PrpR_pos	uxaA//leuA//uxaC//tynA//
PspF_neg	
PspF_pos	ttdA//
PurR_neg	gapA//phnI//caiA//frdD//hpt//yiaK//glxK//mhpF//dgcN//ilvE//speA//fadI//nadA//entH//asnB//ogt//chbF//ppiA//katE//xylB//cysK//deoC//waaY//dkgB//tdh//arsC//
PutA_neg	idnK//polB//
PuuR_neg	nemA//sgbE//fabH//pdeH//recD//moaD//
QseB_neg	
QseB_pos	
RbsR_neg	nagA//cysD//sucB//napH//puuA//
RbsR_pos	caiB//
RcdA_neg	
RcdA_pos	paaH//
RclR_pos	
RcnR_neg	aceA//
RcsAB_neg	moaA//
RcsAB_pos	napB//betB//
RcsB-BglJ_pos	umuC//dmsB//
RcsB_neg	gabT//
RcsB_pos	adiA//phnJ//gadA//
RelB-RelE_neg	nrdF//
RelB_neg	queA//
RhaR_pos	
RhaS_pos	murI//alaA//ynfF//citF//
Rob_neg	
Rob_pos	ilvA//malP//fabD//gadA//aceE//fabB//accC//rffH//cynT//ubiG//ulaG//murQ//rffM//caiB//gdhA//nanM//glgA//dgcZ//xapA//
RstA_neg	caiA//apaH//
RstA_pos	sucB//
RtcR_pos	ilvG_1//gntK//
RutR_neg	pdxA//accA//ychF//eda//tktB//betA//metL//entC//accA//dacC//
RutR_pos	chbF//
SdiA_neg	
SdiA_pos	
SgrR_neg	gcd//
SgrR_pos	dgcC//allB//
SlyA_neg	
SlyA_pos	puuB//xapA//ilvC//rhaA//ybjG//hyi//dhaL//accA//rsmA//
SoxR_neg	
SoxR_pos	fabZ//
SoxS_neg	
SoxS_pos	glmS//metE//glyA//sucC//phr//puuA//citF//nanE//fbaA//nanA//argG//citD//uxaB//rbsD//ilvD//cheR//waaZ//purL//gltA//ssuD//frdC//hemH//ftnA//argB//prmC//hyi//
SrlR_neg	putA//ravA//hmp//
StpA_neg	bglB//hyaA//dsdA//
SutR_neg	serA//nirB//
SutR_pos	
TdcA_pos	hmp//citD//leuA//ilvE//rhaB//
TdcR_pos	rhaD//mhpC//mtlD//ccp//ulaD//
TorR_neg	pyrC//
TorR_pos	argH//ychF//ahpF//pgpC//
TreR_neg	hycF//phnP//
TrpR_neg	glgC//frdC//prpE//ackA//edd//frdC//glmU//wrbA//fadD//
TtdR_pos	citX//glpE//
TyrR_neg	paaI//ravA//rutE//phnO//manA//lacA//pyrD//
TyrR_pos	ssuD//entH//paaC//
UhpA_pos	cueO//
UidR_neg	ddlB//wzc//
UlaR_neg	pgaD//talA//aldB//udp//cysI//
UvrY_pos	ynfF//glpK//
UxuR_neg	gcl//lhgO//truB//dapB//patA//
XapR_pos	upp//sucB//
XylR_neg	
XylR_pos	melA//slt//leuD//
YdeO_neg	
YdeO_pos	fadI//trpA//rhaB//
YefM-YoeB_neg	ilvA//
YefM_neg	narG//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	pyrD//rutE//dmsB//patZ//zwf//nrfD//
YjjQ_neg	trmD//tyrA//
YpdB_pos	
YqhC_pos	mhpC//mraY//
YqjI_neg	sgbE//
ZntR_pos	glpK//
ZraR_pos	
Zur_neg	lldD//
