# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	nagA//argH//
CynR_pos	ttdB//aroA//gabD//
CysB_neg	preA//rutC//metC//
CysB_pos	cysE//mazG//ilvC//paaJ//yeaG//cysC//narI//hcaE//chbF//deoC//sucB//fbaB//glgP//codA//
CytR_neg	guaA//pdeR//ldtC//melA//mtlD//fabH//ftnA//umuD//paaG//murD//
DcuR_pos	tdcD//arsC//garD//gatY//
DeoR_neg	bioA//tyrB//phnI//nadA//ssuD//pspE//
DhaR_neg	
DhaR_pos	bioA//
DicA_neg	
DinJ-YafQ_neg	ydcS//
DnaA_neg	puuC//queA//gloA//phnH//lpxA//
DnaA_pos	ubiG//mngB//cadA//
DpiA_neg	
DpiA_pos	cpdB//pdeF//recD//iscS//mpaA//
DsdC_neg	
DsdC_pos	entA//dmsA//
EbgR_neg	
EnvR_neg	garR//lacA//
EnvY_pos	pyrD//mhpB//
EvgA_pos	poxB//purL//aroG//nagA//hycD//gabT//
ExuR_neg	ilvC//glpB//argE//alsE//malQ//nfsB//
FNR_neg	fau//gudD//wecB//kbaY//ampC//lpxC//cysI//cueO//paaK//trmA//glmU//glmU//gloA//prpD//gpsA//paaF//fucK//fdhF//ttdB//sucC//tdcE//ulaG//nagB//ndh//mpaA//purK//rnpB//mazG//polA//srkA//aceF//malZ//ulaE//srlD//ilvD//xylA//alaA//hchA//wecE//entA//rhaB//recD//glgC//phnL//
FNR_pos	fadI//cdd//talA//lhgO//rtcB//tehB//nadC//ldtB//hycC//accA//narH//umuC//pdxA//fucI//rhaD//dapB//edd//garR//aceF//aroL//entB//dapB//tnaA//pepD//aldA//entB//trmD//glpK//cysM//dhaL//bioF//ldtD//trpC//argE//narG//luxS//metL//trpB//atoD//mngB//xdhB//ogt//hycE//cheB//lpxC//atoA//deoC//rhaD//eda//patZ//fruK//argG//phnM//sbcD//malQ//glsA//citE//aroF//sgbE//argH//purD//murE//citX//purA//alkA//glpB//mhpE//rimK//caiA//araB//murQ//trpE//mnmG//wrbA//trpA//uxaA//phnJ//purL//speC//astA//cysI//glpA//ldtB//hycD//uxuB//gnd//rutA//purA//dinB//fucA//allE//rtcB//pdxA//purE//deoB//argE//
FabR_neg	dmsB//umuC//acnA//
FadR_neg	waaH//citF//guaB//frdA//fadD//ygeA//xylA//umuD//accD//
FadR_pos	glpX//cyoE//hcaC//rsmA//ldtC//ampC//ada//glpC//nfsB//rutD//
FeaR_pos	nirB//araB//
FhlA_pos	glpX//gltX//glpK//phnP//recB//paaE//rutE//allB//
Fis_neg	gnd//purA//cheB//mhpC//glk//cdd//gltB//folA//murI//yedX//dkgB//entE//pgm//hycG//paaI//narG//ybjG//nfsB//hypF//nrdD//aspA//uxuB//ttdA//gabD//treC//umuD//sufS//ftsI//fabI//truB//alaS//phnL//cadA//aspA//alaS//prpB//purN//yeaE//lpxC//nanE//aspA//hmp//ansB//dmsB//purH//caiB//
Fis_pos	ribA//prpB//kbaZ//araA//hchA//gor//citX//citF//chbF//glmS//nanE//gcvT//rutE//uvrA//amn//cysI//pfkA//allA//prpB//ilvH//yeaE//gntK//rtcA//glk//trpE//cynT//atoA//thrS//nadA//lysU//pykF//hycD//lacZ//fbaB//hemF//ssuD//katE//
FlhDC_neg	dhaL//umpH//
FlhDC_pos	trpE//hcaD//glpX//yedX//rtcA//rutE//cysG//pdeF//wecB//araD//lacZ//ftsI//
FliZ_neg	deoA//aroH//fumC//aceA//paaZ//
FucR_pos	ubiA//murE//gcvT//nfsA//alaC//napB//
Fur_neg	speA//xapA//gor//phnJ//fabH//rutE//polB//metB//mazG//argH//ahpF//narH//metF//tehB//sgbU//dapB//gntK//murE//tktB//nagA//fabH//phoA//trpE//zwf//paaE//araD//nrfA//uxaC//tdcB//yedX//serC//pyrC//nanE//glpE//gntK//hycG//dgcZ//cysJ//yeaE//uidA//guaA//relA//luxS//prs//dgkA//aspC//ppiA//gdhA//yqjH//carA//hemH//sgbU//mhpA//
Fur_pos	allE//prpE//glmU//gcd//ulaD//uidA//fdhF//adiA//dacC//lysA//hcp//rffC//epd//hyaB//tyrA//rhaA//
GadE-RcsB_pos	recF//nagA//fadI//adeD//prs//
GadE_pos	yeaE//araA//nadC//allA//talA//gcl//gatD//ulaG//rutE//edd//
GadW_neg	pheT//pheS//nirD//
GadW_pos	ubiX//entE//folE//leuC//
GadX_neg	ulaG//recD//
GadX_pos	ampC//rffT//oxc//lhgO//frc//iscS//uvrA//dkgA//dhaK//fadI//cysI//
GalR_neg	fdhF//patZ//dacC//nrfC//alsE//pspE//
GalR_pos	tdh//purE//ilvC//allD//
GalS_neg	mhpF//garD//uvrC//recF//fabB//bcsB//
GalS_pos	araA//ssuD//allD//garK//
GatR_neg	bacA//phnI//polA//
GcvA_neg	bioA//torC//allA//
GcvA_pos	mhpC//xylB//rtcA//
GlcC_neg	
GlcC_pos	glpC//hemA//nrfD//
GlpR_neg	murQ//ulaG//paaH//yiaK//aceF//torA//melA//
GlrR_pos	
GntR_neg	ilvD//gltD//gatZ//ansB//pyrD//glcE//rtcA//pgm//apaH//
GutM_pos	rfe//kbaY//nadB//
H-NS_neg	fruK//cynS//hycG//fabA//yeaE//nanM//accA//glpE//ppc//hcaF//dgcN//mhpB//nrfC//lpxA//fucK//alaA//idnO//sgbU//hemH//pdeL//feaB//hcaF//purA//murD//uxuB//alaA//glpE//ilvD//metF//frdD//mhpB//mpl//serC//glcB//asnA//ubiA//phnH//deoC//araD//glpQ//pdeH//accC//hyaA//argA//ampD//nagB//pflB//dhaM//xdhC//sdhC//lpxD//
H-NS_pos	rsmA//nagA//rffG//phnH//polB//glnA//glgB//betA//kbaY//arsC//fumA//nrdD//rutA//acnB//frc//
HU_neg	caiA//yqhD//prpC//fadE//cysC//galE//glpD//
HU_pos	
HcaR_neg	
HcaR_pos	astB//fau//
HdfR_neg	
HdfR_pos	
HigA_neg	phnO//
HigB-HigA_neg	cadA//
HipAB_neg	tktB//nemA//
HipB_neg	serA//nrdF//paaY//
HprR_neg	eda//accC//
HprR_pos	ldtB//lpd//
HyfR_pos	speA//
HypT_neg	polA//oxc//
HypT_pos	patZ//luxS//pdeF//glk//gabD//
IHF_neg	araA//citD//garD//thrS//betB//cheB//sbcC//asnA//kbaZ//paaC//murI//entE//acs//guaB//treC//uxaB//adeD//murG//dadX//grxA//hemL//ybjG//ttdB//tynA//sdhC//paaJ//speA//glnA//ascB//gloA//hcp//betA//sdhC//hflX//sgbE//katE//dgcN//astC//glpC//icd//napA//gntK//astA//
IHF_pos	glcB//aroF//trpD//dadX//nadB//ackA//tadA//glpC//gabT//purN//frdC//gntK//yiaK//glxR//recF//allE//puuA//bioF//fadE//rhaB//phr//ftnA//trpD//pflB//glpC//cheR//uvrA//ascB//dmsB//psd//ulaD//deoA//cdd//hycD//lyxK//leuD//glmU//malQ//glmS//entD//gpmA//katE//galE//glgC//galK//alaS//hmp//xdhA//purL//katE//ldtD//cdd//rhaB//frdA//dadA//hcaB//napA//nfsB//phnG//hyaB//amiA//chiA//metK//fadJ//fadD//pdeH//xylB//allA//hycF//eda//umpH//
IclR_neg	kbaY//lacA//cheB//
IdnR_neg	glmU//trpD//
IdnR_pos	ppsA//dadX//glpA//citC//
IlvY_neg	
IlvY_pos	glpC//
IscR_neg	cysD//ansB//argE//sucD//leuB//malY//
IscR_pos	hmp//ygeA//
KdgR_neg	chbG//amiA//
KdpE_pos	uxaA//
LacI_neg	rffG//fadI//puuE//
LeuO_neg	
LeuO_pos	lysA//gnd//tdcD//alaC//ilvD//dkgB//
LexA_neg	rutE//nadC//uxaB//ftsI//ychF//adhE//talA//gltX//fucI//allD//aspA//fabD//hcaE//polA//acnA//fabZ//fabH//yiaK//adhE//hyaA//aceA//zwf//sbcC//
LldR_neg	nanM//argH//
LldR_pos	aroL//ybjG//
LrhA_neg	
LrhA_pos	
Lrp_neg	paaE//hemA//guaA//chbG//umuD//ubiA//fucU//narI//garL//galM//dadA//ubiX//ubiG//entC//uxuA//allD//galT//nanM//umuC//alkA//hycB//metF//wzb//
Lrp_pos	fadH//speC//aldA//murC//entB//trpC//kbaY//aspC//nrfA//umpH//purA//trpC//argC//moaE//speB//araB//pfkA//bglB//ydcS//hyaC//
LsrR_neg	xapA//leuB//accC//puuD//allE//
LysR_neg	
LysR_pos	truB//
MalI_neg	moaC//tnaA//
MalT_pos	napH//lsrG//grxA//rffT//manA//ahpF//
MarA_neg	ulaD//
MarA_pos	torC//pgaB//puuD//speC//ung//ilvI//caiA//slt//glpK//lsrK//ppsA//glnA//rutE//pdeH//ppsA//cyoE//serC//bioB//sdhA//chiA//cysH//grxA//xylA//
MarR_neg	
MatA_neg	nfsB//
MatA_pos	
MazE-MazF_neg	purC//
MazE_neg	gpmM//
McbR_neg	
McbR_pos	
MelR_neg	rbsD//dmsB//
MelR_pos	uxuB//hycD//
MetJ_neg	moaD//uxaA//glpD//purN//glmU//mltF//metH//sdaA//amiA//uxaC//
MetR_neg	uxuB//
MetR_pos	citE//xylA//ilvC//fumA//
MhpR_pos	prpE//sodB//rimK//fadB//astB//pepD//
Mlc_neg	hyaC//ansB//gntK//glgB//
MlrA_pos	ilvE//
MngR_neg	nrdD//glmS//
MntR_neg	sbcD//
MntR_pos	nanM//
ModE_neg	paaK//gatZ//rutC//ttdA//bioD//moeA//paaG//chiA//
ModE_pos	phnM//preA//ribA//moeB//prpE//wzc//ravA//dgcZ//murC//
MprA_neg	pgm//nrfA//appA//
MqsA_neg	xylB//gpsA//
MraZ_neg	uvrB//lysU//rhaD//mhpD//fabI//cmoM//feaB//cysG//pheS//citG//
MurR_neg	nanE//gcvH//citD//
MurR_pos	
Nac_neg	puuD//murG//nirD//
Nac_pos	tauD//phnN//mngB//xdhC//purH//bioA//metF//glpE//
NadR_neg	mhpD//dhaM//leuD//pgpC//
NagC_neg	ogt//glmS//waaH//allB//xylA//hycF//phnL//ackA//gltB//gltA//ddlB//murF//carB//paaA//garK//rffH//paaK//cysJ//
NagC_pos	narH//ynfF//
NanR_neg	nrdE//srlD//aroL//gltA//carB//ttdA//
NanR_pos	
NarL_neg	bioD//mhpE//fucA//hypF//argH//nadB//dsdA//aspC//cynS//queA//paaE//nagB//moeB//codA//purM//fbaA//treC//phnM//leuA//yeaE//glpE//fucA//ppiA//rhaD//patD//rtcB//trpD//nanE//
NarL_pos	wzb//guaB//trmD//paaZ//puuA//moeA//deoA//prpE//metA//hcaF//wecB//serA//xapA//nemA//fadA//
NarP_neg	gor//oxc//rutA//fumB//gcvH//
NarP_pos	tynA//glgB//ilvB//nanA//phnH//pdeL//ulaE//tehB//mdh//prpD//entH//ttdA//argI//paaG//
NemR_neg	adeD//pdeL//
NhaR_pos	uvrA//allA//ycjG//aspC//metF//
NikR_neg	prpD//
NimR_neg	tdcG//
NorR_neg	
NorR_pos	hcaF//
NrdR_neg	dgkA//leuD//murQ//accC//
NsrR_neg	wzb//fruK//paaY//galT//ilvA//allA//accA//kbaZ//hemL//nrdA//umuC//lsrG//polA//sdhC//hyaB//phnO//yedX//hycF//lysC//carB//mpaA//dmsA//nrdF//mhpD//fadJ//uxuA//pagP//yeaG//hyaB//poxB//trpB//lpxD//argC//nrdE//cdd//fucO//tauD//pgi//dkgB//sodA//
NtrC_neg	purL//purN//
NtrC_pos	uxuB//bioA//cysK//entA//aroH//hyaC//astA//paaA//entA//pdeF//frc//mazG//mhpF//trmA//accD//tauD//ilvC//cysN//gabT//fucU//trpB//
OmpR_neg	cdd//yiaK//entB//adeD//sucB//
OmpR_pos	puuE//rimK//idnO//murG//
OxyR_neg	pgi//ahpF//ulaE//nadC//uvrB//
OxyR_pos	murQ//metH//nfsA//gcvP//trpE//cynS//ilvI//caiA//glcB//dgcC//cysI//yqhD//
PaaX_neg	argI//astC//frdA//pdxA//hcaE//rbsK//ansB//waaZ//phnH//
PdeL_pos	aceF//
PdhR_neg	xylB//argI//cysH//rffC//fucK//aroG//bioB//tyrB//deoB//folA//murI//pykF//speB//argI//bioF//tdcG//fucO//add//gabT//paaY//entC//gntK//wecC//
PdhR_pos	hcp//umuD//
PepA_neg	yiaK//hycE//
PgrR_neg	dadX//rffC//
PhoB_neg	cysM//purB//asnB//phnL//cdd//
PhoB_pos	moaC//tyrB//mdh//fadJ//moaE//cheB//cheB//narH//cysE//murG//phoA//moaE//ogt//hemL//entD//allD//citE//
PhoP_neg	pheS//cysK//dkgA//
PhoP_pos	tpiA//fucO//kbaZ//gntK//dadX//nrfC//metC//pepD//purM//dgcN//nrfC//betA//purN//tktB//cynT//glpE//phr//lacZ//hemL//ilvA//allA//prpB//garR//cadA//rutD//dapB//ndh//srkA//rhaB//ftnA//pflB//
PrpR_neg	
PrpR_pos	trpE//metL//rhaA//yqjH//
PspF_neg	
PspF_pos	lldD//
PurR_neg	hemL//paaA//galM//rhaA//fabI//purN//tdcE//aroG//umuC//trmA//fumB//nrdB//galT//melA//lpd//trmD//waaH//tam//lyxK//ppc//guaB//bioA//cynS//glpK//sufS//gltA//
PutA_neg	pgpC//ubiG//
PuuR_neg	fucO//glxR//fruK//lsrG//rfe//rutB//
QseB_neg	
QseB_pos	
RbsR_neg	citX//cadA//cysD//leuC//hypB//
RbsR_pos	paaY//
RcdA_neg	
RcdA_pos	acnB//
RclR_pos	
RcnR_neg	eno//
RcsAB_neg	garD//
RcsAB_pos	ravA//gpmM//
RcsB-BglJ_pos	hmp//nfsB//
RcsB_neg	metE//
RcsB_pos	cheR//lysU//nrfC//
RelB-RelE_neg	hemH//
RelB_neg	hchA//
RhaR_pos	
RhaS_pos	purK//leuB//fumB//glcB//
Rob_neg	
Rob_pos	pnp//lysC//tyrA//dapB//ilvG_1//fadI//ynfG//allE//moaD//xdhA//accD//nrfC//metE//mpaA//alaS//hyi//glcF//leuB//pgaD//
RstA_neg	gabT//fadB//
RstA_pos	metF//
RtcR_pos	sgbH//mhpD//
RutR_neg	asnA//idnK//nirD//tktB//bioD//glpE//ulaF//citC//glpA//moaC//
RutR_pos	frdA//
SdiA_neg	
SdiA_pos	
SgrR_neg	glgX//
SgrR_pos	ydcS//ulaF//
SlyA_neg	
SlyA_pos	trpE//rffC//ravA//ampC//fumC//dapD//yqjH//luxS//queA//
SoxR_neg	
SoxR_pos	fdhF//
SoxS_neg	
SoxS_pos	gltX//phnP//glcD//uxaA//ssuE//pgm//galT//ppiA//katG//queA//ogt//fruK//slt//glpC//metK//lhgO//phnG//guaB//dsdA//glcB//entD//mpaA//hycD//cysG//metA//dacC//
SrlR_neg	fabA//idnK//mdh//
StpA_neg	allA//purK//phoA//
SutR_neg	rffC//fadA//
SutR_pos	
TdcA_pos	sdaA//rbsK//frdB//dapB//lsrF//
TdcR_pos	yeaG//hemH//patZ//xdhC//metE//
TorR_neg	rnpB//
TorR_pos	hypF//rimK//nrdA//bioC//
TreR_neg	tdcB//ugpQ//
TrpR_neg	glxK//paaH//ppc//ilvM//glpB//puuA//allE//ygeA//lldD//
TtdR_pos	aceA//fadM//
TyrR_neg	amiA//mhpB//nemA//speA//gcvH//umuC//katG//
TyrR_pos	nfsB//ynfH//gpsA//
UhpA_pos	gcl//
UidR_neg	allE//rutA//
UlaR_neg	galM//gutQ//ackA//yqjH//rsmA//
UvrY_pos	uxaC//ansB//
UxuR_neg	ldtD//pdeH//eda//nfsA//sodA//
XapR_pos	metC//nrfA//
XylR_neg	
XylR_pos	serC//fabD//malS//
YdeO_neg	
YdeO_pos	gltX//gntK//gutQ//
YefM-YoeB_neg	hyaA//
YefM_neg	ssuE//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	garL//metH//ulaG//pflB//prpC//treC//
YjjQ_neg	deoB//hemH//
YpdB_pos	
YqhC_pos	hcp//metE//
YqjI_neg	fadD//
ZntR_pos	lpxC//
ZraR_pos	
Zur_neg	prpD//
