# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	fucO//amiA//
AscG_neg	srlD//glk//
AsnC_neg	phnJ//
AsnC_pos	sucB//
AtoC_pos	tdcD//patZ//uxuA//
BCCP_neg	gpmA//
BaeR_pos	ttdA//entD//
BasR_neg	moeB//
BasR_pos	hcp//purD//
BetI_neg	tdcG//caiD//fabI//
BirA_neg	tdh//dmsA//lsrK//gltA//trpC//
BluR_neg	
BolA_neg	katG//pflB//
BolA_pos	murD//glxK//
BtsR_pos	paaJ//
CRP_neg	glpK//fadE//hcaF//fadJ//sodB//dmsC//gor//sdhD//alaC//tdcG//bglB//aroA//torC//pdeH//rffH//metL//phnP//hycG//bioB//rutA//garD//allE//fes//cheB//rimK//ruvB//xdhA//rnpB//lysA//dadA//fadM//fbaA//guaB//rffM//pagP//ulaG//tadA//gpmA//rutA//fadI//cynT//narI//aroA//sucD//fabG//aspC//phoA//hemA//purH//ndh//moaC//leuD//purF//nrfC//malZ//ldtC//dhaK//ilvB//hyaC//tynA//rutC//recF//galT//glpA//puuD//aceE//wrbA//nanA//fucO//mhpC//ubiA//
CRP_pos	lpxC//accD//glpC//argD//tdh//uvrC//mhpF//pgk//arsC//xylA//napA//ruvB//pspE//fbaA//tdh//dusB//idnD//truB//trpE//caiB//nagB//deoD//folA//purF//allD//ftnA//mpl//allA//purH//puuC//grxA//fabB//metA//nrfC//melA//cyoE//frdC//murF//fadH//icd//idnO//astD//lysA//aroL//cyaA//truB//uxuA//eda//katG//caiC//trmA//trpA//fumC//ulaG//ampD//uxuA//pnp//paaH//xdhB//ubiC//fabZ//waaY//tdcD//ampC//ddlB//prmC//lacA//garK//waaY//sbcD//hycB//glpK//carB//rhaB//queA//pgm//fadM//ung//ogt//trmA//paaJ//yqhD//galE//ssuE//napA//pgpC//rhaD//pgaD//ppiA//tyrB//citF//rimK//mdh//umuD//hcaC//argC//recF//citX//astC//ruvA//hyaC//ackA//mnmG//caiC//aroL//speB//araD//nrdB//purK//fucI//alkA//lysC//pgi//gcd//puuD//entE//polB//mhpF//sdhB//rffH//phnN//ilvC//nanE//glgC//fucI//rhaD//gudD//yeaG//hyaA//serA//glxK//citC//ulaD//nagA//tdcD//gpsA//ybjG//pyrC//epd//ldtB//pncB//fabB//gloA//ulaD//uxaA//pdeL//gcd//glgX//uvrB//fabB//galK//gadA//glpX//cysN//mhpD//entD//purA//leuC//serC//hycB//nadC//nrdD//puuE//cheR//argF//metB//trmA//glxR//ulaF//ilvA//hyi//allA//ftsI//hpt//hypF//rnpB//pdeL//entB//argI//sdhC//yiaK//purB//nfsA//dgcN//dacC//cynS//nrdD//tdcE//entB//lacZ//nagA//yfdE//lsrK//argB//uxaC//pgaC//astE//hycF//fadE//glcD//chbG//eno//cdd//guaB//araB//rffG//gltD//murG//glk//metF//phoA//cyaA//pgaB//nrfD//fadM//argA//dusB//torA//accD//araD//lsrK//deoD//gatY//nfsA//puuC//phnO//betB//asnB//aroF//feaB//ftsI//hcaC//aroG//malP//pdxA//xapA//hmp//sgbE//recF//nanK//ynfG//fucK//gltA//mtlD//entD//ccp//wecB//tdcD//glnA//
CadC_pos	rutD//ahpF//truB//
CaiF_pos	pepD//dmsC//ampD//tyrA//hcaB//
Cbl_pos	araA//hcaB//xylB//nrfA//amn//
CdaR_pos	dkgB//argD//moaC//kbaZ//argB//xdhA//xylA//mraY//fumB//
CecR_neg	chiA//
ChbR_neg	astD//sdhC//ubiA//
ChbR_pos	mazG//dgcN//gudD//
ComR_neg	
CpxR_neg	glk//glpD//rnpB//
CpxR_pos	ansB//prs//lldD//fumA//avtA//aspC//dadA//paaG//ppc//ravA//phnL//moaD//frdB//alaC//glyA//oxc//fadA//pgpC//
Cra_neg	fadB//entB//ppiA//sdhB//sdaA//fabI//fabB//pflB//ydcS//glpQ//rbsD//nemA//fadH//bacA//betB//purF//purD//nrfC//nrdA//sdhB//argD//bacA//yqjH//xylB//atoD//aceE//astE//caiA//fabA//folE//yeaG//garR//gltB//hypF//cdd//metC//waaY//acnB//frc//rsmA//glyA//sgbH//garD//talA//entA//
Cra_pos	ynfH//waaH//lpxC//pheS//paaI//ribA//truB//glcB//tdcB//galT//ogt//lacZ//murE//argG//rsmH//moeB//glpQ//
CreB_neg	purE//
CreB_pos	tktB//
CsgD_neg	ulaG//wzb//
CsgD_pos	gcvT//cueO//katG//
CsiR_neg	glgX//nrdB//nfsA//add//
CspA_pos	alaS//
CueR_neg	purH//gdhA//sdhD//
CueR_pos	phnH//speA//
CusR_pos	accA//argF//pepD//hcaE//
CynR_neg	
CynR_pos	napG//entH//gabD//
CysB_neg	gltX//sdhB//accD//
CysB_pos	mtlD//fabH//pnp//glpB//psd//pdeL//fadB//rfe//glgP//garK//prs//mraY//gltA//sucA//
CytR_neg	paaA//glmU//allD//xdhC//uxaA//metA//hemF//adiA//narI//ilvH//
DcuR_pos	malP//entE//aroG//phnH//
DeoR_neg	nrfC//cysM//eda//umuD//citE//fucO//
DhaR_neg	
DhaR_pos	leuB//
DicA_neg	
DinJ-YafQ_neg	lsrK//
DnaA_neg	nadA//bglB//hyi//sodB//trpE//
DnaA_pos	paaH//add//patA//
DpiA_neg	
DpiA_pos	araD//gatD//gcvH//rhaD//hcaD//
DsdC_neg	
DsdC_pos	relA//umpH//
EbgR_neg	
EnvR_neg	ilvG_1//nrdF//
EnvY_pos	gntK//pyrC//
EvgA_pos	ada//rhaA//puuB//sgbH//phr//hemL//
ExuR_neg	glpD//murE//folA//ruvA//nrdA//metH//
FNR_neg	betB//appA//phnO//arsC//ilvC//recF//aldA//argI//uxaC//astB//ulaE//deoD//speB//lacA//gpmM//sbcC//hycF//argH//purH//lyxK//lysC//chbG//putA//pheS//napG//gcl//fadH//fabI//ilvN//sucA//gpmA//pgaB//lsrK//gltA//alsE//sucD//citE//allB//rutA//ackA//gloA//glpA//ddlB//gltX//
FNR_pos	fbaB//alaS//pfkA//gapA//pdxA//patZ//pncB//fabB//murC//hemL//hycD//hmp//lldD//hycC//gcl//hypF//argE//ada//argE//bioF//cysE//deoA//hycE//gatZ//aroA//truB//tdcG//pgaD//astC//deoC//phnH//ycjG//aldA//aceE//fadI//edd//lpd//fadD//nadC//ruvA//narH//xylA//hycE//nanA//garD//fucU//frc//yqjH//narH//bglB//patD//rsmA//hcaB//nrdB//paaB//lsrK//hcaC//nrdA//ubiG//dkgB//prpC//citG//argF//deoA//hycG//tehB//cysJ//sucA//fabA//ilvM//uvrB//allC//dinB//hcaD//recD//rpiB//gloA//mhpC//entE//katG//carB//yfdE//lsrF//lacZ//cynT//phnN//trpB//tpiA//napA//icd//purC//speB//guaA//cysE//entE//paaZ//
FabR_neg	tyrA//murG//tdh//
FadR_neg	fadH//rhaD//gltX//nadA//ilvB//paaB//deoC//bioD//ilvE//
FadR_pos	ppiA//umuD//wecB//argB//recB//umuD//entB//patA//fadI//fucI//
FeaR_pos	talA//malY//
FhlA_pos	avtA//fadD//hcp//pdeL//dadX//speA//arsC//murE//
Fis_neg	aroH//bcsB//allD//mtlD//preT//ung//ulaF//rhaB//xylB//katE//dapD//hyaB//glcB//mhpE//rbsK//ruvB//tdh//hycD//amiA//prpD//garD//mpaA//bioD//codA//dgcN//tktB//bioA//gadA//deoC//umuC//aroF//mngB//talA//dmsC//speC//fabZ//moaE//ppiA//araD//ynfG//malS//garD//idnK//nrdB//sbcC//acs//
Fis_pos	ddlB//ssuE//glpK//nrdF//aspA//avtA//entF//acnB//nfsA//dmsC//puuE//ada//amiA//murQ//purF//malS//hycB//galK//wzb//hycB//puuA//ilvN//purA//ampD//hycG//betB//ybjG//napB//ilvI//torA//frdA//ilvM//uxaC//iscS//cdd//pyrC//rbsD//
FlhDC_neg	adhE//ulaD//
FlhDC_pos	gltX//argG//ynfH//argG//prs//ilvM//ilvD//ychF//gabD//araD//pdxA//fumB//
FliZ_neg	yeaG//fbaA//glpD//gcd//sucC//
FucR_pos	betA//xdhC//fdhF//grxA//pgm//queA//
Fur_neg	gadA//sgbU//fadB//purK//sdhC//allB//cysM//dusB//gcvT//araA//trpD//dsdA//galE//icd//cyoE//glpA//puuE//recB//paaH//fes//alsE//metB//puuD//aroL//ubiA//entF//deoD//phnM//apaH//alaS//hemL//gabT//gpmM//idnO//ssuE//nrfA//allC//nrfD//ldtD//pheT//glpD//moaD//paaK//accA//mazG//amn//nadB//rffH//phnH//trpD//preA//deoA//sodA//
Fur_pos	pck//paaH//rhaB//fadA//speA//cysC//grxA//srkA//waaY//atoA//fdhF//prmC//polA//pdeF//tpiA//mpl//
GadE-RcsB_pos	sdhB//phnM//atoA//chbG//fadH//
GadE_pos	ilvN//araD//rnpB//pgaC//fruK//acnA//caiC//tauD//rimK//metH//
GadW_neg	caiB//tynA//astA//
GadW_pos	folE//sbcC//lacA//glpD//
GadX_neg	cysJ//araD//
GadX_pos	pdeF//cysN//entB//cynT//lysA//ubiX//trpA//nadC//pykF//fau//metH//
GalR_neg	ubiG//apaH//tynA//gcd//tdcB//glmU//
GalR_pos	edd//metE//fau//feaB//
GalS_neg	narH//asnA//astD//citE//moeB//dusB//
GalS_pos	rhaD//argI//lhgO//glcE//
GatR_neg	ttdA//rimK//iscS//
GcvA_neg	sucC//ttdB//ulaF//
GcvA_pos	umuC//gdhA//icd//
GlcC_neg	
GlcC_pos	sgbE//lsrG//wrbA//
GlpR_neg	narG//aspA//gor//adeD//gntK//leuC//mraY//
GlrR_pos	
GntR_neg	argB//paaA//atoD//fumC//hyaC//hemH//leuD//hcaD//ilvM//
GutM_pos	hemA//ilvC//fabZ//
H-NS_neg	serC//fucO//trmA//glyA//nirB//lsrF//ubiA//phnN//wzc//guaA//aceA//icd//rsmH//sgbU//hemH//mhpB//entH//tauD//alkB//patD//ruvB//ravA//phnN//ansB//ychF//ynfH//murG//argG//fabI//waaY//prpC//ampC//rhaB//uxuA//srlD//aceF//allA//grxA//hypB//leuD//pgi//rffC//torC//rhaD//hchA//yedX//lyxK//pepD//ilvE//pgm//pyrC//
H-NS_pos	nanA//malQ//hcaB//aroF//gdhA//preT//putA//puuA//cadA//nrfC//hyaC//trpC//araA//cysH//ilvA//
HU_neg	rhaB//hyaA//recF//sucA//rtcA//metA//ttdB//
HU_pos	
HcaR_neg	
HcaR_pos	nfsA//sdhD//
HdfR_neg	
HdfR_pos	
HigA_neg	galE//
HigB-HigA_neg	araD//
HipAB_neg	sodA//srlD//
HipB_neg	gadB//nrdA//glpX//
HprR_neg	cynT//acnA//
HprR_pos	phnL//gdhA//
HyfR_pos	lyxK//
HypT_neg	ampC//fadI//
HypT_pos	pheS//rsmH//betA//glk//cysG//
IHF_neg	ackA//cynT//aspC//aceF//nrdF//glxR//ubiG//narH//pgaC//sgbH//trmA//rsmH//prpB//patD//srkA//gor//nrfD//glpX//sbcD//metC//adeD//frdA//lpxD//cysM//gpmA//patA//slt//ilvH//fbaA//entH//rhaD//ldtD//lsrK//astA//napA//gcvP//paaC//gcvP//bioA//paaE//murE//pdeH//prmC//
IHF_pos	fruK//agp//entE//apaH//alkB//trmA//yqjH//dhaM//alsE//nadB//dinB//glxK//glpE//lsrG//paaG//rffM//cyoE//tadA//glpX//fadH//recF//mpl//puuB//rutC//ravA//murI//kbaY//aroL//fabH//murE//caiB//purA//paaZ//tyrA//trpD//gpsA//fumA//leuD//ilvD//fadB//xylA//asnA//arsC//ldtB//puuB//waaH//caiC//uidA//carA//nadB//araA//paaE//allC//paaY//rhaD//ynfE//ttdB//fadH//glgX//xdhA//moeA//paaY//argB//glcB//fadJ//citF//citF//ldtB//deoD//nadA//caiC//
IclR_neg	fbaB//nrfD//hpt//
IdnR_neg	aroL//purK//
IdnR_pos	sgbH//aceB//phnN//paaF//
IlvY_neg	
IlvY_pos	puuC//
IscR_neg	accD//gadB//tdcE//speA//fucI//lsrK//
IscR_pos	prpC//lpxC//
KdgR_neg	fabD//ribA//
KdpE_pos	sbcC//
LacI_neg	tehB//metC//gatD//
LeuO_neg	
LeuO_pos	manA//nirB//recF//phr//nirD//glpX//
LexA_neg	murG//feaB//glcD//edd//galM//malP//aroL//tnaA//ilvB//dacC//glpE//glcF//ravA//aldB//sgbE//nrfC//nanM//rutC//dapD//bacA//rsmA//pgm//trmA//
LldR_neg	nanA//idnO//
LldR_pos	cysN//ilvD//
LrhA_neg	
LrhA_pos	
Lrp_neg	fbaB//rbsK//prpC//bioD//glsA//iscS//phnM//yedX//allA//adhE//ruvA//sgbH//pncB//xylB//preT//tdcD//ilvG_1//nfsB//gcd//aldB//gcd//ftsI//hchA//
Lrp_pos	dkgA//umpH//gatY//dgcN//glmS//sdhA//gcvP//preA//pykF//pflB//glcB//gatD//phnI//umuD//mnmG//pgaD//hcaE//metL//bioB//glpX//
LsrR_neg	xapA//hcaD//moaC//treC//gcvH//
LysR_neg	
LysR_pos	gatY//
MalI_neg	moaE//dusB//
MalT_pos	cueO//pykF//rbsK//entC//sucD//allB//
MarA_neg	metH//
MarA_pos	pdeL//sdhD//gabD//moaD//nanE//talA//wrbA//paaJ//dkgB//argF//dgcC//fucI//leuB//sucB//phnM//ilvH//polA//argA//bglB//alaS//purK//glyA//phnM//
MarR_neg	
MatA_neg	rfe//
MatA_pos	
MazE-MazF_neg	purH//
MazE_neg	hcaB//
McbR_neg	
McbR_pos	
MelR_neg	prpB//ahpC//
MelR_pos	xylA//cyaA//
MetJ_neg	ilvN//murC//yedX//apaH//sdhB//rtcB//gltX//betB//rffG//phnH//
MetR_neg	cysN//
MetR_pos	putA//cysG//ilvG_1//purD//
MhpR_pos	lysC//mngB//xdhB//fucK//alaS//ftnA//
Mlc_neg	metL//glcB//prmC//ndh//
MlrA_pos	uxaA//
MngR_neg	rutD//pgi//
MntR_neg	allC//
MntR_pos	murE//
ModE_neg	trpA//malQ//glgP//luxS//deoB//ssuE//argA//alsE//
ModE_pos	rfe//queA//puuE//allE//yedX//fumB//pyrD//frdA//argA//
MprA_neg	lhgO//serC//srkA//
MqsA_neg	mazG//purF//
MraZ_neg	eno//hcp//glnA//avtA//glcE//entE//ybjG//gltX//pnp//ampD//
MurR_neg	purL//nrdF//aroL//
MurR_pos	
Nac_neg	gltD//fucA//ldtC//
Nac_pos	ldtB//waaZ//agp//hcaF//ubiC//metL//puuB//umpH//
NadR_neg	ubiG//hyaC//allC//kbaZ//
NagC_neg	galT//mdh//udp//appA//betB//araB//glgA//truB//tyrA//waaZ//allA//paaE//uvrB//cysJ//rbsD//rtcA//glcB//murE//
NagC_pos	pdeH//idnD//
NanR_neg	entA//glgX//ynfH//rffC//truB//prpC//
NanR_pos	
NarL_neg	uxaC//wrbA//malZ//ampC//idnD//preT//tpiA//rsmH//rtcA//lyxK//cynT//ilvG_1//pdxA//yiaK//napH//alaC//hmp//recD//moaA//agp//gabT//rimK//purB//lyxK//glk//recD//ruvA//xdhB//
NarL_pos	alaC//gltA//ilvC//fumB//argF//aroF//uvrB//pgaD//ynfF//ycjG//mhpE//rutE//malP//mraY//hypF//
NarP_neg	cysK//betA//kbl//ilvB//purN//
NarP_pos	ampD//dmsC//fadB//pyrD//lacA//hcaC//argH//alaS//nrdE//aceB//cysC//rhaB//sgbE//pgm//
NemR_neg	waaZ//sodA//
NhaR_pos	aceF//fes//srkA//cysE//accC//
NikR_neg	hcaC//
NimR_neg	ygeA//
NorR_neg	
NorR_pos	rhaA//
NrdR_neg	add//umuC//bioF//katE//
NsrR_neg	hpt//aspA//rbsD//ruvB//xdhB//nfsB//codA//guaA//patD//dkgB//hycD//ilvN//rimK//prpB//lysA//ilvA//rffM//aceA//entE//malS//glgB//aceA//xapA//rutA//ndh//gutQ//gltD//nagA//sodB//leuC//entF//gabD//ynfE//caiC//entB//nadA//luxS//sdhB//mtlD//entE//
NtrC_neg	dhaL//aroG//
NtrC_pos	waaY//rhaB//glcB//fadB//oxc//ldtC//eno//metC//eno//pdeR//entB//paaK//uxuA//cyaA//narH//metH//pepD//purB//citF//bcsZ//phnO//
OmpR_neg	bglB//acnB//malQ//mltF//pflB//
OmpR_pos	hycE//bioC//aceE//murF//
OxyR_neg	paaC//argC//glcE//hcaD//ampC//
OxyR_pos	paaA//lsrK//glpE//mnmG//dhaL//argC//carA//nrdD//glgP//hflX//idnK//dmsC//
PaaX_neg	puuE//fadH//umpH//katG//dadA//waaH//paaJ//dgkA//mpaA//
PdeL_pos	patZ//
PdhR_neg	ppc//fabB//glk//pyrC//deoC//dgcC//torA//mtlD//ppiA//guaB//accA//puuA//ung//lsrG//fadE//nrfA//tnaA//mhpE//purB//hpt//xdhC//ilvA//argD//
PdhR_pos	trpE//mhpC//
PepA_neg	nanA//waaY//
PgrR_neg	wrbA//putA//
PhoB_neg	fucA//folA//ccp//speB//ogt//
PhoB_pos	ftsI//ycjG//hypF//malY//cheB//cyaA//ssuD//iscS//yqhD//ndh//pgpC//dkgA//queA//ygeA//glcD//uvrB//glpQ//
PhoP_neg	argE//sgbU//patA//
PhoP_pos	paaB//nanE//rsmH//edd//speA//ynfE//ydcS//waaY//pheT//gabD//fucA//ybjG//metA//moeB//feaB//glcD//lsrG//queA//rhaA//melA//phnM//gpmA//paaE//leuC//ssuD//aspC//yeaG//kbaZ//ldtC//rffC//avtA//
PrpR_neg	
PrpR_pos	queA//purM//prpC//leuA//
PspF_neg	
PspF_pos	epd//
PurR_neg	ttdA//astA//nagB//nadC//queA//rutC//fadD//ulaD//tehB//argI//murC//prpE//hycD//nanM//xdhB//fadD//patD//phnO//glk//lysA//pagP//metB//icd//fabG//oxc//cysC//
PutA_neg	pdeF//cadA//
PuuR_neg	gltB//rbsD//appA//fadD//ada//ulaG//
QseB_neg	
QseB_pos	
RbsR_neg	metF//adeD//waaZ//mtlD//fabZ//
RbsR_pos	hcaD//
RcdA_neg	
RcdA_pos	mtlD//
RclR_pos	
RcnR_neg	idnO//
RcsAB_neg	galK//
RcsAB_pos	ansB//umpH//
RcsB-BglJ_pos	zwf//wecE//
RcsB_neg	kbaY//
RcsB_pos	rhaB//kbl//fucK//
RelB-RelE_neg	fabG//
RelB_neg	ascB//
RhaR_pos	
RhaS_pos	metL//ilvD//trpB//nrdB//
Rob_neg	
Rob_pos	argD//mhpD//fadE//pykF//acs//rtcA//dsdA//purB//sodB//metH//bioA//ybjG//nanM//cysI//paaB//guaA//tyrB//wzc//ssuE//
RstA_neg	udp//mnmG//
RstA_pos	glgP//
RtcR_pos	tynA//rffT//
RutR_neg	wzc//hemA//pdeF//moeB//araB//gltX//serA//lyxK//prs//hypF//
RutR_pos	preA//
SdiA_neg	
SdiA_pos	
SgrR_neg	metB//
SgrR_pos	prmC//polB//
SlyA_neg	
SlyA_pos	add//astA//yeaE//gor//gpmM//paaK//metC//glpX//chiA//
SoxR_neg	
SoxR_pos	allA//
SoxS_neg	
SoxS_pos	polB//gatZ//astC//gadA//ppc//murC//gpmM//serA//lacA//tnaA//ilvI//pgaB//hcaC//ubiC//gabD//metA//patD//metA//acnA//astA//nirD//glgX//glpC//aroL//sbcC//ugpQ//
SrlR_neg	mhpE//purB//rutE//
StpA_neg	hchA//mngB//sdhB//
SutR_neg	tdh//add//
SutR_pos	
TdcA_pos	adeD//trmA//glgA//allC//malQ//
TdcR_pos	aceB//rnpB//glyA//carB//purE//
TorR_neg	ilvE//
TorR_pos	glpA//wrbA//nrfD//hyi//
TreR_neg	preA//ynfG//
TrpR_neg	adhE//uxaA//alaA//ubiC//tam//fucU//hyaA//katE//cyoE//
TtdR_pos	sucC//umuD//
TyrR_neg	astA//dusB//tdcD//glcF//narH//dhaL//aroH//
TyrR_pos	astA//dinB//ynfH//
UhpA_pos	pspE//
UidR_neg	atoA//paaB//
UlaR_neg	ycjG//recD//nrdA//sbcC//leuD//
UvrY_pos	moaD//rffH//
UxuR_neg	araB//ftsI//tyrB//sdhD//pck//
XapR_pos	ilvC//nfsB//
XylR_neg	
XylR_pos	argH//argC//prpE//
YdeO_neg	
YdeO_pos	mhpC//metH//ravA//
YefM-YoeB_neg	lhgO//
YefM_neg	bcsZ//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	yqjH//murQ//glpD//moeB//chiA//glsA//
YjjQ_neg	carB//apaH//
YpdB_pos	
YqhC_pos	cysG//sucB//
YqjI_neg	preT//
ZntR_pos	ulaG//
ZraR_pos	
Zur_neg	dsdA//
