# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	lacA//oxc//
AscG_neg	recF//ugpQ//
AsnC_neg	rutA//
AsnC_pos	alsE//
AtoC_pos	ccp//ynfH//lsrF//
BCCP_neg	putA//
BaeR_pos	xylA//cadA//
BasR_neg	upp//
BasR_pos	aldA//codA//
BetI_neg	trpB//mngB//lpxA//
BirA_neg	pck//nadA//napB//lhgO//asnA//
BluR_neg	
BolA_neg	yeaE//pdeH//
BolA_pos	gor//ahpF//
BtsR_pos	purA//
CRP_neg	gpmA//hyaB//frdA//nrfC//apaH//atoB//citF//lacA//purN//cyoE//ndh//srkA//ldtC//purH//recF//glgX//fucA//nirD//lacZ//arsC//dkgB//glpA//bglB//glpA//gntK//hyaB//xdhC//pgaC//bacA//dgcZ//rbsK//fabB//ynfF//yedX//metL//gatY//gltX//ilvN//phnH//tktB//glgA//narH//dkgB//hcp//deoA//paaK//puuD//frdB//garR//nagA//oxc//fucU//nrdD//uxaC//araD//astE//ppiA//gudD//pdeH//adiA//folA//cysD//galK//dmsB//hpt//gabT//dapB//puuC//pgaC//sufS//napH//
CRP_pos	alaA//fadH//narI//garL//gapA//xylA//relA//napA//yqhD//fabG//arsC//gnd//wecE//citC//bglB//arsC//frdA//murC//nrdB//sucD//tpiA//ycjG//tdcD//gltA//astC//dadX//acs//fdhF//treC//pdeL//aspC//ulaF//patZ//tnaA//fadB//pagP//glsA//glgP//leuC//glpX//ravA//feaB//ilvG_1//pgaB//fadD//fes//pck//argI//rffG//truB//ttdA//ldtC//yiaK//wecB//speA//fruK//tadA//allA//hmp//lyxK//napB//uvrC//napH//nirD//mhpB//fucK//purE//fabI//fadH//sucD//alkB//xdhC//allA//rbsK//nrfA//glpB//folA//tam//pheS//alaC//fabA//hcaD//edd//pfkA//tehB//bioA//paaB//ttdA//pgaC//ilvH//pyrC//purF//nirD//betB//glgP//allD//uvrA//rtcA//lhgO//umuC//gdhA//adeD//ubiX//murE//folA//sodB//pyrD//fes//cysK//tdcE//ackA//ssuD//paaH//pgi//dhaM//pck//recF//luxS//tehB//aldB//phnL//umuC//wecE//umuD//hyaC//pgk//ygeA//nagA//phr//recF//deoB//frdB//alaC//dapB//rffH//cysC//ilvD//moaA//mngB//lacA//fumA//malY//purL//nrfD//sgbE//astE//avtA//malZ//prpC//napG//metB//idnO//gcl//glpQ//metE//idnD//pdxA//nrfA//leuA//chbF//cueO//sdaA//ttdA//idnO//cysH//rhaA//ahpF//lacA//paaF//fes//ugpQ//feaB//iscS//arsC//gpmM//aceA//phnM//fdhF//pdxA//hypF//glk//ndh//gcl//mhpD//rsmH//zwf//purN//rutA//dapD//rutB//ynfE//fabD//nrdF//umpH//phnG//hpt//astE//nanE//napH//murI//gadB//nanE//waaY//paaE//srlD//lysU//garL//recF//glcE//fucK//entB//metH//glyA//malS//asnB//pdeL//malQ//lyxK//moaD//aldB//alsE//pykF//fadA//dacC//sdhC//tktB//glpD//sufS//gpmM//ldtC//pgm//fucA//malQ//wecC//grxA//entH//fabG//fumB//waaZ//accC//katG//trmA//astE//eda//tdcG//lpxA//purN//dkgB//fadE//
CadC_pos	putA//ynfG//glk//
CaiF_pos	frdA//yqjH//frdC//fabB//aroA//
Cbl_pos	glpA//umuD//nirD//paaG//frdC//
CdaR_pos	moeB//pgk//ubiX//lpxC//ddlB//yeaE//pnp//kbl//rfe//
CecR_neg	asnA//
ChbR_neg	phnP//fadE//acnB//
ChbR_pos	alaC//patD//paaK//
ComR_neg	
CpxR_neg	leuB//pdeH//nagA//
CpxR_pos	fumC//dapB//ruvB//dapD//astD//hyaA//argH//leuA//mhpD//yqjH//argB//carB//gnd//fadJ//dhaK//cysN//xdhB//fdhF//
Cra_neg	pspE//lpd//puuA//moeA//waaY//purK//ilvI//srkA//relA//lysC//ycjG//nrfC//entA//lsrK//cynS//alkA//appA//araB//umpH//lpxD//citX//gpmA//ddlB//tynA//lysA//moaD//phnO//cysG//glgX//amiA//psd//paaF//galE//aceF//nanM//garK//sbcD//acnA//mhpB//allE//rbsK//hycE//nadA//rutD//galT//
Cra_pos	uxuB//truB//metL//gltB//yeaG//cyaA//ilvI//gpsA//gcd//gpmA//glcE//pdeH//dhaM//rffM//amiA//astE//murI//
CreB_neg	deoB//
CreB_pos	fucO//
CsgD_neg	hyaA//caiA//
CsgD_pos	araD//cheR//ddlB//
CsiR_neg	rffT//umuD//lsrF//ilvB//
CspA_pos	recD//
CueR_neg	dkgA//betB//prs//
CueR_pos	mtlD//gloA//
CusR_pos	srlD//ppiA//arsC//pdeF//
CynR_neg	
CynR_pos	ahpC//fadJ//glyA//
CysB_neg	ddlB//katE//idnO//
CysB_pos	tynA//mraY//tktB//bioD//asnB//phoA//glpC//hemH//malP//glk//hemH//cysE//paaK//dapD//
CytR_neg	accC//paaZ//ilvN//patD//deoD//rutE//aceF//folA//lsrK//tehB//
DcuR_pos	bcsZ//ndh//ilvM//fabA//
DeoR_neg	fes//lacA//ahpC//lysC//murD//citD//
DhaR_neg	
DhaR_pos	iscS//
DicA_neg	
DinJ-YafQ_neg	melA//
DnaA_neg	rsmH//argD//ssuE//gadB//queA//
DnaA_pos	alkB//hycE//prpD//
DpiA_neg	
DpiA_pos	epd//pncB//purH//rbsK//adiA//
DsdC_neg	
DsdC_pos	nirB//manA//
EbgR_neg	
EnvR_neg	lacZ//manA//
EnvY_pos	dadX//glmS//
EvgA_pos	fabZ//sdhC//putA//pgaC//epd//allD//
ExuR_neg	dhaM//sucC//fadJ//argF//manA//citC//
FNR_neg	garK//purL//moeB//sodA//phnH//gpmA//cynT//allA//ilvG_1//nrdF//epd//citD//cysE//pyrC//pheS//kbaZ//uxuA//metC//garK//pgaD//fumB//ppc//bioA//hypF//ybjG//cmoM//sdhC//tnaA//tadA//oxc//ubiC//rhaA//rffC//metH//umpH//moaE//nrdE//ppiA//ruvB//entD//rimK//umpH//entB//pgaD//
FNR_pos	fes//gudD//nrdB//xylB//carB//ubiG//hemA//manA//melA//cyaA//paaY//ycjG//asnB//uxaB//argA//dgcN//narI//wecE//hycB//ilvH//ftsI//nrdB//apaH//garK//hyaC//pdeL//fadH//cheB//purL//trpD//pdeH//ftsI//glcF//dacC//pagP//argF//yfdE//lacA//accD//folE//ackA//fabZ//leuA//fumB//cysJ//fumC//deoC//arsC//guaB//xapA//bioF//alkA//treC//rutD//upp//cysK//dkgA//glgA//accA//purA//ssuE//hypB//galE//bioD//purM//nrdF//dmsC//ynfF//entH//glmS//lyxK//pgaC//dmsA//cynS//ahpF//cmoM//glcE//gabT//gntK//ravA//hcp//lpd//mhpE//sgbU//ftsI//cysJ//nfsB//astB//bacA//aroG//mhpE//lsrK//ndh//araB//dhaL//nadC//
FabR_neg	wrbA//acnA//umpH//
FadR_neg	gabD//trpA//gadA//fau//thrS//treC//deoB//moeA//nrdD//
FadR_pos	nirD//ruvA//dhaL//hypB//manA//purL//gpmM//allC//tyrA//ansB//
FeaR_pos	argI//tdcG//
FhlA_pos	glmS//wzb//glmS//ygeA//ybjG//ackA//nrdD//ttdA//
Fis_neg	glmS//hemA//argB//gltX//glcB//hemA//hcaE//ubiA//yedX//pdxA//ldtD//cueO//bcsZ//fumA//paaJ//cysM//glmU//rffM//lsrK//aldB//fadE//ydcS//acnB//ynfE//pncB//bglB//gor//lpxA//preT//citF//pagP//moaD//pflB//ldtD//bglB//glpB//ynfG//recB//chiA//sbcC//rpiB//hyaC//rffC//dacC//truB//xdhC//
Fis_pos	nanE//argB//paaZ//entF//metB//rhaB//recD//pyrD//nrfC//dhaK//murI//lysA//hyaB//pspE//wzb//wecB//pck//fadD//idnO//glpB//allD//bcsZ//fumA//argA//aroH//hpt//gatD//allA//ilvE//paaB//atoA//argA//paaG//lpxC//hmp//appA//phnG//
FlhDC_neg	mpl//glpA//
FlhDC_pos	phnJ//yfdE//phnP//ygeA//phnO//paaY//bioF//uidA//malZ//speA//metH//hyi//
FliZ_neg	waaY//pfkA//asnB//treC//nanA//
FucR_pos	glyA//astC//fucO//sodB//aspC//paaC//
Fur_neg	moaA//uxaA//iscS//gabD//ttdB//rffG//guaA//purE//citC//rimK//fabA//bioD//sdhB//hchA//cysJ//metE//caiB//aldA//nrfA//dhaK//ttdB//uxuA//rutA//trmD//nrfC//aceF//thrS//argC//lacZ//fes//prmC//entB//napB//acs//pspE//caiB//carA//atoB//purN//hypF//ppc//chbF//nanA//aroF//hflX//garR//cdd//hcaC//tam//ychF//accC//iscS//acnA//
Fur_pos	paaH//cheR//dkgA//lldD//fumB//mraY//gatD//rffM//eno//nrfA//glnA//gabD//patD//rffH//uidA//feaB//
GadE-RcsB_pos	narI//pyrC//fabG//adiA//tauD//
GadE_pos	glpE//amn//yfdE//accC//lhgO//gutQ//fadH//citG//metA//ulaD//
GadW_neg	nfsB//polA//rimK//
GadW_pos	hflX//ogt//cysE//cyaA//
GadX_neg	wecE//slt//
GadX_pos	moeB//chbF//glmU//rffC//adeD//patA//nrdE//serC//cysH//fadB//nrfD//
GalR_neg	gadA//nfsB//cheB//eda//pdeR//hemH//
GalR_pos	ruvB//galT//bcsB//betB//
GalS_neg	prpB//rhaD//hchA//luxS//hycC//cdd//
GalS_pos	bioC//pagP//yedX//yqjH//
GatR_neg	waaH//aroH//rtcA//
GcvA_neg	dhaL//prpD//serC//
GcvA_pos	puuC//nanM//bioB//
GlcC_neg	
GlcC_pos	glyA//kbaZ//fadE//
GlpR_neg	phnO//ribA//tam//gntK//alkB//deoD//ribA//
GlrR_pos	
GntR_neg	gcd//puuE//rnpB//mpl//aroH//chbG//puuA//chbF//adhE//
GutM_pos	tynA//icd//icd//
H-NS_neg	cynS//purC//pspE//oxc//uvrC//ddlB//rimK//phnO//sucB//murC//metH//ybjG//ycjG//purL//hyi//nagA//accA//malY//ftsI//idnD//dadX//fabZ//malQ//uxuB//galK//hcaC//fucO//sdhB//trmD//hemH//pdeH//glgA//acs//nagB//fabH//frdD//rtcA//phoA//nadB//kbaY//eda//malY//sdhB//uxuA//dapD//umuD//rtcB//astB//icd//rffT//moaA//
H-NS_pos	xylB//slt//dkgA//moeB//chbF//cdd//ackA//puuA//cueO//glpQ//nrdA//sgbH//chbG//gltA//cysM//
HU_neg	xapA//tktB//pdeL//dsdA//leuD//yeaG//argC//
HU_pos	
HcaR_neg	
HcaR_pos	glcE//fadB//
HdfR_neg	
HdfR_pos	
HigA_neg	mazG//
HigB-HigA_neg	guaB//
HipAB_neg	entB//betB//
HipB_neg	sdaA//fadI//glgP//
HprR_neg	ogt//napB//
HprR_pos	puuE//citG//
HyfR_pos	argG//
HypT_neg	ynfH//aroL//
HypT_pos	mpl//xdhB//rutA//paaF//pnp//
IHF_neg	fes//tdh//sdhD//caiB//frdD//lacA//sdaA//glmU//pnp//rsmH//nadB//aroH//entF//fadB//eno//waaH//ubiX//mpaA//dkgB//aceF//ynfE//nfsA//chbF//caiA//guaA//ilvD//fadI//entF//chbF//speB//moeB//fumA//rffC//fabD//aceF//srlD//gadA//rhaB//fadJ//tnaA//murI//speB//glcE//
IHF_pos	yeaE//rffH//nemA//yeaE//nrdE//glgA//fadM//phoA//sbcC//mngB//caiC//ugpQ//prpD//pykF//hemF//fadD//arsC//ribA//truB//sbcC//patD//cyoE//hcaC//prpD//aceE//aceB//nanM//entF//uvrC//gpmM//nfsB//fau//pgpC//preA//cysC//mhpB//phnJ//fadE//nagB//murI//alaC//deoD//kbl//cueO//sgbH//alaA//mltF//luxS//ygeA//lsrG//lysC//gcd//cysK//serA//gatY//katG//rtcA//gapA//uxaA//ahpF//glxK//polA//purN//polB//kbaY//leuA//moaC//citF//sucD//dadX//galE//
IclR_neg	glxK//ychF//cysM//
IdnR_neg	allD//umpH//
IdnR_pos	ppsA//cyoE//cdd//fadD//
IlvY_neg	
IlvY_pos	lyxK//
IscR_neg	dgcC//mtlD//murF//serC//pflB//garK//
IscR_pos	fabB//nadA//
KdgR_neg	pgaB//sucB//
KdpE_pos	fdhF//
LacI_neg	napB//entD//fadB//
LeuO_neg	
LeuO_pos	pepD//galM//tyrB//citF//tyrA//glpD//
LexA_neg	purK//paaF//wzb//rtcB//nrdE//glk//mnmG//paaH//pheT//glgX//gltX//ilvA//rffG//hycB//pgm//add//dgcC//cysM//carB//napA//prmC//ung//ribA//
LldR_neg	dgcN//lhgO//
LldR_pos	araB//moeB//
LrhA_neg	
LrhA_pos	
Lrp_neg	dhaL//nrdB//nemA//rtcB//recB//purE//dkgA//phnG//rutA//paaA//fabB//hemH//fadA//glpE//allA//ilvA//fabD//malQ//gnd//argG//ilvG_1//katG//katE//
Lrp_pos	nrdD//sdhB//prpE//oxc//moeB//aceA//nfsA//rffG//atoD//allA//xdhC//yiaK//folA//yqhD//fadE//paaK//malZ//malS//metF//treC//
LsrR_neg	wecC//umuD//galE//pspE//ilvH//
LysR_neg	
LysR_pos	ampC//
MalI_neg	oxc//pdeF//
MalT_pos	hycB//ubiG//murF//allD//ahpC//rffG//
MarA_neg	sbcD//
MarA_pos	ilvD//bioC//ynfH//lysA//preA//phnN//napB//pfkA//allD//tdcD//dapB//lsrF//glpK//carB//glxR//truB//malY//aceE//idnD//pdxA//serC//ilvI//nrfD//
MarR_neg	
MatA_neg	alkB//
MatA_pos	
MazE-MazF_neg	dkgB//
MazE_neg	uvrC//
McbR_neg	
McbR_pos	
MelR_neg	fabZ//amn//
MelR_pos	ygeA//galE//
MetJ_neg	aroL//paaY//rhaB//pgm//pgk//mhpB//hycF//ubiC//recB//xylB//
MetR_neg	sdaA//
MetR_pos	idnO//paaI//fes//acs//
MhpR_pos	lacA//sdaA//yeaG//mdh//betB//phnP//
Mlc_neg	puuE//hyaB//dadX//hemA//
MlrA_pos	bacA//
MngR_neg	dadX//ilvG_1//
MntR_neg	waaZ//
MntR_pos	ynfF//
ModE_neg	preT//ttdB//ribA//gcvH//cmoM//bioF//ttdB//gloA//
ModE_pos	ascB//epd//ilvN//pepD//ubiC//hflX//gpsA//paaH//pgpC//
MprA_neg	entC//pflB//treC//
MqsA_neg	patA//dgcN//
MraZ_neg	ppsA//bioB//trpE//rhaB//ilvC//pgi//ulaG//phnL//glpX//purF//
MurR_neg	lldD//hycG//hemF//
MurR_pos	
Nac_neg	murQ//atoB//glcB//
Nac_pos	nemA//ygeA//bioB//ilvI//katE//purE//bioA//ftsI//
NadR_neg	sgbE//ilvG_1//dacC//ahpC//
NagC_neg	galK//fadJ//tdcE//lyxK//polA//atoA//lpd//galE//kbaZ//glmU//ppc//sdhC//hcaE//glcE//ilvM//accD//rtcA//lpxD//
NagC_pos	sbcD//pncB//
NanR_neg	cysG//trmA//nirB//pdeH//udp//xdhC//
NanR_pos	
NarL_neg	gpmA//hcaB//preA//gcvH//glgB//paaF//trpD//entB//yiaK//torA//zwf//pykF//gpmM//tktB//deoB//fadB//sgbE//hypF//hcaD//fabG//aceA//malS//napA//hypF//asnB//astE//pck//cpdB//
NarL_pos	fadD//rnpB//prpC//entD//recF//dhaK//ynfH//purD//narH//lhgO//atoA//lpd//hycG//ribA//sucB//
NarP_neg	yfdE//ogt//dhaL//alaC//mnmG//
NarP_pos	tpiA//pheS//mhpA//dapD//xdhB//fabD//fadD//dapD//lyxK//nirB//lpxA//phnO//ubiC//nrdE//
NemR_neg	lacA//ahpC//
NhaR_pos	glk//ynfG//sbcD//gnd//fadE//
NikR_neg	preT//
NimR_neg	metC//
NorR_neg	
NorR_pos	yfdE//
NrdR_neg	wecE//tdcD//ruvB//rhaD//
NsrR_neg	nfsA//rhaB//allD//citD//ubiG//puuE//rffC//tynA//ynfG//leuD//metK//nrdA//amn//atoB//mraY//glcB//recB//preT//accD//fadD//moaE//bioF//cynS//ynfF//allA//pgm//ssuD//aroF//uxaC//phnP//hyaB//lhgO//polB//yqjH//phnI//metB//lpxA//citC//fadJ//glgB//
NtrC_neg	deoC//fau//
NtrC_pos	garL//aldB//cysE//garK//aroA//araB//agp//hpt//lysA//lsrG//purB//upp//dgcZ//speB//dacC//gcd//glpB//ahpF//alkA//paaB//sgbH//
OmpR_neg	napH//glxK//citE//slt//yeaG//
OmpR_pos	ahpF//cysG//mdh//dkgA//
OxyR_neg	frdC//cynS//hycF//gatD//glmU//
OxyR_pos	pgaC//hemL//patZ//napG//tam//atoA//fabZ//hmp//ddlB//adiA//fabI//hyaA//
PaaX_neg	tdh//argC//lsrK//rhaD//mngB//purK//ackA//bioA//cysM//
PdeL_pos	fabB//
PdhR_neg	araD//serC//grxA//purL//gadA//uidA//atoA//acnB//gatD//ilvD//ttdA//napB//argH//speC//polA//queA//pgpC//lldD//alkB//argB//galK//napH//glpX//
PdhR_pos	trpC//ppc//
PepA_neg	citF//sucD//
PgrR_neg	torA//glgB//
PhoB_neg	tdcB//yeaG//gudD//astC//moaA//
PhoB_pos	udp//uxaB//nfsA//ilvB//alaA//cueO//recB//caiA//citF//ogt//paaC//rbsK//leuA//tktB//torC//kbl//adhE//
PhoP_neg	serA//aldB//tdh//
PhoP_pos	bcsB//cueO//yedX//glcD//lsrF//upp//fadM//astE//srlD//pagP//chbG//deoB//ldtD//ulaD//dkgA//carB//pykF//fbaB//ldtC//ldtC//dinB//nrdF//ldtB//rffT//gpmA//umuD//pdxA//speB//alsE//gloA//poxB//
PrpR_neg	
PrpR_pos	fabI//gudD//napG//galE//
PspF_neg	
PspF_pos	allE//
PurR_neg	wrbA//recB//lyxK//waaZ//sodB//ynfG//puuC//accD//mhpF//puuD//speB//nfsB//lsrF//rhaD//idnK//talA//hcaE//uidA//idnD//wzc//metK//hemA//dapD//treC//hycE//gpmM//
PutA_neg	guaB//ygeA//
PuuR_neg	gabD//accA//trpB//nirD//aspC//bioD//
QseB_neg	
QseB_pos	
RbsR_neg	aroH//narI//ssuD//aspC//sgbE//
RbsR_pos	rhaA//
RcdA_neg	
RcdA_pos	glmU//
RclR_pos	
RcnR_neg	lsrG//
RcsAB_neg	trpE//
RcsAB_pos	cheB//glgP//
RcsB-BglJ_pos	lsrF//mhpC//
RcsB_neg	gdhA//
RcsB_pos	ubiC//glmS//purK//
RelB-RelE_neg	ascB//
RelB_neg	caiC//
RhaR_pos	
RhaS_pos	napH//narH//metC//waaH//
Rob_neg	
Rob_pos	pflB//ftsI//mhpF//pgpC//rbsD//ampD//uxaA//araA//narH//moaA//glcF//paaE//ugpQ//narI//purC//ccp//patZ//garK//sodA//
RstA_neg	metA//cysC//
RstA_pos	rsmA//
RtcR_pos	nadA//ygeA//
RutR_neg	gpmA//purM//hycF//glpE//nadC//cysG//putA//prpE//ulaD//lsrF//
RutR_pos	sucC//
SdiA_neg	
SdiA_pos	
SgrR_neg	ahpC//
SgrR_pos	glxK//sodA//
SlyA_neg	
SlyA_pos	cmoM//gntK//bacA//napA//iscS//tauD//ddlB//frdC//pgaC//
SoxR_neg	
SoxR_pos	nrfA//
SoxS_neg	
SoxS_pos	pgk//gcvP//glpX//glgX//pspE//avtA//cynT//pyrC//frdC//ttdA//fadI//ccp//ppiA//sufS//dsdA//paaE//wzb//dinB//gnd//uidA//murI//ssuD//ulaG//yiaK//dinB//gcd//
SrlR_neg	ldtC//dapD//entA//
StpA_neg	cyoE//cysN//astE//
SutR_neg	purK//rutC//
SutR_pos	
TdcA_pos	caiD//ilvD//glcF//cysD//nanM//
TdcR_pos	gor//accA//oxc//dadA//nrfD//
TorR_neg	trmA//
TorR_pos	gcvP//folA//fruK//mdh//
TreR_neg	appA//rhaB//
TrpR_neg	add//narI//gatD//puuC//metH//ahpC//paaE//leuA//hemH//
TtdR_pos	uvrA//fumB//
TyrR_neg	araB//trmA//fadJ//xdhA//gapA//phnH//ssuD//
TyrR_pos	narI//aldA//alkB//
UhpA_pos	pgaC//
UidR_neg	ilvN//chbG//
UlaR_neg	nadB//bioC//sgbE//paaF//sdhA//
UvrY_pos	tdcE//aceF//
UxuR_neg	paaY//metK//katE//gnd//ubiG//
XapR_pos	ftnA//narI//
XylR_neg	
XylR_pos	garK//phnO//murQ//
YdeO_neg	
YdeO_pos	cmoM//nagA//metC//
YefM-YoeB_neg	glpX//
YefM_neg	hcaB//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	allD//frdC//phnM//poxB//patD//pnp//
YjjQ_neg	fruK//gdhA//
YpdB_pos	
YqhC_pos	manA//mhpF//
YqjI_neg	pheS//
ZntR_pos	ubiX//
ZraR_pos	
Zur_neg	accC//
