# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	umuD//hemL//
PdhR_neg	ssuD//hyaC//gatZ//hpt//amn//eda//uxaB//fabI//ubiG//cysI//paaE//cheR//hyaC//dgcN//caiC//fdhF//rhaD//dapD//aspC//tnaA//pdxA//cysD//dmsA//
PdhR_pos	glgB//glcD//
PepA_neg	lsrK//arsC//
PgrR_neg	dmsC//argB//
PhoB_neg	fucI//treC//yiaK//guaB//ubiA//
PhoB_pos	torC//hyaB//nanK//nrdF//patZ//pheS//betA//galM//aroL//katE//xdhA//fadM//ftsI//moaE//trpA//metB//gltB//
PhoP_neg	mpl//rbsK//ugpQ//
PhoP_pos	dgcC//mhpD//lsrK//fucU//idnO//murI//rhaD//tnaA//dadA//astE//ychF//carA//folE//metE//cysG//lsrG//alsE//napG//tauD//alaC//cysG//preA//trpE//cueO//guaB//glxR//purB//aceE//pheT//yedX//ilvN//
PrpR_neg	
PrpR_pos	nirD//caiA//fadD//ansB//
PspF_neg	
PspF_pos	araD//
PurR_neg	appA//cheR//hycB//pheS//sucD//uxaC//rutC//recB//lsrG//ygeA//cysK//mltF//leuB//dmsC//torC//purL//gnd//aspC//aldB//nanE//sdhA//glcF//ada//tehB//ruvB//ssuD//
PutA_neg	patD//aroG//
PuuR_neg	guaB//dgcN//fadA//acnA//mngB//pgaB//
QseB_neg	
QseB_pos	
RbsR_neg	pgk//aceF//galE//pyrD//galE//
RbsR_pos	puuB//
RcdA_neg	
RcdA_pos	waaH//
RclR_pos	
RcnR_neg	ulaG//
RcsAB_neg	rffG//
RcsAB_pos	gpsA//ugpQ//
RcsB-BglJ_pos	citC//rffH//
RcsB_neg	lysC//
RcsB_pos	betB//betA//tdcB//
RelB-RelE_neg	paaZ//
RelB_neg	umpH//
RhaR_pos	
RhaS_pos	add//purE//pspE//ubiA//
Rob_neg	
Rob_pos	rffG//moaC//cadA//nrdB//recD//gatY//bcsB//bioA//uxaA//waaZ//katG//fumB//glpC//serC//fumA//asnB//glpD//pnp//allB//
RstA_neg	entF//speA//
RstA_pos	nrdF//
RtcR_pos	trpA//polA//
RutR_neg	allC//malP//purN//ygeA//astB//leuC//paaY//purK//putA//bioC//
RutR_pos	moaE//
SdiA_neg	
SdiA_pos	
SgrR_neg	nanA//
SgrR_pos	lsrF//galM//
SlyA_neg	
SlyA_pos	nadC//kbaZ//melA//uxaB//pdeF//nemA//fucI//slt//edd//
SoxR_neg	
SoxR_pos	ftsI//
SoxS_neg	
SoxS_pos	bioF//aldB//ilvE//rbsD//paaC//argD//prpC//glcF//accA//phoA//fabI//citC//adhE//ssuE//argB//eda//ssuD//rtcA//pheS//rimK//dhaL//pdeH//astC//caiA//napB//rsmA//
SrlR_neg	ilvA//fdhF//bcsB//
StpA_neg	astC//nanK//glpK//
SutR_neg	alsE//pgaB//
SutR_pos	
TdcA_pos	tdcD//rffM//bglB//ynfG//pgaB//
TdcR_pos	wecC//pgaB//fabH//mnmG//pspE//
TorR_neg	xapA//
TorR_pos	sodB//mhpF//glcB//psd//
TreR_neg	aldA//fabA//
TrpR_neg	malP//moaC//pck//xapA//mazG//ilvH//ubiG//pgaD//nirD//
TtdR_pos	aceF//rffH//
TyrR_neg	gpmA//gnd//pdeL//pncB//wecB//ldtC//torC//
TyrR_pos	glcF//poxB//ribA//
UhpA_pos	glmU//
UidR_neg	torA//rffH//
UlaR_neg	appA//bioA//sodB//hyaC//tehB//
UvrY_pos	hycC//sgbH//
UxuR_neg	torA//ilvB//yeaG//metL//rsmH//
XapR_pos	purE//fabD//
XylR_neg	
XylR_pos	ampC//gpmM//sdaA//
YdeO_neg	
YdeO_pos	pheT//ahpC//ldtD//
YefM-YoeB_neg	pgi//
YefM_neg	glmU//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	acs//umuC//rutD//allC//nirD//rhaA//
YjjQ_neg	bioD//lldD//
YpdB_pos	
YqhC_pos	nrdF//citC//
YqjI_neg	rfe//
ZntR_pos	iscS//
ZraR_pos	
Zur_neg	cdd//
