# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	mhpC//icd//
CRP_neg	idnK//fadD//xdhC//trpC//puuD//glgA//pepD//nrfD//ynfF//dapB//allE//poxB//queA//aspC//tdh//purB//bioB//hcp//rhaD//serA//nfsA//nanA//rnpB//lpxA//aroH//deoC//tynA//paaG//malZ//idnO//dsdA//bcsB//add//betB//mhpB//astB//purC//araA//lyxK//citG//tdcG//uvrC//tdcB//yiaK//lsrF//deoB//guaB//araB//icd//phoA//aceA//metL//rnpB//ampD//folA//ppiA//hflX//iscS//umpH//fadB//umpH//ulaF//cheR//ung//fbaB//hyaB//waaY//tynA//fumC//nrdB//dkgB//
CRP_pos	ttdA//narG//epd//cdd//rnpB//lacA//ychF//murD//uvrA//carA//dinB//bioC//caiB//murF//carB//paaA//cysI//tktB//alaA//lpxD//sdaA//pck//atoA//pspE//wzc//folA//pspE//udp//mpl//deoC//gdhA//nadA//fbaB//mhpE//sdhD//pgm//malZ//araA//ttdA//dmsB//araD//moaD//lsrF//fabZ//mhpF//entB//trmD//ftsI//aroL//prpC//metC//ilvM//alaA//ssuD//yqhD//fucI//phoA//hchA//kbaZ//mhpA//ulaG//fabB//puuE//pagP//pspE//trpE//idnK//trmD//cysH//fumA//dmsC//galE//allD//wecB//yqjH//gltA//ubiA//gapA//bcsB//dapB//sdhC//cmoM//patZ//trpA//phnP//lldD//uvrA//allA//glpK//gpmM//rhaA//phnG//grxA//phnM//patZ//aroL//uxuB//cysE//sbcC//oxc//sbcC//allC//ybjG//nfsB//bacA//argH//galE//rtcA//astB//cdd//slt//queA//rbsK//cheR//serC//fbaA//lhgO//queA//fumA//dkgA//ynfG//napG//nrfC//rutE//aceE//galT//eda//fadA//murI//uvrC//pdeR//umuD//glgX//eda//fadH//waaZ//hemA//sgbE//metC//pgpC//entC//aspC//aroA//atoD//lacA//mhpA//xylB//glnA//prpC//purM//napB//nanA//wzc//garD//hpt//fadB//ychF//cueO//fadJ//moeA//dgcN//bioF//pykF//lsrK//ilvD//gabT//argA//napB//rimK//rpiB//ubiA//lsrG//lacZ//mhpF//fadE//rimK//appA//entC//mhpE//paaJ//rtcA//adiA//paaF//ilvN//lacZ//frdA//argE//avtA//trpE//ugpQ//ppc//phnJ//paaE//aldA//nirD//rutA//rnpB//umuD//ilvE//torA//dacC//hcaC//nagA//deoA//katE//yqjH//acnB//argC//ada//glyA//alsE//ampC//uxuB//atoA//argG//cyaA//fabZ//atoD//galT//sucB//truB//fabA//rbsK//dsdA//narI//sodA//dgcZ//nanM//dsdA//rutD//mhpD//pheS//cysE//katE//ndh//entA//epd//pgi//fadB//phnP//ubiG//rhaA//wecB//nrdA//fes//nagA//gutQ//hypB//phnP//
CadC_pos	hpt//frc//tpiA//
CaiF_pos	tpiA//serA//nirD//nrfC//sgbU//
Cbl_pos	caiA//gltB//ccp//gltD//gor//
CdaR_pos	dkgA//fabZ//ackA//patD//serA//hypB//fadA//recB//pyrD//
CecR_neg	phnO//
ChbR_neg	gpsA//gadA//queA//
ChbR_pos	purA//uxuA//frc//
ComR_neg	
CpxR_neg	hchA//amiA//wrbA//
CpxR_pos	gltD//pheT//gatD//aceE//ampD//gloA//treC//luxS//glsA//fabD//gloA//hyi//fadI//deoC//aceE//cysC//hcaD//aroF//
Cra_neg	pagP//ilvD//phnH//malS//allC//sbcC//trpD//dgcC//murC//fabG//caiD//ilvH//sdhD//sufS//puuC//rtcB//tam//pnp//tyrA//glpQ//hcaD//arsC//yedX//ogt//dacC//lldD//uidA//glgB//ampC//cpdB//mpl//nirB//grxA//lsrF//gcl//lysA//gloA//pyrD//nfsB//fumB//fucA//dgkA//wecE//tdh//lsrG//
Cra_pos	citC//idnK//folE//murQ//fadH//chiA//gcvT//ilvI//ogt//gutQ//pgm//tauD//cysM//nirB//hcaF//glgX//fucU//
CreB_neg	ribA//
CreB_pos	trmA//
CsgD_neg	poxB//argH//
CsgD_pos	cysK//grxA//acnB//
CsiR_neg	argB//tauD//accC//asnA//
CspA_pos	nrdF//
CueR_neg	rtcB//fabG//entC//
CueR_pos	malP//patA//
CusR_pos	slt//paaY//rhaA//ftnA//
CynR_neg	
CynR_pos	fabB//dadX//mhpB//
CysB_neg	bioF//phnJ//glcE//
CysB_pos	glgA//glmU//cysM//thrS//malQ//citF//dinB//gpmA//ldtD//rffC//prpD//uidA//dapD//glyA//
CytR_neg	gatZ//pfkA//nadA//garD//codA//glpX//citF//ilvE//metF//wecE//
DcuR_pos	fumC//glpA//sdhD//ybjG//
DeoR_neg	betB//moaA//ulaD//fabD//sgbE//moaA//
DhaR_neg	
DhaR_pos	eno//
DicA_neg	
DinJ-YafQ_neg	guaB//
DnaA_neg	ulaF//glcD//paaH//yqjH//deoA//
DnaA_pos	pdeL//metL//galM//
DpiA_neg	
DpiA_pos	fabI//tpiA//purN//gor//hyi//
DsdC_neg	
DsdC_pos	sdaA//caiC//
EbgR_neg	
EnvR_neg	hycC//cpdB//
EnvY_pos	argI//fruK//
EvgA_pos	fumC//recF//leuB//paaY//feaB//uxaC//
ExuR_neg	allD//araD//tdcB//purM//udp//sgbE//
FNR_neg	entC//uvrA//gltA//hflX//hcaB//kbaY//ppsA//pdeR//ansB//rtcB//rutD//sdhC//metK//cheR//wecB//yiaK//argB//glgP//cadA//adhE//frc//ftsI//uxuB//dsdA//sodA//glpK//ackA//rimK//slt//lacZ//pagP//citE//dapB//argD//lpxA//puuA//wzb//pdeH//gltD//moeB//ppsA//polA//gapA//lpxC//
FNR_pos	glnA//dinB//yqhD//poxB//feaB//pyrD//phnJ//eno//glnA//citX//phnH//gadA//argG//rsmA//moeB//folA//aroF//sufS//gatZ//argF//yedX//ugpQ//guaA//srlD//rutE//malQ//murC//dgkA//pncB//ydcS//aroA//phr//xylB//ynfE//gatY//fdhF//idnD//serA//murF//fucO//tpiA//lsrF//gltD//allA//ppsA//glpX//appA//prpE//feaB//argA//allE//garL//wecE//alkA//avtA//lpxC//fbaB//garK//tyrA//puuA//cysI//prpB//bioD//wecB//ilvD//putA//ribA//pflB//lpxC//psd//cheR//nadB//cdd//paaA//carA//glpD//moeB//rhaD//glgX//nrfC//sgbH//argC//paaF//glgA//metK//mpl//glpD//glcE//hflX//dgcZ//lsrK//gatZ//purF//ansB//kbaY//fabZ//
FabR_neg	gcd//avtA//poxB//
FadR_neg	fabA//tdcG//betB//hycB//ackA//fucU//uvrC//ppsA//frdB//
FadR_pos	hcaF//allD//bioC//cysG//trpA//speB//paaB//astE//puuB//waaH//
FeaR_pos	deoA//alaS//
FhlA_pos	sgbE//aroH//uxuB//lpxC//lsrG//ogt//ydcS//glcE//
Fis_neg	mhpA//metC//hyaA//tadA//kbaY//guaB//gadA//citX//deoC//astD//uidA//fabZ//glmU//ydcS//moeB//hyaC//cysK//kbaZ//sdhD//murG//idnK//glpA//glyA//alkB//astC//recD//prmC//leuB//rfe//gltB//ahpF//lsrF//paaY//uvrA//gabD//phr//hycE//folE//ubiX//recD//polA//gutQ//aceE//tynA//trmD//galK//
Fis_pos	umuC//acnA//nirB//astE//nfsA//alaC//pyrC//hypF//cadA//cysJ//dmsA//glnA//murI//lpxA//murF//alaS//mdh//glpD//lldD//gntK//citF//napG//purL//pheT//ycjG//dusB//astC//edd//ilvI//fabH//ahpC//asnB//sufS//lpxD//mnmG//malZ//sodB//
FlhDC_neg	gor//phnO//
FlhDC_pos	hypF//glcE//rsmA//fadM//fadA//pck//pgm//deoD//phnJ//melA//ackA//avtA//
FliZ_neg	cysN//ahpC//dmsB//entD//glpD//
FucR_pos	fadA//ahpC//argE//ssuD//treC//glpB//
Fur_neg	caiB//astA//ruvB//pgaB//bioD//argG//gcl//murF//alaC//glsA//idnK//puuE//ssuD//glsA//trpC//ilvB//tdcG//sgbH//leuC//citX//phnG//ahpF//pfkA//citF//umuC//pspE//rffC//glcD//glxK//ackA//glcB//glsA//phnM//yiaK//uxaA//ilvC//fumC//pepD//narI//bioD//paaY//nrfD//phnP//wecB//gabD//ilvG_1//paaA//hflX//accA//rsmH//hmp//dhaM//bioD//
Fur_pos	ada//mhpC//gcvP//fabG//ppiA//fabD//aceE//fes//dgcN//uvrB//hyaC//zwf//nrdF//bioA//glsA//prpD//
GadE-RcsB_pos	rhaA//ynfF//rtcA//trpA//ahpC//
GadE_pos	slt//serC//moaD//dhaM//citC//bioB//metC//accD//napB//entC//
GadW_neg	ubiC//ynfH//recB//
GadW_pos	rsmH//fdhF//putA//aroG//
GadX_neg	yqhD//amiA//
GadX_pos	rutB//hpt//chiA//ahpC//waaZ//cynT//trpB//wecB//entE//gabD//rsmA//
GalR_neg	aceE//ppc//yeaG//atoD//patA//mltF//
GalR_pos	folA//garL//glgB//ilvD//
GalS_neg	lhgO//ilvC//paaH//trpE//bcsB//allB//
GalS_pos	icd//frdD//aroH//garR//
GatR_neg	acs//argD//recB//
GcvA_neg	serC//trpC//metE//
GcvA_pos	fdhF//waaH//astA//
GlcC_neg	
GlcC_pos	katG//fucI//fau//
GlpR_neg	ydcS//ahpF//rbsD//phnI//waaZ//rffH//glpX//
GlrR_pos	
GntR_neg	mhpA//grxA//hycE//aspA//fabD//fadA//argC//pdeH//argG//
GutM_pos	ttdA//tktB//metF//
H-NS_neg	hmp//malP//sdhC//nrdB//araB//rffG//uvrB//paaH//icd//narG//entE//allA//malS//glpE//ubiG//glyA//nrfD//mpl//glsA//ulaE//cysD//lysU//umuC//glmS//srlD//betA//glxR//gatD//tehB//garR//bioC//ppsA//bioB//ulaD//srkA//recF//hflX//ilvN//hypB//araA//gpmA//rpiB//nrdE//sucD//mraY//fadD//nrdD//mngB//malY//malZ//fadB//
H-NS_pos	entE//rsmH//entD//chiA//pgaC//dhaM//napA//aroH//guaB//nirB//ppsA//purH//purA//argE//mngB//
HU_neg	uxaC//fabD//cysD//carB//ilvD//malY//napB//
HU_pos	
HcaR_neg	
HcaR_pos	uvrB//tdcD//
HdfR_neg	
HdfR_pos	
HigA_neg	alaA//
HigB-HigA_neg	dmsA//
HipAB_neg	galK//agp//
HipB_neg	mhpB//ccp//pdxA//
HprR_neg	kbaY//gudD//
HprR_pos	dgkA//glpD//
HyfR_pos	metK//
HypT_neg	ubiA//cysG//
HypT_pos	torC//rnpB//pgaB//fabZ//ruvB//
IHF_neg	argA//purM//metK//rffM//tdh//ilvC//pgi//pykF//lsrG//nagB//paaB//fadH//fadI//alaA//ccp//cynS//sucD//hypF//pgaD//nrfA//argD//narG//cpdB//fadH//tehB//ulaE//frdD//ilvC//citX//dhaK//lpxD//garL//ttdA//melA//ascB//lpxA//rbsK//dkgB//xdhC//fadD//umuD//pgm//psd//
IHF_pos	adeD//queA//gudD//glpE//lpxD//hcp//ppsA//purB//ubiX//gpmA//recF//preT//rhaA//glsA//cysI//trpE//waaH//tdcE//purM//frc//napB//phnJ//entF//pdxA//metF//glpB//wecC//entF//gudD//hcaF//paaY//mazG//atoB//luxS//xylA//alaA//gadA//nanE//garL//speB//serA//narI//araD//paaY//paaY//gdhA//argG//ubiA//wecC//mpaA//glmS//lldD//amn//kbaY//sdhA//hemA//metK//gltB//manA//araD//tam//trpC//aceE//pyrD//sdaA//gabD//phnI//leuC//deoB//pdxA//eda//
IclR_neg	fadE//fabA//hcaE//
IdnR_neg	rffM//glyA//
IdnR_pos	dadA//serC//betB//entE//
IlvY_neg	
IlvY_pos	glcB//
IscR_neg	fabI//malY//bioC//bglB//amn//ubiG//
IscR_pos	wecE//dkgA//
KdgR_neg	glmS//mhpE//
KdpE_pos	hcp//
LacI_neg	ilvG_1//amiA//poxB//
LeuO_neg	
LeuO_pos	frdC//katG//phnG//cysE//rimK//tauD//
LexA_neg	rutE//ilvA//prmC//bioC//ubiC//lpxD//acnB//trmD//ppiA//sdhC//gadB//ampC//entD//glxK//ygeA//cdd//rtcA//torC//lpxC//leuA//ppc//adhE//nrfA//
LldR_neg	apaH//metK//
LldR_pos	psd//hycF//
LrhA_neg	
LrhA_pos	
Lrp_neg	purH//fadE//paaI//nemA//oxc//appA//aldA//tyrA//pncB//phnP//hypB//frdD//caiC//fadJ//polA//rffC//tdcE//murF//rffT//argI//zwf//ilvD//fumC//
Lrp_pos	lyxK//entB//bacA//galE//speB//fadD//hcaE//fdhF//ynfH//allA//lpxD//moaC//gdhA//alkB//pgaB//dmsA//glgB//hycE//gatD//ycjG//
LsrR_neg	sgbU//tynA//leuB//glmU//ulaF//
LysR_neg	
LysR_pos	kbaY//
MalI_neg	hemF//ilvE//
MalT_pos	deoC//paaH//paaE//adiA//xylA//glpB//
MarA_neg	purL//
MarA_pos	dadA//fumB//rffG//purA//pdxA//kbaZ//glk//uxaA//slt//ribA//pncB//ynfE//waaY//ulaG//fucA//ilvN//fau//glgX//guaB//narI//alsE//rffG//apaH//
MarR_neg	
MatA_neg	nrdA//
MatA_pos	
MazE-MazF_neg	puuD//
MazE_neg	fucI//
McbR_neg	
McbR_pos	
MelR_neg	ilvA//tktB//
MelR_pos	acnB//alaA//
MetJ_neg	purC//idnK//hyaC//ssuE//hemL//nrdA//astA//napH//ssuE//carA//
MetR_neg	folE//
MetR_pos	sdaA//cysK//nadA//astB//
MhpR_pos	wecC//ruvB//mazG//leuC//ulaG//pdeL//
Mlc_neg	astE//argH//acnA//trpD//
MlrA_pos	pgpC//
MngR_neg	hcp//hcaF//
MntR_neg	luxS//
MntR_pos	gutQ//
ModE_neg	tdcD//rimK//dgcZ//srkA//ilvC//ynfG//hemF//sdhC//
ModE_pos	glpE//glgC//sdhC//paaK//udp//waaZ//luxS//trmA//glpE//
MprA_neg	argB//fdhF//speA//
MqsA_neg	grxA//prpD//
MraZ_neg	katE//idnD//ilvI//trpC//purN//glsA//napB//rpiB//sufS//relA//
MurR_neg	tehB//nirB//puuD//
MurR_pos	
Nac_neg	sdhD//chiA//dhaL//
Nac_pos	atoA//paaH//ubiX//garR//nagA//dadX//pgpC//caiC//
NadR_neg	waaY//ynfF//moaE//nfsA//
NagC_neg	garK//aspA//idnK//folE//ynfE//argF//puuD//astB//sbcC//bioF//argF//paaE//trmD//phnN//xdhB//caiD//citD//nfsB//
NagC_pos	pheS//amiA//
NanR_neg	tdcE//deoD//trmA//ynfE//gpmM//bioD//
NanR_pos	
NarL_neg	rbsK//moeA//hcaF//araB//nemA//gcvP//chiA//gloA//nadA//caiB//ackA//narG//gor//zwf//puuA//fabI//pgi//bioB//adhE//leuB//tdcB//rffC//polA//phr//glgA//fabA//hemA//waaZ//
NarL_pos	apaH//ndh//rsmH//frdA//moaE//allD//napA//bioC//nrfC//gpsA//ahpF//moeB//mazG//poxB//paaB//
NarP_neg	xdhA//glxK//uxaC//nrdD//mhpA//
NarP_pos	fabZ//nfsA//pyrC//paaI//ruvB//alaS//glpQ//rbsD//sgbH//pspE//mpl//cysC//hemH//ahpF//
NemR_neg	tnaA//rutE//
NhaR_pos	sdaA//rnpB//dacC//aceE//rtcA//
NikR_neg	purH//
NimR_neg	garK//
NorR_neg	
NorR_pos	pgi//
NrdR_neg	bcsB//serA//murI//hflX//
NsrR_neg	ahpC//citD//pdxA//appA//ulaE//fucI//dhaK//tam//tdcD//cysM//tpiA//fadB//hyaC//nrdB//paaI//accD//pdeR//cysK//epd//gcd//tynA//carB//araB//phnO//ldtD//nanM//ydcS//torA//entB//deoB//gntK//paaH//pagP//idnD//metF//glmU//agp//fucU//argE//cysN//
NtrC_neg	pnp//nirD//
NtrC_pos	queA//ulaG//lysC//gltA//ruvA//ulaF//hcaF//entE//hyaC//appA//rutA//hycE//citE//rfe//glpX//acs//dhaL//fadM//cdd//rsmA//glcD//
OmpR_neg	puuA//hycG//xdhA//ruvB//fucO//
OmpR_pos	gpmA//nfsA//serA//carA//
OxyR_neg	moaA//moaD//aceF//dgcC//epd//
OxyR_pos	nirB//speC//icd//ygeA//fabD//ynfG//dacC//malZ//gatZ//lhgO//cysE//yiaK//
PaaX_neg	wecE//serA//udp//mngB//rimK//gpsA//paaB//uxuA//moaC//
PdeL_pos	uidA//
PdhR_neg	frc//bglB//rbsD//citC//pgi//ruvB//malQ//lysU//allE//hyaC//lacA//caiD//galT//paaY//fadH//rbsK//astD//wzc//alaC//trpD//acnB//srlD//murC//
PdhR_pos	udp//caiA//
PepA_neg	gcvP//purE//
PgrR_neg	malP//fucO//
PhoB_neg	acnB//pspE//cysD//add//gatD//
PhoB_pos	umuC//luxS//ung//glpX//kbaZ//murF//ynfH//aldB//rffM//codA//fabD//uxuA//moeB//bioC//fadH//pdeL//nemA//
PhoP_neg	paaG//dadA//glcE//
PhoP_pos	argG//pdxA//dhaK//bcsB//phnN//mpaA//uxaC//trpD//moeB//uidA//nanM//ruvB//ahpF//chbG//aceF//rutE//hemL//allE//gcvP//uxuB//dgcZ//hycB//hmp//queA//murI//citG//murD//sucB//deoD//hflX//purA//
PrpR_neg	
PrpR_pos	argB//sucD//fadE//nrdB//
PspF_neg	
PspF_pos	cheR//
PurR_neg	glcE//sbcD//ugpQ//caiD//entA//uxuA//argA//ilvB//entF//ppsA//glpE//cysD//rutA//idnD//fadE//trpA//cpdB//fadE//ilvN//fabI//gltX//galM//pspE//ynfH//murI//sufS//
PutA_neg	metL//bglB//
PuuR_neg	gcl//rpiB//murE//citG//malQ//pheS//
QseB_neg	
QseB_pos	
RbsR_neg	puuA//argI//cysK//luxS//srkA//
RbsR_pos	ilvI//
RcdA_neg	
RcdA_pos	hyi//
RclR_pos	
RcnR_neg	aceE//
RcsAB_neg	murC//
RcsAB_pos	queA//fadA//
RcsB-BglJ_pos	malQ//rutA//
RcsB_neg	icd//
RcsB_pos	narG//bcsB//pdeH//
RelB-RelE_neg	fruK//
RelB_neg	gatY//
RhaR_pos	
RhaS_pos	fucK//ulaE//ruvA//kbl//
Rob_neg	
Rob_pos	purB//hycE//bcsB//cysJ//dgcZ//pgi//glpA//serC//ubiG//napG//wrbA//citC//dhaL//hcaE//citX//codA//feaB//waaH//glgX//
RstA_neg	pdeF//bcsB//
RstA_pos	argI//
RtcR_pos	paaB//folE//
RutR_neg	yedX//ldtB//ndh//cysE//ruvB//cysH//glpQ//gdhA//speC//aroA//
RutR_pos	cdd//
SdiA_neg	
SdiA_pos	
SgrR_neg	gcl//
SgrR_pos	mhpB//paaK//
SlyA_neg	
SlyA_pos	astE//argA//kbl//bglB//hemL//nfsB//pgaD//ilvI//alaC//
SoxR_neg	
SoxR_pos	prpD//
SoxS_neg	
SoxS_pos	cysN//aldA//kbl//lpxA//lsrG//hchA//fucO//chbG//nirB//caiC//pgm//paaA//pfkA//napG//trpC//aroF//gadA//cynS//atoD//cysC//trpB//gcd//gltX//folE//caiB//speA//
SrlR_neg	pgm//cueO//fadM//
StpA_neg	ycjG//idnK//aroH//
SutR_neg	yqjH//glpE//
SutR_pos	
TdcA_pos	trmA//gltD//amiA//allA//argD//
TdcR_pos	aspA//tktB//yiaK//sodA//fadB//
TorR_neg	nrdD//
TorR_pos	mraY//nirB//pspE//ahpC//
TreR_neg	deoD//hcaC//
TrpR_neg	purD//citX//sucA//metA//glpC//ccp//cadA//hyaA//fabA//
TtdR_pos	fabH//rutE//
TyrR_neg	nadC//astD//gdhA//gapA//sgbU//mtlD//ascB//
TyrR_pos	agp//metF//polB//
UhpA_pos	ilvH//
UidR_neg	pspE//iscS//
UlaR_neg	queA//gcvT//rffT//gltA//prs//
UvrY_pos	metB//argG//
UxuR_neg	argD//ampC//recB//hcaB//pnp//
XapR_pos	serA//puuD//
XylR_neg	
XylR_pos	bioC//tktB//tyrB//
YdeO_neg	
YdeO_pos	allD//glgP//ackA//
YefM-YoeB_neg	deoB//
YefM_neg	ilvA//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	asnA//fau//glpA//phnO//lldD//phnN//
YjjQ_neg	ynfF//purC//
YpdB_pos	
YqhC_pos	cysC//frdC//
YqjI_neg	rpiB//
ZntR_pos	nagA//
ZraR_pos	
Zur_neg	glcE//
