# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	hchA//gcvP//
CysB_neg	grxA//gntK//dhaL//
CysB_pos	ugpQ//nfsB//ndh//dhaM//ppc//paaF//gpmA//purM//paaK//pck//ttdB//trmD//chbG//fabI//
CytR_neg	uvrC//adhE//glcB//glk//araB//glgC//bioD//glsA//ldtD//hycG//
DcuR_pos	murE//malS//nagB//nrdA//
DeoR_neg	ilvC//tyrB//dmsC//argB//rhaD//lysC//
DhaR_neg	
DhaR_pos	glnA//
DicA_neg	
DinJ-YafQ_neg	tdcB//
DnaA_neg	moeB//uvrA//moaC//moeB//udp//
DnaA_pos	lpxD//metH//fadI//
DpiA_neg	
DpiA_pos	gdhA//puuD//uxuA//gltX//murC//
DsdC_neg	
DsdC_pos	argA//frc//
EbgR_neg	
EnvR_neg	pheS//hemA//
EnvY_pos	ilvD//pheS//
EvgA_pos	fbaA//serA//acnA//metC//uvrA//amn//
ExuR_neg	fumC//glxR//pgm//lacZ//glpA//metA//
FNR_neg	rffM//glyA//rbsD//glmS//metK//waaZ//ccp//atoD//sdhA//lldD//slt//nirD//citC//sucB//astE//hcaD//astE//hycC//gltD//sbcC//caiA//puuE//gcd//ahpF//lldD//phnM//paaK//pheS//aroH//ttdA//cysD//citE//putA//apaH//dgkA//epd//aroF//ahpF//ilvI//galM//asnB//sucC//phnM//torC//
FNR_pos	hcaE//phnJ//glcF//mhpA//ogt//manA//pyrC//fucU//gpmA//yfdE//yeaE//paaY//hyi//malY//dgcZ//malY//purH//lsrG//cueO//lpxA//aceA//fadA//fucI//uidA//fbaA//nfsA//hyaA//leuB//umuD//rutA//bioD//asnA//amiA//ilvI//asnA//ada//araA//lsrF//ilvH//asnA//argE//fabD//paaJ//yedX//glpE//umpH//fadB//rutC//purC//adiA//hypF//upp//cysN//pdeF//purE//rimK//rutE//uvrB//ilvD//malZ//moaE//lacZ//argB//frc//dadA//fdhF//cysI//aldA//nrfC//dgcZ//nirB//prpC//malZ//frdD//gadA//glgC//rhaB//hcaB//nadB//purF//rffM//moaD//dapD//fdhF//phnN//ubiC//ulaD//ynfF//fadD//puuC//ilvG_1//glgB//cysE//ahpC//pyrD//tdcG//
FabR_neg	nirB//wrbA//epd//
FadR_neg	cysK//fadJ//aroF//dgkA//ilvB//ung//glpD//gor//dinB//
FadR_pos	dmsC//phnL//purC//kbl//rutB//xdhB//nfsA//rffG//ycjG//murG//
FeaR_pos	betB//speC//
FhlA_pos	gcvT//hyaB//pyrD//purK//prpD//paaB//narI//frdC//
Fis_neg	nanA//nagA//eno//alsE//dkgB//murI//napA//iscS//nemA//rpiB//ldtB//metB//mhpF//icd//ynfH//nanM//dadX//carB//chbG//cysJ//entF//aroG//ilvM//rffH//gltX//bcsZ//paaA//pgpC//luxS//uxaB//ravA//lpxD//ppiA//argB//ychF//cysD//caiD//hyaB//lhgO//sgbU//gcvH//lsrG//chbF//murC//atoA//ttdB//
Fis_pos	argB//hycB//accA//cadA//aroL//aceB//idnD//cynS//nrdF//paaA//dapD//dkgA//accA//lyxK//puuB//nfsB//kbaZ//ftsI//argC//caiB//araB//murC//ilvB//gltD//glgX//sodB//srlD//frdB//tnaA//ilvN//caiA//tdcB//glpB//gntK//nrfA//gntK//citC//
FlhDC_neg	cysI//mhpB//
FlhDC_pos	dadA//citX//entB//xapA//pdeF//ascB//metH//moaE//uxaC//gutQ//bioB//nadB//
FliZ_neg	hycF//alaS//ydcS//puuB//lysA//
FucR_pos	hemH//narI//gntK//glcB//betA//galM//
Fur_neg	patA//ynfG//aroH//prmC//prpC//gltD//fabA//polB//dhaL//mhpD//purM//rsmA//deoD//folE//ilvC//gcvT//sgbH//truB//ubiC//bioC//patD//thrS//srkA//hcaF//ubiA//dhaK//lsrK//rbsK//fabI//yqjH//codA//cynS//glpC//uvrB//fucU//pnp//galM//ampC//sdhB//mraY//ilvE//phr//uxuB//dkgB//adhE//allB//gcvH//murF//poxB//bioA//dmsC//nemA//sodA//
Fur_pos	garR//lpd//pgaC//tdh//dhaM//acnB//ilvI//nemA//hemH//gcvP//pdeL//guaA//caiD//avtA//cysC//cysI//
GadE-RcsB_pos	pgpC//carA//argD//ugpQ//ugpQ//
GadE_pos	narI//lsrG//astD//mdh//glgX//purL//ulaG//rffM//katE//aceB//
GadW_neg	argG//fabB//hypB//
GadW_pos	puuA//mdh//fumB//mhpD//
GadX_neg	torC//recD//
GadX_pos	puuD//hemL//hpt//recB//hycB//gpmA//dusB//ackA//puuA//dadX//acs//
GalR_neg	amiA//napG//hycB//kbaZ//ygeA//ilvB//
GalR_pos	mpl//yqjH//ilvA//idnO//
GalS_neg	ndh//trpE//rhaB//phnG//kbaZ//deoD//
GalS_pos	tauD//sufS//pgm//glgA//
GatR_neg	grxA//fadB//aroA//
GcvA_neg	pdeL//bacA//citG//
GcvA_pos	fabH//uxuB//torA//
GlcC_neg	
GlcC_pos	malQ//edd//ybjG//
GlpR_neg	fabB//oxc//entH//glpD//citD//uxaB//talA//
GlrR_pos	
GntR_neg	umpH//ldtC//manA//tdh//gcvP//prpC//xapA//trpE//fumA//
GutM_pos	rutE//ydcS//folE//
H-NS_neg	fabA//cpdB//pnp//dgkA//cueO//hycC//pdeL//serC//hemA//ribA//dkgA//aceA//rpiB//rffH//hyi//wzc//agp//sucA//xapA//cynS//ynfF//dhaM//bcsZ//tynA//serA//srkA//aspC//entB//argI//lsrG//cyoE//lacA//nadC//luxS//speC//acnA//metC//trpC//garD//dacC//metH//pspE//glpE//mhpC//narH//poxB//ackA//hycB//allE//rffH//nrdA//
H-NS_pos	purN//glcB//dmsB//bioC//uidA//phnM//gadA//ruvA//asnB//metE//nrfA//udp//melA//ppiA//araB//
HU_neg	atoD//ldtD//sucD//hycE//torC//ruvB//uxaA//
HU_pos	
HcaR_neg	
HcaR_pos	fabA//rutE//
HdfR_neg	
HdfR_pos	
HigA_neg	apaH//
HigB-HigA_neg	polB//
HipAB_neg	agp//phnM//
HipB_neg	hemA//glcB//malP//
HprR_neg	rutE//aspC//
HprR_pos	ascB//icd//
HyfR_pos	prs//
HypT_neg	ilvG_1//alaA//
HypT_pos	pyrC//allB//rpiB//lsrK//gatD//
IHF_neg	ulaE//entA//nagA//moeB//argA//entD//ppiA//tdcG//mpaA//ilvA//hyaA//ndh//bioD//asnA//caiA//ahpF//fucO//hcaD//gadA//murQ//waaH//malS//betB//rutD//feaB//serA//carB//pgaB//xdhA//tam//luxS//hemH//chiA//murI//rnpB//argE//caiA//nanK//rffT//dapD//dadX//mdh//rtcA//
IHF_pos	puuD//acs//katE//lpxC//aspA//narI//ldtB//rtcB//pdeL//tdcE//pck//bioD//deoA//aroF//puuA//dgcC//adhE//dacC//xdhA//avtA//tpiA//glmS//ssuE//glgA//nanM//ccp//allE//mngB//aroA//glxK//rffG//phoA//lpxA//pdxA//nagA//alkB//metF//hyi//ppiA//glk//tynA//wzb//metC//ilvN//ttdA//oxc//rhaA//glgA//waaY//nanM//ttdB//pgi//hpt//hcaD//galM//pspE//paaC//glyA//nrdE//lsrF//ansB//ribA//fbaB//alaA//ulaD//serC//hchA//sucA//cynT//ulaF//fumB//
IclR_neg	dhaK//gcd//rffC//
IdnR_neg	sodA//mhpC//
IdnR_pos	fabI//waaH//poxB//pheS//
IlvY_neg	
IlvY_pos	fumC//
IscR_neg	kbaZ//fadJ//waaY//lldD//fau//dmsA//
IscR_pos	glgC//moeB//
KdgR_neg	pdeR//carB//
KdpE_pos	moeB//
LacI_neg	glgA//gcl//entB//
LeuO_neg	
LeuO_pos	nagB//pfkA//fau//sdhC//srlD//ppc//
LexA_neg	paaJ//atoD//glpQ//sgbU//gcvT//napG//icd//astB//glyA//hcaB//ulaD//accC//purL//citG//nrdF//accC//rutE//dmsC//mpaA//hemL//pepD//deoC//kbaZ//
LldR_neg	yiaK//gpsA//
LldR_pos	mraY//guaA//
LrhA_neg	
LrhA_pos	
Lrp_neg	gudD//lysA//ppiA//dhaM//alaC//caiA//ravA//purM//asnB//napH//paaB//narG//allD//adiA//bioD//sodA//purF//mhpF//pgi//pfkA//napB//hyaB//gudD//
Lrp_pos	araB//ychF//galE//glyA//hchA//apaH//puuC//glcE//phoA//glyA//entH//pyrD//dapD//pheT//ldtD//accA//cynT//tyrB//metF//hcp//
LsrR_neg	ubiC//pgpC//malP//gntK//fdhF//
LysR_neg	
LysR_pos	deoB//
MalI_neg	pgpC//nirB//
MalT_pos	hemL//purB//frdA//trpB//glk//rbsD//
MarA_neg	guaA//
MarA_pos	rfe//cueO//nrdB//paaZ//hcaC//paaE//frdC//puuA//entC//adeD//mnmG//srlD//yedX//paaJ//puuA//pfkA//paaK//napG//aldB//ppc//glgX//argG//fadA//
MarR_neg	
MatA_neg	pspE//
MatA_pos	
MazE-MazF_neg	ilvI//
MazE_neg	ampD//
McbR_neg	
McbR_pos	
MelR_neg	cynS//xylB//
MelR_pos	add//tehB//
MetJ_neg	lpxD//trpA//fruK//allD//aceE//adiA//hyaC//tnaA//glpB//phnG//
MetR_neg	moeB//
MetR_pos	acs//recF//fucK//moeB//
MhpR_pos	umuD//hflX//agp//poxB//fadB//rimK//
Mlc_neg	ppc//cpdB//deoB//mpaA//
MlrA_pos	purL//
MngR_neg	glxK//deoB//
MntR_neg	serC//
MntR_pos	nfsA//
ModE_neg	uvrB//ftnA//cysJ//upp//uxuA//kbaY//rbsK//ilvN//
ModE_pos	paaI//gutQ//uxuB//argB//purD//malP//prs//fruK//argF//
MprA_neg	entF//citD//argH//
MqsA_neg	entA//ubiX//
MraZ_neg	ilvC//aldA//astB//cysI//mhpB//lldD//patA//malP//glpX//murE//
MurR_neg	fbaB//pgk//trpE//
MurR_pos	
Nac_neg	galK//patA//fucK//
Nac_pos	wecB//hemA//rimK//lsrG//tktB//xdhC//waaY//napG//
NadR_neg	allE//pdeF//nadC//nemA//
NagC_neg	wecB//lysC//glcB//garR//lsrF//chbG//fabI//metE//tehB//epd//aroL//bcsZ//phnI//pspE//napH//eno//phnP//cheB//
NagC_pos	entD//kbaY//
NanR_neg	patD//hmp//accA//ppsA//rhaA//lpxC//
NanR_pos	
NarL_neg	aldB//mhpD//cysM//caiD//metB//aceF//nagB//fdhF//xdhB//trpA//leuC//trpE//patD//puuE//fabG//sucD//glxK//guaA//pgm//ynfF//alaC//alaS//sbcD//bacA//dadX//ruvB//lsrF//lysU//
NarL_pos	gudD//prmC//aceA//sdaA//moeB//mhpE//speC//phnM//dhaM//sbcC//cysN//sucC//aldB//srkA//purN//
NarP_neg	lsrG//rimK//ygeA//mngB//aceA//
NarP_pos	queA//thrS//purE//kbaZ//cyaA//glcE//oxc//umuC//leuD//metC//fumC//fbaA//atoB//aldB//
NemR_neg	glxR//rpiB//
NhaR_pos	rsmH//pgm//argA//yfdE//atoA//
NikR_neg	alkB//
NimR_neg	patZ//
NorR_neg	
NorR_pos	purB//
NrdR_neg	rhaA//betA//murC//uvrB//
NsrR_neg	ulaE//hcaF//fabD//rffM//yedX//cadA//gcl//bacA//glcB//yedX//allD//ssuD//kbl//fucK//mhpD//gpmA//acnB//nagA//sbcC//sbcC//bioB//ldtD//narH//lsrF//dsdA//astB//accC//argG//fabA//paaF//allB//gcvP//mhpA//fumA//xylA//folA//cysN//murC//ilvA//nagB//
NtrC_neg	rimK//dacC//
NtrC_pos	lysC//gpsA//araB//tynA//ilvB//paaF//idnD//fabB//fadD//tadA//hemA//thrS//murF//glnA//ndh//nadC//paaI//yfdE//eda//pfkA//amn//
OmpR_neg	glcF//glmS//alsE//rffH//dhaK//
OmpR_pos	metF//hycG//cysI//uxaC//
OxyR_neg	hcaF//glxK//melA//fabD//patZ//
OxyR_pos	hcaC//entE//srkA//tktB//gatZ//napA//yfdE//mhpD//waaZ//nadA//ugpQ//uxaA//
PaaX_neg	cynT//trpE//ilvE//tehB//accD//rbsD//kbaZ//cheR//purD//
PdeL_pos	phnO//
PdhR_neg	umpH//moeA//argH//pgaC//yiaK//lyxK//galM//pagP//lyxK//gutQ//mpaA//nfsB//pfkA//pheT//dadA//mnmG//tynA//nemA//rbsK//hflX//hyaB//cheR//ahpF//
PdhR_pos	purE//pheT//
PepA_neg	codA//tehB//
PgrR_neg	purB//lhgO//
PhoB_neg	puuE//fadM//apaH//pyrD//gpmM//
PhoB_pos	hcp//ynfF//pyrC//caiB//glyA//deoB//nfsA//glgC//sucB//glpD//lpxD//purD//rhaA//tehB//murD//napB//puuB//
PhoP_neg	nrdA//ubiA//puuA//
PhoP_pos	speC//purF//gdhA//rutE//gabD//fucI//phnH//katG//polA//gabT//wecB//metB//ybjG//aldB//garL//preT//nrdF//glpB//rutD//purE//puuD//mhpB//leuA//tyrB//argA//mhpB//mhpD//patZ//leuB//pyrC//dsdA//
PrpR_neg	
PrpR_pos	nagB//ribA//adhE//xdhA//
PspF_neg	
PspF_pos	purM//
PurR_neg	puuC//idnK//codA//acs//fabI//fadH//allA//katE//trmD//rffC//sufS//tam//phoA//recD//rhaA//ubiC//dmsC//argH//cysK//preT//pdeL//puuB//umuC//ubiX//nrfA//murG//
PutA_neg	purF//leuC//
PuuR_neg	frdC//trmA//feaB//polB//puuE//nrfD//
QseB_neg	
QseB_pos	
RbsR_neg	accD//dkgB//kbaZ//adeD//napG//
RbsR_pos	frdA//
RcdA_neg	
RcdA_pos	pgpC//
RclR_pos	
RcnR_neg	argA//
RcsAB_neg	ldtC//
RcsAB_pos	moeA//dgcC//
RcsB-BglJ_pos	pheS//gatZ//
RcsB_neg	recF//
RcsB_pos	prs//atoB//tyrA//
RelB-RelE_neg	murE//
RelB_neg	accC//
RhaR_pos	
RhaS_pos	ilvH//tnaA//nrdA//sgbU//
Rob_neg	
Rob_pos	nfsA//tynA//mazG//glpB//glsA//allE//dacC//nrfC//bcsB//aspA//fabD//xdhC//hpt//glpC//purH//mpaA//upp//araA//sgbH//
RstA_neg	eno//yqjH//
RstA_pos	metF//
RtcR_pos	leuD//cueO//
RutR_neg	fadM//moeA//bcsB//deoD//trpC//zwf//astA//mhpA//waaZ//ulaD//
RutR_pos	preA//
SdiA_neg	
SdiA_pos	
SgrR_neg	galK//
SgrR_pos	ddlB//dgkA//
SlyA_neg	
SlyA_pos	glpA//nrdB//cysG//hcaC//ulaE//lacA//paaI//sdhC//mnmG//
SoxR_neg	
SoxR_pos	napB//
SoxS_neg	
SoxS_pos	mdh//lysU//alsE//fes//sdhD//citE//prpD//accD//bioF//fadI//manA//glcD//wrbA//paaK//tdcD//entA//napA//mhpF//wzc//fabG//mazG//ccp//rhaD//dacC//glpA//allA//
SrlR_neg	glmU//fumB//gltD//
StpA_neg	guaA//fucA//dmsA//
SutR_neg	carB//serC//
SutR_pos	
TdcA_pos	aroL//aldA//frdC//cynS//paaJ//
TdcR_pos	deoB//ccp//glcF//ssuD//wzb//
TorR_neg	bioB//
TorR_pos	entH//pfkA//purF//dhaK//
TreR_neg	fucU//citX//
TrpR_neg	cysD//wzb//aspC//bcsB//glpE//purN//ssuE//rffT//yqhD//
TtdR_pos	caiB//kbaY//
TyrR_neg	ulaD//dhaM//dhaM//eda//trpA//purA//rtcA//
TyrR_pos	metE//cheB//metC//
UhpA_pos	nagB//
UidR_neg	guaB//srkA//
UlaR_neg	add//rbsD//alaC//aspC//paaH//
UvrY_pos	cyaA//tdh//
UxuR_neg	relA//puuB//uidA//manA//aroH//
XapR_pos	glpQ//ydcS//
XylR_neg	
XylR_pos	sucB//prs//carA//
YdeO_neg	
YdeO_pos	metF//entB//glmU//
YefM-YoeB_neg	gabT//
YefM_neg	nrdB//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	adhE//dgcC//appA//entF//trpC//guaA//
YjjQ_neg	phnL//moaA//
YpdB_pos	
YqhC_pos	torC//sufS//
YqjI_neg	pheS//
ZntR_pos	allD//
ZraR_pos	
Zur_neg	uxaB//
